# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fabI//dsdA//
CdaR_pos	phnJ//uxuA//argA//fumC//paaC//hycF//gntK//arsC//dhaL//
CecR_neg	speA//
ChbR-N-monoacetylchitobiose6-phosphate_neg	cynT//metK//fadD//
ChbR-N-monoacetylchitobiose6-phosphate_pos	argE//ascB//argC//
ChbR_neg	hcaD//patD//paaA//
ChbR_pos	kbaY//adhE//allA//
ComR_neg	
CpxR-Phosphorylated_neg	nrdE//napB//cynS//
CpxR-Phosphorylated_pos	sgbH//murC//fadE//hcaD//napH//malS//umuD//arsC//ppsA//metB//uxuB//udp//tam//allB//pdeH//pgaB//moaC//caiC//
Cra_neg	nrdB//tdcE//rffG//tdcB//uxuA//ulaF//glmS//dmsA//alkB//fadA//garK//gor//araD//dacC//tadA//katG//glgA//entD//ahpF//napB//cadA//nadA//fbaB//aceF//wrbA//glpA//ugpQ//argE//dapD//argC//fucO//ldtB//xylB//napB//fabH//frdD//speG//phnI//ppsA//pgi//napB//lldD//paaE//nrdF//polA//
Cra_pos	dgcZ//moaD//tam//ftnA//alkA//lpxD//narI//speA//gabD//sodA//grxA//oxc//tdcD//edd//deoC//talA//eda//
CreB-Phosphorylated_neg	leuC//
CreB-Phosphorylated_pos	umpH//
CsgD_neg	metC//rhaB//
CsgD_pos	pgpC//dgcN//ribA//
CsiR_neg	cysJ//fruK//puuD//wzc//
CspA_pos	rhaD//
CueR-Cu_neg	leuD//uvrA//fruK//
CueR-Cu_pos	uvrA//fbaB//
CusR-Pasp_pos	uxaA//murF//lsrF//gatZ//
CynR-cyanate_pos	bglB//fucU//pyrC//
CynR_neg	
CysB-O-acetyl-L-serine_neg	putA//atoB//gadA//
CysB-O-acetyl-L-serine_pos	hycC//argH//rutD//aroF//katG//hmp//nrdB//phnN//ruvB//ulaE//glpX//hcaE//
CysB_neg	
CysB_pos	luxS//citD//
CytR_neg	udp//citC//astB//puuD//gcl//hemL//sgbE//adhE//pgaD//aroL//
Dan-L-tartrate_pos	ftsI//hmp//
DcuR-Phosphorylated_pos	nanE//ssuD//yedX//fadM//
DeoR_neg	wecC//entA//phnO//yiaK//eda//puuD//
DhaR_neg	
DhaR_pos	fbaB//
DicA_neg	
DinJ-YafQ_neg	pfkA//
DnaA-ATP_neg	wecB//paaI//allD//garK//gpmM//
DnaA-ATP_pos	ulaF//dhaL//phnP//
DpiA-Pasp_neg	
DpiA-Pasp_pos	speA//alkB//tehB//cysG//pheT//
DsdC-D-serine_neg	
DsdC-D-serine_pos	mdh//astD//
EbgR_neg	
EnvR_neg	pdeR//psd//
EnvY_pos	cysJ//patA//
EvgA-Phosphorylated_pos	garD//uxaA//aroG//rutC//gltD//frc//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	tauD//lpxC//lldD//hycG//glgP//recF//
FabR_neg	aceF//pspE//mpl//
FadR-acyl-CoA_pos	
FadR_neg	moaD//chbF//astA//recD//purB//pgk//nagA//acnA//araA//
FadR_pos	puuD//glgA//ybjG//uxaB//hyaC//lsrG//cysK//ppc//betB//ttdA//
FeaR_pos	ynfF//tdcG//
FhlA-formate_pos	gcvT//ldtC//umpH//mhpE//codA//galT//entD//sdhD//
FlhDC_neg	purE//rpiB//
FlhDC_pos	rhaB//codA//rfe//dmsC//nfsB//glcE//wecB//cysC//cysM//ychF//citF//rffT//
FliZ_neg	glcF//tadA//lysA//paaZ//purH//
FucR-L-fuculose-1-P_pos	lsrK//nrdD//moeB//hemL//moaD//gadA//
Fur-Fe2_neg	metK//lpd//frdB//phnL//sucD//argD//sbcD//ldtB//argB//fbaB//cysM//ahpF//cysH//mnmG//alkA//wrbA//astE//puuC//prs//pyrC//malQ//sbcC//tynA//phnL//fadJ//pflB//alkB//galK//aspA//moaD//melA//ppiA//malY//eno//ulaD//psd//hcaD//murF//murC//accC//citD//glgA//paaB//yeaG//pyrD//leuA//fadE//phr//allE//fucU//fabG//pncB//malS//
Fur-Fe2_pos	leuD//phnG//ynfH//citD//moeB//srkA//atoA//garR//paaY//allD//lysA//prpB//murG//nagB//argH//purN//
GadE-RcsB_pos	dmsC//phnO//trpA//moeA//carB//
GadE_pos	lysC//nrdD//pgm//lacZ//rutE//uvrA//asnB//acnB//betB//nrdE//
GadW_neg	kbaY//uvrA//hycC//
GadW_pos	ynfG//bioC//rtcA//astD//
GadX_neg	relA//malY//arsC//
GadX_pos	uvrC//ynfF//ssuE//hcp//truB//phoA//rfe//hyaB//ruvA//uvrB//icd//
GalR-beta-D-galactose_neg	astB//grxA//paaA//leuB//pgaD//
GalR-beta-D-galactose_pos	cysK//uidA//wzc//murD//
GalR_neg	citF//glnA//nagA//cysK//moaE//murD//
GalR_pos	metF//entC//purL//idnO//
GalS-beta-D-galactose_neg	tdcE//wecC//frdB//astA//zwf//
GalS-beta-D-galactose_pos	mazG//atoA//nrdF//glmS//
GalS_neg	astE//tehB//sufS//fucI//araA//deoD//
GalS_pos	lhgO//phnJ//acnB//argH//
GatR_neg	uxaC//dkgB//pyrD//
GcvA_neg	fucK//hcaF//eno//
GcvA_pos	hyaB//ttdA//carA//
GlcC-glycolate_neg	
GlcC-glycolate_pos	gatD//glgP//phnP//
GlpR_neg	fruK//recB//lldD//ubiX//umuD//ynfE//glk//
GlrR-Pasp56_pos	
GntR_neg	wecC//bioA//ybjG//uxaA//pnp//bioF//hcaB//ycjG//wecB//
GutM_pos	argI//xapA//guaB//
HU_neg	rimK//aroL//trpE//ubiC//gatD//metA//zwf//
HU_pos	
HcaR-HCA_pos	hycC//argI//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	nanE//
HigB-HigA_neg	nanM//
HipAB_neg	adiA//sodB//
HipB_neg	guaB//leuC//glpK//
HprR-Phosphorylated_neg	glcF//hcaF//
HprR-Phosphorylated_pos	gutQ//citG//
HyfR_pos	psd//
HypT-Met-oxidized_neg	waaY//nfsA//
HypT-Met-oxidized_pos	mhpB//iscS//entA//glpK//nirB//
IclR-pyruvate_neg	wecC//murE//murE//
IdnR-5-ketogluconate_neg	ribA//araB//
IdnR-5-ketogluconate_pos	lpd//idnO//ssuE//
IlvY-2-acetolactate_pos	leuC//
IlvY_neg	
IscR-2Fe-2S_neg	cysC//zwf//
IscR_neg	entA//nirB//nrdD//phr//
IscR_pos	hycC//luxS//
KdgR_neg	relA//gcvT//
KdpE-Phosphorylated_pos	ndh//
LacI_neg	glxK//murG//bioA//
LeuO_neg	
LeuO_pos	narI//glgC//eno//pagP//rhaD//argH//
LexA_neg	tyrB//glxK//rutC//accA//waaY//dhaK//fucI//ldtB//ahpF//fdhF//mnmG//gcvH//yqjH//fabI//glcD//fadA//paaE//pepD//mtlD//tynA//tdcB//cynT//pgi//
LldR-lactate_neg	rimK//hycG//
LldR-lactate_pos	feaB//yqjH//
LldR_neg	fadI//ynfE//
LldR_pos	glpQ//tyrB//
LrhA_neg	
LrhA_pos	
LsrR_neg	ung//hcp//murG//mpaA//ulaE//
LysR_neg	
LysR_pos	arsC//
MalI_neg	citC//umuD//
MalT-maltotriose-ATP_pos	ynfG//accA//alaS//katG//yeaE//gcvP//
MarA_neg	nanM//
MarA_pos	citG//eda//tdcE//bioC//fumC//glxR//ahpF//fabD//asnA//tdcD//acnB//rtcB//lsrK//ynfH//waaY//aspA//dapB//uxuA//gltB//tdcD//murI//rffT//lldD//
MarR_neg	
MatA_neg	puuD//
MatA_pos	
MazE-MazF_neg	rffM//
MazE_neg	treC//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	astA//gutQ//
MelR-melibiose_pos	argC//truB//
MelR_neg	uvrA//acnB//
MelR_pos	arsC//argD//
MetJ-adenosylmethionine_neg	gatD//fabZ//napA//cysI//caiB//prpE//dapD//citD//ccp//nanA//
MetR-L-homocysteine_neg	puuD//
MetR-L-homocysteine_pos	sgbE//prs//
MetR_pos	lpxC//pagP//
MhpR-3HPP_pos	entD//ugpQ//deoC//yeaE//entE//phnP//
Mlc_neg	metL//ldtB//uxuA//pck//
MlrA_pos	mhpA//
MngR_neg	prpB//iscS//
MntR-Mn2_neg	tyrA//
MntR-Mn2_pos	phnL//
ModE-MoO42-_neg	pykF//paaH//fadA//glxR//astB//bacA//rhaD//recF//
ModE-MoO42-_pos	hyaB//fadJ//argC//srlD//fabI//ulaG//ahpC//paaE//cysD//
MprA_neg	lsrG//adiA//moaE//
MqsA_neg	gltB//glmU//
MraZ_neg	rutC//fadA//wzc//astA//araA//cysM//puuA//ulaE//entB//sbcC//
MurR_neg	ampC//glpD//entF//
MurR_pos	
Nac_neg	pspE//garR//xylB//
Nac_pos	trpB//nirD//yiaK//cueO//galE//idnO//rffC//folA//
NadR_neg	malQ//gatD//cdd//glk//
NagC_neg	argI//folE//ldtB//hyaC//fabD//cynS//fadM//lsrF//tdcG//pnp//rutC//rsmH//ynfF//narI//pyrC//ddlB//citG//alkB//
NagC_pos	tdcG//malQ//
NanR_neg	nrdF//lhgO//torC//fadD//garD//sbcC//
NanR_pos	
NarL-Phosphorylated_neg	entE//gpmA//folA//leuA//hmp//bioB//grxA//cyoE//nrdA//bioB//glcE//entE//caiC//uxuA//cysD//glgB//putA//xapA//kbaY//putA//hyaA//fabD//treC//dgcN//wecE//purB//lysA//fadI//
NarL-Phosphorylated_pos	cysC//purF//malS//patA//ruvB//ulaE//nagB//melA//nadA//ddlB//mazG//hycG//betB//rutB//ynfG//
NarP-Phosphorylated_neg	astA//nemA//fabA//pepD//asnB//
NarP-Phosphorylated_pos	pck//pnp//fabA//nfsB//metC//eda//allC//rsmH//fabA//grxA//hycF//sbcD//astD//narI//
NemR_neg	ndh//ybjG//
NhaR-Na_pos	bglB//cysI//narI//sgbU//uxuB//
NikR-Ni2_neg	argG//
NimR_neg	atoA//
NorR_neg	
NorR_pos	cdd//
NrdR-Zn2_neg	moaA//aspA//purF//purK//
NsrR_neg	pncB//rpiB//argI//appA//lsrG//dgcZ//tadA//glcF//entF//codA//nagA//nfsA//araA//aceE//astB//gcvT//yeaG//glpB//dkgB//araB//paaI//dgcN//xylA//glk//sgbH//purC//zwf//moaA//gatY//thrS//paaF//murE//udp//appA//epd//ccp//sgbE//speA//fabB//nrfA//
NtrC-Phosphorylated_neg	nanK//alaS//
NtrC-Phosphorylated_pos	fadA//lpd//hcaC//ubiA//ulaD//lysC//entF//tdcG//tdcE//umuC//pncB//puuD//rnpB//recF//ubiA//patA//dmsB//tyrB//moaA//hypF//pagP//
OmpR-Phosphorylated_neg	accA//glpQ//ygeA//cdd//galM//
OmpR-Phosphorylated_pos	entF//frdB//bacA//hemL//
OxyR_neg	nagA//pck//glpD//lpxD//leuA//
OxyR_pos	wecB//ndh//trpA//deoD//umpH//phnL//uvrB//bioA//pgpC//fbaA//waaH//icd//
PaaX_neg	uidA//argI//glgX//phnI//ynfE//glgC//hycG//allE//thrS//
PdeL_pos	treC//
PdhR_neg	cysC//pepD//wzb//cysN//hemL//moaA//garR//rsmH//caiA//xylA//glmU//rutA//nanM//gudD//paaJ//glxK//gadA//mhpB//ampC//hycE//glk//hcaF//psd//
PdhR_pos	cysH//glxK//
PepA_neg	tdcG//gor//
PgrR_neg	glcB//yfdE//
PhoB-Phosphorylated_neg	nfsB//prpC//nanM//bioA//nadB//
PhoB-Phosphorylated_pos	nirB//murI//prpB//phnL//puuD//atoA//xylA//pyrC//rbsK//ychF//metB//wecB//metC//citX//metE//pdeR//fadI//
PhoP-Phosphorylated_neg	pheT//glmS//lacA//
PhoP-Phosphorylated_pos	murE//pyrD//sucD//uxuA//phnO//bioA//accC//araA//gcvP//rutB//hcaD//aceF//fabI//fadI//nemA//glk//folA//pykF//speB//aroG//sdhC//fbaA//allC//lysA//gadB//lacA//paaY//araA//tnaA//tdcB//glmS//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	mhpF//fucA//metH//dkgB//
PspF_neg	
PspF_pos	purH//
PurR-hypoxanthine_neg	metB//aspA//argH//ulaD//mazG//glxR//araB//entF//paaA//nagA//accC//trpC//frdA//pagP//metB//tadA//gatY//purA//sbcC//glmU//bioD//aroG//ulaE//trpA//metK//ubiC//
PutA_neg	mazG//frdC//
PuuR_neg	gabT//polB//argG//cysM//gltB//metH//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	lpxD//rutC//ulaE//sucD//ubiA//
RcdA_neg	
RcdA_pos	gor//
RclR_pos	
RcnR_neg	rtcB//
RcsAB_neg	glcD//
RcsAB_pos	metE//frc//
RcsB-BglJ_pos	galT//ugpQ//
RcsB-Pasp56_neg	allD//
RcsB-Pasp56_pos	yiaK//tdcG//metH//
RelB-RelE_neg	prpE//
RelB_neg	phnN//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	ynfH//mdh//rffH//phnI//
Rob_neg	
Rob_pos	aceF//hyaA//uxuA//rnpB//paaI//purM//truB//hyaB//nanE//fadI//rutB//citG//fadE//hcp//gutQ//ldtD//astB//cueO//dgkA//
RstA-Phosphorylated_neg	dgcC//melA//
RstA-Phosphorylated_pos	rnpB//
RtcR_pos	carB//fadM//
RutR_neg	lhgO//prpD//tam//prpC//citD//pfkA//ycjG//entD//sodB//cueO//
RutR_pos	glgX//
SdiA_neg	
SdiA_pos	
SgrR_neg	fadD//
SgrR_pos	paaG//nrdF//
SlyA_neg	
SlyA_pos	gor//tdcG//waaZ//nfsA//hcaD//uvrC//cysM//ulaE//gor//
SoxR_neg	
SoxR_pos	pnp//phnG//trpD//putA//mhpC//lysA//
SoxS_neg	
SoxS_pos	hyi//tam//lpxC//leuA//appA//puuD//rbsK//hyaB//nrfA//patA//nfsA//glcE//nrfC//nanK//puuA//garD//iscS//fabH//cysK//phnH//alkB//pyrC//fabA//dgcN//fadJ//srlD//napB//ilvC//
SrlR_neg	glpB//malY//aroH//
StpA_neg	mhpD//phr//fumC//
SutR_neg	alsE//cysN//
SutR_pos	
TdcA_pos	umuD//astC//purH//gadA//metH//
TdcR_pos	galM//prpB//puuA//glcE//yiaK//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	chbG//murD//poxB//torA//
TorR-TorI_neg	yeaG//
TorR-TorI_pos	
TreR_neg	paaJ//astA//
TrpR-tryptophan_neg	accC//sucC//murQ//frdA//xylB//fbaB//codA//tadA//rffC//
TyrR-phenylalanine_neg	adhE//betB//
TyrR-phenylalanine_pos	uxuB//
TyrR-tyrosine_neg	alkB//rimK//mazG//amn//allD//fadH//
TyrR-tyrosine_pos	truB//psd//
TyrR_neg	entC//
TyrR_pos	pykF//
UhpA-Phosphorylated_pos	glgP//
UidR_neg	hcaE//nadA//
UlaR_neg	tauD//pgpC//mhpE//garR//gpmM//
UvrY-Phosphorylated_pos	tdcD//metC//
UxuR_neg	ulaG//hycE//galM//nrdD//leuD//
XapR-xanthosine_pos	amn//speG//
XylR-xylose_neg	
XylR-xylose_pos	paaZ//puuB//fadJ//
YdeO_neg	
YdeO_pos	oxc//murE//rutD//
YefM-YoeB_neg	nagB//
YefM_neg	zwf//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	gadA//ydcS//paaI//ppiA//murG//leuC//
YjjQ_neg	ssuD//fumC//
YpdB-Phosphorylated_pos	
YqhC_pos	tauD//gcvT//
YqjI_neg	astD//
ZntR-Zn2_pos	hyaB//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	gutQ//
