# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	argI//grxA//
CpxR-Phosphorylated_pos	paaH//mhpF//gcvT//garK//dapB//ulaF//astA//hcaC//murE//leuA//alkB//katG//lldD//nanA//bioB//tktB//paaK//pncB//
Cra_neg	galK//murD//narG//accD//hycC//tynA//nirB//trpD//moeA//fabD//ulaG//pdeL//ruvB//carA//phr//lacA//entF//mltF//ynfG//pgpC//puuA//hyaA//nrfA//entH//fabI//entB//ynfH//argG//uvrB//paaH//citG//dmsC//recD//paaA//sucD//hycF//gor//fumB//wecB//argC//tdcB//deoD//lysA//pheS//fabZ//
Cra_pos	lhgO//murF//talA//acnB//mdh//sdhD//pdeH//dhaL//citX//murQ//prpC//moeA//phnP//speB//murF//argH//melA//
CreB-Phosphorylated_neg	citX//
CreB-Phosphorylated_pos	malS//
CsgD_neg	mltF//gcvH//
CsgD_pos	cynT//pfkA//pagP//
CsiR_neg	chbG//hyaB//zwf//argG//
CspA_pos	katG//
CueR-Cu_neg	mnmG//sbcD//fadH//
CueR-Cu_pos	moaD//puuE//
CusR-Pasp_pos	atoD//speB//dacC//cynT//
CynR-cyanate_pos	moaE//pepD//nirD//
CynR_neg	
CysB-O-acetyl-L-serine_neg	phr//pnp//dgkA//
CysB-O-acetyl-L-serine_pos	sufS//carB//lpd//eda//pgaB//dkgA//lsrG//bioC//allB//ynfH//pgaD//icd//
CysB_neg	
CysB_pos	citX//gadA//
CytR_neg	murI//ccp//ubiC//fbaB//tauD//leuA//recD//dgcC//rffG//phnN//
Dan-L-tartrate_pos	hemL//lhgO//
DcuR-Phosphorylated_pos	citD//srkA//cysJ//mhpE//
DeoR_neg	thrS//galM//yfdE//ulaE//fabG//fucU//
DhaR_neg	
DhaR_pos	ampC//
DicA_neg	
DinJ-YafQ_neg	malZ//
DnaA-ATP_neg	glpD//ribA//cysD//astB//garL//
DnaA-ATP_pos	idnO//phnH//trpD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	aldA//glmU//garK//glxR//astE//
DsdC-D-serine_neg	
DsdC-D-serine_pos	hmp//purB//
EbgR_neg	
EnvR_neg	gcl//lsrF//
EnvY_pos	gcvP//lsrG//
EvgA-Phosphorylated_pos	fabI//glmS//tdcE//edd//entC//glcF//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	gcl//putA//lacZ//ribA//waaY//citE//
FabR_neg	citX//caiB//purB//
FadR-acyl-CoA_pos	
FadR_neg	srkA//yiaK//eno//accD//allC//fabD//metB//trpD//galT//
FadR_pos	lysA//pnp//galT//sdhB//pdeH//rutC//ddlB//gatZ//glgX//argE//
FeaR_pos	entF//cysN//
FhlA-formate_pos	uxuB//rhaA//rtcB//hycD//hyaC//hycE//lpxD//astE//
FlhDC_neg	deoB//rutB//
FlhDC_pos	pgpC//gor//aroL//phnH//sufS//tam//glgP//zwf//paaA//deoC//xylA//argH//
FliZ_neg	nanM//cysD//leuA//bacA//argE//
FucR-L-fuculose-1-P_pos	metF//atoD//fadI//sdhB//allB//astC//
Fur-Fe2_neg	glpQ//tktB//uvrA//atoB//arsC//hycG//cysK//feaB//purL//napA//napH//glpB//mhpF//pheT//prs//uxuA//kbaY//glpA//astD//napG//glgC//nfsA//fumC//hycB//fabA//slt//tyrB//amn//yeaE//fucU//ldtC//fdhF//sgbH//pdeR//fadI//cysM//pck//paaI//speA//frdA//hyaB//purE//hypB//entC//melA//gpmM//kbaY//wecC//umuC//yqhD//lsrK//paaI//astA//
Fur-Fe2_pos	adhE//paaG//speG//pfkA//hycF//caiD//folA//fucA//cysK//gutQ//nemA//nagB//leuD//dgcZ//argE//purL//
GadE-RcsB_pos	gadA//ndh//entD//paaG//tdcG//
GadE_pos	yqjH//bioC//fadM//hcaD//phnM//sdhB//ycjG//grxA//ppiA//pagP//
GadW_neg	paaF//pgaC//ynfH//
GadW_pos	uidA//ycjG//sdhB//poxB//
GadX_neg	hycC//atoD//ftsI//
GadX_pos	fabH//phnM//ruvA//putA//tdcB//purF//fadA//tynA//cysI//ndh//xylA//
GalR-beta-D-galactose_neg	yqjH//relA//prpB//polB//cysG//
GalR-beta-D-galactose_pos	hypF//umuD//leuA//frdD//
GalR_neg	malP//entA//bioB//pdeL//polB//garR//
GalR_pos	glpA//pdeH//idnK//yeaG//
GalS-beta-D-galactose_neg	gcvP//mhpB//dhaK//nanK//purN//
GalS-beta-D-galactose_pos	deoD//glmU//gatD//dacC//
GalS_neg	sdhD//glgX//gpmA//pgm//aceA//murI//
GalS_pos	argF//guaA//putA//pykF//
GatR_neg	bglB//malY//oxc//
GcvA_neg	iscS//ttdA//tktB//
GcvA_pos	dmsB//murI//deoB//
GlcC-glycolate_neg	
GlcC-glycolate_pos	ssuE//rimK//galK//
GlpR_neg	rhaD//moaA//cysG//dgcC//bioA//phr//argE//
GlrR-Pasp56_pos	
GntR_neg	alsE//asnB//alkA//ahpC//ldtD//paaK//cynS//moaD//rffT//
GutM_pos	tyrA//sodB//fadA//
HU_neg	sucB//mpaA//melA//poxB//fruK//hmp//pagP//
HU_pos	
HcaR-HCA_pos	carA//grxA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	malQ//
HigB-HigA_neg	hycD//
HipAB_neg	lacZ//glpA//
HipB_neg	metL//rutA//purN//
HprR-Phosphorylated_neg	puuC//pyrC//
HprR-Phosphorylated_pos	glgX//leuC//
HyfR_pos	fruK//
HypT-Met-oxidized_neg	atoD//katG//
HypT-Met-oxidized_pos	pfkA//fucU//malQ//glcD//paaF//
IclR-pyruvate_neg	fadM//pflB//glcF//
IdnR-5-ketogluconate_neg	paaE//napG//
IdnR-5-ketogluconate_pos	entA//nanE//katE//
IlvY-2-acetolactate_pos	napH//
IlvY_neg	
IscR-2Fe-2S_neg	alaC//umpH//
IscR_neg	amn//rbsD//ccp//sbcC//
IscR_pos	tynA//mhpB//
KdgR_neg	nrdB//nagB//
KdpE-Phosphorylated_pos	ftsI//
LacI_neg	sbcC//uxuB//purK//
LeuO_neg	
LeuO_pos	aspC//hcaD//yedX//citF//glpB//umpH//
LexA_neg	rfe//rimK//moaE//argI//bioA//fabI//astA//eno//malZ//tktB//ldtB//lsrF//lpd//fadE//pflB//cadA//fumC//gatD//yqjH//idnK//polB//tdcD//torC//
LldR-lactate_neg	bglB//rpiB//
LldR-lactate_pos	trpD//uvrC//
LldR_neg	asnB//hemL//
LldR_pos	betA//waaZ//
LrhA_neg	
LrhA_pos	
LsrR_neg	allB//alkB//gntK//umuD//amn//
LysR_neg	
LysR_pos	trpD//
MalI_neg	phnH//gpmM//
MalT-maltotriose-ATP_pos	fadE//fdhF//glpC//fadI//lacA//rutC//
MarA_neg	accA//
MarA_pos	paaK//ruvA//waaZ//fadJ//paaH//glgC//tdcG//galT//paaB//entF//napB//pdeH//psd//fadB//aldA//allD//dgcN//umuC//rpiB//dacC//edd//uxuA//astA//
MarR_neg	
MatA_neg	metH//
MatA_pos	
MazE-MazF_neg	phnM//
MazE_neg	dgcN//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	aroF//entA//
MelR-melibiose_pos	adiA//pheS//
MelR_neg	hyi//fucO//
MelR_pos	purE//alkA//
MetJ-adenosylmethionine_neg	ygeA//pgm//paaF//ugpQ//dmsB//dsdA//argH//dmsC//dmsB//katG//
MetR-L-homocysteine_neg	metL//
MetR-L-homocysteine_pos	prpC//putA//
MetR_pos	udp//psd//
MhpR-3HPP_pos	ldtB//fes//moaA//murG//cysJ//uxuA//
Mlc_neg	rhaB//treC//malZ//yeaG//
MlrA_pos	rffC//
MngR_neg	bglB//glcD//
MntR-Mn2_neg	mhpF//
MntR-Mn2_pos	malS//
ModE-MoO42-_neg	uxaA//ppsA//phnH//dacC//mhpD//entB//dsdA//katE//
ModE-MoO42-_pos	ahpC//cysI//astE//dhaL//xapA//fumB//ulaG//fadM//icd//
MprA_neg	glmU//ppsA//sdhC//
MqsA_neg	chbF//tehB//
MraZ_neg	sucB//ssuE//dkgB//purM//mpl//hmp//rutC//sgbH//slt//nfsA//
MurR_neg	purA//nirB//relA//
MurR_pos	
Nac_neg	gatY//uxaC//ulaE//
Nac_pos	patD//mhpA//sucC//recF//ugpQ//moaC//ascB//dapB//
NadR_neg	fumB//patD//cadA//fadD//
NagC_neg	mhpE//bacA//leuC//alaC//malZ//entD//hycG//gcvT//leuB//carA//fucK//icd//gatZ//polB//phnL//ychF//rtcA//gabD//
NagC_pos	bioF//ccp//
NanR_neg	accA//nrfD//purK//pgi//waaY//entD//
NanR_pos	
NarL-Phosphorylated_neg	purA//rtcB//phnL//ynfH//alkB//glnA//cyoE//pncB//leuD//aspA//citD//rhaB//frdC//deoA//icd//feaB//metB//hypF//entC//carA//truB//pdeH//hyi//waaY//umuC//glxK//idnD//ssuE//
NarL-Phosphorylated_pos	mltF//metC//yfdE//glpK//murG//glgB//fbaB//bglB//mtlD//oxc//nrfC//alkB//sucC//dhaM//amn//
NarP-Phosphorylated_neg	umuD//ycjG//hycE//wrbA//alaS//
NarP-Phosphorylated_pos	hycD//wzc//ccp//edd//citX//purD//carB//metA//purF//slt//dmsB//zwf//tyrA//murE//
NemR_neg	pdeL//entA//
NhaR-Na_pos	nagA//eda//dkgB//pdeR//cynS//
NikR-Ni2_neg	glpX//
NimR_neg	galE//
NorR_neg	
NorR_pos	caiC//
NrdR-Zn2_neg	glpC//allE//hcaC//bioB//
NsrR_neg	zwf//purH//mazG//ruvA//nrfA//deoA//paaC//prpC//rbsD//pgaC//cysN//garD//prpE//ulaF//garL//murE//ubiX//entB//accA//sdhD//argA//purL//codA//glcE//dmsA//murQ//rutC//patA//truB//sucB//galT//waaY//murF//cadA//gatD//caiD//hcaC//gltD//lpd//yqjH//
NtrC-Phosphorylated_neg	gloA//fruK//
NtrC-Phosphorylated_pos	prs//glpA//dmsC//tyrB//gpmA//hyaB//uvrC//phnN//napH//aldA//ddlB//glpX//pheT//phnG//gntK//torC//kbaY//nirB//appA//cysM//puuE//
OmpR-Phosphorylated_neg	uidA//relA//ftsI//lhgO//ynfG//
OmpR-Phosphorylated_pos	hycC//ppsA//argA//astC//
OxyR_neg	carB//nagA//mhpC//argD//aceF//
OxyR_pos	purA//cynS//glcB//ppsA//phnN//slt//puuD//recF//rutA//nrdB//udp//hyaB//
PaaX_neg	ynfH//glxK//putA//fucO//yqhD//ada//patA//frdB//astD//
PdeL_pos	bioD//
PdhR_neg	ttdA//xylA//pdeH//fabZ//glgP//asnA//lsrG//ulaE//allB//dgcZ//dgcZ//ubiC//cysJ//tam//acnB//hyaA//aldA//cysH//hcaD//sodA//aceA//bioF//prpB//
PdhR_pos	rutE//chbF//
PepA_neg	tam//adiA//
PgrR_neg	tehB//iscS//
PhoB-Phosphorylated_neg	hypF//pgpC//malY//dkgB//yfdE//
PhoB-Phosphorylated_pos	polB//wecE//glgP//araD//fadI//poxB//speG//glgX//leuD//pgaC//hcp//puuE//cysH//purN//ssuE//cysI//dapB//
PhoP-Phosphorylated_neg	gcvT//phnH//rbsK//
PhoP-Phosphorylated_pos	puuA//entC//pgaD//sgbE//lpd//cynT//frdD//kbaY//pdeL//hyaB//tpiA//astC//sbcC//ldtD//truB//argC//paaF//katE//pflB//narH//ybjG//phnG//argB//argD//xylA//amn//phoA//glpK//phr//nrdB//purB//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	aroL//garR//murI//purH//
PspF_neg	
PspF_pos	ynfF//
PurR-hypoxanthine_neg	astE//purK//leuB//katE//lpd//ahpC//iscS//malS//dmsB//glcD//patA//gpmA//moeA//slt//caiD//folA//yeaG//fumC//napG//lsrF//mhpD//paaA//glxK//wzc//argF//paaG//
PutA_neg	aldA//hyaB//
PuuR_neg	nirD//udp//tdcB//moaE//phnG//fadE//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	nrdA//malP//phnG//tnaA//gutQ//
RcdA_neg	
RcdA_pos	fabB//
RclR_pos	
RcnR_neg	ssuD//
RcsAB_neg	pheS//
RcsAB_pos	eno//leuD//
RcsB-BglJ_pos	gabT//gatD//
RcsB-Pasp56_neg	argF//
RcsB-Pasp56_pos	patD//fucO//gutQ//
RelB-RelE_neg	dkgA//
RelB_neg	rhaA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	paaC//pykF//tdcD//leuD//
Rob_neg	
Rob_pos	wzb//rutD//purN//fucU//rffM//pdeR//mngB//tam//puuD//waaY//araD//trpD//idnD//rsmH//lpxC//ldtC//puuC//citE//citD//
RstA-Phosphorylated_neg	gatY//tdcD//
RstA-Phosphorylated_pos	fucI//
RtcR_pos	garL//accA//
RutR_neg	prpC//codA//phoA//narI//lhgO//purA//hycE//yedX//hcaB//lpxD//
RutR_pos	purE//
SdiA_neg	
SdiA_pos	
SgrR_neg	rtcB//
SgrR_pos	lhgO//udp//
SlyA_neg	
SlyA_pos	tadA//wecE//phnM//argI//mhpF//ssuE//fadJ//gadB//ttdA//
SoxR_neg	
SoxR_pos	cysM//ribA//phnJ//psd//astC//sgbU//
SoxS_neg	
SoxS_pos	nanA//pyrC//alkA//ilvC//rutA//ndh//tynA//argB//lysA//nirD//ttdA//argF//bioD//purA//trpB//gadB//garK//yedX//pdeH//ahpC//glxK//ampC//nagA//aroG//pepD//wecC//narG//tdcE//
SrlR_neg	ahpC//dgcN//sodA//
StpA_neg	glcD//cysE//phoA//
SutR_neg	ulaG//katG//
SutR_pos	
TdcA_pos	rhaB//nanM//uidA//pgk//pgaB//
TdcR_pos	yedX//atoD//napB//malS//metE//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	katG//entH//dhaL//ftsI//
TorR-TorI_neg	sdhD//
TorR-TorI_pos	
TreR_neg	glmS//aceB//
TrpR-tryptophan_neg	caiA//yeaE//betB//tpiA//nanA//feaB//nadA//hemL//ddlB//
TyrR-phenylalanine_neg	phr//lacZ//
TyrR-phenylalanine_pos	arsC//
TyrR-tyrosine_neg	moeB//nadB//glgX//rhaA//sbcC//ssuE//
TyrR-tyrosine_pos	aroG//atoD//
TyrR_neg	purH//
TyrR_pos	ynfG//
UhpA-Phosphorylated_pos	nrdF//
UidR_neg	serA//glxK//
UlaR_neg	alaS//puuC//sufS//atoD//ulaF//
UvrY-Phosphorylated_pos	araB//metE//
UxuR_neg	betA//garK//pyrC//bglB//napA//
XapR-xanthosine_pos	caiB//carA//
XylR-xylose_neg	
XylR-xylose_pos	garK//fadI//hyaA//
YdeO_neg	
YdeO_pos	psd//nadA//pheS//
YefM-YoeB_neg	gor//
YefM_neg	gadB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	hycF//nagB//sodA//metH//ahpF//mltF//
YjjQ_neg	ftsI//fabG//
YpdB-Phosphorylated_pos	
YqhC_pos	moaE//icd//
YqjI_neg	nfsA//
ZntR-Zn2_pos	waaH//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	metK//
