# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	moaE//mngB//
FlhDC_pos	gcvP//hycC//prs//katE//phnN//polA//speA//hyaC//malQ//mhpF//nanE//nemA//
FliZ_neg	argE//tynA//ugpQ//glcD//glpB//
FucR-L-fuculose-1-P_pos	phnP//wzb//frc//ldtB//prpC//tam//
Fur-Fe2_neg	polA//entH//lyxK//carA//puuC//entD//guaB//murG//gudD//uxaA//ldtC//ccp//lldD//uxaC//prpE//glsA//phnJ//tynA//phnG//phnH//fadA//carB//garL//folE//idnO//allC//fabA//paaA//dhaM//fadM//xapA//paaK//nanM//ppiA//paaI//glmU//paaI//astE//glgX//nadA//phnI//metC//ydcS//mpaA//amn//pheT//dsdA//leuC//pheT//glcE//tauD//kbaZ//glgC//
Fur-Fe2_pos	pfkA//puuA//ung//ulaF//hycF//waaH//prpD//ycjG//bioD//galT//malQ//metL//allB//galK//murF//ada//
GadE-RcsB_pos	deoB//murE//rffG//sdhA//hemH//
GadE_pos	idnD//ampC//ruvB//wecE//gntK//tdcB//garL//citD//uxaB//mazG//
GadW_neg	paaY//galM//sdhA//
GadW_pos	fabZ//mazG//pepD//frdD//
GadX_neg	citD//deoA//edd//
GadX_pos	gor//dacC//uxuB//prpE//phnN//aroH//patA//zwf//amn//aspA//glpA//
GalR-beta-D-galactose_neg	hypB//metL//dgcC//hcaB//yeaE//
GalR-beta-D-galactose_pos	ldtB//gabD//lsrF//dhaL//
GalR_neg	glgA//mpaA//fabB//allE//luxS//argA//
GalR_pos	allD//gdhA//lsrG//mdh//
GalS-beta-D-galactose_neg	phnN//appA//araD//polB//puuD//
GalS-beta-D-galactose_pos	murC//paaJ//pspE//lhgO//
GalS_neg	citE//citC//entH//feaB//leuB//rpiB//
GalS_pos	fadA//hycC//murG//yeaE//
GatR_neg	hycB//glpK//citG//
GcvA_neg	ulaF//gpmA//umpH//
GcvA_pos	idnK//fbaA//acnB//
GlcC-glycolate_neg	
GlcC-glycolate_pos	leuD//malZ//prpC//
GlpR_neg	polA//kbaY//purM//yqhD//fdhF//wecC//gor//
GlrR-Pasp56_pos	
GntR_neg	galE//glgB//ybjG//dkgB//idnO//allC//dsdA//garK//accD//
GutM_pos	astB//metK//argH//
HU_neg	malY//entC//mhpA//ndh//pfkA//pdeH//grxA//
HU_pos	
HcaR-HCA_pos	fadD//narH//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	pyrD//
HigB-HigA_neg	cysH//
HipAB_neg	fadE//dkgB//
HipB_neg	argD//garR//waaZ//
HprR-Phosphorylated_neg	accC//citX//
HprR-Phosphorylated_pos	citE//asnA//
HyfR_pos	entF//
HypT-Met-oxidized_neg	nanE//ydcS//
HypT-Met-oxidized_pos	nanE//cadA//bglB//mhpA//lpxA//
IclR-pyruvate_neg	mngB//purC//murE//
IdnR-5-ketogluconate_neg	cadA//uvrA//
IdnR-5-ketogluconate_pos	treC//lsrF//nanE//
IlvY-2-acetolactate_pos	gadA//
IlvY_neg	
IscR-2Fe-2S_neg	cyoE//mpaA//
IscR_neg	ahpC//aroH//caiD//grxA//
IscR_pos	mhpA//paaE//
KdgR_neg	glmU//gcl//
KdpE-Phosphorylated_pos	entH//
LacI_neg	glpB//allA//hycF//
LeuO_neg	
LeuO_pos	phoA//tyrB//xylB//ada//gcl//gadA//
LexA_neg	rfe//rffT//glgB//hycC//appA//gadA//glgP//idnD//phnO//pgpC//fau//alkA//wecE//hycB//adiA//fadB//aroH//frc//aceF//leuD//murG//caiB//argI//
LldR-lactate_neg	lpxA//nfsA//
LldR-lactate_pos	treC//codA//
LldR_neg	gor//wrbA//
LldR_pos	deoD//argG//
LrhA_neg	
LrhA_pos	
LsrR_neg	glmU//glgA//purN//mngB//hcaC//
LysR_neg	
LysR_pos	hemL//
MalI_neg	pyrD//poxB//
MalT-maltotriose-ATP_pos	hyaC//uidA//glcD//fucO//narH//trpE//
MarA_neg	glcD//
MarA_pos	lacZ//umuD//patD//yfdE//napB//hypB//fabA//prpB//ulaF//ldtD//moaE//pykF//lhgO//idnK//accA//caiD//bacA//uvrC//tyrB//uvrB//murG//metF//pgm//
MarR_neg	
MatA_neg	glpA//
MatA_pos	
MazE-MazF_neg	dapD//
MazE_neg	fes//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	murD//cysK//
MelR-melibiose_pos	gloA//fabD//
MelR_neg	ada//ttdB//
MelR_pos	rutB//recD//
MetJ-adenosylmethionine_neg	uvrA//pgi//entC//truB//xapA//hcp//mazG//guaB//nrdD//moaD//
MetR-L-homocysteine_neg	nrdF//
MetR-L-homocysteine_pos	sdhB//dsdA//
MetR_pos	gadA//asnA//
MhpR-3HPP_pos	wzc//gabD//bglB//speG//lacA//deoC//
Mlc_neg	adiA//frdA//lysA//citX//
MlrA_pos	fadH//
MngR_neg	argB//ruvB//
MntR-Mn2_neg	poxB//
MntR-Mn2_pos	sbcD//
ModE-MoO42-_neg	rtcB//paaY//nrdD//argG//moaE//deoA//dsdA//asnB//
ModE-MoO42-_pos	sdhC//trpD//zwf//paaE//ugpQ//paaB//truB//ruvB//cysE//
MprA_neg	ldtD//cynT//ulaE//
MqsA_neg	purB//pdeR//
MraZ_neg	guaA//sgbU//entF//trpD//sgbE//dkgB//polA//fbaB//pgpC//astB//
MurR_neg	tehB//pykF//aspA//
MurR_pos	
Nac_neg	fadA//ogt//dacC//
Nac_pos	puuB//astD//pyrC//citD//lpxC//amn//cysN//nrfA//
NadR_neg	speA//argG//galT//recD//
NagC_neg	nrfA//dhaK//pgaD//phnP//phnN//pfkA//pheS//frc//ppsA//paaH//metB//citE//idnD//fabG//sodB//araA//cysC//mpaA//
NagC_pos	rutC//recB//
NanR_neg	entD//citD//cdd//fucI//sucC//rffM//
NanR_pos	
NarL-Phosphorylated_neg	ahpC//alsE//uvrA//ruvB//ogt//galK//waaZ//purN//citF//pflB//uvrA//metC//rbsK//prpB//sucD//paaE//rffC//uxuA//phnI//ldtB//galK//dapB//ppsA//purD//ppsA//sucA//ribA//prpD//
NarL-Phosphorylated_pos	wrbA//dapB//rpiB//slt//gdhA//ribA//cysM//puuB//tdcB//cysC//lyxK//lysA//wecC//nanM//ada//
NarP-Phosphorylated_neg	dgcC//gltD//narG//gltB//rbsK//
NarP-Phosphorylated_pos	nanE//purN//icd//glgA//accD//moaE//lpxA//dinB//mhpC//nirB//chbG//astC//dhaL//lacZ//
NemR_neg	ada//paaE//
NhaR-Na_pos	tdcD//trpA//purM//ftsI//rimK//
NikR-Ni2_neg	wecE//
NimR_neg	rffM//
NorR_neg	
NorR_pos	betB//
NrdR-Zn2_neg	umpH//araA//frdB//acnA//
NsrR_neg	bioD//idnK//ttdA//fbaA//xylB//hcaD//lpxC//treC//aspC//sodB//gcl//iscS//aroL//paaI//pagP//wzc//purC//glyA//alkA//glcB//frdD//lldD//ftsI//moaC//amn//rutD//ybjG//malP//rutD//nrdF//phnH//entD//ilvC//rtcB//glxK//fucA//uxuB//fbaA//hycG//mnmG//
NtrC-Phosphorylated_neg	sdhB//argH//
NtrC-Phosphorylated_pos	caiC//tauD//gnd//ttdA//waaY//phnM//gadA//nirB//purC//speG//fabI//treC//nrdE//rpiB//garR//pgi//accA//ubiX//dmsC//caiD//recD//
OmpR-Phosphorylated_neg	glk//murF//speG//tyrB//aroL//
OmpR-Phosphorylated_pos	mraY//bioC//paaA//deoC//
OxyR_neg	leuA//ung//tam//fadE//tdcE//
OxyR_pos	edd//udp//deoB//gudD//guaA//pgk//lysC//astE//pdeH//wecE//glxR//aroL//
PaaX_neg	xapA//lpxC//aspC//mtlD//patA//tdcG//ygeA//dsdA//uxaB//
PdeL_pos	hypF//
PdhR_neg	argD//moaA//ppsA//gcvH//yeaG//rbsK//gcvT//glpD//hcaB//murQ//ttdB//rutD//pfkA//rffC//gudD//araD//adhE//gcvH//idnO//metH//citE//slt//phnG//
PdhR_pos	katG//mtlD//
PepA_neg	fumC//fucO//
PgrR_neg	carB//ndh//
PhoB-Phosphorylated_neg	ydcS//phnL//aroF//araB//tdcG//
PhoB-Phosphorylated_pos	betB//mpl//pdeH//sodB//yiaK//gabT//nrfA//narG//fbaB//cysE//garL//allC//sbcD//pnp//nrfA//deoA//relA//
PhoP-Phosphorylated_neg	paaH//purF//pdeL//
PhoP-Phosphorylated_pos	gcvH//ruvB//fadM//dgcN//mltF//appA//nrdD//lysA//trpB//puuC//nanM//alaS//pgaC//feaB//bioA//moaC//appA//allD//rtcB//caiA//fucO//deoD//uvrC//ubiX//mazG//uidA//ynfG//rutC//phnI//tam//paaJ//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	torA//glgB//glsA//atoA//
PspF_neg	
PspF_pos	ppiA//
PurR-hypoxanthine_neg	argC//metF//fadE//argA//metK//gabD//pgaC//tdcE//pgaD//kbaY//paaH//rhaD//fadI//purK//murG//pagP//asnB//gcl//pheT//ubiX//ogt//yeaE//fabH//yqjH//ygeA//recF//
PutA_neg	frdB//dmsA//
PuuR_neg	nagA//torC//rtcA//rffT//cysN//paaE//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	garR//puuE//ulaE//nagB//narH//
RcdA_neg	
RcdA_pos	yfdE//
RclR_pos	
RcnR_neg	hemL//
RcsAB_neg	adhE//
RcsAB_pos	leuD//mnmG//
RcsB-BglJ_pos	tdcG//rutE//
RcsB-Pasp56_neg	hcaE//
RcsB-Pasp56_pos	nemA//guaB//citC//
RelB-RelE_neg	atoD//
RelB_neg	gatZ//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	malY//entH//tauD//napA//
Rob_neg	
Rob_pos	gcl//wzc//wzc//rutA//nanA//yqhD//mazG//ttdA//glk//pykF//glgX//hemH//rutE//purH//pepD//gutQ//sgbH//glpK//nrfD//
RstA-Phosphorylated_neg	rhaB//wecB//
RstA-Phosphorylated_pos	entH//
RtcR_pos	rutD//sucB//
RutR_neg	dgcN//sdhB//gadB//pyrD//aceA//aceE//lacZ//ulaF//bacA//fbaB//
RutR_pos	ynfG//
SdiA_neg	
SdiA_pos	
SgrR_neg	prs//
SgrR_pos	nrdE//srlD//
SlyA_neg	
SlyA_pos	glpK//dgcN//tyrA//argH//wecC//fabA//hyaC//ldtB//paaY//
SoxR_neg	
SoxR_pos	bioA//bioD//glpB//nadA//glpK//purM//
SoxS_neg	
SoxS_pos	paaJ//lhgO//gcvH//umuC//murI//nadA//tdcD//gadB//ampC//paaK//dapB//aldA//fabH//ftnA//glgC//murD//murG//frdD//lsrG//cdd//betA//rhaB//gatZ//aceE//guaA//ccp//bioF//prs//
SrlR_neg	dkgA//napG//recF//
StpA_neg	murI//glgA//argB//
SutR_neg	paaB//rfe//
SutR_pos	
TdcA_pos	nrfD//carA//aceA//argE//glgB//
TdcR_pos	pgi//lysC//cysN//moeB//pheS//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	trpC//nanM//dmsA//yedX//
TorR-TorI_neg	purN//
TorR-TorI_pos	
TreR_neg	fumB//mtlD//
TrpR-tryptophan_neg	fucA//tdcG//dmsA//ssuE//caiC//glxK//polB//glnA//rbsD//
TyrR-phenylalanine_neg	prpE//rffM//
TyrR-phenylalanine_pos	hyaC//
TyrR-tyrosine_neg	purN//tdcB//patD//bioC//cysG//fadI//
TyrR-tyrosine_pos	moaA//mhpB//
TyrR_neg	cysD//
TyrR_pos	psd//
UhpA-Phosphorylated_pos	sgbH//
UidR_neg	luxS//cynS//
UlaR_neg	hcaB//yiaK//allB//lhgO//rutE//
UvrY-Phosphorylated_pos	hycC//glpQ//
UxuR_neg	napA//lyxK//glpC//nirB//sucA//
XapR-xanthosine_pos	hyi//glxK//
XylR-xylose_neg	
XylR-xylose_pos	idnO//allE//lacA//
YdeO_neg	
YdeO_pos	cynS//hcaF//ppc//
YefM-YoeB_neg	garR//
YefM_neg	torC//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	mhpA//glpA//cysJ//idnD//argG//pgi//
YjjQ_neg	galE//sodB//
YpdB-Phosphorylated_pos	
YqhC_pos	xylA//mhpD//
YqjI_neg	atoA//
ZntR-Zn2_pos	umpH//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	ppsA//
