# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fabB//pnp//
DeoR_neg	mhpC//uidA//nfsB//idnK//entD//luxS//
DhaR_neg	
DhaR_pos	uvrC//
DicA_neg	
DinJ-YafQ_neg	rtcB//
DnaA-ATP_neg	fabZ//metH//moaD//mraY//glcE//
DnaA-ATP_pos	cynT//hcp//pgk//
DpiA-Pasp_neg	
DpiA-Pasp_pos	ulaD//ftnA//tehB//wrbA//garD//
DsdC-D-serine_neg	
DsdC-D-serine_pos	ppsA//cysC//
EbgR_neg	
EnvR_neg	nanA//sdhC//
EnvY_pos	pgaB//fes//
EvgA-Phosphorylated_pos	cysM//purL//ftnA//ssuE//argH//paaG//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	pyrD//astA//astB//pgm//fadH//sgbE//
FabR_neg	phnI//ampC//citG//
FadR-acyl-CoA_pos	
FadR_neg	alsE//murI//umpH//prpC//garR//hycC//galM//murD//dgcN//
FadR_pos	entF//dgcZ//dhaM//alkA//sdhC//nrdA//frdD//galT//ugpQ//moaC//
FeaR_pos	fabG//bacA//
FhlA-formate_pos	frdD//yedX//chbF//garD//nrfA//yiaK//kbaY//gutQ//
FlhDC_neg	puuB//fabG//
FlhDC_pos	trpA//galM//phnP//idnD//hyi//tdcG//gpmM//galM//pgaB//puuD//idnO//ppsA//
FliZ_neg	ddlB//psd//dkgA//oxc//bglB//
FucR-L-fuculose-1-P_pos	murC//idnD//entB//hycG//mpaA//ftnA//
Fur-Fe2_neg	umuC//nirD//nirD//fadM//gatD//lpxC//glk//betA//nrdE//torC//ynfF//pheT//polB//pgk//uidA//accA//wzc//rutC//eda//pykF//garL//fucK//tktB//pheT//glpB//gatY//purF//entA//aroL//argB//ubiX//aldA//feaB//citG//ttdB//bioD//wzb//nrdA//sbcC//sdhA//pnp//ygeA//speB//gutQ//wecE//codA//purH//fucU//nirB//nanM//paaC//asnB//thrS//
Fur-Fe2_pos	dgcC//ilvC//gatZ//uvrC//pykF//glpK//gcvT//argD//napA//hycB//paaC//hycB//napB//mhpE//sodB//nadB//
GadE-RcsB_pos	iscS//glcE//glk//lpxC//cysM//
GadE_pos	serA//bioF//sdhD//fadD//eda//murE//hycF//murG//alkA//moaA//
GadW_neg	patD//xylB//tnaA//
GadW_pos	cysH//gatD//psd//putA//
GadX_neg	napG//bioC//glpA//
GadX_pos	recF//ppc//fabG//gadB//moaD//rutA//arsC//moeA//glpD//hcaC//argF//
GalR-beta-D-galactose_neg	cueO//waaZ//yqjH//tdcD//mpl//
GalR-beta-D-galactose_pos	tpiA//citG//gltD//tyrB//
GalR_neg	glgA//luxS//ogt//aceF//uvrC//glgC//
GalR_pos	astB//narG//moaA//hyaC//
GalS-beta-D-galactose_neg	paaA//udp//uxuA//glpD//gabD//
GalS-beta-D-galactose_pos	ulaE//nirB//xylB//aroF//
GalS_neg	gadA//purC//leuA//torA//betB//paaY//
GalS_pos	poxB//rbsD//fumC//yeaE//
GatR_neg	leuC//idnO//fabA//
GcvA_neg	cysC//fabB//uxuB//
GcvA_pos	nirD//gnd//epd//
GlcC-glycolate_neg	
GlcC-glycolate_pos	gcvH//sdhD//atoD//
GlpR_neg	napB//aceB//rbsD//ogt//rffM//phnG//slt//
GlrR-Pasp56_pos	
GntR_neg	fabG//ynfH//trpB//uidA//ycjG//nagA//hycG//fbaB//rffH//
GutM_pos	paaG//fucU//glgB//
HU_neg	dmsA//malP//speG//ung//dgkA//allA//katE//
HU_pos	
HcaR-HCA_pos	tdcD//xapA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	dmsB//
HigB-HigA_neg	frc//
HipAB_neg	malS//astE//
HipB_neg	alaS//rpiB//cueO//
HprR-Phosphorylated_neg	ddlB//moaE//
HprR-Phosphorylated_pos	lsrF//rffH//
HyfR_pos	recB//
HypT-Met-oxidized_neg	nfsA//pgm//
HypT-Met-oxidized_pos	pheS//fucU//murD//puuD//pck//
IclR-pyruvate_neg	katG//ldtD//rnpB//
IdnR-5-ketogluconate_neg	ldtC//pykF//
IdnR-5-ketogluconate_pos	lldD//fbaA//purL//
IlvY-2-acetolactate_pos	frdB//
IlvY_neg	
IscR-2Fe-2S_neg	ttdB//rfe//
IscR_neg	glcB//deoA//mtlD//leuA//
IscR_pos	yedX//yiaK//
KdgR_neg	wzc//sdhB//
KdpE-Phosphorylated_pos	atoD//
LacI_neg	prpB//phoA//arsC//
LeuO_neg	
LeuO_pos	polA//frdB//grxA//pgi//truB//pdeL//
LexA_neg	uxaB//astA//nanA//rffC//xapA//rffH//carB//dhaM//paaF//cysI//astE//fumC//tktB//rutD//murQ//metC//leuC//glcE//pagP//rffG//alaS//nadB//glgB//
LldR-lactate_neg	ascB//fabD//
LldR-lactate_pos	metE//ulaD//
LldR_neg	cysN//glpD//
LldR_pos	fabA//lhgO//
LrhA_neg	
LrhA_pos	
LsrR_neg	oxc//napG//caiD//fucI//gudD//
LysR_neg	
LysR_pos	lhgO//
MalI_neg	treC//citX//
MalT-maltotriose-ATP_pos	rffH//mazG//gatD//pgaC//ubiX//sdhD//
MarA_neg	gltD//
MarA_pos	araB//moaE//ung//sgbE//srlD//uvrA//waaH//yfdE//waaZ//puuA//pheT//cdd//paaY//chbG//tktB//narG//argG//argD//nrdA//rutB//cysE//talA//fabG//
MarR_neg	
MatA_neg	citG//
MatA_pos	
MazE-MazF_neg	hycF//
MazE_neg	sucC//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	fucI//gatZ//
MelR-melibiose_pos	mhpF//dhaL//
MelR_neg	mtlD//glgX//
MelR_pos	hmp//recB//
MetJ-adenosylmethionine_neg	garD//dinB//glyA//citX//hyaA//nagB//glmU//mngB//entH//glyA//
MetR-L-homocysteine_neg	hycG//
MetR-L-homocysteine_pos	allB//pgm//
MetR_pos	srkA//rffM//
MhpR-3HPP_pos	ung//ubiC//uvrA//pncB//hycF//glpX//
Mlc_neg	tdcG//gabD//allE//tktB//
MlrA_pos	pgaC//
MngR_neg	nrdF//moeB//
MntR-Mn2_neg	caiB//
MntR-Mn2_pos	xylA//
ModE-MoO42-_neg	glcB//ubiC//lacZ//ribA//uvrB//allA//iscS//ycjG//
ModE-MoO42-_pos	patD//dapD//rutE//accC//deoC//paaJ//phr//murG//argH//
MprA_neg	mhpE//aspA//kbaY//
MqsA_neg	fumC//alaC//
MraZ_neg	acnA//fucO//uxaA//pheS//ugpQ//garR//rsmH//araA//hcp//srkA//
MurR_neg	lysC//gutQ//gatY//
MurR_pos	
Nac_neg	astE//asnB//sbcD//
Nac_pos	pagP//carB//dmsA//rhaD//katG//phnJ//accA//lacA//
NadR_neg	pheS//bioF//sufS//rffH//
NagC_neg	metK//ssuD//ldtD//fabZ//hcaD//icd//glpD//hcp//glcF//uxaA//cysJ//moaD//ulaD//entD//yeaG//bioB//moeB//ydcS//
NagC_pos	sgbU//fabD//
NanR_neg	aspC//mltF//puuA//napB//entA//ttdB//
NanR_pos	
NarL-Phosphorylated_neg	gabD//rffT//tdcE//polB//kbaZ//garR//hcaE//metB//pgpC//galM//napB//allE//napH//polA//malY//cysG//ascB//phnI//fabD//idnO//glgP//yfdE//fucI//purA//dhaM//accD//rnpB//ampC//
NarL-Phosphorylated_pos	recD//rbsD//umuD//leuB//pepD//moeB//dapD//nfsA//mhpF//malS//fucU//nrdA//phnM//astC//metH//
NarP-Phosphorylated_neg	hcaB//glcB//sufS//hemL//pgaD//
NarP-Phosphorylated_pos	nanK//nemA//dkgA//fucU//astC//kbaY//gatY//malZ//recD//xylB//umuC//yqhD//pck//cysG//
NemR_neg	galK//pncB//
NhaR-Na_pos	purF//iscS//betA//cdd//entD//
NikR-Ni2_neg	ubiA//
NimR_neg	nfsB//
NorR_neg	
NorR_pos	speA//
NrdR-Zn2_neg	ulaG//rutB//fucU//nanK//
NsrR_neg	phnN//ribA//aroL//glsA//betA//pncB//eda//argC//caiD//acnB//puuB//argB//dkgA//sgbE//ugpQ//nrfC//phnO//guaA//lpd//bioD//atoA//lsrF//phnM//umuD//argC//gudD//ycjG//wzb//dgcZ//purF//gdhA//entA//murF//galE//puuB//astA//gutQ//hyi//poxB//speA//
NtrC-Phosphorylated_neg	narG//ahpC//
NtrC-Phosphorylated_pos	glgC//puuE//pgk//lpxA//speG//ynfG//accC//fabH//cysN//nrfC//alsE//mpaA//folA//entE//fdhF//amn//nrfA//moaA//tyrA//fbaB//atoD//
OmpR-Phosphorylated_neg	ruvB//pspE//metA//tadA//bioF//
OmpR-Phosphorylated_pos	rbsK//talA//citX//atoD//
OxyR_neg	nirD//nanM//ybjG//mdh//accA//
OxyR_pos	araA//adiA//metE//fucU//hyaC//yqhD//arsC//uidA//hcaE//aspA//sdhA//astA//
PaaX_neg	pgm//glpD//pgi//pck//galK//uvrB//sdhA//fabZ//leuD//
PdeL_pos	paaH//
PdhR_neg	pyrC//ndh//ulaE//prs//gabD//cadA//dgcZ//ribA//paaI//alaC//waaZ//slt//purE//lldD//murQ//lyxK//iscS//gpmA//deoB//dacC//nagA//ldtB//entA//
PdhR_pos	napG//napB//
PepA_neg	ada//nadB//
PgrR_neg	cysE//lldD//
PhoB-Phosphorylated_neg	uxaA//betA//udp//ldtC//pgi//
PhoB-Phosphorylated_pos	caiB//hypF//paaK//pgaD//cdd//caiB//lpxC//ychF//purD//nirB//hcaD//ynfG//ubiA//glsA//trpB//ulaD//purC//
PhoP-Phosphorylated_neg	allE//tynA//idnO//
PhoP-Phosphorylated_pos	polB//fabD//phnI//grxA//phnH//feaB//gnd//ldtD//melA//frdC//fabA//cysE//paaA//lysC//chbG//entA//gadB//hcaC//aroH//fucA//aroL//deoC//psd//sucD//glcF//purL//narI//adiA//epd//hcaD//lpd//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	fabG//lpxD//glpB//aroG//
PspF_neg	
PspF_pos	gcvH//
PurR-hypoxanthine_neg	speA//hypB//cysN//ndh//uvrA//pdeR//cyoE//prpE//aceA//phnP//purH//ulaD//nrdA//frdB//paaC//pdeL//araA//glgX//fucO//gpmM//waaZ//nadB//slt//waaH//uxuB//asnB//
PutA_neg	puuE//hemH//
PuuR_neg	malS//sgbU//ppiA//fbaA//prpE//nrdA//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	gatZ//sbcC//gapA//citG//paaF//
RcdA_neg	
RcdA_pos	tauD//
RclR_pos	
RcnR_neg	pdeH//
RcsAB_neg	glxR//
RcsAB_pos	narG//purB//
RcsB-BglJ_pos	xylA//galK//
RcsB-Pasp56_neg	pyrD//
RcsB-Pasp56_pos	moeA//kbaY//ada//
RelB-RelE_neg	paaG//
RelB_neg	malQ//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	cysI//cysD//sucC//ssuD//
Rob_neg	
Rob_pos	xylA//fadH//appA//aceE//yqhD//mltF//murE//pdeL//yeaG//deoD//waaZ//bglB//hycF//ulaD//lyxK//nrdA//mltF//argF//srkA//
RstA-Phosphorylated_neg	fucK//dsdA//
RstA-Phosphorylated_pos	fabZ//
RtcR_pos	moaD//rsmH//
RutR_neg	argC//araA//ppc//mnmG//pnp//gabT//puuC//glcE//tktB//gdhA//
RutR_pos	sdhB//
SdiA_neg	
SdiA_pos	
SgrR_neg	rffM//
SgrR_pos	xapA//accD//
SlyA_neg	
SlyA_pos	glsA//frdA//trpE//allC//truB//trpD//sdhB//tehB//psd//
SoxR_neg	
SoxR_pos	caiD//pspE//ascB//sucB//nrdB//puuC//
SoxS_neg	
SoxS_pos	speG//lpxD//ynfE//fadA//icd//cysK//pflB//tam//recD//tdcG//hcaF//ndh//cysM//katG//ynfF//hycC//prs//tyrA//pncB//arsC//nrdE//citD//pck//dmsB//argB//guaA//purL//paaA//
SrlR_neg	ugpQ//cysM//glpK//
StpA_neg	nanK//hemH//fucO//
SutR_neg	fumC//cyoE//
SutR_pos	
TdcA_pos	caiA//pspE//fucU//paaH//rtcB//
TdcR_pos	aroF//glgX//araB//gcvH//glmS//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	gcvH//rutB//narI//fabH//
TorR-TorI_neg	uxuA//
TorR-TorI_pos	
TreR_neg	purH//glsA//
TrpR-tryptophan_neg	cysK//caiC//nagA//cysM//relA//dapD//xapA//slt//tynA//
TyrR-phenylalanine_neg	puuC//paaC//
TyrR-phenylalanine_pos	lldD//
TyrR-tyrosine_neg	hycD//aspC//bioB//rhaD//phnN//frdC//
TyrR-tyrosine_pos	glxK//uvrA//
TyrR_neg	metA//
TyrR_pos	idnD//
UhpA-Phosphorylated_pos	patD//
UidR_neg	ulaF//paaA//
UlaR_neg	umuD//rnpB//sdhB//dgcZ//argE//
UvrY-Phosphorylated_pos	allE//araD//
UxuR_neg	carA//lacA//paaG//leuB//murI//
XapR-xanthosine_pos	purB//glk//
XylR-xylose_neg	
XylR-xylose_pos	paaC//dapD//entC//
YdeO_neg	
YdeO_pos	phoA//metA//oxc//
YefM-YoeB_neg	bacA//
YefM_neg	fbaB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	ung//puuC//rutD//gntK//nagA//glmS//
YjjQ_neg	argG//ynfG//
YpdB-Phosphorylated_pos	
YqhC_pos	purB//purF//
YqjI_neg	frc//
ZntR-Zn2_pos	cynT//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	talA//
