# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	citD//idnD//
CusR-Pasp_pos	murE//pgaD//purD//ubiC//
CynR-cyanate_pos	moaE//rffG//nanA//
CynR_neg	
CysB-O-acetyl-L-serine_neg	mhpA//ychF//relA//
CysB-O-acetyl-L-serine_pos	deoA//malY//rhaD//napA//tdcD//ubiA//leuD//puuE//citE//pgk//slt//mhpA//
CysB_neg	
CysB_pos	fbaB//ccp//
CytR_neg	tdcE//tdcD//asnA//aceF//metB//tdcD//pdeR//uvrA//lyxK//glgB//
Dan-L-tartrate_pos	kbaY//allC//
DcuR-Phosphorylated_pos	srlD//cadA//hcaB//bioD//
DeoR_neg	katE//fucI//glcB//hyaA//astB//allA//
DhaR_neg	
DhaR_pos	aldA//
DicA_neg	
DinJ-YafQ_neg	allE//
DnaA-ATP_neg	hcaE//dgkA//pykF//lysA//wecE//
DnaA-ATP_pos	chbG//ssuE//codA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	trpD//gcl//trpE//malQ//yeaE//
DsdC-D-serine_neg	
DsdC-D-serine_pos	chbF//rutC//
EbgR_neg	
EnvR_neg	hycC//fadD//
EnvY_pos	mpl//puuB//
EvgA-Phosphorylated_pos	wecB//dgcZ//nirB//galK//citC//ynfF//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	frdB//dkgA//bioB//lpd//chbG//garD//
FabR_neg	dkgB//malS//dapB//
FadR-acyl-CoA_pos	
FadR_neg	pgi//yedX//leuB//gudD//dkgA//nrdB//ygeA//ycjG//asnB//
FadR_pos	rhaD//gltD//glpX//puuC//sbcC//alsE//purE//pdeL//nanA//lysA//
FeaR_pos	allA//moaC//
FhlA-formate_pos	purF//dhaK//uxuA//glpX//speB//mhpB//nagA//rtcA//
FlhDC_neg	yfdE//aceE//
FlhDC_pos	hyi//yqjH//allB//leuA//gcvP//nanE//cysE//purD//yiaK//fabG//pepD//caiA//
FliZ_neg	glpA//paaA//yeaE//moaC//sbcC//
FucR-L-fuculose-1-P_pos	ruvB//lldD//fumC//ybjG//atoA//sgbH//
Fur-Fe2_neg	gcvH//uxuA//purD//fruK//nrdD//metE//hycD//sodB//puuA//wzb//tdcB//fucA//dgcN//ampC//bacA//ung//ndh//glpX//hemH//patA//hcaD//ugpQ//glpA//nrdA//metA//fadI//idnO//deoC//cynT//iscS//gcl//allA//alkA//phnI//aroF//entC//metB//fes//patD//icd//ubiX//idnK//sbcD//ygeA//gadA//sufS//gutQ//purM//tehB//caiC//gabD//trpC//putA//
Fur-Fe2_pos	gltD//polB//bglB//pagP//nagB//fadI//treC//treC//aceF//prpD//deoC//purL//uxaB//wecB//mhpC//paaH//
GadE-RcsB_pos	pgm//nadA//phnJ//waaH//fabB//
GadE_pos	tadA//ubiX//dacC//puuB//napG//narH//nrdB//phr//lldD//srlD//
GadW_neg	galK//nirD//rtcB//
GadW_pos	paaI//uidA//nanE//cadA//
GadX_neg	hycG//sucB//dhaL//
GadX_pos	metE//nadA//fabI//sucB//zwf//tadA//mngB//gnd//uxuA//hycB//dinB//
GalR-beta-D-galactose_neg	mhpB//paaA//wecE//nagA//speB//
GalR-beta-D-galactose_pos	deoC//slt//yedX//glgA//
GalR_neg	mazG//nemA//acnB//pgi//tadA//torA//
GalR_pos	entA//uxaA//gadB//nemA//
GalS-beta-D-galactose_neg	paaG//purL//fabZ//puuC//asnA//
GalS-beta-D-galactose_pos	nrfD//garD//mngB//guaB//
GalS_neg	talA//tehB//hycD//paaE//poxB//gltB//
GalS_pos	yedX//rffM//fadJ//yqhD//
GatR_neg	fabD//ruvA//dinB//
GcvA_neg	fbaB//glgB//fbaB//
GcvA_pos	umpH//ndh//ddlB//
GlcC-glycolate_neg	
GlcC-glycolate_pos	metL//gcvH//pepD//
GlpR_neg	phnJ//fau//allB//psd//hcaE//gcvT//dapD//
GlrR-Pasp56_pos	
GntR_neg	feaB//phoA//caiC//moaC//idnK//hycG//rffC//ahpF//argF//
GutM_pos	tdcG//dhaL//gutQ//
HU_neg	ulaG//ychF//citG//alaS//rbsD//tyrB//moaA//
HU_pos	
HcaR-HCA_pos	galE//caiB//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	phnO//
HigB-HigA_neg	polB//
HipAB_neg	puuC//fdhF//
HipB_neg	glgB//murG//galK//
HprR-Phosphorylated_neg	alkA//entD//
HprR-Phosphorylated_pos	ynfE//sodA//
HyfR_pos	yqjH//
HypT-Met-oxidized_neg	sucB//nanA//
HypT-Met-oxidized_pos	pncB//srkA//glpC//trpE//fabH//
IclR-pyruvate_neg	aldA//nagB//fumB//
IdnR-5-ketogluconate_neg	glgC//gutQ//
IdnR-5-ketogluconate_pos	psd//sodB//udp//
IlvY-2-acetolactate_pos	uvrB//
IlvY_neg	
IscR-2Fe-2S_neg	lpxA//hycB//
IscR_neg	hycG//metH//hcaE//dmsB//
IscR_pos	aceE//uidA//
KdgR_neg	rhaD//chbG//
KdpE-Phosphorylated_pos	citG//
LacI_neg	dsdA//glxK//fadE//
LeuO_neg	
LeuO_pos	glpK//prpB//entE//dgcN//pheS//alkA//
LexA_neg	astD//sbcC//fadM//aroL//hyi//lhgO//rtcA//fabA//glnA//leuB//gpmA//fucO//ycjG//wecC//ssuE//yeaG//ruvA//caiD//purK//astD//mazG//gapA//glsA//
LldR-lactate_neg	paaI//yfdE//
LldR-lactate_pos	lsrG//astC//
LldR_neg	cdd//puuC//
LldR_pos	ulaF//purM//
LrhA_neg	
LrhA_pos	
LsrR_neg	gabD//glxK//paaA//araD//bioD//
LysR_neg	
LysR_pos	ppiA//
MalI_neg	aceE//guaB//
MalT-maltotriose-ATP_pos	fucO//purH//edd//purK//mpl//cynS//
MarA_neg	ldtD//
MarA_pos	gnd//paaE//sgbE//phnP//dhaM//garK//bioB//mhpA//ydcS//moeA//yqjH//phnO//ppsA//hcaE//pgk//tdcB//nadA//ttdA//lyxK//astE//malS//pgaD//pgm//
MarR_neg	
MatA_neg	polB//
MatA_pos	
MazE-MazF_neg	idnO//
MazE_neg	fabG//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	rtcA//fabI//
MelR-melibiose_pos	phnN//rffT//
MelR_neg	tktB//nfsB//
MelR_pos	garL//ung//
MetJ-adenosylmethionine_neg	polA//glxK//argF//nrdB//entB//dgcZ//speB//garD//nrdF//caiD//
MetR-L-homocysteine_neg	phnG//
MetR-L-homocysteine_pos	tyrA//folE//
MetR_pos	ada//fucA//
MhpR-3HPP_pos	chbF//sdhA//glpX//fabZ//paaZ//phnL//
Mlc_neg	uxaB//pdeR//fucO//pyrC//
MlrA_pos	sodB//
MngR_neg	ldtB//hemH//
MntR-Mn2_neg	argE//
MntR-Mn2_pos	pgaC//
ModE-MoO42-_neg	alsE//cysH//betB//lpd//grxA//garD//recB//xylB//
ModE-MoO42-_pos	umuC//nrdF//sgbH//paaA//metH//deoB//gloA//ruvB//fbaB//
MprA_neg	pgk//phr//pck//
MqsA_neg	nrdD//xylA//
MraZ_neg	aroH//thrS//dmsB//purB//lacA//argD//yqhD//atoD//narH//alaC//
MurR_neg	gnd//alkB//araA//
MurR_pos	
Nac_neg	gpmA//pyrD//recD//
Nac_pos	hyi//citD//bioF//dapB//metA//citE//mhpD//tauD//
NadR_neg	citF//phnH//xapA//accC//
NagC_neg	astD//wecC//arsC//pepD//lyxK//dapD//fadH//luxS//patD//metE//leuD//rfe//glpD//pgaB//tauD//fucU//sdhA//bioC//
NagC_pos	sgbH//udp//
NanR_neg	ynfG//sbcC//paaJ//mhpB//carA//fadB//
NanR_pos	
NarL-Phosphorylated_neg	dacC//purL//accD//moaC//mpaA//moaE//amn//phnL//aspA//polB//hcaB//phnH//puuB//fadE//pepD//pflB//metB//dmsA//moaC//murI//nirB//speG//dgcN//recF//deoB//glgA//astD//ftsI//
NarL-Phosphorylated_pos	asnA//ychF//pgi//ppsA//fabA//glcF//patA//psd//gadB//citD//pheT//ybjG//melA//araB//phnL//
NarP-Phosphorylated_neg	acnA//ftnA//paaK//patD//nrdE//
NarP-Phosphorylated_pos	pspE//phnG//fucO//gutQ//icd//pncB//mhpC//ogt//pheT//ppsA//ldtC//glyA//fdhF//glyA//
NemR_neg	fbaB//moaA//
NhaR-Na_pos	dhaL//mdh//nemA//rtcA//rutB//
NikR-Ni2_neg	nadA//
NimR_neg	mhpA//
NorR_neg	
NorR_pos	fucK//
NrdR-Zn2_neg	caiA//torC//prpE//tam//
NsrR_neg	gudD//allA//murD//frdA//glpB//cynT//nemA//lpxA//nagA//sgbU//ybjG//pgaD//gcvT//ccp//ahpC//malP//idnO//entF//astB//metL//fruK//glgX//hycD//glgC//polA//pfkA//araA//mhpA//cueO//ddlB//mazG//ttdA//fumB//tehB//trpE//poxB//fucK//caiA//tauD//umpH//
NtrC-Phosphorylated_neg	pgpC//asnA//
NtrC-Phosphorylated_pos	ynfE//paaI//putA//torA//entF//glxK//nrdF//sucA//tyrB//torA//mhpC//appA//citG//fadA//hypB//galT//mpl//idnO//idnO//ynfH//lsrK//
OmpR-Phosphorylated_neg	tyrA//deoA//udp//lacA//moeA//
OmpR-Phosphorylated_pos	codA//carA//tehB//caiA//
OxyR_neg	fumC//bioD//adiA//prpB//purL//
OxyR_pos	accC//lysC//nanK//cysN//uvrB//garK//zwf//moaD//allE//bioB//asnB//ilvC//
PaaX_neg	yedX//puuD//malP//ung//carA//rhaA//tdcD//ssuD//cysH//
PdeL_pos	fucU//
PdhR_neg	yfdE//fumB//adiA//guaA//dgcZ//mraY//uxaC//zwf//tam//fabG//dapB//rffH//dgcZ//tdcG//argH//speG//rutE//accC//aceA//fruK//puuE//moeB//rutE//
PdhR_pos	glpD//srlD//
PepA_neg	citD//dhaK//
PgrR_neg	paaA//gapA//
PhoB-Phosphorylated_neg	trpB//pyrC//narI//pgaD//tdcB//
PhoB-Phosphorylated_pos	argD//bioC//phnM//aceB//allD//pyrD//grxA//atoB//tauD//dsdA//paaZ//nanM//bioA//ulaD//polA//dgcC//gadA//
PhoP-Phosphorylated_neg	ftnA//glgC//dinB//
PhoP-Phosphorylated_pos	hmp//epd//fabH//cynT//gatY//gltD//patD//dgkA//lsrK//pspE//tynA//relA//gcl//nirD//paaC//gatD//lyxK//entE//gntK//adhE//mhpB//uxuA//hcaB//glmU//cadA//mhpE//wzb//sdhC//tdcB//mltF//ldtB//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	accC//aroH//gpmA//glgC//
PspF_neg	
PspF_pos	nfsA//
PurR-hypoxanthine_neg	gutQ//tyrB//frdC//argE//oxc//prpC//caiA//gadA//ssuE//entB//lsrK//nirD//prpE//xylB//mhpA//gapA//pyrC//bioB//wzc//pagP//paaZ//moaC//gltB//rutC//sodB//argG//
PutA_neg	nrfC//idnD//
PuuR_neg	narH//malP//pepD//sbcC//bioD//cysC//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	ldtB//astB//frdA//cysH//bioC//
RcdA_neg	
RcdA_pos	adiA//
RclR_pos	
RcnR_neg	napB//
RcsAB_neg	dsdA//
RcsAB_pos	gnd//ynfF//
RcsB-BglJ_pos	treC//gatD//
RcsB-Pasp56_neg	narH//
RcsB-Pasp56_pos	gntK//glgA//napA//
RelB-RelE_neg	aspA//
RelB_neg	leuB//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	narH//lhgO//guaA//ldtB//
Rob_neg	
Rob_pos	galE//polB//allE//iscS//rfe//paaJ//tdcD//dhaK//gutQ//amn//cysK//pyrD//nrfA//ssuE//hcaE//wzb//allD//phnN//hcaB//
RstA-Phosphorylated_neg	entF//nrfA//
RstA-Phosphorylated_pos	purL//
RtcR_pos	rutD//pflB//
RutR_neg	fadJ//sodA//rffC//purM//galE//wzb//entH//wrbA//gcvH//citC//
RutR_pos	puuB//
SdiA_neg	
SdiA_pos	
SgrR_neg	argH//
SgrR_pos	glmU//rtcB//
SlyA_neg	
SlyA_pos	argB//aroL//mtlD//pdeR//pgaB//caiB//lpd//ldtC//hcaE//
SoxR_neg	
SoxR_pos	hyaB//prpD//purL//dkgA//caiD//hcaF//
SoxS_neg	
SoxS_pos	tehB//hcaF//yfdE//sodB//sbcD//fabB//pepD//argF//tktB//mngB//idnK//hmp//hcp//nemA//adhE//trpA//mhpD//hycE//nanK//murD//speA//frdC//sdhB//ulaF//purK//aroH//patA//carB//
SrlR_neg	ccp//cadA//frdD//
StpA_neg	patA//cysN//pheS//
SutR_neg	dinB//araD//
SutR_pos	
TdcA_pos	cysK//hemH//paaK//glk//aspC//
TdcR_pos	polA//sucB//sdhB//pgi//guaB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	garD//carB//lhgO//purB//
TorR-TorI_neg	cysK//
TorR-TorI_pos	
TreR_neg	ydcS//mpaA//
TrpR-tryptophan_neg	luxS//hycB//alkA//atoB//argC//trpA//gapA//gadB//prpE//
TyrR-phenylalanine_neg	ssuD//mngB//
TyrR-phenylalanine_pos	pflB//
TyrR-tyrosine_neg	ftsI//glpC//xapA//pdeR//rnpB//glcF//
TyrR-tyrosine_pos	tnaA//glgX//
TyrR_neg	araB//
TyrR_pos	appA//
UhpA-Phosphorylated_pos	sgbE//
UidR_neg	gdhA//kbaZ//
UlaR_neg	icd//fumB//bioF//paaE//argF//
UvrY-Phosphorylated_pos	pgm//glxR//
UxuR_neg	allC//frc//mltF//nrdD//napG//
XapR-xanthosine_pos	argB//rutD//
XylR-xylose_neg	
XylR-xylose_pos	rimK//purM//phnL//
YdeO_neg	
YdeO_pos	ychF//appA//purL//
YefM-YoeB_neg	paaB//
YefM_neg	murC//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	edd//dgcC//pheT//fabI//fabZ//speA//
YjjQ_neg	ugpQ//ascB//
YpdB-Phosphorylated_pos	
YqhC_pos	nrfD//alaS//
YqjI_neg	purB//
ZntR-Zn2_pos	dsdA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	patA//
