# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	metB//glpC//
FlhDC_neg	mhpE//moaC//
FlhDC_pos	uvrA//hcaB//gutQ//guaB//speG//metA//allB//wecE//asnB//gltD//kbaY//cysG//
FliZ_neg	cysD//grxA//nirB//pyrD//citD//
FucR-L-fuculose-1-P_pos	chbG//gapA//garK//glgB//torC//glcB//
Fur-Fe2_neg	ndh//aceE//citC//fabA//dhaK//tam//atoD//frdB//gatZ//cynS//metH//moaC//pheT//paaE//metL//rhaB//ybjG//fucO//citC//slt//nrdB//tktB//phr//sodB//paaH//uxaB//ssuE//gudD//napA//cysH//uxaC//carB//caiC//fruK//purF//polA//cysC//fabH//metH//fruK//nadA//argF//astB//ydcS//uvrC//metE//tynA//phoA//murE//paaY//dgcC//prs//aldA//
Fur-Fe2_pos	moeA//lsrG//hyaB//talA//garR//carB//argI//rnpB//icd//fadE//xapA//galT//ygeA//sdhA//prs//gadA//
GadE-RcsB_pos	nrdA//ogt//hemH//adhE//glpQ//
GadE_pos	ycjG//rtcA//yqhD//ulaE//oxc//phnM//idnO//ddlB//ttdB//gcvP//
GadW_neg	cysE//atoB//gatY//
GadW_pos	ndh//tktB//paaI//moeA//
GadX_neg	caiB//hcaD//ddlB//
GadX_pos	glcD//gabD//lyxK//accA//puuE//yfdE//sdhB//fucU//fabD//caiC//paaI//
GalR-beta-D-galactose_neg	glmU//trpD//pgpC//prpE//paaZ//
GalR-beta-D-galactose_pos	kbaZ//serA//sgbH//lacZ//
GalR_neg	wecB//tyrB//betB//fucO//dgcN//aceF//
GalR_pos	carA//pgi//pncB//ldtD//
GalS-beta-D-galactose_neg	poxB//gdhA//mazG//dgcN//betB//
GalS-beta-D-galactose_pos	nrdF//entE//nagA//astC//
GalS_neg	hycD//ribA//galK//mtlD//pgm//asnA//
GalS_pos	fadA//cysM//mhpB//garK//
GatR_neg	bacA//sdhC//phnO//
GcvA_neg	rffH//fadJ//narH//
GcvA_pos	malS//cysI//purF//
GlcC-glycolate_neg	
GlcC-glycolate_pos	gdhA//lsrK//citF//
GlpR_neg	mazG//pagP//nirB//allD//dsdA//yeaG//phnO//
GlrR-Pasp56_pos	
GntR_neg	katG//frdC//pnp//nagB//speB//puuE//moaD//nrdD//nrdE//
GutM_pos	purK//epd//pck//
HU_neg	gapA//frc//gcl//srlD//mngB//fabA//nadA//
HU_pos	
HcaR-HCA_pos	deoB//glyA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	yfdE//
HigB-HigA_neg	murI//
HipAB_neg	feaB//gudD//
HipB_neg	alaC//betB//nadB//
HprR-Phosphorylated_neg	astB//dapD//
HprR-Phosphorylated_pos	paaI//thrS//
HyfR_pos	dapD//
HypT-Met-oxidized_neg	entD//uidA//
HypT-Met-oxidized_pos	bioD//ruvB//nanE//fucU//galE//
IclR-pyruvate_neg	deoC//dsdA//paaG//
IdnR-5-ketogluconate_neg	accC//asnA//
IdnR-5-ketogluconate_pos	uvrA//argG//malS//
IlvY-2-acetolactate_pos	eda//
IlvY_neg	
IscR-2Fe-2S_neg	nanM//truB//
IscR_neg	gcvT//fabD//hemH//speA//
IscR_pos	rffH//fabZ//
KdgR_neg	hypB//frdB//
KdpE-Phosphorylated_pos	fadA//
LacI_neg	nrfC//ruvB//glmU//
LeuO_neg	
LeuO_pos	speB//mhpE//mnmG//fes//paaZ//metB//
LexA_neg	cysJ//fabI//argC//hypF//sodB//tpiA//citF//galM//pgk//speB//mpl//napH//paaB//malS//fucO//asnA//ruvA//citD//fabG//sucA//gltD//fucO//purC//
LldR-lactate_neg	hyaC//mnmG//
LldR-lactate_pos	cysH//nadB//
LldR_neg	gcvP//phnG//
LldR_pos	gudD//cysK//
LrhA_neg	
LrhA_pos	
LsrR_neg	ddlB//nrdD//pgaB//phnP//dkgA//
LysR_neg	
LysR_pos	glnA//
MalI_neg	purB//paaB//
MalT-maltotriose-ATP_pos	uidA//cynT//edd//ascB//sucC//astB//
MarA_neg	codA//
MarA_pos	ascB//prpD//allC//deoD//sbcC//citF//argI//argF//wecC//gltD//ycjG//adiA//paaB//trpD//tadA//frdD//hyi//hycB//waaY//dhaL//katE//pgk//rutE//
MarR_neg	
MatA_neg	yeaG//
MatA_pos	
MazE-MazF_neg	caiA//
MazE_neg	ttdB//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	folA//ung//
MelR-melibiose_pos	fabG//cysC//
MelR_neg	prpB//mhpE//
MelR_pos	bioA//gcvP//
MetJ-adenosylmethionine_neg	kbaZ//accC//hemH//fabI//paaG//hmp//hycC//mhpD//dhaL//murF//
MetR-L-homocysteine_neg	argF//
MetR-L-homocysteine_pos	hycB//araD//
MetR_pos	hycD//frdB//
MhpR-3HPP_pos	purN//appA//slt//betB//fabD//speG//
Mlc_neg	uxuB//ugpQ//hmp//malZ//
MlrA_pos	torC//
MngR_neg	fucO//garK//
MntR-Mn2_neg	gltD//
MntR-Mn2_pos	gltD//
ModE-MoO42-_neg	entC//fadD//citF//nirD//astA//adhE//nanM//fabB//
ModE-MoO42-_pos	dacC//kbaZ//gpmA//paaF//uvrC//mpaA//cysJ//aceF//mhpC//
MprA_neg	glcD//paaH//nfsB//
MqsA_neg	lsrF//metL//
MraZ_neg	prpE//prs//prpB//bglB//nrdA//pagP//uxaC//tyrB//paaB//fabG//
MurR_neg	aspA//melA//uxuA//
MurR_pos	
Nac_neg	citE//lysA//ulaE//
Nac_pos	atoA//uvrA//slt//murE//deoB//alaC//phnP//aspA//
NadR_neg	hyi//fumC//rbsK//speA//
NagC_neg	metC//purN//sodB//gatD//entC//araD//purA//fabD//fucO//waaZ//wecE//yfdE//sgbU//hyaC//kbaZ//fadB//sgbU//trpC//
NagC_pos	glsA//fbaA//
NanR_neg	napA//eda//ahpF//ldtC//entA//murF//
NanR_pos	
NarL-Phosphorylated_neg	glxR//ulaG//paaE//accD//sdhD//prs//garL//folA//tadA//frdA//metC//alkA//hcaC//paaI//dapB//nrfD//cysE//cysE//nanK//hemL//hcaE//glgX//gabT//ulaG//fes//adiA//umpH//glyA//
NarL-Phosphorylated_pos	gltD//gcvP//nagB//lpd//glpD//argH//purN//ygeA//chbF//entB//rffC//ubiX//ppc//xapA//hyaA//
NarP-Phosphorylated_neg	chbF//mdh//ahpF//ulaG//talA//
NarP-Phosphorylated_pos	chbF//paaZ//sbcC//pnp//pncB//argH//fadI//yeaE//pgpC//ssuE//yqjH//caiA//puuB//pgaC//
NemR_neg	paaE//umpH//
NhaR-Na_pos	phoA//nirB//rffC//alkB//truB//
NikR-Ni2_neg	gcvH//
NimR_neg	trpD//
NorR_neg	
NorR_pos	fucA//
NrdR-Zn2_neg	fabI//bglB//waaY//phnH//
NsrR_neg	ilvC//lpd//rtcA//trpD//pheT//lhgO//glgC//allC//pagP//udp//gatY//uxuB//nagB//tktB//ssuD//ruvA//pgaB//malY//paaK//grxA//metH//rutA//gor//yqhD//recD//pgaB//dhaL//phnG//pgaB//speG//lpxD//paaE//nanM//hcaD//fbaB//murI//ahpC//accD//phnG//paaC//
NtrC-Phosphorylated_neg	wrbA//purH//
NtrC-Phosphorylated_pos	glmS//pfkA//uxaB//gltB//galM//accC//napG//sucC//gcl//yqjH//rbsD//mltF//mhpA//astD//phnN//citF//yqjH//ybjG//sucD//gltB//polB//
OmpR-Phosphorylated_neg	fadH//asnB//purF//tyrA//hycC//
OmpR-Phosphorylated_pos	pflB//tyrA//pgaC//leuB//
OxyR_neg	astE//katG//speA//gabD//fucI//
OxyR_pos	sucC//murC//aceE//lldD//cueO//wecE//leuB//putA//gcvT//dapD//ahpF//truB//
PaaX_neg	nrfA//paaE//rutB//dhaK//pykF//gcvT//idnD//metL//astD//
PdeL_pos	argH//
PdhR_neg	lldD//ychF//entH//dmsB//nrdE//recF//fabH//glcB//murE//rtcB//caiC//speB//yfdE//ampC//yqjH//ung//glpD//napH//glgA//cysC//gutQ//rfe//malQ//
PdhR_pos	accD//melA//
PepA_neg	pepD//hemL//
PgrR_neg	rtcA//lpxD//
PhoB-Phosphorylated_neg	hycF//pheT//adhE//yedX//phnJ//
PhoB-Phosphorylated_pos	accA//lysC//allA//puuA//alkA//lysC//gpmA//waaY//dkgB//gloA//lpxD//pykF//uvrC//truB//chbG//cysH//putA//
PhoP-Phosphorylated_neg	uxaA//oxc//tam//
PhoP-Phosphorylated_pos	gcvH//ydcS//mazG//idnO//narG//nadB//tam//purF//paaZ//ddlB//zwf//galT//pnp//galT//dkgB//lacA//napG//bioB//glmS//gloA//gcvH//torA//trpB//mhpA//ubiC//melA//dmsA//pyrC//entC//bioA//recD//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	pncB//purL//wzc//waaZ//
PspF_neg	
PspF_pos	glyA//
PurR-hypoxanthine_neg	argI//ftsI//mdh//citC//paaI//pgaB//chbF//dmsB//betB//mhpF//mpl//relA//narI//pgaB//hcp//puuA//uxaA//glmU//ybjG//hycG//pnp//glgX//argG//fabH//pdeL//gpmM//
PutA_neg	recD//tktB//
PuuR_neg	gcl//frdA//xylB//pgaB//ilvC//betA//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	ung//entD//fabZ//ugpQ//cysD//
RcdA_neg	
RcdA_pos	argG//
RclR_pos	
RcnR_neg	betB//
RcsAB_neg	rutB//
RcsAB_pos	fau//glgB//
RcsB-BglJ_pos	adhE//pspE//
RcsB-Pasp56_neg	cynT//
RcsB-Pasp56_pos	lsrF//rffT//nanE//
RelB-RelE_neg	pdeL//
RelB_neg	pgaB//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	pgpC//mtlD//ogt//mazG//
Rob_neg	
Rob_pos	hycC//sgbU//gcl//gcvP//accC//ydcS//fumC//garL//cadA//fes//yfdE//fadH//uxaC//bglB//aceA//ugpQ//speB//gadB//glcB//
RstA-Phosphorylated_neg	deoB//hyaA//
RstA-Phosphorylated_pos	frdA//
RtcR_pos	lpd//argI//
RutR_neg	uidA//gadB//ydcS//purB//dkgB//ogt//gatY//grxA//dgkA//malY//
RutR_pos	cysG//
SdiA_neg	
SdiA_pos	
SgrR_neg	napA//
SgrR_pos	deoA//phnP//
SlyA_neg	
SlyA_pos	pnp//ldtD//metE//murI//torC//lpxC//glpX//astE//murE//
SoxR_neg	
SoxR_pos	sbcC//pnp//dhaK//wecC//pheT//entH//
SoxS_neg	
SoxS_pos	rffC//nirB//glxR//pgaC//pgaD//narG//bioF//umpH//entD//napA//mazG//accD//pgi//ygeA//mhpD//glmU//astC//glsA//narG//accA//glsA//alaC//uvrA//lpxD//dinB//gltD//rtcB//chbG//
SrlR_neg	argC//nanK//atoD//
StpA_neg	dgcN//patD//tktB//
SutR_neg	metA//rnpB//
SutR_pos	
TdcA_pos	lsrF//lacZ//paaC//purL//ahpC//
TdcR_pos	recD//edd//ada//aceF//ugpQ//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	glpD//katE//rffT//pspE//
TorR-TorI_neg	ftsI//
TorR-TorI_pos	
TreR_neg	deoB//nanK//
TrpR-tryptophan_neg	wecE//glgP//sodA//rffT//patD//sucC//murC//yqhD//hemH//
TyrR-phenylalanine_neg	pykF//paaZ//
TyrR-phenylalanine_pos	entE//
TyrR-tyrosine_neg	sucB//fbaB//fucO//paaY//hemL//paaB//
TyrR-tyrosine_pos	ubiA//fucA//
TyrR_neg	tnaA//
TyrR_pos	puuD//
UhpA-Phosphorylated_pos	purE//
UidR_neg	nrdD//napH//
UlaR_neg	fruK//paaZ//glpX//yfdE//hemL//
UvrY-Phosphorylated_pos	gabD//fbaA//
UxuR_neg	cynS//purB//narI//pgaB//glgX//
XapR-xanthosine_pos	phnG//tpiA//
XylR-xylose_neg	
XylR-xylose_pos	frdD//nanA//tdcE//
YdeO_neg	
YdeO_pos	ldtC//fabH//cysH//
YefM-YoeB_neg	astC//
YefM_neg	purE//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	xylA//metC//moaE//gcvP//carA//pspE//
YjjQ_neg	garR//srlD//
YpdB-Phosphorylated_pos	
YqhC_pos	rbsK//rbsK//
YqjI_neg	ynfF//
ZntR-Zn2_pos	dgkA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	ssuE//
