# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	mhpF//prpB//
GutM_pos	grxA//cysE//lpxD//
HU_neg	mraY//galT//pck//ulaD//pgaB//nrdD//sdhA//
HU_pos	
HcaR-HCA_pos	acnA//gabD//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	tauD//
HigB-HigA_neg	lsrG//
HipAB_neg	ttdB//nemA//
HipB_neg	murF//astC//argB//
HprR-Phosphorylated_neg	murC//cysC//
HprR-Phosphorylated_pos	citX//araA//
HyfR_pos	pck//
HypT-Met-oxidized_neg	rbsK//caiD//
HypT-Met-oxidized_pos	bioF//galM//allD//bioF//frdC//
IclR-pyruvate_neg	ssuE//wzb//asnA//
IdnR-5-ketogluconate_neg	entE//rnpB//
IdnR-5-ketogluconate_pos	leuB//aspC//nagA//
IlvY-2-acetolactate_pos	recB//
IlvY_neg	
IscR-2Fe-2S_neg	entE//cysG//
IscR_neg	dacC//lacZ//guaB//lsrF//
IscR_pos	cynS//leuC//
KdgR_neg	lsrF//astD//
KdpE-Phosphorylated_pos	pagP//
LacI_neg	yqjH//napA//cysH//
LeuO_neg	
LeuO_pos	astB//astC//uidA//mdh//xapA//napA//
LexA_neg	nrdE//pgpC//relA//talA//purM//uvrB//caiA//nadB//ccp//pheT//astB//luxS//lpxA//dhaK//mhpA//glgA//sucA//metE//atoB//gntK//uxaC//frdB//aceB//
LldR-lactate_neg	rbsK//sgbH//
LldR-lactate_pos	paaH//nfsA//
LldR_neg	hycC//caiD//
LldR_pos	paaK//glcD//
LrhA_neg	
LrhA_pos	
LsrR_neg	galK//galT//nanE//rtcB//nfsB//
LysR_neg	
LysR_pos	tehB//
MalI_neg	cysI//ubiC//
MalT-maltotriose-ATP_pos	frc//xapA//xylB//gutQ//tyrA//cysG//
MarA_neg	ygeA//
MarA_pos	putA//gpmM//argF//lsrK//glcF//feaB//paaC//frc//lsrF//puuC//argG//torC//gltB//sgbE//rpiB//yfdE//nirB//malS//idnK//hcaF//glpQ//cyoE//argD//
MarR_neg	
MatA_neg	leuD//
MatA_pos	
MazE-MazF_neg	gcvH//
MazE_neg	glpQ//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	nrdA//ppsA//
MelR-melibiose_pos	astD//ribA//
MelR_neg	puuC//phr//
MelR_pos	guaA//cysK//
MetJ-adenosylmethionine_neg	lyxK//tyrA//pagP//ppiA//prpC//murI//asnB//bioC//rhaD//uxuB//
MetR-L-homocysteine_neg	mhpA//
MetR-L-homocysteine_pos	rffM//fabZ//
MetR_pos	caiC//ftsI//
MhpR-3HPP_pos	ynfE//icd//mnmG//araB//ftsI//ahpC//
Mlc_neg	aroH//yiaK//ttdB//xylA//
MlrA_pos	chbG//
MngR_neg	hcaE//nagB//
MntR-Mn2_neg	gcvT//
MntR-Mn2_pos	purM//
ModE-MoO42-_neg	cysE//dgcN//murG//caiC//lpxD//ugpQ//asnB//cysH//
ModE-MoO42-_pos	sgbU//gcvT//malQ//tyrB//nirB//gadA//glpD//metB//dkgB//
MprA_neg	galT//entE//recF//
MqsA_neg	mpaA//pyrD//
MraZ_neg	trpA//dhaL//paaK//speB//sdhD//mpl//cynS//narH//ldtB//dgcC//
MurR_neg	dgcN//speG//edd//
MurR_pos	
Nac_neg	gpmM//tam//pnp//
Nac_pos	pyrD//cynS//ssuE//hemL//mtlD//deoB//pdeL//aroH//
NadR_neg	waaH//waaZ//araB//idnK//
NagC_neg	garK//ubiX//cdd//nfsB//cynS//fadA//puuD//phoA//sufS//idnD//gcvH//malZ//ftsI//narG//dsdA//moeA//murF//mtlD//
NagC_pos	hycC//gcvT//
NanR_neg	sdhB//phnI//glgX//pfkA//fadJ//fadB//
NanR_pos	
NarL-Phosphorylated_neg	frdD//rutE//cyoE//dsdA//aroF//phnH//araD//galM//metF//astC//ung//moaD//pck//caiD//fadE//speB//narH//puuD//glpB//guaA//acnB//puuE//prpB//lpd//paaI//idnO//mdh//lsrK//
NarL-Phosphorylated_pos	waaY//garK//trpE//fabZ//lpxA//purD//ydcS//tpiA//cysH//pdeH//cadA//citD//astE//caiC//sgbH//
NarP-Phosphorylated_neg	prpD//glsA//bglB//nrdB//paaY//
NarP-Phosphorylated_pos	ulaD//yeaG//alaS//hyaA//purL//glsA//aroH//treC//gcvH//speB//fucA//gabT//eda//metC//
NemR_neg	waaH//mngB//
NhaR-Na_pos	dhaM//puuD//alaS//waaZ//pgpC//
NikR-Ni2_neg	talA//
NimR_neg	hcp//
NorR_neg	
NorR_pos	accA//
NrdR-Zn2_neg	hyaA//fes//metK//lacA//
NsrR_neg	puuB//paaG//lpd//glgP//cynS//fucO//nanM//leuB//hyi//tdcG//accA//srkA//aroF//alkB//pgaD//citC//bioF//rutD//pncB//hcaC//torA//glcF//glpB//cadA//accD//pepD//yiaK//rsmH//mhpA//pgaD//phoA//gpmM//sucB//sucB//nrdB//moeA//gatD//recF//sgbE//hemH//
NtrC-Phosphorylated_neg	ydcS//lacA//
NtrC-Phosphorylated_pos	rbsK//metK//katG//lacA//cysG//uvrB//hyaB//astD//fadE//purM//leuB//mpaA//allA//murQ//ttdB//tdcG//gcl//glpK//glcF//prpD//ilvC//
OmpR-Phosphorylated_neg	aceE//nfsA//ttdB//metC//aroL//
OmpR-Phosphorylated_pos	hycG//garK//glgX//gcvP//
OxyR_neg	pspE//nagA//mpl//torA//astD//
OxyR_pos	rtcA//feaB//bglB//trpA//katG//tdcB//torA//rffM//alkA//hcp//trpD//citX//
PaaX_neg	waaH//puuB//sgbH//entF//lyxK//acnA//oxc//murC//gltB//
PdeL_pos	ldtC//
PdhR_neg	dgcZ//entF//phnI//mnmG//fumC//serA//glpX//nagA//nfsA//ahpC//mazG//zwf//mltF//torA//ulaG//ubiA//xapA//fadJ//allC//gatY//lpxD//glcE//talA//
PdhR_pos	atoD//luxS//
PepA_neg	glpX//narH//
PgrR_neg	frdB//mpaA//
PhoB-Phosphorylated_neg	rbsK//caiD//hcp//paaZ//metK//
PhoB-Phosphorylated_pos	paaG//uxaA//yqhD//deoC//hyaC//metA//aroL//nirB//uidA//murC//fabZ//betB//dsdA//waaY//puuB//melA//ynfG//
PhoP-Phosphorylated_neg	mnmG//rffT//gntK//
PhoP-Phosphorylated_pos	cysH//deoB//caiA//ssuD//bioD//ynfG//gutQ//fadH//bioA//glpX//uxuB//lacZ//xylA//allC//gor//phnO//fumB//pgi//ugpQ//rutD//acnB//paaH//purF//sgbE//hcaF//nrdB//napH//gadA//garD//mraY//purN//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	fucK//sucC//aroG//ppc//
PspF_neg	
PspF_pos	pncB//
PurR-hypoxanthine_neg	uvrC//tam//sbcC//tdcE//glpD//rffT//murC//rfe//mazG//leuD//gpmM//speB//metH//gloA//lsrK//lysA//ilvC//uvrC//sodB//rtcA//metE//idnO//fabA//folA//entE//ldtB//
PutA_neg	pgm//citG//
PuuR_neg	ulaE//psd//nadA//carB//phnO//kbaY//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	patA//aceE//fumC//yqjH//ubiC//
RcdA_neg	
RcdA_pos	ppsA//
RclR_pos	
RcnR_neg	fau//
RcsAB_neg	yeaE//
RcsAB_pos	dapB//hyaA//
RcsB-BglJ_pos	araB//allB//
RcsB-Pasp56_neg	ndh//
RcsB-Pasp56_pos	glcE//aceF//guaA//
RelB-RelE_neg	argB//
RelB_neg	sdhB//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	codA//rnpB//accC//betB//
Rob_neg	
Rob_pos	cysC//cysJ//waaH//putA//gpmA//wecC//glgX//metH//allB//iscS//putA//ulaD//aspA//metC//ugpQ//rtcA//pdeH//uxaC//bioC//
RstA-Phosphorylated_neg	gatY//rbsD//
RstA-Phosphorylated_pos	uidA//
RtcR_pos	frdC//ssuE//
RutR_neg	lsrF//fabB//narG//sdhD//garL//hcaE//sucD//paaJ//acnA//lhgO//
RutR_pos	uvrC//
SdiA_neg	
SdiA_pos	
SgrR_neg	argB//
SgrR_pos	rbsD//hycF//
SlyA_neg	
SlyA_pos	betB//wecC//umpH//hycG//lysA//hcaF//umuD//wecB//hycC//
SoxR_neg	
SoxR_pos	caiD//cysH//purL//pgi//wecE//torC//
SoxS_neg	
SoxS_pos	ruvA//fucK//tnaA//tynA//cyoE//argG//entF//phnJ//purC//deoB//sufS//nemA//rutE//malS//ydcS//idnK//yfdE//ychF//gutQ//phnO//ruvB//glpX//rutB//phnN//citD//purA//srkA//ttdA//
SrlR_neg	lyxK//trpD//thrS//
StpA_neg	entA//gntK//tauD//
SutR_neg	pfkA//fucU//
SutR_pos	
TdcA_pos	caiB//guaA//gcvH//ribA//pyrD//
TdcR_pos	rffH//hyaC//fruK//ttdA//moaC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	patD//citF//citF//ruvA//
TorR-TorI_neg	hyaB//
TorR-TorI_pos	
TreR_neg	glgB//lhgO//
TrpR-tryptophan_neg	gatZ//napA//ldtB//eda//aceB//hycG//citX//phnJ//paaF//
TyrR-phenylalanine_neg	murF//mpaA//
TyrR-phenylalanine_pos	pheT//
TyrR-tyrosine_neg	rutA//malP//lacZ//nanA//ulaE//nagA//
TyrR-tyrosine_pos	amn//tdcE//
TyrR_neg	fau//
TyrR_pos	leuC//
UhpA-Phosphorylated_pos	sodA//
UidR_neg	nrdD//sdhA//
UlaR_neg	trpA//purH//appA//mtlD//cynS//
UvrY-Phosphorylated_pos	gcl//ascB//
UxuR_neg	tam//lacZ//accA//entH//katG//
XapR-xanthosine_pos	phnO//gpmM//
XylR-xylose_neg	
XylR-xylose_pos	aceE//alaS//dmsB//
YdeO_neg	
YdeO_pos	bioD//phnI//dhaL//
YefM-YoeB_neg	ulaG//
YefM_neg	bioA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	truB//rutC//ppsA//hycF//eda//bioA//
YjjQ_neg	pheS//gpmA//
YpdB-Phosphorylated_pos	
YqhC_pos	pgaB//folA//
YqjI_neg	metF//
ZntR-Zn2_pos	dkgA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	alsE//
