# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	sodB//ssuD//
ChbR-N-monoacetylchitobiose6-phosphate_neg	folA//garL//wecE//
ChbR-N-monoacetylchitobiose6-phosphate_pos	paaY//rutD//hypF//
ChbR_neg	nrdE//pepD//ruvB//
ChbR_pos	ychF//tauD//dinB//
ComR_neg	
CpxR-Phosphorylated_neg	tadA//xylB//argE//
CpxR-Phosphorylated_pos	yeaE//rsmH//rutD//dmsC//malS//rffT//dgcZ//ssuE//hypB//pykF//fadD//nadA//tpiA//ilvC//nrfD//glcF//sodA//phnL//
Cra_neg	slt//ubiX//ttdA//dmsC//paaE//ppc//phnL//argA//fabZ//mngB//paaI//pgaC//phnJ//nadB//alaS//aspC//sgbH//carA//folA//lysA//fucA//aceA//trpD//fbaA//fbaB//accA//ttdA//ahpF//guaA//glcB//umpH//bioD//tdcE//narH//cysG//idnD//allB//glgA//puuD//dgcC//ampC//metE//fumC//idnD//purK//
Cra_pos	ftnA//fruK//ada//adiA//purC//nanK//malY//gapA//grxA//aldA//tadA//pgaB//citD//paaG//gpmA//gor//aceF//
CreB-Phosphorylated_neg	torC//
CreB-Phosphorylated_pos	mhpC//
CsgD_neg	lldD//phnJ//
CsgD_pos	ppsA//glcB//paaJ//
CsiR_neg	sodA//hcaC//tyrB//aroL//
CspA_pos	rutC//
CueR-Cu_neg	dmsC//metF//glxK//
CueR-Cu_pos	lysC//glpD//
CusR-Pasp_pos	slt//lysA//nagB//paaK//
CynR-cyanate_pos	lysA//lyxK//pspE//
CynR_neg	
CysB-O-acetyl-L-serine_neg	wecC//atoA//fumC//
CysB-O-acetyl-L-serine_pos	purK//ygeA//phnJ//glk//aspA//dmsC//murI//nrfD//ychF//polB//truB//deoA//
CysB_neg	
CysB_pos	ppiA//srkA//
CytR_neg	fabA//moaC//hycE//sodA//recF//slt//hycC//tadA//gadA//glpX//
Dan-L-tartrate_pos	purB//allC//
DcuR-Phosphorylated_pos	phnJ//moaC//gdhA//ycjG//
DeoR_neg	prpC//citC//nrfA//accC//napB//mhpB//
DhaR_neg	
DhaR_pos	nrdA//
DicA_neg	
DinJ-YafQ_neg	glgP//
DnaA-ATP_neg	nagA//nanM//dgkA//lysA//araD//
DnaA-ATP_pos	glpX//caiC//hypB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	murC//ulaG//bioC//purA//rffH//
DsdC-D-serine_neg	
DsdC-D-serine_pos	alaC//sgbU//
EbgR_neg	
EnvR_neg	aroH//rtcA//
EnvY_pos	rtcB//eda//
EvgA-Phosphorylated_pos	metH//argB//allC//purL//tadA//mraY//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	fucO//lldD//cysD//guaB//ttdA//phnJ//
FabR_neg	garL//ldtD//dacC//
FadR-acyl-CoA_pos	
FadR_neg	katE//trpD//gcl//pgaC//glpC//cysN//gnd//tauD//tynA//
FadR_pos	puuD//ttdB//uxuB//hyi//mnmG//malQ//sucA//glpK//phnG//katE//
FeaR_pos	fau//aspA//
FhlA-formate_pos	rimK//yiaK//mhpD//fes//phoA//wzb//zwf//lsrK//
FlhDC_neg	edd//nrdD//
FlhDC_pos	paaH//prs//serA//metK//speA//ahpC//dapD//tehB//paaY//sucD//sufS//mdh//
FliZ_neg	bioF//tktB//hycD//pdeR//malY//
FucR-L-fuculose-1-P_pos	mhpC//allB//ruvB//idnD//patD//rimK//
Fur-Fe2_neg	frdD//pck//sucD//cysJ//dapD//puuC//caiB//paaI//lpxD//hyaA//malP//malY//argE//rhaB//purC//entC//glpC//dgkA//dhaK//purC//phnO//mltF//dmsC//atoB//rbsK//fabB//glgC//cysG//sodA//lacA//pncB//edd//putA//idnD//mraY//aroH//ygeA//rtcB//allE//phnI//ppiA//fabD//garD//dmsA//mltF//pflB//citE//prpE//fdhF//rbsD//frdC//phoA//pykF//
Fur-Fe2_pos	cysI//fabB//mhpB//umuD//sdhA//trpE//gloA//ftsI//glgB//ruvB//hemL//uxuB//tpiA//paaH//acnB//glnA//
GadE-RcsB_pos	ldtB//dinB//icd//purA//mhpD//
GadE_pos	ppsA//allB//hmp//hycG//sbcD//puuD//uvrB//pfkA//rffH//glcB//
GadW_neg	alaC//recD//carA//
GadW_pos	gloA//lsrG//frdB//ldtB//
GadX_neg	gor//relA//atoB//
GadX_pos	citC//aceA//nrfD//gcvT//poxB//tnaA//fabH//purN//fabA//nfsB//guaB//
GalR-beta-D-galactose_neg	ssuE//purK//dkgA//hcaB//truB//
GalR-beta-D-galactose_pos	rffT//ogt//narG//dhaM//
GalR_neg	amn//glnA//entD//psd//alaC//ldtC//
GalR_pos	fumB//rpiB//narI//cysH//
GalS-beta-D-galactose_neg	narI//glgX//rffM//trpC//rffC//
GalS-beta-D-galactose_pos	fadJ//fau//nagA//carA//
GalS_neg	ubiA//purB//rnpB//aroH//metH//fadM//
GalS_pos	luxS//umuD//fumB//pdeL//
GatR_neg	hyaC//galT//grxA//
GcvA_neg	waaY//lacZ//cysJ//
GcvA_pos	garK//yeaG//ychF//
GlcC-glycolate_neg	
GlcC-glycolate_pos	entB//lyxK//pdeL//
GlpR_neg	paaB//speA//nrdA//poxB//guaB//prpD//folE//
GlrR-Pasp56_pos	
GntR_neg	narI//bioA//hycG//gutQ//glcD//fabB//rutE//patD//iscS//
GutM_pos	uxaA//gabT//tdcB//
HU_neg	paaH//glxR//glgX//adiA//entD//gatD//puuA//
HU_pos	
HcaR-HCA_pos	ftsI//fabH//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	entD//
HigB-HigA_neg	paaA//
HipAB_neg	ulaF//dkgA//
HipB_neg	glcF//cynT//moeA//
HprR-Phosphorylated_neg	rtcB//srkA//
HprR-Phosphorylated_pos	accD//murQ//
HyfR_pos	gloA//
HypT-Met-oxidized_neg	gcl//glpQ//
HypT-Met-oxidized_pos	sucD//dmsA//appA//cynS//entH//
IclR-pyruvate_neg	fabH//aspA//eda//
IdnR-5-ketogluconate_neg	prpD//aroH//
IdnR-5-ketogluconate_pos	ycjG//nanE//puuC//
IlvY-2-acetolactate_pos	pgm//
IlvY_neg	
IscR-2Fe-2S_neg	gadA//polA//
IscR_neg	prpC//entE//moaD//argD//
IscR_pos	caiB//sodB//
KdgR_neg	asnA//recF//
KdpE-Phosphorylated_pos	gnd//
LacI_neg	iscS//tyrA//alaS//
LeuO_neg	
LeuO_pos	mtlD//frdD//bacA//carA//fdhF//rtcB//
LexA_neg	idnK//glxR//murE//metC//dhaM//paaZ//glcE//paaI//pepD//tnaA//citF//ahpF//hypB//gloA//rutB//hcaD//sucA//astC//fumB//cueO//wzb//rffG//pagP//
LldR-lactate_neg	nrfC//katE//
LldR-lactate_pos	araA//fumB//
LldR_neg	hcaB//hypF//
LldR_pos	dapB//ynfG//
LrhA_neg	
LrhA_pos	
LsrR_neg	uxaB//fadM//gcvT//yeaE//xylA//
LysR_neg	
LysR_pos	tynA//
MalI_neg	ldtD//puuA//
MalT-maltotriose-ATP_pos	recB//glcD//rffG//aceB//codA//fadH//
MarA_neg	lpxD//
MarA_pos	araB//aroF//putA//xylB//ldtB//metK//nrdB//aroG//rffG//murE//metE//metA//fadH//gpmM//galK//dhaK//dacC//pykF//hcp//paaY//mhpD//lysA//xylA//
MarR_neg	
MatA_neg	tynA//
MatA_pos	
MazE-MazF_neg	nanM//
MazE_neg	murF//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	garL//mdh//
MelR-melibiose_pos	tyrB//purD//
MelR_neg	glcB//metE//
MelR_pos	purM//argA//
MetJ-adenosylmethionine_neg	gloA//malQ//hmp//rnpB//frc//trpE//entE//dkgA//idnD//bglB//
MetR-L-homocysteine_neg	mazG//
MetR-L-homocysteine_pos	ycjG//sucC//
MetR_pos	dhaK//aceB//
MhpR-3HPP_pos	yiaK//citG//rffT//bioB//argI//carA//
Mlc_neg	astC//ppsA//relA//fbaA//
MlrA_pos	aceA//
MngR_neg	ulaD//mhpB//
MntR-Mn2_neg	fbaB//
MntR-Mn2_pos	pgaD//
ModE-MoO42-_neg	aceB//pgi//fabG//glpB//aceE//gnd//nanK//gadB//
ModE-MoO42-_pos	ribA//truB//ribA//citD//tam//lsrG//allB//paaE//appA//
MprA_neg	trpD//cynT//metC//
MqsA_neg	rimK//gapA//
MraZ_neg	xylA//aldA//uxaB//zwf//phnN//gcvP//glpX//kbaY//cynT//purL//
MurR_neg	dhaL//gatY//murQ//
MurR_pos	
Nac_neg	argB//glxK//ulaF//
Nac_pos	wecE//bioD//aroH//glmU//purM//napG//ruvA//ogt//
NadR_neg	tehB//mtlD//citX//grxA//
NagC_neg	glxR//gapA//deoB//cysD//lpxD//ddlB//paaK//mhpB//tdcG//mazG//hypB//sbcC//gcl//entA//caiD//phnG//pfkA//pagP//
NagC_pos	serA//astC//
NanR_neg	mpaA//glpQ//nfsB//waaZ//ccp//alaC//
NanR_pos	
NarL-Phosphorylated_neg	galK//uidA//ribA//fucA//gatY//rfe//fbaA//dmsC//deoA//asnA//lsrF//nagA//astD//umpH//relA//kbaY//fabA//ubiX//entE//kbaY//rhaA//gcvP//entB//ubiC//pgi//paaK//torA//mnmG//
NarL-Phosphorylated_pos	paaH//dhaK//aspA//yqhD//ychF//slt//uxuA//glnA//idnD//leuB//paaY//rutB//trpD//alkB//hycC//
NarP-Phosphorylated_neg	rbsD//acnB//entB//napA//murG//
NarP-Phosphorylated_pos	eno//pgaC//paaK//umuC//astE//fabH//purM//napH//xylA//pspE//gcl//pdeL//umpH//tauD//
NemR_neg	allB//purD//
NhaR-Na_pos	ynfF//cyoE//fabZ//cysC//narI//
NikR-Ni2_neg	gloA//
NimR_neg	ttdA//
NorR_neg	
NorR_pos	dapB//
NrdR-Zn2_neg	glgC//dhaK//adhE//mraY//
NsrR_neg	fruK//pck//aroH//purF//pdeL//pspE//mngB//citD//garR//tdcG//purM//fabB//sucD//rsmH//hycC//nadB//narG//mdh//ada//phnL//folA//ldtD//pflB//slt//entB//asnA//gloA//eda//psd//psd//galE//mtlD//guaB//malZ//atoB//fadB//phnL//wecC//waaH//tadA//
NtrC-Phosphorylated_neg	entB//murD//
NtrC-Phosphorylated_pos	trpB//zwf//mdh//cysM//gatZ//uxaB//metA//melA//prpB//ugpQ//gatD//dapD//garL//rhaA//gdhA//ruvA//arsC//caiD//astC//allE//phnM//
OmpR-Phosphorylated_neg	allC//cyoE//uxaC//dapD//malS//
OmpR-Phosphorylated_pos	dgkA//ung//garD//mnmG//
OxyR_neg	phnM//ldtD//lsrG//cysE//ynfH//
OxyR_pos	aroL//ulaF//dhaK//pepD//sgbE//hypF//yeaE//garK//deoC//gpmA//gatD//lldD//
PaaX_neg	gcvP//pflB//pyrC//lacZ//alkB//fadB//chbF//tam//carA//
PdeL_pos	fbaB//
PdhR_neg	mltF//talA//ynfE//nrdF//phnJ//uxuA//torA//trpC//alkA//gpmM//alsE//rpiB//eno//hemL//deoA//psd//hyaA//glgB//phnH//caiB//nfsB//recD//gltB//
PdhR_pos	atoA//purD//
PepA_neg	prpD//moaE//
PgrR_neg	torA//mdh//
PhoB-Phosphorylated_neg	fabZ//speG//polA//ahpC//ppc//
PhoB-Phosphorylated_pos	pykF//cyoE//deoA//nrdB//glk//rimK//xylB//hcaD//guaB//argA//lysA//ynfH//aceF//ldtB//udp//ung//hcaB//
PhoP-Phosphorylated_neg	wrbA//malS//srkA//
PhoP-Phosphorylated_pos	glpQ//purL//allE//nirB//alaC//carB//hcaE//rffH//puuA//citG//patD//ugpQ//rffC//idnD//paaK//cueO//gpmA//citE//aceB//ftnA//citC//recD//glxK//paaC//slt//phnN//appA//guaA//ssuE//caiB//lyxK//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	edd//sdhB//galE//dgcN//
PspF_neg	
PspF_pos	recF//
PurR-hypoxanthine_neg	sucB//feaB//gdhA//paaF//glpD//pyrC//oxc//lpd//bioD//wzb//malP//puuB//fadE//ldtD//cysK//ssuD//ruvA//argI//entE//galM//cysG//lyxK//tpiA//glnA//hycB//moaC//
PutA_neg	ygeA//hypF//
PuuR_neg	fucU//galM//purL//tadA//bioD//cyoE//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	wecB//nanE//waaH//nrdA//murQ//
RcdA_neg	
RcdA_pos	gatD//
RclR_pos	
RcnR_neg	nrdA//
RcsAB_neg	aceA//
RcsAB_pos	gatD//dmsC//
RcsB-BglJ_pos	gcvT//araA//
RcsB-Pasp56_neg	ruvA//
RcsB-Pasp56_pos	cysE//pagP//treC//
RelB-RelE_neg	ddlB//
RelB_neg	mraY//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	mpaA//dapD//glpC//cysC//
Rob_neg	
Rob_pos	carA//cynT//aceF//allA//hcaD//mpl//torC//sucB//tauD//mdh//mhpE//ynfG//accA//bioD//fucO//acnA//fucA//lacZ//mtlD//
RstA-Phosphorylated_neg	nrdF//metC//
RstA-Phosphorylated_pos	paaC//
RtcR_pos	citD//paaF//
RutR_neg	puuD//gcvH//dhaL//argI//gltB//feaB//rutD//gcl//torC//wzc//
RutR_pos	metC//
SdiA_neg	
SdiA_pos	
SgrR_neg	glcE//
SgrR_pos	fabI//entC//
SlyA_neg	
SlyA_pos	cyoE//gcvP//alaS//patA//fucO//purD//glpX//tyrB//ycjG//
SoxR_neg	
SoxR_pos	ugpQ//pyrC//trpA//paaA//citG//trpA//
SoxS_neg	
SoxS_pos	gcl//nanE//mhpE//ttdA//rffH//ybjG//fabA//nrdF//metF//puuE//dapD//feaB//oxc//rpiB//paaI//phnG//pfkA//arsC//nirB//bioB//ppsA//paaJ//murI//xylB//allA//wzc//ppiA//paaZ//
SrlR_neg	phoA//chbF//edd//
StpA_neg	entF//cysM//hycD//
SutR_neg	rtcA//sdhD//
SutR_pos	
TdcA_pos	metF//glsA//ada//ribA//tadA//
TdcR_pos	feaB//dkgA//deoD//ahpF//aroL//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	phoA//prpB//lsrG//fabD//
TorR-TorI_neg	purE//
TorR-TorI_pos	
TreR_neg	ynfE//nfsB//
TrpR-tryptophan_neg	phnG//mnmG//uvrC//phr//metC//phr//bacA//nrdB//glcF//
TyrR-phenylalanine_neg	aroG//rutC//
TyrR-phenylalanine_pos	fadB//
TyrR-tyrosine_neg	pncB//hcaC//glnA//rutB//lacZ//hyi//
TyrR-tyrosine_pos	ftsI//trpE//
TyrR_neg	argA//
TyrR_pos	fucO//
UhpA-Phosphorylated_pos	fau//
UidR_neg	sucD//aceF//
UlaR_neg	mazG//phnI//murG//bacA//frdB//
UvrY-Phosphorylated_pos	glgC//wrbA//
UxuR_neg	puuD//epd//glpB//cysE//pgaB//
XapR-xanthosine_pos	tyrA//torA//
XylR-xylose_neg	
XylR-xylose_pos	pheS//carA//ttdB//
YdeO_neg	
YdeO_pos	fabI//purE//aroH//
YefM-YoeB_neg	sgbE//
YefM_neg	gpmA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	fucI//aceB//ppc//rffM//sbcC//ftnA//
YjjQ_neg	katE//citF//
YpdB-Phosphorylated_pos	
YqhC_pos	hcaF//uidA//
YqjI_neg	purF//
ZntR-Zn2_pos	trpD//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	cysN//
