# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	putA//malZ//
CueR-Cu_neg	deoD//deoB//pepD//
CueR-Cu_pos	polB//nrfA//
CusR-Pasp_pos	gutQ//atoD//sdhD//hcaB//
CynR-cyanate_pos	gutQ//gcvP//fabD//
CynR_neg	
CysB-O-acetyl-L-serine_neg	entA//fes//citG//
CysB-O-acetyl-L-serine_pos	dsdA//purA//aceE//lpxC//fabG//fau//melA//gabD//aroF//cyoE//glxR//murF//
CysB_neg	
CysB_pos	tdcD//prpD//
CytR_neg	pgi//ubiC//rhaA//talA//tynA//speA//sdhA//phnH//betB//ung//
Dan-L-tartrate_pos	folE//sgbU//
DcuR-Phosphorylated_pos	rbsK//ssuE//argD//trpA//
DeoR_neg	sbcD//fadB//cysM//murC//nrdB//argD//
DhaR_neg	
DhaR_pos	argG//
DicA_neg	
DinJ-YafQ_neg	ssuD//
DnaA-ATP_neg	adhE//napG//rffC//cynS//leuB//
DnaA-ATP_pos	frc//pyrD//sufS//
DpiA-Pasp_neg	
DpiA-Pasp_pos	ulaF//moaD//trpE//waaH//gcvP//
DsdC-D-serine_neg	
DsdC-D-serine_pos	glpX//lldD//
EbgR_neg	
EnvR_neg	ilvC//bioF//
EnvY_pos	phnM//lsrF//
EvgA-Phosphorylated_pos	cysD//cysN//fucU//tktB//rtcB//bioA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	ung//galE//bioB//astA//uxuA//bioD//
FabR_neg	sodA//ugpQ//cdd//
FadR-acyl-CoA_pos	
FadR_neg	asnA//cysH//purK//hypF//kbaY//dgcN//pyrC//leuA//rffT//
FadR_pos	fumB//rffM//tehB//puuC//murQ//prpB//ygeA//mdh//glmS//hyaB//
FeaR_pos	astD//glgX//
FhlA-formate_pos	bioD//amn//gcvT//galK//gdhA//metH//pykF//lsrK//
FlhDC_neg	tehB//carA//
FlhDC_pos	lysC//rutB//cynT//fumC//citE//citE//lhgO//wecE//codA//nrfD//malP//entC//
FliZ_neg	accC//tauD//leuC//murC//ppiA//
FucR-L-fuculose-1-P_pos	umuD//phnP//deoD//pnp//frdA//citC//
Fur-Fe2_neg	lpxD//gabD//lldD//nanE//hyi//xylA//dgcC//caiC//rimK//purK//fruK//tehB//puuE//speA//astE//yiaK//rbsD//nrfD//ttdB//pspE//mhpE//rpiB//glxK//rimK//bioF//nfsA//murG//ygeA//rhaA//recB//gutQ//udp//gatY//lsrK//rutB//mazG//carA//gloA//puuA//dmsC//ldtC//lpxA//malP//arsC//argI//gabT//torC//bacA//hcp//phr//mazG//aceB//nrdD//
Fur-Fe2_pos	dmsA//nrfA//patA//alaC//fucO//nrdD//phnM//glxK//hcaF//ubiC//glpC//moeB//yfdE//wzb//dkgB//allE//
GadE-RcsB_pos	frdA//fadA//ruvB//fucA//wecC//
GadE_pos	dsdA//frc//uvrA//alaS//uvrC//rutB//aroL//asnB//nrdF//tynA//
GadW_neg	metC//sdhC//sbcC//
GadW_pos	ruvB//katE//fabG//bacA//
GadX_neg	nirD//acnA//metB//
GadX_pos	glpQ//glpD//trpD//wecB//pnp//citC//ubiX//srkA//fucU//galE//allC//
GalR-beta-D-galactose_neg	wecE//moaC//fumC//murG//trpA//
GalR-beta-D-galactose_pos	rutA//serA//aroG//galK//
GalR_neg	glgC//paaH//murD//hcaC//rffM//ada//
GalR_pos	moeB//fadA//astE//phnI//
GalS-beta-D-galactose_neg	ychF//malQ//fadE//cdd//phnI//
GalS-beta-D-galactose_pos	rtcA//rffH//paaE//gatD//
GalS_neg	fabH//moeA//fadH//ybjG//galM//mltF//
GalS_pos	sucA//alkB//ppsA//aceB//
GatR_neg	paaC//pgi//napG//
GcvA_neg	mhpE//aspA//xylB//
GcvA_pos	rfe//ycjG//icd//
GlcC-glycolate_neg	
GlcC-glycolate_pos	napH//araD//argD//
GlpR_neg	sucD//ppc//fadM//napA//fruK//appA//gcl//
GlrR-Pasp56_pos	
GntR_neg	fadH//astE//rffC//ubiX//moaD//lpxC//puuC//tnaA//aroL//
GutM_pos	rbsD//wecE//alkA//
HU_neg	mpl//hemH//umpH//rhaA//aldA//xylA//argA//
HU_pos	
HcaR-HCA_pos	mnmG//phnH//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	glgC//
HigB-HigA_neg	ppiA//
HipAB_neg	cysH//iscS//
HipB_neg	entF//cysE//dgcN//
HprR-Phosphorylated_neg	aceB//betA//
HprR-Phosphorylated_pos	wecB//adhE//
HyfR_pos	nirB//
HypT-Met-oxidized_neg	aroL//pnp//
HypT-Met-oxidized_pos	nemA//paaB//cdd//moaC//nanK//
IclR-pyruvate_neg	galE//murG//hyaC//
IdnR-5-ketogluconate_neg	chbG//ldtD//
IdnR-5-ketogluconate_pos	pgaD//purF//deoA//
IlvY-2-acetolactate_pos	garK//
IlvY_neg	
IscR-2Fe-2S_neg	cysE//recF//
IscR_neg	glmU//fumC//betB//rimK//
IscR_pos	dinB//glcE//
KdgR_neg	pdeR//mngB//
KdpE-Phosphorylated_pos	gpmM//
LacI_neg	murC//astC//ascB//
LeuO_neg	
LeuO_pos	paaY//aroH//pyrD//sbcD//pagP//gdhA//
LexA_neg	gadA//pnp//ssuD//gcvP//galK//pgpC//rpiB//fbaA//sdhC//eda//yqjH//wecE//ldtB//argD//dapB//purB//icd//moaD//sufS//glcE//lpxD//moaC//waaZ//
LldR-lactate_neg	nagB//moaE//
LldR-lactate_pos	tdcD//prpC//
LldR_neg	gatZ//argA//
LldR_pos	rffT//serA//
LrhA_neg	
LrhA_pos	
LsrR_neg	trpA//aceF//folE//cysN//atoD//
LysR_neg	
LysR_pos	napA//
MalI_neg	galM//lpxD//
MalT-maltotriose-ATP_pos	ppiA//galE//carA//uvrB//puuD//uxaA//
MarA_neg	polA//
MarA_pos	leuD//ubiC//pyrD//napA//pagP//sbcD//rffH//dapB//fadH//mhpC//murD//caiA//recB//pdeH//mnmG//srlD//kbaZ//prs//argF//hcaE//argC//moeA//fadB//
MarR_neg	
MatA_neg	hyaB//
MatA_pos	
MazE-MazF_neg	glsA//
MazE_neg	bioC//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	moaA//entE//
MelR-melibiose_pos	fbaA//paaA//
MelR_neg	argI//dapB//
MelR_pos	fau//ftnA//
MetJ-adenosylmethionine_neg	purF//ddlB//dkgB//entH//ftsI//pncB//argE//sbcD//rutE//betA//
MetR-L-homocysteine_neg	mhpD//
MetR-L-homocysteine_pos	sodA//hycE//
MetR_pos	murQ//frdD//
MhpR-3HPP_pos	yiaK//allA//dkgA//ulaG//argD//metB//
Mlc_neg	fau//wzc//trpC//nanA//
MlrA_pos	phnI//
MngR_neg	glpD//katG//
MntR-Mn2_neg	garD//
MntR-Mn2_pos	alsE//
ModE-MoO42-_neg	uvrA//entC//fadJ//fadH//psd//hcp//sdhD//sgbH//
ModE-MoO42-_pos	glmS//yqhD//deoB//adiA//fucK//moaE//moaA//fabA//tyrB//
MprA_neg	rhaB//tdcG//gcl//
MqsA_neg	pepD//eda//
MraZ_neg	lpd//glpK//prpD//lhgO//ndh//rutB//glcD//dhaK//ada//umuD//
MurR_neg	purB//gltD//purN//
MurR_pos	
Nac_neg	entH//gatZ//purL//
Nac_pos	aceB//fadH//pykF//phnJ//rutA//ogt//astB//dkgA//
NadR_neg	fau//feaB//cynS//gltD//
NagC_neg	nagB//rffM//treC//napA//tadA//wecE//ascB//leuA//narI//pfkA//glgA//mhpC//sgbU//wecB//moaA//lhgO//paaF//wzc//
NagC_pos	ftsI//paaA//
NanR_neg	glcD//yqjH//puuD//xylA//phoA//katE//
NanR_pos	
NarL-Phosphorylated_neg	ydcS//fucI//sbcD//aroL//umuC//purC//fabB//argA//cysC//mltF//amn//speB//gabT//cysJ//fabB//ung//deoC//cynT//ycjG//glcD//cysC//ppc//fucA//sbcC//fumC//tynA//ccp//nanE//
NarL-Phosphorylated_pos	torC//dkgB//umuC//asnB//xapA//citG//glpA//napA//ppsA//yiaK//edd//gpmM//tpiA//atoA//mpl//
NarP-Phosphorylated_neg	serA//allC//alsE//cyoE//pfkA//
NarP-Phosphorylated_pos	entF//nrdF//bioB//torA//yeaE//argH//cysD//sodB//fadA//ruvB//waaY//moeA//ynfE//asnB//
NemR_neg	paaC//astC//
NhaR-Na_pos	napG//trpB//bioC//aroF//ndh//
NikR-Ni2_neg	hcaD//
NimR_neg	bioA//
NorR_neg	
NorR_pos	rpiB//
NrdR-Zn2_neg	allA//ilvC//ung//rnpB//
NsrR_neg	ldtD//lysA//lsrF//argH//glxK//ynfE//fucK//frdA//bioB//dmsC//ppiA//pgaB//gabT//mpl//sgbU//putA//fabH//epd//gabD//dgcC//accA//fumC//dmsC//allD//gadA//mhpB//gcvT//malZ//zwf//aroG//tyrB//zwf//recF//fucO//argC//relA//mraY//cadA//tadA//astD//
NtrC-Phosphorylated_neg	paaF//metB//
NtrC-Phosphorylated_pos	gcvT//mazG//chbF//alaS//uvrA//ahpF//ydcS//wecC//tam//sbcD//purB//nadA//uvrC//glyA//fabD//sgbU//garK//mhpE//frdC//araB//hyaA//
OmpR-Phosphorylated_neg	cynS//lysA//ddlB//pyrD//umuC//
OmpR-Phosphorylated_pos	gapA//malP//bioD//feaB//
OxyR_neg	pflB//malP//allE//gabT//sucD//
OxyR_pos	glcF//gatD//bioB//leuD//hcaC//pepD//alaC//uxaA//rimK//pheS//argE//paaE//
PaaX_neg	dgcZ//pdeH//paaZ//trpA//frdB//amn//rtcA//rfe//murC//
PdeL_pos	wecE//
PdhR_neg	fadB//galK//entA//ldtD//ppsA//thrS//wecB//garK//ahpF//cysK//mpaA//alaS//kbaZ//nanM//glxK//gadA//dacC//rtcB//aroG//fadA//phnJ//astA//dmsC//
PdhR_pos	citG//puuE//
PepA_neg	phnP//glgP//
PgrR_neg	ssuD//gloA//
PhoB-Phosphorylated_neg	cynT//rffG//dhaL//lacA//wecE//
PhoB-Phosphorylated_pos	aceE//phnO//fabD//metE//citD//kbaZ//rutA//murE//pykF//tdcD//hycE//acnB//cysH//glgP//gdhA//uxuA//yeaE//
PhoP-Phosphorylated_neg	phoA//mhpB//yedX//
PhoP-Phosphorylated_pos	gnd//rfe//wrbA//yeaE//nirD//entC//argA//paaE//speG//nagB//ada//fabD//dmsA//gudD//murC//rffH//ynfG//rhaB//garK//hcp//lyxK//ybjG//ahpF//lhgO//fadI//hypB//putA//phnO//ulaD//sodB//alkA//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	rffM//ribA//lhgO//ppiA//
PspF_neg	
PspF_pos	kbaZ//
PurR-hypoxanthine_neg	lldD//glcF//fruK//uvrC//fucU//appA//aceA//puuB//phnO//glcF//amn//aceE//mdh//ung//pgpC//astE//fbaA//nanM//ogt//phnM//malZ//edd//garD//pgaD//pykF//mtlD//
PutA_neg	umuC//astE//
PuuR_neg	paaI//caiB//arsC//pyrC//glpX//malQ//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	mpl//prs//pepD//ubiX//allC//
RcdA_neg	
RcdA_pos	treC//
RclR_pos	
RcnR_neg	nfsA//
RcsAB_neg	puuC//
RcsAB_pos	rsmH//idnD//
RcsB-BglJ_pos	moaC//araA//
RcsB-Pasp56_neg	nrfA//
RcsB-Pasp56_pos	paaC//cyoE//rpiB//
RelB-RelE_neg	astB//
RelB_neg	araD//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	trpE//gatZ//ddlB//rhaD//
Rob_neg	
Rob_pos	cysJ//rffM//lpxA//rffH//ubiA//araD//mngB//aceE//epd//phoA//citG//fabA//lpxD//ubiX//rutC//gcvP//fadI//argD//hcaD//
RstA-Phosphorylated_neg	entC//leuA//
RstA-Phosphorylated_pos	ulaD//
RtcR_pos	nadA//nrdD//
RutR_neg	yfdE//astB//gadA//wecC//kbaZ//carB//mhpD//yiaK//cysI//astC//
RutR_pos	lysC//
SdiA_neg	
SdiA_pos	
SgrR_neg	recD//
SgrR_pos	mhpC//dgcN//
SlyA_neg	
SlyA_pos	pflB//allB//moaD//hcaB//aroG//dkgB//argF//phnI//mpaA//
SoxR_neg	
SoxR_pos	allC//nrdB//rhaD//ulaF//fes//phnP//
SoxS_neg	
SoxS_pos	paaA//deoC//mhpE//aceA//fabI//dacC//glgX//rffM//phnG//mpaA//murI//napH//citF//glxR//pgpC//rsmH//dapD//fbaB//ascB//allC//fes//purB//dhaK//citF//paaH//hyaA//tadA//fabD//
SrlR_neg	cysD//gutQ//frdB//
StpA_neg	ulaE//ruvB//tdcB//
SutR_neg	argC//ydcS//
SutR_pos	
TdcA_pos	mpl//ddlB//phnG//moaA//pagP//
TdcR_pos	glmS//lsrG//ynfH//argH//astC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	prpE//ppsA//moaC//glyA//
TorR-TorI_neg	yfdE//
TorR-TorI_pos	
TreR_neg	sucA//napB//
TrpR-tryptophan_neg	glpK//allB//bioD//lacZ//wrbA//moaC//dkgA//cysK//rfe//
TyrR-phenylalanine_neg	gudD//mtlD//
TyrR-phenylalanine_pos	cysC//
TyrR-tyrosine_neg	ybjG//phnG//phnL//entD//purC//xylA//
TyrR-tyrosine_pos	pgi//rfe//
TyrR_neg	pagP//
TyrR_pos	glmS//
UhpA-Phosphorylated_pos	gntK//
UidR_neg	sucD//rffG//
UlaR_neg	ruvA//puuB//hcaF//pgi//iscS//
UvrY-Phosphorylated_pos	fumC//tauD//
UxuR_neg	gadA//lpxC//paaG//ygeA//pdeH//
XapR-xanthosine_pos	ugpQ//sucB//
XylR-xylose_neg	
XylR-xylose_pos	hyaB//katG//paaE//
YdeO_neg	
YdeO_pos	aspC//ascB//arsC//
YefM-YoeB_neg	umuC//
YefM_neg	atoD//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	ynfG//trpB//rimK//moeA//paaG//pfkA//
YjjQ_neg	fucA//glsA//
YpdB-Phosphorylated_pos	
YqhC_pos	paaY//phnG//
YqjI_neg	hycG//
ZntR-Zn2_pos	glpX//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	deoC//
