# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	carA//hypF//
LacI_neg	moaA//accC//allE//
LeuO_neg	
LeuO_pos	ruvB//nanE//chbG//alaS//nanE//cysE//
LexA_neg	fucI//pdeL//glsA//ascB//lldD//patA//glpX//srlD//argG//frdA//citX//epd//prs//sdhD//grxA//nrfC//fabI//entC//uvrA//leuC//asnA//uvrA//purN//
LldR-lactate_neg	folE//ribA//
LldR-lactate_pos	carB//poxB//
LldR_neg	sodA//astD//
LldR_pos	treC//cysM//
LrhA_neg	
LrhA_pos	
LsrR_neg	tyrB//araA//ulaD//glnA//lacZ//
LysR_neg	
LysR_pos	pdeH//
MalI_neg	argH//hcaE//
MalT-maltotriose-ATP_pos	lsrG//fadD//idnK//cyoE//hycD//ogt//
MarA_neg	torA//
MarA_pos	ygeA//sodA//leuC//rsmH//accC//yfdE//pgaC//uxaC//sgbH//ahpC//moaE//alaC//metF//glpX//pgaC//fabA//argA//mpl//gapA//entF//glmS//hyaC//allD//
MarR_neg	
MatA_neg	prpC//
MatA_pos	
MazE-MazF_neg	sdhD//
MazE_neg	cysE//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	ppc//dmsC//
MelR-melibiose_pos	umpH//rbsK//
MelR_neg	betA//fabI//
MelR_pos	astE//yqhD//
MetJ-adenosylmethionine_neg	fau//ynfF//ppsA//sdhC//puuE//dacC//fruK//astB//fbaB//gcvP//
MetR-L-homocysteine_neg	torA//
MetR-L-homocysteine_pos	gatZ//bacA//
MetR_pos	lysA//paaK//
MhpR-3HPP_pos	arsC//talA//dgcC//nrfD//cysN//mpl//
Mlc_neg	gatD//moaA//fadD//hycF//
MlrA_pos	paaA//
MngR_neg	phnO//purE//
MntR-Mn2_neg	appA//
MntR-Mn2_pos	fabD//
ModE-MoO42-_neg	murC//gnd//luxS//phr//yeaG//cysM//pheS//malS//
ModE-MoO42-_pos	tam//murG//hypB//bioB//dmsA//torC//betB//aroG//fabB//
MprA_neg	pykF//glcB//malS//
MqsA_neg	aspA//fadD//
MraZ_neg	rhaB//tynA//gloA//tpiA//atoB//puuE//sgbU//uxuB//poxB//fabD//
MurR_neg	srkA//yeaG//ychF//
MurR_pos	
Nac_neg	tyrA//lpxC//dgcC//
Nac_pos	wrbA//atoB//argI//thrS//wzb//nfsB//dmsC//argG//
NadR_neg	tdcB//folE//aroG//lsrK//
NagC_neg	glcF//uxaC//gpmA//wecC//sbcD//yeaE//bacA//purH//uxaB//ung//glpC//ada//aceF//moeB//cysG//gabD//thrS//rffM//
NagC_pos	ldtB//sgbE//
NanR_neg	pheT//lsrF//murI//tdcD//gudD//sucA//
NanR_pos	
NarL-Phosphorylated_neg	caiB//pck//slt//yqjH//ynfF//caiA//glxK//grxA//fbaB//yfdE//deoB//adiA//glcD//pgm//sbcC//pykF//nrdF//grxA//bioA//moaD//phnH//eno//guaB//tadA//katE//bioC//feaB//uxuA//
NarL-Phosphorylated_pos	acnB//cysD//sgbU//frc//pgi//paaE//nanM//argB//chbF//cysM//waaY//gor//metF//tyrA//cynS//
NarP-Phosphorylated_neg	chbG//sucA//nanE//pgk//zwf//
NarP-Phosphorylated_pos	hcaE//hcp//ycjG//murF//nrdE//ubiC//phnG//poxB//hycC//nanM//caiC//fadI//appA//entF//
NemR_neg	entC//ccp//
NhaR-Na_pos	gloA//gadB//grxA//hypB//luxS//
NikR-Ni2_neg	bioC//
NimR_neg	ppiA//
NorR_neg	
NorR_pos	gcvT//
NrdR-Zn2_neg	tam//mtlD//metE//ynfE//
NsrR_neg	epd//argC//wzb//sdhA//sgbH//glpQ//rffC//leuB//appA//cysG//uxaC//ulaG//cysG//ychF//fabZ//truB//fadB//entD//glcF//torA//entH//atoB//ftsI//glcD//malS//ulaE//mltF//glcF//dmsA//fabD//puuD//tadA//feaB//nagB//xapA//tdcD//gcvH//ppiA//glxR//fabH//
NtrC-Phosphorylated_neg	ugpQ//dgcN//
NtrC-Phosphorylated_pos	rbsD//gapA//deoD//paaI//gutQ//rbsK//sucC//putA//dmsA//rutB//glpB//appA//chbG//cysN//entE//astB//pagP//wecC//nadA//uidA//murF//
OmpR-Phosphorylated_neg	tam//paaE//purD//deoC//dsdA//
OmpR-Phosphorylated_pos	gcvT//sufS//sdhC//glsA//
OxyR_neg	rimK//ttdA//frdB//mhpB//phnI//
OxyR_pos	argC//deoC//pgk//moeB//xapA//phnH//malS//rimK//aceE//glk//uxuB//sgbU//
PaaX_neg	entE//rutC//mhpA//hycF//dhaM//pgk//asnB//patD//ruvB//
PdeL_pos	lsrK//
PdhR_neg	feaB//phr//puuA//garK//glgA//rffM//mhpE//dapD//hemH//hycB//wzb//carB//xapA//cynS//hypF//patD//purH//moaC//phnG//glxK//hcp//ogt//malS//
PdhR_pos	gutQ//glnA//
PepA_neg	dgcZ//metB//
PgrR_neg	ppc//argC//
PhoB-Phosphorylated_neg	pgaC//dhaL//gpmA//alaS//aroG//
PhoB-Phosphorylated_pos	rffC//epd//pdeL//citD//nemA//gatY//citG//moeA//ugpQ//fucI//wrbA//sbcD//cdd//rbsD//ttdA//nfsA//grxA//
PhoP-Phosphorylated_neg	fucO//rsmH//gcvT//
PhoP-Phosphorylated_pos	aceE//ndh//adiA//pck//dgkA//purA//folE//ascB//pykF//cysC//murG//aspA//tam//ygeA//argE//galT//ssuD//purE//ubiC//guaB//allA//gabD//mltF//dkgB//deoC//gatZ//paaG//murE//ubiA//purF//fau//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	ynfF//moaC//cynT//citC//
PspF_neg	
PspF_pos	glgB//
PurR-hypoxanthine_neg	tauD//gor//murQ//ahpC//dhaK//citX//fabI//paaZ//hyaB//adhE//dkgA//cysH//wzb//gloA//chbF//ydcS//dacC//arsC//alaC//epd//nfsB//fumC//gatY//glpB//astD//glmU//
PutA_neg	fabB//aroF//
PuuR_neg	ahpC//torA//speA//guaA//rtcB//fucK//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	murI//mazG//umuD//metE//ygeA//
RcdA_neg	
RcdA_pos	umuC//
RclR_pos	
RcnR_neg	leuB//
RcsAB_neg	rffH//
RcsAB_pos	nfsA//metB//
RcsB-BglJ_pos	ydcS//sucC//
RcsB-Pasp56_neg	pspE//
RcsB-Pasp56_pos	sucA//purE//phnJ//
RelB-RelE_neg	ftsI//
RelB_neg	pck//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	pspE//entC//sbcC//arsC//
Rob_neg	
Rob_pos	ynfG//glk//nrdD//aceF//hycG//trpA//hyaC//fabI//lsrK//ttdA//hyaC//nanK//ftsI//ndh//lyxK//tnaA//paaB//atoA//dmsC//
RstA-Phosphorylated_neg	gatD//eda//
RstA-Phosphorylated_pos	mhpA//
RtcR_pos	napA//idnD//
RutR_neg	acnA//eno//phnL//hemH//hcaC//gcvP//mngB//leuC//fadJ//katG//
RutR_pos	astC//
SdiA_neg	
SdiA_pos	
SgrR_neg	icd//
SgrR_pos	glpX//phnP//
SlyA_neg	
SlyA_pos	wzb//napG//nrdA//aroH//fucA//glcE//nanA//bioA//wzc//
SoxR_neg	
SoxR_pos	astC//paaC//deoD//argA//paaK//gapA//
SoxS_neg	
SoxS_pos	ppsA//fabZ//fabH//dhaK//rbsK//murC//xylB//galM//ybjG//pgm//wzc//glcD//wrbA//cysC//ttdB//murE//citG//sgbU//moaA//polA//citX//pgaB//yqjH//cysH//dhaM//rutC//glgB//nrfC//
SrlR_neg	araA//puuE//garR//
StpA_neg	epd//ruvB//lldD//
SutR_neg	ddlB//tktB//
SutR_pos	
TdcA_pos	atoB//fabH//glmU//dgcZ//araA//
TdcR_pos	lsrK//murF//gadB//tdcB//deoC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	frdD//rfe//lacZ//rsmH//
TorR-TorI_neg	moeB//
TorR-TorI_pos	
TreR_neg	katE//purM//
TrpR-tryptophan_neg	pdeH//mazG//pgaC//yfdE//astD//entB//gltB//ppsA//tadA//
TyrR-phenylalanine_neg	hyaC//hyaB//
TyrR-phenylalanine_pos	bioF//
TyrR-tyrosine_neg	ahpF//lacZ//fumC//cynT//serA//yeaG//
TyrR-tyrosine_pos	cysC//fadH//
TyrR_neg	hcaD//
TyrR_pos	gcvH//
UhpA-Phosphorylated_pos	tehB//
UidR_neg	xylB//leuD//
UlaR_neg	ssuE//luxS//moeA//pheT//fau//
UvrY-Phosphorylated_pos	eda//garK//
UxuR_neg	alkB//murG//alaC//nanE//cysE//
XapR-xanthosine_pos	mltF//aroG//
XylR-xylose_neg	
XylR-xylose_pos	ahpC//argB//relA//
YdeO_neg	
YdeO_pos	purA//dapD//gcvP//
YefM-YoeB_neg	yeaG//
YefM_neg	patD//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	tpiA//nirB//cysN//betA//bioC//cysD//
YjjQ_neg	uxuB//paaG//
YpdB-Phosphorylated_pos	
YqhC_pos	ada//glgA//
YqjI_neg	tam//
ZntR-Zn2_pos	uvrB//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	guaB//
