# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ynfF//purN//
CreB-Phosphorylated_pos	tnaA//
CsgD_neg	glpQ//hyaA//
CsgD_pos	citD//caiB//moaC//
CsiR_neg	bioA//ppiA//nrfA//leuA//
CspA_pos	entD//
CueR-Cu_neg	purN//udp//hcaC//
CueR-Cu_pos	uxuA//atoD//
CusR-Pasp_pos	mhpC//murE//hyaB//phnI//
CynR-cyanate_pos	uxuB//xapA//uvrB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	gadA//ldtC//cysC//
CysB-O-acetyl-L-serine_pos	fumB//dhaK//sucA//ynfE//feaB//gdhA//paaE//paaZ//fabG//murE//uxaA//nanM//
CysB_neg	
CysB_pos	feaB//gadA//
CytR_neg	paaG//torC//ttdB//glpA//nadB//pflB//lsrK//fabI//fucA//rutC//
Dan-L-tartrate_pos	phr//pgk//
DcuR-Phosphorylated_pos	hyaA//fadA//kbaZ//phnP//
DeoR_neg	ycjG//hcaB//betB//ulaD//fabA//fabH//
DhaR_neg	
DhaR_pos	araA//
DicA_neg	
DinJ-YafQ_neg	rhaA//
DnaA-ATP_neg	mhpC//paaE//prpD//paaK//gapA//
DnaA-ATP_pos	leuC//ugpQ//bioA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	pspE//tyrB//frc//ung//gapA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	hycE//hcaD//
EbgR_neg	
EnvR_neg	nrdF//guaA//
EnvY_pos	ndh//ttdB//
EvgA-Phosphorylated_pos	narH//hcaE//rffC//rffM//purH//fbaB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	paaZ//adhE//iscS//fadD//atoD//galM//
FabR_neg	alaC//wzc//tehB//
FadR-acyl-CoA_pos	
FadR_neg	metE//caiA//hypB//uidA//argD//uxaA//ynfG//fumB//ldtC//
FadR_pos	glpA//wecC//recB//glgP//pheS//ftsI//glgA//purH//glcD//waaZ//
FeaR_pos	gpmM//hypB//
FhlA-formate_pos	icd//galK//phnO//uvrC//entF//recF//recD//sucD//
FlhDC_neg	hypB//patD//
FlhDC_pos	glpQ//astE//slt//pdeL//srlD//betB//nagA//entA//purD//edd//dacC//glpQ//
FliZ_neg	sucD//udp//glgB//purM//purK//
FucR-L-fuculose-1-P_pos	aceE//trpA//ahpC//ppc//cdd//hcaE//
Fur-Fe2_neg	accD//aroH//fucU//adhE//paaI//speB//betA//sucA//fucI//pgi//hycG//tadA//astE//nanE//astB//rbsD//cysM//ppiA//aroH//dmsB//asnA//rbsD//glmS//poxB//torA//dacC//nanK//pgpC//argG//araB//gpmA//yeaG//pepD//mpl//pncB//metB//nanE//nagB//yedX//sgbH//napG//moaC//ynfH//accC//pgaC//argH//sucC//argC//truB//ftsI//umpH//amn//puuD//
Fur-Fe2_pos	hcaC//napA//fes//glgB//mpl//trpE//srkA//purB//paaJ//accA//moaD//frdB//gcvH//uxaC//hyaA//serA//
GadE-RcsB_pos	sodA//recD//uxuB//ulaD//deoB//
GadE_pos	caiB//ygeA//pgi//purD//ulaE//hcp//torC//araD//hyaC//recF//
GadW_neg	srkA//pgaC//sgbU//
GadW_pos	ulaG//rutE//bioA//tynA//
GadX_neg	ftsI//argE//entE//
GadX_pos	narG//glnA//tdcE//glpQ//ulaG//waaH//fabG//napG//puuB//moaE//frc//
GalR-beta-D-galactose_neg	fdhF//tehB//fumC//frdA//mhpB//
GalR-beta-D-galactose_pos	patD//tpiA//serA//pgpC//
GalR_neg	tyrB//aroG//tdcG//napG//relA//treC//
GalR_pos	wrbA//pck//pgaB//garR//
GalS-beta-D-galactose_neg	pgaD//dkgB//glxR//slt//lysC//
GalS-beta-D-galactose_pos	waaZ//tadA//leuA//bglB//
GalS_neg	alsE//prpE//malP//glpK//rhaD//fucK//
GalS_pos	eno//pgaB//rnpB//ybjG//
GatR_neg	glpC//putA//purM//
GcvA_neg	cysH//glcF//glpX//
GcvA_pos	deoA//pck//murI//
GlcC-glycolate_neg	
GlcC-glycolate_pos	bacA//waaY//puuE//
GlpR_neg	mhpB//sgbE//glpC//entC//sgbU//hcaB//trpB//
GlrR-Pasp56_pos	
GntR_neg	cysE//paaK//paaF//dhaK//ftsI//fabB//uvrB//metF//sdhB//
GutM_pos	uvrB//glyA//srlD//
HU_neg	fadJ//fucI//katG//guaB//fadD//mtlD//glyA//
HU_pos	
HcaR-HCA_pos	aceF//glgB//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	torA//
HigB-HigA_neg	atoA//
HipAB_neg	ppc//dgkA//
HipB_neg	tdcG//galE//murF//
HprR-Phosphorylated_neg	pspE//lhgO//
HprR-Phosphorylated_pos	arsC//rutB//
HyfR_pos	ttdB//
HypT-Met-oxidized_neg	rtcA//luxS//
HypT-Met-oxidized_pos	rbsD//phnP//puuA//leuC//pnp//
IclR-pyruvate_neg	serA//frdC//caiC//
IdnR-5-ketogluconate_neg	fbaB//sucB//
IdnR-5-ketogluconate_pos	cysD//araB//folE//
IlvY-2-acetolactate_pos	wzb//
IlvY_neg	
IscR-2Fe-2S_neg	ftnA//hyaC//
IscR_neg	paaF//glgB//zwf//gcvP//
IscR_pos	glk//tdcD//
KdgR_neg	phnO//glcF//
KdpE-Phosphorylated_pos	pfkA//
LacI_neg	narI//metH//nrdA//
LeuO_neg	
LeuO_pos	fabA//speG//lpxC//glgX//talA//dhaM//
LexA_neg	grxA//caiB//frdC//speG//pepD//aceA//wecB//ftsI//bglB//narG//frdD//fadD//galM//napH//nadA//fabA//tpiA//chbF//fadB//sbcC//patA//gpmA//cysI//
LldR-lactate_neg	rtcA//nanA//
LldR-lactate_pos	argA//katE//
LldR_neg	melA//phnP//
LldR_pos	chbG//pykF//
LrhA_neg	
LrhA_pos	
LsrR_neg	puuD//chbG//adhE//xapA//fucK//
LysR_neg	
LysR_pos	pflB//
MalI_neg	nrdE//pck//
MalT-maltotriose-ATP_pos	umpH//lpxD//fdhF//hycE//rhaB//pgaB//
MarA_neg	malZ//
MarA_pos	aroF//nirB//amn//wrbA//nanK//gadA//gcvH//allD//glxK//aroH//ndh//paaF//paaK//gdhA//fau//ppc//ulaF//astE//asnA//phnG//nanM//sodA//lsrG//
MarR_neg	
MatA_neg	lacA//
MatA_pos	
MazE-MazF_neg	glpK//
MazE_neg	cysK//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	gltB//acnB//
MelR-melibiose_pos	malQ//hycC//
MelR_neg	murE//feaB//
MelR_pos	waaY//accD//
MetJ-adenosylmethionine_neg	speA//ulaE//ychF//galE//pgk//trpC//uvrB//umuC//glgA//aroH//
MetR-L-homocysteine_neg	rfe//
MetR-L-homocysteine_pos	metE//glxK//
MetR_pos	sucB//nrfC//
MhpR-3HPP_pos	aspA//fadM//ynfF//oxc//nanA//udp//
Mlc_neg	leuD//betA//fucI//grxA//
MlrA_pos	hycG//
MngR_neg	zwf//aroL//
MntR-Mn2_neg	xylB//
MntR-Mn2_pos	allE//
ModE-MoO42-_neg	hcaE//nrdB//glyA//hyaB//pdeH//tdcB//fabB//idnK//
ModE-MoO42-_pos	fumC//caiA//sdhD//yiaK//wecB//sbcC//bioB//rfe//napH//
MprA_neg	bioF//galK//bioB//
MqsA_neg	paaC//gapA//
MraZ_neg	murC//moeA//fadI//tadA//srlD//truB//argH//rutC//recF//entB//
MurR_neg	glxK//bioC//hycF//
MurR_pos	
Nac_neg	tktB//patD//yfdE//
Nac_pos	lpxC//malS//nagB//nrdA//frdB//glmU//lhgO//pgaB//
NadR_neg	amn//paaH//chbF//wzc//
NagC_neg	glcD//gutQ//pnp//allB//hyi//dgcC//cadA//deoC//paaY//prpE//tyrB//pflB//glcF//fau//murE//melA//fabA//folA//
NagC_pos	trpD//hypB//
NanR_neg	ddlB//gabT//leuC//phnI//argH//murI//
NanR_pos	
NarL-Phosphorylated_neg	hycC//gabT//sdhB//paaC//ldtC//lysC//nrfA//malS//carB//xylB//nanM//atoB//waaZ//uxaA//pyrD//aroL//cysE//trpD//pepD//arsC//asnA//rimK//cysI//speB//hcaD//frdD//alsE//udp//
NarL-Phosphorylated_pos	hycE//ychF//pspE//phnN//lsrK//guaA//carB//umuC//fucK//umuC//ascB//hycC//yiaK//udp//astD//
NarP-Phosphorylated_neg	ssuD//ubiA//speB//tdcB//moaE//
NarP-Phosphorylated_pos	murE//treC//nagA//rffG//fadI//glpQ//glpQ//hcaD//gatY//aldA//astE//dsdA//gcl//ycjG//
NemR_neg	umuD//uxaB//
NhaR-Na_pos	gpmM//hyaA//waaZ//entE//rtcB//
NikR-Ni2_neg	metC//
NimR_neg	aroF//
NorR_neg	
NorR_pos	rpiB//
NrdR-Zn2_neg	purK//edd//rhaB//moaA//
NsrR_neg	fruK//pgpC//citF//argE//paaC//metA//pdeH//aceA//aceF//rutD//patD//moeB//metC//purF//ulaD//araA//fabB//lpxA//fucO//gcvH//garK//phnP//dsdA//ybjG//pflB//glcF//hemH//galM//dgkA//betA//rutC//entD//paaZ//garR//entF//cueO//tdcB//mraY//nfsA//galK//
NtrC-Phosphorylated_neg	ldtB//umpH//
NtrC-Phosphorylated_pos	tyrB//lysA//cysD//paaG//paaZ//gadA//fruK//ydcS//gabT//lldD//asnB//rhaB//sucA//metL//ada//sgbH//atoA//gpmM//ddlB//puuA//fabI//
OmpR-Phosphorylated_neg	nanK//paaE//cysC//hyaC//iscS//
OmpR-Phosphorylated_pos	mazG//phnN//aspC//sdhD//
OxyR_neg	fucI//nrdE//trpE//udp//murI//
OxyR_pos	hyaA//grxA//gadB//galE//argA//murF//aspA//rfe//puuE//mazG//atoD//entD//
PaaX_neg	pck//fucI//gabT//nfsA//umuD//paaE//entH//gatY//glgP//
PdeL_pos	ubiX//
PdhR_neg	entH//entH//metF//rffM//accC//galK//pfkA//pgaD//cynS//recD//polB//garD//arsC//astC//amn//lsrG//sdhB//guaA//phoA//paaE//deoB//eda//ubiX//
PdhR_pos	tauD//sbcD//
PepA_neg	lpxA//murG//
PgrR_neg	uxaB//nrfA//
PhoB-Phosphorylated_neg	uvrA//sdhD//pspE//malZ//gabD//
PhoB-Phosphorylated_pos	metK//sdhD//moaC//cadA//cueO//sdhA//grxA//speG//gabD//pgaC//guaB//nanK//hycG//grxA//gltB//tdcE//mazG//
PhoP-Phosphorylated_neg	ssuD//ascB//rsmH//
PhoP-Phosphorylated_pos	rimK//malQ//pagP//lacZ//mltF//mraY//fadM//pncB//phr//sucA//chbF//glpB//wzb//asnB//phnI//prpD//pagP//phnM//nadB//chbG//hcaE//udp//metH//sdhB//pepD//trpC//ddlB//allA//uidA//phoA//hcaF//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	hemH//murI//wrbA//thrS//
PspF_neg	
PspF_pos	ung//
PurR-hypoxanthine_neg	ruvA//tyrA//lsrG//pncB//glpB//mdh//ychF//fabI//mhpD//rffT//idnK//bacA//srkA//metC//garD//malP//glpQ//wecE//hyaA//lacZ//murE//fucA//puuE//cysJ//sodA//gdhA//
PutA_neg	putA//fadD//
PuuR_neg	mazG//paaE//ppsA//appA//puuE//umuD//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	pspE//rffC//metK//amn//astC//
RcdA_neg	
RcdA_pos	waaZ//
RclR_pos	
RcnR_neg	ppiA//
RcsAB_neg	araD//
RcsAB_pos	garD//cysC//
RcsB-BglJ_pos	citC//nagB//
RcsB-Pasp56_neg	ahpF//
RcsB-Pasp56_pos	ahpC//nirD//sgbH//
RelB-RelE_neg	kbaY//
RelB_neg	ydcS//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	nfsA//sucC//puuE//nrfC//
Rob_neg	
Rob_pos	paaB//glpQ//phnN//paaA//icd//pgm//entF//dmsB//nrfD//garK//polA//alaS//argI//moeB//thrS//trpB//lyxK//rffG//garK//
RstA-Phosphorylated_neg	cysC//ftsI//
RstA-Phosphorylated_pos	fabD//
RtcR_pos	gor//cyoE//
RutR_neg	rimK//hyaB//xylA//ruvA//ycjG//lsrF//cdd//amn//slt//prs//
RutR_pos	paaH//
SdiA_neg	
SdiA_pos	
SgrR_neg	fabD//
SgrR_pos	gnd//accD//
SlyA_neg	
SlyA_pos	fbaB//nrdF//pgaB//wzb//paaH//pheS//ftnA//aroH//nrfD//
SoxR_neg	
SoxR_pos	allB//frdD//nirB//lldD//aceE//frdC//
SoxS_neg	
SoxS_pos	ssuD//hycF//pspE//lsrG//glcE//caiA//murG//pyrD//fruK//fadA//paaE//garL//appA//dgcN//rutB//fadA//putA//murG//lhgO//tdcG//fucA//hyaC//fabZ//rimK//mpaA//rhaA//psd//purK//
SrlR_neg	ybjG//glpQ//mhpF//
StpA_neg	poxB//rffC//gcvT//
SutR_neg	truB//rtcB//
SutR_pos	
TdcA_pos	metK//rhaD//hcaD//folE//puuD//
TdcR_pos	pgaD//alaC//ruvA//hyi//entH//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	fadE//carB//entC//mngB//
TorR-TorI_neg	argD//
TorR-TorI_pos	
TreR_neg	glpB//galT//
TrpR-tryptophan_neg	lsrF//glpK//dapB//wzb//wzb//murD//gltB//atoD//citE//
TyrR-phenylalanine_neg	citE//dapD//
TyrR-phenylalanine_pos	hcaE//
TyrR-tyrosine_neg	ulaE//pheT//nrdF//phnL//glxR//amn//
TyrR-tyrosine_pos	katE//katG//
TyrR_neg	glsA//
TyrR_pos	carB//
UhpA-Phosphorylated_pos	cysK//
UidR_neg	gdhA//fes//
UlaR_neg	lsrF//citC//waaY//ilvC//astE//
UvrY-Phosphorylated_pos	deoA//xylA//
UxuR_neg	katE//cysN//hyaB//recD//torA//
XapR-xanthosine_pos	pgaC//purB//
XylR-xylose_neg	
XylR-xylose_pos	ttdB//dmsB//atoA//
YdeO_neg	
YdeO_pos	paaE//glxK//glk//
YefM-YoeB_neg	nagB//
YefM_neg	sucB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	gltD//deoA//idnO//hcaC//srlD//rhaD//
YjjQ_neg	ycjG//purB//
YpdB-Phosphorylated_pos	
YqhC_pos	sucD//gatZ//
YqjI_neg	prpE//
ZntR-Zn2_pos	dsdA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	fadB//
