# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	nrdD//gadA//
Cbl_pos	pflB//hcaD//chbF//feaB//phnO//
CdaR_pos	glxK//prs//hcaF//purL//murQ//hcaB//paaJ//galM//dsdA//
CecR_neg	rffH//
ChbR-N-monoacetylchitobiose6-phosphate_neg	citC//rffT//hypF//
ChbR-N-monoacetylchitobiose6-phosphate_pos	nrfD//astB//pgaD//
ChbR_neg	hcaE//nrdE//rtcA//
ChbR_pos	sodA//fadA//cysG//
ComR_neg	
CpxR-Phosphorylated_neg	gcvT//pgpC//glsA//
CpxR-Phosphorylated_pos	dacC//citG//entD//dhaK//fumB//caiC//fucK//prpD//umpH//glpC//cdd//nrdB//cysD//uvrB//moeB//gadA//bioD//idnK//
Cra_neg	torC//fadB//tadA//lysA//guaB//sdhA//entE//fau//gltD//acnB//argF//speG//phnL//asnB//hyaA//uxaB//rtcA//dmsB//trpC//carB//citC//puuC//fucK//srkA//yfdE//sdhC//mltF//entD//sodB//sdhD//srkA//cysH//paaC//mhpF//wrbA//epd//argI//rutE//pheT//glpD//glxR//uxuB//grxA//bioA//nirB//
Cra_pos	purM//malS//fau//bioA//murD//cdd//cysJ//acnB//paaG//relA//yqjH//tynA//ppsA//gadA//tauD//sucA//glmS//
CreB-Phosphorylated_neg	frdC//
CreB-Phosphorylated_pos	moaA//
CsgD_neg	udp//nagA//
CsgD_pos	metE//caiB//purN//
CsiR_neg	rpiB//aroL//rhaD//hcaB//
CspA_pos	hycF//
CueR-Cu_neg	aceB//allA//aspC//
CueR-Cu_pos	wzb//phnL//
CusR-Pasp_pos	pgaD//polA//mdh//dkgA//
CynR-cyanate_pos	nrdD//paaZ//tpiA//
CynR_neg	
CysB-O-acetyl-L-serine_neg	paaA//lpxC//tynA//
CysB-O-acetyl-L-serine_pos	gcvP//dacC//ndh//atoD//mhpE//cysH//wecE//alaC//mhpA//ynfE//appA//entF//
CysB_neg	
CysB_pos	codA//gor//
CytR_neg	frdD//patD//ung//metE//tadA//ppiA//accD//aceE//eno//fadE//
Dan-L-tartrate_pos	citF//hcaD//
DcuR-Phosphorylated_pos	pheS//pdeL//glnA//aroL//
DeoR_neg	glxK//moeB//garR//sgbU//gdhA//hcp//
DhaR_neg	
DhaR_pos	nagB//
DicA_neg	
DinJ-YafQ_neg	entE//
DnaA-ATP_neg	hycG//gcvP//tyrA//dgcC//paaB//
DnaA-ATP_pos	lsrK//pflB//nrdA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	ugpQ//bacA//alsE//hyaC//fucK//
DsdC-D-serine_neg	
DsdC-D-serine_pos	slt//entC//
EbgR_neg	
EnvR_neg	bioB//sucA//
EnvY_pos	argB//glgA//
EvgA-Phosphorylated_pos	phnL//gudD//hypF//frdC//phnI//waaZ//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	polB//pgpC//lyxK//pgaC//edd//aroL//
FabR_neg	cysJ//accA//murI//
FadR-acyl-CoA_pos	
FadR_neg	ppsA//ynfH//atoA//ftsI//cysN//xapA//glpC//purL//garD//
FadR_pos	ddlB//cueO//accD//pncB//fabA//dgcN//cysG//rbsD//fabA//pyrC//
FeaR_pos	glsA//hyaA//
FhlA-formate_pos	gadB//lacA//entE//glpD//acnA//leuB//gadA//citX//
FlhDC_neg	prpD//treC//
FlhDC_pos	purB//accD//purM//betB//lyxK//argC//bioB//serA//pyrD//dgcN//argB//rimK//
FliZ_neg	cysE//polA//speB//nanM//argE//
FucR-L-fuculose-1-P_pos	aroL//polB//fadB//mazG//phnM//pncB//
Fur-Fe2_neg	paaB//moaC//sdhD//pfkA//nrdA//ttdB//ahpC//mpl//nemA//napG//trpE//cysD//glpA//allD//feaB//narI//wzb//ssuE//tynA//ttdB//metE//astB//aceB//arsC//aroH//hyaC//torC//adhE//pgm//rtcA//pgaB//puuE//torC//entE//hypF//glgP//malY//murD//cysD//acnA//pykF//umuD//folE//dgcN//pgaB//citE//purA//nagA//polA//hcaC//yqhD//kbaZ//lpd//
Fur-Fe2_pos	bglB//dhaL//hcaF//asnA//rutB//tnaA//phnG//rffM//dhaL//polB//malS//rtcA//bioD//pncB//hemH//patA//
GadE-RcsB_pos	cysM//bioC//rutE//ynfE//moeA//
GadE_pos	fadH//phnI//hyaB//rutC//pspE//dgcN//moeA//glgP//ldtB//gpmA//
GadW_neg	pgm//argA//recB//
GadW_pos	glgC//melA//ubiA//phnL//
GadX_neg	sufS//fumB//fadA//
GadX_pos	pgaD//sufS//rnpB//phr//uxuB//entB//citG//sucA//glgP//slt//bacA//
GalR-beta-D-galactose_neg	murD//glpA//yqhD//cysM//tnaA//
GalR-beta-D-galactose_pos	srlD//lacA//acnA//gor//
GalR_neg	uvrB//tehB//paaC//prs//feaB//acnB//
GalR_pos	udp//tnaA//phoA//xapA//
GalS-beta-D-galactose_neg	putA//pdeL//gatY//rhaB//leuC//
GalS-beta-D-galactose_pos	cysE//ygeA//nrdD//mtlD//
GalS_neg	metF//trpD//rbsD//cysC//ulaF//recD//
GalS_pos	dinB//pykF//fabI//entA//
GatR_neg	wzb//grxA//uvrC//
GcvA_neg	allE//prpC//idnK//
GcvA_pos	alsE//uxaA//metB//
GlcC-glycolate_neg	
GlcC-glycolate_pos	pspE//astA//glpB//
GlpR_neg	ddlB//yfdE//alaC//lyxK//acnB//ndh//uvrA//
GlrR-Pasp56_pos	
GntR_neg	tpiA//hycF//poxB//gcvP//cueO//ulaG//pagP//pyrD//trpD//
GutM_pos	narG//hemH//uidA//
HU_neg	malQ//bacA//thrS//mpl//hemL//phnM//gatZ//
HU_pos	
HcaR-HCA_pos	ogt//rhaA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	alsE//
HigB-HigA_neg	aspA//
HipAB_neg	alkB//pyrD//
HipB_neg	wecC//mpl//moaE//
HprR-Phosphorylated_neg	tdcG//hcp//
HprR-Phosphorylated_pos	glgC//phr//
HyfR_pos	metH//
HypT-Met-oxidized_neg	frdC//fau//
HypT-Met-oxidized_pos	tdcB//slt//murF//nrfA//metK//
IclR-pyruvate_neg	yqjH//argB//puuC//
IdnR-5-ketogluconate_neg	alkA//fadH//
IdnR-5-ketogluconate_pos	uvrA//tktB//aroL//
IlvY-2-acetolactate_pos	nfsA//
IlvY_neg	
IscR-2Fe-2S_neg	speA//rffC//
IscR_neg	tadA//fabH//glpC//argA//
IscR_pos	murE//frdB//
KdgR_neg	caiC//murF//
KdpE-Phosphorylated_pos	murD//
LacI_neg	arsC//sdhC//putA//
LeuO_neg	
LeuO_pos	purD//glpD//entA//sucD//entC//tauD//
LexA_neg	paaJ//galK//hmp//ubiC//epd//speG//hyaC//argB//prpB//ynfG//murD//fadB//fabZ//murG//nanE//pgaD//citC//epd//pspE//galM//purK//argD//cysM//
LldR-lactate_neg	caiB//sucC//
LldR-lactate_pos	sucA//uvrC//
LldR_neg	mhpA//tdcB//
LldR_pos	fucI//phnM//
LrhA_neg	
LrhA_pos	
LsrR_neg	pykF//nrdA//atoA//carA//ulaF//
LysR_neg	
LysR_pos	sodB//
MalI_neg	polA//rutA//
MalT-maltotriose-ATP_pos	rbsD//phnN//thrS//argH//garL//puuD//
MarA_neg	tnaA//
MarA_pos	putA//eda//bioA//rsmH//ttdB//gltD//gutQ//fadJ//mhpE//glgB//oxc//dacC//alkB//mngB//prpB//glyA//aroL//ribA//ddlB//bacA//nrfA//moaD//rutE//
MarR_neg	
MatA_neg	tehB//
MatA_pos	
MazE-MazF_neg	hyaB//
MazE_neg	rutD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	phoA//recF//
MelR-melibiose_pos	ribA//gatZ//
MelR_neg	malQ//caiC//
MelR_pos	rfe//fadE//
MetJ-adenosylmethionine_neg	tam//purN//glcF//asnB//hcaF//garR//yiaK//moaA//grxA//astD//
MetR-L-homocysteine_neg	garK//
MetR-L-homocysteine_pos	metC//glgP//
MetR_pos	pgk//accC//
MhpR-3HPP_pos	gadA//caiB//sgbH//psd//bioD//dgcZ//
Mlc_neg	nirB//fabZ//nirB//gltD//
MlrA_pos	ybjG//
MngR_neg	nadA//bacA//
MntR-Mn2_neg	dmsC//
MntR-Mn2_pos	trpB//
ModE-MoO42-_neg	paaC//nadA//katG//sdhB//glgB//malQ//gor//pgk//
ModE-MoO42-_pos	citF//glgB//sodB//speA//moaE//metK//gabD//cysC//pncB//
MprA_neg	puuA//paaI//caiA//
MqsA_neg	purC//wzb//
MraZ_neg	umuC//paaC//ppiA//araA//purN//leuC//ddlB//dsdA//fucO//hycF//
MurR_neg	grxA//gpmA//argG//
MurR_pos	
Nac_neg	lpxA//lsrF//trpB//
Nac_pos	uxaA//fadI//fadM//phnH//glpB//phnO//hycE//trpC//
NadR_neg	uidA//pgk//yqjH//pykF//
NagC_neg	ndh//lldD//ribA//gatD//metA//feaB//polB//dgcC//glpB//hypF//murC//cysC//pfkA//idnO//glgA//puuB//dgkA//trpA//
NagC_pos	ftnA//hmp//
NanR_neg	fabB//paaB//pflB//purE//hcp//pck//
NanR_pos	
NarL-Phosphorylated_neg	ada//alkA//fadJ//rffT//paaK//entA//dgcN//fucI//nadB//astD//ssuD//poxB//pykF//tnaA//nemA//glcE//gabT//tauD//melA//waaY//bioC//trpA//phnO//recF//aceF//alkA//accD//hcaF//
NarL-Phosphorylated_pos	galE//cueO//argI//glpX//garD//phnG//glcE//wzb//rtcB//ubiX//amn//malZ//phnG//fau//leuC//
NarP-Phosphorylated_neg	mazG//sgbE//tdcB//citX//lsrK//
NarP-Phosphorylated_pos	pheS//torA//dhaM//sdhA//leuB//asnA//moaE//feaB//ppc//purC//ruvA//hycD//tynA//malP//
NemR_neg	moeA//psd//
NhaR-Na_pos	prpE//thrS//poxB//ribA//purK//
NikR-Ni2_neg	hycB//
NimR_neg	mtlD//
NorR_neg	
NorR_pos	caiB//
NrdR-Zn2_neg	fes//hycC//dapD//nadA//
NsrR_neg	icd//ulaD//aceB//ldtD//trpE//hyaB//recD//ubiA//leuB//atoA//thrS//uxuA//entE//speA//guaB//fucO//glgB//gloA//entE//sbcC//sgbU//xapA//puuD//polA//lysC//purB//pspE//ftsI//ldtC//hyaA//ynfF//fadA//xylB//frc//lsrG//sufS//gltD//mhpC//frc//codA//
NtrC-Phosphorylated_neg	prpB//lpxA//
NtrC-Phosphorylated_pos	bacA//fabB//gapA//wzc//acnB//ilvC//recF//sdhA//pheT//fucU//narH//hypF//alkA//ruvB//cysI//metA//xylA//pgpC//srkA//fbaB//eda//
OmpR-Phosphorylated_neg	paaJ//tadA//dhaL//rutE//nrdF//
OmpR-Phosphorylated_pos	deoB//mhpD//hcp//prpD//
OxyR_neg	hcaE//uvrC//atoD//ada//deoD//
OxyR_pos	fadI//nrfC//paaC//frc//ynfH//ynfE//nrfC//pgk//purF//aspC//araD//slt//
PaaX_neg	fumB//wrbA//leuA//serA//argI//citC//mhpB//dhaL//torA//
PdeL_pos	speG//
PdhR_neg	udp//umuD//lacA//gcvT//metK//caiD//lldD//metL//tyrB//uxaC//pgk//nagA//rpiB//fadA//polA//deoA//pgpC//narG//folA//napG//malZ//hcaE//fadA//
PdhR_pos	purC//napG//
PepA_neg	rffH//dsdA//
PgrR_neg	bioA//tdcG//
PhoB-Phosphorylated_neg	ruvA//glxK//phnJ//fbaB//ydcS//
PhoB-Phosphorylated_pos	hyi//ascB//araD//nemA//rutE//frc//ada//umuD//napB//amn//nirB//mngB//ygeA//murI//glpQ//citG//prpE//
PhoP-Phosphorylated_neg	murD//wrbA//oxc//
PhoP-Phosphorylated_pos	ulaE//pflB//ugpQ//trpE//metA//nadA//dsdA//pflB//lsrK//truB//atoA//slt//phnI//citE//poxB//cdd//glpD//arsC//galE//moaD//ttdB//gadA//zwf//recD//dgcZ//ttdB//puuE//aceA//yedX//fadH//dmsA//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	rpiB//lpxA//nrdB//napA//
PspF_neg	
PspF_pos	nfsA//
PurR-hypoxanthine_neg	citX//hyaA//mnmG//entC//guaA//hycB//purM//cysC//cysJ//ruvB//pagP//bglB//puuA//argA//ttdB//prs//sgbU//gapA//narG//cysC//srkA//lsrG//paaI//hcp//phnL//recD//
PutA_neg	galM//lysA//
PuuR_neg	purF//caiC//moaD//allA//torA//yeaE//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	fadI//ygeA//pykF//gloA//ynfG//
RcdA_neg	
RcdA_pos	trpB//
RclR_pos	
RcnR_neg	rutD//
RcsAB_neg	bioA//
RcsAB_pos	pflB//frc//
RcsB-BglJ_pos	moeB//yqhD//
RcsB-Pasp56_neg	idnD//
RcsB-Pasp56_pos	hcaB//cysJ//allC//
RelB-RelE_neg	rutE//
RelB_neg	ada//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	feaB//rbsK//fabH//glk//
Rob_neg	
Rob_pos	srkA//rpiB//aroG//tadA//waaZ//codA//slt//ada//entH//citE//purL//bioF//wecB//sgbH//aceE//eda//atoD//pgpC//adiA//
RstA-Phosphorylated_neg	argE//yqhD//
RstA-Phosphorylated_pos	cysM//
RtcR_pos	hypF//ttdA//
RutR_neg	katE//glxK//torC//pspE//paaK//gabD//xapA//aceB//ribA//gutQ//
RutR_pos	araB//
SdiA_neg	
SdiA_pos	
SgrR_neg	fucA//
SgrR_pos	eno//sodB//
SlyA_neg	
SlyA_pos	lsrG//lsrK//mpl//hcaE//mazG//icd//gatZ//hyi//narG//
SoxR_neg	
SoxR_pos	ulaE//entC//lysA//aspA//idnK//argF//
SoxS_neg	
SoxS_pos	gltB//sodB//sdhC//nagA//nrdB//citC//ttdA//prpC//sucD//gapA//tyrA//nanK//moaD//glcE//bioF//ada//narH//uvrA//sdhD//hyi//malS//folA//moeB//bglB//citC//tpiA//ulaF//putA//
SrlR_neg	grxA//astA//argF//
StpA_neg	ftnA//metA//torA//
SutR_neg	entA//glcE//
SutR_pos	
TdcA_pos	glyA//udp//wzb//nirD//entD//
TdcR_pos	puuB//hcaB//galM//glgX//sbcC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	rffM//pdeR//malS//rfe//
TorR-TorI_neg	glmU//
TorR-TorI_pos	
TreR_neg	aceA//paaI//
TrpR-tryptophan_neg	ndh//ldtC//ahpF//garL//arsC//pyrC//acnA//ada//mltF//
TyrR-phenylalanine_neg	glxK//ttdA//
TyrR-phenylalanine_pos	aroH//
TyrR-tyrosine_neg	waaY//gcvH//fucA//fadM//phr//fes//
TyrR-tyrosine_pos	udp//fumC//
TyrR_neg	rsmH//
TyrR_pos	bglB//
UhpA-Phosphorylated_pos	mdh//
UidR_neg	hypB//epd//
UlaR_neg	glgA//dmsA//epd//ulaF//grxA//
UvrY-Phosphorylated_pos	gcvP//fadE//
UxuR_neg	polB//cysJ//astB//frc//sufS//
XapR-xanthosine_pos	speA//phr//
XylR-xylose_neg	
XylR-xylose_pos	ulaE//paaG//pnp//
YdeO_neg	
YdeO_pos	rhaD//aroG//caiB//
YefM-YoeB_neg	malS//
YefM_neg	metA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	umpH//ubiX//tdcD//malS//adhE//ugpQ//
YjjQ_neg	dhaM//ogt//
YpdB-Phosphorylated_pos	
YqhC_pos	cueO//yfdE//
YqjI_neg	ttdB//
ZntR-Zn2_pos	puuA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	nirD//
