# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	idnK//uvrC//
NarL-Phosphorylated_neg	araA//glgA//ynfG//tam//ldtC//iscS//ogt//glpA//ulaG//aroG//rhaD//frc//asnB//tdcB//sdhC//chbG//puuB//purL//glmU//aroH//pepD//citX//srkA//dapB//hycG//waaH//mtlD//uxuB//
NarL-Phosphorylated_pos	fruK//argF//ygeA//dinB//truB//gadB//ulaF//xapA//lhgO//dhaM//fucU//paaB//aceB//purH//allC//
NarP-Phosphorylated_neg	murE//ugpQ//rtcA//dhaL//bioD//
NarP-Phosphorylated_pos	pykF//gatZ//srkA//pgk//sodB//fucO//phnI//speA//astC//rffG//yedX//citD//ruvB//astC//
NemR_neg	polA//hypB//
NhaR-Na_pos	umpH//gatZ//paaE//alkA//dhaL//
NikR-Ni2_neg	ynfF//
NimR_neg	paaE//
NorR_neg	
NorR_pos	ulaG//
NrdR-Zn2_neg	lpxC//glk//putA//leuC//
NsrR_neg	tpiA//glpB//kbaY//glcD//paaK//caiD//nrdD//fadJ//wzc//arsC//glcE//ulaD//pspE//ulaF//treC//mhpA//speB//iscS//narI//murE//puuA//patA//nrdE//nrdB//araA//patA//pgm//lpxA//wecB//torA//gltB//nrdB//moaA//ampC//rffC//tadA//prpE//puuC//argD//cysD//
NtrC-Phosphorylated_neg	pgaD//fadE//
NtrC-Phosphorylated_pos	pnp//nanA//hcaC//atoD//gcvT//phnO//hyaC//araB//idnO//ndh//gatZ//ppsA//gnd//lhgO//trpA//pflB//glpB//accD//pepD//murI//rfe//
OmpR-Phosphorylated_neg	ribA//slt//purB//cysD//betB//
OmpR-Phosphorylated_pos	zwf//purM//prpC//yedX//
OxyR_neg	fucK//gcvT//purN//rnpB//polB//
OxyR_pos	narG//uvrA//sgbH//lysA//alkA//rhaD//ribA//paaI//ulaE//allD//mltF//fumC//
PaaX_neg	iscS//ftsI//entA//pdeL//pdeH//feaB//dmsB//fabI//uidA//
PdeL_pos	trpE//
PdhR_neg	metH//idnD//murG//glxK//uxaA//cysJ//ppiA//uvrB//cysN//ddlB//citF//ahpF//uxaB//ruvB//paaG//speG//glnA//lsrK//pncB//bacA//entF//allA//pagP//
PdhR_pos	polA//aspC//
PepA_neg	pheT//kbaZ//
PgrR_neg	nfsB//deoA//
PhoB-Phosphorylated_neg	tadA//moeA//kbaY//phnN//pgaC//
PhoB-Phosphorylated_pos	malY//ugpQ//entE//lpxC//mpl//purC//phnG//caiB//dgcN//ulaF//frdD//bioF//atoD//chbG//lacZ//wecE//torC//
PhoP-Phosphorylated_neg	pgaD//ttdA//uxaB//
PhoP-Phosphorylated_pos	lpxC//mdh//fumC//prs//thrS//ahpC//glgA//yeaG//pepD//betB//mpaA//glgA//pykF//phnJ//wzb//hmp//hycC//glgC//nirD//gcvH//tadA//kbaZ//pyrC//ribA//wecC//allA//aroH//fadE//nfsB//gloA//leuC//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	deoA//aspA//ulaG//deoA//
PspF_neg	
PspF_pos	gltB//
PurR-hypoxanthine_neg	nfsB//gdhA//mpl//asnA//murI//eno//ttdA//lpxD//murI//leuC//dapB//moaE//yedX//metA//uvrC//pspE//glsA//rutD//leuC//garD//murI//pncB//gntK//phnM//ahpC//dgcC//
PutA_neg	alsE//hmp//
PuuR_neg	ada//purF//garL//alaS//gatD//truB//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	rffG//pgaD//deoD//metH//wecC//
RcdA_neg	
RcdA_pos	waaH//
RclR_pos	
RcnR_neg	murE//
RcsAB_neg	gatZ//
RcsAB_pos	puuE//glpA//
RcsB-BglJ_pos	purB//uvrC//
RcsB-Pasp56_neg	tadA//
RcsB-Pasp56_pos	cysM//pgpC//dkgA//
RelB-RelE_neg	uxaB//
RelB_neg	murF//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	deoC//mnmG//frdB//ttdA//
Rob_neg	
Rob_pos	asnB//fadB//hypF//waaZ//appA//ulaG//allC//hemH//hycB//prpE//purE//caiC//murG//gatZ//glxR//araA//garD//talA//astD//
RstA-Phosphorylated_neg	recF//pgaC//
RstA-Phosphorylated_pos	wecC//
RtcR_pos	ogt//glyA//
RutR_neg	fadD//phnM//xapA//idnD//metK//purC//pgaD//aroG//aceE//entH//
RutR_pos	chbF//
SdiA_neg	
SdiA_pos	
SgrR_neg	astE//
SgrR_pos	glgX//leuB//
SlyA_neg	
SlyA_pos	yqjH//tadA//pflB//aceA//xapA//glpQ//dgcN//araD//frc//
SoxR_neg	
SoxR_pos	fucO//purN//alsE//rutB//cysM//entC//
SoxS_neg	
SoxS_pos	aceB//aroG//allB//ssuD//ynfF//phnO//murE//mhpA//sucB//talA//bioC//astA//moaA//fumB//purN//argC//malP//fabG//glcD//aceE//caiA//sdhA//paaI//ruvB//bioD//rutE//tktB//moeA//
SrlR_neg	glmS//leuD//lyxK//
StpA_neg	napB//dhaK//fau//
SutR_neg	galT//yedX//
SutR_pos	
TdcA_pos	caiC//nanK//pncB//melA//rhaA//
TdcR_pos	torC//udp//arsC//hycF//aroG//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	glpX//rbsD//astB//tdcB//
TorR-TorI_neg	alaS//
TorR-TorI_pos	
TreR_neg	rtcB//feaB//
TrpR-tryptophan_neg	ycjG//carA//ygeA//hcaE//umuC//betA//xylB//nfsA//umuD//
TyrR-phenylalanine_neg	mhpB//aroL//
TyrR-phenylalanine_pos	argC//
TyrR-tyrosine_neg	phnO//epd//hycB//wecB//pykF//aroF//
TyrR-tyrosine_pos	metA//purL//
TyrR_neg	gltB//
TyrR_pos	glxK//
UhpA-Phosphorylated_pos	recD//
UidR_neg	zwf//murQ//
UlaR_neg	cysE//pyrC//waaZ//nrfA//gntK//
UvrY-Phosphorylated_pos	entH//fabA//
UxuR_neg	mhpD//adiA//fabD//gudD//putA//
XapR-xanthosine_pos	hycC//entH//
XylR-xylose_neg	
XylR-xylose_pos	glpK//phnG//mngB//
YdeO_neg	
YdeO_pos	nrfA//tam//paaJ//
YefM-YoeB_neg	cysD//
YefM_neg	putA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	gloA//pgm//gpmA//prpB//trpE//oxc//
YjjQ_neg	citD//gudD//
YpdB-Phosphorylated_pos	
YqhC_pos	metA//rsmH//
YqjI_neg	tnaA//
ZntR-Zn2_pos	ldtB//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	hyi//
