# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	galE//moaC//
CdaR_pos	rsmH//hcaF//pflB//prs//pyrC//pheT//idnD//fucK//patA//
CecR_neg	pdeL//
ChbR-N-monoacetylchitobiose6-phosphate_neg	mhpE//pck//mpaA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	garK//srlD//fucO//
ChbR_neg	lpxA//deoD//uvrA//
ChbR_pos	atoD//fadJ//glnA//
ComR_neg	
CpxR-Phosphorylated_neg	fadA//alaS//amn//
CpxR-Phosphorylated_pos	fau//gcvP//galK//sdhA//alaC//pgaB//metH//hyaA//treC//hemL//metE//rsmH//moaA//relA//rutC//pgaD//murI//glk//
Cra_neg	gabD//aroG//bioF//cysG//rffG//pgpC//lysA//nadB//lpd//glcB//phnJ//lacA//cueO//dapB//cueO//idnO//nirD//guaA//sgbE//gltB//luxS//citX//nanA//tehB//fucI//tauD//udp//paaI//rutD//rffT//astE//uxaB//dapD//aceE//ulaE//paaB//aroL//entB//napB//fucU//ynfG//adhE//ynfH//glpB//pheS//
Cra_pos	appA//hyi//deoA//dgcN//guaB//murI//gpmM//citC//gor//allB//fadH//lpxC//argH//entF//fbaB//fadM//hemL//
CreB-Phosphorylated_neg	ldtC//
CreB-Phosphorylated_pos	trpD//
CsgD_neg	pncB//gpmM//
CsgD_pos	galT//tehB//paaE//
CsiR_neg	glpC//ppsA//umpH//eno//
CspA_pos	fbaB//
CueR-Cu_neg	fadJ//nrfA//puuC//
CueR-Cu_pos	glpQ//citX//
CusR-Pasp_pos	ftnA//speA//nemA//accA//
CynR-cyanate_pos	pheS//gudD//slt//
CynR_neg	
CysB-O-acetyl-L-serine_neg	mdh//treC//puuE//
CysB-O-acetyl-L-serine_pos	tehB//cysM//ubiA//sgbH//caiC//garL//rfe//allA//speG//dkgA//phnH//caiC//
CysB_neg	
CysB_pos	rsmH//chbG//
CytR_neg	umuC//paaI//serA//dgcN//napA//ubiA//glmS//gatZ//fucA//ribA//
Dan-L-tartrate_pos	torA//moaA//
DcuR-Phosphorylated_pos	atoD//putA//citC//mhpC//
DeoR_neg	xylA//hyaA//garK//cysI//nanM//guaB//
DhaR_neg	
DhaR_pos	leuB//
DicA_neg	
DinJ-YafQ_neg	metH//
DnaA-ATP_neg	ydcS//alkB//rhaD//cysG//dkgA//
DnaA-ATP_pos	rffM//tktB//ycjG//
DpiA-Pasp_neg	
DpiA-Pasp_pos	puuB//entH//gcvH//talA//hemL//
DsdC-D-serine_neg	
DsdC-D-serine_pos	argC//pgk//
EbgR_neg	
EnvR_neg	dhaM//tehB//
EnvY_pos	gcvT//glmU//
EvgA-Phosphorylated_pos	hcaF//argC//glgB//wecE//hyi//prpC//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	nirD//puuD//recD//oxc//melA//ruvB//
FabR_neg	gltB//purF//carB//
FadR-acyl-CoA_pos	
FadR_neg	bioA//rpiB//fucA//accC//astA//tdcG//puuD//hcaE//tdcG//
FadR_pos	sucB//paaB//accA//galM//truB//fucU//recB//serA//ychF//ynfF//
FeaR_pos	umuC//yqjH//
FhlA-formate_pos	cueO//hyaB//purL//sbcC//pepD//metB//gatZ//rhaD//
FlhDC_neg	fadA//katG//
FlhDC_pos	ttdB//pepD//frdD//nagB//pagP//rimK//pagP//paaZ//sdhC//gcl//pgaB//argC//
FliZ_neg	fadD//speB//entH//dmsA//citD//
FucR-L-fuculose-1-P_pos	folA//tdcD//uxuA//ulaD//ubiC//fadI//
Fur-Fe2_neg	galK//dapD//katG//gudD//cynT//polB//waaH//wecE//gatY//galT//leuC//argE//ychF//cysC//dgcN//phnM//hyaA//nrdB//hycB//puuA//malQ//dacC//malY//patA//ynfE//moeA//ampC//ynfE//entH//nadA//ddlB//wecC//metH//sucD//leuD//yeaG//allB//entC//phnM//glpB//frdD//sgbU//icd//rnpB//dhaK//alkA//chbF//fadH//argI//fabG//alaS//fadJ//dgcC//
Fur-Fe2_pos	ssuD//recB//betA//hypF//dapB//nrfA//nrfD//glpA//metK//ssuE//mltF//fucO//mhpF//uxaA//yqhD//pyrC//
GadE-RcsB_pos	ubiC//tpiA//rimK//sucB//allD//
GadE_pos	chbG//idnK//deoD//ugpQ//ddlB//pgaB//aldA//hycC//psd//lacA//
GadW_neg	argC//argC//argC//
GadW_pos	ynfF//deoC//codA//glk//
GadX_neg	treC//prs//tehB//
GadX_pos	allE//frdA//pyrD//fadA//mhpD//melA//puuB//nanA//argI//caiC//rbsD//
GalR-beta-D-galactose_neg	rbsD//atoA//speA//nrdF//gutQ//
GalR-beta-D-galactose_pos	pheT//mazG//nirD//hycD//
GalR_neg	sufS//glcB//hyi//nagB//sucB//glgB//
GalR_pos	dgcN//recF//yedX//allA//
GalS-beta-D-galactose_neg	cynT//fadJ//murI//nanE//fadM//
GalS-beta-D-galactose_pos	waaY//napA//cysN//fucI//
GalS_neg	caiC//entA//carB//recD//nagB//hypB//
GalS_pos	malQ//polB//gltB//adiA//
GatR_neg	ahpC//uvrA//sodA//
GcvA_neg	ycjG//aceB//speG//
GcvA_pos	glpQ//rutA//umuD//
GlcC-glycolate_neg	
GlcC-glycolate_pos	mngB//aroL//umuC//
GlpR_neg	betB//araA//murI//katG//murG//fadM//rutB//
GlrR-Pasp56_pos	
GntR_neg	bioC//ogt//rpiB//allB//mdh//trpD//fucU//waaZ//gcvH//
GutM_pos	lsrK//paaJ//fes//
HU_neg	hycD//gatY//amn//phnO//yeaE//ugpQ//nrdB//
HU_pos	
HcaR-HCA_pos	napB//rutE//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	phoA//
HigB-HigA_neg	nadB//
HipAB_neg	astE//murC//
HipB_neg	arsC//hypB//rtcA//
HprR-Phosphorylated_neg	allB//mtlD//
HprR-Phosphorylated_pos	feaB//atoA//
HyfR_pos	carA//
HypT-Met-oxidized_neg	cysH//torC//
HypT-Met-oxidized_pos	adiA//torA//grxA//recD//folE//
IclR-pyruvate_neg	sodB//ttdA//guaA//
IdnR-5-ketogluconate_neg	fruK//fucU//
IdnR-5-ketogluconate_pos	carB//recF//ldtC//
IlvY-2-acetolactate_pos	nanA//
IlvY_neg	
IscR-2Fe-2S_neg	lacZ//polA//
IscR_neg	phnJ//metE//hcaE//prpE//
IscR_pos	pnp//phnI//
KdgR_neg	nagB//cysE//
KdpE-Phosphorylated_pos	gatZ//
LacI_neg	grxA//malS//purA//
LeuO_neg	
LeuO_pos	cyoE//trpC//pdeH//leuB//uxaA//uvrA//
LexA_neg	galE//rutB//paaJ//fruK//prpD//cysD//pgi//gudD//rbsD//rtcB//udp//alaS//cysD//glsA//malP//gcvP//umuC//mhpC//accD//atoA//mhpE//alaS//aldA//
LldR-lactate_neg	fucI//napG//
LldR-lactate_pos	sbcC//sdhD//
LldR_neg	sufS//nanE//
LldR_pos	aroF//dsdA//
LrhA_neg	
LrhA_pos	
LsrR_neg	cysE//glcF//dmsC//mazG//nadA//
LysR_neg	
LysR_pos	paaC//
MalI_neg	wzb//ynfF//
MalT-maltotriose-ATP_pos	moeA//hcaE//hyi//mngB//dkgA//pgm//
MarA_neg	ttdA//
MarA_pos	prpD//phr//cysJ//accA//cysE//pepD//hyi//malP//ascB//fucA//dapD//atoA//sgbH//astC//bglB//paaA//pnp//yiaK//adhE//kbaY//leuD//asnA//gltB//
MarR_neg	
MatA_neg	paaE//
MatA_pos	
MazE-MazF_neg	adiA//
MazE_neg	fadE//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	cadA//dgcZ//
MelR-melibiose_pos	lsrF//kbaZ//
MelR_neg	aldA//phnP//
MelR_pos	paaC//ybjG//
MetJ-adenosylmethionine_neg	guaA//glgB//accD//alsE//rbsK//fes//rffM//phnM//entB//gudD//
MetR-L-homocysteine_neg	alaS//
MetR-L-homocysteine_pos	mhpB//rhaB//
MetR_pos	idnD//murI//
MhpR-3HPP_pos	phr//glpB//xylA//katE//ttdA//paaI//
Mlc_neg	argF//alsE//glpA//fau//
MlrA_pos	astB//
MngR_neg	cadA//speA//
MntR-Mn2_neg	trpB//
MntR-Mn2_pos	fadA//
ModE-MoO42-_neg	nrdE//glpC//arsC//pgk//fdhF//udp//purL//galK//
ModE-MoO42-_pos	lpxC//fabH//speG//feaB//luxS//hcaE//nfsA//accA//phnJ//
MprA_neg	ppiA//adiA//nadB//
MqsA_neg	paaH//kbaZ//
MraZ_neg	phnM//dhaK//eno//deoD//paaK//prpB//umuD//mhpC//nrfA//tam//
MurR_neg	paaI//pgk//ubiA//
MurR_pos	
Nac_neg	cysN//mhpF//fadM//
Nac_pos	luxS//aspC//ampC//trpD//waaH//mdh//citD//sdhC//
NadR_neg	deoB//nrdB//idnK//nrdE//
NagC_neg	galE//adiA//ftnA//entD//argC//uxuB//sucC//fucU//patD//purD//mhpC//idnK//ddlB//galM//glpX//rffM//glsA//recD//
NagC_pos	nrdB//purA//
NanR_neg	argF//argI//metE//ahpF//dinB//pagP//
NanR_pos	
NarL-Phosphorylated_neg	fumB//metA//lysC//hyaA//rtcB//deoC//trpC//rhaD//gutQ//lsrK//phoA//murE//ulaG//sbcC//dinB//pdeL//fbaB//rffG//metA//uxaC//entH//nanE//umpH//purF//pck//ubiC//purK//sgbU//
NarL-Phosphorylated_pos	lldD//malS//glmS//citC//bioC//hycD//gatY//rsmH//purK//napA//atoA//sgbH//garR//entD//bioD//
NarP-Phosphorylated_neg	frdC//entH//glgX//phr//paaH//
NarP-Phosphorylated_pos	allB//paaH//trpE//pnp//dgcC//nadB//ada//ilvC//tadA//hcaD//dmsA//xapA//allE//glgA//
NemR_neg	torC//trpE//
NhaR-Na_pos	leuB//treC//sbcD//uxaB//tktB//
NikR-Ni2_neg	argE//
NimR_neg	bioC//
NorR_neg	
NorR_pos	eno//
NrdR-Zn2_neg	purF//tdcG//idnD//napH//
NsrR_neg	gapA//ulaE//torC//puuD//ampC//citX//paaC//polA//argG//hycF//umuC//aspA//atoA//dhaL//bioD//ung//oxc//rffM//adiA//betB//puuD//yiaK//fumB//epd//asnA//edd//glpD//glpD//fadI//bioC//cueO//purA//argA//tehB//glyA//glcD//hyaA//purL//tauD//cysM//
NtrC-Phosphorylated_neg	rutD//trpE//
NtrC-Phosphorylated_pos	lysA//gor//aldA//astC//mnmG//bioC//uvrB//pgi//prpD//putA//allC//metH//purA//fabH//fbaA//purH//cysJ//caiC//rhaB//rffH//entE//
OmpR-Phosphorylated_neg	wrbA//rhaA//ycjG//mdh//murI//
OmpR-Phosphorylated_pos	entA//dapB//folA//hycG//
OxyR_neg	bioD//pgpC//pdeH//kbaZ//sdhB//
OxyR_pos	paaE//xylA//hcaD//gcvP//rbsD//xylB//nirB//dgcZ//murF//lpxC//dhaK//atoA//
PaaX_neg	garR//paaA//cynT//galK//arsC//puuB//hmp//sucD//murI//
PdeL_pos	rutD//
PdhR_neg	nrdA//speB//rsmH//arsC//putA//edd//phnN//ogt//malP//dgcC//aroH//melA//hcp//paaZ//tdcD//betA//fadD//cysK//prpE//gpmM//pheT//tdcG//entE//
PdhR_pos	allB//glk//
PepA_neg	malP//pgk//
PgrR_neg	ung//purE//
PhoB-Phosphorylated_neg	astE//trpD//cysM//frdA//aceA//
PhoB-Phosphorylated_pos	chbF//citC//melA//patA//slt//slt//sucB//accC//rbsD//pgaC//cynS//ahpC//araD//citX//lpxD//fau//fadD//
PhoP-Phosphorylated_neg	lacZ//umpH//gutQ//
PhoP-Phosphorylated_pos	ldtD//patD//accA//sgbH//katE//speB//pyrC//pdeR//tpiA//moeA//nadB//puuD//glpC//argB//rutC//hyi//rffT//wecB//rffM//gltB//rffT//hyaB//xylA//bioD//gcvH//gnd//nrfD//pgi//ppiA//phnM//frc//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	puuC//ubiA//uxaC//feaB//
PspF_neg	
PspF_pos	fabG//
PurR-hypoxanthine_neg	garD//fabG//ppiA//citG//moaE//pgaC//gudD//wecE//alkA//phnJ//hycD//alaS//ruvA//prs//phnH//cysH//appA//ulaE//moaE//uxaA//lpxA//galM//citC//glcD//alsE//accD//
PutA_neg	ubiA//gltB//
PuuR_neg	argB//glpA//mazG//argB//kbaY//rhaD//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	napG//aroF//ynfE//accA//yedX//
RcdA_neg	
RcdA_pos	rbsK//
RclR_pos	
RcnR_neg	mpaA//
RcsAB_neg	hemH//
RcsAB_pos	bioB//argC//
RcsB-BglJ_pos	nfsB//moeB//
RcsB-Pasp56_neg	betA//
RcsB-Pasp56_pos	purK//aceF//entE//
RelB-RelE_neg	sucB//
RelB_neg	waaZ//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	glmS//dkgA//rutE//waaH//
Rob_neg	
Rob_pos	astB//pck//hyaB//glxK//hcaF//prpD//mhpC//umpH//pflB//wecB//paaE//srlD//garD//gltB//aspA//fadJ//prpD//pepD//paaH//
RstA-Phosphorylated_neg	prpC//gnd//
RstA-Phosphorylated_pos	guaB//
RtcR_pos	lhgO//entD//
RutR_neg	rutA//lhgO//uxuB//rtcA//frc//rbsK//sdhA//hemH//gutQ//yfdE//
RutR_pos	wecB//
SdiA_neg	
SdiA_pos	
SgrR_neg	caiA//
SgrR_pos	malY//prpD//
SlyA_neg	
SlyA_pos	rutE//araA//ynfF//argE//fdhF//deoC//hycC//malQ//wrbA//
SoxR_neg	
SoxR_pos	pgaD//gpmA//asnA//glmU//garK//glpB//
SoxS_neg	
SoxS_pos	glcF//eda//thrS//acnA//iscS//moaE//gudD//argE//fabD//trpB//murF//nanE//prs//glnA//sucD//folE//trpD//gatZ//phnM//murD//phnO//gpmA//hypF//nrdB//nirD//nirB//fucK//murC//
SrlR_neg	cynT//mhpD//puuB//
StpA_neg	patD//rsmH//pyrC//
SutR_neg	sdhD//nrdA//
SutR_pos	
TdcA_pos	nadA//napA//hcaF//nrdD//gapA//
TdcR_pos	lysA//glsA//malY//polA//ycjG//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	rhaA//glcD//mnmG//tdcG//
TorR-TorI_neg	pck//
TorR-TorI_pos	
TreR_neg	speA//icd//
TrpR-tryptophan_neg	iscS//fadH//argA//metB//tdcD//malP//glmU//ygeA//paaH//
TyrR-phenylalanine_neg	torA//entF//
TyrR-phenylalanine_pos	ddlB//
TyrR-tyrosine_neg	napH//napG//wzc//entB//paaB//bioA//
TyrR-tyrosine_pos	fadI//sucA//
TyrR_neg	cysJ//
TyrR_pos	murI//
UhpA-Phosphorylated_pos	dkgA//
UidR_neg	dgkA//ycjG//
UlaR_neg	ruvB//murG//speA//relA//napB//
UvrY-Phosphorylated_pos	frdD//poxB//
UxuR_neg	udp//dkgB//lpd//fabB//pheS//
XapR-xanthosine_pos	ubiX//fbaB//
XylR-xylose_neg	
XylR-xylose_pos	leuA//ilvC//sufS//
YdeO_neg	
YdeO_pos	galT//galM//dmsA//
YefM-YoeB_neg	mhpE//
YefM_neg	paaZ//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	paaB//napB//pyrD//malS//gpmM//glsA//
YjjQ_neg	dhaL//entB//
YpdB-Phosphorylated_pos	
YqhC_pos	cyoE//wecB//
YqjI_neg	cynS//
ZntR-Zn2_pos	rutC//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	eda//
