# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	rfe//deoD//
GadE-RcsB_pos	araA//fabA//gor//frdC//mhpF//
GadE_pos	sgbE//glcD//ldtD//tdcG//tktB//metE//alsE//carB//uxaA//rpiB//
GadW_neg	argI//garR//rutB//
GadW_pos	lldD//recB//uxuA//feaB//
GadX_neg	uvrB//entC//prpE//
GadX_pos	murQ//frdD//carA//glcB//pspE//cysE//ynfF//argB//putA//rsmH//pyrD//
GalR-beta-D-galactose_neg	pncB//cysM//relA//lacA//treC//
GalR-beta-D-galactose_pos	garK//pspE//phnI//tdcE//
GalR_neg	lsrK//moeA//ssuE//yeaG//metK//torA//
GalR_pos	aroL//metC//speG//gatY//
GalS-beta-D-galactose_neg	yiaK//fadM//hcp//mpaA//argG//
GalS-beta-D-galactose_pos	fucA//glpC//citX//amn//
GalS_neg	tehB//lldD//pdeR//allC//gloA//mhpC//
GalS_pos	fucA//pyrC//purM//murF//
GatR_neg	nrdF//fumC//dhaL//
GcvA_neg	codA//uvrB//gutQ//
GcvA_pos	fumC//mhpC//fucK//
GlcC-glycolate_neg	
GlcC-glycolate_pos	ubiA//cysK//aceF//
GlpR_neg	accC//entH//mltF//rffH//gloA//moaE//gpmM//
GlrR-Pasp56_pos	
GntR_neg	ppiA//sdhB//chbG//glpK//sgbU//gutQ//frdA//ulaE//dsdA//
GutM_pos	citD//phr//idnD//
HU_neg	wecC//glpQ//citG//lyxK//prpD//fadA//ppsA//
HU_pos	
HcaR-HCA_pos	asnA//torC//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	wecC//
HigB-HigA_neg	fucA//
HipAB_neg	speG//napG//
HipB_neg	araB//puuA//galE//
HprR-Phosphorylated_neg	uvrC//hycB//
HprR-Phosphorylated_pos	bacA//lpxD//
HyfR_pos	adhE//
HypT-Met-oxidized_neg	gpmA//rsmH//
HypT-Met-oxidized_pos	argD//gcvH//torC//ynfF//hycD//
IclR-pyruvate_neg	sdhC//gpmM//caiB//
IdnR-5-ketogluconate_neg	codA//phr//
IdnR-5-ketogluconate_pos	astE//lhgO//rhaD//
IlvY-2-acetolactate_pos	hcaE//
IlvY_neg	
IscR-2Fe-2S_neg	lpd//glgX//
IscR_neg	gadB//frdD//dmsB//araD//
IscR_pos	ygeA//glgA//
KdgR_neg	gor//serA//
KdpE-Phosphorylated_pos	slt//
LacI_neg	pfkA//moaE//allB//
LeuO_neg	
LeuO_pos	fbaB//uvrC//asnA//tynA//torA//gatY//
LexA_neg	lysC//caiB//paaE//malY//waaY//hcaD//fucI//glgC//polA//psd//hycG//adhE//murI//relA//murC//tnaA//garK//argA//recB//ruvA//slt//trpD//entA//
LldR-lactate_neg	fucU//ndh//
LldR-lactate_pos	hyi//rffT//
LldR_neg	moaC//caiC//
LldR_pos	trpD//uidA//
LrhA_neg	
LrhA_pos	
LsrR_neg	argA//citE//cysC//araA//cysE//
LysR_neg	
LysR_pos	arsC//
MalI_neg	gcl//tyrB//
MalT-maltotriose-ATP_pos	hypF//cueO//aldA//atoD//sucC//hcaF//
MarA_neg	cyoE//
MarA_pos	fadH//ftnA//phr//galK//moeB//nrdA//melA//napG//nirD//sodB//caiB//aldA//glgB//ycjG//accC//hyi//sbcC//udp//cdd//narG//astA//gcvH//argB//
MarR_neg	
MatA_neg	frdD//
MatA_pos	
MazE-MazF_neg	entD//
MazE_neg	purB//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	bioA//glmS//
MelR-melibiose_pos	paaG//hyi//
MelR_neg	yeaE//ogt//
MelR_pos	fadM//idnD//
MetJ-adenosylmethionine_neg	wecC//argD//glpB//torC//pgi//ilvC//sucC//fucU//speA//garR//
MetR-L-homocysteine_neg	sucB//
MetR-L-homocysteine_pos	bacA//eda//
MetR_pos	glxK//waaH//
MhpR-3HPP_pos	phnJ//nfsA//purM//prpB//dapD//aroF//
Mlc_neg	pgi//hyaA//gltD//nadA//
MlrA_pos	waaH//
MngR_neg	accC//wzb//
MntR-Mn2_neg	betA//
MntR-Mn2_pos	dhaL//
ModE-MoO42-_neg	prpB//guaB//pagP//astA//udp//pdeH//ahpC//sodA//
ModE-MoO42-_pos	umuD//fabH//treC//idnD//astC//mngB//lacA//recB//glgP//
MprA_neg	sucB//dinB//paaI//
MqsA_neg	dapB//aceF//
MraZ_neg	cysD//rbsD//hemL//paaJ//uxaC//ynfH//cueO//prpE//malS//pheS//
MurR_neg	trpC//leuA//pepD//
MurR_pos	
Nac_neg	lpxC//fbaA//lpxD//
Nac_pos	betB//metA//gltD//uxaC//dkgB//entC//hyaB//pgaC//
NadR_neg	sucC//ilvC//frc//dkgA//
NagC_neg	hypF//ulaF//folA//glxR//speB//gnd//ahpF//cynT//udp//narG//xylA//prpB//mhpB//rutA//gpmM//ddlB//yeaG//garK//
NagC_pos	lysA//galK//
NanR_neg	mhpB//ycjG//katG//paaY//fadJ//waaZ//
NanR_pos	
NarL-Phosphorylated_neg	ilvC//rtcB//mdh//lsrF//lysA//leuB//gdhA//wrbA//gutQ//ahpC//napG//dgkA//xylA//idnK//arsC//ubiX//gadA//lpxC//frdB//galK//paaJ//rhaD//allA//puuC//napA//deoC//hyaA//phoA//
NarL-Phosphorylated_pos	mpl//cysN//cysC//gabD//melA//fadB//glsA//pykF//purM//ung//fabH//fau//lsrK//citD//rhaA//
NarP-Phosphorylated_neg	umuC//hycG//ybjG//eda//serA//
NarP-Phosphorylated_pos	paaA//patD//allD//tktB//bioA//citX//argH//frdD//nadB//cysJ//sbcD//alaC//citG//xylB//
NemR_neg	polB//argG//
NhaR-Na_pos	atoB//citF//pheT//pgi//galT//
NikR-Ni2_neg	pncB//
NimR_neg	cysI//
NorR_neg	
NorR_pos	allE//
NrdR-Zn2_neg	purM//fabZ//fadE//srkA//
NsrR_neg	cysM//puuB//lsrF//narH//fes//uxuB//puuE//fucI//entE//nrdD//nrfA//fadA//ulaG//ahpC//lsrF//nanE//truB//pgm//leuC//gntK//gdhA//cysN//tdcG//ldtB//katE//astA//murC//frdA//mnmG//paaI//malS//murF//torA//xylB//tnaA//argH//aldA//cysG//phr//ldtB//
NtrC-Phosphorylated_neg	deoD//dgcZ//
NtrC-Phosphorylated_pos	glgA//tyrA//aceA//paaG//sodA//idnD//napH//ldtB//dgkA//ynfF//rutB//argF//malY//tpiA//entA//puuA//pfkA//deoD//argC//mtlD//speB//
OmpR-Phosphorylated_neg	purH//dkgB//paaF//gcvH//paaY//
OmpR-Phosphorylated_pos	caiD//fabH//deoB//mhpC//
OxyR_neg	murG//ada//wzc//paaE//sdhB//
OxyR_pos	puuD//moeA//aspC//ndh//truB//ldtC//srlD//leuB//paaK//bioD//gudD//murI//
PaaX_neg	nanK//treC//glcF//gcvH//phnM//malQ//entF//astD//mltF//
PdeL_pos	pepD//
PdhR_neg	argI//murQ//glnA//ssuE//accD//relA//polB//ddlB//wecC//edd//mpaA//recD//pgaD//sodB//phnH//hcaE//paaY//umuC//dmsB//glpX//trpA//ruvA//cyoE//
PdhR_pos	ndh//malS//
PepA_neg	fadJ//accD//
PgrR_neg	pagP//melA//
PhoB-Phosphorylated_neg	eno//nfsB//torA//phnH//narI//
PhoB-Phosphorylated_pos	glgP//icd//hcaB//glgA//treC//ruvA//talA//ascB//sucA//bioF//napB//murC//ftsI//ybjG//fadH//pgpC//caiD//
PhoP-Phosphorylated_neg	wzb//cynS//fucU//
PhoP-Phosphorylated_pos	bioA//rfe//rsmH//hycE//rutB//metB//nrfA//appA//xylB//sdhD//aroG//aceF//allE//polA//lpxA//xylB//hycE//entB//nanK//purD//glsA//tnaA//garD//tnaA//pyrC//pgaC//gadB//metB//nrdB//lsrG//katG//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	ulaE//tdcE//deoD//xapA//
PspF_neg	
PspF_pos	phr//
PurR-hypoxanthine_neg	citC//cysC//nemA//narH//leuD//purC//fucK//paaJ//accD//rfe//fes//napG//aroG//guaB//dmsA//astB//nirB//gutQ//gapA//frdA//dinB//rffH//recF//yfdE//aceE//entD//
PutA_neg	narG//rhaD//
PuuR_neg	tadA//gudD//glpX//ulaG//tehB//uxaC//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	hycB//gntK//entF//grxA//hcaD//
RcdA_neg	
RcdA_pos	glcB//
RclR_pos	
RcnR_neg	mtlD//
RcsAB_neg	hcaB//
RcsAB_pos	aspC//dhaL//
RcsB-BglJ_pos	astD//entD//
RcsB-Pasp56_neg	truB//
RcsB-Pasp56_pos	folA//uxaC//murE//
RelB-RelE_neg	dsdA//
RelB_neg	purN//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	gpmM//iscS//bioF//trpE//
Rob_neg	
Rob_pos	purH//sdhB//allC//astD//ssuD//araD//patA//caiA//fabH//kbaZ//pgk//ruvA//tehB//garK//mtlD//deoB//glcE//fau//napH//
RstA-Phosphorylated_neg	sbcD//lacZ//
RstA-Phosphorylated_pos	ulaG//
RtcR_pos	uvrA//bioD//
RutR_neg	citD//ruvB//pyrC//puuE//murF//gor//pyrC//tktB//sgbH//ppiA//
RutR_pos	nanE//
SdiA_neg	
SdiA_pos	
SgrR_neg	wecE//
SgrR_pos	dinB//cysH//
SlyA_neg	
SlyA_pos	bioC//gatD//mpaA//wecC//mhpE//moaE//glk//fau//hcp//
SoxR_neg	
SoxR_pos	ulaD//nagA//lpxC//cynT//allD//aceF//
SoxS_neg	
SoxS_pos	deoD//guaA//cysC//kbaY//sodB//eda//ampC//glmU//tdcD//ubiC//alkA//hypB//hyaB//gutQ//rffC//hmp//murC//ftnA//ttdA//ugpQ//mpaA//rutA//poxB//purB//uxuB//fadE//ung//glpK//
SrlR_neg	zwf//edd//mtlD//
StpA_neg	tnaA//malQ//araA//
SutR_neg	cysD//moeA//
SutR_pos	
TdcA_pos	glpC//pflB//cysH//gltD//glcB//
TdcR_pos	sdhB//aspC//talA//moeB//pgk//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	argA//fucI//accA//lpxA//
TorR-TorI_neg	lpd//
TorR-TorI_pos	
TreR_neg	guaB//ulaG//
TrpR-tryptophan_neg	gloA//aspC//codA//sucD//uxaB//lsrF//ulaG//argE//entB//
TyrR-phenylalanine_neg	phoA//ahpC//
TyrR-phenylalanine_pos	malZ//
TyrR-tyrosine_neg	uxaB//gapA//trpC//ppsA//recD//lldD//
TyrR-tyrosine_pos	sgbH//tynA//
TyrR_neg	feaB//
TyrR_pos	purF//
UhpA-Phosphorylated_pos	ssuD//
UidR_neg	dkgA//mhpD//
UlaR_neg	wrbA//appA//dinB//dacC//pheT//
UvrY-Phosphorylated_pos	purC//fabH//
UxuR_neg	paaY//wzc//aceB//acnA//ppc//
XapR-xanthosine_pos	metF//purD//
XylR-xylose_neg	
XylR-xylose_pos	entF//argB//allA//
YdeO_neg	
YdeO_pos	purH//puuA//murC//
YefM-YoeB_neg	edd//
YefM_neg	gabT//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	nrdD//metA//cadA//hcaC//pgi//lpxC//
YjjQ_neg	gloA//torA//
YpdB-Phosphorylated_pos	
YqhC_pos	ruvA//rtcA//
YqjI_neg	rnpB//
ZntR-Zn2_pos	prpC//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	nrfD//
