# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	wzc//ahpC//
Fur-Fe2_neg	argD//ccp//mpaA//ribA//nagA//mngB//metK//moaD//gltD//glsA//galT//entF//paaB//mazG//ppc//fabG//glpC//tyrA//caiB//glmS//moaA//mraY//cysE//glxR//fadE//gntK//astC//pykF//recF//puuD//rffM//icd//sbcD//argH//napG//fadM//wzc//mngB//bioB//moeB//frdA//ccp//fes//cynS//ttdB//mhpC//pyrC//fucU//fucK//rpiB//dacC//nrdA//gpmA//
Fur-Fe2_pos	metK//citG//glgB//cysD//napB//recB//astE//lacZ//citX//fucI//puuB//arsC//waaH//hyaA//ulaE//hypB//
GadE-RcsB_pos	nadB//ilvC//argA//fabH//mhpC//
GadE_pos	yqhD//aroL//carB//hycE//ddlB//hcaE//cysC//lsrF//mhpF//ribA//
GadW_neg	pdeL//allA//ssuD//
GadW_pos	gltD//srlD//rtcB//uxaC//
GadX_neg	dmsC//trpC//metF//
GadX_pos	glpK//rffG//gatD//trpD//paaA//citF//galM//pgaC//glmU//ssuE//argH//
GalR-beta-D-galactose_neg	mraY//cysC//fumC//cysG//argA//
GalR-beta-D-galactose_pos	ychF//glcF//frdB//waaY//
GalR_neg	sbcC//yedX//hycE//cysC//nirD//fadI//
GalR_pos	paaA//paaC//aceF//moaC//
GalS-beta-D-galactose_neg	rtcA//paaB//aroG//allA//deoC//
GalS-beta-D-galactose_pos	patA//atoA//alaS//mhpD//
GalS_neg	rhaA//leuC//uxaA//aldA//ulaD//citE//
GalS_pos	mraY//garL//zwf//fadH//
GatR_neg	cysN//cyoE//hcaD//
GcvA_neg	fabG//yqjH//tdcD//
GcvA_pos	nirD//glpK//bioD//
GlcC-glycolate_neg	
GlcC-glycolate_pos	murE//tdcD//metK//
GlpR_neg	pdeR//trpE//purA//phnP//betA//sdhD//dkgA//
GlrR-Pasp56_pos	
GntR_neg	ynfG//garK//uidA//rhaA//lsrK//ynfE//tdcD//glcD//frdB//
GutM_pos	yqhD//glxR//phnI//
HU_neg	wecE//murG//fadB//mhpB//thrS//argH//cynT//
HU_pos	
HcaR-HCA_pos	tam//aspA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	hemH//
HigB-HigA_neg	dapB//
HipAB_neg	frdA//purM//
HipB_neg	lpxA//trpA//nfsB//
HprR-Phosphorylated_neg	aroH//phnM//
HprR-Phosphorylated_pos	umuD//nemA//
HyfR_pos	purE//
HypT-Met-oxidized_neg	pykF//dkgB//
HypT-Met-oxidized_pos	hyaA//dgkA//aroH//kbaY//recF//
IclR-pyruvate_neg	moaE//entF//hmp//
IdnR-5-ketogluconate_neg	rsmH//rffG//
IdnR-5-ketogluconate_pos	nrfD//glxR//gdhA//
IlvY-2-acetolactate_pos	gabD//
IlvY_neg	
IscR-2Fe-2S_neg	tynA//fabZ//
IscR_neg	rnpB//fucO//dinB//cynS//
IscR_pos	paaK//mazG//
KdgR_neg	betB//yeaE//
KdpE-Phosphorylated_pos	citD//
LacI_neg	rhaB//hyaC//cysN//
LeuO_neg	
LeuO_pos	glpQ//malP//astE//ulaE//purE//lsrG//
LexA_neg	phoA//alaC//dgcN//allA//pdeR//aceE//caiA//gltD//argI//iscS//dmsA//ynfH//nadB//paaH//nrfC//glgX//pheT//treC//phnJ//paaJ//wzb//gltB//moaC//
LldR-lactate_neg	slt//xylA//
LldR-lactate_pos	ppc//araA//
LldR_neg	argE//ubiC//
LldR_pos	citG//astB//
LrhA_neg	
LrhA_pos	
LsrR_neg	metB//pgk//pncB//argG//poxB//
LysR_neg	
LysR_pos	glyA//
MalI_neg	uidA//ulaF//
MalT-maltotriose-ATP_pos	bioB//acnA//cynS//dkgB//nanE//narH//
MarA_neg	bacA//
MarA_pos	purA//metB//glxR//garK//yedX//kbaY//galK//argI//gpmA//puuB//nrfA//argI//metL//paaZ//psd//paaB//nfsB//fabA//fadJ//appA//citE//sgbE//speB//
MarR_neg	
MatA_neg	trpC//
MatA_pos	
MazE-MazF_neg	gcvP//
MazE_neg	gltD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	ulaF//nfsB//
MelR-melibiose_pos	tpiA//sdhA//
MelR_neg	rimK//rtcB//
MelR_pos	yeaE//wrbA//
MetJ-adenosylmethionine_neg	ubiX//eno//lpxA//mdh//dsdA//malP//tdcB//poxB//tyrA//ldtD//
MetR-L-homocysteine_neg	torA//
MetR-L-homocysteine_pos	gcvH//murG//
MetR_pos	idnD//citC//
MhpR-3HPP_pos	ftnA//rimK//umuD//napA//folA//entF//
Mlc_neg	rbsK//ycjG//nrdB//malP//
MlrA_pos	arsC//
MngR_neg	adhE//fabI//
MntR-Mn2_neg	rnpB//
MntR-Mn2_pos	yeaE//
ModE-MoO42-_neg	ppsA//ada//glpX//mdh//nrdF//glgP//frdA//metK//
ModE-MoO42-_pos	hcaC//nrfA//phr//ygeA//citE//tyrB//gadB//fabA//rffH//
MprA_neg	cysN//metF//aroL//
MqsA_neg	entE//serA//
MraZ_neg	ldtB//argI//waaY//rhaB//entC//torA//fabB//nrdD//citF//argH//
MurR_neg	mngB//frdB//purB//
MurR_pos	
Nac_neg	sdhD//citD//murC//
Nac_pos	mhpD//eno//malZ//cysM//atoB//purC//umpH//gcvP//
NadR_neg	betA//rfe//pgaD//rutA//
NagC_neg	lsrG//lysA//glcF//lacA//speG//talA//gntK//argE//lacZ//ppc//galE//nanA//yedX//fabG//metC//glgP//rsmH//hemH//
NagC_pos	melA//argE//
NanR_neg	fucK//metE//speG//argB//gadB//murQ//
NanR_pos	
NarL-Phosphorylated_neg	patA//dhaM//umpH//hycB//phr//cynT//mpaA//deoD//galK//lyxK//malS//pgi//yqjH//bioF//glpD//kbaY//mtlD//narH//mdh//betB//rutD//fabB//alsE//garR//cysD//ygeA//trpC//xapA//
NarL-Phosphorylated_pos	nanM//pgaB//gntK//rfe//deoD//mpaA//paaG//waaH//prpC//ppiA//hycF//ssuE//lsrG//pgi//lpxA//
NarP-Phosphorylated_neg	xylB//allB//ulaE//lysA//pgm//
NarP-Phosphorylated_pos	udp//leuC//puuC//paaC//fbaA//pgm//wzb//hcp//ldtB//araD//lysA//entC//nrdE//fadI//
NemR_neg	moeA//trpB//
NhaR-Na_pos	tdcD//luxS//rutD//idnK//idnO//
NikR-Ni2_neg	grxA//
NimR_neg	recF//
NorR_neg	
NorR_pos	aspA//
NrdR-Zn2_neg	leuD//lpd//murQ//glgX//
NsrR_neg	nadA//folE//lpd//cyoE//carA//phnI//xapA//bglB//phoA//argD//gloA//pyrC//allA//ulaG//gcl//nagB//iscS//glpB//uxaB//bacA//allE//leuD//hemH//purE//pyrC//aceB//cysI//puuA//ftsI//umuD//rutE//bacA//cysM//ftnA//rutD//ccp//fes//glmS//narI//deoD//
NtrC-Phosphorylated_neg	aroL//argH//
NtrC-Phosphorylated_pos	ilvC//nrdE//sgbU//nrdA//puuC//puuA//torA//trpE//waaY//patD//prpE//murG//fabG//sodA//hmp//tynA//nrfD//hypF//acnA//rtcB//rfe//
OmpR-Phosphorylated_neg	ruvB//glgC//fabH//fadH//rffG//
OmpR-Phosphorylated_pos	recB//fucA//poxB//asnA//
OxyR_neg	ruvA//glpK//paaE//malS//lacA//
OxyR_pos	sodA//puuA//ttdA//prpC//gcvP//uxuA//dgcZ//metB//gcl//sdhB//paaC//deoB//
PaaX_neg	glpC//purD//phnO//cadA//ahpC//atoD//paaJ//nrfA//ahpF//
PdeL_pos	tdcG//
PdhR_neg	pykF//ubiA//narI//sgbH//ynfF//ulaD//moeB//rnpB//allB//malS//sgbE//tyrB//dgcN//lpd//nagA//hypB//citE//paaY//argF//acnA//gltD//speB//ynfE//
PdhR_pos	pfkA//slt//
PepA_neg	udp//accA//
PgrR_neg	rsmH//eno//
PhoB-Phosphorylated_neg	gcvT//fadH//ldtB//allE//dgcZ//
PhoB-Phosphorylated_pos	nanK//aceA//fadM//ubiA//malP//paaH//wecC//bioB//purA//galE//glcE//gltD//patA//atoD//rtcB//metF//ttdA//
PhoP-Phosphorylated_neg	allA//chbG//glpX//
PhoP-Phosphorylated_pos	putA//ttdA//rfe//dmsA//garL//aceF//moeB//iscS//phnJ//allD//recD//lpxD//malQ//argC//accD//phnP//uxaA//nirB//cysE//purE//pykF//murQ//pncB//cdd//pdeH//dapB//pheS//speB//glyA//wzc//sgbU//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	fabI//sgbH//argD//ubiA//
PspF_neg	
PspF_pos	glgA//
PurR-hypoxanthine_neg	napA//aldA//gabT//pgaC//fucO//yqjH//leuC//phnM//ogt//cysD//frc//paaG//paaZ//paaI//ulaF//rhaD//aldA//malQ//cueO//dacC//nadA//speA//aspC//argC//hmp//gcvT//
PutA_neg	aceE//gcvH//
PuuR_neg	gabD//aceF//ruvB//metK//wecC//yiaK//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	hemL//purM//nanA//oxc//murC//
RcdA_neg	
RcdA_pos	cysI//
RclR_pos	
RcnR_neg	glgP//
RcsAB_neg	mhpF//
RcsAB_pos	phnN//yedX//
RcsB-BglJ_pos	speB//fadD//
RcsB-Pasp56_neg	nemA//
RcsB-Pasp56_pos	prpC//sdhA//hypF//
RelB-RelE_neg	tyrA//
RelB_neg	ppc//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	dkgB//sgbH//gudD//chbG//
Rob_neg	
Rob_pos	hyaA//accA//slt//fucU//fucU//nrfC//bacA//rnpB//paaY//recB//dmsB//tehB//astD//astD//pncB//nanM//entF//rtcB//puuE//
RstA-Phosphorylated_neg	pepD//hemH//
RstA-Phosphorylated_pos	ahpC//
RtcR_pos	yqhD//carB//
RutR_neg	ldtD//fdhF//phnO//gatZ//rffH//glpK//murF//alaC//glpQ//nadA//
RutR_pos	prpD//
SdiA_neg	
SdiA_pos	
SgrR_neg	iscS//
SgrR_pos	citE//entD//
SlyA_neg	
SlyA_pos	frdC//rffH//uxuA//eno//fucU//pgm//deoD//edd//fumC//
SoxR_neg	
SoxR_pos	napH//acnA//gltB//slt//hyaA//grxA//
SoxS_neg	
SoxS_pos	ahpF//trpE//ruvA//chbF//katG//pdeL//srlD//entA//ycjG//gatZ//fdhF//trpA//metB//rsmH//uvrB//aldA//rfe//mngB//bglB//narG//fumB//folE//pgaD//nirD//fadD//ynfE//fabH//gadB//
SrlR_neg	rutD//mltF//glcD//
StpA_neg	speA//fabB//yqhD//
SutR_neg	hyaA//argF//
SutR_pos	
TdcA_pos	phnH//pfkA//allD//ynfG//yfdE//
TdcR_pos	metB//yedX//torA//citC//hycC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	paaK//rimK//cysM//sodA//
TorR-TorI_neg	fdhF//
TorR-TorI_pos	
TreR_neg	phoA//tehB//
TrpR-tryptophan_neg	idnK//sucA//pyrD//udp//ahpF//deoC//gor//murQ//galK//
TyrR-phenylalanine_neg	pncB//nanE//
TyrR-phenylalanine_pos	gadB//
TyrR-tyrosine_neg	prpB//ppsA//pdeL//lacZ//rutC//glmS//
TyrR-tyrosine_pos	malS//glk//
TyrR_neg	paaH//
TyrR_pos	citX//
UhpA-Phosphorylated_pos	argC//
UidR_neg	glpQ//codA//
UlaR_neg	phr//deoB//metH//paaK//araB//
UvrY-Phosphorylated_pos	acnA//puuC//
UxuR_neg	trpE//paaJ//rtcA//leuA//ttdA//
XapR-xanthosine_pos	citG//accC//
XylR-xylose_neg	
XylR-xylose_pos	phoA//murQ//wecC//
YdeO_neg	
YdeO_pos	rhaA//trpB//rtcB//
YefM-YoeB_neg	glsA//
YefM_neg	garK//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	araB//ruvB//carB//mhpA//nrdF//tadA//
YjjQ_neg	allA//grxA//
YpdB-Phosphorylated_pos	
YqhC_pos	rbsD//lysA//
YqjI_neg	gabD//
ZntR-Zn2_pos	galT//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	malY//
