# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	entC//sbcD//
NsrR_neg	allE//narG//dhaL//murG//glcF//uxuA//hycE//bioB//dinB//mazG//murG//tadA//prpD//cysJ//entE//ruvB//mdh//glpQ//fbaB//gpmM//gcvH//hyaC//ogt//rimK//fes//ampC//hcaF//entD//rbsD//slt//luxS//gatZ//frc//wzb//polB//lysC//trpE//pgaD//astA//rimK//
NtrC-Phosphorylated_neg	argD//ubiX//
NtrC-Phosphorylated_pos	fumB//uvrB//rbsD//nemA//astE//nadA//purD//recB//mngB//phnM//sbcD//mazG//fabG//cysI//metC//patA//gltB//betB//fucU//fucO//ndh//
OmpR-Phosphorylated_neg	metA//phnL//phr//leuA//argE//
OmpR-Phosphorylated_pos	araA//tam//rffT//uidA//
OxyR_neg	putA//nrdE//yeaE//frc//prpD//
OxyR_pos	garD//accC//ydcS//torC//nirD//moaE//tdcD//yfdE//entF//lsrK//sodB//araB//
PaaX_neg	prs//fucO//ynfE//glgB//rffG//carA//lldD//gdhA//fucA//
PdeL_pos	oxc//
PdhR_neg	sgbH//galE//gadB//pgaC//dhaL//talA//deoA//bioA//gloA//dgkA//metL//rbsK//rffC//gcvH//cysM//mpl//tdcE//rutE//phnG//yqjH//tynA//dhaK//aceB//
PdhR_pos	malZ//gltD//
PepA_neg	glcE//ulaE//
PgrR_neg	prpB//rutC//
PhoB-Phosphorylated_neg	uxaB//citC//ruvA//astA//polA//
PhoB-Phosphorylated_pos	cysK//ahpC//betB//argB//speG//metA//speG//narG//paaI//asnA//purN//phnP//xylB//dmsA//hcaF//gcvP//talA//
PhoP-Phosphorylated_neg	yeaE//katG//hyaA//
PhoP-Phosphorylated_pos	fadD//betB//aspC//ddlB//entC//dhaM//entA//fadH//deoD//hemL//paaH//sucD//cysM//puuD//malS//nanM//hcaE//fucO//yeaE//yiaK//gcl//eno//kbaY//mnmG//xylA//fadJ//ychF//lacA//epd//guaB//gcl//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	cysK//aspC//ychF//rffC//
PspF_neg	
PspF_pos	citE//
PurR-hypoxanthine_neg	cysG//gdhA//fes//glpD//pspE//talA//sgbE//dgcZ//gntK//uxaA//mnmG//aroG//ycjG//lsrK//recB//acnA//entC//aceA//guaA//luxS//dmsB//puuE//malY//fabZ//astA//pagP//
PutA_neg	cynS//paaH//
PuuR_neg	sdhB//polB//rtcA//leuB//paaZ//allB//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	luxS//sucB//argI//pepD//gor//
RcdA_neg	
RcdA_pos	metC//
RclR_pos	
RcnR_neg	sgbH//
RcsAB_neg	ulaE//
RcsAB_pos	trpA//betA//
RcsB-BglJ_pos	napB//nrfD//
RcsB-Pasp56_neg	paaE//
RcsB-Pasp56_pos	rbsD//entB//amn//
RelB-RelE_neg	ahpC//
RelB_neg	cyoE//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	rffG//moaA//deoD//paaJ//
Rob_neg	
Rob_pos	asnA//lldD//paaI//rnpB//treC//mhpF//fucU//gutQ//torC//fadB//nrdD//wecC//moaA//ruvB//fes//entE//phnN//luxS//moaA//
RstA-Phosphorylated_neg	metK//tauD//
RstA-Phosphorylated_pos	udp//
RtcR_pos	metF//murG//
RutR_neg	icd//citD//torA//pykF//mhpB//grxA//lpxD//lpxC//bglB//oxc//
RutR_pos	iscS//
SdiA_neg	
SdiA_pos	
SgrR_neg	hemH//
SgrR_pos	ruvA//rhaA//
SlyA_neg	
SlyA_pos	hyaB//ybjG//metA//nemA//gatY//yqjH//citD//feaB//galT//
SoxR_neg	
SoxR_pos	folA//prpE//argE//mhpB//torC//purE//
SoxS_neg	
SoxS_pos	trpE//leuD//aceF//gnd//moaD//gltB//malY//nfsA//waaH//gcvH//ccp//argG//murG//guaA//ynfG//ynfF//metB//torA//mpaA//dacC//fabG//malZ//argD//tyrA//oxc//garR//tdcB//murG//
SrlR_neg	nfsA//deoD//sdhA//
StpA_neg	alsE//xylA//bglB//
SutR_neg	fadA//nfsB//
SutR_pos	
TdcA_pos	allB//caiD//dgcC//rffC//citG//
TdcR_pos	nemA//lyxK//dkgB//nrfC//gadA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	idnK//deoC//cynT//glcE//
TorR-TorI_neg	hcp//
TorR-TorI_pos	
TreR_neg	pheS//chbG//
TrpR-tryptophan_neg	metA//tdcG//paaJ//wecC//purF//adiA//glpQ//xapA//gcvT//
TyrR-phenylalanine_neg	nrfC//paaF//
TyrR-phenylalanine_pos	hyaB//
TyrR-tyrosine_neg	dapB//ppc//bioA//oxc//cysM//aroH//
TyrR-tyrosine_pos	atoA//glxK//
TyrR_neg	citC//
TyrR_pos	acnB//
UhpA-Phosphorylated_pos	sbcD//
UidR_neg	phr//fbaB//
UlaR_neg	cueO//malS//wecC//malP//mhpF//
UvrY-Phosphorylated_pos	uxaC//ogt//
UxuR_neg	metC//yedX//paaK//pgaB//murF//
XapR-xanthosine_pos	sdhD//ynfH//
XylR-xylose_neg	
XylR-xylose_pos	tam//trpA//folE//
YdeO_neg	
YdeO_pos	nrfC//cdd//glk//
YefM-YoeB_neg	nagB//
YefM_neg	araB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	rhaB//puuA//truB//wzc//ssuD//tadA//
YjjQ_neg	dhaM//tadA//
YpdB-Phosphorylated_pos	
YqhC_pos	pfkA//ugpQ//
YqjI_neg	nadA//
ZntR-Zn2_pos	sbcC//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	acnA//
