# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	sucD//waaH//
Rob_pos	rimK//dapB//ldtB//cynS//trpD//dgcZ//xylB//ynfH//nagA//bioC//glpQ//ygeA//gadA//cysC//udp//sucD//rffC//napA//galT//
RstA-Phosphorylated_neg	folA//ascB//
RstA-Phosphorylated_pos	waaY//
RtcR_pos	feaB//sucC//
RutR_neg	fadI//glnA//pyrC//cysM//rffC//ubiA//galM//ftsI//acnB//sdhA//
RutR_pos	purC//
SdiA_neg	
SdiA_pos	
SgrR_neg	dhaL//
SgrR_pos	sodB//fucO//
SlyA_neg	
SlyA_pos	pnp//idnD//garL//purF//cysN//purF//moaE//hemH//sgbE//
SoxR_neg	
SoxR_pos	fadD//ubiX//idnO//mdh//chbG//narG//
SoxS_neg	
SoxS_pos	glcB//patD//kbaZ//epd//caiC//rffC//fdhF//ndh//fucK//rtcB//gcvT//rpiB//lpxA//ampC//entF//paaA//galK//sgbU//alaC//ahpC//ubiA//aroH//ppsA//patD//xylA//frdA//mdh//narH//
SrlR_neg	adiA//adhE//katG//
StpA_neg	pgaD//pagP//amn//
SutR_neg	ftsI//leuA//
SutR_pos	
TdcA_pos	umpH//tdcE//purC//fadJ//umpH//
TdcR_pos	sdhD//murF//rffT//fumB//leuB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	dgcN//atoA//treC//aceB//
TorR-TorI_neg	entC//
TorR-TorI_pos	
TreR_neg	deoD//speB//
TrpR-tryptophan_neg	dkgA//lacA//bacA//ugpQ//ssuD//glpD//metE//mhpF//fadB//
TyrR-phenylalanine_neg	pykF//entA//
TyrR-phenylalanine_pos	tdcD//
TyrR-tyrosine_neg	uidA//entE//pspE//rtcB//epd//yiaK//
TyrR-tyrosine_pos	carA//argC//
TyrR_neg	dacC//
TyrR_pos	ttdA//
UhpA-Phosphorylated_pos	mngB//
UidR_neg	acnA//betB//
UlaR_neg	xapA//pgaD//lsrF//sgbE//dapB//
UvrY-Phosphorylated_pos	ulaD//fadI//
UxuR_neg	fumC//cysN//yeaE//nrfC//phnP//
XapR-xanthosine_pos	glgC//paaB//
XylR-xylose_neg	
XylR-xylose_pos	fabI//nrdD//rhaD//
YdeO_neg	
YdeO_pos	slt//speB//alaS//
YefM-YoeB_neg	alsE//
YefM_neg	appA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	astC//mhpD//recB//nfsB//talA//astB//
YjjQ_neg	nadA//dmsB//
YpdB-Phosphorylated_pos	
YqhC_pos	ascB//nanM//
YqjI_neg	leuB//
ZntR-Zn2_pos	rffH//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	mraY//
