# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	purA//rtcB//
CpxR-Phosphorylated_pos	caiA//ygeA//putA//araA//grxA//mpl//hyi//galE//phr//cynT//xylB//wrbA//torA//ychF//cysC//fruK//folE//mdh//
Cra_neg	purH//gadA//cysK//dhaL//ldtB//allC//napH//glpD//tehB//dapB//hcaC//gcvP//paaK//patD//sufS//pdeL//bacA//cysI//phnM//ubiX//sbcC//kbaZ//metK//ulaE//asnA//paaJ//leuC//aceB//citF//mhpE//nagA//talA//glgX//ahpF//ygeA//leuB//patD//fau//glgA//metH//ilvC//xylA//thrS//uvrC//glcB//
Cra_pos	hypB//deoC//nrdF//rbsD//frdB//pykF//hmp//sbcC//murQ//puuB//metK//sucA//garR//hemH//pagP//tpiA//puuE//
CreB-Phosphorylated_neg	yedX//
CreB-Phosphorylated_pos	phnG//
CsgD_neg	chbF//kbaZ//
CsgD_pos	alsE//gcl//yqjH//
CsiR_neg	astB//pfkA//hycE//ndh//
CspA_pos	ppc//
CueR-Cu_neg	lsrK//ddlB//prs//
CueR-Cu_pos	epd//glcB//
CusR-Pasp_pos	kbaY//gabD//metA//xylA//
CynR-cyanate_pos	ybjG//gabD//umuC//
CynR_neg	
CysB-O-acetyl-L-serine_neg	hycD//prpC//paaJ//
CysB-O-acetyl-L-serine_pos	folA//ilvC//nrfC//malZ//ycjG//tdcE//murE//rbsK//hypB//aspC//pyrD//araA//
CysB_neg	
CysB_pos	hcaC//betB//
CytR_neg	purK//moeA//hemH//adiA//gcvT//nrdE//acnA//astD//purH//poxB//
Dan-L-tartrate_pos	paaG//moaE//
DcuR-Phosphorylated_pos	citE//chbG//prpC//prpB//
DeoR_neg	puuB//gpmA//phnN//hcaC//accD//rtcB//
DhaR_neg	
DhaR_pos	fabD//
DicA_neg	
DinJ-YafQ_neg	ubiX//
DnaA-ATP_neg	galM//pgaD//alaC//pdeR//srkA//
DnaA-ATP_pos	cysE//sufS//rutB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	fabB//nrdF//phr//araB//cysE//
DsdC-D-serine_neg	
DsdC-D-serine_pos	lyxK//mdh//
EbgR_neg	
EnvR_neg	gcvP//uxuA//
EnvY_pos	paaI//fadA//
EvgA-Phosphorylated_pos	hcp//glxR//appA//alkA//aceF//rhaD//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	entF//phnL//argD//phr//mhpF//mhpC//
FabR_neg	atoB//nrdD//mpaA//
FadR-acyl-CoA_pos	
FadR_neg	dhaK//phnI//paaG//guaA//ynfE//dhaM//entB//gpmM//ascB//
FadR_pos	tnaA//sdhB//recB//fadM//eda//metA//metH//lacA//fadE//ynfF//
FeaR_pos	guaA//dhaL//
FhlA-formate_pos	ftsI//paaF//hycB//dinB//deoA//iscS//acnA//dapD//
FlhDC_neg	tehB//entA//
FlhDC_pos	sdhB//frdB//araA//gltB//speA//mhpC//lsrF//puuB//pgm//dkgA//asnB//luxS//
FliZ_neg	murD//glmU//gcvT//sgbE//lsrK//
FucR-L-fuculose-1-P_pos	metF//aspA//speA//betB//lsrG//phoA//
Fur-Fe2_neg	uidA//cysN//prpE//lsrK//malP//moaD//gdhA//tdcE//phnG//katG//gcvT//ndh//moaE//glcF//gadB//caiA//pgaC//pdeL//dsdA//rhaA//phnI//rpiB//nemA//phnO//entD//frdB//rutE//ada//pdeL//pheT//idnK//ulaD//ynfG//speA//tdcE//betA//narG//purM//idnK//entD//gcl//uvrA//mhpC//trpC//pyrC//recF//narI//entF//rtcA//cysG//fucU//metB//fadE//
Fur-Fe2_pos	dgkA//malS//murD//gatZ//pepD//aceF//argA//glpA//hcp//moaA//nrdA//phnI//purF//atoA//dhaL//torA//
GadE-RcsB_pos	moeB//glgX//amn//cynS//cysN//
GadE_pos	pgi//edd//murE//napA//nadB//rhaA//cynT//pepD//moeA//carB//
GadW_neg	astA//tdcD//glgA//
GadW_pos	araA//glpC//dgcZ//alkA//
GadX_neg	lacA//galE//rutA//
GadX_pos	tktB//ogt//tyrA//citG//bioF//sucA//pgk//fabI//ldtB//citX//narH//
GalR-beta-D-galactose_neg	rffC//adiA//edd//mpl//purD//
GalR-beta-D-galactose_pos	asnB//cysD//argB//nrfD//
GalR_neg	gcl//ruvB//wecC//fbaB//dgkA//phnL//
GalR_pos	glxK//chbG//fabD//appA//
GalS-beta-D-galactose_neg	uxuB//glcE//aldA//gpmA//citD//
GalS-beta-D-galactose_pos	alsE//trpB//malQ//lacA//
GalS_neg	guaA//wecE//phnI//mraY//rffT//rhaB//
GalS_pos	dhaL//entH//glpA//trpA//
GatR_neg	rhaD//chbG//narH//
GcvA_neg	gntK//galE//entF//
GcvA_pos	hyaA//entD//acnB//
GlcC-glycolate_neg	
GlcC-glycolate_pos	moeB//rffC//allE//
GlpR_neg	paaK//acnB//gntK//pck//araD//guaB//nrfA//
GlrR-Pasp56_pos	
GntR_neg	pyrC//putA//tynA//idnD//araA//rfe//psd//entB//dhaM//
GutM_pos	wecC//glxR//ada//
HU_neg	gatZ//nfsA//dmsA//phnM//paaC//narG//aceE//
HU_pos	
HcaR-HCA_pos	ftsI//purC//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	lysC//
HigB-HigA_neg	glcE//
HipAB_neg	yiaK//pck//
HipB_neg	nrfA//ychF//iscS//
HprR-Phosphorylated_neg	rutD//ynfG//
HprR-Phosphorylated_pos	aldA//purF//
HyfR_pos	ndh//
HypT-Met-oxidized_neg	leuA//gabD//
HypT-Met-oxidized_pos	napB//sufS//glgP//fdhF//dmsA//
IclR-pyruvate_neg	dhaK//ynfE//allC//
IdnR-5-ketogluconate_neg	phnI//lsrG//
IdnR-5-ketogluconate_pos	phnN//pheT//phnO//
IlvY-2-acetolactate_pos	ung//
IlvY_neg	
IscR-2Fe-2S_neg	pgpC//garK//
IscR_neg	leuC//cueO//iscS//argD//
IscR_pos	fucK//deoA//
KdgR_neg	nanA//araB//
KdpE-Phosphorylated_pos	metH//
LacI_neg	prpB//paaF//fadM//
LeuO_neg	
LeuO_pos	fabB//cynS//gudD//nrfC//sgbU//rffC//
LexA_neg	sucB//rffG//nagB//ahpC//aceB//fadD//nirB//puuD//ndh//purC//argI//pspE//edd//pgpC//gatD//appA//dmsC//paaY//purD//umpH//gcvT//rtcA//hycC//
LldR-lactate_neg	gapA//yedX//
LldR-lactate_pos	pflB//mtlD//
LldR_neg	codA//uidA//
LldR_pos	argD//citG//
LrhA_neg	
LrhA_pos	
LsrR_neg	gpmA//entE//fucO//gadB//cueO//
LysR_neg	
LysR_pos	trpA//
MalI_neg	fabB//rhaD//
MalT-maltotriose-ATP_pos	tynA//cyoE//hyaA//purK//eda//yedX//
MarA_neg	gntK//
MarA_pos	ssuD//aceF//dsdA//acnB//uxaA//recF//gabT//paaG//fadE//gloA//arsC//citX//pdeR//ttdA//xylB//fadM//pykF//fadA//mraY//prpD//araD//cysD//yqjH//
MarR_neg	
MatA_neg	glpQ//
MatA_pos	
MazE-MazF_neg	puuA//
MazE_neg	hyi//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	hycB//uxaC//
MelR-melibiose_pos	mtlD//metA//
MelR_neg	umuC//metL//
MelR_pos	speG//speB//
MetJ-adenosylmethionine_neg	glmS//leuC//paaI//dsdA//ahpF//murE//ftnA//fau//glpD//fucU//
MetR-L-homocysteine_neg	glnA//
MetR-L-homocysteine_pos	nemA//astD//
MetR_pos	gudD//lysC//
MhpR-3HPP_pos	ung//trpA//ndh//phnP//glnA//napA//
Mlc_neg	dkgA//gpmA//lhgO//phnP//
MlrA_pos	polA//
MngR_neg	malP//hcp//
MntR-Mn2_neg	patD//
MntR-Mn2_pos	accA//
ModE-MoO42-_neg	ogt//psd//uvrA//nirD//murF//nirB//pnp//ldtB//
ModE-MoO42-_pos	ppiA//uxaB//dacC//dmsC//argH//astD//glyA//garL//cysM//
MprA_neg	rutA//deoD//codA//
MqsA_neg	fabG//hycF//
MraZ_neg	nemA//idnO//purE//tdcG//pflB//mhpC//gntK//cysM//waaY//tam//
MurR_neg	ulaF//moaD//wrbA//
MurR_pos	
Nac_neg	dmsC//galT//allE//
Nac_pos	alaS//mpaA//moaD//bioF//glk//deoA//ftsI//purF//
NadR_neg	bioA//wzc//garL//tynA//
NagC_neg	hcp//galE//carA//rutA//allE//glgX//wecE//astA//sdhC//ddlB//fdhF//yeaE//gapA//dgcZ//cyoE//frdD//cysE//trpE//
NagC_pos	gabT//luxS//
NanR_neg	aceB//fadM//sufS//ydcS//nrdB//bioF//
NanR_pos	
NarL-Phosphorylated_neg	leuA//moaC//bglB//cysE//mpaA//citF//bioF//pheT//lpxC//cysK//hycB//nagB//hyaC//ogt//sdhD//entC//prpE//lpxD//yqjH//ndh//cysN//pncB//glgB//accA//aroF//pyrD//frdA//edd//
NarL-Phosphorylated_pos	dgcC//ugpQ//napA//tpiA//paaB//phr//bioA//argE//torC//wzb//mltF//puuB//yeaE//polB//rhaA//
NarP-Phosphorylated_neg	edd//napA//ychF//rffH//fucK//
NarP-Phosphorylated_pos	tdcE//uxuA//moeA//aspA//nirD//psd//lacZ//ycjG//hemL//gapA//gcl//ribA//dgcZ//carA//
NemR_neg	cueO//purC//
NhaR-Na_pos	entF//paaG//cysE//metE//poxB//
NikR-Ni2_neg	pheS//
NimR_neg	hyaB//
NorR_neg	
NorR_pos	nirB//
NrdR-Zn2_neg	prpD//metC//pncB//dgcZ//
NsrR_neg	ampC//nrdA//nanK//astD//sucD//aroL//hcaF//prpD//ahpF//nirB//rutE//cysJ//tnaA//yiaK//guaA//asnB//katE//galE//trpC//glgX//gltD//nanA//uvrC//moaC//dmsA//citF//uxaA//deoB//lacZ//argC//cysH//phnO//gloA//galT//aceE//glpQ//puuE//gabD//sbcD//ynfH//
NtrC-Phosphorylated_neg	napG//yiaK//
NtrC-Phosphorylated_pos	tdcG//garR//purF//rbsK//ppsA//talA//rtcB//allE//dapD//nirB//ulaE//yedX//entH//metL//bacA//malS//pdeH//wzc//narI//ddlB//cysH//
OmpR-Phosphorylated_neg	glpA//ynfG//accC//pheS//gpmA//
OmpR-Phosphorylated_pos	moeA//carB//fabH//glgC//
OxyR_neg	gpmM//ahpC//rbsK//gatY//dinB//
OxyR_pos	ulaG//paaH//xapA//fadJ//grxA//galK//glgC//deoC//ssuE//fucU//tdcG//alsE//
PaaX_neg	serA//sdhA//idnD//idnK//lpd//bacA//ulaD//nrdF//citC//
PdeL_pos	mhpC//
PdhR_neg	fbaA//malY//caiB//relA//glcB//nrdA//tpiA//fabG//deoC//zwf//speA//arsC//phnN//dhaK//allD//allE//hcaE//rtcA//paaE//fadB//pgaC//asnB//bioD//
PdhR_pos	fadH//hycF//
PepA_neg	hycE//malS//
PgrR_neg	amn//putA//
PhoB-Phosphorylated_neg	ygeA//nrdF//cysH//murG//ilvC//
PhoB-Phosphorylated_pos	eda//yedX//hemL//mhpA//fucO//nrfD//paaF//luxS//gcl//bioD//argH//waaZ//dapD//nrdF//ubiC//ydcS//betA//
PhoP-Phosphorylated_neg	entB//citX//dgcZ//
PhoP-Phosphorylated_pos	citG//aspC//argA//uidA//treC//fadI//rfe//ubiA//sdhD//hyaB//dgcZ//atoD//dhaK//recB//lhgO//mngB//rbsD//trpA//tynA//narH//acnA//aroL//kbaY//lsrG//cysG//phnH//tyrA//trpB//purM//accC//mhpA//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	uxuA//prs//dmsA//puuA//
PspF_neg	
PspF_pos	rtcA//
PurR-hypoxanthine_neg	ubiA//trpD//leuD//udp//argA//ynfG//yqjH//oxc//mltF//fbaA//betA//rutB//udp//amn//dkgB//argI//ftsI//sodA//garL//glpB//murG//uvrB//yeaG//rffM//srlD//folA//
PutA_neg	gatD//gltB//
PuuR_neg	fruK//dgcZ//gcvT//glk//waaZ//araD//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	glgC//purF//aroG//truB//relA//
RcdA_neg	
RcdA_pos	sgbH//
RclR_pos	
RcnR_neg	bioA//
RcsAB_neg	cysN//
RcsAB_pos	ynfG//phnG//
RcsB-BglJ_pos	ndh//murD//
RcsB-Pasp56_neg	entB//
RcsB-Pasp56_pos	fucO//sdhA//argE//
RelB-RelE_neg	argI//
RelB_neg	pdeH//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	mnmG//purM//nfsB//ynfH//
Rob_neg	
Rob_pos	ydcS//wecB//eda//wecB//ppsA//astE//ttdB//ddlB//fadD//purC//glmU//hycF//hycG//fadI//ubiC//eda//kbaY//phnN//napG//
RstA-Phosphorylated_neg	glmS//edd//
RstA-Phosphorylated_pos	nrfA//
RtcR_pos	ung//malZ//
RutR_neg	deoD//argC//rhaA//gatY//fabZ//malS//ftsI//fucK//mltF//trpA//
RutR_pos	lysC//
SdiA_neg	
SdiA_pos	
SgrR_neg	purA//
SgrR_pos	fadB//frc//
SlyA_neg	
SlyA_pos	narG//prpB//ulaF//fbaA//glxR//tauD//cynT//gpmM//ygeA//
SoxR_neg	
SoxR_pos	sodA//treC//garL//rnpB//rfe//umuD//
SoxS_neg	
SoxS_pos	nrfA//wzc//caiC//argA//phoA//fau//cyoE//yqhD//metF//gltB//frdC//narH//hypF//rimK//phr//phr//deoB//dmsC//dhaM//xylA//ruvA//fabA//argB//rutE//ugpQ//gabD//metA//pnp//
SrlR_neg	gadA//araB//astC//
StpA_neg	tdcG//metH//gcl//
SutR_neg	malQ//gnd//
SutR_pos	
TdcA_pos	ynfH//murI//prpD//astB//yiaK//
TdcR_pos	phnG//glpC//dmsC//fabZ//argB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	sdhB//lpxD//cynS//moaE//
TorR-TorI_neg	hemL//
TorR-TorI_pos	
TreR_neg	ydcS//icd//
TrpR-tryptophan_neg	deoB//entF//uxuB//murE//poxB//nemA//tdcD//fadA//fadH//
TyrR-phenylalanine_neg	ubiA//ndh//
TyrR-phenylalanine_pos	ccp//
TyrR-tyrosine_neg	bioF//mhpE//ppiA//hycG//paaJ//ynfG//
TyrR-tyrosine_pos	araA//ada//
TyrR_neg	malZ//
TyrR_pos	prpB//
UhpA-Phosphorylated_pos	astB//
UidR_neg	lysC//uxuB//
UlaR_neg	pdeH//bioD//gapA//fadE//uxuB//
UvrY-Phosphorylated_pos	lhgO//wrbA//
UxuR_neg	entD//hycF//dgkA//idnD//araD//
XapR-xanthosine_pos	phnH//prs//
XylR-xylose_neg	
XylR-xylose_pos	frdB//argE//asnA//
YdeO_neg	
YdeO_pos	frc//lldD//lhgO//
YefM-YoeB_neg	cysM//
YefM_neg	dacC//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	ulaG//nrdD//purD//aroH//rffG//tadA//
YjjQ_neg	glpB//bioC//
YpdB-Phosphorylated_pos	
YqhC_pos	fumB//glpC//
YqjI_neg	glgC//
ZntR-Zn2_pos	ynfF//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	allE//
