# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	patD//nadB//
Cra_pos	puuB//bioB//astC//dinB//puuB//eda//dinB//glcE//ahpC//murD//mtlD//citF//tynA//dkgA//mpl//entF//pdeL//
CreB-Phosphorylated_neg	entB//
CreB-Phosphorylated_pos	zwf//
CsgD_neg	argH//hcaB//
CsgD_pos	pspE//rnpB//pykF//
CsiR_neg	gcvT//nanK//ugpQ//hmp//
CspA_pos	mhpB//
CueR-Cu_neg	tpiA//uidA//icd//
CueR-Cu_pos	aceE//yqjH//
CusR-Pasp_pos	nagB//astC//yqjH//murQ//
CynR-cyanate_pos	idnO//sucC//ogt//
CynR_neg	
CysB-O-acetyl-L-serine_neg	frdD//prpD//entE//
CysB-O-acetyl-L-serine_pos	srlD//galK//allB//glsA//pgaD//hyaB//pheS//hycE//tehB//uvrC//fabB//bioD//
CysB_neg	
CysB_pos	alsE//rutE//
CytR_neg	pdeL//dgcN//udp//ribA//dhaL//gcvH//folE//mnmG//phnG//ynfE//
Dan-L-tartrate_pos	pgaD//rbsK//
DcuR-Phosphorylated_pos	caiD//uvrC//hcaE//pheS//
DeoR_neg	thrS//gabD//kbaY//glpK//nrdE//polB//
DhaR_neg	
DhaR_pos	lpxD//
DicA_neg	
DinJ-YafQ_neg	puuE//
DnaA-ATP_neg	nanM//entB//ulaG//rffG//pfkA//
DnaA-ATP_pos	bioD//nrdF//rbsK//
DpiA-Pasp_neg	
DpiA-Pasp_pos	uvrC//murD//wecC//dacC//rfe//
DsdC-D-serine_neg	
DsdC-D-serine_pos	ada//srkA//
EbgR_neg	
EnvR_neg	ubiA//mhpF//
EnvY_pos	talA//purA//
EvgA-Phosphorylated_pos	ynfE//pnp//pyrC//folA//dhaM//araD//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	nrdE//waaY//dapD//garL//nadA//pgaB//
FabR_neg	pfkA//fucK//accC//
FadR-acyl-CoA_pos	
FadR_neg	grxA//pflB//accA//fbaA//wecE//iscS//murQ//purM//gcvT//
FadR_pos	purC//gltB//cysG//pepD//gapA//sodB//purD//pagP//purC//pykF//
FeaR_pos	torA//narG//
FhlA-formate_pos	pykF//alkA//bglB//serA//adiA//sucD//aroL//paaG//
FlhDC_neg	mhpF//allC//
FlhDC_pos	rhaB//aldA//glgA//glpX//puuE//allE//icd//puuC//folE//garD//mpl//aldA//
FliZ_neg	garD//oxc//cysC//frdB//lacZ//
FucR-L-fuculose-1-P_pos	pgm//lsrK//ldtB//rhaD//glgP//puuB//
Fur-Fe2_neg	purN//alkB//sgbU//gabT//iscS//uxaA//uxuA//cdd//purD//galK//lsrF//citG//prpB//glmS//cysD//rsmH//nrfD//pdeH//sdhA//paaE//mnmG//argE//ldtB//fumB//tdcE//caiA//glmU//entH//speB//fabI//ddlB//bioF//nanA//atoA//uxaC//caiB//trpE//fabD//sbcD//fucA//murF//dmsC//aceB//aceF//gltD//rffH//aldA//rpiB//ogt//gabD//edd//garD//araB//
Fur-Fe2_pos	sucC//dmsB//hcaC//sucD//ugpQ//alsE//pfkA//chbF//sufS//accC//fucO//truB//tam//fadH//relA//murF//
GadE-RcsB_pos	dmsA//nrdD//mpl//ppsA//sgbH//
GadE_pos	citD//ynfH//argA//rutB//katE//hyaB//gatY//bglB//ppc//pnp//
GadW_neg	pyrD//paaA//lsrK//
GadW_pos	fadA//narG//fbaA//frdD//
GadX_neg	ulaE//cueO//nrdB//
GadX_pos	dapB//fabA//cysC//rimK//entC//glyA//trpA//pncB//bioC//uxuB//melA//
GalR-beta-D-galactose_neg	ogt//ssuE//cadA//gltB//tpiA//
GalR-beta-D-galactose_pos	astB//nfsB//astE//nrfD//
GalR_neg	hypF//nanE//carB//argG//sgbU//aldA//
GalR_pos	glyA//hcaE//sdhA//lacA//
GalS-beta-D-galactose_neg	oxc//pyrD//tdcG//argD//ycjG//
GalS-beta-D-galactose_pos	kbaZ//sucC//zwf//lsrF//
GalS_neg	napB//glgB//tktB//lpd//lacA//frdD//
GalS_pos	sgbH//phnJ//nirD//psd//
GatR_neg	relA//wecC//leuA//
GcvA_neg	fabH//aceB//adhE//
GcvA_pos	pgpC//rhaD//metK//
GlcC-glycolate_neg	
GlcC-glycolate_pos	arsC//pykF//dkgB//
GlpR_neg	araD//aldA//ulaG//rbsD//bioF//purA//ubiA//
GlrR-Pasp56_pos	
GntR_neg	uvrB//dmsA//luxS//fumC//accD//uvrB//moaE//pagP//waaY//
GutM_pos	mhpF//ddlB//paaI//
HU_neg	metA//garK//mhpE//hemL//xylB//malS//tauD//
HU_pos	
HcaR-HCA_pos	cysE//pnp//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	napH//
HigB-HigA_neg	lacA//
HipAB_neg	gor//prs//
HipB_neg	tyrA//hycD//rimK//
HprR-Phosphorylated_neg	nrdD//xylA//
HprR-Phosphorylated_pos	rutE//purC//
HyfR_pos	murF//
HypT-Met-oxidized_neg	dmsA//fucO//
HypT-Met-oxidized_pos	ruvA//nrdB//leuA//fabG//dgcC//
IclR-pyruvate_neg	napB//rutB//umuC//
IdnR-5-ketogluconate_neg	glxR//napH//
IdnR-5-ketogluconate_pos	leuB//ulaF//hycB//
IlvY-2-acetolactate_pos	idnD//
IlvY_neg	
IscR-2Fe-2S_neg	moaE//aldA//
IscR_neg	relA//metH//mhpF//nagB//
IscR_pos	mltF//folA//
KdgR_neg	gabT//glpC//
KdpE-Phosphorylated_pos	phnN//
LacI_neg	tdcE//purD//treC//
LeuO_neg	
LeuO_pos	yeaE//moeB//pagP//sucC//nfsA//murF//
LexA_neg	rhaB//grxA//alaS//galT//mpaA//nfsA//entE//waaH//uxuB//nanM//argD//relA//paaJ//tdcD//gcvT//alkB//umuD//moeB//murC//gatY//recF//glsA//uxaC//
LldR-lactate_neg	hycD//fadM//
LldR-lactate_pos	gor//entF//
LldR_neg	argH//dhaL//
LldR_pos	galK//mhpC//
LrhA_neg	
LrhA_pos	
LsrR_neg	tdcB//glcB//ruvB//fbaA//glcE//
LysR_neg	
LysR_pos	tehB//
MalI_neg	entE//sucA//
MalT-maltotriose-ATP_pos	speG//nanM//bioD//trpC//fabB//araA//
MarA_neg	moaD//
MarA_pos	fadJ//glpQ//truB//gapA//codA//sgbH//glgB//gntK//nirB//purD//astD//idnK//allE//yeaE//ttdB//citF//lhgO//paaH//caiB//phnI//sodB//nrfC//phnH//
MarR_neg	
MatA_neg	malY//
MatA_pos	
MazE-MazF_neg	gutQ//
MazE_neg	uvrB//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	metC//citF//
MelR-melibiose_pos	bioF//metE//
MelR_neg	galK//idnO//
MelR_pos	dhaL//pncB//
MetJ-adenosylmethionine_neg	recB//glmU//ynfF//speG//gpmM//caiC//gor//rfe//ynfH//entC//
MetR-L-homocysteine_neg	lysA//
MetR-L-homocysteine_pos	mhpB//dgcC//
MetR_pos	tadA//purK//
MhpR-3HPP_pos	pgaC//lsrK//ydcS//hemL//purM//gutQ//
Mlc_neg	purL//polA//rutC//wzb//
MlrA_pos	purM//
MngR_neg	fucO//sdhA//
MntR-Mn2_neg	hcaE//
MntR-Mn2_pos	argE//
ModE-MoO42-_neg	cdd//deoB//tyrA//nrdD//ppsA//bglB//aceA//phnM//
ModE-MoO42-_pos	hcaB//deoC//astC//wrbA//ftnA//nagB//fau//garD//aroG//
MprA_neg	glgA//mltF//rimK//
MqsA_neg	nrdD//codA//
MraZ_neg	gcvP//mdh//yfdE//argF//mhpA//gor//argD//argD//murG//alkB//
MurR_neg	metE//citG//ada//
MurR_pos	
Nac_neg	nrfA//wzb//wrbA//
Nac_pos	ada//ftsI//hycC//rimK//cysN//yeaG//glmS//tam//
NadR_neg	puuA//paaY//rffG//waaZ//
NagC_neg	paaH//carB//sucC//astA//rutA//hmp//fruK//frdC//rtcB//murF//carB//rffG//mnmG//fadB//speA//gntK//deoB//hycD//
NagC_pos	sbcC//acnB//
NanR_neg	glgC//puuA//murC//pagP//kbaY//gadB//
NanR_pos	
NarL-Phosphorylated_neg	ubiC//thrS//sdhC//rhaD//rffH//sodA//allC//bioF//purB//icd//ynfE//cynS//nrfA//katE//sucB//narI//kbaY//srkA//allE//sgbU//metB//rbsK//glgC//sodB//galT//hemH//yqjH//cysD//
NarL-Phosphorylated_pos	mhpF//tynA//pgi//wzb//fbaB//ubiC//pgpC//dgcC//sgbH//pgaB//paaG//gcvT//ahpF//napB//uvrB//
NarP-Phosphorylated_neg	ugpQ//moeB//trpC//chbG//fumC//
NarP-Phosphorylated_pos	cdd//sufS//ccp//napG//paaJ//yfdE//aspC//hyaB//mhpB//pgaB//ychF//gcvT//lpxA//leuA//
NemR_neg	hcaB//hycG//
NhaR-Na_pos	entA//wecE//uxuA//trpE//bglB//
NikR-Ni2_neg	appA//
NimR_neg	lysA//
NorR_neg	
NorR_pos	fdhF//
NrdR-Zn2_neg	dgcZ//nirB//ruvA//torC//
NsrR_neg	yfdE//bioF//ung//glpB//hycB//prpD//katG//paaG//nfsB//hmp//cadA//pykF//talA//fumC//narH//accC//hycB//purB//paaI//paaC//rpiB//rffG//paaB//mhpA//rpiB//hcp//puuE//galM//sucB//argG//ssuD//ccp//gor//aroF//paaG//ung//rhaB//glk//gloA//sgbH//
NtrC-Phosphorylated_neg	polA//katG//
NtrC-Phosphorylated_pos	phnO//metB//glsA//hcaB//patA//fabZ//mhpE//mtlD//sbcC//astE//puuB//napB//alkB//trpA//ubiC//idnK//hcaC//fumB//argB//malY//pgpC//
OmpR-Phosphorylated_neg	purN//adhE//folA//bioF//sodA//
OmpR-Phosphorylated_pos	rffC//phnL//puuE//ulaG//
OxyR_neg	umpH//glmU//purC//codA//ppc//
OxyR_pos	prpE//feaB//entF//grxA//astB//pgpC//ppiA//nagB//malS//araB//hcaC//glyA//
PaaX_neg	alkB//uxaB//mtlD//rutB//napA//yiaK//gloA//paaC//eda//
PdeL_pos	paaH//
PdhR_neg	sgbE//ribA//gpmM//garL//psd//hyaC//polB//nrdF//caiA//poxB//malQ//fucA//murD//gapA//ascB//bacA//nrdB//lacZ//lsrF//paaI//puuB//rbsK//atoD//
PdhR_pos	hcaD//pflB//
PepA_neg	puuC//wecB//
PgrR_neg	lpxA//moeB//
PhoB-Phosphorylated_neg	betA//murD//frdA//puuD//talA//
PhoB-Phosphorylated_pos	pyrC//cadA//prs//gdhA//frc//nanE//araD//paaB//narH//nirB//ldtB//murC//garR//acnA//fbaA//fabB//eda//
PhoP-Phosphorylated_neg	srlD//rfe//cysE//
PhoP-Phosphorylated_pos	hyaC//hcp//cynS//glgP//fruK//metC//ccp//nemA//ssuE//glxR//asnA//ynfG//aldA//wecC//paaI//tynA//purH//pflB//lacZ//ccp//araA//lhgO//fadE//accC//sdhB//cysC//sgbE//gadB//frdC//fabA//ascB//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	frdC//narI//purD//mhpA//
PspF_neg	
PspF_pos	rffM//
PurR-hypoxanthine_neg	astE//nanE//leuA//rhaB//murQ//ilvC//waaZ//tktB//purN//rhaD//phnG//rtcB//fbaB//aroF//ynfH//fabH//narG//fabH//phnJ//mraY//puuD//asnA//napA//garL//entD//nemA//
PutA_neg	waaZ//lldD//
PuuR_neg	gdhA//oxc//rimK//nrdF//hyaC//garR//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	yqhD//hcaB//cynT//pgaB//fucU//
RcdA_neg	
RcdA_pos	cysI//
RclR_pos	
RcnR_neg	folA//
RcsAB_neg	rpiB//
RcsAB_pos	umpH//alkA//
RcsB-BglJ_pos	nrdE//glxK//
RcsB-Pasp56_neg	ssuD//
RcsB-Pasp56_pos	glcF//fabA//entD//
RelB-RelE_neg	metE//
RelB_neg	araD//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	hcaC//tauD//cysM//purN//
Rob_neg	
Rob_pos	alaC//uxuB//nrfC//bioB//rffC//glcD//epd//hcp//nfsA//srkA//lldD//caiA//putA//pgk//ruvB//cysD//nanK//phnO//nrdF//
RstA-Phosphorylated_neg	paaY//purM//
RstA-Phosphorylated_pos	ycjG//
RtcR_pos	cysG//hycF//
RutR_neg	leuC//treC//gloA//napB//gltB//uvrC//nagA//hcaD//paaE//ahpF//
RutR_pos	bioF//
SdiA_neg	
SdiA_pos	
SgrR_neg	serA//
SgrR_pos	astB//ampC//
SlyA_neg	
SlyA_pos	fadM//sucB//dgcZ//lysA//mdh//sucA//tdcD//lacZ//torC//
SoxR_neg	
SoxR_pos	gcvT//pyrC//argF//fumC//lysC//epd//
SoxS_neg	
SoxS_pos	mdh//nemA//waaH//cysK//rtcA//carB//idnO//umpH//rffH//puuA//ddlB//fabA//cueO//paaK//narG//mltF//citF//cysC//fabA//folA//malP//srkA//pgaC//purD//iscS//sucD//glgB//gatZ//
SrlR_neg	entB//gatD//paaG//
StpA_neg	pagP//bglB//pykF//
SutR_neg	phr//argF//
SutR_pos	
TdcA_pos	fabH//arsC//acnA//putA//asnA//
TdcR_pos	murG//napB//eno//argH//srkA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	polB//idnO//hcaD//glpB//
TorR-TorI_neg	araA//
TorR-TorI_pos	
TreR_neg	cysG//bioF//
TrpR-tryptophan_neg	tdcE//rbsD//putA//moaA//fadE//dgcC//fumC//aceA//glpB//
TyrR-phenylalanine_neg	fumC//serA//
TyrR-phenylalanine_pos	rutA//
TyrR-tyrosine_neg	pncB//bioA//moeB//malQ//acnB//tktB//
TyrR-tyrosine_pos	cysJ//betA//
TyrR_neg	slt//
TyrR_pos	adiA//
UhpA-Phosphorylated_pos	citX//
UidR_neg	aroF//argB//
UlaR_neg	astB//moaC//sbcC//sbcD//narH//
UvrY-Phosphorylated_pos	umpH//malS//
UxuR_neg	waaY//allC//phnM//argI//purK//
XapR-xanthosine_pos	fucK//murE//
XylR-xylose_neg	
XylR-xylose_pos	cysJ//fabD//glgC//
YdeO_neg	
YdeO_pos	prpC//uxuB//ahpF//
YefM-YoeB_neg	allB//
YefM_neg	purD//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	glpK//fbaA//nanE//hycE//umpH//sodA//
YjjQ_neg	edd//ppiA//
YpdB-Phosphorylated_pos	
YqhC_pos	dapD//psd//
YqjI_neg	nrfC//
ZntR-Zn2_pos	galM//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	cadA//
