# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	lysC//cysC//
ChbR-N-monoacetylchitobiose6-phosphate_neg	mltF//dhaM//dgkA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	entE//waaZ//gatZ//
ChbR_neg	glpC//gcl//mhpF//
ChbR_pos	hcaF//bioD//ugpQ//
ComR_neg	
CpxR-Phosphorylated_neg	kbaZ//malQ//speB//
CpxR-Phosphorylated_pos	glpC//glpC//hyaA//purK//astD//katG//mazG//prpB//ssuE//cynT//astC//gatZ//ndh//deoA//ulaD//katG//cysC//rffH//
Cra_neg	moaD//recB//fabH//phnL//fumB//murF//rffH//hycB//gltB//oxc//fes//arsC//alkA//edd//glxK//nrdD//uxuB//leuB//eda//ynfE//gudD//argG//fbaB//dgcN//pgpC//tdcE//leuA//chbG//atoD//paaJ//hemL//leuA//acnB//malS//rffG//entC//cysE//pagP//allE//hyaB//iscS//ddlB//oxc//citG//hcaB//
Cra_pos	feaB//sdhD//lsrG//murI//ppiA//ppiA//tadA//oxc//ada//mhpF//fadI//gadB//paaF//metF//gabT//gnd//pncB//
CreB-Phosphorylated_neg	idnO//
CreB-Phosphorylated_pos	polA//
CsgD_neg	rffG//sdhB//
CsgD_pos	alaC//ldtD//citG//
CsiR_neg	grxA//idnK//amn//rutB//
CspA_pos	allD//
CueR-Cu_neg	lyxK//mraY//nrdF//
CueR-Cu_pos	glpD//mltF//
CusR-Pasp_pos	udp//hyaA//yqhD//cynS//
CynR-cyanate_pos	glyA//fbaA//gpmM//
CynR_neg	
CysB-O-acetyl-L-serine_neg	gapA//ldtD//tdcB//
CysB-O-acetyl-L-serine_pos	aroF//carA//aceA//narI//tdcG//metF//rtcA//fbaA//glpK//glcF//purB//puuA//
CysB_neg	
CysB_pos	metE//puuB//
CytR_neg	bioA//ruvB//fadM//gatD//gadB//ydcS//nirB//aroH//umuC//nirD//
Dan-L-tartrate_pos	fumC//allA//
DcuR-Phosphorylated_pos	lldD//tdcD//udp//tyrB//
DeoR_neg	sbcD//deoB//sucB//dapB//trpD//wecE//
DhaR_neg	
DhaR_pos	mpaA//
DicA_neg	
DinJ-YafQ_neg	gcvP//
DnaA-ATP_neg	ulaE//purC//moaC//mhpB//rbsD//
DnaA-ATP_pos	mpaA//xylA//hypB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	glyA//fadE//trpA//allA//idnO//
DsdC-D-serine_neg	
DsdC-D-serine_pos	murE//ruvB//
EbgR_neg	
EnvR_neg	fumB//sbcC//
EnvY_pos	acnB//gdhA//
EvgA-Phosphorylated_pos	fucI//moaE//fruK//lpxD//fadI//pncB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	rhaB//speG//patA//acnB//pdeH//rbsD//
FabR_neg	glgC//phnJ//nirB//
FadR-acyl-CoA_pos	
FadR_neg	murG//murF//murI//gcvH//aceF//ldtB//nanA//mngB//uxuB//
FadR_pos	gabT//pfkA//citX//mazG//putA//malP//wecC//accA//purH//dmsA//
FeaR_pos	adhE//lsrF//
FhlA-formate_pos	fadM//fucA//wecC//ydcS//narI//nadA//pspE//wrbA//
FlhDC_neg	pdeL//cysD//
FlhDC_pos	serA//cysI//metB//murF//wrbA//amn//yedX//ttdA//udp//gdhA//hmp//galE//
FliZ_neg	ahpC//betA//rffC//speG//glpQ//
FucR-L-fuculose-1-P_pos	frc//pfkA//purA//pgk//gltD//polB//
Fur-Fe2_neg	hcp//dhaK//wecB//ulaF//astE//hycE//frdA//mltF//allA//dgkA//idnK//fadJ//pgaD//carA//sufS//uxaA//aroF//idnK//pgaD//waaZ//gapA//cysJ//citD//argF//guaA//fruK//mhpF//astC//aldA//atoD//malQ//cysK//hyaB//citD//fabZ//lpd//ubiC//ribA//gor//nfsB//ribA//dinB//cysK//ndh//sucD//dhaL//tadA//glnA//ada//lpd//astC//glpK//gntK//
Fur-Fe2_pos	metF//paaI//cysE//gcl//dgcZ//rutD//gcvP//hyaA//dgkA//trpB//deoC//lpxA//phnM//araB//atoA//hypB//
GadE-RcsB_pos	nrdE//garD//hcaB//aceE//asnA//
GadE_pos	yeaG//zwf//garL//xylA//purD//fabG//uxaB//sucB//paaC//ubiC//
GadW_neg	ycjG//umuC//rbsD//
GadW_pos	nfsB//wecB//fruK//fruK//
GadX_neg	ruvB//aceA//garR//
GadX_pos	moaE//alkA//citD//dkgA//gcl//chbG//prpB//rsmH//putA//napG//ttdA//
GalR-beta-D-galactose_neg	putA//glgX//murQ//trpE//hycF//
GalR-beta-D-galactose_pos	ppiA//alaS//paaJ//folA//
GalR_neg	purE//dhaL//recB//tdcD//entH//puuD//
GalR_pos	ychF//narG//moaD//caiD//
GalS-beta-D-galactose_neg	codA//puuA//nanA//lsrF//relA//
GalS-beta-D-galactose_pos	moaC//astA//rfe//nanK//
GalS_neg	hcaE//phnP//nanK//rnpB//ulaD//prpD//
GalS_pos	wecC//aceB//puuB//accC//
GatR_neg	ynfH//murI//adhE//
GcvA_neg	atoB//xylA//citF//
GcvA_pos	pagP//leuA//phnP//
GlcC-glycolate_neg	
GlcC-glycolate_pos	rfe//gadB//uxuA//
GlpR_neg	tdcD//lldD//umpH//uvrA//fadH//atoD//metE//
GlrR-Pasp56_pos	
GntR_neg	aceF//eda//rbsD//idnO//nadB//rutD//gadB//truB//gadA//
GutM_pos	alsE//nrdF//dinB//
HU_neg	prpC//rffH//glk//ftnA//glsA//hycF//phnI//
HU_pos	
HcaR-HCA_pos	fucK//atoD//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	glpK//
HigB-HigA_neg	lacZ//
HipAB_neg	citE//cysN//
HipB_neg	purL//pgaB//speB//
HprR-Phosphorylated_neg	tnaA//astD//
HprR-Phosphorylated_pos	ruvB//gcvP//
HyfR_pos	ychF//
HypT-Met-oxidized_neg	pspE//bacA//
HypT-Met-oxidized_pos	umuD//phnH//garK//cadA//citC//
IclR-pyruvate_neg	torC//fadJ//ung//
IdnR-5-ketogluconate_neg	rffH//entE//
IdnR-5-ketogluconate_pos	tdcG//argA//polA//
IlvY-2-acetolactate_pos	bioA//
IlvY_neg	
IscR-2Fe-2S_neg	malS//ldtD//
IscR_neg	paaY//rsmH//eda//glgA//
IscR_pos	lsrF//tdcG//
KdgR_neg	astB//trpA//
KdpE-Phosphorylated_pos	purL//
LacI_neg	aceF//serA//dhaL//
LeuO_neg	
LeuO_pos	paaH//aspC//glmU//purL//sgbU//ribA//
LexA_neg	guaB//sufS//malP//acnA//narH//fucK//gutQ//xapA//paaK//leuC//grxA//fabB//dhaK//nemA//patD//pdeL//gltD//rutA//ruvA//ruvA//psd//fabZ//hyaA//
LldR-lactate_neg	gor//frdA//
LldR-lactate_pos	ppc//ynfH//
LldR_neg	malP//yedX//
LldR_pos	asnB//codA//
LrhA_neg	
LrhA_pos	
LsrR_neg	fadJ//recF//citD//mhpE//putA//
LysR_neg	
LysR_pos	glcF//
MalI_neg	rhaD//serA//
MalT-maltotriose-ATP_pos	uvrA//amn//hcaE//mhpF//ulaD//tktB//
MarA_neg	bioA//
MarA_pos	napH//caiA//guaA//hyaA//adiA//tyrB//fadJ//betA//dapD//tadA//leuD//entA//nanE//astB//lacZ//hypB//appA//pgaC//gntK//dacC//pagP//entH//pnp//
MarR_neg	
MatA_neg	yeaE//
MatA_pos	
MazE-MazF_neg	trpD//
MazE_neg	purF//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	malY//tadA//
MelR-melibiose_pos	mnmG//tdcG//
MelR_neg	nrdB//glcE//
MelR_pos	nfsA//caiC//
MetJ-adenosylmethionine_neg	ynfH//paaF//guaB//dhaK//phr//astE//ppiA//pfkA//rnpB//chbF//
MetR-L-homocysteine_neg	ahpC//
MetR-L-homocysteine_pos	wecB//glgX//
MetR_pos	glxK//phnG//
MhpR-3HPP_pos	astA//fabA//galK//hyaC//cysG//aceF//
Mlc_neg	pyrD//aceA//gutQ//pyrC//
MlrA_pos	nagB//
MngR_neg	glgP//nirD//
MntR-Mn2_neg	ulaG//
MntR-Mn2_pos	purA//
ModE-MoO42-_neg	metB//folA//fes//glgX//allA//rbsK//idnD//slt//
ModE-MoO42-_pos	napA//puuC//hycF//ulaF//rhaB//uvrA//glpX//argI//trpC//
MprA_neg	mltF//argG//nrdA//
MqsA_neg	cysD//sucC//
MraZ_neg	pnp//allB//codA//dmsB//eno//patD//glsA//argA//dkgB//carB//
MurR_neg	paaJ//grxA//leuD//
MurR_pos	
Nac_neg	xapA//glxK//purA//
Nac_pos	udp//gnd//glpD//aldA//lpxC//uxaC//hycG//ygeA//
NadR_neg	pck//phnI//waaY//cysD//
NagC_neg	nirD//mhpF//ycjG//nrdA//hypB//fadI//asnA//sucB//mhpA//murG//metH//glpK//fucA//rutB//murF//psd//mazG//murD//
NagC_pos	ldtB//paaE//
NanR_neg	rtcA//folE//entB//ssuE//lacZ//gatZ//
NanR_pos	
NarL-Phosphorylated_neg	ldtB//pdeL//phnH//chbF//nrdE//rffT//rtcB//nagB//sbcD//poxB//sbcD//ribA//pflB//glxK//narG//moeB//purN//arsC//tnaA//bioD//puuA//allB//guaB//phoA//glxK//rffH//puuC//carB//
NarL-Phosphorylated_pos	phnH//deoA//fadD//entE//glmU//rhaA//waaZ//lysA//thrS//accD//sucD//udp//ddlB//rutA//phnL//
NarP-Phosphorylated_neg	gor//poxB//alaC//folE//hcaD//
NarP-Phosphorylated_pos	lhgO//murF//pdeH//allA//tadA//gcvP//ruvA//fadI//allA//deoC//mngB//fumB//nrdD//argF//
NemR_neg	tdcB//mpl//
NhaR-Na_pos	eda//nrdE//citE//fabH//glgC//
NikR-Ni2_neg	argE//
NimR_neg	mhpC//
NorR_neg	
NorR_pos	gatD//
NrdR-Zn2_neg	rutA//arsC//uxuA//uxuA//
NsrR_neg	argF//nanA//rutA//edd//ynfF//hyaB//fes//carA//purD//dgcC//purA//relA//ahpC//bacA//fucU//glnA//yedX//leuC//fadB//cysM//fucA//uxaC//tauD//prpD//gltD//malS//sgbE//cysG//udp//lacA//uxuA//tyrB//mpaA//ynfH//lacZ//bioC//xapA//murQ//galE//pgi//
NtrC-Phosphorylated_neg	purN//lpxD//
NtrC-Phosphorylated_pos	fau//galM//argD//ahpC//aldA//nadA//nrdE//wecB//glcD//purA//hcaB//trpB//pncB//nanK//fabG//trpB//fadM//nrdF//tdcD//srlD//glgA//
OmpR-Phosphorylated_neg	gpmM//katE//rutC//ftnA//katE//
OmpR-Phosphorylated_pos	garK//tpiA//cyoE//bioB//
OxyR_neg	tktB//leuB//deoA//xylA//garK//
OxyR_pos	purB//galK//gutQ//rffG//hycD//trpE//hyaC//nemA//ssuE//wecE//tadA//idnO//
PaaX_neg	uxuB//ilvC//zwf//tdcG//argE//glcF//fabB//serA//pdeH//
PdeL_pos	srlD//
PdhR_neg	aroG//guaA//mdh//fadH//mhpE//argH//wecB//psd//glcE//phnH//nanA//ldtC//tadA//torA//garL//dkgB//glpA//metF//ahpF//uxuB//thrS//dapB//leuB//
PdhR_pos	bioB//dhaL//
PepA_neg	ahpF//frc//
PgrR_neg	fabI//caiD//
PhoB-Phosphorylated_neg	lpxD//argH//lhgO//nemA//hycC//
PhoB-Phosphorylated_pos	mngB//gcvH//aceA//paaG//uxuB//hemL//ssuD//aceE//frdC//gltD//tktB//rbsK//phnO//fucK//paaC//phnG//tdcB//
PhoP-Phosphorylated_neg	sdhC//deoB//astE//
PhoP-Phosphorylated_pos	ulaG//accD//wecC//bioB//ulaF//aceB//narH//bioB//nrdE//pgk//hypB//ldtB//rtcA//dgcZ//sgbE//bioD//malP//pspE//adhE//cysG//ldtD//purE//glxR//argG//dapD//purN//ubiX//mnmG//umuC//hemL//wecE//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	moeA//galK//nfsA//garD//
PspF_neg	
PspF_pos	pykF//
PurR-hypoxanthine_neg	aroG//aceF//caiA//sbcD//metK//nrdB//adiA//ahpF//nadA//mnmG//mhpF//galT//glyA//fbaA//ahpF//nrdA//amn//garD//galK//talA//glcF//cysN//rutD//nfsB//paaZ//fabB//
PutA_neg	phnI//argC//
PuuR_neg	wecB//galT//phnJ//psd//gltD//napH//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	pyrC//pepD//bioC//fabA//mhpC//
RcdA_neg	
RcdA_pos	paaJ//
RclR_pos	
RcnR_neg	torC//
RcsAB_neg	putA//
RcsAB_pos	sgbH//hyaC//
RcsB-BglJ_pos	astB//aldA//
RcsB-Pasp56_neg	hyaC//
RcsB-Pasp56_pos	dhaL//tauD//mtlD//
RelB-RelE_neg	purL//
RelB_neg	aceB//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	lsrK//nanM//napB//folE//
Rob_neg	
Rob_pos	fabA//speB//galE//mdh//yedX//pheT//fruK//ynfG//wzc//sucA//idnK//astC//mhpF//hyaC//ynfH//paaC//mhpF//hycE//nfsA//
RstA-Phosphorylated_neg	xylA//cysK//
RstA-Phosphorylated_pos	ndh//
RtcR_pos	citX//aceE//
RutR_neg	glgP//speG//uxuB//rutD//lsrF//phnO//lpxC//oxc//asnB//fabA//
RutR_pos	tnaA//
SdiA_neg	
SdiA_pos	
SgrR_neg	yqjH//
SgrR_pos	mpl//araB//
SlyA_neg	
SlyA_pos	metE//fes//dkgB//patA//thrS//betB//acnB//slt//napG//
SoxR_neg	
SoxR_pos	entB//phnN//fabB//rpiB//nagB//prpC//
SoxS_neg	
SoxS_pos	ulaD//pgm//hypB//uxaB//gpmM//lsrF//uvrB//ppiA//pfkA//dapB//speA//nrdD//ppsA//hycE//nrfA//nrdA//ilvC//gudD//paaY//ampC//alkB//lpd//wecB//dgcZ//idnK//gabT//mpaA//ftsI//
SrlR_neg	purA//pheT//hycE//
StpA_neg	fadE//pfkA//glmS//
SutR_neg	prpC//carA//
SutR_pos	
TdcA_pos	glcB//bioF//dgkA//hypB//udp//
TdcR_pos	alkB//paaG//argH//gabT//rpiB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	chbF//gabD//bioB//argH//
TorR-TorI_neg	hycD//
TorR-TorI_pos	
TreR_neg	hycB//carA//
TrpR-tryptophan_neg	uvrA//araA//recF//glpQ//waaH//mhpE//paaH//malZ//fabH//
TyrR-phenylalanine_neg	ycjG//rutA//
TyrR-phenylalanine_pos	hycF//
TyrR-tyrosine_neg	hmp//citE//glcF//katG//dapD//tktB//
TyrR-tyrosine_pos	nagB//trpE//
TyrR_neg	fabG//
TyrR_pos	glpX//
UhpA-Phosphorylated_pos	wzb//
UidR_neg	dmsA//hycE//
UlaR_neg	allC//nrdE//yqhD//sodA//glgX//
UvrY-Phosphorylated_pos	glgC//murF//
UxuR_neg	aroF//pgaC//cynS//cysM//glnA//
XapR-xanthosine_pos	gcl//fes//
XylR-xylose_neg	
XylR-xylose_pos	atoA//pfkA//glpC//
YdeO_neg	
YdeO_pos	slt//sgbH//pgaC//
YefM-YoeB_neg	nrfC//
YefM_neg	kbaZ//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	sbcD//fbaA//cysN//rhaA//rnpB//ybjG//
YjjQ_neg	deoD//wrbA//
YpdB-Phosphorylated_pos	
YqhC_pos	idnK//chbF//
YqjI_neg	rhaB//
ZntR-Zn2_pos	glmS//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	nadA//
