# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	patD//hcaB//
Cra_neg	ychF//nrdA//guaB//carB//grxA//uvrA//thrS//waaZ//rbsK//gor//pgi//ybjG//glxR//pflB//adiA//nirD//lhgO//murC//argH//moeA//fadJ//hcaF//sucC//bglB//yeaG//araB//betB//wzc//paaA//nagB//fadM//mhpE//sodA//ynfE//uvrB//metK//citX//galK//edd//treC//dhaK//allE//mazG//galE//cysG//
Cra_pos	ynfF//narG//gltD//pncB//idnD//feaB//malS//trpA//dkgB//yedX//purC//adiA//cynT//fruK//ttdA//alkA//glcD//
CreB-Phosphorylated_neg	yiaK//
CreB-Phosphorylated_pos	ftnA//
CsgD_neg	aspA//lpxA//
CsgD_pos	galM//torA//idnO//
CsiR_neg	napB//metA//nrfA//prpD//
CspA_pos	tpiA//
CueR-Cu_neg	hcaD//sdhA//carB//
CueR-Cu_pos	pagP//melA//
CusR-Pasp_pos	epd//citF//trpD//glyA//
CynR-cyanate_pos	trpB//yiaK//dhaM//
CynR_neg	
CysB-O-acetyl-L-serine_neg	ccp//fucU//napB//
CysB-O-acetyl-L-serine_pos	cysH//bacA//prpE//pheS//gntK//metH//hypF//frc//rffT//pspE//mtlD//hyaB//
CysB_neg	
CysB_pos	napB//fabI//
CytR_neg	hycE//gabD//pepD//astD//prpD//ubiX//paaY//ada//adhE//hycD//
Dan-L-tartrate_pos	fucA//ahpC//
DcuR-Phosphorylated_pos	cysM//mraY//fabD//rtcB//
DeoR_neg	guaB//melA//hmp//ulaF//pflB//malY//
DhaR_neg	
DhaR_pos	paaE//
DicA_neg	
DinJ-YafQ_neg	paaB//
DnaA-ATP_neg	ycjG//tdcD//hmp//mhpE//fabG//
DnaA-ATP_pos	nadB//polA//tam//
DpiA-Pasp_neg	
DpiA-Pasp_pos	dinB//gcl//entD//gltB//uxaC//
DsdC-D-serine_neg	
DsdC-D-serine_pos	sgbH//nanM//
EbgR_neg	
EnvR_neg	mhpD//yedX//
EnvY_pos	wecE//paaE//
EvgA-Phosphorylated_pos	ung//leuD//hycF//metC//ftsI//allD//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	truB//atoB//accD//katG//treC//galT//
FabR_neg	mpaA//dacC//wecC//
FadR-acyl-CoA_pos	
FadR_neg	ccp//murD//garR//asnB//lsrK//glmS//moaC//idnO//glmU//
FadR_pos	fabA//purM//speG//bioB//sdhB//edd//moaE//luxS//dkgB//galM//
FeaR_pos	tdcD//grxA//
FhlA-formate_pos	murQ//tdcE//napG//purM//glyA//cysD//ftsI//edd//
FlhDC_neg	talA//dacC//
FlhDC_pos	pgaD//ruvB//speG//bioA//aceA//gnd//recB//hemH//rimK//pyrD//phnP//melA//
FliZ_neg	hycE//rutE//sgbE//fumC//glgC//
FucR-L-fuculose-1-P_pos	napB//gdhA//tam//ilvC//luxS//nfsA//
Fur-Fe2_neg	serA//dgcN//rpiB//ung//ilvC//patD//wecC//aspC//ybjG//gcvP//metE//dhaL//argI//glgP//cadA//chbG//hycD//moeB//purE//paaY//glpD//rutE//dkgA//murE//leuB//yqhD//hmp//metA//mpaA//katG//fbaB//deoA//nagA//srkA//garL//nirD//torA//ftnA//fdhF//srlD//purD//puuD//sodB//umpH//rutB//hycG//phnJ//allD//lyxK//glpQ//cysJ//hyaC//paaY//
Fur-Fe2_pos	ssuD//eda//moeA//trpC//lsrG//pykF//luxS//deoC//purK//pflB//ygeA//rhaA//rutC//nrdA//dmsA//hycD//
GadE-RcsB_pos	purE//alsE//tnaA//glpC//bacA//
GadE_pos	pgaC//cysG//cysK//fadH//icd//fabZ//tyrA//fes//astE//cysE//
GadW_neg	xylB//glcE//chbF//
GadW_pos	idnD//sdhA//entB//truB//
GadX_neg	nirB//gcvP//atoA//
GadX_pos	phoA//aspC//pheS//galT//fau//metA//fucK//astB//gabT//umuC//prpC//
GalR-beta-D-galactose_neg	frdB//edd//tnaA//napH//nrdA//
GalR-beta-D-galactose_pos	ttdB//hmp//ugpQ//betA//
GalR_neg	betA//paaE//fabZ//pgaC//chbF//ampC//
GalR_pos	dkgA//metH//gatY//hycD//
GalS-beta-D-galactose_neg	citE//gloA//sbcC//srkA//entC//
GalS-beta-D-galactose_pos	nirD//phnL//icd//rffH//
GalS_neg	eno//metK//umuC//sgbH//grxA//ilvC//
GalS_pos	torA//sodB//entF//lsrF//
GatR_neg	allE//uvrB//murG//
GcvA_neg	allB//dgcN//pgaD//
GcvA_pos	nagB//moaD//dgkA//
GlcC-glycolate_neg	
GlcC-glycolate_pos	ahpF//purD//glyA//
GlpR_neg	deoD//glpA//sdhA//amn//waaH//fabB//sbcD//
GlrR-Pasp56_pos	
GntR_neg	aroL//relA//cysN//purH//carB//phnJ//waaZ//nadB//dmsA//
GutM_pos	hcaD//fadH//entD//
HU_neg	atoA//fau//mraY//aspA//astD//pncB//wecC//
HU_pos	
HcaR-HCA_pos	feaB//purK//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	purN//
HigB-HigA_neg	yeaG//
HipAB_neg	galE//sbcC//
HipB_neg	ycjG//allA//tyrA//
HprR-Phosphorylated_neg	rfe//cysE//
HprR-Phosphorylated_pos	fucI//rhaA//
HyfR_pos	talA//
HypT-Met-oxidized_neg	ruvA//idnK//
HypT-Met-oxidized_pos	garR//lsrF//tdcE//atoB//sucC//
IclR-pyruvate_neg	glmU//lsrK//uidA//
IdnR-5-ketogluconate_neg	citC//feaB//
IdnR-5-ketogluconate_pos	ppsA//hypB//lysA//
IlvY-2-acetolactate_pos	garK//
IlvY_neg	
IscR-2Fe-2S_neg	mpl//lsrK//
IscR_neg	pgi//lsrG//mhpB//pgk//
IscR_pos	fucA//dkgA//
KdgR_neg	mpaA//codA//
KdpE-Phosphorylated_pos	citC//
LacI_neg	murG//speB//ruvB//
LeuO_neg	
LeuO_pos	moaD//idnK//ccp//tam//moeA//idnD//
LexA_neg	glgB//eda//pgaC//gloA//treC//sucD//rsmH//fadE//ndh//yeaG//entC//gltB//mpl//speG//hycF//wecB//hycC//accA//allC//dsdA//narH//argD//sodB//
LldR-lactate_neg	wrbA//dgcN//
LldR-lactate_pos	glpK//astE//
LldR_neg	deoC//gatD//
LldR_pos	allE//entE//
LrhA_neg	
LrhA_pos	
LsrR_neg	pheS//ynfG//gcvP//glxR//hyaA//
LysR_neg	
LysR_pos	xylA//
MalI_neg	phr//atoB//
MalT-maltotriose-ATP_pos	torC//lpd//trpD//carB//napA//trpB//
MarA_neg	gapA//
MarA_pos	purA//kbaZ//moaE//allD//glpA//purN//tyrB//deoD//rffT//cyoE//metC//ftsI//rfe//dhaK//accC//fadJ//speA//yqjH//ybjG//puuE//ampC//zwf//paaA//
MarR_neg	
MatA_neg	mhpF//
MatA_pos	
MazE-MazF_neg	bioD//
MazE_neg	katE//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	ftsI//gutQ//
MelR-melibiose_pos	accD//hcaC//
MelR_neg	fabZ//moeB//
MelR_pos	sbcD//tdcD//
MetJ-adenosylmethionine_neg	bglB//tehB//gatD//leuC//speG//tyrB//trpE//paaG//gabD//caiB//
MetR-L-homocysteine_neg	katE//
MetR-L-homocysteine_pos	ampC//fabD//
MetR_pos	srkA//gutQ//
MhpR-3HPP_pos	metE//sucD//gcvP//recB//garL//fruK//
Mlc_neg	icd//betB//gapA//gabD//
MlrA_pos	puuE//
MngR_neg	aceF//murF//
MntR-Mn2_neg	deoD//
MntR-Mn2_pos	citX//
ModE-MoO42-_neg	moaE//glgC//waaH//mnmG//argA//aroG//tktB//moaC//
ModE-MoO42-_pos	sufS//dinB//adiA//murG//frdC//ahpC//hyaB//sdhC//sgbE//
MprA_neg	aroH//atoD//patA//
MqsA_neg	fadA//pflB//
MraZ_neg	prs//deoC//tauD//caiB//pgi//murI//murD//narI//ppc//waaZ//
MurR_neg	hycC//gpmM//eda//
MurR_pos	
Nac_neg	metK//lacZ//dgcC//
Nac_pos	pheT//ppiA//cysN//sdhC//purA//glnA//hemH//caiA//
NadR_neg	murQ//glgX//mltF//pgaD//
NagC_neg	ruvA//mhpF//pncB//ydcS//glpX//patD//dkgB//rffM//cysK//dkgB//lyxK//hcaE//mdh//rutD//adhE//fadB//fabZ//ssuD//
NagC_pos	metE//paaI//
NanR_neg	ubiA//rffC//tdcD//entE//pdeR//fabB//
NanR_pos	
NarL-Phosphorylated_neg	ynfF//idnD//yedX//allB//glxR//glpD//carB//ppsA//tynA//mnmG//uidA//dacC//yqhD//ybjG//araB//purF//glnA//glgP//garR//kbaY//astB//rffC//cadA//fabI//bioB//moaE//napH//hypB//
NarL-Phosphorylated_pos	tnaA//aldA//entB//uxaA//purE//puuA//sucB//sodB//metH//iscS//pgaC//lyxK//patD//argC//ppc//
NarP-Phosphorylated_neg	uvrA//tpiA//dgcN//prs//grxA//
NarP-Phosphorylated_pos	allD//lyxK//purF//alsE//ahpF//pspE//ssuD//gpmM//narH//ulaE//cysJ//accC//fucI//nemA//
NemR_neg	astD//trpE//
NhaR-Na_pos	ung//entB//dmsC//fabH//lsrK//
NikR-Ni2_neg	glsA//
NimR_neg	phnP//
NorR_neg	
NorR_pos	feaB//
NrdR-Zn2_neg	ascB//nagA//murD//prs//
NsrR_neg	folE//luxS//ulaG//ynfE//moaE//glpQ//ttdB//nanM//phnJ//gatY//garL//aceB//gatY//srkA//fumB//mtlD//dgkA//galK//araB//paaE//sdhD//gdhA//aroH//gatD//gadB//puuA//gabD//malP//aroH//phnM//hcaD//fadD//sodA//mhpA//araD//murI//rfe//ynfH//cysG//fucI//
NtrC-Phosphorylated_neg	phoA//rhaD//
NtrC-Phosphorylated_pos	aceE//gatZ//cysC//purK//uvrC//ulaD//glcD//alkA//glgC//wrbA//rimK//tadA//glcB//caiC//tdcD//cysD//entE//ldtC//rutD//nrfD//gatY//
OmpR-Phosphorylated_neg	bioD//frdC//malS//hcaF//sdhA//
OmpR-Phosphorylated_pos	hycE//fabG//fabI//gor//
OxyR_neg	puuA//recF//glcE//phoA//allB//
OxyR_pos	bioF//guaB//betA//trpD//aldA//galE//gcvH//moaA//xylB//umuD//rimK//deoB//
PaaX_neg	accD//argC//moaC//sodB//hycD//truB//mhpD//mraY//cdd//
PdeL_pos	metB//
PdhR_neg	metH//mpl//hycE//paaI//ruvB//glpK//aldA//gloA//hcp//murD//mhpC//ppc//rffT//mdh//glmU//sucC//paaK//aroL//mpl//fadH//mpl//rbsK//ahpC//
PdhR_pos	astC//hcaB//
PepA_neg	gcvH//aroG//
PgrR_neg	iscS//bioA//
PhoB-Phosphorylated_neg	paaH//torC//ydcS//srkA//mpl//
PhoB-Phosphorylated_pos	grxA//uxaB//moeA//hypF//astA//nrdD//wrbA//hcp//araA//purM//bglB//glcE//alaC//rffM//cysI//pgk//puuA//
PhoP-Phosphorylated_neg	glgB//fabB//asnA//
PhoP-Phosphorylated_pos	rsmH//pdeH//phnJ//folE//leuC//sgbU//betA//rffH//fabB//ppsA//alkA//ulaD//rutD//gcvP//paaA//hyi//glk//lhgO//paaH//frdA//phnL//purB//cadA//murD//leuD//waaZ//araD//iscS//tam//fadE//uxaC//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	mhpE//pfkA//astE//puuD//
PspF_neg	
PspF_pos	glpB//
PurR-hypoxanthine_neg	hypB//codA//purD//glk//ahpC//ddlB//purK//cysH//entA//guaA//frdA//pgpC//gadA//caiC//gapA//nanM//nrdE//astD//cysJ//metK//hycC//fadM//sgbE//malY//citX//treC//
PutA_neg	rhaD//gabT//
PuuR_neg	tyrA//purN//pflB//frc//purA//pepD//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	caiD//malZ//pnp//zwf//fadH//
RcdA_neg	
RcdA_pos	wzb//
RclR_pos	
RcnR_neg	glpC//
RcsAB_neg	fabI//
RcsAB_pos	mnmG//feaB//
RcsB-BglJ_pos	serA//tdcG//
RcsB-Pasp56_neg	glpD//
RcsB-Pasp56_pos	lpxC//pgaB//uxuA//
RelB-RelE_neg	fau//
RelB_neg	napB//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	pepD//rutA//phnJ//sodB//
Rob_neg	
Rob_pos	amn//entF//nrdA//fabH//nrdD//metF//dmsA//accD//deoC//fadA//citD//folA//puuD//dgkA//paaF//epd//mraY//cdd//asnB//
RstA-Phosphorylated_neg	hycB//mltF//
RstA-Phosphorylated_pos	katE//
RtcR_pos	purL//fumB//
RutR_neg	garK//citF//ppiA//rhaB//fabZ//alkA//uxaC//lpxD//mazG//wecE//
RutR_pos	ppsA//
SdiA_neg	
SdiA_pos	
SgrR_neg	ubiA//
SgrR_pos	rhaB//bioF//
SlyA_neg	
SlyA_pos	mnmG//araB//ndh//citF//yeaG//purN//purH//hycC//fucA//
SoxR_neg	
SoxR_pos	guaB//glgP//astB//paaE//ssuE//ubiC//
SoxS_neg	
SoxS_pos	edd//gcvT//rpiB//pgaB//bioB//pgpC//umuC//paaI//sodB//sodA//glyA//wzc//uidA//narG//fadJ//ampC//katG//hycB//caiC//ppsA//speB//puuD//acnB//iscS//ynfG//citD//dhaM//cdd//
SrlR_neg	purL//ssuD//wecE//
StpA_neg	ppc//atoD//sgbE//
SutR_neg	puuC//guaB//
SutR_pos	
TdcA_pos	pgaD//pgaC//amn//aldA//entF//
TdcR_pos	cysM//metB//tehB//thrS//lacA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	gcvP//wecC//yeaG//citD//
TorR-TorI_neg	galT//
TorR-TorI_pos	
TreR_neg	bacA//aceE//
TrpR-tryptophan_neg	fucI//entB//napB//sbcC//dkgB//uxaA//citD//araB//glgB//
TyrR-phenylalanine_neg	asnB//puuE//
TyrR-phenylalanine_pos	wecB//
TyrR-tyrosine_neg	phnN//entH//astD//lpxD//recB//caiB//
TyrR-tyrosine_pos	eda//moaE//
TyrR_neg	pdeL//
TyrR_pos	rimK//
UhpA-Phosphorylated_pos	frdB//
UidR_neg	uxuA//lpxA//
UlaR_neg	rsmH//aceF//napB//puuA//trpC//
UvrY-Phosphorylated_pos	glxK//deoD//
UxuR_neg	nrfA//glgC//ulaF//dgkA//citX//
XapR-xanthosine_pos	pck//gapA//
XylR-xylose_neg	
XylR-xylose_pos	grxA//glxK//cysN//
YdeO_neg	
YdeO_pos	pfkA//epd//fucK//
YefM-YoeB_neg	paaE//
YefM_neg	dhaM//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	glpQ//polB//sdhB//tdcB//paaB//garD//
YjjQ_neg	cyoE//paaH//
YpdB-Phosphorylated_pos	
YqhC_pos	ahpC//ugpQ//
YqjI_neg	rnpB//
ZntR-Zn2_pos	rutC//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	aroF//
