# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	yedX//paaH//
NtrC-Phosphorylated_pos	ycjG//gloA//fucO//pgaD//cysE//sufS//fumB//hemL//dhaL//glpX//allA//poxB//talA//ddlB//amn//fucO//cysN//tpiA//ubiX//gpmM//lysC//
OmpR-Phosphorylated_neg	napG//malQ//ascB//hcp//gcl//
OmpR-Phosphorylated_pos	astA//carB//dacC//ndh//
OxyR_neg	fadD//metH//slt//mpaA//gudD//
OxyR_pos	puuA//pheT//rbsD//ppsA//dgcC//lhgO//rutC//lyxK//wrbA//guaA//murD//yeaG//
PaaX_neg	nrfD//hcaC//sufS//pgaC//moeA//glpQ//ampC//frdD//hcaC//
PdeL_pos	ccp//
PdhR_neg	hcaC//gatD//tpiA//umuC//rutA//glgC//atoB//bioA//uxaA//fabH//oxc//rhaA//astB//frdD//amn//rutA//puuE//nrdE//cysK//mpaA//hcaE//ppsA//aspC//
PdhR_pos	argC//fadJ//
PepA_neg	aroG//hcaE//
PgrR_neg	dmsA//mpl//
PhoB-Phosphorylated_neg	metE//uxaA//aspA//lsrK//fadJ//
PhoB-Phosphorylated_pos	accA//idnD//betB//sucB//tdcB//paaB//murC//atoA//garR//ppiA//nrfA//argA//fadA//poxB//frdD//gadB//arsC//
PhoP-Phosphorylated_neg	adhE//dhaM//sucD//
PhoP-Phosphorylated_pos	purH//napG//moeB//fes//gltB//mltF//pgaC//napG//phnO//betA//sodB//tdcE//phnO//allB//torC//paaI//tdcD//puuA//glgP//rhaB//ybjG//gcvH//ttdA//argG//lpxA//hcaE//gltB//entF//folA//araB//ppc//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	nrdB//metA//hemL//aceB//
PspF_neg	
PspF_pos	murC//
PurR-hypoxanthine_neg	polA//uxuA//glpD//gpmM//gltD//leuC//gutQ//glgX//ppc//phnI//tdcE//allB//cysC//phnM//napG//psd//aceB//glmU//fabH//caiB//cueO//aspA//fucU//uxuA//dmsC//ydcS//
PutA_neg	murQ//alsE//
PuuR_neg	rhaA//araD//hycC//truB//tdcE//entE//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	malS//asnB//entF//ddlB//idnO//
RcdA_neg	
RcdA_pos	fabZ//
RclR_pos	
RcnR_neg	garD//
RcsAB_neg	aroG//
RcsAB_pos	astD//frdC//
RcsB-BglJ_pos	entB//edd//
RcsB-Pasp56_neg	mtlD//
RcsB-Pasp56_pos	metF//lsrK//nanK//
RelB-RelE_neg	pgpC//
RelB_neg	nemA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	eda//hyaA//entD//speA//
Rob_neg	
Rob_pos	mpl//udp//paaE//glpD//srlD//murF//tdcD//yqjH//uvrA//nrfD//sodB//recF//mhpD//pyrD//citX//hyaC//araB//uxaA//fbaB//
RstA-Phosphorylated_neg	sdhC//uvrB//
RstA-Phosphorylated_pos	nanA//
RtcR_pos	fadM//cyoE//
RutR_neg	murE//purH//amn//chbG//fabI//uxuB//fau//wzc//astB//glgC//
RutR_pos	waaY//
SdiA_neg	
SdiA_pos	
SgrR_neg	hyaC//
SgrR_pos	citC//pgm//
SlyA_neg	
SlyA_pos	hypF//garK//sdhD//prpD//yeaE//srlD//trpB//xylB//narI//
SoxR_neg	
SoxR_pos	dapB//wecE//sbcC//allD//glpD//allB//
SoxS_neg	
SoxS_pos	pgk//ndh//astD//xapA//gpmA//betB//ada//argE//murC//ychF//fadA//trpD//metA//hcaE//gcvH//pepD//waaY//purB//fabH//pgm//betA//napB//asnA//ada//rnpB//purH//puuB//caiC//
SrlR_neg	gatZ//trpE//gcvT//
StpA_neg	ascB//dapD//nirD//
SutR_neg	paaZ//glyA//
SutR_pos	
TdcA_pos	uxaC//rffG//dgcN//waaY//hcp//
TdcR_pos	purD//uxaB//pepD//cysI//dkgA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	rpiB//yeaE//deoC//moaC//
TorR-TorI_neg	glyA//
TorR-TorI_pos	
TreR_neg	mpaA//araB//
TrpR-tryptophan_neg	malS//fabB//putA//deoB//alaS//tehB//carA//alaS//acnB//
TyrR-phenylalanine_neg	patA//fadM//
TyrR-phenylalanine_pos	torC//
TyrR-tyrosine_neg	rutD//gadA//glcF//glmS//cysN//dsdA//
TyrR-tyrosine_pos	malP//rffG//
TyrR_neg	napB//
TyrR_pos	uvrC//
UhpA-Phosphorylated_pos	phnI//
UidR_neg	tktB//rhaB//
UlaR_neg	ynfF//hycF//deoC//mngB//metC//
UvrY-Phosphorylated_pos	fadD//rhaD//
UxuR_neg	ldtB//speA//moeB//argC//fumC//
XapR-xanthosine_pos	putA//rffH//
XylR-xylose_neg	
XylR-xylose_pos	lysC//tyrA//malS//
YdeO_neg	
YdeO_pos	fdhF//gnd//ppc//
YefM-YoeB_neg	rimK//
YefM_neg	trpE//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	speB//caiC//treC//lpxC//srlD//tpiA//
YjjQ_neg	pykF//uxaB//
YpdB-Phosphorylated_pos	
YqhC_pos	ogt//patA//
YqjI_neg	nrdA//
ZntR-Zn2_pos	glcE//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	aroF//
