# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	acnB//moaD//
GalR_neg	puuD//glsA//ssuE//xylA//gpmA//trpC//
GalR_pos	gcvT//fbaA//uxuB//yqhD//
GalS-beta-D-galactose_neg	hcp//ribA//leuC//luxS//napG//
GalS-beta-D-galactose_pos	entH//fadM//lysC//lyxK//
GalS_neg	tdcB//pck//iscS//prs//mngB//malZ//
GalS_pos	idnD//oxc//entH//citD//
GatR_neg	glk//rffC//alaC//
GcvA_neg	mpl//hmp//glxR//
GcvA_pos	tadA//gdhA//paaH//
GlcC-glycolate_neg	
GlcC-glycolate_pos	deoB//narI//astB//
GlpR_neg	yqjH//gcl//kbaY//phnP//puuA//allB//melA//
GlrR-Pasp56_pos	
GntR_neg	rutE//ddlB//ycjG//tynA//pgk//glmS//aceF//caiA//metB//
GutM_pos	sgbU//gnd//frdC//
HU_neg	mraY//purN//metF//galM//pheT//ddlB//moeA//
HU_pos	
HcaR-HCA_pos	ulaD//prpE//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	nirB//
HigB-HigA_neg	garK//
HipAB_neg	citG//phr//
HipB_neg	nadB//malP//rffH//
HprR-Phosphorylated_neg	garR//cysE//
HprR-Phosphorylated_pos	rffC//xapA//
HyfR_pos	garL//
HypT-Met-oxidized_neg	fbaA//ynfG//
HypT-Met-oxidized_pos	mpl//paaJ//deoC//atoA//asnB//
IclR-pyruvate_neg	poxB//phnJ//glyA//
IdnR-5-ketogluconate_neg	zwf//fruK//
IdnR-5-ketogluconate_pos	trpD//glnA//sdhA//
IlvY-2-acetolactate_pos	fadM//
IlvY_neg	
IscR-2Fe-2S_neg	nrdE//napB//
IscR_neg	ada//paaZ//rffM//rutB//
IscR_pos	araB//katE//
KdgR_neg	nadA//ulaG//
KdpE-Phosphorylated_pos	torC//
LacI_neg	gadA//patA//caiB//
LeuO_neg	
LeuO_pos	lsrF//grxA//lpxD//sgbU//luxS//garK//
LexA_neg	sucC//aspC//betA//ugpQ//leuA//lldD//rutB//atoB//paaI//gdhA//glnA//tdcE//xylB//cadA//bioC//putA//chbG//sbcD//araA//malQ//garK//nirD//ygeA//
LldR-lactate_neg	waaY//alkA//
LldR-lactate_pos	chbF//caiD//
LldR_neg	caiC//uvrB//
LldR_pos	lyxK//mhpF//
LrhA_neg	
LrhA_pos	
LsrR_neg	atoD//paaB//nfsB//moaE//aceA//
LysR_neg	
LysR_pos	pgpC//
MalI_neg	accD//mazG//
MalT-maltotriose-ATP_pos	rbsK//yfdE//metH//ruvA//paaY//cysG//
MarA_neg	glcF//
MarA_pos	citE//citF//phnJ//uxuA//napH//ppiA//argC//aldA//bacA//ynfH//ulaF//rffC//nanM//purD//astE//citF//purM//mpaA//glpB//mhpE//feaB//fucO//gltB//
MarR_neg	
MatA_neg	dkgB//
MatA_pos	
MazE-MazF_neg	citG//
MazE_neg	glgP//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	uidA//hyaC//
MelR-melibiose_pos	pdeH//sdhA//
MelR_neg	mazG//oxc//
MelR_pos	polA//argA//
MetJ-adenosylmethionine_neg	entC//amn//mraY//iscS//yeaG//dkgB//nirD//bioB//waaY//ahpF//
MetR-L-homocysteine_neg	ychF//
MetR-L-homocysteine_pos	trpD//leuA//
MetR_pos	ftsI//tktB//
MhpR-3HPP_pos	mhpF//ppiA//ubiA//pgi//argB//pspE//
Mlc_neg	dhaL//napG//srlD//mhpB//
MlrA_pos	murD//
MngR_neg	galK//patD//
MntR-Mn2_neg	caiB//
MntR-Mn2_pos	rhaA//
ModE-MoO42-_neg	malZ//lpxA//malZ//glnA//dgcC//leuA//rtcA//phnJ//
ModE-MoO42-_pos	fes//bioC//paaY//metE//ldtD//mhpE//phnI//sucC//caiA//
MprA_neg	icd//mhpD//mraY//
MqsA_neg	gltB//sucC//
MraZ_neg	deoC//speA//amn//gpmA//prpD//argB//rffH//glyA//garK//phnN//
MurR_neg	pykF//ynfF//dacC//
MurR_pos	
Nac_neg	araD//lacZ//allC//
Nac_pos	caiD//caiA//xylB//gcvH//idnO//pheS//glpQ//nrfC//
NadR_neg	nrdF//pgi//codA//tdcG//
NagC_neg	paaJ//bioB//rffC//paaK//cysH//ulaG//chbG//astA//rffC//alaS//gadA//dmsA//paaA//entE//murE//aceF//sgbU//yfdE//
NagC_pos	folA//lldD//
NanR_neg	rffG//allB//aceF//araA//oxc//gor//
NanR_pos	
NarL-Phosphorylated_neg	carB//rffH//mtlD//ndh//icd//xylB//metB//glcB//icd//hycE//hcaE//ugpQ//hycE//moaA//purA//deoB//gntK//tam//yqhD//hyaA//aceE//rsmH//sgbE//luxS//phnH//purN//gabT//folA//
NarL-Phosphorylated_pos	prpB//citF//wecC//dkgA//ubiC//purA//pgm//polA//dgkA//citC//cdd//astC//dmsB//astB//fadM//
NarP-Phosphorylated_neg	pgm//astD//metL//epd//glk//
NarP-Phosphorylated_pos	ubiX//puuE//hcp//dapD//fucO//fumB//pgaD//puuB//hcaC//chbF//recD//aceE//glpD//ldtB//
NemR_neg	ssuE//patD//
NhaR-Na_pos	galM//guaB//fdhF//frdC//ddlB//
NikR-Ni2_neg	mhpD//
NimR_neg	alaC//
NorR_neg	
NorR_pos	aroL//
NrdR-Zn2_neg	gatD//argB//nrdE//garK//
NsrR_neg	alkA//rffH//caiC//fadD//tpiA//pgaD//metF//wrbA//torA//sbcD//ssuE//paaC//paaY//guaB//fadH//lpxA//frdD//moaA//purH//phr//ndh//argF//sgbH//recD//purB//ulaD//trpC//appA//cynS//nirD//rutC//dinB//ulaE//glpQ//nrfC//nadA//glgB//poxB//rhaB//caiD//
NtrC-Phosphorylated_neg	ssuE//accC//
NtrC-Phosphorylated_pos	ssuD//zwf//gatY//citD//puuE//allD//puuA//nanA//recF//nanM//trpD//ssuE//gatY//moaE//prs//rtcB//atoA//cysM//cysI//yeaE//glpX//
OmpR-Phosphorylated_neg	narH//fadA//rhaB//ftnA//ndh//
OmpR-Phosphorylated_pos	tadA//leuC//rhaA//ppiA//
OxyR_neg	torA//frc//ldtC//fucI//ulaE//
OxyR_pos	dhaL//ugpQ//glxR//ulaF//gabD//sgbE//nfsA//dhaM//frdC//mnmG//gltD//nagA//
PaaX_neg	malP//cysG//entB//paaC//rutE//aceE//dkgA//glpK//alaS//
PdeL_pos	tdcD//
PdhR_neg	udp//umuC//rhaD//glxR//prpE//ygeA//mazG//metK//astE//frdC//edd//entE//nanA//codA//mhpD//sgbU//napB//garL//sdhA//glpQ//fucI//pyrC//serA//
PdhR_pos	pdeL//phnG//
PepA_neg	polB//frdA//
PgrR_neg	prpC//nrdE//
PhoB-Phosphorylated_neg	mhpF//tam//ccp//entB//pgk//
PhoB-Phosphorylated_pos	dmsB//ssuE//talA//puuC//lacZ//pfkA//mdh//ppiA//purC//nirD//bacA//sdhA//glgC//astE//umpH//alaS//nanM//
PhoP-Phosphorylated_neg	metK//edd//srkA//
PhoP-Phosphorylated_pos	fabZ//uxaA//nrfD//pyrC//moeB//idnK//cysN//murG//nfsB//nemA//acnA//dhaM//hcaB//bglB//ygeA//gnd//hemH//sdhC//fabA//zwf//argD//chbG//adhE//pagP//alaS//ynfE//ahpF//caiD//purA//fbaB//atoA//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	yiaK//nanA//rhaA//rutE//
PspF_neg	
PspF_pos	rhaD//
PurR-hypoxanthine_neg	umpH//adhE//yedX//pspE//malZ//phoA//purE//srkA//folE//ldtC//garL//dgkA//pspE//argH//fadI//truB//pepD//ybjG//lsrF//fucK//phnI//pgaC//allE//citE//rtcA//folE//
PutA_neg	gor//ahpC//
PuuR_neg	moeA//ndh//ynfG//waaH//ynfG//glcF//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	gloA//purF//nrfD//hycC//murG//
RcdA_neg	
RcdA_pos	frc//
RclR_pos	
RcnR_neg	rutE//
RcsAB_neg	fadH//
RcsAB_pos	pgaD//mnmG//
RcsB-BglJ_pos	ascB//frdA//
RcsB-Pasp56_neg	malQ//
RcsB-Pasp56_pos	lyxK//rffM//fucK//
RelB-RelE_neg	malP//
RelB_neg	gatY//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	lldD//glpA//moaC//nrfD//
Rob_neg	
Rob_pos	argE//pagP//rnpB//araD//rhaA//speB//sdhA//frdB//rsmH//hyaA//ynfF//rbsK//alkB//purK//chbF//lyxK//atoD//dmsC//aroG//
RstA-Phosphorylated_neg	sgbH//amn//
RstA-Phosphorylated_pos	rbsD//
RtcR_pos	tadA//ssuD//
RutR_neg	lsrK//wzc//cysN//prpC//chbG//hycB//rbsD//caiC//uxuB//sdhB//
RutR_pos	paaI//
SdiA_neg	
SdiA_pos	
SgrR_neg	cynT//
SgrR_pos	glcE//hcaC//
SlyA_neg	
SlyA_pos	patA//mdh//cdd//purL//glgA//pdeH//alkA//alaS//rutE//
SoxR_neg	
SoxR_pos	asnB//ssuE//araB//hypB//dgcN//chbG//
SoxS_neg	
SoxS_pos	glgP//aspA//nrdF//tdcB//hyi//uxaC//uvrC//glgC//ldtB//eda//murE//dhaM//ruvB//murC//allB//cysI//ugpQ//rpiB//glcE//phnJ//fabB//metC//murE//lpxD//guaA//katG//uxaB//glcF//
SrlR_neg	dapB//hycD//mhpC//
StpA_neg	eno//cysJ//ttdB//
SutR_neg	cyoE//nrfA//
SutR_pos	
TdcA_pos	nagA//paaI//speA//glpA//metL//
TdcR_pos	fabG//phnM//rtcA//xapA//argA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	pykF//dapD//umpH//eda//
TorR-TorI_neg	bglB//
TorR-TorI_pos	
TreR_neg	ssuE//pncB//
TrpR-tryptophan_neg	gabD//gcl//waaZ//chbF//napH//phnI//caiD//prpB//ogt//
TyrR-phenylalanine_neg	slt//epd//
TyrR-phenylalanine_pos	ssuE//
TyrR-tyrosine_neg	phoA//frdD//edd//gabT//citF//purF//
TyrR-tyrosine_pos	malS//trpA//
TyrR_neg	dmsA//
TyrR_pos	asnB//
UhpA-Phosphorylated_pos	hycC//
UidR_neg	fabZ//atoD//
UlaR_neg	fadE//ttdB//rutB//malS//fucK//
UvrY-Phosphorylated_pos	gadA//hycE//
UxuR_neg	sgbU//citF//mngB//gatY//asnB//
XapR-xanthosine_pos	umuC//argG//
XylR-xylose_neg	
XylR-xylose_pos	lpxA//atoD//alaC//
YdeO_neg	
YdeO_pos	ldtD//hemL//mhpA//
YefM-YoeB_neg	deoC//
YefM_neg	mhpE//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	rsmH//kbaZ//paaH//alkA//dacC//hcaF//
YjjQ_neg	sdhA//glmU//
YpdB-Phosphorylated_pos	
YqhC_pos	uvrC//malZ//
YqjI_neg	pheS//
ZntR-Zn2_pos	puuA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	gabT//
