# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	patA//ubiC//
CytR_neg	ynfE//paaA//paaH//aceA//tnaA//paaC//cdd//uidA//fucK//purD//
Dan-L-tartrate_pos	fbaB//fadA//
DcuR-Phosphorylated_pos	nrdD//rfe//malY//gutQ//
DeoR_neg	leuC//nirD//cysM//lpxA//gatY//entA//
DhaR_neg	
DhaR_pos	nanE//
DicA_neg	
DinJ-YafQ_neg	gloA//
DnaA-ATP_neg	gntK//nrfA//umuD//dgkA//talA//
DnaA-ATP_pos	glmU//rbsK//nadA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	sdhC//sgbE//nrfD//rtcA//tam//
DsdC-D-serine_neg	
DsdC-D-serine_pos	ybjG//uxuB//
EbgR_neg	
EnvR_neg	ilvC//nfsB//
EnvY_pos	dinB//fabH//
EvgA-Phosphorylated_pos	dkgA//ychF//sbcC//hyaC//folE//nemA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	lsrG//pepD//accD//ccp//cyoE//aceF//
FabR_neg	murQ//phnH//lpxC//
FadR-acyl-CoA_pos	
FadR_neg	nrdD//argB//sucB//entD//yeaE//bioA//malY//glgB//rutD//
FadR_pos	ascB//ychF//lsrF//ugpQ//narG//dinB//hcaB//mraY//pspE//ynfF//
FeaR_pos	alaC//citE//
FhlA-formate_pos	truB//sgbE//hypB//caiA//lsrG//lyxK//nrdD//argG//
FlhDC_neg	galM//malQ//
FlhDC_pos	gabT//rtcB//frdC//patD//rutE//sgbH//rtcB//adhE//hycG//glpC//pncB//ynfF//
FliZ_neg	caiA//entH//katG//sodA//pagP//
FucR-L-fuculose-1-P_pos	waaH//fucU//lsrG//fadA//ulaD//rutA//
Fur-Fe2_neg	pdeR//fbaB//allC//ung//paaH//metC//cysC//yedX//phnJ//sodB//galK//moaA//gnd//tyrB//purE//putA//rhaA//sodB//fadM//gatZ//ynfH//ynfH//gnd//pgaB//leuD//phnP//tnaA//hemL//sucD//prpD//cysG//uvrC//polA//dmsA//tdcG//narG//metL//purL//entE//dhaK//ppc//glgP//cadA//tyrB//atoB//fucA//murE//ldtD//trpD//fucI//fabZ//moaE//nrfA//
Fur-Fe2_pos	grxA//napB//rimK//mnmG//puuA//fbaA//ygeA//rffT//allC//ftnA//lyxK//allA//slt//fabH//tehB//torC//
GadE-RcsB_pos	gpmA//waaY//phnH//folE//ruvB//
GadE_pos	yiaK//citF//relA//prpC//glpK//entB//ynfG//glxR//bioD//kbaZ//
GadW_neg	pnp//xylB//mhpF//
GadW_pos	polA//acnA//kbaY//mpaA//
GadX_neg	lacZ//gltB//ychF//
GadX_pos	nirB//sgbE//phnH//yqjH//argC//folA//puuB//gdhA//metB//adhE//gadB//
GalR-beta-D-galactose_neg	accC//dgcN//dkgA//srlD//purE//
GalR-beta-D-galactose_pos	glpB//glyA//caiB//glcD//
GalR_neg	lhgO//cysN//metH//ilvC//glnA//katG//
GalR_pos	glgC//napH//yeaG//waaZ//
GalS-beta-D-galactose_neg	ynfF//dacC//fabB//fucK//fucO//
GalS-beta-D-galactose_pos	sdhC//pflB//speA//recB//
GalS_neg	hycF//ppsA//guaB//wecE//feaB//guaB//
GalS_pos	lhgO//garK//prpD//fucA//
GatR_neg	guaA//nirB//cysD//
GcvA_neg	ybjG//tehB//waaH//
GcvA_pos	sdhA//entH//xylB//
GlcC-glycolate_neg	
GlcC-glycolate_pos	bioB//allC//metL//
GlpR_neg	garL//lpxA//pgk//ulaD//ttdA//lpd//frdC//
GlrR-Pasp56_pos	
GntR_neg	rtcA//fadE//purA//tpiA//recD//edd//fabB//phnN//moaC//
GutM_pos	tdcD//fruK//ndh//
HU_neg	dsdA//paaG//ndh//murD//dhaK//rtcB//tktB//
HU_pos	
HcaR-HCA_pos	citD//garD//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	gloA//
HigB-HigA_neg	tauD//
HipAB_neg	puuD//metE//
HipB_neg	lpxD//tdcB//lsrG//
HprR-Phosphorylated_neg	citF//phnP//
HprR-Phosphorylated_pos	relA//putA//
HyfR_pos	aroF//
HypT-Met-oxidized_neg	ahpF//napB//
HypT-Met-oxidized_pos	glpQ//napG//pagP//garL//nrfD//
IclR-pyruvate_neg	accA//glcF//araD//
IdnR-5-ketogluconate_neg	sgbH//nanM//
IdnR-5-ketogluconate_pos	narH//gpmA//fabH//
IlvY-2-acetolactate_pos	hemL//
IlvY_neg	
IscR-2Fe-2S_neg	hyaA//yedX//
IscR_neg	bioA//moeA//murI//caiA//
IscR_pos	malQ//pck//
KdgR_neg	murF//ogt//
KdpE-Phosphorylated_pos	rfe//
LacI_neg	oxc//ppsA//argG//
LeuO_neg	
LeuO_pos	nrfD//nrfD//cysJ//waaH//lhgO//cysI//
LexA_neg	umuD//rutB//fabD//ldtC//dmsC//purH//puuD//metE//ubiC//fadE//pgi//argF//torA//narI//argC//dmsC//astA//lpxC//nadA//glcE//dapB//paaA//nirB//
LldR-lactate_neg	glgC//ldtC//
LldR-lactate_pos	fabD//ftnA//
LldR_neg	rsmH//dgkA//
LldR_pos	idnO//asnB//
LrhA_neg	
LrhA_pos	
LsrR_neg	sodA//narI//speG//patA//leuC//
LysR_neg	
LysR_pos	yqhD//
MalI_neg	nadB//nfsB//
MalT-maltotriose-ATP_pos	metH//lsrK//metL//nadA//citC//phnP//
MarA_neg	entC//
MarA_pos	sodB//araD//gcvH//moaC//allD//rtcB//hycF//cueO//moaE//leuA//dsdA//nemA//torC//metH//paaK//glpQ//moeA//idnO//hycG//purL//uidA//allC//idnD//
MarR_neg	
MatA_neg	uvrB//
MatA_pos	
MazE-MazF_neg	citX//
MazE_neg	hcaD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	dmsB//glcF//
MelR-melibiose_pos	dkgB//yiaK//
MelR_neg	lsrK//kbaZ//
MelR_pos	tdcB//tyrB//
MetJ-adenosylmethionine_neg	astC//srlD//chbG//pgaC//sucB//entA//entA//ppc//hyaA//trpB//
MetR-L-homocysteine_neg	pagP//
MetR-L-homocysteine_pos	umuC//glk//
MetR_pos	rhaD//bioB//
MhpR-3HPP_pos	gadB//gatD//lyxK//putA//pdeR//purE//
Mlc_neg	aceB//sucB//ccp//pgpC//
MlrA_pos	wzb//
MngR_neg	argB//ftsI//
MntR-Mn2_neg	purB//
MntR-Mn2_pos	alaS//
ModE-MoO42-_neg	frdD//trpD//moaE//glsA//trpC//pgm//cadA//lysA//
ModE-MoO42-_pos	xylB//cynS//phnL//phnH//cdd//ascB//glmU//fucK//poxB//
MprA_neg	fdhF//feaB//ahpC//
MqsA_neg	deoA//rimK//
MraZ_neg	argI//narH//mazG//gpmA//sgbH//dsdA//edd//glpD//pgpC//entH//
MurR_neg	fabA//carB//accD//
MurR_pos	
Nac_neg	puuB//leuA//rimK//
Nac_pos	cynT//prpD//nrdF//fadE//appA//ychF//dmsB//umuD//
NadR_neg	pgaD//wecC//sgbH//dgcN//
NagC_neg	metF//paaY//glsA//yedX//cysN//allC//glcB//metC//metF//metH//fabZ//hcaE//entD//murF//astC//codA//argB//argI//
NagC_pos	ahpC//galT//
NanR_neg	phnJ//lsrF//aroL//mhpE//ssuD//ynfF//
NanR_pos	
NarL-Phosphorylated_neg	uidA//astB//galT//uxaC//metL//yfdE//glpA//citD//recB//paaA//yeaG//pflB//tdcE//malY//nrdA//deoA//hyi//wecC//lpxA//rffG//frdB//astA//mhpC//astC//sgbH//nrfA//glk//ada//
NarL-Phosphorylated_pos	recD//betB//ftnA//astA//phnO//lacZ//treC//pykF//fbaB//astE//ascB//galE//kbaZ//ftsI//nrfA//
NarP-Phosphorylated_neg	purF//pgaC//malQ//tdcE//puuD//
NarP-Phosphorylated_pos	murD//pepD//murE//metC//prs//narH//aceE//ybjG//fabD//talA//recD//folA//allD//betB//
NemR_neg	cynT//glcB//
NhaR-Na_pos	hcp//nadB//hyaC//hcaF//galT//
NikR-Ni2_neg	ubiX//
NimR_neg	fumB//
NorR_neg	
NorR_pos	hyaB//
NrdR-Zn2_neg	lacA//paaE//uidA//trpA//
NsrR_neg	tam//gloA//murD//astE//uxuB//fabI//mhpA//narI//fumB//sodB//paaY//rnpB//ssuE//nrfD//umpH//glcD//nrdA//metB//icd//metE//asnA//wrbA//sucD//metH//hycB//mhpF//dgcZ//sgbU//dmsA//hyaC//hycD//murC//dmsA//gloA//trpE//ubiX//uvrA//tam//gutQ//nrfC//
NtrC-Phosphorylated_neg	gpmA//fucA//
NtrC-Phosphorylated_pos	wecC//pdeL//mngB//uxaB//pnp//nagA//mnmG//rffM//betB//moeA//glgA//trpD//fdhF//glk//dgcC//murQ//fabH//pspE//yeaE//murQ//treC//
OmpR-Phosphorylated_neg	ascB//murD//rimK//hycB//fbaB//
OmpR-Phosphorylated_pos	mpl//sdhA//fadB//cysM//
OxyR_neg	yqhD//lpxA//luxS//waaH//atoB//
OxyR_pos	sgbE//bioA//mazG//prpC//rffC//cysM//ldtC//nirD//hycF//gcl//wzc//rffC//
PaaX_neg	pagP//paaJ//fabB//fadH//bacA//wrbA//narG//ynfG//acnA//
PdeL_pos	wrbA//
PdhR_neg	astC//paaE//wecB//hcaD//rhaB//glpA//fucU//paaE//hycB//glpX//lsrK//xapA//fucA//rhaA//ftnA//metH//luxS//pheS//treC//purM//relA//pdeH//waaH//
PdhR_pos	accA//rhaA//
PepA_neg	paaF//nrfD//
PgrR_neg	napA//sbcD//
PhoB-Phosphorylated_neg	nrfD//psd//aroH//entC//tauD//
PhoB-Phosphorylated_pos	purA//garD//wzb//dhaK//hyaA//paaE//wecB//ygeA//nagB//treC//pck//murQ//garR//sgbH//mhpF//betB//cysN//
PhoP-Phosphorylated_neg	moaE//glmS//ubiX//
PhoP-Phosphorylated_pos	rhaD//sodB//cysH//rffG//citX//glgB//mhpA//ttdA//uxaB//caiA//fucU//fruK//purM//hycE//rffH//astA//nirB//hcaD//lyxK//ddlB//aroG//sucC//sufS//frdA//alaS//alaS//cysK//fumC//dgcZ//puuC//purA//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	aroH//galE//cueO//thrS//
PspF_neg	
PspF_pos	citG//
PurR-hypoxanthine_neg	bioB//cysJ//paaZ//hycD//ogt//pck//ynfE//pgm//puuB//ahpC//fbaA//chbG//acnA//bioB//patA//accA//pck//pfkA//rffT//trpA//fucI//napA//pgk//aceB//cynS//sdhC//
PutA_neg	lysC//tdcE//
PuuR_neg	srkA//ubiC//purN//alaC//entA//idnO//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	galE//yqjH//sucB//rutE//appA//
RcdA_neg	
RcdA_pos	aceF//
RclR_pos	
RcnR_neg	arsC//
RcsAB_neg	argC//
RcsAB_pos	fabD//nanE//
RcsB-BglJ_pos	dacC//recD//
RcsB-Pasp56_neg	gatZ//
RcsB-Pasp56_pos	mraY//frdA//argA//
RelB-RelE_neg	uxaA//
RelB_neg	nirB//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	phnI//citE//tam//fabB//
Rob_neg	
Rob_pos	glpA//entC//mhpB//pgaB//trpA//argE//yqhD//bioC//tdcG//fadH//ahpF//uidA//trpE//metF//ndh//lpxC//asnB//metE//relA//
RstA-Phosphorylated_neg	garD//lpxA//
RstA-Phosphorylated_pos	hmp//
RtcR_pos	pdeL//uvrC//
RutR_neg	betB//luxS//mhpC//araA//napH//glcE//aroG//sodB//rutE//argC//
RutR_pos	citG//
SdiA_neg	
SdiA_pos	
SgrR_neg	appA//
SgrR_pos	phnH//uxaC//
SlyA_neg	
SlyA_pos	argE//arsC//leuD//hcaC//phnP//allE//carB//garK//argB//
SoxR_neg	
SoxR_pos	purA//tpiA//uxaC//pnp//acnA//paaE//
SoxS_neg	
SoxS_pos	allB//ubiX//nanM//citD//glpD//phnM//rffM//amn//hyaB//uidA//paaA//ruvA//caiB//garL//bioC//leuB//fucA//mraY//ccp//napH//recB//yeaE//uxaC//galT//phnO//ccp//hycD//dacC//
SrlR_neg	eda//polB//metH//
StpA_neg	wrbA//cdd//astB//
SutR_neg	gpmM//rffG//
SutR_pos	
TdcA_pos	dgcN//pspE//phoA//gnd//astC//
TdcR_pos	dhaK//ppsA//srkA//bacA//moaC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	xylA//gpmM//caiA//ybjG//
TorR-TorI_neg	asnB//
TorR-TorI_pos	
TreR_neg	wecB//gltD//
TrpR-tryptophan_neg	ynfF//idnK//citC//pgm//glxR//idnK//asnB//glgA//aspC//
TyrR-phenylalanine_neg	folE//rpiB//
TyrR-phenylalanine_pos	lpxA//
TyrR-tyrosine_neg	gadB//paaB//torA//eno//leuB//psd//
TyrR-tyrosine_pos	srlD//fadM//
TyrR_neg	leuC//
TyrR_pos	mhpE//
UhpA-Phosphorylated_pos	araA//
UidR_neg	pykF//ftsI//
UlaR_neg	nfsB//lysA//puuB//dgcZ//torC//
UvrY-Phosphorylated_pos	gadA//ubiA//
UxuR_neg	gadA//caiC//entH//uidA//purD//
XapR-xanthosine_pos	dacC//entE//
XylR-xylose_neg	
XylR-xylose_pos	rutD//galK//ribA//
YdeO_neg	
YdeO_pos	aceE//dapD//folA//
YefM-YoeB_neg	trpC//
YefM_neg	paaF//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	uvrB//tdcB//umpH//purK//fadB//mtlD//
YjjQ_neg	argB//cysC//
YpdB-Phosphorylated_pos	
YqhC_pos	hyaC//glpC//
YqjI_neg	astC//
ZntR-Zn2_pos	argC//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	ruvA//
