# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ahpC//cysH//
Fur-Fe2_neg	gloA//alaS//sufS//deoB//ynfF//nrdD//acnA//purH//mltF//allE//wecC//ada//rffH//puuC//nrdB//katG//sucD//wzc//treC//pdeR//dmsB//puuC//purH//pgk//dgcN//umpH//metK//ulaG//katG//torA//frdB//purL//ndh//gudD//asnB//xylB//rffG//carB//aroG//ychF//gabD//codA//purA//moeB//mnmG//araD//folE//feaB//fabG//uxaA//fabG//uxuA//lpd//
Fur-Fe2_pos	mltF//gabT//atoA//citD//ydcS//cysN//galK//caiC//wrbA//psd//ssuD//lpxA//accD//purA//yfdE//hycE//
GadE-RcsB_pos	glpK//rpiB//bioF//pfkA//glmS//
GadE_pos	ftnA//glpA//grxA//tyrB//fbaB//mhpC//nrfD//ssuD//glyA//udp//
GadW_neg	moaA//wzb//mraY//
GadW_pos	icd//narI//ulaG//slt//
GadX_neg	entF//galT//ndh//
GadX_pos	carB//napA//rutC//ccp//ribA//prpB//garR//idnO//phnP//hyaC//asnA//
GalR-beta-D-galactose_neg	galK//pykF//sucC//frdB//deoC//
GalR-beta-D-galactose_pos	recF//purN//glpK//caiB//
GalR_neg	sodB//fabA//wecB//glgA//folA//narI//
GalR_pos	phnG//entH//hyaC//nfsA//
GalS-beta-D-galactose_neg	cysN//purL//rfe//glnA//glxK//
GalS-beta-D-galactose_pos	cynS//lldD//ychF//gnd//
GalS_neg	dgcN//moaC//murF//metL//speG//allA//
GalS_pos	icd//moeB//narG//aroL//
GatR_neg	cynT//ubiA//moaC//
GcvA_neg	aroG//ruvA//glk//
GcvA_pos	frdD//hypB//sucD//
GlcC-glycolate_neg	
GlcC-glycolate_pos	bacA//frdA//rtcA//
GlpR_neg	cysG//recF//frc//acnB//yedX//dapB//recD//
GlrR-Pasp56_pos	
GntR_neg	aceA//garL//rffM//yeaE//dacC//codA//guaA//acnA//moeA//
GutM_pos	prpC//trpC//tdcE//
HU_neg	dhaL//purN//allC//speA//moaC//astE//aceB//
HU_pos	
HcaR-HCA_pos	ruvB//fabZ//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	argI//
HigB-HigA_neg	yqhD//
HipAB_neg	trpD//ruvB//
HipB_neg	recF//kbaY//ada//
HprR-Phosphorylated_neg	lpxA//trpB//
HprR-Phosphorylated_pos	ahpF//atoA//
HyfR_pos	ddlB//
HypT-Met-oxidized_neg	uidA//citE//
HypT-Met-oxidized_pos	fumB//murF//folE//fucA//nrdF//
IclR-pyruvate_neg	nrdD//ilvC//adiA//
IdnR-5-ketogluconate_neg	recD//malQ//
IdnR-5-ketogluconate_pos	yeaE//betB//dsdA//
IlvY-2-acetolactate_pos	paaG//
IlvY_neg	
IscR-2Fe-2S_neg	argG//ppiA//
IscR_neg	cysH//katG//recD//allE//
IscR_pos	glyA//cysN//
KdgR_neg	chbG//lysC//
KdpE-Phosphorylated_pos	puuD//
LacI_neg	malS//pyrD//yeaG//
LeuO_neg	
LeuO_pos	fabI//speA//gltD//hcaE//lysC//paaC//
LexA_neg	codA//rsmH//cysJ//acnA//caiD//rfe//pck//trpE//yiaK//hcaB//trpA//recF//glgC//entC//mdh//ynfH//sucD//xylB//ahpF//dgkA//lpd//pheS//puuC//
LldR-lactate_neg	wecB//argF//
LldR-lactate_pos	hycD//glpK//
LldR_neg	paaF//ulaD//
LldR_pos	garR//sdhD//
LrhA_neg	
LrhA_pos	
LsrR_neg	purA//prpE//cysE//mhpF//ribA//
LysR_neg	
LysR_pos	lysA//
MalI_neg	rbsK//atoA//
MalT-maltotriose-ATP_pos	fucO//metH//mltF//araB//uvrB//pykF//
MarA_neg	mdh//
MarA_pos	tynA//purM//cadA//fabD//bacA//umuD//hcaE//metF//hycB//nirD//sdhC//dkgB//garL//gpmA//tauD//paaA//argD//ppsA//ubiX//murD//fabZ//gpmA//allC//
MarR_neg	
MatA_neg	phnH//
MatA_pos	
MazE-MazF_neg	purA//
MazE_neg	ubiX//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	wecE//pykF//
MelR-melibiose_pos	rimK//yqhD//
MelR_neg	ulaF//fbaA//
MelR_pos	metB//folA//
MetJ-adenosylmethionine_neg	gcvP//napH//metH//yfdE//rffH//yiaK//leuB//nanE//fumC//nadA//
MetR-L-homocysteine_neg	phnN//
MetR-L-homocysteine_pos	tdcE//psd//
MetR_pos	sgbH//betA//
MhpR-3HPP_pos	pgaD//mhpF//nrfD//hycF//tehB//fadE//
Mlc_neg	trpB//metB//lsrF//metE//
MlrA_pos	trpD//
MngR_neg	wzb//hyaA//
MntR-Mn2_neg	trpA//
MntR-Mn2_pos	rimK//
ModE-MoO42-_neg	gadA//garD//allB//pagP//nanM//rutD//hyaB//entE//
ModE-MoO42-_pos	xapA//nanM//hcaB//fucA//hmp//recF//entC//putA//aroF//
MprA_neg	lysC//malP//puuB//
MqsA_neg	pnp//mhpD//
MraZ_neg	ynfG//srlD//phnN//codA//bioD//rbsK//hcaD//paaJ//cueO//cynT//
MurR_neg	recB//nirD//glgA//
MurR_pos	
Nac_neg	cysK//edd//ubiC//
Nac_pos	pgpC//purL//aroF//rhaB//argC//hyaA//yqjH//ung//
NadR_neg	cynS//glnA//argH//lldD//
NagC_neg	rffG//gnd//glgC//araD//tynA//gdhA//sdhA//allE//luxS//paaF//sbcD//waaH//cadA//caiD//puuA//cysC//hcaC//truB//
NagC_pos	fucA//wzb//
NanR_neg	metL//rutD//dmsB//ftsI//purM//glmU//
NanR_pos	
NarL-Phosphorylated_neg	speG//uidA//pspE//paaY//patA//katE//lpd//alkB//argB//allD//hmp//malS//glxR//pepD//lsrK//fabD//icd//garL//melA//udp//ascB//hypB//glpD//ddlB//dapB//purF//carA//mpaA//
NarL-Phosphorylated_pos	edd//sgbU//xapA//recB//cysJ//rhaD//ppsA//kbaZ//guaA//citX//murG//dapB//glcF//caiB//rhaD//
NarP-Phosphorylated_neg	purN//aroG//glcF//talA//prpC//
NarP-Phosphorylated_pos	frdD//glgC//glsA//uxuA//uvrB//glcF//rffC//guaA//glpK//purB//lhgO//thrS//gnd//pgaD//
NemR_neg	ppc//yiaK//
NhaR-Na_pos	purD//narI//phnH//carB//glpD//
NikR-Ni2_neg	atoA//
NimR_neg	umpH//
NorR_neg	
NorR_pos	deoA//
NrdR-Zn2_neg	trpD//torA//sbcC//dapD//
NsrR_neg	bacA//icd//yeaE//katE//dmsB//gloA//pgi//ftsI//tynA//paaF//ubiA//tdcD//frdC//talA//rffT//uxuA//nfsA//rbsD//murG//mhpF//rffM//eda//metC//ygeA//uxaC//nrfC//lpd//sucD//xylB//moaC//hyaB//speG//sodB//rnpB//purD//cysM//puuB//alkB//aceE//ugpQ//
NtrC-Phosphorylated_neg	uxuB//tehB//
NtrC-Phosphorylated_pos	gabD//ugpQ//pyrD//uxaB//citX//argB//hcaC//bacA//phnG//paaE//paaC//murG//purM//arsC//fumB//nrdF//paaK//dapB//torC//phnH//gdhA//
OmpR-Phosphorylated_neg	rffH//phnJ//wecE//torA//ybjG//
OmpR-Phosphorylated_pos	cysG//sdhA//astB//paaG//
OxyR_neg	lpxC//mngB//yeaG//leuB//pgaD//
OxyR_pos	mltF//citG//speB//pheS//lpxD//lpxC//lysC//puuC//ubiC//tyrB//glmU//speA//
PaaX_neg	citE//ruvB//astE//mdh//nrdE//allB//ppc//umpH//mnmG//
PdeL_pos	ulaF//
PdhR_neg	nanM//uxuA//purE//ttdA//cynS//fadJ//araD//kbaY//serA//wecB//paaZ//tdcB//phoA//torA//hycF//glgA//patA//moeA//sdhB//garD//rffM//lpd//asnA//
PdhR_pos	metF//nadB//
PepA_neg	waaY//speA//
PgrR_neg	gatZ//glk//
PhoB-Phosphorylated_neg	mltF//aspC//prpC//nrdB//astB//
PhoB-Phosphorylated_pos	carA//yedX//aroG//hycD//serA//allE//phnO//alsE//dhaK//puuA//ruvA//nanM//rtcA//rffT//mhpA//cysJ//pspE//
PhoP-Phosphorylated_neg	feaB//phr//phnJ//
PhoP-Phosphorylated_pos	ccp//paaF//lldD//glmS//purH//bioB//metE//astD//adhE//tauD//sgbH//alkB//entE//lpxD//galM//lysC//uidA//caiC//adiA//malS//uvrB//hyaA//idnD//citE//bioB//dsdA//ynfE//grxA//sgbH//uxaC//glgB//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	allE//carA//mhpF//pgaB//
PspF_neg	
PspF_pos	lacA//
PurR-hypoxanthine_neg	yqhD//kbaZ//pdeR//nirB//fucI//recB//mltF//ugpQ//tnaA//sdhB//pgaC//torC//glgX//sdhB//fadD//tktB//carA//cysE//nfsB//rtcB//purL//murE//uxaA//argC//betA//citF//
PutA_neg	allA//grxA//
PuuR_neg	argG//ascB//dmsB//nagA//srlD//purA//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	ada//caiA//astB//pdeH//deoD//
RcdA_neg	
RcdA_pos	leuB//
RclR_pos	
RcnR_neg	paaC//
RcsAB_neg	bacA//
RcsAB_pos	ruvA//amn//
RcsB-BglJ_pos	uxuB//hycC//
RcsB-Pasp56_neg	eno//
RcsB-Pasp56_pos	leuA//paaB//xylB//
RelB-RelE_neg	sufS//
RelB_neg	moeA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	gltB//cysN//napB//glcB//
Rob_neg	
Rob_pos	fes//gcvH//pflB//ulaD//treC//relA//poxB//slt//metA//aceF//paaK//ynfE//deoD//fadI//gadA//cynT//uxuB//garL//nemA//
RstA-Phosphorylated_neg	wrbA//sdhD//
RstA-Phosphorylated_pos	bglB//
RtcR_pos	tam//bglB//
RutR_neg	mhpA//murC//gpmA//puuC//purB//sdhD//mngB//fucU//araB//malY//
RutR_pos	phoA//
SdiA_neg	
SdiA_pos	
SgrR_neg	fadJ//
SgrR_pos	murC//trpC//
SlyA_neg	
SlyA_pos	sufS//lpxA//pgaD//chbF//epd//mazG//caiA//aceA//nfsA//
SoxR_neg	
SoxR_pos	purF//metK//fumB//bioC//uvrA//entB//
SoxS_neg	
SoxS_pos	galM//gapA//tdcD//betA//paaY//nadA//hcaC//ynfG//leuC//galM//lsrG//argI//moaE//chbG//cysI//paaH//ahpC//metA//araA//phoA//frc//paaJ//metB//putA//idnO//ybjG//phnO//ynfH//
SrlR_neg	aceA//fumC//citE//
StpA_neg	astB//sucD//ahpF//
SutR_neg	ogt//asnB//
SutR_pos	
TdcA_pos	mraY//argI//paaH//malP//polB//
TdcR_pos	argB//gcvP//prs//amn//pykF//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	sufS//tyrB//hypB//mhpA//
TorR-TorI_neg	pnp//
TorR-TorI_pos	
TreR_neg	yfdE//adhE//
TrpR-tryptophan_neg	murF//sufS//recD//cysH//umpH//sgbU//citF//nirB//patD//
TyrR-phenylalanine_neg	hemH//argC//
TyrR-phenylalanine_pos	tauD//
TyrR-tyrosine_neg	frc//moaE//dhaL//ahpF//aroF//dacC//
TyrR-tyrosine_pos	allB//tyrA//
TyrR_neg	narI//
TyrR_pos	rtcB//
UhpA-Phosphorylated_pos	gor//
UidR_neg	ybjG//ygeA//
UlaR_neg	speA//nadB//yeaE//astB//galT//
UvrY-Phosphorylated_pos	entB//rffM//
UxuR_neg	fruK//lsrG//speB//napG//murF//
XapR-xanthosine_pos	aceE//ppc//
XylR-xylose_neg	
XylR-xylose_pos	bacA//zwf//pepD//
YdeO_neg	
YdeO_pos	entC//fadA//aroH//
YefM-YoeB_neg	paaB//
YefM_neg	frdD//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	sodB//narI//gntK//codA//sodA//paaH//
YjjQ_neg	garD//edd//
YpdB-Phosphorylated_pos	
YqhC_pos	citG//fes//
YqjI_neg	udp//
ZntR-Zn2_pos	aceB//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	rffC//
