# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	moaE//nrfA//
FucR-L-fuculose-1-P_pos	nrdD//ssuE//idnK//dmsB//fucI//dapB//
Fur-Fe2_neg	gnd//yqjH//citX//argI//mazG//sucC//entE//mhpA//alaS//paaA//gcvH//entA//glcD//phnL//malY//prpD//waaZ//ygeA//recF//phnI//malQ//tpiA//mtlD//hmp//citE//ldtD//ampC//nagA//xylB//rhaD//lysC//glgX//astD//galM//leuA//hycD//slt//ycjG//asnB//moaC//yeaE//pgaD//phnL//chbG//amn//murI//fadI//lysC//entH//chbG//dhaK//chbG//polB//
Fur-Fe2_pos	fadI//tehB//eno//rbsD//carA//dgcN//paaF//phnH//murF//ddlB//bglB//leuB//ddlB//aroG//glmS//yqjH//
GadE-RcsB_pos	srlD//accC//cysH//argH//cysC//
GadE_pos	pyrD//pgm//paaZ//waaH//hyi//sbcD//yqjH//sgbU//caiC//pgm//
GadW_neg	entF//tdcB//deoB//
GadW_pos	phnM//pykF//yedX//mhpD//
GadX_neg	fabG//idnO//ybjG//
GadX_pos	pdeH//galE//grxA//allC//purH//aroG//fadH//paaA//tauD//purN//aceA//
GalR-beta-D-galactose_neg	bacA//pflB//cysN//ubiX//nrfC//
GalR-beta-D-galactose_pos	hycC//glgC//paaK//phnH//
GalR_neg	sodA//dapD//leuA//garR//pyrC//glpQ//
GalR_pos	napG//thrS//mltF//purA//
GalS-beta-D-galactose_neg	fabI//lacA//ilvC//ahpF//hcaE//
GalS-beta-D-galactose_pos	wzb//phnJ//recB//gabD//
GalS_neg	nagB//phnI//fabG//nirB//fruK//ogt//
GalS_pos	fau//glxK//pspE//murD//
GatR_neg	glxR//carA//phnI//
GcvA_neg	argC//hycF//araB//
GcvA_pos	leuB//hmp//paaF//
GlcC-glycolate_neg	
GlcC-glycolate_pos	truB//dmsB//hypB//
GlpR_neg	deoD//rffM//codA//astA//dapB//uvrA//adhE//
GlrR-Pasp56_pos	
GntR_neg	nfsA//sdhD//purE//ttdA//gatD//ulaF//cysH//prpB//asnA//
GutM_pos	gcl//sgbU//napH//
HU_neg	astE//cdd//melA//aceA//mnmG//ccp//truB//
HU_pos	
HcaR-HCA_pos	rffG//sodB//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	hcaD//
HigB-HigA_neg	purB//
HipAB_neg	fadH//amn//
HipB_neg	phnH//sodA//trpC//
HprR-Phosphorylated_neg	purN//nadB//
HprR-Phosphorylated_pos	metH//lldD//
HyfR_pos	glpB//
HypT-Met-oxidized_neg	fadA//kbaY//
HypT-Met-oxidized_pos	nagA//mhpA//rbsK//ung//pdeR//
IclR-pyruvate_neg	pgaC//ppsA//gabT//
IdnR-5-ketogluconate_neg	moeB//cysH//
IdnR-5-ketogluconate_pos	xylB//glpA//rffM//
IlvY-2-acetolactate_pos	sgbU//
IlvY_neg	
IscR-2Fe-2S_neg	polA//hyaB//
IscR_neg	mpaA//ldtC//purB//ubiA//
IscR_pos	fadM//pepD//
KdgR_neg	sgbU//hyaB//
KdpE-Phosphorylated_pos	rutD//
LacI_neg	mtlD//luxS//prpD//
LeuO_neg	
LeuO_pos	wzb//ycjG//dgkA//purC//ppc//tauD//
LexA_neg	garD//cysI//ahpF//pyrD//hemH//dkgB//puuB//dgcZ//tdcD//wecC//citC//murI//mhpD//deoC//phnP//patD//eno//pykF//purK//lsrF//sdhB//tnaA//uvrB//
LldR-lactate_neg	bioD//ahpC//
LldR-lactate_pos	nirB//leuA//
LldR_neg	truB//purC//
LldR_pos	recF//cysN//
LrhA_neg	
LrhA_pos	
LsrR_neg	lpd//pgm//fes//glpD//wzb//
LysR_neg	
LysR_pos	gpmA//
MalI_neg	phnP//cysH//
MalT-maltotriose-ATP_pos	fbaB//truB//alkB//paaH//paaZ//argE//
MarA_neg	truB//
MarA_pos	malQ//sucA//purC//frdD//citD//betA//eda//gadA//codA//yqjH//glmS//wecE//fadE//entE//murC//gcl//ampC//dapB//rhaD//rnpB//aceF//rffT//puuD//
MarR_neg	
MatA_neg	pdeR//
MatA_pos	
MazE-MazF_neg	fabH//
MazE_neg	murD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	gpmA//aroH//
MelR-melibiose_pos	bioD//rffC//
MelR_neg	yqhD//dgkA//
MelR_pos	citF//ribA//
MetJ-adenosylmethionine_neg	accD//napA//glgP//nadB//glgA//nrfC//deoA//tadA//recB//paaY//
MetR-L-homocysteine_neg	rtcA//
MetR-L-homocysteine_pos	purB//waaH//
MetR_pos	lldD//araA//
MhpR-3HPP_pos	dapD//allC//pflB//tktB//idnK//ulaG//
Mlc_neg	narI//uxuB//citD//mhpA//
MlrA_pos	purF//
MngR_neg	dsdA//atoA//
MntR-Mn2_neg	codA//
MntR-Mn2_pos	fau//
ModE-MoO42-_neg	phnJ//betA//lsrK//hycC//cynT//moaD//sdhA//sucD//
ModE-MoO42-_pos	rutC//dapB//epd//leuB//yiaK//epd//xapA//hycB//moaA//
MprA_neg	hcaF//caiD//sucA//
MqsA_neg	carB//glgC//
MraZ_neg	uvrB//yfdE//hycE//astD//malZ//mhpB//ascB//trpC//slt//tam//
MurR_neg	gatZ//nadB//dgkA//
MurR_pos	
Nac_neg	murG//nanE//alsE//
Nac_pos	sucA//nanK//nfsA//purF//kbaY//paaG//fadD//grxA//
NadR_neg	pyrD//fabA//puuE//fbaB//
NagC_neg	lacZ//purH//tpiA//glyA//yiaK//garD//glxK//pfkA//nadA//cysJ//caiD//tauD//amn//tnaA//ldtC//uxaB//mhpC//dgkA//
NagC_pos	hcaE//cysM//
NanR_neg	ulaF//metA//fucI//citF//gabT//glyA//
NanR_pos	
NarL-Phosphorylated_neg	argI//gnd//nrdE//paaK//cysD//dgkA//rbsK//bioB//fucK//trpB//waaH//rhaD//hyaB//caiA//astA//fbaA//argB//rffH//zwf//metF//pheT//rpiB//ampC//glpB//rhaA//fucA//cysM//citD//
NarL-Phosphorylated_pos	rimK//murD//uxuB//allA//rbsK//feaB//wzb//sucB//fes//waaH//ulaF//fadE//deoA//mhpA//bioC//
NarP-Phosphorylated_neg	tam//glpA//hcaE//nrfA//bioF//
NarP-Phosphorylated_pos	purA//prpE//relA//sdhC//poxB//dsdA//pgk//puuE//fadD//argI//rnpB//sufS//citF//murE//
NemR_neg	frdC//glsA//
NhaR-Na_pos	kbaY//hmp//lpxC//gltB//rutB//
NikR-Ni2_neg	prs//
NimR_neg	yfdE//
NorR_neg	
NorR_pos	pflB//
NrdR-Zn2_neg	torC//pfkA//paaE//betB//
NsrR_neg	pgaC//paaC//mraY//gcvT//carA//citD//caiC//sdhA//gudD//pspE//nrdE//katE//puuE//moeA//ftsI//gutQ//tam//aroF//rbsK//alaC//deoA//gadA//nrdB//entH//luxS//torC//thrS//nirB//caiA//metB//pykF//paaI//wecB//lacA//pdeH//srlD//glxK//murG//ruvB//mltF//
NtrC-Phosphorylated_neg	torA//gnd//
NtrC-Phosphorylated_pos	glgA//ppc//trpD//hmp//srkA//appA//eda//argB//lhgO//atoB//tyrB//glnA//phnN//phnN//fabA//pgk//moeB//rutA//sdhA//glmU//alkB//
OmpR-Phosphorylated_neg	nagB//hycG//ubiA//metB//atoA//
OmpR-Phosphorylated_pos	nrdB//metL//caiD//puuA//
OxyR_neg	speA//xylA//tadA//sgbE//rbsK//
OxyR_pos	puuA//hyaC//bglB//tdcD//nanM//pykF//fabH//atoA//nfsA//fabH//glcE//glcE//
PaaX_neg	grxA//hycD//epd//tynA//phnH//pgaB//glcD//purD//metE//
PdeL_pos	pdeL//
PdhR_neg	cysJ//metB//phnJ//rpiB//waaY//paaI//nanK//moaD//fadE//glpC//yeaG//hycD//ahpC//citD//entD//phnJ//pck//ulaG//purK//rutE//bioD//lpxC//lysC//
PdhR_pos	rsmH//gcvT//
PepA_neg	napG//cysC//
PgrR_neg	ppc//talA//
PhoB-Phosphorylated_neg	sbcC//ydcS//mazG//purA//polB//
PhoB-Phosphorylated_pos	cysN//pagP//prpB//murC//ppc//argD//bglB//bglB//accD//wecE//recD//wecC//fucO//dhaL//ahpC//gatY//tynA//
PhoP-Phosphorylated_neg	ahpF//cyoE//carA//
PhoP-Phosphorylated_pos	eno//trpB//appA//uxaB//ascB//xapA//mtlD//moaE//mhpE//tyrA//garD//phnL//nrdD//umpH//paaZ//nrfC//fadI//ahpF//alaS//sdhB//pheS//gpmA//garD//fucK//metC//murF//hyi//rpiB//metA//dgcC//recD//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	gcvH//uxuB//leuA//rsmH//
PspF_neg	
PspF_pos	glcB//
PurR-hypoxanthine_neg	tdcE//gadA//nirB//rffH//glpA//glpC//garL//icd//rutD//pdeL//purD//glpQ//deoC//glgP//gatY//sgbE//moeB//acnA//tnaA//tktB//xylA//astB//aroG//ubiX//zwf//nanE//
PutA_neg	ahpF//chbF//
PuuR_neg	rutA//gutQ//hemH//purN//nagB//pflB//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	fdhF//ppsA//rffG//asnA//frdD//
RcdA_neg	
RcdA_pos	allE//
RclR_pos	
RcnR_neg	tdcG//
RcsAB_neg	glpD//
RcsAB_pos	citX//aspA//
RcsB-BglJ_pos	astC//leuA//
RcsB-Pasp56_neg	alaS//
RcsB-Pasp56_pos	nrdB//folA//recD//
RelB-RelE_neg	umuD//
RelB_neg	argF//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	alaC//dhaK//mhpA//paaY//
Rob_neg	
Rob_pos	fabZ//metK//wecE//gpmA//torA//prs//caiD//narH//epd//glpK//adhE//idnO//phr//purD//paaF//frdC//fbaA//cysK//torA//
RstA-Phosphorylated_neg	araA//prpB//
RstA-Phosphorylated_pos	poxB//
RtcR_pos	puuB//ldtD//
RutR_neg	poxB//chbF//wecE//pyrC//fucO//metK//rfe//nagB//ycjG//sdhC//
RutR_pos	ftsI//
SdiA_neg	
SdiA_pos	
SgrR_neg	nrfA//
SgrR_pos	nirB//lysC//
SlyA_neg	
SlyA_pos	glcF//feaB//pfkA//nrdB//leuC//ddlB//dgkA//bglB//citC//
SoxR_neg	
SoxR_pos	metB//gor//citD//ssuD//polB//alkA//
SoxS_neg	
SoxS_pos	entF//fucU//rhaB//rutB//pgaD//idnO//alkA//ygeA//eda//cysD//metF//xylA//grxA//tyrA//dhaM//sdhA//pnp//cysM//phnP//tdcD//mhpA//moaE//ribA//adiA//rtcA//wzb//rutE//cueO//
SrlR_neg	nrdB//frdD//recB//
StpA_neg	nagA//pdeR//dacC//
SutR_neg	ybjG//fadD//
SutR_pos	
TdcA_pos	paaI//moeA//cysJ//thrS//thrS//
TdcR_pos	dhaL//yedX//cysK//pgi//argF//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	dinB//mhpE//gadA//dkgA//
TorR-TorI_neg	icd//
TorR-TorI_pos	
TreR_neg	pspE//ndh//
TrpR-tryptophan_neg	gadA//leuC//sodB//napB//pgpC//aroH//rffC//phnP//murC//
TyrR-phenylalanine_neg	uxuB//rhaD//
TyrR-phenylalanine_pos	bioA//
TyrR-tyrosine_neg	leuD//gapA//cysE//acnA//rutD//aroH//
TyrR-tyrosine_pos	fau//rtcA//
TyrR_neg	purF//
TyrR_pos	moaE//
UhpA-Phosphorylated_pos	ahpF//
UidR_neg	waaH//murC//
UlaR_neg	nanA//glgA//paaE//glgC//glpB//
UvrY-Phosphorylated_pos	paaI//narH//
UxuR_neg	pflB//folA//gdhA//glpK//sucD//
XapR-xanthosine_pos	glxK//yeaG//
XylR-xylose_neg	
XylR-xylose_pos	gcvP//citE//fadB//
YdeO_neg	
YdeO_pos	ynfH//prpB//fabA//
YefM-YoeB_neg	leuD//
YefM_neg	folA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	rtcA//ubiX//frdC//cueO//ynfE//entB//
YjjQ_neg	hcaB//moaC//
YpdB-Phosphorylated_pos	
YqhC_pos	idnK//ahpC//
YqjI_neg	hyi//
ZntR-Zn2_pos	phoA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	bioF//
