# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	pspE//entH//
FhlA-formate_pos	aspA//uvrC//pncB//slt//fadM//gabD//ynfH//fadJ//
FlhDC_neg	puuA//srkA//
FlhDC_pos	polB//speA//nanE//dhaK//idnD//slt//glxK//nadA//fbaA//gpmM//bioB//hycD//
FliZ_neg	atoB//hypF//ruvA//fadH//rhaD//
FucR-L-fuculose-1-P_pos	dkgA//hcaF//nrdF//gcvP//pdeL//astE//
Fur-Fe2_neg	gcvH//malY//dmsC//bioB//tynA//tktB//yfdE//leuD//tynA//moaD//mngB//pgpC//araD//nrdD//rffG//sucD//hypF//fucU//rtcB//trpC//citD//galE//sucD//hyaC//glcD//gabT//puuC//sgbU//moaC//nrdD//deoB//glcB//gutQ//dsdA//ycjG//dgcZ//fbaA//acnA//purB//entA//pgi//kbaY//hypB//tehB//prpC//tnaA//dmsC//aroF//adhE//purN//asnB//entD//malZ//
Fur-Fe2_pos	ada//fbaB//uvrB//bioC//purK//mhpC//fadH//ppsA//paaE//glmS//nrdA//metL//cysJ//katE//cysM//paaA//
GadE-RcsB_pos	ulaF//sdhB//rhaD//ppiA//ulaG//
GadE_pos	fabD//melA//mhpF//aroL//gltD//cynT//glpK//sdhB//murG//allA//
GadW_neg	ubiX//sucA//ldtB//
GadW_pos	cyoE//hyaB//gatD//fadI//
GadX_neg	ahpF//pyrD//fdhF//
GadX_pos	entA//pepD//yfdE//aldA//astC//citX//rtcA//hycF//araA//accA//caiA//
GalR-beta-D-galactose_neg	wecE//argG//appA//lsrF//glsA//
GalR-beta-D-galactose_pos	argD//allE//prpD//truB//
GalR_neg	katE//malY//asnA//phnM//cadA//rnpB//
GalR_pos	aspA//caiD//rhaA//mhpA//
GalS-beta-D-galactose_neg	ccp//fabI//eno//ssuE//gntK//
GalS-beta-D-galactose_pos	sgbU//luxS//gnd//yeaG//
GalS_neg	gutQ//katG//adiA//bioC//fabH//gatZ//
GalS_pos	wrbA//glyA//wecB//lyxK//
GatR_neg	alaS//pheS//ribA//
GcvA_neg	melA//murC//fadI//
GcvA_pos	katE//allE//nanE//
GlcC-glycolate_neg	
GlcC-glycolate_pos	dapB//malS//ribA//
GlpR_neg	fadA//sgbU//truB//aldA//gapA//gabT//tpiA//
GlrR-Pasp56_pos	
GntR_neg	narH//tehB//nrfA//caiB//fabI//poxB//rpiB//kbaY//allB//
GutM_pos	astC//dmsC//hycD//
HU_neg	narG//sgbH//caiC//tnaA//garR//aceF//pck//
HU_pos	
HcaR-HCA_pos	purF//purH//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	trpA//
HigB-HigA_neg	glgC//
HipAB_neg	fucA//pgm//
HipB_neg	ribA//sufS//gntK//
HprR-Phosphorylated_neg	paaB//recD//
HprR-Phosphorylated_pos	fadA//ftsI//
HyfR_pos	nagB//
HypT-Met-oxidized_neg	polA//argB//
HypT-Met-oxidized_pos	ampC//psd//recD//uvrC//ada//
IclR-pyruvate_neg	dhaL//metE//recF//
IdnR-5-ketogluconate_neg	amn//puuE//
IdnR-5-ketogluconate_pos	asnB//fbaA//waaY//
IlvY-2-acetolactate_pos	deoD//
IlvY_neg	
IscR-2Fe-2S_neg	rutC//murC//
IscR_neg	sgbH//citE//hyaC//fucA//
IscR_pos	guaA//xylA//
KdgR_neg	gltB//glxK//
KdpE-Phosphorylated_pos	leuB//
LacI_neg	fadJ//paaH//guaB//
LeuO_neg	
LeuO_pos	entB//recD//gor//poxB//gatZ//dmsA//
LexA_neg	prpC//entB//hcaB//murC//hycB//uvrC//folA//glpK//fumB//nrfD//mltF//rbsK//uxaB//hcp//gadA//idnD//bioD//dhaK//rnpB//cysI//murQ//sgbH//hyaC//
LldR-lactate_neg	dkgA//glxK//
LldR-lactate_pos	narH//bioB//
LldR_neg	aceE//mdh//
LldR_pos	glpD//wecB//
LrhA_neg	
LrhA_pos	
LsrR_neg	relA//acnA//metE//hycC//sdhB//
LysR_neg	
LysR_pos	allA//
MalI_neg	argD//recD//
MalT-maltotriose-ATP_pos	sgbU//hyaA//fabH//gatY//fabA//cyoE//
MarA_neg	ubiA//
MarA_pos	napA//amn//aroG//aldA//prpC//acnA//pgm//ulaG//psd//yqjH//gnd//ldtC//phr//uvrC//rimK//lysC//fadH//glcB//bglB//relA//hycG//alsE//tnaA//
MarR_neg	
MatA_neg	lpxA//
MatA_pos	
MazE-MazF_neg	rnpB//
MazE_neg	sodB//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	ldtC//polB//
MelR-melibiose_pos	galT//dacC//
MelR_neg	truB//lpxA//
MelR_pos	cysH//hyaA//
MetJ-adenosylmethionine_neg	ugpQ//alaC//rbsK//gor//phnH//ndh//hyaB//ulaF//entH//gcvT//
MetR-L-homocysteine_neg	napG//
MetR-L-homocysteine_pos	ubiX//pncB//
MetR_pos	fbaB//gnd//
MhpR-3HPP_pos	cysJ//araB//pheS//phnI//yedX//glnA//
Mlc_neg	ddlB//umpH//prs//treC//
MlrA_pos	trpD//
MngR_neg	trpA//rtcB//
MntR-Mn2_neg	xylB//
MntR-Mn2_pos	argF//
ModE-MoO42-_neg	rutB//trpB//ribA//dsdA//hycF//acnA//araA//gltB//
ModE-MoO42-_pos	ung//yedX//nanE//phnP//bglB//umuD//fadA//lpxC//glpX//
MprA_neg	gabT//sbcD//metF//
MqsA_neg	leuA//puuD//
MraZ_neg	cysE//frdB//paaA//phnI//ruvA//glgP//pflB//bacA//grxA//glgC//
MurR_neg	ldtC//nirB//idnD//
MurR_pos	
Nac_neg	trpC//paaE//hycB//
Nac_pos	phnO//tyrB//pnp//murQ//katE//argF//cysG//glk//
NadR_neg	lpxA//tehB//murF//dhaL//
NagC_neg	recF//caiB//glpX//malQ//pyrD//lysC//idnO//paaH//tdcG//sucC//umuC//acnB//alkA//tauD//cysD//pgm//leuD//nfsB//
NagC_pos	cynT//allD//
NanR_neg	murQ//polB//pgk//gpmM//cysJ//nrdA//
NanR_pos	
NarL-Phosphorylated_neg	idnO//mhpC//fabH//pheS//leuC//adiA//gnd//betB//narG//yqhD//wecB//trpC//citX//umuC//ydcS//feaB//argD//murC//glmS//oxc//fadD//argE//pgaC//fucI//hemL//murI//treC//bacA//
NarL-Phosphorylated_pos	phnH//eno//aroH//atoB//folA//prpD//narH//argE//dgcC//recF//argB//nrdF//citC//phnI//frc//
NarP-Phosphorylated_neg	trpA//fumC//hcaD//mhpD//phnO//
NarP-Phosphorylated_pos	ubiX//glcD//fadA//ndh//paaF//uidA//sbcD//dmsC//cysC//phnJ//nrfA//entE//gloA//alaC//
NemR_neg	fucI//ampC//
NhaR-Na_pos	mraY//leuB//ppsA//dacC//fadH//
NikR-Ni2_neg	galK//
NimR_neg	astC//
NorR_neg	
NorR_pos	fbaB//
NrdR-Zn2_neg	metK//caiC//glpX//bioB//
NsrR_neg	accA//malZ//glmS//gadB//ndh//sgbU//aroL//fadH//fucA//gor//icd//wecB//pspE//purE//appA//idnD//moaE//fadA//ubiX//umuC//purA//frdA//eda//gutQ//trpD//allC//garD//phnI//gadB//sucA//glcF//polB//dmsC//ftnA//speG//fabB//mhpC//gpmA//gltB//purK//
NtrC-Phosphorylated_neg	fabB//fucK//
NtrC-Phosphorylated_pos	entA//mtlD//paaK//ssuD//citD//hycB//puuA//tadA//frdD//deoA//caiB//cynS//aceB//dgcN//iscS//ubiA//acnA//rnpB//ldtC//alsE//gloA//
OmpR-Phosphorylated_neg	sdhA//caiC//ynfG//alaC//purD//
OmpR-Phosphorylated_pos	pgpC//paaY//gabD//aroL//
OxyR_neg	nagB//dhaM//appA//nrdD//uxaC//
OxyR_pos	sgbU//tpiA//glmU//truB//entF//rffM//leuB//mpl//glxK//ssuD//glgB//ygeA//
PaaX_neg	uvrA//betB//citG//lsrF//ycjG//aceA//mhpA//fdhF//malP//
PdeL_pos	glpK//
PdhR_neg	fdhF//aroL//yqhD//tynA//narG//lacA//speG//caiA//nemA//atoD//rsmH//glcE//fabD//cueO//pyrD//trpE//tynA//dacC//rhaD//sucD//dgkA//purK//rtcB//
PdhR_pos	rutE//yqjH//
PepA_neg	sdhD//deoA//
PgrR_neg	glgC//ampC//
PhoB-Phosphorylated_neg	hycE//deoD//gcvP//murC//nanA//
PhoB-Phosphorylated_pos	paaA//leuB//deoC//ydcS//rutA//atoD//mhpA//ssuD//gltB//patA//rhaB//sgbE//dmsA//paaJ//aroG//adiA//pheS//
PhoP-Phosphorylated_neg	napA//metF//gatY//
PhoP-Phosphorylated_pos	cysI//glsA//argC//deoD//glxK//prpD//nanE//leuD//caiA//nrfD//deoA//glpD//lsrG//murG//phnI//sgbU//mltF//paaJ//xapA//rtcB//astA//puuB//ubiC//mngB//putA//torA//ung//paaA//tyrB//murQ//paaZ//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	garR//paaZ//fabA//metB//
PspF_neg	
PspF_pos	metB//
PurR-hypoxanthine_neg	alsE//ogt//metC//glpA//tdcE//aceB//recB//aceF//relA//dacC//amn//accA//ruvB//speA//sgbH//betA//paaF//fruK//lsrK//lhgO//atoA//srkA//moeA//pdeL//allA//hypF//
PutA_neg	sdhA//ssuE//
PuuR_neg	metC//fabD//glpK//lldD//entE//astA//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	gcvT//cysN//frdD//paaH//aldA//
RcdA_neg	
RcdA_pos	aldA//
RclR_pos	
RcnR_neg	udp//
RcsAB_neg	caiB//
RcsAB_pos	ldtD//nadA//
RcsB-BglJ_pos	gcvP//paaA//
RcsB-Pasp56_neg	cdd//
RcsB-Pasp56_pos	fruK//alaS//pgpC//
RelB-RelE_neg	ynfF//
RelB_neg	fadD//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	metK//argG//moaD//glcD//
Rob_neg	
Rob_pos	argC//fadJ//arsC//amn//leuC//nrdD//astE//malQ//caiA//moaD//bioC//trpD//galE//metB//metF//argB//frc//fadE//allE//
RstA-Phosphorylated_neg	ldtB//aroL//
RstA-Phosphorylated_pos	caiD//
RtcR_pos	argB//yeaG//
RutR_neg	nrfC//gnd//dmsC//glyA//accA//wzc//gcvH//uxaB//mhpC//gloA//
RutR_pos	frdC//
SdiA_neg	
SdiA_pos	
SgrR_neg	atoA//
SgrR_pos	psd//pheS//
SlyA_neg	
SlyA_pos	phnM//citD//tynA//glgP//icd//betB//argH//phnL//cueO//
SoxR_neg	
SoxR_pos	ulaE//aceA//hemL//cysI//pdeL//glpX//
SoxS_neg	
SoxS_pos	dhaM//recD//mhpE//entF//rffM//uxuB//tam//torC//glcD//moeA//glpK//hypF//accA//lpd//ogt//phnJ//leuA//dgcZ//fabH//rnpB//aceA//ascB//glnA//yedX//gltB//fabZ//uvrB//yqjH//
SrlR_neg	yeaE//rnpB//paaC//
StpA_neg	wecE//trpA//hyaA//
SutR_neg	ada//phnH//
SutR_pos	
TdcA_pos	cysH//moaA//fdhF//gor//argE//
TdcR_pos	fabA//waaZ//uvrC//napB//xylB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	narH//frdA//hyaC//fabI//
TorR-TorI_neg	talA//
TorR-TorI_pos	
TreR_neg	gadA//glgA//
TrpR-tryptophan_neg	ndh//gatD//aceF//alkA//mtlD//cysN//narI//pgpC//aspC//
TyrR-phenylalanine_neg	chbG//glmS//
TyrR-phenylalanine_pos	moaE//
TyrR-tyrosine_neg	nirD//uxaB//malZ//dhaK//rhaD//ung//
TyrR-tyrosine_pos	rsmH//citC//
TyrR_neg	pncB//
TyrR_pos	kbaY//
UhpA-Phosphorylated_pos	paaJ//
UidR_neg	hcaF//fadE//
UlaR_neg	nfsB//ulaD//lsrK//malS//glk//
UvrY-Phosphorylated_pos	mpaA//purC//
UxuR_neg	tam//ubiC//cynS//paaH//glcB//
XapR-xanthosine_pos	ldtD//codA//
XylR-xylose_neg	
XylR-xylose_pos	rutD//pgaB//fadD//
YdeO_neg	
YdeO_pos	puuC//glpA//sdhD//
YefM-YoeB_neg	paaH//
YefM_neg	atoA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	allE//fadM//hmp//idnD//ldtD//recB//
YjjQ_neg	metH//tauD//
YpdB-Phosphorylated_pos	
YqhC_pos	pheT//nrdB//
YqjI_neg	mhpA//
ZntR-Zn2_pos	narG//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	ung//
