# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	cyoE//rutA//
HipB_neg	rsmH//ada//purD//
HprR-Phosphorylated_neg	pyrC//araB//
HprR-Phosphorylated_pos	accD//purK//
HyfR_pos	guaA//
HypT-Met-oxidized_neg	fumC//uxaB//
HypT-Met-oxidized_pos	ynfF//galE//ulaE//pgaD//ldtC//
IclR-pyruvate_neg	gntK//patD//ruvA//
IdnR-5-ketogluconate_neg	aceE//entD//
IdnR-5-ketogluconate_pos	fadB//wecE//tdcG//
IlvY-2-acetolactate_pos	aceB//
IlvY_neg	
IscR-2Fe-2S_neg	yfdE//yeaE//
IscR_neg	ygeA//betB//moaC//glpQ//
IscR_pos	uvrA//lsrF//
KdgR_neg	cynT//gloA//
KdpE-Phosphorylated_pos	malZ//
LacI_neg	fadJ//fabA//gpmM//
LeuO_neg	
LeuO_pos	nagB//pyrC//patA//pyrD//glcE//carA//
LexA_neg	cysJ//hycD//cysI//srkA//pykF//entF//nanE//uvrA//tynA//entC//atoD//rtcA//dkgB//murQ//lsrF//aceE//trpC//gadB//dgkA//bacA//napB//fdhF//carB//
LldR-lactate_neg	ttdA//pdeH//
LldR-lactate_pos	nagB//uxuB//
LldR_neg	mdh//sodA//
LldR_pos	deoB//nfsB//
LrhA_neg	
LrhA_pos	
LsrR_neg	citE//metK//ccp//fau//moaC//
LysR_neg	
LysR_pos	purB//
MalI_neg	paaI//napB//
MalT-maltotriose-ATP_pos	sgbE//ulaF//hycF//sufS//metE//idnD//
MarA_neg	glmU//
MarA_pos	puuA//gloA//cysJ//puuB//recD//lysA//atoA//uidA//kbaY//araB//lpxA//lysC//lyxK//phnM//leuD//kbaY//tdcD//rimK//paaC//dmsA//fabB//glxR//lpxA//
MarR_neg	
MatA_neg	prs//
MatA_pos	
MazE-MazF_neg	tehB//
MazE_neg	prs//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	wecB//trpA//
MelR-melibiose_pos	alkA//glgA//
MelR_neg	glgC//alkB//
MelR_pos	folE//glpX//
MetJ-adenosylmethionine_neg	talA//fucU//dkgA//rutD//phnP//glgX//guaB//aldA//malZ//argD//
MetR-L-homocysteine_neg	kbaZ//
MetR-L-homocysteine_pos	caiB//argG//
MetR_pos	tam//rimK//
MhpR-3HPP_pos	entH//tdcE//glpX//metC//gatY//moaA//
Mlc_neg	glpQ//slt//tadA//umuC//
MlrA_pos	umuD//
MngR_neg	gadA//sdhA//
MntR-Mn2_neg	fabB//
MntR-Mn2_pos	cysD//
ModE-MoO42-_neg	rhaD//dkgA//rutB//ybjG//ppc//nrfA//aroH//sgbU//
ModE-MoO42-_pos	cyoE//murQ//mhpD//lpxA//entE//pnp//hycG//pdeL//mltF//
MprA_neg	malY//galT//pyrD//
MqsA_neg	garR//nirD//
MraZ_neg	rutD//entE//argA//glgB//hyaB//narI//ascB//pagP//alkB//paaF//
MurR_neg	poxB//glcD//paaE//
MurR_pos	
Nac_neg	dgkA//fruK//ulaF//
Nac_pos	fabZ//wecC//iscS//yfdE//lsrF//acnB//astD//mpaA//
NadR_neg	tehB//phnG//fbaA//mhpB//
NagC_neg	glpK//idnD//glpK//rutB//fadA//wzb//arsC//cysH//ogt//sgbU//zwf//phnG//rffT//bglB//puuA//fucU//ccp//murI//
NagC_pos	rfe//ppc//
NanR_neg	gadA//kbaZ//fabA//napB//uxaC//pdeL//
NanR_pos	
NarL-Phosphorylated_neg	dhaK//aceF//galT//fadH//fabA//ulaE//bioC//moaE//putA//metH//citF//gudD//murQ//purH//ldtC//rfe//tktB//hcaB//gabD//ftnA//trpE//hemL//ttdA//sdhD//dinB//paaC//pgm//fadJ//
NarL-Phosphorylated_pos	malY//lpxD//dacC//glpX//entE//murC//ndh//rtcB//ndh//adiA//tdcE//pheS//aceA//nrfA//tyrA//
NarP-Phosphorylated_neg	argC//sucD//moeA//ruvA//glpX//
NarP-Phosphorylated_pos	ynfG//rffT//ybjG//hycE//sgbE//ftnA//frdC//pykF//rutB//glpK//yeaG//rutA//talA//nadA//
NemR_neg	malP//xylB//
NhaR-Na_pos	ynfG//dapB//prpB//luxS//guaA//
NikR-Ni2_neg	tadA//
NimR_neg	mtlD//
NorR_neg	
NorR_pos	murG//
NrdR-Zn2_neg	nirB//galM//fabH//atoB//
NsrR_neg	gltB//gadA//fabG//gor//entF//glxK//hyaB//cynT//yedX//moaC//nrdA//gcvT//phnN//sdhC//galM//entD//fucU//puuD//hyaC//dgcN//pgpC//aldA//eda//entH//purB//wecC//frdB//rbsK//torC//uxaA//alkA//fabB//ulaD//phnO//cysG//prpC//speA//pagP//paaK//metB//
NtrC-Phosphorylated_neg	rutB//ygeA//
NtrC-Phosphorylated_pos	fumC//purL//paaC//tauD//cyoE//phnM//srkA//eno//gatD//entE//fucO//moeA//pgm//fau//deoC//adiA//alaS//aspA//sdhA//argC//ynfE//
OmpR-Phosphorylated_neg	pykF//galK//citG//argG//lacZ//
OmpR-Phosphorylated_pos	glpA//fadD//eda//sgbE//
OxyR_neg	gdhA//hcaF//gcl//murI//ubiC//
OxyR_pos	mhpB//speA//kbaZ//feaB//paaF//murF//rhaB//hyaB//citC//paaY//nadA//alaS//
PaaX_neg	narH//pncB//fadH//argE//allA//puuE//rimK//malQ//citE//
PdeL_pos	astA//
PdhR_neg	glcB//nrdF//pdeL//recF//paaA//nadA//fabZ//wrbA//hypB//glgB//icd//uxuA//nrdB//hmp//murE//gpmM//ddlB//talA//entF//fabZ//rutA//phnH//nrfA//
PdhR_pos	ogt//pfkA//
PepA_neg	hyaC//gloA//
PgrR_neg	nemA//mpl//
PhoB-Phosphorylated_neg	nirB//fucU//lsrG//glxR//cysD//
PhoB-Phosphorylated_pos	aceA//mraY//betA//glyA//purB//lacZ//uidA//iscS//ppsA//cysK//arsC//fbaB//dkgA//pgaB//nanK//glxK//talA//
PhoP-Phosphorylated_neg	hycD//uvrC//lysC//
PhoP-Phosphorylated_pos	folA//gatD//dhaL//metL//gatD//pgk//glxK//paaB//lysA//dmsB//argB//sdhC//wecE//phnG//glcD//gadB//hyaB//dinB//glpA//sbcD//ydcS//gpmM//ubiX//tdcD//psd//murF//fadI//uxaA//recF//mhpF//pykF//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	fbaB//nanM//epd//paaI//
PspF_neg	
PspF_pos	fabD//
PurR-hypoxanthine_neg	paaY//galE//entC//dhaL//bacA//ribA//alsE//aceE//speB//nfsB//folE//yqjH//tnaA//carA//hycG//garK//codA//frdB//metK//pck//zwf//ubiC//cdd//dhaK//nemA//rffM//
PutA_neg	mhpF//thrS//
PuuR_neg	sgbE//bioA//fruK//sbcC//paaG//gcvH//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	galM//hemH//bacA//metB//poxB//
RcdA_neg	
RcdA_pos	mazG//
RclR_pos	
RcnR_neg	fadI//
RcsAB_neg	moaD//
RcsAB_pos	citD//sodA//
RcsB-BglJ_pos	bioF//garL//
RcsB-Pasp56_neg	argE//
RcsB-Pasp56_pos	poxB//ubiA//pgk//
RelB-RelE_neg	glgB//
RelB_neg	melA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	ynfG//leuC//patA//caiB//
Rob_neg	
Rob_pos	citC//rsmH//allB//paaA//ygeA//folA//paaK//alsE//pykF//glxR//dsdA//fadM//puuD//leuC//accD//rtcB//frdC//nrdE//pflB//
RstA-Phosphorylated_neg	pdeL//glpC//
RstA-Phosphorylated_pos	citD//
RtcR_pos	srkA//galE//
RutR_neg	fucI//gadA//ynfG//gcvP//hcaC//ruvB//fumC//waaH//tehB//ampC//
RutR_pos	ulaF//
SdiA_neg	
SdiA_pos	
SgrR_neg	gatZ//
SgrR_pos	cdd//argC//
SlyA_neg	
SlyA_pos	nrdD//rnpB//glpX//prpC//glgA//allB//epd//pyrC//speG//
SoxR_neg	
SoxR_pos	ahpF//phnI//glk//alaS//ogt//acnA//
SoxS_neg	
SoxS_pos	moeB//lacA//acnB//aroL//mngB//wecE//idnD//ldtB//phnJ//pdeH//wecC//fadH//aspC//pncB//uxaC//fbaB//prpE//ttdB//ada//fabI//yeaE//phnO//carA//paaF//tyrA//purD//lldD//citE//
SrlR_neg	hcaF//mnmG//moaA//
StpA_neg	sdhA//yqhD//glcE//
SutR_neg	nrdE//ftnA//
SutR_pos	
TdcA_pos	pgaB//paaZ//purK//allD//rpiB//
TdcR_pos	pgi//rtcB//rsmH//cysH//katG//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	nirD//ulaD//tyrB//rhaD//
TorR-TorI_neg	murI//
TorR-TorI_pos	
TreR_neg	glyA//tauD//
TrpR-tryptophan_neg	dhaK//sgbE//trpB//cysE//lyxK//paaZ//fumB//glcE//guaB//
TyrR-phenylalanine_neg	gntK//ynfE//
TyrR-phenylalanine_pos	glnA//
TyrR-tyrosine_neg	xylB//phnI//carB//acnB//paaF//pepD//
TyrR-tyrosine_pos	purL//citG//
TyrR_neg	aroF//
TyrR_pos	gudD//
UhpA-Phosphorylated_pos	bioA//
UidR_neg	narH//glmS//
UlaR_neg	garR//ttdA//nrdB//wzb//fadE//
UvrY-Phosphorylated_pos	guaA//iscS//
UxuR_neg	cysK//torC//ung//glgB//slt//
XapR-xanthosine_pos	hcaE//pyrD//
XylR-xylose_neg	
XylR-xylose_pos	fumC//pnp//dmsA//
YdeO_neg	
YdeO_pos	glcB//garK//hyaB//
YefM-YoeB_neg	uxuA//
YefM_neg	rffG//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	rutC//gadB//caiA//nrfD//mhpC//icd//
YjjQ_neg	nrdF//tam//
YpdB-Phosphorylated_pos	
YqhC_pos	fucU//allB//
YqjI_neg	galE//
ZntR-Zn2_pos	moaC//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	nanA//
