# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	glgA//ampC//
CusR-Pasp_pos	ppsA//glgP//paaG//iscS//
CynR-cyanate_pos	araA//pykF//poxB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	allE//glcB//sbcC//
CysB-O-acetyl-L-serine_pos	rffM//acnA//dgcC//cysC//torC//nrfD//pyrD//napG//aroF//deoA//recB//pgpC//
CysB_neg	
CysB_pos	moaC//purD//
CytR_neg	appA//gor//yedX//caiA//rffH//bioA//ycjG//galT//malP//nadA//
Dan-L-tartrate_pos	idnO//ygeA//
DcuR-Phosphorylated_pos	purH//aroL//umuD//araB//
DeoR_neg	ychF//tehB//prpD//dgcC//aspC//rutE//
DhaR_neg	
DhaR_pos	galE//
DicA_neg	
DinJ-YafQ_neg	speB//
DnaA-ATP_neg	ascB//ahpC//recF//argB//fadA//
DnaA-ATP_pos	gcl//lpd//lpxA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	speB//ttdA//uidA//sodB//metH//
DsdC-D-serine_neg	
DsdC-D-serine_pos	ruvB//ccp//
EbgR_neg	
EnvR_neg	nfsB//mdh//
EnvY_pos	talA//mhpB//
EvgA-Phosphorylated_pos	mpaA//astC//rutA//argC//hycD//ppsA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	mraY//lsrF//astD//galK//astD//dhaM//
FabR_neg	glgC//pdeL//gor//
FadR-acyl-CoA_pos	
FadR_neg	hcaF//amn//patA//deoC//nfsA//caiD//entH//hypB//acnB//
FadR_pos	astC//amn//fucK//leuC//argF//entA//paaJ//glcB//nagA//paaI//
FeaR_pos	gpmM//ldtC//
FhlA-formate_pos	asnB//fbaB//ubiC//fadJ//pgi//allD//pgk//phnG//
FlhDC_neg	glcB//tnaA//
FlhDC_pos	caiD//araB//murQ//citE//cysI//wecC//uvrB//pagP//citG//rbsK//ppsA//puuB//
FliZ_neg	murF//idnD//rffC//fucO//fabI//
FucR-L-fuculose-1-P_pos	ycjG//malY//gcl//aspC//fucU//ynfE//
Fur-Fe2_neg	polB//polB//betA//guaB//uxaB//ldtB//bioD//hyi//glgX//cysC//rimK//paaF//uxaC//pykF//gatD//sbcC//umuC//gpmA//lsrF//argF//dmsB//phnO//ldtC//fumB//moaE//purA//codA//uxuA//umuC//phnM//pgm//fadD//napH//malZ//prpD//accC//kbaZ//pspE//fruK//uxuB//hycF//malQ//argH//mhpC//ynfH//glpK//carA//alkA//wecC//kbaZ//appA//pepD//argD//
Fur-Fe2_pos	hycB//pdeL//fucO//putA//mhpD//speG//rtcB//arsC//ynfG//purF//wzc//murE//idnK//sdhB//allB//atoB//
GadE-RcsB_pos	sdhA//nanA//ycjG//sdhB//ynfG//
GadE_pos	feaB//fau//paaG//ynfF//caiC//nanM//hycD//fucU//bioB//gdhA//
GadW_neg	narG//citG//phnI//
GadW_pos	hypB//moaA//chbF//tynA//
GadX_neg	garR//dhaL//slt//
GadX_pos	galM//caiD//ogt//fbaB//phnH//lacZ//uxuB//ribA//zwf//metB//hmp//
GalR-beta-D-galactose_neg	ddlB//pck//mnmG//recB//phnH//
GalR-beta-D-galactose_pos	bioA//paaJ//psd//hyaB//
GalR_neg	fbaB//ascB//pdeL//cysM//glmU//ydcS//
GalR_pos	astC//nagA//purA//argG//
GalS-beta-D-galactose_neg	zwf//folE//entA//ppiA//truB//
GalS-beta-D-galactose_pos	hyi//pgaC//glgP//sodA//
GalS_neg	lpxC//ldtB//puuC//argA//xylA//lpd//
GalS_pos	wecB//tyrA//leuD//glpX//
GatR_neg	eda//metK//wecC//
GcvA_neg	tauD//cysC//nrdE//
GcvA_pos	talA//acnA//citE//
GlcC-glycolate_neg	
GlcC-glycolate_pos	fadB//hyaA//uvrA//
GlpR_neg	argA//hyi//napG//ulaF//puuE//fadE//lyxK//
GlrR-Pasp56_pos	
GntR_neg	ugpQ//mpaA//gatZ//glgC//glmS//dhaM//hemH//gabT//hyaC//
GutM_pos	argA//leuC//kbaY//
HU_neg	fucO//glcD//ycjG//rutC//dsdA//mhpB//fucO//
HU_pos	
HcaR-HCA_pos	psd//lldD//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	pnp//
HigB-HigA_neg	astD//
HipAB_neg	pykF//bacA//
HipB_neg	cysG//tadA//glxR//
HprR-Phosphorylated_neg	ttdB//yeaG//
HprR-Phosphorylated_pos	rffH//fabI//
HyfR_pos	fadI//
HypT-Met-oxidized_neg	asnA//folA//
HypT-Met-oxidized_pos	phnN//cysM//astD//frdD//hycD//
IclR-pyruvate_neg	arsC//purE//yfdE//
IdnR-5-ketogluconate_neg	kbaY//citD//
IdnR-5-ketogluconate_pos	treC//umuC//glgB//
IlvY-2-acetolactate_pos	rpiB//
IlvY_neg	
IscR-2Fe-2S_neg	pdeH//aceF//
IscR_neg	ulaE//galT//glpA//glgP//
IscR_pos	pgpC//zwf//
KdgR_neg	galT//frdB//
KdpE-Phosphorylated_pos	rbsD//
LacI_neg	katG//gpmM//purF//
LeuO_neg	
LeuO_pos	udp//purA//pspE//galT//gloA//fadH//
LexA_neg	alkB//purA//garD//atoD//entD//patA//fadJ//mhpC//umuC//mltF//paaA//deoC//atoD//hcaD//aspA//nrdD//malS//nirB//ppsA//ssuE//fadA//glcF//ribA//
LldR-lactate_neg	ssuE//patD//
LldR-lactate_pos	glxK//mhpA//
LldR_neg	purA//dinB//
LldR_pos	cysE//prpB//
LrhA_neg	
LrhA_pos	
LsrR_neg	fucA//phoA//gntK//deoA//wzb//
LysR_neg	
LysR_pos	paaA//
MalI_neg	glcB//fabA//
MalT-maltotriose-ATP_pos	bioA//astE//entF//napH//dacC//treC//
MarA_neg	frdD//
MarA_pos	fbaA//galT//ynfG//caiB//metH//alaC//caiB//dsdA//ruvA//entF//mazG//ynfE//waaZ//purN//bacA//cadA//grxA//dsdA//umuC//hemH//fucU//citC//sdhA//
MarR_neg	
MatA_neg	feaB//
MatA_pos	
MazE-MazF_neg	sdhA//
MazE_neg	trpE//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	astC//nanE//
MelR-melibiose_pos	hycE//yqhD//
MelR_neg	pflB//puuB//
MelR_pos	nrdD//fadE//
MetJ-adenosylmethionine_neg	grxA//puuD//atoD//hyi//prpD//slt//garD//araB//sdhC//aroG//
MetR-L-homocysteine_neg	alkA//
MetR-L-homocysteine_pos	chbF//hcaF//
MetR_pos	purA//kbaZ//
MhpR-3HPP_pos	cysJ//aroG//nanM//ynfE//ssuD//araA//
Mlc_neg	tpiA//rutA//tadA//pck//
MlrA_pos	ychF//
MngR_neg	paaI//phnG//
MntR-Mn2_neg	murD//
MntR-Mn2_pos	nadA//
ModE-MoO42-_neg	ppc//pflB//lpxC//aroL//glgP//uvrC//cysC//murE//
ModE-MoO42-_pos	ahpC//fabD//argI//araA//yeaE//cynT//glpK//alkB//fabZ//
MprA_neg	glmS//cysJ//paaY//
MqsA_neg	sgbU//tpiA//
MraZ_neg	speG//murG//paaH//gor//pdeH//hypF//glpK//glpC//metA//talA//
MurR_neg	ldtD//bioF//glmS//
MurR_pos	
Nac_neg	fumC//pyrD//pflB//
Nac_pos	carA//bglB//nfsA//pgaD//atoA//relA//bioF//udp//
NadR_neg	sucA//fumC//araB//allB//
NagC_neg	gcvH//iscS//ppc//pgaB//tdcB//idnK//hcaB//kbaY//dmsC//folA//treC//melA//ygeA//nanM//phnG//glpD//malP//nfsB//
NagC_pos	ttdA//fabG//
NanR_neg	entF//waaZ//bglB//nadA//katG//ampC//
NanR_pos	
NarL-Phosphorylated_neg	cysH//moeA//uvrC//nanA//uxaA//lysA//prs//hyaA//adhE//zwf//glgP//argE//grxA//rhaA//ppc//patD//srlD//cynS//ulaF//folE//katG//dmsA//speB//nirB//paaI//edd//pheT//fadM//
NarL-Phosphorylated_pos	metH//moaE//cynT//tynA//psd//puuA//aspC//glxR//psd//purD//ynfH//lpxA//rutC//dapB//mngB//
NarP-Phosphorylated_neg	entH//tnaA//cadA//xylA//caiA//
NarP-Phosphorylated_pos	dmsA//umuD//glcB//pdeH//murE//glyA//atoD//uvrC//astD//asnB//ndh//talA//zwf//gcl//
NemR_neg	fabA//garD//
NhaR-Na_pos	cysD//nadA//hypF//caiA//galM//
NikR-Ni2_neg	idnK//
NimR_neg	pgaD//
NorR_neg	
NorR_pos	cysJ//
NrdR-Zn2_neg	pfkA//glpQ//fadJ//glmU//
NsrR_neg	hemH//uidA//yiaK//metE//ldtD//fadM//pflB//ogt//serA//rpiB//aroL//dacC//ttdA//bglB//speG//metB//frc//glgP//ssuD//deoB//glxR//murC//lsrK//mhpC//sdhC//prpB//sgbE//mnmG//gltD//gatZ//wzb//glmU//wzc//gabT//entH//citC//leuD//treC//atoD//glgX//
NtrC-Phosphorylated_neg	phnM//gloA//
NtrC-Phosphorylated_pos	trpC//accD//ada//ldtB//ubiA//ugpQ//malY//trpB//slt//nrdD//appA//ssuE//glcD//uvrC//yeaE//mhpA//fdhF//atoB//astB//bioF//astE//
OmpR-Phosphorylated_neg	tynA//entC//araD//mdh//torA//
OmpR-Phosphorylated_pos	ttdA//katE//allB//glnA//
OxyR_neg	astD//patD//nirD//glk//moaE//
OxyR_pos	recF//fadB//leuA//nadB//murC//glgA//rpiB//hcaC//nirB//ssuD//hycB//glgA//
PaaX_neg	nfsB//paaY//argC//ubiX//metL//eda//cysK//moeA//folE//
PdeL_pos	paaC//
PdhR_neg	cueO//yiaK//sbcC//mraY//narI//waaY//ttdA//rffT//dkgA//aspA//entA//cysI//alkB//ppsA//paaJ//sucC//paaZ//paaI//narH//gabT//bglB//nanK//paaH//
PdhR_pos	trpA//nadB//
PepA_neg	aspC//fumB//
PgrR_neg	gudD//hcaD//
PhoB-Phosphorylated_neg	entC//katE//paaB//lacA//murD//
PhoB-Phosphorylated_pos	hcaF//ugpQ//uxaA//dmsC//yeaE//wecB//citD//dgcN//citG//pspE//rhaB//malZ//waaH//folE//rutC//lpxA//hcaD//
PhoP-Phosphorylated_neg	pgaD//adiA//aspA//
PhoP-Phosphorylated_pos	malS//entA//pepD//trpE//nrdB//aroL//yqjH//hypF//fruK//hmp//gatY//yqhD//prpE//ynfH//dgcC//rhaA//pepD//epd//murG//grxA//wzb//folE//speA//uidA//purN//nadA//paaK//tynA//rutD//yeaG//pgi//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	mhpC//hcaB//katG//hycE//
PspF_neg	
PspF_pos	hypB//
PurR-hypoxanthine_neg	paaZ//rbsK//entA//dmsA//glnA//bioA//prpD//cynT//purA//trpE//argC//rnpB//ychF//cyoE//accD//gltD//rtcA//gatD//metC//rffC//udp//ttdA//pagP//ldtD//kbaZ//trpE//
PutA_neg	folA//fbaB//
PuuR_neg	citX//purL//glnA//ulaG//phnI//alkB//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	torA//paaJ//carA//nadB//fucO//
RcdA_neg	
RcdA_pos	xylB//
RclR_pos	
RcnR_neg	ruvB//
RcsAB_neg	chbG//
RcsAB_pos	alkA//ftsI//
RcsB-BglJ_pos	argF//dapD//
RcsB-Pasp56_neg	malZ//
RcsB-Pasp56_pos	moaD//pykF//yeaE//
RelB-RelE_neg	paaJ//
RelB_neg	polB//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	ycjG//araA//tpiA//fabZ//
Rob_neg	
Rob_pos	hycB//galM//prpC//cysM//bioA//alsE//purL//hcaC//idnO//fadM//fbaB//yeaG//mngB//gpmM//dhaL//ssuD//rimK//waaZ//acnB//
RstA-Phosphorylated_neg	treC//wzb//
RstA-Phosphorylated_pos	malP//
RtcR_pos	moaD//polB//
RutR_neg	hycE//cyoE//tpiA//hycC//fabG//ruvB//glcF//fbaB//hcp//serA//
RutR_pos	atoA//
SdiA_neg	
SdiA_pos	
SgrR_neg	dgcC//
SgrR_pos	rnpB//katG//
SlyA_neg	
SlyA_pos	polB//dmsB//aldA//glpA//xapA//entB//glcE//argA//cynS//
SoxR_neg	
SoxR_pos	mnmG//kbaY//ppc//gapA//hemL//gatY//
SoxS_neg	
SoxS_pos	garK//gutQ//speB//pdeH//recB//nrdB//moeA//lpxC//glcE//paaK//accD//citC//talA//prpB//serA//mhpF//paaC//fau//rbsK//murF//pgpC//pagP//carA//poxB//entA//paaI//purA//phoA//
SrlR_neg	mazG//galT//yeaE//
StpA_neg	puuB//fbaA//tdcB//
SutR_neg	ppsA//pdeR//
SutR_pos	
TdcA_pos	nanK//pck//lpxD//rhaA//pheS//
TdcR_pos	accC//paaG//metK//sgbE//entA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	murI//ulaF//acnA//ruvA//
TorR-TorI_neg	phnL//
TorR-TorI_pos	
TreR_neg	idnO//malS//
TrpR-tryptophan_neg	tnaA//glcD//purA//bioB//purL//caiD//guaB//recB//glgA//
TyrR-phenylalanine_neg	rbsD//trpE//
TyrR-phenylalanine_pos	waaH//
TyrR-tyrosine_neg	ugpQ//phnJ//ybjG//puuC//paaI//waaY//
TyrR-tyrosine_pos	lhgO//araD//
TyrR_neg	nrdB//
TyrR_pos	cysH//
UhpA-Phosphorylated_pos	glpD//
UidR_neg	rffM//argG//
UlaR_neg	rhaD//fabH//accD//mhpB//ddlB//
UvrY-Phosphorylated_pos	uxaC//glmU//
UxuR_neg	gutQ//hcaD//putA//idnK//lhgO//
XapR-xanthosine_pos	gatZ//cysD//
XylR-xylose_neg	
XylR-xylose_pos	gntK//amn//sufS//
YdeO_neg	
YdeO_pos	lysA//rffT//metF//
YefM-YoeB_neg	putA//
YefM_neg	dinB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	truB//nagA//fbaA//hcaF//dmsC//tyrB//
YjjQ_neg	citD//srkA//
YpdB-Phosphorylated_pos	
YqhC_pos	tnaA//entC//
YqjI_neg	tpiA//
ZntR-Zn2_pos	lpxC//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	caiD//
