# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	leuD//glgP//
CysB-O-acetyl-L-serine_pos	srlD//astC//yeaE//speA//dgkA//tam//nadB//moaC//fdhF//moeB//malQ//aspC//
CysB_neg	
CysB_pos	ruvA//malS//
CytR_neg	rfe//dmsC//trpD//lpxA//allB//alaC//nfsB//lpxD//ttdB//fumC//
Dan-L-tartrate_pos	hyaA//fucK//
DcuR-Phosphorylated_pos	hycG//ndh//luxS//guaB//
DeoR_neg	wecB//yeaE//sodB//astD//tam//aspC//
DhaR_neg	
DhaR_pos	entC//
DicA_neg	
DinJ-YafQ_neg	aroF//
DnaA-ATP_neg	hcaE//aroG//napB//sgbE//yeaE//
DnaA-ATP_pos	moaD//ruvB//argH//
DpiA-Pasp_neg	
DpiA-Pasp_pos	srkA//sucB//paaC//waaZ//rpiB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	phnG//glxR//
EbgR_neg	
EnvR_neg	trpA//glgC//
EnvY_pos	moaA//mhpE//
EvgA-Phosphorylated_pos	sdhC//tyrB//rutE//metL//ldtC//carB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	pgpC//mhpE//pdeL//phnJ//atoA//glmU//
FabR_neg	ynfF//uxaA//pheT//
FadR-acyl-CoA_pos	
FadR_neg	puuB//mnmG//dkgB//cysH//rutD//mngB//lsrF//ubiX//sdhC//
FadR_pos	wzc//mhpA//cadA//wzc//iscS//ubiA//tauD//glcE//mpaA//glk//
FeaR_pos	lacZ//paaG//
FhlA-formate_pos	purB//truB//ccp//psd//uxuA//paaG//pgaB//gltD//
FlhDC_neg	ppsA//carA//
FlhDC_pos	hyaB//ftnA//cynS//xylB//umuC//dhaM//galE//ynfG//ccp//bacA//dgcZ//narH//
FliZ_neg	phoA//polB//tdcB//napA//tynA//
FucR-L-fuculose-1-P_pos	cynS//aceA//mazG//idnD//pdeH//dhaK//
Fur-Fe2_neg	rbsD//gcvT//mpl//ynfE//lsrK//prpC//ung//paaG//gpmA//nemA//caiB//deoC//aceB//ygeA//napG//dgkA//phnH//tdcE//sucB//sodA//nirD//phnN//accD//phnI//uvrA//polB//oxc//yeaG//fabA//purB//rsmH//phnN//citC//asnB//ilvC//malZ//purC//glcB//lacA//lhgO//recF//pdeH//pdeH//amn//pheS//rutA//ubiC//accA//rffC//gatD//iscS//dsdA//narI//
Fur-Fe2_pos	uxuA//pgaC//melA//arsC//pck//pfkA//hyaA//icd//rffM//pgaD//cysJ//hcaF//nrdD//asnA//fabZ//phnO//
GadE-RcsB_pos	phnG//acnB//hycF//fabH//hypB//
GadE_pos	purF//ubiA//alkA//alsE//napB//hyaA//gabD//pgk//wzb//uxaB//
GadW_neg	idnK//astD//fabA//
GadW_pos	pheT//mraY//trpE//nrfD//
GadX_neg	yqjH//lpd//citX//
GadX_pos	adhE//aceE//moaA//bglB//rffT//asnA//umuC//rnpB//ulaD//malQ//deoB//
GalR-beta-D-galactose_neg	carB//sgbU//tdcB//galT//lpxD//
GalR-beta-D-galactose_pos	ulaE//serA//bioC//sbcC//
GalR_neg	metK//bacA//udp//ilvC//fucK//poxB//
GalR_pos	napB//phnP//dhaL//fadI//
GalS-beta-D-galactose_neg	allE//fadD//trpA//fadI//cdd//
GalS-beta-D-galactose_pos	moeB//dgcZ//argE//ygeA//
GalS_neg	mhpB//eda//narG//gcvH//sodA//ruvA//
GalS_pos	atoD//pdeH//purD//speB//
GatR_neg	gadA//prs//gloA//
GcvA_neg	hycG//katE//fes//
GcvA_pos	puuB//alkA//paaK//
GlcC-glycolate_neg	
GlcC-glycolate_pos	ttdB//allB//mnmG//
GlpR_neg	katG//nirD//ahpF//lpd//murQ//rffM//metK//
GlrR-Pasp56_pos	
GntR_neg	tdcB//nanE//cysK//torA//gabT//ppiA//eno//mdh//atoD//
GutM_pos	narG//fadE//lhgO//
HU_neg	ascB//gpmA//mhpE//tnaA//idnD//phnO//gadB//
HU_pos	
HcaR-HCA_pos	aceA//treC//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	sucB//
HigB-HigA_neg	serA//
HipAB_neg	paaK//cdd//
HipB_neg	phoA//sdhA//dhaL//
HprR-Phosphorylated_neg	bglB//glgC//
HprR-Phosphorylated_pos	uvrC//srkA//
HyfR_pos	truB//
HypT-Met-oxidized_neg	sgbE//idnO//
HypT-Met-oxidized_pos	mhpA//katE//kbaY//entF//prs//
IclR-pyruvate_neg	dgcC//ulaF//puuE//
IdnR-5-ketogluconate_neg	phr//betB//
IdnR-5-ketogluconate_pos	uvrC//argB//aceF//
IlvY-2-acetolactate_pos	fumC//
IlvY_neg	
IscR-2Fe-2S_neg	carA//hycE//
IscR_neg	amn//deoA//leuA//gatD//
IscR_pos	chbF//ilvC//
KdgR_neg	uxaB//glgB//
KdpE-Phosphorylated_pos	sdhD//
LacI_neg	lpd//purL//rutE//
LeuO_neg	
LeuO_pos	yqhD//citX//glsA//gpmM//puuD//paaG//
LexA_neg	ahpC//hcaD//glpC//gor//malQ//cynS//speB//rffH//mhpD//hcp//hycF//bioC//glgX//caiB//pdeH//yqjH//speB//glyA//srkA//mhpB//nrdE//aceA//feaB//
LldR-lactate_neg	phnL//metL//
LldR-lactate_pos	nanM//prpB//
LldR_neg	gcvP//yfdE//
LldR_pos	phnJ//leuC//
LrhA_neg	
LrhA_pos	
LsrR_neg	dapD//lsrG//srlD//deoD//metE//
LysR_neg	
LysR_pos	accD//
MalI_neg	hcaB//pgi//
MalT-maltotriose-ATP_pos	purF//araD//glcE//glsA//ulaD//astE//
MarA_neg	gcvP//
MarA_pos	hycC//garD//aceA//gdhA//purD//nemA//wzb//speG//ddlB//glnA//phnL//rffG//aceA//pflB//fadB//pgaC//sdhB//napA//ycjG//hyaB//atoD//frdC//ynfG//
MarR_neg	
MatA_neg	malY//
MatA_pos	
MazE-MazF_neg	citC//
MazE_neg	nrdA//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	glcF//amn//
MelR-melibiose_pos	ldtB//paaB//
MelR_neg	citE//gloA//
MelR_pos	cysE//moeA//
MetJ-adenosylmethionine_neg	psd//metF//mhpA//napB//galT//pdeH//betA//galM//pdeR//argA//
MetR-L-homocysteine_neg	rffC//
MetR-L-homocysteine_pos	dmsA//talA//
MetR_pos	uidA//pck//
MhpR-3HPP_pos	malP//glpQ//paaG//glxR//metH//citG//
Mlc_neg	nrdA//polA//waaH//moaA//
MlrA_pos	paaB//
MngR_neg	tyrA//astD//
MntR-Mn2_neg	entF//
MntR-Mn2_pos	prs//
ModE-MoO42-_neg	xylB//oxc//srlD//phnO//hcaE//tnaA//dkgA//tauD//
ModE-MoO42-_pos	asnA//entH//sbcC//pgaC//wecE//hcaB//prpC//srlD//folA//
MprA_neg	gpmA//phnH//yqhD//
MqsA_neg	gudD//patA//
MraZ_neg	hycF//pspE//paaJ//mhpE//mltF//pgaC//gutQ//ynfG//lacA//recB//
MurR_neg	narH//sbcD//purB//
MurR_pos	
Nac_neg	entA//deoC//nirD//
Nac_pos	cysC//codA//mazG//phnM//asnB//uvrB//dhaK//mhpE//
NadR_neg	aceA//cysK//xylB//ulaF//
NagC_neg	arsC//prpB//entB//adhE//adiA//napG//citC//tehB//nanE//hycC//lacZ//paaE//rffH//sbcD//hcaE//rhaB//purA//uvrC//
NagC_pos	hemH//puuA//
NanR_neg	hcaE//atoA//dhaK//yqjH//aroG//betA//
NanR_pos	
NarL-Phosphorylated_neg	glgC//edd//patA//mdh//carB//fabH//garK//tdcE//nrdF//rutD//pyrC//sodB//purF//lsrF//ulaD//frdA//purF//atoA//ybjG//chbF//bacA//caiB//mraY//gpmA//cysJ//rutA//nrfC//garK//
NarL-Phosphorylated_pos	carB//murD//glcF//uvrA//leuD//mpl//prpD//glpC//sbcC//dmsB//paaY//lysA//sodB//ybjG//argA//
NarP-Phosphorylated_neg	fucU//pfkA//polB//guaB//paaY//
NarP-Phosphorylated_pos	tadA//waaH//alaS//fadH//ynfH//idnD//hycG//umuC//puuA//glgB//udp//trpB//hycG//prs//
NemR_neg	cadA//purC//
NhaR-Na_pos	bioB//tyrB//fau//purC//ahpF//
NikR-Ni2_neg	patD//
NimR_neg	phnL//
NorR_neg	
NorR_pos	aroH//
NrdR-Zn2_neg	leuB//ubiX//glxR//pepD//
NsrR_neg	glmS//mpaA//aspC//glcF//yedX//sbcC//ygeA//galK//tdcD//sgbH//allC//caiC//prpC//allC//aceA//deoD//ybjG//rutB//ssuD//rffC//atoD//yqhD//pnp//hcp//deoC//pepD//dmsB//hcaE//sodB//grxA//fbaB//rffH//pflB//citX//glk//astA//gcvT//betA//leuB//mpaA//
NtrC-Phosphorylated_neg	rutB//uxaB//
NtrC-Phosphorylated_pos	gpmM//dhaL//citD//entE//dsdA//accD//mhpB//murG//hycE//leuA//ribA//atoD//dgcZ//nanA//pyrD//guaB//yeaG//napB//fau//ssuE//uvrA//
OmpR-Phosphorylated_neg	caiC//gudD//sbcD//umuC//citC//
OmpR-Phosphorylated_pos	bioB//ydcS//treC//eno//
OxyR_neg	ssuE//cysD//aldA//ldtD//argA//
OxyR_pos	carA//phnI//caiD//mnmG//ygeA//wrbA//glgA//glnA//uxaC//puuE//cysH//sdhD//
PaaX_neg	citG//allB//malZ//alsE//argG//glmU//atoD//dgcC//murE//
PdeL_pos	mhpD//
PdhR_neg	betB//paaK//yiaK//allC//uidA//citD//ruvA//epd//malP//hycF//mhpF//astB//srlD//glcE//dhaK//pgm//tehB//mhpA//lsrF//uvrC//dhaM//cynT//narG//
PdhR_pos	paaE//lpd//
PepA_neg	sbcC//argA//
PgrR_neg	hcaD//purE//
PhoB-Phosphorylated_neg	mhpB//nfsB//metB//pyrD//leuA//
PhoB-Phosphorylated_pos	gnd//paaZ//sgbH//uxaA//sdhA//grxA//metA//lsrF//fucA//ubiC//rhaD//uxaA//luxS//dmsA//alkA//phoA//fadI//
PhoP-Phosphorylated_neg	malS//ssuD//fadH//
PhoP-Phosphorylated_pos	fabH//pfkA//tehB//gudD//moaC//hcp//pheT//aroF//rimK//hcaF//lacZ//mhpC//argD//amn//cysK//uxuA//gpmM//ppsA//cysG//rffG//tauD//asnB//bioD//waaY//fumB//dmsA//tdcD//dhaM//sdhD//yedX//phnJ//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	nrdE//sdhA//mdh//dhaK//
PspF_neg	
PspF_pos	fes//
PurR-hypoxanthine_neg	idnO//citD//garK//prpE//pgk//rhaB//recB//uvrA//phnH//sbcC//caiA//recB//wzc//ynfH//rtcB//deoD//rffM//entA//feaB//ssuD//dhaL//dmsB//gnd//chbG//tehB//hcaD//
PutA_neg	gapA//galM//
PuuR_neg	glpD//mltF//accC//murI//moeB//gapA//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	hycE//phnM//puuB//murQ//entH//
RcdA_neg	
RcdA_pos	wecE//
RclR_pos	
RcnR_neg	allC//
RcsAB_neg	speG//
RcsAB_pos	fbaA//tyrB//
RcsB-BglJ_pos	rfe//nrfA//
RcsB-Pasp56_neg	citC//
RcsB-Pasp56_pos	fabB//treC//hcp//
RelB-RelE_neg	dapD//
RelB_neg	pnp//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	glpB//gloA//purL//nfsB//
Rob_neg	
Rob_pos	hcp//idnO//hycE//argG//ppiA//sgbU//frdB//ttdB//glpC//trpA//tyrA//yiaK//nanE//lsrG//dmsA//lhgO//araB//betA//alaS//
RstA-Phosphorylated_neg	fadH//pncB//
RstA-Phosphorylated_pos	ftsI//
RtcR_pos	phnM//cyoE//
RutR_neg	paaH//deoB//murD//astE//prpB//lpd//bioB//lsrK//nrfA//dhaM//
RutR_pos	idnO//
SdiA_neg	
SdiA_pos	
SgrR_neg	nrdE//
SgrR_pos	pgaD//astB//
SlyA_neg	
SlyA_pos	moaC//lacZ//gatD//argI//malP//napH//metE//fabH//frc//
SoxR_neg	
SoxR_pos	pyrC//cysC//araB//cynT//hycC//sdhB//
SoxS_neg	
SoxS_pos	idnK//nanK//rtcA//phnN//astB//hycG//ftnA//uxaB//ycjG//hycC//murC//moeB//frdB//yqhD//argH//waaZ//accC//purK//glcF//oxc//allA//torA//gatZ//paaK//glcF//mtlD//mhpA//melA//
SrlR_neg	glpX//wrbA//dgcZ//
StpA_neg	caiC//galE//mhpC//
SutR_neg	hemH//yqhD//
SutR_pos	
TdcA_pos	dgcZ//malY//mnmG//murC//purN//
TdcR_pos	gcvT//fadJ//fabB//narG//srkA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	rhaA//aceF//pnp//rhaB//
TorR-TorI_neg	hcaC//
TorR-TorI_pos	
TreR_neg	ppsA//narI//
TrpR-tryptophan_neg	fruK//gltD//ung//fumB//cysG//truB//glgC//deoC//murG//
TyrR-phenylalanine_neg	aceE//glgX//
TyrR-phenylalanine_pos	ynfE//
TyrR-tyrosine_neg	entA//nfsB//alsE//cysM//fbaA//katE//
TyrR-tyrosine_pos	sdhA//yqhD//
TyrR_neg	ddlB//
TyrR_pos	argE//
UhpA-Phosphorylated_pos	entC//
UidR_neg	cadA//entB//
UlaR_neg	moeB//ycjG//paaF//ynfE//narG//
UvrY-Phosphorylated_pos	pgi//rpiB//
UxuR_neg	gcvH//hemL//aroF//lsrF//melA//
XapR-xanthosine_pos	mhpC//nfsB//
XylR-xylose_neg	
XylR-xylose_pos	hyaC//ldtD//mhpA//
YdeO_neg	
YdeO_pos	argD//glgP//glcB//
YefM-YoeB_neg	phnH//
YefM_neg	argH//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	gor//fadI//accA//glpX//purA//nanK//
YjjQ_neg	dgkA//glcE//
YpdB-Phosphorylated_pos	
YqhC_pos	talA//rutD//
YqjI_neg	fumC//
ZntR-Zn2_pos	cysD//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	alkA//
