# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	purB//speA//
CecR_neg	citE//
ChbR-N-monoacetylchitobiose6-phosphate_neg	trpE//caiA//rsmH//
ChbR-N-monoacetylchitobiose6-phosphate_pos	dmsA//oxc//entF//
ChbR_neg	lacA//phnG//dkgB//
ChbR_pos	nemA//uxaC//dgcZ//
ComR_neg	
CpxR-Phosphorylated_neg	metB//dgcN//adhE//
CpxR-Phosphorylated_pos	bioC//luxS//speB//fruK//recD//amn//torA//murF//umpH//citC//yqhD//citC//pgaB//ascB//umpH//ulaE//arsC//gcvT//
Cra_neg	glmS//aceA//gcvP//adiA//entH//pepD//citD//torA//nrdD//mhpF//phnN//tdcB//nadA//pgk//ascB//dapB//uxuB//puuA//purD//fucU//trpA//ychF//talA//tdcB//fes//ruvA//mhpA//gcvH//serA//idnO//nirB//atoA//allA//purN//mhpD//carB//hemL//prpE//fabG//garK//alkA//dmsC//lysC//glpC//adhE//
Cra_pos	napG//galM//malZ//rffM//lyxK//aceE//fruK//pgi//ruvB//alaS//ruvA//lpxA//gapA//torC//citG//gdhA//galK//
CreB-Phosphorylated_neg	fadH//
CreB-Phosphorylated_pos	ogt//
CsgD_neg	alaS//gadB//
CsgD_pos	argE//puuA//glpB//
CsiR_neg	edd//argH//dacC//astA//
CspA_pos	uxuA//
CueR-Cu_neg	ldtB//mhpF//xylB//
CueR-Cu_pos	aspC//eno//
CusR-Pasp_pos	pgaD//ascB//aceB//astD//
CynR-cyanate_pos	paaY//malY//xylA//
CynR_neg	
CysB-O-acetyl-L-serine_neg	folE//dapB//fabZ//
CysB-O-acetyl-L-serine_pos	cynS//trpA//recD//cysC//nrfA//nanE//mdh//prpE//aroF//metE//purL//glcE//
CysB_neg	
CysB_pos	yqhD//aroF//
CytR_neg	argC//luxS//katG//pgk//uvrA//rbsK//yqhD//trpB//puuC//asnB//
Dan-L-tartrate_pos	glcD//adhE//
DcuR-Phosphorylated_pos	fabG//paaF//mngB//nrdE//
DeoR_neg	cdd//cdd//amn//puuC//glxR//entB//
DhaR_neg	
DhaR_pos	narI//
DicA_neg	
DinJ-YafQ_neg	speB//
DnaA-ATP_neg	malS//trpB//ldtC//tdcG//ftsI//
DnaA-ATP_pos	argA//pncB//fucO//
DpiA-Pasp_neg	
DpiA-Pasp_pos	nagA//sdhA//napA//umuD//gatZ//
DsdC-D-serine_neg	
DsdC-D-serine_pos	yeaG//metE//
EbgR_neg	
EnvR_neg	speB//fumC//
EnvY_pos	udp//nanE//
EvgA-Phosphorylated_pos	nanE//paaB//psd//aspA//hyi//rutC//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	sucA//hcaD//dgcN//malZ//rutE//pgm//
FabR_neg	glgP//metL//aroL//
FadR-acyl-CoA_pos	
FadR_neg	deoD//mhpC//sucB//phnO//pflB//betA//metK//glgX//poxB//
FadR_pos	pdeH//yeaG//ldtD//accD//phnH//ychF//sgbU//pflB//carA//deoB//
FeaR_pos	cysI//ftsI//
FhlA-formate_pos	uvrA//gdhA//tdcG//polB//glxK//ogt//sbcD//dgcZ//
FlhDC_neg	wzb//fdhF//
FlhDC_pos	nanE//entE//moaA//pepD//umpH//recF//gcvT//trpA//folE//ribA//cdd//narI//
FliZ_neg	lldD//deoA//glpX//cysK//rutB//
FucR-L-fuculose-1-P_pos	hyaB//fabI//tdcD//bioF//paaH//gor//
Fur-Fe2_neg	sucD//asnA//puuB//dmsA//rimK//entD//aceE//gltD//patA//rffT//ldtD//caiC//dkgA//yqjH//waaY//ahpF//fadJ//metC//eno//gor//gatD//codA//rutC//nanA//metF//glgC//moaA//tktB//tynA//ttdA//tdcB//accC//moaE//pgaB//paaG//umuC//tyrA//wzb//aldA//accC//yeaG//narG//fucA//fadJ//rtcB//uxaB//lpd//kbaZ//ldtC//phoA//gatY//tauD//napH//
Fur-Fe2_pos	murE//paaI//glpD//gpmM//ldtC//araB//entA//lsrF//idnO//paaG//rhaA//gadA//astD//waaY//guaB//galK//
GadE-RcsB_pos	cynS//deoD//bioD//tynA//sucD//
GadE_pos	glxR//glnA//patA//relA//ydcS//fucO//pspE//grxA//hcaD//paaZ//
GadW_neg	puuC//trpE//glsA//
GadW_pos	bglB//lysC//nirD//rffC//
GadX_neg	paaG//nrdA//treC//
GadX_pos	fucK//gltB//ldtC//dkgB//mltF//uxaB//ftsI//appA//dgcC//purF//hcp//
GalR-beta-D-galactose_neg	katE//astD//murC//gadB//gor//
GalR-beta-D-galactose_pos	accA//ldtC//fadM//galK//
GalR_neg	appA//allD//glpK//lpxA//cynT//yqjH//
GalR_pos	ynfG//nagA//nagA//talA//
GalS-beta-D-galactose_neg	ubiC//dhaL//recF//garK//torC//
GalS-beta-D-galactose_pos	dhaM//hypF//deoB//fruK//
GalS_neg	epd//cysH//eda//wrbA//accC//paaG//
GalS_pos	cysN//speG//moaC//rutB//
GatR_neg	atoA//sucC//wrbA//
GcvA_neg	mltF//cysC//astA//
GcvA_pos	ulaE//ssuD//accD//
GlcC-glycolate_neg	
GlcC-glycolate_pos	betA//alkA//lsrK//
GlpR_neg	fadE//grxA//yeaE//yqhD//tyrA//waaZ//yqhD//
GlrR-Pasp56_pos	
GntR_neg	wecE//gutQ//prpD//folE//gabT//pheS//ribA//hyaA//uvrA//
GutM_pos	ruvA//treC//ppc//
HU_neg	wecB//fabZ//tynA//rhaB//srlD//gnd//purK//
HU_pos	
HcaR-HCA_pos	tktB//katE//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	yfdE//
HigB-HigA_neg	paaK//
HipAB_neg	entD//glpA//
HipB_neg	trpD//glmS//rbsK//
HprR-Phosphorylated_neg	purK//deoA//
HprR-Phosphorylated_pos	murD//umuD//
HyfR_pos	murG//
HypT-Met-oxidized_neg	narI//aceA//
HypT-Met-oxidized_pos	moeB//hemL//glpB//pgaB//nemA//
IclR-pyruvate_neg	hypB//rutD//cdd//
IdnR-5-ketogluconate_neg	glcE//cdd//
IdnR-5-ketogluconate_pos	pdeH//fdhF//edd//
IlvY-2-acetolactate_pos	ada//
IlvY_neg	
IscR-2Fe-2S_neg	wecE//rbsK//
IscR_neg	wecB//nadA//murD//dapD//
IscR_pos	carB//metC//
KdgR_neg	lsrF//cueO//
KdpE-Phosphorylated_pos	waaH//
LacI_neg	araB//uxaB//napH//
LeuO_neg	
LeuO_pos	napG//uvrB//fucO//atoD//purC//aspA//
LexA_neg	purE//narI//phnP//hycF//glpC//lysC//hyaC//guaA//lpxA//tyrA//glcE//tktB//cysI//carB//moaD//codA//ssuE//aroH//cysD//cysI//hyaC//pspE//hycB//
LldR-lactate_neg	ubiC//ldtB//
LldR-lactate_pos	glgP//moeA//
LldR_neg	narI//talA//
LldR_pos	paaE//aspC//
LrhA_neg	
LrhA_pos	
LsrR_neg	fucU//ada//aroF//pflB//allD//
LysR_neg	
LysR_pos	narI//
MalI_neg	fbaA//napH//
MalT-maltotriose-ATP_pos	arsC//phnP//paaF//hycC//dkgA//atoA//
MarA_neg	lyxK//
MarA_pos	gcvT//nadA//ruvA//mazG//aceB//paaH//edd//slt//pspE//rutB//tadA//gabT//aroH//cysK//gabT//ccp//ygeA//mngB//nagA//sgbE//nirB//adiA//cysK//
MarR_neg	
MatA_neg	recD//
MatA_pos	
MazE-MazF_neg	ynfH//
MazE_neg	aldA//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	tauD//sgbU//
MelR-melibiose_pos	purM//wzc//
MelR_neg	tauD//ftnA//
MelR_pos	phnG//pdeH//
MetJ-adenosylmethionine_neg	phnL//galE//nanM//bglB//gpmM//wzc//paaE//phnN//ttdB//ddlB//
MetR-L-homocysteine_neg	ssuD//
MetR-L-homocysteine_pos	hcaB//fadA//
MetR_pos	phnI//rpiB//
MhpR-3HPP_pos	trpE//nagA//polB//recB//ubiA//ydcS//
Mlc_neg	nanM//ogt//ascB//atoD//
MlrA_pos	fadB//
MngR_neg	dmsA//frdD//
MntR-Mn2_neg	lacZ//
MntR-Mn2_pos	waaY//
ModE-MoO42-_neg	grxA//lhgO//ubiC//aroG//truB//purN//argB//sucD//
ModE-MoO42-_pos	uxaB//sufS//pncB//citF//paaG//srkA//iscS//ppc//talA//
MprA_neg	pgk//fumC//ribA//
MqsA_neg	atoA//nrdD//
MraZ_neg	bglB//uvrB//bioC//allE//uvrB//nagA//phnI//pheT//sodB//carA//
MurR_neg	purB//uxaB//hmp//
MurR_pos	
Nac_neg	napB//nagB//prpB//
Nac_pos	puuD//pspE//glcD//argD//tehB//sgbU//lsrF//ppiA//
NadR_neg	uxaB//mhpC//fumB//argI//
NagC_neg	prs//gor//zwf//cueO//uvrA//nfsB//sucC//hmp//gnd//astC//recD//carA//ftnA//frdB//rutA//waaY//ppsA//gor//
NagC_pos	psd//glk//
NanR_neg	fau//kbaZ//pyrC//fadM//wzb//sdhC//
NanR_pos	
NarL-Phosphorylated_neg	phnG//uvrA//rpiB//glgB//mltF//fadM//eda//gcvH//epd//dgkA//trpA//nirD//rffH//ychF//moaD//argH//phoA//gatY//tehB//ahpF//mhpD//murQ//dkgA//ldtB//bioF//entB//tauD//srkA//
NarL-Phosphorylated_pos	nanM//uxaC//purM//nrfA//araD//moaC//glgB//xylA//fucI//sufS//purN//melA//gatZ//sgbU//truB//
NarP-Phosphorylated_neg	aldA//puuE//metC//napH//bglB//
NarP-Phosphorylated_pos	pepD//tpiA//pyrC//trpE//paaA//purH//sucA//fadM//argC//sucC//fruK//ssuD//tdcB//deoD//
NemR_neg	garD//trpB//
NhaR-Na_pos	entH//nfsA//alsE//pgaC//phnO//
NikR-Ni2_neg	prs//
NimR_neg	ldtC//
NorR_neg	
NorR_pos	nrdE//
NrdR-Zn2_neg	argA//pdeR//ycjG//sdhA//
NsrR_neg	leuC//pck//amn//recF//araD//purM//araA//hcaB//argF//katE//yeaG//murE//pncB//entA//aroF//rutD//napA//dacC//trpA//gpmA//nrdE//rffG//pspE//aspA//sgbU//pheT//amn//gdhA//accC//ttdB//sdhC//gltB//glpA//pdeR//mhpA//guaA//yiaK//hypB//fadE//polA//
NtrC-Phosphorylated_neg	fucA//wecE//
NtrC-Phosphorylated_pos	dkgA//nemA//mhpB//appA//eda//ycjG//leuB//garK//allC//metK//lysC//fabH//bioA//xapA//gnd//lhgO//sdhB//mhpD//gdhA//ogt//entF//
OmpR-Phosphorylated_neg	hmp//glmS//garL//feaB//nagA//
OmpR-Phosphorylated_pos	sucC//idnO//trpC//astB//
OxyR_neg	fau//rffG//entC//phnP//citF//
OxyR_pos	murE//lsrK//phnP//citE//lsrK//hcaB//kbaY//slt//dgcN//frdC//atoA//paaA//
PaaX_neg	polA//ahpF//sodB//treC//zwf//frc//fadE//trpD//fabZ//
PdeL_pos	hcaE//
PdhR_neg	ynfG//murQ//araA//polA//lsrG//tpiA//gadB//entF//yeaE//alkB//puuE//fadJ//gcl//ada//ascB//nadB//rtcB//yqhD//rhaA//paaZ//icd//tehB//katE//
PdhR_pos	mpl//ulaF//
PepA_neg	purH//sdhA//
PgrR_neg	fdhF//glgX//
PhoB-Phosphorylated_neg	phnO//rffH//mtlD//uvrB//fadB//
PhoB-Phosphorylated_pos	glgX//nrfD//cynT//epd//uvrA//moeA//iscS//cysE//tehB//deoB//prpB//phnI//tynA//dapD//garD//dgcZ//napA//
PhoP-Phosphorylated_neg	cadA//fucK//paaB//
PhoP-Phosphorylated_pos	fabA//ung//sucC//napA//trpE//purE//cysD//cyoE//mhpB//araD//glnA//udp//psd//cyoE//ilvC//gcvT//pdeH//aceE//frdA//glgX//atoD//allD//purE//garK//sucB//frc//frc//trpD//metE//moaC//fabI//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	tdcB//ychF//paaA//mraY//
PspF_neg	
PspF_pos	appA//
PurR-hypoxanthine_neg	alsE//appA//sbcC//pgm//deoC//sucC//aldA//hycC//puuD//mhpD//aroF//dmsB//moeA//moaA//glpB//amn//uidA//cysK//yeaG//fucA//bioF//fbaA//rhaB//deoC//purB//phnN//
PutA_neg	idnD//argD//
PuuR_neg	entC//ynfF//ftsI//fadJ//gcl//pncB//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	dkgA//puuC//tdcE//hycD//aroL//
RcdA_neg	
RcdA_pos	pgaD//
RclR_pos	
RcnR_neg	ftsI//
RcsAB_neg	gcvH//
RcsAB_pos	sdhB//dinB//
RcsB-BglJ_pos	citD//cyoE//
RcsB-Pasp56_neg	sgbH//
RcsB-Pasp56_pos	puuE//puuB//gdhA//
RelB-RelE_neg	citE//
RelB_neg	citD//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	glmS//puuE//phnP//frdD//
Rob_neg	
Rob_pos	accC//deoC//alkA//ilvC//hyi//aldA//pgaC//fumC//gudD//phnL//gltB//lpxA//paaB//metK//gadA//fadD//malY//frdB//ddlB//
RstA-Phosphorylated_neg	umpH//ahpC//
RstA-Phosphorylated_pos	wecB//
RtcR_pos	dmsB//cysK//
RutR_neg	ruvA//lsrG//dhaK//murG//lacZ//entH//rbsK//glcB//argA//gatD//
RutR_pos	entD//
SdiA_neg	
SdiA_pos	
SgrR_neg	fadI//
SgrR_pos	rutD//wzc//
SlyA_neg	
SlyA_pos	astE//ampC//nanK//tdcD//garL//purC//glgX//phnI//moaD//
SoxR_neg	
SoxR_pos	folE//rutB//bioF//paaZ//gadB//caiD//
SoxS_neg	
SoxS_pos	argH//glpK//xylB//luxS//acnA//glgC//gntK//ndh//phnI//sdhA//ada//tyrB//ycjG//phnP//rhaD//tyrA//sufS//cynS//lldD//cysJ//napG//nrdB//fes//fadH//mhpA//hycG//aceE//lyxK//
SrlR_neg	rffG//glgX//fadH//
StpA_neg	rpiB//lacA//galT//
SutR_neg	ldtD//citE//
SutR_pos	
TdcA_pos	uidA//alsE//glgP//fucA//sucB//
TdcR_pos	sufS//truB//hemH//malQ//lpxC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	fabZ//nanK//pspE//asnB//
TorR-TorI_neg	lpxD//
TorR-TorI_pos	
TreR_neg	ldtB//folA//
TrpR-tryptophan_neg	ydcS//purN//srkA//dapB//purN//argA//yedX//araD//rhaD//
TyrR-phenylalanine_neg	carB//aspC//
TyrR-phenylalanine_pos	glpD//
TyrR-tyrosine_neg	murQ//dmsC//gcl//lpxC//polA//hcaE//
TyrR-tyrosine_pos	sbcC//gntK//
TyrR_neg	carB//
TyrR_pos	murQ//
UhpA-Phosphorylated_pos	mhpE//
UidR_neg	glxK//sgbH//
UlaR_neg	murD//wecE//glpC//nirD//deoC//
UvrY-Phosphorylated_pos	fdhF//idnK//
UxuR_neg	cysD//astE//ppiA//betA//aroL//
XapR-xanthosine_pos	ssuE//fucI//
XylR-xylose_neg	
XylR-xylose_pos	patD//rhaD//pgaC//
YdeO_neg	
YdeO_pos	metC//cdd//deoC//
YefM-YoeB_neg	argD//
YefM_neg	cadA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	oxc//fumB//sgbH//fadD//pepD//aroG//
YjjQ_neg	alaC//aspA//
YpdB-Phosphorylated_pos	
YqhC_pos	rbsK//paaJ//
YqjI_neg	metB//
ZntR-Zn2_pos	araA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	bioD//
