# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	rtcA//aroL//
Cra_neg	gcvH//ychF//tdcD//argH//xapA//gcvP//cueO//grxA//bglB//nrdF//nemA//glpK//psd//ddlB//tnaA//garR//wecC//dkgA//cysK//allB//fucA//wzb//nirD//uxuA//nrdA//garD//cysK//gabD//murC//puuA//allB//garR//rhaD//aceE//tdcE//citX//metK//hycF//allD//torA//grxA//pgi//gabD//alaC//glgX//
Cra_pos	tdcB//gadA//gatD//ahpF//murG//hycD//purN//ung//ftnA//argI//glpK//dhaM//nagB//cdd//fes//sbcC//frdA//
CreB-Phosphorylated_neg	trpA//
CreB-Phosphorylated_pos	rutB//
CsgD_neg	rutA//glpK//
CsgD_pos	metA//pspE//ldtB//
CsiR_neg	malP//pdeR//sbcD//purN//
CspA_pos	kbaZ//
CueR-Cu_neg	dsdA//aroH//paaC//
CueR-Cu_pos	atoA//slt//
CusR-Pasp_pos	purH//glxR//torA//hypF//
CynR-cyanate_pos	gor//murF//garK//
CynR_neg	
CysB-O-acetyl-L-serine_neg	phnI//purK//gcvP//
CysB-O-acetyl-L-serine_pos	chbG//rfe//glk//pdeR//sgbH//paaK//fucU//fes//fabG//gabT//aspC//alkA//
CysB_neg	
CysB_pos	polA//paaJ//
CytR_neg	glpX//dmsB//udp//astD//ssuD//argG//accA//trpE//uidA//fadB//
Dan-L-tartrate_pos	dmsB//feaB//
DcuR-Phosphorylated_pos	sdhC//uxuA//paaK//tpiA//
DeoR_neg	gor//leuC//speG//lsrG//argI//paaJ//
DhaR_neg	
DhaR_pos	frdB//
DicA_neg	
DinJ-YafQ_neg	accD//
DnaA-ATP_neg	allA//sucA//lsrF//yqjH//idnD//
DnaA-ATP_pos	hcaB//patA//cadA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	yeaG//napA//ubiC//kbaZ//hemL//
DsdC-D-serine_neg	
DsdC-D-serine_pos	grxA//recF//
EbgR_neg	
EnvR_neg	paaZ//gatD//
EnvY_pos	ulaE//ubiC//
EvgA-Phosphorylated_pos	allE//phnP//cysC//fumB//cynS//tehB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	sgbU//ppsA//dsdA//murC//sgbU//dgcC//
FabR_neg	gpmA//fucO//gudD//
FadR-acyl-CoA_pos	
FadR_neg	speA//fadH//sdhA//paaH//mazG//murI//trpA//ccp//murD//
FadR_pos	fabZ//phnI//nfsB//mazG//ttdA//hyaB//murI//arsC//uxaC//deoA//
FeaR_pos	amn//treC//
FhlA-formate_pos	napA//leuC//ppiA//uvrA//paaI//xylA//bioA//sdhB//
FlhDC_neg	hcaB//purB//
FlhDC_pos	deoD//narG//lsrG//pepD//ppiA//dmsC//tyrA//sdhD//xylA//iscS//fes//argE//
FliZ_neg	lpxA//glpA//glpQ//garD//ulaG//
FucR-L-fuculose-1-P_pos	fes//betB//cysC//narI//glxR//gabT//
Fur-Fe2_neg	nfsA//idnK//xylB//phnL//sbcD//rfe//paaK//cysG//udp//hycG//murD//recB//pepD//ftnA//astB//paaA//yeaE//hyi//murQ//araA//tyrB//rbsK//hcp//moaE//fabH//moaA//pyrC//nirD//nrfC//glcB//lhgO//fabA//pykF//wecE//ybjG//kbaZ//napG//galE//gudD//katE//sbcD//argE//garL//katG//argF//wecB//purE//entF//waaH//fabI//glxK//prpB//ada//
Fur-Fe2_pos	uvrB//slt//tam//ribA//alsE//metE//deoD//rhaB//carB//ulaF//moaC//bacA//betB//gabT//lldD//uxaB//
GadE-RcsB_pos	argA//glyA//fruK//puuA//rtcB//
GadE_pos	dhaK//araA//fumC//sdhB//murG//astA//puuD//pgm//hycE//ruvB//
GadW_neg	rfe//tyrA//araD//
GadW_pos	hycB//gnd//glmU//purF//
GadX_neg	fbaA//deoB//bacA//
GadX_pos	gpmA//waaY//fruK//leuA//sucA//recF//poxB//pck//bioA//paaB//eda//
GalR-beta-D-galactose_neg	nanE//narH//araB//deoA//carA//
GalR-beta-D-galactose_pos	argA//bioA//nrdF//allB//
GalR_neg	rhaB//tdcG//bioC//fucO//accD//citD//
GalR_pos	nrdD//aceB//ulaE//pfkA//
GalS-beta-D-galactose_neg	dsdA//leuD//fucO//trpC//katG//
GalS-beta-D-galactose_pos	umuD//purL//fumB//phnP//
GalS_neg	pyrD//cysE//cadA//recF//glpK//uvrC//
GalS_pos	astD//fumC//fbaA//ybjG//
GatR_neg	cynS//cysK//sdhA//
GcvA_neg	zwf//lysC//dapD//
GcvA_pos	mngB//argC//fadB//
GlcC-glycolate_neg	
GlcC-glycolate_pos	purH//metA//fucK//
GlpR_neg	tam//ruvB//nirB//cysG//cysD//dkgA//entD//
GlrR-Pasp56_pos	
GntR_neg	pck//lyxK//fabD//paaK//trpC//pnp//dgcZ//fabI//puuC//
GutM_pos	iscS//mpl//rutB//
HU_neg	caiB//allD//narG//tdcE//glpQ//adiA//malS//
HU_pos	
HcaR-HCA_pos	metK//fbaB//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	recB//
HigB-HigA_neg	phnP//
HipAB_neg	nfsA//cysE//
HipB_neg	rffT//rfe//ruvA//
HprR-Phosphorylated_neg	mdh//nfsA//
HprR-Phosphorylated_pos	moaE//hemH//
HyfR_pos	nadA//
HypT-Met-oxidized_neg	glcB//cueO//
HypT-Met-oxidized_pos	narI//hyaB//napG//atoB//rhaA//
IclR-pyruvate_neg	ldtB//ychF//speB//
IdnR-5-ketogluconate_neg	ycjG//araA//
IdnR-5-ketogluconate_pos	paaA//appA//caiD//
IlvY-2-acetolactate_pos	leuD//
IlvY_neg	
IscR-2Fe-2S_neg	guaB//lsrK//
IscR_neg	argE//hycD//rutC//glgB//
IscR_pos	yqhD//tdcG//
KdgR_neg	nirB//napH//
KdpE-Phosphorylated_pos	glpK//
LacI_neg	speB//fumC//hyaB//
LeuO_neg	
LeuO_pos	nrfC//ribA//glpA//torA//glyA//fadM//
LexA_neg	cynS//sodB//fbaB//atoA//trpB//aceF//gcvH//lacA//fucU//uvrC//puuC//cysD//ddlB//dmsC//hcaE//puuA//waaH//tktB//eda//rnpB//betA//slt//entB//
LldR-lactate_neg	deoD//ddlB//
LldR-lactate_pos	lpd//ruvB//
LldR_neg	mtlD//dhaM//
LldR_pos	citC//ynfE//
LrhA_neg	
LrhA_pos	
LsrR_neg	dhaK//entF//lyxK//nadB//rtcB//
LysR_neg	
LysR_pos	paaA//
MalI_neg	nrfC//deoA//
MalT-maltotriose-ATP_pos	recB//uvrB//betA//bioB//ygeA//cysN//
MarA_neg	fabA//
MarA_pos	astE//dmsA//ulaD//sdhC//ftnA//dgcN//wzb//aspA//accA//mnmG//ynfG//glpK//pnp//deoB//cysI//entA//umuC//putA//dgkA//uvrA//argG//trpE//fadJ//
MarR_neg	
MatA_neg	uxuA//
MatA_pos	
MazE-MazF_neg	uxuB//
MazE_neg	sodB//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	metE//hcaE//
MelR-melibiose_pos	atoA//epd//
MelR_neg	ilvC//ftsI//
MelR_pos	cysK//narI//
MetJ-adenosylmethionine_neg	tdcB//garD//adhE//rffC//yeaE//hycE//eno//mhpD//dhaL//rhaD//
MetR-L-homocysteine_neg	puuD//
MetR-L-homocysteine_pos	rutE//hcaF//
MetR_pos	frdA//sucC//
MhpR-3HPP_pos	dgkA//uvrC//phnL//rutD//wrbA//hcp//
Mlc_neg	ulaE//puuD//lacZ//srkA//
MlrA_pos	bglB//
MngR_neg	ygeA//glyA//
MntR-Mn2_neg	phnM//
MntR-Mn2_pos	glgC//
ModE-MoO42-_neg	caiC//paaZ//fabA//cueO//gatY//galE//napA//puuD//
ModE-MoO42-_pos	rpiB//wecC//ccp//entC//tehB//cysD//gcvP//napH//glyA//
MprA_neg	glpX//ssuE//asnA//
MqsA_neg	yqjH//cysD//
MraZ_neg	ppiA//tdcB//carA//mazG//wzc//malS//glcD//hcaD//pgaB//xapA//
MurR_neg	cysK//sdhD//uvrA//
MurR_pos	
Nac_neg	ppiA//pgk//bioA//
Nac_pos	mltF//dgcZ//aroH//prpD//fes//fadD//appA//tpiA//
NadR_neg	mpaA//glgA//zwf//cueO//
NagC_neg	prpC//mpaA//idnO//lsrK//uxuB//araD//fbaA//allA//nrfA//fabH//pheT//yedX//hycG//kbaY//rhaA//gloA//murF//aspC//
NagC_pos	citE//metL//
NanR_neg	fucO//xylB//icd//rutA//torC//ldtB//
NanR_pos	
NarL-Phosphorylated_neg	mpl//recF//deoC//cysD//puuB//puuD//sdhB//murC//prpD//hcaB//poxB//lpd//umuD//melA//tnaA//dmsC//tehB//fabD//ccp//gltB//relA//phnN//sucA//bglB//rfe//paaF//epd//cyoE//
NarL-Phosphorylated_pos	ulaG//ldtD//glxR//speG//cysI//torC//prpD//pgk//sdhD//nirD//ung//dinB//napB//entD//galK//
NarP-Phosphorylated_neg	garK//sodA//astB//pgpC//pepD//
NarP-Phosphorylated_pos	sgbH//hycB//lysA//ftnA//deoA//alsE//glxK//pagP//cueO//pykF//ssuD//lpd//narG//bioB//
NemR_neg	puuE//wecB//
NhaR-Na_pos	cadA//ndh//bioF//xylB//metC//
NikR-Ni2_neg	pfkA//
NimR_neg	aldA//
NorR_neg	
NorR_pos	citG//
NrdR-Zn2_neg	sucD//pflB//fadM//alsE//
NsrR_neg	gatY//tehB//moaE//purE//astC//hyaB//uxaB//gor//pdeL//paaY//aceA//tdcB//uxaC//sdhA//rbsK//nrfC//phnJ//wzb//fucI//uvrC//fes//gntK//cysN//sucC//argH//ssuE//ldtB//fadM//pdeL//glxK//ccp//gnd//entA//glpA//fabB//accA//tyrA//hypB//wecB//cynT//
NtrC-Phosphorylated_neg	pykF//argF//
NtrC-Phosphorylated_pos	hycC//nemA//eno//fucO//allE//aceA//rbsK//astC//nanE//tdcE//astB//rffM//sgbU//gnd//hyi//tktB//dgcC//gabT//pgm//prpE//pfkA//
OmpR-Phosphorylated_neg	tdcD//nadA//frdC//ldtD//pgaD//
OmpR-Phosphorylated_pos	yqjH//eda//feaB//aroH//
OxyR_neg	trpA//frc//prpE//deoA//rutD//
OxyR_pos	recF//aspC//frc//bioC//idnO//frdD//poxB//lpxC//accD//ynfE//fes//aceB//
PaaX_neg	tdcB//yiaK//tyrB//araB//caiD//rsmH//fucK//lsrF//cysI//
PdeL_pos	sbcC//
PdhR_neg	dsdA//fadA//allE//fdhF//tauD//ldtB//folE//chbF//glgX//nagA//mngB//eda//phoA//iscS//glpQ//torA//argF//glk//polB//gltD//prpB//ndh//sucD//
PdhR_pos	aceA//cysG//
PepA_neg	cysG//rbsD//
PgrR_neg	garL//rffH//
PhoB-Phosphorylated_neg	citE//tdcD//ppc//glgB//fbaB//
PhoB-Phosphorylated_pos	mazG//uvrC//astB//hcaF//cueO//pgk//glpQ//metB//glgA//prpE//dhaK//rffH//nagA//srkA//fes//aroL//garL//
PhoP-Phosphorylated_neg	ilvC//appA//fucK//
PhoP-Phosphorylated_pos	tynA//dgcZ//lpd//gadB//poxB//tnaA//wecE//polB//ynfH//sdhC//murQ//fabD//rutE//cysE//glpQ//argD//adhE//murQ//gapA//tktB//glgC//epd//pgaB//fabH//ychF//tynA//uxaB//puuB//entH//hcaC//frdC//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	cynT//phoA//glpX//ttdB//
PspF_neg	
PspF_pos	cysD//
PurR-hypoxanthine_neg	rutD//nirD//accA//sgbU//trpE//fadA//pdeR//ssuE//deoC//frdB//chbF//sgbH//purK//trpC//lsrK//moaA//asnB//dinB//rutB//frdC//paaB//nrfA//gatY//caiA//pgaC//glpB//
PutA_neg	sodB//sbcC//
PuuR_neg	iscS//astB//nanA//fucK//allD//ssuE//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	glpC//edd//gcvP//psd//patA//
RcdA_neg	
RcdA_pos	aspA//
RclR_pos	
RcnR_neg	alsE//
RcsAB_neg	rhaD//
RcsAB_pos	sdhB//fadA//
RcsB-BglJ_pos	accA//udp//
RcsB-Pasp56_neg	bglB//
RcsB-Pasp56_pos	trpD//astC//glpC//
RelB-RelE_neg	fadM//
RelB_neg	pfkA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	moaA//rimK//glk//sbcC//
Rob_neg	
Rob_pos	argE//recB//entB//aceA//mhpD//purL//speA//aldA//gltB//rpiB//adiA//gpmA//sdhB//murG//pgk//garL//ydcS//fdhF//argD//
RstA-Phosphorylated_neg	ubiC//pspE//
RstA-Phosphorylated_pos	lysC//
RtcR_pos	paaG//cadA//
RutR_neg	hypB//pck//cysK//dsdA//fucO//glgX//purH//glgC//katG//pgm//
RutR_pos	mdh//
SdiA_neg	
SdiA_pos	
SgrR_neg	idnO//
SgrR_pos	nanE//glmS//
SlyA_neg	
SlyA_pos	ldtB//leuA//ycjG//astA//aspC//ynfE//paaY//glyA//nanA//
SoxR_neg	
SoxR_pos	codA//truB//ubiC//hyaC//chbF//ahpC//
SoxS_neg	
SoxS_pos	mraY//deoB//bioC//nagA//caiA//glk//accA//fabD//speG//sgbE//sdhA//hyaC//uxaA//putA//purA//metK//nirB//frdC//dgcC//xylA//fdhF//rutE//cysH//fucI//katE//nrdA//astD//idnO//
SrlR_neg	napA//aroH//purD//
StpA_neg	glxR//pfkA//phnJ//
SutR_neg	purH//malP//
SutR_pos	
TdcA_pos	paaI//ada//speA//torC//ldtB//
TdcR_pos	uxaB//napH//aceA//glpK//caiC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	ppiA//astD//chbG//pgaD//
TorR-TorI_neg	chbF//
TorR-TorI_pos	
TreR_neg	umpH//mhpF//
TrpR-tryptophan_neg	hycB//ahpF//guaB//purK//aldA//caiA//hcp//citD//wecB//
TyrR-phenylalanine_neg	ulaG//eno//
TyrR-phenylalanine_pos	metB//
TyrR-tyrosine_neg	yeaE//ampC//pdeL//mraY//phnO//ugpQ//
TyrR-tyrosine_pos	glmS//fabZ//
TyrR_neg	grxA//
TyrR_pos	deoA//
UhpA-Phosphorylated_pos	umpH//
UidR_neg	phnL//mhpD//
UlaR_neg	feaB//cysN//entA//rutC//cynT//
UvrY-Phosphorylated_pos	fbaA//fucO//
UxuR_neg	trpA//pgaB//lacA//argH//deoB//
XapR-xanthosine_pos	fadM//puuA//
XylR-xylose_neg	
XylR-xylose_pos	gcvP//oxc//mtlD//
YdeO_neg	
YdeO_pos	tyrA//waaH//purC//
YefM-YoeB_neg	fau//
YefM_neg	sdhC//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	dmsC//yfdE//mhpB//glpK//sdhD//bioC//
YjjQ_neg	ynfE//yiaK//
YpdB-Phosphorylated_pos	
YqhC_pos	lysC//phnL//
YqjI_neg	uxaB//
ZntR-Zn2_pos	cadA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	dgcN//
