# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	astE//iscS//
MprA_neg	trpA//gntK//sucD//
MqsA_neg	fucO//waaY//
MraZ_neg	tdcD//pncB//lpd//dacC//ssuD//ppc//mhpD//glpD//paaA//uxaC//
MurR_neg	rffH//wecB//astC//
MurR_pos	
Nac_neg	lpxC//ribA//purN//
Nac_pos	glgX//dinB//gatY//tauD//pspE//dhaM//pykF//yqhD//
NadR_neg	idnK//katE//dmsC//bioD//
NagC_neg	murE//accA//pgm//argC//dkgB//rsmH//pdeH//lsrG//araD//grxA//glk//betB//malY//purA//mtlD//napB//pyrD//katG//
NagC_pos	caiA//pepD//
NanR_neg	hycC//katE//gor//wzc//idnK//phnI//
NanR_pos	
NarL-Phosphorylated_neg	hemL//polB//rfe//speB//phnH//purM//rffT//nirB//dgcN//luxS//malP//pgaB//rutA//lpxC//pncB//rtcA//pyrD//purN//feaB//phnP//patA//moaD//trpE//ychF//acnB//sdhB//nadA//entD//
NarL-Phosphorylated_pos	hcaF//betA//prs//bioD//entD//pdeL//talA//hemL//glcD//deoB//ndh//sdhA//fabI//nfsA//uxuA//
NarP-Phosphorylated_neg	metB//metH//prpB//glmU//pepD//
NarP-Phosphorylated_pos	pepD//srlD//purH//patD//hcaC//metC//glyA//gcvH//cysG//murE//ynfG//lhgO//rpiB//glk//
NemR_neg	sdhC//ubiA//
NhaR-Na_pos	hyaC//rhaA//murG//torC//rhaA//
NikR-Ni2_neg	tam//
NimR_neg	glcF//
NorR_neg	
NorR_pos	fabA//
NrdR-Zn2_neg	idnO//adiA//bioB//grxA//
NsrR_neg	hyaA//rhaA//pheS//dgcN//ppsA//narH//tynA//glgA//deoC//adhE//tdcD//pyrD//lsrG//alsE//umpH//dgcC//mhpC//ppiA//eno//tehB//phoA//thrS//garL//rhaB//pgaB//wzc//nrdF//frdB//yeaG//guaA//gdhA//waaZ//betB//atoA//moaC//kbaY//truB//puuA//alaS//folA//
NtrC-Phosphorylated_neg	rutB//hycB//
NtrC-Phosphorylated_pos	cysN//pfkA//phnP//metB//glpA//metB//ndh//tdcD//bioD//citD//nrdF//cysH//codA//fdhF//fabZ//moaA//garR//murI//cysC//argC//metC//
OmpR-Phosphorylated_neg	sodA//iscS//trpC//sgbH//idnK//
OmpR-Phosphorylated_pos	fabB//aroL//hyaB//kbaZ//
OxyR_neg	folA//ssuE//sufS//pdeH//nagA//
OxyR_pos	caiB//ldtC//gor//caiA//ftnA//argF//citD//ppsA//ssuD//pgi//betB//pgm//
PaaX_neg	sbcC//hcaF//mpl//glpX//citC//talA//trpC//wecE//gadA//
PdeL_pos	pykF//
PdhR_neg	napB//iscS//hycB//paaY//nrfA//malS//rfe//idnK//nrdB//napH//ycjG//rtcA//pgaC//pyrD//fadA//rutE//dsdA//malY//fadB//sgbE//frdC//fucU//aceF//
PdhR_pos	dapB//pgi//
PepA_neg	garK//recD//
PgrR_neg	moaC//caiB//
PhoB-Phosphorylated_neg	citC//ppc//malY//malZ//gdhA//
PhoB-Phosphorylated_pos	fadH//lpd//pepD//ampC//xylB//ada//mnmG//serA//garR//citD//ndh//fucU//idnK//cysG//malZ//alaS//caiC//
PhoP-Phosphorylated_neg	dsdA//pepD//eno//
PhoP-Phosphorylated_pos	ulaF//dgcN//metC//recB//mraY//idnK//nanA//lpd//tynA//argF//metC//pyrD//allB//ada//gcvT//gpmM//narH//caiB//glgB//poxB//trpC//lsrK//dgcN//phnP//fucI//atoB//hmp//lsrG//carB//lysC//gnd//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	nagA//argB//paaG//citF//
PspF_neg	
PspF_pos	sgbU//
PurR-hypoxanthine_neg	astD//paaH//ung//pdeR//argH//lsrK//napG//hycF//hycG//argD//entA//astC//astC//umuC//asnA//ampC//hycB//murD//epd//glgX//purM//fadI//glpQ//napH//astE//fucI//
PutA_neg	phnL//rutC//
PuuR_neg	aceE//betB//ygeA//codA//mpaA//gcvH//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	mtlD//nagB//ddlB//ulaG//bioB//
RcdA_neg	
RcdA_pos	adhE//
RclR_pos	
RcnR_neg	nanM//
RcsAB_neg	gatY//
RcsAB_pos	cysE//putA//
RcsB-BglJ_pos	torC//ubiC//
RcsB-Pasp56_neg	wecB//
RcsB-Pasp56_pos	nrfA//trpC//sucB//
RelB-RelE_neg	polA//
RelB_neg	fabI//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	purA//folA//prpE//sufS//
Rob_neg	
Rob_pos	bglB//sdhC//appA//chbG//lsrG//moeB//pdeH//sbcC//sucC//atoA//dgcN//ttdB//umpH//dhaK//serA//mnmG//cynT//ttdA//glpQ//
RstA-Phosphorylated_neg	pgaD//alaS//
RstA-Phosphorylated_pos	citC//
RtcR_pos	hcaF//gadA//
RutR_neg	metA//allE//appA//dmsB//sdhD//glcF//glcF//idnK//glxR//ulaE//
RutR_pos	cysG//
SdiA_neg	
SdiA_pos	
SgrR_neg	deoA//
SgrR_pos	purL//galT//
SlyA_neg	
SlyA_pos	ulaE//frdB//uidA//dmsB//mpl//citG//metA//allC//tdcG//
SoxR_neg	
SoxR_pos	purL//prpE//rutC//entC//metH//bacA//
SoxS_neg	
SoxS_pos	hemL//tyrB//astD//argB//alkA//acnB//fabI//fumB//speB//fadJ//purL//srlD//ruvA//cysM//gapA//torA//entA//fes//paaI//ogt//rimK//ssuD//glpK//phoA//fabB//atoA//dhaM//ycjG//
SrlR_neg	dsdA//xapA//ynfG//
StpA_neg	gutQ//citF//tauD//
SutR_neg	fabI//mazG//
SutR_pos	
TdcA_pos	leuC//sodA//glpK//dmsC//argH//
TdcR_pos	waaH//phr//cysD//xylA//phnN//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	murI//grxA//asnB//hyaB//
TorR-TorI_neg	oxc//
TorR-TorI_pos	
TreR_neg	glpD//atoD//
TrpR-tryptophan_neg	astB//glk//ppc//allA//luxS//aroG//metE//polB//appA//
TyrR-phenylalanine_neg	paaH//glgB//
TyrR-phenylalanine_pos	alsE//
TyrR-tyrosine_neg	argH//rutE//phnH//rffM//cynS//argB//
TyrR-tyrosine_pos	argA//lacA//
TyrR_neg	acnA//
TyrR_pos	argI//
UhpA-Phosphorylated_pos	accC//
UidR_neg	edd//phnI//
UlaR_neg	moaC//rutE//astB//sdhB//pgi//
UvrY-Phosphorylated_pos	pck//metK//
UxuR_neg	leuA//dmsB//pck//acnB//glpC//
XapR-xanthosine_pos	fau//ada//
XylR-xylose_neg	
XylR-xylose_pos	pyrD//nrdD//gcvT//
YdeO_neg	
YdeO_pos	kbaY//araB//rimK//
YefM-YoeB_neg	putA//
YefM_neg	folE//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	dsdA//ulaF//fumC//xapA//allA//gcl//
YjjQ_neg	waaH//dsdA//
YpdB-Phosphorylated_pos	
YqhC_pos	chbG//ahpF//
YqjI_neg	xylB//
ZntR-Zn2_pos	accA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	argG//
