# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	yqjH//wzc//
GcvA_neg	moaD//astB//rffG//
GcvA_pos	dinB//purK//idnO//
GlcC-glycolate_neg	
GlcC-glycolate_pos	serA//pspE//glgX//
GlpR_neg	mazG//cysM//tdcE//araA//dhaL//umuC//argG//
GlrR-Pasp56_pos	
GntR_neg	katE//fucA//sucB//rhaB//paaA//metK//entF//metA//dgcN//
GutM_pos	dgcC//astE//lysA//
HU_neg	napB//rutA//fadI//deoD//galE//araA//aspC//
HU_pos	
HcaR-HCA_pos	napA//dmsC//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	treC//
HigB-HigA_neg	rhaA//
HipAB_neg	amn//wzc//
HipB_neg	hycE//ftsI//nrfC//
HprR-Phosphorylated_neg	gltD//guaB//
HprR-Phosphorylated_pos	cynT//purB//
HyfR_pos	betB//
HypT-Met-oxidized_neg	ugpQ//frdD//
HypT-Met-oxidized_pos	trpC//pgaB//purA//fadJ//argB//
IclR-pyruvate_neg	waaZ//phnH//cynS//
IdnR-5-ketogluconate_neg	bioB//entF//
IdnR-5-ketogluconate_pos	hycF//sucA//murC//
IlvY-2-acetolactate_pos	hyi//
IlvY_neg	
IscR-2Fe-2S_neg	grxA//aspA//
IscR_neg	lsrG//caiD//hyaB//uxuA//
IscR_pos	accA//epd//
KdgR_neg	metC//ychF//
KdpE-Phosphorylated_pos	dgcZ//
LacI_neg	gadB//cysJ//lsrF//
LeuO_neg	
LeuO_pos	metA//purL//paaA//glmS//metC//lyxK//
LexA_neg	tnaA//pdeR//dapD//astE//fadA//nirD//ynfH//glnA//narG//fruK//paaE//fadA//napG//rffH//yeaE//sdhC//ttdB//rhaB//ddlB//dhaM//fucA//srlD//glcE//
LldR-lactate_neg	idnD//glcF//
LldR-lactate_pos	chbG//prs//
LldR_neg	kbaY//fabB//
LldR_pos	pdeL//nadA//
LrhA_neg	
LrhA_pos	
LsrR_neg	entA//allD//gpmM//luxS//ynfE//
LysR_neg	
LysR_pos	ssuE//
MalI_neg	umuD//mpl//
MalT-maltotriose-ATP_pos	dgcC//fadM//accC//glyA//allE//dmsA//
MarA_neg	ilvC//
MarA_pos	alsE//acnA//cysK//dhaL//gntK//glxR//gatZ//frdA//pgaD//ppsA//ttdB//hycC//dmsA//ulaF//pgaC//garD//pepD//lpxA//nadA//dhaK//murE//relA//mhpA//
MarR_neg	
MatA_neg	sodA//
MatA_pos	
MazE-MazF_neg	treC//
MazE_neg	purN//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	ccp//fucI//
MelR-melibiose_pos	atoD//asnA//
MelR_neg	rtcA//rhaA//
MelR_pos	hycE//iscS//
MetJ-adenosylmethionine_neg	pheS//katE//grxA//glpD//gltB//idnO//glxR//malQ//mtlD//eda//
MetR-L-homocysteine_neg	guaA//
MetR-L-homocysteine_pos	ahpF//purC//
MetR_pos	argB//glgP//
MhpR-3HPP_pos	allD//folE//nrfD//aceA//prs//aceB//
Mlc_neg	nanM//rbsD//polA//leuC//
MlrA_pos	wecB//
MngR_neg	cysI//alkA//
MntR-Mn2_neg	wrbA//
MntR-Mn2_pos	prs//
ModE-MoO42-_neg	purE//moaD//dmsA//malQ//puuD//amn//citX//ruvB//
ModE-MoO42-_pos	deoB//allC//pck//ybjG//mtlD//prs//cadA//ycjG//paaK//
MprA_neg	ynfG//ppiA//paaG//
MqsA_neg	folA//moaA//
MraZ_neg	mtlD//gntK//rffM//ttdB//aspA//garR//phnN//chbF//sgbH//argB//
MurR_neg	zwf//moaE//pyrC//
MurR_pos	
Nac_neg	araB//torC//lyxK//
Nac_pos	pepD//gpmM//aroH//folE//leuC//phnL//sucA//wecE//
NadR_neg	citE//rutC//argF//ychF//
NagC_neg	hcaF//mpaA//tauD//carB//ftnA//cynS//nfsA//araD//malP//paaZ//nagA//lsrG//yedX//dgkA//fbaB//rimK//oxc//sdhC//
NagC_pos	allD//tam//
NanR_neg	entB//talA//nrfC//cueO//rffT//dgcN//
NanR_pos	
NarL-Phosphorylated_neg	purN//cdd//ttdB//glpD//trpB//cysJ//napB//lpxD//malS//araD//ccp//guaA//puuA//ada//caiB//sucD//pflB//treC//glgX//paaB//nanE//waaZ//rfe//pncB//paaF//dgcN//gadB//gpmA//
NarL-Phosphorylated_pos	pgm//talA//aceE//speA//trpB//ppiA//hemL//murC//gdhA//dacC//ydcS//pgaD//ynfH//aceA//argD//
NarP-Phosphorylated_neg	citC//sbcC//fadA//fucI//nrdD//
NarP-Phosphorylated_pos	garD//hcaB//mnmG//yiaK//dhaK//fadA//aldA//murE//nrdD//pheT//moeB//umuD//bacA//ahpC//
NemR_neg	caiB//fadE//
NhaR-Na_pos	leuA//murD//ldtC//fdhF//phnN//
NikR-Ni2_neg	eno//
NimR_neg	cadA//
NorR_neg	
NorR_pos	mhpC//
NrdR-Zn2_neg	purA//prs//aceA//astD//
NsrR_neg	ahpF//rutB//allB//betA//ddlB//ulaG//tdcG//nrfD//purD//rimK//rbsD//nrdB//aldA//pncB//glgP//relA//moaC//nrdF//nrdE//argF//ulaG//rutA//rutE//argG//tyrB//tdcD//patD//folE//uxaA//bioC//entF//slt//pheS//grxA//puuA//fadA//trpC//yeaG//phnI//nanE//
NtrC-Phosphorylated_neg	glmU//guaB//
NtrC-Phosphorylated_pos	frdB//hcaD//udp//fabA//nrdD//tdcD//deoA//pgaD//yeaE//argI//ppsA//patD//gloA//ada//purM//gltD//fdhF//trpA//uxuB//kbaZ//uxaC//
OmpR-Phosphorylated_neg	carA//dgkA//aceF//aceE//trpD//
OmpR-Phosphorylated_pos	pheT//ugpQ//paaG//idnK//
OxyR_neg	mhpA//moeB//gcvT//nanM//caiD//
OxyR_pos	nfsB//malP//purN//gatY//galM//hemL//aceE//pnp//glgX//glpX//glxK//hcaF//
PaaX_neg	astA//xapA//mnmG//lysC//idnK//allA//ulaG//phnH//araB//
PdeL_pos	puuD//
PdhR_neg	cysC//argF//fumC//tyrA//dsdA//fabG//asnA//pgi//ahpF//cyoE//gltD//gcvH//polB//ftsI//entB//gnd//ubiX//rffC//glcF//ldtB//puuA//dkgA//uxaC//
PdhR_pos	ulaD//cysG//
PepA_neg	fucA//glcF//
PgrR_neg	dapD//chbF//
PhoB-Phosphorylated_neg	sgbE//folE//fucA//tauD//lpxD//
PhoB-Phosphorylated_pos	lldD//dhaK//leuC//wecE//pyrD//polA//frdD//pdeL//ascB//glgX//glxR//aceE//alaS//glgA//glxK//deoB//bacA//
PhoP-Phosphorylated_neg	codA//hycG//luxS//
PhoP-Phosphorylated_pos	malY//nagA//pgpC//puuA//gltD//gudD//mpaA//puuC//aceE//cyoE//yqjH//puuE//prpD//hyaA//trpA//malZ//rpiB//oxc//moaE//nrdB//citC//mazG//gabT//wzc//dacC//nrfA//hcaB//nfsB//sdhB//dhaL//metH//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	prpC//murQ//argG//cyoE//
PspF_neg	
PspF_pos	murD//
PurR-hypoxanthine_neg	glpB//gatZ//tauD//sdhB//ribA//argG//acnB//atoB//tynA//feaB//gcvT//purM//ssuE//glxR//gcvT//bioA//pgaD//citC//uidA//metF//garD//katG//paaH//sodA//pgaC//galM//
PutA_neg	glyA//alaS//
PuuR_neg	fabZ//cynT//caiB//argH//acnB//moaC//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	fbaA//eda//betA//rtcB//uxaA//
RcdA_neg	
RcdA_pos	glyA//
RclR_pos	
RcnR_neg	ulaD//
RcsAB_neg	dhaK//
RcsAB_pos	accC//dgcN//
RcsB-BglJ_pos	gatZ//lpxC//
RcsB-Pasp56_neg	pgk//
RcsB-Pasp56_pos	ung//purM//aceE//
RelB-RelE_neg	thrS//
RelB_neg	zwf//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	moaE//argI//sucC//psd//
Rob_neg	
Rob_pos	kbaZ//pykF//sdhD//zwf//nrfC//ychF//adhE//tadA//citG//zwf//fbaB//ogt//slt//rffT//sbcC//metH//speG//murF//glgB//
RstA-Phosphorylated_neg	narH//pflB//
RstA-Phosphorylated_pos	phnN//
RtcR_pos	pfkA//malY//
RutR_neg	hycE//bioC//uvrC//cyoE//rutC//sgbH//ampC//uxuB//pepD//allA//
RutR_pos	malZ//
SdiA_neg	
SdiA_pos	
SgrR_neg	ahpF//
SgrR_pos	citD//epd//
SlyA_neg	
SlyA_pos	rpiB//allE//leuA//metL//ybjG//speA//tyrA//adiA//entD//
SoxR_neg	
SoxR_pos	bioB//ogt//frdC//uxuA//polB//allA//
SoxS_neg	
SoxS_pos	mltF//ttdA//ulaF//mltF//hemL//narG//paaI//asnB//rffH//umuD//pheS//luxS//rutA//glgA//caiC//purA//entA//paaZ//gnd//tyrB//ruvA//waaY//tdcE//pgaC//dkgB//rfe//araB//pepD//
SrlR_neg	nrfA//cysC//caiC//
StpA_neg	purL//nrdE//fdhF//
SutR_neg	metH//accA//
SutR_pos	
TdcA_pos	argB//tadA//tpiA//mhpC//pheS//
TdcR_pos	ubiX//alkA//citE//hyi//dacC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	idnD//entD//hcaB//glpA//
TorR-TorI_neg	moaD//
TorR-TorI_pos	
TreR_neg	entF//garL//
TrpR-tryptophan_neg	trpA//nrfD//lacA//pgm//argH//bglB//gatY//ahpF//hycC//
TyrR-phenylalanine_neg	hemH//ulaG//
TyrR-phenylalanine_pos	gatZ//
TyrR-tyrosine_neg	udp//nrfC//recF//nrfD//uvrB//dinB//
TyrR-tyrosine_pos	uvrB//tyrA//
TyrR_neg	speB//
TyrR_pos	ttdB//
UhpA-Phosphorylated_pos	deoD//
UidR_neg	mazG//tdcD//
UlaR_neg	pdeL//uxaB//hycD//deoC//purK//
UvrY-Phosphorylated_pos	polB//nanM//
UxuR_neg	prpC//oxc//tdcB//purH//uvrA//
XapR-xanthosine_pos	guaB//trpC//
XylR-xylose_neg	
XylR-xylose_pos	murI//astD//cysC//
YdeO_neg	
YdeO_pos	rutC//nfsB//glpQ//
YefM-YoeB_neg	gcvH//
YefM_neg	folA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	fabI//lsrF//fadB//uxuA//hmp//entC//
YjjQ_neg	speG//paaB//
YpdB-Phosphorylated_pos	
YqhC_pos	fadH//nfsB//
YqjI_neg	cadA//
ZntR-Zn2_pos	pgm//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	lysC//
