# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	trpA//nanK//
CpxR-Phosphorylated_pos	mngB//pdeL//dapB//ppc//allA//putA//gntK//dkgB//rutD//bioF//napA//purF//gloA//ubiA//malY//cysM//fucK//caiC//
Cra_neg	yedX//mpaA//gatY//phnI//uxuA//phnP//narH//phnH//betA//rffT//argG//ynfH//fbaB//entA//alkB//folE//ruvA//sodB//fbaB//sodA//citC//cdd//astE//truB//metE//dgkA//puuA//cysD//alkA//rbsD//nrdB//feaB//malS//phr//carB//napB//amn//paaG//entE//polA//hypF//argA//fabH//atoA//fumB//
Cra_pos	wecB//pepD//puuA//purK//trpA//yeaG//phnN//xylA//uxuB//purL//argB//folE//atoD//leuA//ilvC//uxuA//murE//
CreB-Phosphorylated_neg	cysJ//
CreB-Phosphorylated_pos	hycG//
CsgD_neg	fabZ//serA//
CsgD_pos	nanA//deoA//xylB//
CsiR_neg	gdhA//phnM//hycG//purC//
CspA_pos	uvrC//
CueR-Cu_neg	nadB//idnK//prs//
CueR-Cu_pos	uxaC//rimK//
CusR-Pasp_pos	fabB//pncB//sucC//malZ//
CynR-cyanate_pos	fau//betA//caiD//
CynR_neg	
CysB-O-acetyl-L-serine_neg	yeaE//nrfC//bioC//
CysB-O-acetyl-L-serine_pos	aroF//mhpC//nrdD//moaE//pyrC//carA//bioA//yqjH//citC//murE//trpE//murD//
CysB_neg	
CysB_pos	srkA//melA//
CytR_neg	tdcG//slt//atoD//glgP//bioF//rutA//nfsB//sodB//allE//mhpF//
Dan-L-tartrate_pos	cysI//torA//
DcuR-Phosphorylated_pos	tdcB//yqhD//murG//caiB//
DeoR_neg	moeA//tyrB//aceB//ndh//argI//entH//
DhaR_neg	
DhaR_pos	kbaY//
DicA_neg	
DinJ-YafQ_neg	paaA//
DnaA-ATP_neg	yiaK//polA//tauD//thrS//mhpD//
DnaA-ATP_pos	fabZ//icd//katG//
DpiA-Pasp_neg	
DpiA-Pasp_pos	adiA//xapA//torA//gapA//nfsB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	lysA//entE//
EbgR_neg	
EnvR_neg	paaC//hemH//
EnvY_pos	hycC//talA//
EvgA-Phosphorylated_pos	napG//napG//pck//rhaD//paaJ//citX//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	paaA//argA//tdcD//fucI//astE//glyA//
FabR_neg	rhaD//cysE//glpB//
FadR-acyl-CoA_pos	
FadR_neg	moaE//pgi//pspE//malS//glpX//tdcB//fabA//fumB//ynfG//
FadR_pos	paaZ//phnG//argF//hcaB//hyi//icd//codA//metB//rhaB//murI//
FeaR_pos	pheS//aldA//
FhlA-formate_pos	fadM//hmp//kbaY//arsC//pyrC//glmU//frdD//sucC//
FlhDC_neg	pheS//nirD//
FlhDC_pos	trpC//rhaA//treC//rsmH//trpD//accD//feaB//fadD//murI//paaE//fadB//narH//
FliZ_neg	phnI//nrfC//prpC//recB//moeA//
FucR-L-fuculose-1-P_pos	fucO//nanA//pepD//moaA//rnpB//ccp//
Fur-Fe2_neg	glgB//folE//glcB//aldA//argE//fbaB//glk//hyaA//tktB//acnA//caiB//purN//mhpD//narH//zwf//pgpC//fadE//ada//purD//ugpQ//prpE//cysE//gabD//paaH//garK//ascB//fucU//fdhF//chbG//rutA//paaJ//ampC//leuA//uxaA//hmp//moaA//leuC//argC//ruvB//waaH//wrbA//malY//pdeR//napG//nanE//betB//phnO//sbcC//pheS//garR//purE//trpC//metC//
Fur-Fe2_pos	paaJ//uxaC//alaS//asnA//gcvT//gatD//ugpQ//sucC//hycF//entE//slt//allD//atoA//torC//acnA//sdhC//
GadE-RcsB_pos	purK//ung//ubiC//prpD//rutC//
GadE_pos	ybjG//gabD//garL//nrdF//fabD//adiA//ada//fabG//gcvH//gabD//
GadW_neg	purF//mdh//argH//
GadW_pos	tdcD//frdC//yedX//alaC//
GadX_neg	leuD//lpxC//entE//
GadX_pos	rffG//pgaC//sucD//betB//rsmH//nfsB//allA//hyaB//metB//paaE//iscS//
GalR-beta-D-galactose_neg	idnO//icd//frc//hemL//ugpQ//
GalR-beta-D-galactose_pos	fadE//thrS//cysI//allA//
GalR_neg	alkB//cynS//rpiB//ynfG//lysA//ulaG//
GalR_pos	aspA//fabB//rutA//pgpC//
GalS-beta-D-galactose_neg	tam//gor//araA//pdeL//hyaC//
GalS-beta-D-galactose_pos	phoA//caiC//trpA//tnaA//
GalS_neg	speG//fabD//mtlD//tdcE//glpK//pgm//
GalS_pos	cueO//fadJ//glcE//phnG//
GatR_neg	glnA//nagA//mltF//
GcvA_neg	lpd//purB//phnJ//
GcvA_pos	sucB//glmU//aroH//
GlcC-glycolate_neg	
GlcC-glycolate_pos	sodA//tehB//glk//
GlpR_neg	metF//arsC//ogt//gcl//poxB//hcaC//argI//
GlrR-Pasp56_pos	
GntR_neg	oxc//argI//pheS//sdhB//purE//accC//serA//glcE//nrfC//
GutM_pos	fadB//hyaB//glxR//
HU_neg	tadA//aldA//malZ//deoC//pdeL//moaA//mpaA//
HU_pos	
HcaR-HCA_pos	pgaC//cysG//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	purF//
HigB-HigA_neg	nagA//
HipAB_neg	dgcN//moaE//
HipB_neg	ldtD//yiaK//luxS//
HprR-Phosphorylated_neg	wrbA//yqjH//
HprR-Phosphorylated_pos	tehB//mtlD//
HyfR_pos	alaC//
HypT-Met-oxidized_neg	ogt//hcaD//
HypT-Met-oxidized_pos	aceE//purD//hycB//rhaA//hyaB//
IclR-pyruvate_neg	cyoE//tehB//cysM//
IdnR-5-ketogluconate_neg	gcvP//metF//
IdnR-5-ketogluconate_pos	gabD//uxaA//nagB//
IlvY-2-acetolactate_pos	accA//
IlvY_neg	
IscR-2Fe-2S_neg	lacA//ybjG//
IscR_neg	sbcC//fabG//fumC//oxc//
IscR_pos	recB//mpl//
KdgR_neg	patA//lacA//
KdpE-Phosphorylated_pos	appA//
LacI_neg	caiC//paaI//purA//
LeuO_neg	
LeuO_pos	lacZ//fadJ//citF//tam//rsmH//tdcG//
LexA_neg	glxK//cysJ//speG//ychF//hycF//murI//dgcZ//wrbA//yedX//pflB//mhpF//waaY//pgm//gabD//glcF//argD//frc//nanE//frdD//gudD//speA//ldtD//alkA//
LldR-lactate_neg	rtcA//gdhA//
LldR-lactate_pos	allB//trpE//
LldR_neg	pdeR//paaE//
LldR_pos	rbsD//accA//
LrhA_neg	
LrhA_pos	
LsrR_neg	paaC//phnL//nrdD//uxaB//putA//
LysR_neg	
LysR_pos	feaB//
MalI_neg	yiaK//carA//
MalT-maltotriose-ATP_pos	patD//lsrF//alkB//udp//dapB//pyrC//
MarA_neg	glcB//
MarA_pos	uxaB//dmsB//glpX//bacA//fau//mazG//hyaA//wrbA//astB//uvrA//idnO//ssuE//murI//sdhC//puuB//phnP//prs//gltB//prpE//tadA//murI//paaH//lacZ//
MarR_neg	
MatA_neg	recB//
MatA_pos	
MazE-MazF_neg	nagA//
MazE_neg	phnN//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	citF//recF//
MelR-melibiose_pos	garD//nagA//
MelR_neg	gltB//talA//
MelR_pos	aroF//dkgA//
MetJ-adenosylmethionine_neg	argG//argB//cysI//hycF//rutE//fabA//udp//cadA//gcvP//uxaB//
MetR-L-homocysteine_neg	purD//
MetR-L-homocysteine_pos	pgpC//citC//
MetR_pos	phnG//glcB//
MhpR-3HPP_pos	ppiA//aroG//icd//fucI//garL//glgP//
Mlc_neg	puuA//gabD//frdA//gapA//
MlrA_pos	pdeR//
MngR_neg	alkA//pdeR//
MntR-Mn2_neg	xylB//
MntR-Mn2_pos	paaA//
ModE-MoO42-_neg	paaA//fucO//pncB//argD//sucD//edd//mpaA//allC//
ModE-MoO42-_pos	gloA//bioB//rimK//lpxD//hycC//hycE//uidA//phnJ//putA//
MprA_neg	rffM//ychF//recD//
MqsA_neg	puuA//chbF//
MraZ_neg	wzc//garR//ndh//mhpA//ldtB//accC//sdhB//purM//nanK//dhaM//
MurR_neg	uxaC//gpmA//dhaK//
MurR_pos	
Nac_neg	purB//dhaL//chbG//
Nac_pos	cysM//ldtC//lyxK//dinB//hcp//sgbH//paaA//fabG//
NadR_neg	glpA//srkA//gloA//wecB//
NagC_neg	gcl//slt//metE//deoA//galE//argH//glpX//moaD//glpK//rutB//glcB//fbaA//idnK//yiaK//ldtD//waaZ//lsrF//arsC//
NagC_pos	aceE//alaC//
NanR_neg	uxuB//pspE//patA//pflB//aspC//puuE//
NanR_pos	
NarL-Phosphorylated_neg	melA//ycjG//ahpF//moeB//frc//metH//murD//trpA//atoD//purA//prs//ascB//glnA//rpiB//ycjG//murI//rpiB//wrbA//entF//recB//garL//nanA//mpl//ada//glgA//purH//purL//pgm//
NarL-Phosphorylated_pos	rutA//glpQ//rbsD//hemL//ftnA//nagB//fucO//ugpQ//amn//lpxD//mdh//gatD//purH//hycC//hcaB//
NarP-Phosphorylated_neg	alaS//hyaA//xapA//lysC//serA//
NarP-Phosphorylated_pos	dgkA//ugpQ//alaC//puuB//cysE//napG//idnK//sufS//glpX//ynfE//prpB//dgkA//puuC//narI//
NemR_neg	katG//moaE//
NhaR-Na_pos	hyaB//pspE//wzb//zwf//lsrK//
NikR-Ni2_neg	aroL//
NimR_neg	dhaK//
NorR_neg	
NorR_pos	bioB//
NrdR-Zn2_neg	phnH//nrfA//entF//uxaB//
NsrR_neg	tdcE//glpX//lldD//lysC//dkgA//ynfH//eno//rffM//prs//astA//nirB//hcaD//prpC//frdB//ddlB//rfe//nirD//entA//uxuB//moeB//phnJ//sodA//rffM//purH//bioA//nemA//glgX//srkA//prpD//ubiC//murF//ddlB//cysN//patA//mraY//accA//kbaY//araA//gadB//ppiA//
NtrC-Phosphorylated_neg	metC//fucU//
NtrC-Phosphorylated_pos	leuC//hcaC//alkB//lyxK//gcvT//frc//bioF//purD//narG//narH//glxR//recD//rffT//tnaA//fucO//purE//citF//ilvC//pnp//ccp//ribA//
OmpR-Phosphorylated_neg	murE//glk//ttdB//dmsA//yfdE//
OmpR-Phosphorylated_pos	purK//argC//puuE//citX//
OxyR_neg	hycE//bglB//lyxK//moaA//glgP//
OxyR_pos	pnp//napG//nrfD//rhaB//citF//sodA//umuC//ychF//adhE//alkA//entE//ldtC//
PaaX_neg	recF//fabH//mhpD//hemL//hyaC//gpmA//mtlD//dmsA//nagA//
PdeL_pos	ydcS//
PdhR_neg	atoD//lhgO//hypB//rfe//tam//cysJ//alaC//umuD//eno//tam//sgbU//fucO//lysC//thrS//fabB//tyrA//asnA//purD//ugpQ//fumB//galT//pgaC//malP//
PdhR_pos	frdC//nrdB//
PepA_neg	pspE//pdeR//
PgrR_neg	fumB//narG//
PhoB-Phosphorylated_neg	dacC//narH//hcp//acnB//rfe//
PhoB-Phosphorylated_pos	cynS//paaH//ugpQ//waaY//purA//uvrC//mhpA//dmsA//lsrK//carB//hyaB//psd//phnP//pyrC//murG//umpH//glpA//
PhoP-Phosphorylated_neg	ilvC//nrdE//fabG//
PhoP-Phosphorylated_pos	pgi//glyA//accD//xylB//entH//nanE//nadB//paaG//fes//gapA//glpQ//alkB//glpX//cysM//idnO//dmsC//caiD//chbG//aspA//sbcD//lsrK//ulaG//epd//fucI//putA//gcvT//nrdF//ydcS//pepD//citX//prpB//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	recF//fumC//amn//kbaY//
PspF_neg	
PspF_pos	pgaB//
PurR-hypoxanthine_neg	gloA//mltF//gudD//fadD//caiA//hcaF//astE//hcaC//epd//fabA//poxB//rtcB//ascB//argI//ubiA//mraY//gabT//sdhA//pyrC//aroL//argC//rffM//lyxK//uvrB//sucB//icd//
PutA_neg	uxaA//galE//
PuuR_neg	cysJ//fabA//hyaA//pncB//glgX//sdhC//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	caiD//tauD//zwf//purF//uxuA//
RcdA_neg	
RcdA_pos	allA//
RclR_pos	
RcnR_neg	mhpF//
RcsAB_neg	cysG//
RcsAB_pos	glxR//idnD//
RcsB-BglJ_pos	hyaC//recB//
RcsB-Pasp56_neg	wzc//
RcsB-Pasp56_pos	caiA//entD//caiA//
RelB-RelE_neg	hycG//
RelB_neg	eda//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	puuA//tdcE//ppc//mhpF//
Rob_neg	
Rob_pos	alaC//speB//garK//uvrA//sbcD//purM//purH//feaB//dmsA//gltD//allA//fabA//oxc//prpD//rimK//lysC//malQ//yeaG//araB//
RstA-Phosphorylated_neg	xylA//nirB//
RstA-Phosphorylated_pos	uvrB//
RtcR_pos	tpiA//rffT//
RutR_neg	astB//uxuB//glgB//wzc//hyaA//metA//lysC//torC//ynfF//folE//
RutR_pos	cysE//
SdiA_neg	
SdiA_pos	
SgrR_neg	bglB//
SgrR_pos	katE//cynS//
SlyA_neg	
SlyA_pos	pfkA//prpB//glpA//udp//bacA//chbG//ulaD//bacA//trpD//
SoxR_neg	
SoxR_pos	eno//napA//puuE//entH//ldtD//alsE//
SoxS_neg	
SoxS_pos	sbcD//allC//ampC//ynfH//deoB//nrfD//pyrC//garL//sdhB//hcaE//idnD//lsrF//ulaG//sucB//alkA//melA//paaZ//dgkA//dhaK//fabH//malY//ynfE//galM//ada//gatZ//zwf//waaZ//murE//
SrlR_neg	pflB//ubiA//metB//
StpA_neg	gdhA//torC//rffT//
SutR_neg	cysJ//frdA//
SutR_pos	
TdcA_pos	uvrB//aspC//ddlB//dmsC//sgbH//
TdcR_pos	puuD//napH//chbF//nanA//umuC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	rtcB//glpQ//rhaA//asnB//
TorR-TorI_neg	deoC//
TorR-TorI_pos	
TreR_neg	fdhF//nemA//
TrpR-tryptophan_neg	glxR//allA//uvrA//nagA//recD//gntK//fucA//ftnA//purE//
TyrR-phenylalanine_neg	rhaB//citD//
TyrR-phenylalanine_pos	murC//
TyrR-tyrosine_neg	uxaB//araB//wecC//yiaK//ruvA//aroH//
TyrR-tyrosine_pos	ribA//paaZ//
TyrR_neg	mpaA//
TyrR_pos	pyrC//
UhpA-Phosphorylated_pos	citC//
UidR_neg	sodB//garK//
UlaR_neg	lsrG//ahpF//frdD//argA//ogt//
UvrY-Phosphorylated_pos	uxuB//folA//
UxuR_neg	prs//ogt//tpiA//ugpQ//mdh//
XapR-xanthosine_pos	gloA//uxaB//
XylR-xylose_neg	
XylR-xylose_pos	allA//nanA//gutQ//
YdeO_neg	
YdeO_pos	sodA//hcaC//purC//
YefM-YoeB_neg	icd//
YefM_neg	aspA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	carB//pflB//mltF//ulaE//gltD//acnB//
YjjQ_neg	purK//truB//
YpdB-Phosphorylated_pos	
YqhC_pos	rtcB//cynT//
YqjI_neg	phnN//
ZntR-Zn2_pos	gntK//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	hemL//
