# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	hyaC//paaI//
CdaR_pos	lacA//uxaC//citF//sdhD//glmU//nanE//deoD//cyoE//fumB//
CecR_neg	hcp//
ChbR-N-monoacetylchitobiose6-phosphate_neg	purK//malQ//tdcG//
ChbR-N-monoacetylchitobiose6-phosphate_pos	bioA//moaE//codA//
ChbR_neg	argA//rhaD//uvrC//
ChbR_pos	ndh//icd//lhgO//
ComR_neg	
CpxR-Phosphorylated_neg	galE//aspA//srlD//
CpxR-Phosphorylated_pos	gabT//rfe//metL//grxA//tehB//nadB//katG//pgaC//gnd//tauD//luxS//aroH//hmp//galE//garK//mltF//gpmM//dgcN//
Cra_neg	dmsC//uxuA//allB//pgaC//fruK//ulaE//yqhD//gntK//prpC//argB//aroG//metL//allC//entF//melA//puuB//hcaF//sdhB//alkA//nanK//galM//pyrD//hycD//citF//lysA//adiA//malP//metL//rffC//cysE//fadA//sgbE//wecE//ulaD//pagP//citG//adhE//yeaE//mhpE//pncB//paaG//metC//fruK//fadB//nrdD//
Cra_pos	nrdA//phoA//glpD//rutB//alkB//fabZ//ttdA//adhE//ubiC//pgi//luxS//metL//gabT//pgaC//lpd//idnO//gabT//
CreB-Phosphorylated_neg	bioB//
CreB-Phosphorylated_pos	astC//
CsgD_neg	uxuA//recD//
CsgD_pos	malY//sgbH//speA//
CsiR_neg	citC//glpB//argD//cyoE//
CspA_pos	metK//
CueR-Cu_neg	putA//katE//malP//
CueR-Cu_pos	uvrA//cyoE//
CusR-Pasp_pos	allA//gabT//dkgA//metF//
CynR-cyanate_pos	paaG//atoA//glgX//
CynR_neg	
CysB-O-acetyl-L-serine_neg	dmsC//srlD//hcaC//
CysB-O-acetyl-L-serine_pos	tyrB//allE//recB//purC//metF//tyrA//hycE//dhaM//recB//fabD//deoD//aceA//
CysB_neg	
CysB_pos	uvrB//gadA//
CytR_neg	dmsB//murC//malZ//napB//glpA//accA//yqjH//nirB//nagB//ynfE//
Dan-L-tartrate_pos	pgk//ogt//
DcuR-Phosphorylated_pos	icd//bioA//trpC//mpaA//
DeoR_neg	ulaF//metF//ttdA//folE//hcaD//gadB//
DhaR_neg	
DhaR_pos	citX//
DicA_neg	
DinJ-YafQ_neg	hmp//
DnaA-ATP_neg	garR//ulaD//phoA//galK//phnJ//
DnaA-ATP_pos	umuC//allA//uxaA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	entC//deoD//dkgA//metF//bioB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	umuC//ulaG//
EbgR_neg	
EnvR_neg	caiD//cdd//
EnvY_pos	fruK//caiC//
EvgA-Phosphorylated_pos	metE//rutB//acnA//ldtB//hcaC//mraY//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	tynA//dmsA//torA//pfkA//icd//paaA//
FabR_neg	dgkA//napA//cadA//
FadR-acyl-CoA_pos	
FadR_neg	sucA//murF//ttdA//frdA//tdcE//argG//srlD//fabI//citE//
FadR_pos	paaB//frc//puuC//allE//dhaL//ttdA//hycD//paaK//pepD//gpmM//
FeaR_pos	nrdB//fbaB//
FhlA-formate_pos	fadH//wzb//polA//citX//ldtB//frc//nfsB//ppc//
FlhDC_neg	acnA//aspC//
FlhDC_pos	bioC//nemA//pgk//tynA//waaZ//alaS//kbaY//ung//truB//mhpA//fucU//appA//
FliZ_neg	cynT//tauD//ynfH//murF//fabB//
FucR-L-fuculose-1-P_pos	nanA//uxaA//phnL//recB//malQ//tam//
Fur-Fe2_neg	glpC//phnO//ldtD//ahpC//adiA//pncB//nrdD//hycD//gadA//astB//metH//sgbH//metL//zwf//allC//betA//cysC//napG//cysK//fadD//srlD//dinB//uxaB//glgX//adhE//hyaC//ascB//malS//hcp//ynfF//gapA//moaD//frdD//gloA//fabH//phnM//pdeH//argH//sucC//deoA//puuE//dhaM//glnA//gltD//argA//feaB//fruK//nrfD//fau//fes//aroL//waaY//polB//
Fur-Fe2_pos	fabI//glcD//garR//glmS//pncB//entE//paaZ//lpxA//ubiA//cueO//ssuE//umuC//entA//purF//lacA//argD//
GadE-RcsB_pos	purB//chbG//hcp//folE//dhaK//
GadE_pos	aroF//phnH//fadE//umuC//purA//trpD//cysC//gltD//phnN//lhgO//
GadW_neg	metC//fdhF//caiC//
GadW_pos	ftsI//patA//narI//gltB//
GadX_neg	aroG//epd//alsE//
GadX_pos	lyxK//trpA//ydcS//fabI//cysC//pgk//rutE//malZ//accC//metC//metF//
GalR-beta-D-galactose_neg	ycjG//bioC//deoD//pgaC//xylB//
GalR-beta-D-galactose_pos	yeaG//umpH//entB//nadB//
GalR_neg	nrdA//lsrF//ilvC//ung//cynS//uxaC//
GalR_pos	fucI//patA//sucD//argC//
GalS-beta-D-galactose_neg	hyaA//citF//garD//lyxK//folA//
GalS-beta-D-galactose_pos	pflB//glsA//folE//sbcD//
GalS_neg	nrdB//glgX//fabG//nrdE//hycC//nirD//
GalS_pos	sdhB//deoB//phoA//gltD//
GatR_neg	aceF//phoA//gatZ//
GcvA_neg	ybjG//ubiA//fabH//
GcvA_pos	atoD//glmS//sgbE//
GlcC-glycolate_neg	
GlcC-glycolate_pos	hcaF//gntK//lpxD//
GlpR_neg	purC//ynfE//lpxC//ssuE//fau//murE//ppiA//
GlrR-Pasp56_pos	
GntR_neg	frdA//aroG//rutA//tnaA//tyrA//uvrC//cysM//glsA//fadM//
GutM_pos	accC//hcaF//uxaC//
HU_neg	glyA//nanA//murI//ubiC//glxK//purA//truB//
HU_pos	
HcaR-HCA_pos	epd//paaB//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	atoA//
HigB-HigA_neg	treC//
HipAB_neg	bacA//wecB//
HipB_neg	aceA//lacA//phnO//
HprR-Phosphorylated_neg	idnO//ttdB//
HprR-Phosphorylated_pos	torC//argG//
HyfR_pos	moeA//
HypT-Met-oxidized_neg	mngB//fbaB//
HypT-Met-oxidized_pos	gcvH//fucK//atoD//mpaA//pncB//
IclR-pyruvate_neg	gdhA//cysC//puuC//
IdnR-5-ketogluconate_neg	pgk//garR//
IdnR-5-ketogluconate_pos	deoC//hyaA//citE//
IlvY-2-acetolactate_pos	fabD//
IlvY_neg	
IscR-2Fe-2S_neg	dgkA//sdhB//
IscR_neg	cysD//iscS//murI//phnL//
IscR_pos	adhE//rtcA//
KdgR_neg	tdcB//alkA//
KdpE-Phosphorylated_pos	glsA//
LacI_neg	murQ//napG//glgP//
LeuO_neg	
LeuO_pos	serA//fabZ//fabZ//gatY//cynS//pck//
LexA_neg	hycF//ynfE//sgbE//gdhA//frdC//glcF//adhE//pflB//mhpF//tyrB//fucI//ampC//puuB//aspC//ada//phnI//sucB//lpxD//rutA//aroF//purN//argB//pck//
LldR-lactate_neg	tnaA//hcaE//
LldR-lactate_pos	argC//cysG//
LldR_neg	moaD//citD//
LldR_pos	rffG//fbaA//
LrhA_neg	
LrhA_pos	
LsrR_neg	fucA//fadE//icd//glgB//dmsC//
LysR_neg	
LysR_pos	eda//
MalI_neg	rhaD//metL//
MalT-maltotriose-ATP_pos	rnpB//rnpB//pdeH//fes//entA//fes//
MarA_neg	sodB//
MarA_pos	cysJ//folE//paaY//mhpC//rffT//allA//allE//lpd//hemL//pspE//galM//oxc//dacC//hycD//glgP//atoD//folE//gntK//glxR//hcaC//fau//ruvB//hcaD//
MarR_neg	
MatA_neg	srlD//
MatA_pos	
MazE-MazF_neg	rbsD//
MazE_neg	lsrF//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	dsdA//asnA//
MelR-melibiose_pos	moaE//cysH//
MelR_neg	fucK//aceF//
MelR_pos	ldtB//ydcS//
MetJ-adenosylmethionine_neg	allE//allB//sdhC//pgaD//paaJ//uxaA//tadA//lacZ//nemA//sgbE//
MetR-L-homocysteine_neg	frc//
MetR-L-homocysteine_pos	pspE//phnL//
MetR_pos	folE//fucK//
MhpR-3HPP_pos	treC//pspE//ssuE//fadH//ahpF//pfkA//
Mlc_neg	pfkA//paaZ//chbG//hypF//
MlrA_pos	hemH//
MngR_neg	fau//nagB//
MntR-Mn2_neg	caiA//
MntR-Mn2_pos	paaY//
ModE-MoO42-_neg	fucO//cysC//ssuE//ogt//garR//caiD//ulaF//sucD//
ModE-MoO42-_pos	caiB//hemL//fadH//leuD//waaZ//nagB//acnB//fadJ//rbsK//
MprA_neg	ahpF//dinB//rhaD//
MqsA_neg	rtcB//nfsB//
MraZ_neg	sgbH//rutA//pgk//srlD//kbaZ//sdhB//rbsD//ulaE//mnmG//paaA//
MurR_neg	allE//allB//puuE//
MurR_pos	
Nac_neg	glmU//trpE//ppsA//
Nac_pos	cueO//lhgO//tyrA//phoA//luxS//idnK//araB//entA//
NadR_neg	waaZ//udp//argB//putA//
NagC_neg	deoA//ilvC//glmU//nanE//uvrC//tdcE//rhaB//yedX//nirD//gloA//ogt//tyrA//aroL//nemA//gutQ//gpmM//cynS//cyoE//
NagC_pos	pgi//gabD//
NanR_neg	phnN//sbcD//gapA//argI//dgkA//rffH//
NanR_pos	
NarL-Phosphorylated_neg	cysK//nirB//ruvB//srlD//ldtC//glgA//gloA//torC//nrdF//alsE//pfkA//dapB//mpl//amn//metK//mltF//uvrA//patA//tdcE//rimK//ulaF//prpD//gntK//dapB//fbaB//pfkA//murQ//phr//
NarL-Phosphorylated_pos	nanA//purB//deoD//nirB//ruvA//mpaA//mpaA//tdcB//alkA//dhaL//cadA//sdhD//cysI//aroH//nfsA//
NarP-Phosphorylated_neg	ampC//amn//fumC//ssuE//prpE//
NarP-Phosphorylated_pos	entA//citD//hcp//fucK//fabD//glgP//yeaE//glcD//gntK//glpA//ascB//pykF//gnd//sucA//
NemR_neg	argB//moeB//
NhaR-Na_pos	rutC//fadD//paaF//rhaB//argB//
NikR-Ni2_neg	uxuB//
NimR_neg	glpK//
NorR_neg	
NorR_pos	rutC//
NrdR-Zn2_neg	ulaD//xylA//lysA//fabB//
NsrR_neg	glk//dgcC//rutD//murG//glsA//phnI//alaS//nanM//malQ//sucC//nanE//mpaA//cyoE//argA//acnA//patD//purL//ldtB//napA//thrS//ygeA//pheS//mhpA//gntK//fbaB//accD//rutD//mhpA//ldtD//fau//glnA//carB//ftnA//glcE//alkA//pfkA//speG//hmp//gdhA//metA//
NtrC-Phosphorylated_neg	fabD//glcF//
NtrC-Phosphorylated_pos	mdh//alkA//ung//talA//hyi//yqhD//lacZ//phnN//bioC//yiaK//tehB//paaZ//leuC//phnO//gutQ//hcaF//gatZ//nrdB//dkgB//rnpB//nrfA//
OmpR-Phosphorylated_neg	wecE//cdd//nfsB//cysC//lacA//
OmpR-Phosphorylated_pos	metC//dinB//deoC//pdeL//
OxyR_neg	sgbU//bioB//sufS//paaZ//deoA//
OxyR_pos	moeB//hypF//dgcN//rhaD//alaC//dhaK//deoA//mraY//pheT//bacA//ybjG//lhgO//
PaaX_neg	alkA//poxB//uvrB//nanA//metH//pgi//edd//purE//rhaA//
PdeL_pos	hypF//
PdhR_neg	cysI//hcp//frdD//carA//ppc//metL//paaB//glgA//speA//fadM//tam//putA//murI//puuD//ppc//sucD//nagB//cysM//citX//rtcB//moeA//hypF//cysH//
PdhR_pos	dkgA//puuC//
PepA_neg	ybjG//dapB//
PgrR_neg	puuD//rhaA//
PhoB-Phosphorylated_neg	purN//prpD//ascB//hmp//rbsK//
PhoB-Phosphorylated_pos	sgbE//metE//ruvB//puuE//citF//uidA//lpxD//rhaB//xylB//yiaK//nanK//caiA//puuC//nemA//fadA//ahpF//fucA//
PhoP-Phosphorylated_neg	slt//rutC//aroL//
PhoP-Phosphorylated_pos	fadI//aspC//fumB//ahpF//nanA//mhpF//ahpF//gatY//rpiB//glpD//sucD//puuC//hcaD//putA//cueO//tdcB//lysA//gapA//gnd//betA//malS//aldA//malQ//mraY//dhaL//glxK//malQ//gor//argA//alaC//entA//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	trpC//aceE//narG//rsmH//
PspF_neg	
PspF_pos	garK//
PurR-hypoxanthine_neg	gltB//deoA//tdcG//serA//purK//relA//murD//moaE//fdhF//allA//fadI//lpxA//lyxK//atoA//sucC//murG//ftnA//rimK//sdhC//pck//argE//metE//prpB//paaY//recD//glpA//
PutA_neg	rutA//ampC//
PuuR_neg	hypF//entB//rhaD//tdcB//fucK//paaJ//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	fucO//puuD//galT//gpmM//cysJ//
RcdA_neg	
RcdA_pos	murE//
RclR_pos	
RcnR_neg	dsdA//
RcsAB_neg	hyaB//
RcsAB_pos	gadA//fadJ//
RcsB-BglJ_pos	cysN//ftsI//
RcsB-Pasp56_neg	hycG//
RcsB-Pasp56_pos	bioA//cysE//gloA//
RelB-RelE_neg	paaA//
RelB_neg	frdA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	lldD//garD//araA//tyrB//
Rob_neg	
Rob_pos	lsrK//mpaA//hycF//mhpA//gpmM//napH//hypB//cadA//mraY//glpK//entA//napG//murD//purA//astC//glmU//accA//luxS//lacA//
RstA-Phosphorylated_neg	chbG//murD//
RstA-Phosphorylated_pos	acnB//
RtcR_pos	ppsA//napB//
RutR_neg	fbaB//adhE//gcl//mazG//carA//sdhD//wzc//galE//tehB//fucO//
RutR_pos	dacC//
SdiA_neg	
SdiA_pos	
SgrR_neg	fucI//
SgrR_pos	nrdD//caiA//
SlyA_neg	
SlyA_pos	wecE//glyA//nrfA//allD//bioC//tpiA//paaY//prpD//oxc//
SoxR_neg	
SoxR_pos	argC//sbcD//bioD//lpxD//tynA//metB//
SoxS_neg	
SoxS_pos	sgbE//idnD//hycC//tyrA//dgcZ//fumC//hypB//hycE//ynfE//hyaA//torC//pgi//speB//glpK//nanA//mpl//malY//argG//rutC//gcvP//acnA//argC//lyxK//araA//pgaB//phnG//gudD//umpH//
SrlR_neg	hyi//aceF//dhaM//
StpA_neg	gatD//uxuA//nanE//
SutR_neg	allD//yfdE//
SutR_pos	
TdcA_pos	nanA//dhaM//alkA//ybjG//dmsC//
TdcR_pos	cysE//uvrA//nagA//tktB//ssuE//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	puuC//speA//nagB//asnB//
TorR-TorI_neg	dmsC//
TorR-TorI_pos	
TreR_neg	rbsK//dkgA//
TrpR-tryptophan_neg	aceF//lacZ//gutQ//sufS//hyaC//mpaA//prpB//fumC//ygeA//
TyrR-phenylalanine_neg	purE//puuE//
TyrR-phenylalanine_pos	accC//
TyrR-tyrosine_neg	gltB//allD//leuB//ubiX//metL//glmS//
TyrR-tyrosine_pos	ddlB//allB//
TyrR_neg	srkA//
TyrR_pos	wrbA//
UhpA-Phosphorylated_pos	cyoE//
UidR_neg	aceF//phoA//
UlaR_neg	bioB//sucD//thrS//trpD//glcD//
UvrY-Phosphorylated_pos	accD//sdhA//
UxuR_neg	phnJ//rnpB//nemA//eda//fadH//
XapR-xanthosine_pos	fadE//glxK//
XylR-xylose_neg	
XylR-xylose_pos	dmsA//glgA//alaC//
YdeO_neg	
YdeO_pos	rtcB//ruvB//ldtD//
YefM-YoeB_neg	hcaB//
YefM_neg	ftsI//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	gutQ//fadB//moaD//ppc//trpA//malQ//
YjjQ_neg	glcB//serA//
YpdB-Phosphorylated_pos	
YqhC_pos	glcE//ldtC//
YqjI_neg	malZ//
ZntR-Zn2_pos	lsrK//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	trpB//
