# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ahpF//carB//
DpiA-Pasp_pos	paaA//udp//mdh//atoD//pyrD//
DsdC-D-serine_neg	
DsdC-D-serine_pos	idnK//fadA//
EbgR_neg	
EnvR_neg	entD//pyrD//
EnvY_pos	hcaE//sgbH//
EvgA-Phosphorylated_pos	entF//glcB//dhaM//citC//waaY//ubiA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	malP//hyaA//metB//gutQ//mtlD//gor//
FabR_neg	nrdF//nagA//prpC//
FadR-acyl-CoA_pos	
FadR_neg	dhaK//tehB//ldtB//mhpF//garL//paaC//glxR//torA//xapA//
FadR_pos	umpH//ilvC//glyA//metF//phnO//betA//gcvH//tauD//nrdF//lpd//
FeaR_pos	wzb//fabI//
FhlA-formate_pos	fabI//nrfD//allA//alaS//ubiX//iscS//nfsA//polB//
FlhDC_neg	rbsK//ldtD//
FlhDC_pos	nrdF//glpX//bioF//fau//napH//serA//astE//murD//dapD//idnO//hcp//luxS//
FliZ_neg	napH//tpiA//glpB//puuA//speB//
FucR-L-fuculose-1-P_pos	fbaA//malZ//napG//narG//glpK//lpd//
Fur-Fe2_neg	pnp//dmsB//purE//aspC//iscS//phnM//fes//tdcE//ndh//purD//cysE//narI//gatD//sgbE//ppsA//dmsB//dgcZ//pepD//ychF//alsE//alsE//pgk//luxS//rhaB//ppsA//ulaE//fau//paaI//argD//hmp//pdeL//ulaG//mraY//frdC//glgP//tam//pgk//bioB//bioB//fbaB//fabI//uvrC//fabB//glcB//leuB//mraY//entD//ycjG//gntK//ung//ugpQ//glpA//accD//
Fur-Fe2_pos	dacC//trpC//hmp//pck//mhpF//betB//dkgB//aceF//fadI//leuC//fabI//glgB//sgbU//gudD//ssuD//cysI//
GadE-RcsB_pos	frc//moaA//recB//ynfG//glxR//
GadE_pos	hemH//uxaA//phnG//amn//entC//hcaD//gadB//fucO//rbsD//napH//
GadW_neg	dinB//malY//pagP//
GadW_pos	argG//sdhA//gcl//pepD//
GadX_neg	moaE//pgi//lyxK//
GadX_pos	fucA//moaE//cysN//sufS//gcvP//leuD//pyrC//ynfG//ulaE//glxR//nanA//
GalR-beta-D-galactose_neg	feaB//nadB//atoB//pgk//ilvC//
GalR-beta-D-galactose_pos	hcaE//dacC//uvrA//ahpC//
GalR_neg	pgpC//dkgA//lyxK//uxaA//fabH//rhaA//
GalR_pos	gapA//puuE//gapA//metK//
GalS-beta-D-galactose_neg	metA//recF//tauD//pdeH//paaF//
GalS-beta-D-galactose_pos	rutE//gntK//leuD//asnA//
GalS_neg	citX//fadH//xylB//lhgO//frc//aspC//
GalS_pos	hcaC//nadA//rutC//pck//
GatR_neg	icd//uvrA//glxK//
GcvA_neg	ygeA//fucU//purE//
GcvA_pos	pgm//paaH//fau//
GlcC-glycolate_neg	
GlcC-glycolate_pos	puuD//glpQ//prpE//
GlpR_neg	gdhA//fdhF//carA//frdB//ybjG//ampC//glpX//
GlrR-Pasp56_pos	
GntR_neg	argE//ybjG//carB//glgA//dinB//katE//allE//frc//fdhF//
GutM_pos	cyoE//leuD//hycC//
HU_neg	rffG//gcvT//aceE//ampC//tdcG//citX//hypB//
HU_pos	
HcaR-HCA_pos	ynfH//uxuB//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	phnN//
HigB-HigA_neg	waaH//
HipAB_neg	gdhA//astA//
HipB_neg	chbF//rpiB//putA//
HprR-Phosphorylated_neg	pnp//astC//
HprR-Phosphorylated_pos	frc//speA//
HyfR_pos	glgA//
HypT-Met-oxidized_neg	fabG//allD//
HypT-Met-oxidized_pos	gatY//lsrK//gpmM//gabD//rtcA//
IclR-pyruvate_neg	fadJ//rffT//tdcD//
IdnR-5-ketogluconate_neg	aroF//recB//
IdnR-5-ketogluconate_pos	argF//tyrB//thrS//
IlvY-2-acetolactate_pos	ldtB//
IlvY_neg	
IscR-2Fe-2S_neg	fucO//ybjG//
IscR_neg	pheT//asnA//carA//treC//
IscR_pos	ttdB//leuC//
KdgR_neg	ada//dkgA//
KdpE-Phosphorylated_pos	ung//
LacI_neg	moaC//cysJ//speG//
LeuO_neg	
LeuO_pos	dhaL//purM//hycG//fadB//argD//poxB//
LexA_neg	glpK//mpl//pncB//hyaC//galT//serA//gadB//eno//tynA//uvrA//pgk//paaB//murE//aspC//putA//sdhC//torA//citE//dhaM//rbsD//gutQ//rtcA//treC//
LldR-lactate_neg	hycD//oxc//
LldR-lactate_pos	tynA//cysJ//
LldR_neg	metB//amn//
LldR_pos	tdcE//metC//
LrhA_neg	
LrhA_pos	
LsrR_neg	gor//rffM//dsdA//phnI//lldD//
LysR_neg	
LysR_pos	citG//
MalI_neg	nrdF//murF//
MalT-maltotriose-ATP_pos	guaA//ssuD//yqjH//dacC//ulaG//dapB//
MarA_neg	phnM//
MarA_pos	cysE//purA//moaE//wzc//dgcZ//napB//bacA//chbF//gcvP//sufS//yqhD//ycjG//dsdA//metH//xylB//murQ//moaD//fucK//pyrD//mraY//dapD//glgP//lsrK//
MarR_neg	
MatA_neg	mhpB//
MatA_pos	
MazE-MazF_neg	pspE//
MazE_neg	fabA//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	phoA//murF//
MelR-melibiose_pos	yedX//hycG//
MelR_neg	moaC//lpxC//
MelR_pos	umuC//galE//
MetJ-adenosylmethionine_neg	gcvT//sdhA//pgk//fucO//torC//phnM//moeA//ssuD//rbsK//polB//
MetR-L-homocysteine_neg	grxA//
MetR-L-homocysteine_pos	malY//entE//
MetR_pos	lldD//rimK//
MhpR-3HPP_pos	murE//uxuB//leuA//tehB//tynA//gpmA//
Mlc_neg	pgaD//alkA//glgA//alkB//
MlrA_pos	adiA//
MngR_neg	gabT//kbaZ//
MntR-Mn2_neg	aldA//
MntR-Mn2_pos	pgi//
ModE-MoO42-_neg	purA//phnO//aspA//prpD//pdeH//argE//accC//speB//
ModE-MoO42-_pos	argA//lsrF//aspA//frc//gadA//gcvT//sbcC//purB//dhaK//
MprA_neg	yeaG//pgk//gltD//
MqsA_neg	hycC//frdD//
MraZ_neg	gntK//glpX//gpmA//wecE//recD//nrfC//purM//recB//cysM//lysA//
MurR_neg	aldA//gnd//hcaD//
MurR_pos	
Nac_neg	mraY//ygeA//leuC//
Nac_pos	narH//ldtC//citE//tdcG//leuA//pheT//gatY//pheT//
NadR_neg	aceE//lldD//fadI//argD//
NagC_neg	gcvH//ssuE//trpC//ssuD//relA//rhaB//glgP//arsC//hycB//katG//cysN//aroG//ulaE//prpB//ung//rbsD//trpA//gnd//
NagC_pos	prpC//ychF//
NanR_neg	galM//srlD//fes//sdhC//rutD//allC//
NanR_pos	
NarL-Phosphorylated_neg	moaA//sodB//astA//sdhC//cueO//epd//tdcB//ribA//ynfE//ulaE//argA//lpxD//argE//trpD//tam//cysG//alaS//metB//feaB//glpX//aldA//argF//mhpE//glpC//nrdF//grxA//codA//kbaZ//
NarL-Phosphorylated_pos	aroL//argH//lacZ//phnO//nfsB//ppiA//napG//gloA//alkB//sodB//yfdE//eda//fumB//lpxC//mraY//
NarP-Phosphorylated_neg	pgk//tdcB//prpC//ugpQ//pspE//
NarP-Phosphorylated_pos	uxaA//hypF//amn//glpC//kbaY//gcvT//sucA//lysA//hmp//phnJ//tdcG//nadB//cysG//rpiB//
NemR_neg	prpE//pgaB//
NhaR-Na_pos	ftnA//pncB//truB//katG//nfsA//
NikR-Ni2_neg	kbaY//
NimR_neg	glpC//
NorR_neg	
NorR_pos	prpE//
NrdR-Zn2_neg	gltB//uxaA//metF//pncB//
NsrR_neg	entA//sdhD//lsrG//sucB//pgaC//glgX//serA//purD//pheS//caiA//malY//glgB//ugpQ//accA//gabT//ppc//kbaY//galK//entA//pyrC//fucU//hcaE//hypB//umuD//araD//thrS//dapD//hcaD//bacA//rtcB//paaJ//wecB//galT//epd//purE//mhpF//pdeL//amn//recB//astD//
NtrC-Phosphorylated_neg	paaF//arsC//
NtrC-Phosphorylated_pos	srlD//treC//nirD//metL//ynfF//dgcZ//purN//zwf//dgcN//tynA//pagP//cyoE//malY//galM//uxuA//pyrC//trpE//purF//phnH//umuC//atoA//
OmpR-Phosphorylated_neg	murF//dapD//acnA//pepD//cdd//
OmpR-Phosphorylated_pos	prs//tauD//glsA//murG//
OxyR_neg	fabZ//glgB//glpA//glcE//napG//
OxyR_pos	murQ//ubiX//dapB//lpxC//entH//frdD//relA//dgkA//astB//hycG//ldtB//glpB//
PaaX_neg	araD//ttdA//dgcC//ygeA//ruvA//purF//hcaC//nrdF//argD//
PdeL_pos	gudD//
PdhR_neg	fadI//sucD//relA//hemH//hcaD//yqjH//betB//atoB//glgA//chbF//torA//purF//fadM//psd//dmsC//ugpQ//sgbE//aceB//fabH//dkgA//phnG//hycF//yqjH//
PdhR_pos	umpH//puuD//
PepA_neg	torA//cdd//
PgrR_neg	fucO//gnd//
PhoB-Phosphorylated_neg	fdhF//aroF//narI//bacA//nanE//
PhoB-Phosphorylated_pos	garR//wecB//icd//gatZ//tehB//icd//glpC//murF//prpD//aroH//adhE//alkB//gadA//fadD//garR//dkgB//yedX//
PhoP-Phosphorylated_neg	glgP//fumC//cynS//
PhoP-Phosphorylated_pos	wrbA//pnp//bioA//paaK//moaD//tdcD//glgB//uvrB//rnpB//rutA//nrdF//glpK//allE//umuD//fruK//dgcZ//ftnA//hcaD//slt//gadA//cysJ//nemA//galT//purE//ung//rfe//mnmG//phnH//fabB//guaB//tyrA//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	citF//murQ//tdcE//araB//
PspF_neg	
PspF_pos	rffT//
PurR-hypoxanthine_neg	allC//epd//leuA//pck//argH//ppc//rimK//sodA//lldD//glcE//entB//entB//pyrD//gdhA//tynA//gcvH//umuC//tyrB//pepD//hemL//metB//ycjG//ribA//asnA//hycE//pfkA//
PutA_neg	fabB//asnA//
PuuR_neg	glnA//rbsK//rutD//fucI//metC//nrdB//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	purA//cysM//ynfE//galK//treC//
RcdA_neg	
RcdA_pos	tyrA//
RclR_pos	
RcnR_neg	dgkA//
RcsAB_neg	napH//
RcsAB_pos	fumC//paaY//
RcsB-BglJ_pos	srkA//tyrB//
RcsB-Pasp56_neg	trpA//
RcsB-Pasp56_pos	pncB//bacA//folE//
RelB-RelE_neg	fadJ//
RelB_neg	ugpQ//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	phnO//atoA//bioD//ogt//
Rob_neg	
Rob_pos	cueO//argH//nrdF//bioA//uxaC//phnO//sdhB//sdhC//glmS//hcaF//ttdB//glcF//psd//glgP//ppsA//fabI//paaH//hycF//idnK//
RstA-Phosphorylated_neg	alkB//astA//
RstA-Phosphorylated_pos	nanE//
RtcR_pos	metL//mhpE//
RutR_neg	slt//betB//glxK//accA//phnH//pnp//sbcD//folA//cueO//ascB//
RutR_pos	ppc//
SdiA_neg	
SdiA_pos	
SgrR_neg	mhpF//
SgrR_pos	hyaB//wecB//
SlyA_neg	
SlyA_pos	purM//pyrC//fumC//frdC//leuB//ygeA//entF//sdhA//pdeL//
SoxR_neg	
SoxR_pos	metA//phnM//deoA//bioA//yedX//gcl//
SoxS_neg	
SoxS_pos	frdB//lysA//kbaY//hcp//hyaC//sucA//purF//galM//hcaD//gabD//fadE//lyxK//wecC//ttdA//dhaL//nagA//frc//ppc//aldA//garK//garL//fbaA//phnI//glpK//fumB//glpC//pdeL//citG//
SrlR_neg	lacA//dhaK//pyrD//
StpA_neg	poxB//murG//ulaE//
SutR_neg	sdhA//pgi//
SutR_pos	
TdcA_pos	pspE//deoB//dmsA//ttdB//eda//
TdcR_pos	ubiA//ubiA//purL//treC//sucD//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	nagB//allB//moaC//ygeA//
TorR-TorI_neg	hcp//
TorR-TorI_pos	
TreR_neg	metA//pagP//
TrpR-tryptophan_neg	glk//bioC//fadM//pdeR//napB//cysG//ycjG//deoC//rbsD//
TyrR-phenylalanine_neg	ahpF//yiaK//
TyrR-phenylalanine_pos	dhaM//
TyrR-tyrosine_neg	glgA//gor//rimK//patD//galM//glxR//
TyrR-tyrosine_pos	waaZ//phnN//
TyrR_neg	dhaM//
TyrR_pos	nadB//
UhpA-Phosphorylated_pos	pgi//
UidR_neg	dmsB//nemA//
UlaR_neg	lpxD//tktB//argA//bioA//allC//
UvrY-Phosphorylated_pos	nagB//tauD//
UxuR_neg	nirD//ahpC//tdcG//idnO//ddlB//
XapR-xanthosine_pos	puuC//hcaC//
XylR-xylose_neg	
XylR-xylose_pos	xylB//adhE//lacZ//
YdeO_neg	
YdeO_pos	patA//rutD//dapB//
YefM-YoeB_neg	rbsK//
YefM_neg	fadE//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	pflB//putA//ung//fucK//citD//phnH//
YjjQ_neg	tnaA//entH//
YpdB-Phosphorylated_pos	
YqhC_pos	talA//garR//
YqjI_neg	dmsA//
ZntR-Zn2_pos	fadB//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	phnG//
