# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fabG//dgkA//
CysB-O-acetyl-L-serine_pos	citG//cadA//wecE//dhaK//sufS//rffC//cyoE//lysC//dhaL//wzb//entC//frc//
CysB_neg	
CysB_pos	glmS//srlD//
CytR_neg	hyaC//mhpD//tdcD//ugpQ//moaA//mhpF//fumC//hypB//grxA//gloA//
Dan-L-tartrate_pos	pykF//dinB//
DcuR-Phosphorylated_pos	nrfD//caiA//umuC//citG//
DeoR_neg	pyrD//chbF//nagA//paaK//grxA//ahpF//
DhaR_neg	
DhaR_pos	argE//
DicA_neg	
DinJ-YafQ_neg	glsA//
DnaA-ATP_neg	hmp//gadA//xapA//cysG//nanE//
DnaA-ATP_pos	hycF//eda//hycE//
DpiA-Pasp_neg	
DpiA-Pasp_pos	paaI//uvrB//hcaE//fadH//cysJ//
DsdC-D-serine_neg	
DsdC-D-serine_pos	katE//lsrK//
EbgR_neg	
EnvR_neg	putA//galE//
EnvY_pos	tdcD//ubiC//
EvgA-Phosphorylated_pos	nagB//fumC//eno//allC//galE//rffC//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	lldD//serA//glk//murE//citX//paaK//
FabR_neg	hyaA//glyA//accA//
FadR-acyl-CoA_pos	
FadR_neg	cysE//deoD//nagB//glpA//pdeR//frdC//hyaB//nrdD//ribA//
FadR_pos	acnB//gor//ydcS//paaC//rhaA//prpB//purL//gnd//cueO//napA//
FeaR_pos	phnL//mhpD//
FhlA-formate_pos	ahpC//glpQ//nanK//slt//ugpQ//sbcD//ribA//phnP//
FlhDC_neg	paaZ//hmp//
FlhDC_pos	wecC//astC//dmsC//entB//hmp//tyrA//yeaE//waaH//nadA//cysC//dmsB//purL//
FliZ_neg	waaY//dapD//hycG//metE//glcE//
FucR-L-fuculose-1-P_pos	fabD//gntK//nfsB//napH//wzc//nirB//
Fur-Fe2_neg	murQ//leuC//prpD//glk//atoD//bioC//bioF//galE//rffH//lysA//glpD//rfe//cysI//lpxD//alsE//purF//hycB//tdcE//sbcD//iscS//glgB//paaJ//citD//tnaA//mngB//malQ//paaF//uxaA//gpmM//rutE//tynA//accA//prpE//gpmA//pdeR//fadM//carB//glpQ//lsrG//astE//glmU//rtcB//recD//mhpE//paaK//hemH//hycD//rffM//malQ//phnP//fau//metH//narH//
Fur-Fe2_pos	hemH//hcaE//sucB//idnK//lacA//folE//ldtC//katG//frdA//mhpD//murC//rutD//caiD//truB//hemL//hycC//
GadE-RcsB_pos	patD//glxK//ftsI//entF//alaS//
GadE_pos	folE//umpH//recB//folA//rfe//rhaD//glsA//mdh//argE//accD//
GadW_neg	gpmM//nrfC//tehB//
GadW_pos	murG//katG//rnpB//hmp//
GadX_neg	ssuD//glpB//speB//
GadX_pos	cysH//gdhA//phoA//tdcG//pgaC//torC//nemA//torA//gabD//hcaC//caiA//
GalR-beta-D-galactose_neg	accA//cysJ//caiD//rffM//ruvB//
GalR-beta-D-galactose_pos	glsA//rffG//rsmH//lhgO//
GalR_neg	ldtB//patD//rutE//rffM//gntK//ulaG//
GalR_pos	aroG//allB//tdcD//garD//
GalS-beta-D-galactose_neg	hcaC//nanK//metE//ada//cyoE//
GalS-beta-D-galactose_pos	idnK//malY//waaH//melA//
GalS_neg	glcD//frdA//garR//oxc//glxK//talA//
GalS_pos	argI//argH//uxaA//hycC//
GatR_neg	udp//sdhC//ulaE//
GcvA_neg	phoA//fadI//yqhD//
GcvA_pos	metE//citE//rbsD//
GlcC-glycolate_neg	
GlcC-glycolate_pos	tauD//fucK//entB//
GlpR_neg	sbcC//ulaF//entA//moaC//entD//rffH//gpmM//
GlrR-Pasp56_pos	
GntR_neg	purH//atoB//phnP//hyaB//paaZ//murG//hycF//leuB//polB//
GutM_pos	ruvB//phnM//yeaE//
HU_neg	caiB//dkgB//lyxK//mazG//aroL//dapD//purH//
HU_pos	
HcaR-HCA_pos	wzb//hcaE//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	waaY//
HigB-HigA_neg	accA//
HipAB_neg	ldtC//lhgO//
HipB_neg	paaH//paaH//hypB//
HprR-Phosphorylated_neg	pyrD//mhpD//
HprR-Phosphorylated_pos	melA//nanM//
HyfR_pos	pflB//
HypT-Met-oxidized_neg	entD//metE//
HypT-Met-oxidized_pos	fadJ//tnaA//appA//rutC//glpC//
IclR-pyruvate_neg	pflB//astE//ubiC//
IdnR-5-ketogluconate_neg	mhpC//leuC//
IdnR-5-ketogluconate_pos	metE//fabD//hmp//
IlvY-2-acetolactate_pos	glxR//
IlvY_neg	
IscR-2Fe-2S_neg	murE//glsA//
IscR_neg	sdhB//pykF//aroG//rffG//
IscR_pos	speB//glmU//
KdgR_neg	rnpB//sgbU//
KdpE-Phosphorylated_pos	phnJ//
LacI_neg	fumC//cysI//fadI//
LeuO_neg	
LeuO_pos	astA//yedX//ynfH//cysN//waaZ//frdB//
LexA_neg	putA//lpxD//prpC//ttdA//ahpC//torC//purL//acnB//trpE//rtcA//fadM//paaC//frdC//cadA//gcvP//aceE//appA//hcaC//paaZ//caiC//ssuE//entB//sgbU//
LldR-lactate_neg	yeaE//uxaA//
LldR-lactate_pos	lpxC//nrdB//
LldR_neg	sbcC//chbG//
LldR_pos	glsA//ampC//
LrhA_neg	
LrhA_pos	
LsrR_neg	sgbH//narG//rpiB//paaH//atoD//
LysR_neg	
LysR_pos	tdcD//
MalI_neg	cysM//gutQ//
MalT-maltotriose-ATP_pos	alaC//uxaC//speG//murC//kbaZ//ynfE//
MarA_neg	glcE//
MarA_pos	mltF//metH//paaZ//purL//adhE//glmU//pspE//prpD//dsdA//allE//mtlD//feaB//folE//paaA//icd//sdhA//pyrC//relA//lsrF//araA//pepD//relA//garR//
MarR_neg	
MatA_neg	pdeH//
MatA_pos	
MazE-MazF_neg	uvrA//
MazE_neg	tdcG//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	idnK//napH//
MelR-melibiose_pos	dapB//leuD//
MelR_neg	narG//glgX//
MelR_pos	entE//pgaC//
MetJ-adenosylmethionine_neg	luxS//ftsI//cysC//sbcD//grxA//caiD//hypB//sdhD//mltF//ppsA//
MetR-L-homocysteine_neg	gabD//
MetR-L-homocysteine_pos	phnL//glgX//
MetR_pos	katG//trpA//
MhpR-3HPP_pos	ruvB//allD//rimK//gpmM//gadB//entC//
Mlc_neg	gabD//nfsB//ynfE//mhpA//
MlrA_pos	dsdA//
MngR_neg	uvrA//pflB//
MntR-Mn2_neg	pheS//
MntR-Mn2_pos	accC//
ModE-MoO42-_neg	garD//lpxC//ynfH//napH//carB//hycE//malY//hycE//
ModE-MoO42-_pos	phoA//pdeR//accC//entE//allD//rsmH//zwf//nrfD//garL//
MprA_neg	tdcE//idnK//ubiA//
MqsA_neg	ynfE//sgbU//
MraZ_neg	patD//gatY//mdh//fbaA//paaE//paaK//rtcB//cdd//moaA//dgcZ//
MurR_neg	atoD//mtlD//ung//
MurR_pos	
Nac_neg	hycG//bioA//speB//
Nac_pos	napH//malZ//ribA//rhaD//accC//entE//yiaK//nfsA//
NadR_neg	galM//fucA//aceF//iscS//
NagC_neg	argC//luxS//mpl//dgcZ//phoA//xylB//pck//cysC//gpmM//hycE//dhaL//acnB//ilvC//gcvP//cysK//tdcE//torA//glxK//
NagC_pos	bioB//tauD//
NanR_neg	ldtB//glcB//putA//srlD//yiaK//purE//
NanR_pos	
NarL-Phosphorylated_neg	nfsB//ychF//tauD//glgB//mhpE//galK//gapA//rhaA//purC//phoA//aceE//gnd//nrdB//galK//phnG//prpB//polB//gcvT//nrdE//srlD//aroF//patD//allA//glpA//mnmG//puuA//sgbU//recF//
NarL-Phosphorylated_pos	moeA//wzb//glcE//entE//hyaB//srkA//hyaA//phoA//murC//cysG//rhaB//sodB//lpxC//rutD//purC//
NarP-Phosphorylated_neg	garK//uxuA//recB//prs//hypF//
NarP-Phosphorylated_pos	puuE//nanK//bacA//malQ//lldD//paaC//phnP//purC//lysA//ftnA//lhgO//araB//murQ//betA//
NemR_neg	ndh//cysM//
NhaR-Na_pos	malS//sodB//gpmA//cueO//nadB//
NikR-Ni2_neg	glpK//
NimR_neg	mhpF//
NorR_neg	
NorR_pos	glgX//
NrdR-Zn2_neg	astD//betA//frdC//fabZ//
NsrR_neg	metB//purE//sodB//cysI//alkA//paaE//entA//citD//nanE//alaS//rimK//frdC//fucK//leuD//lpxC//melA//gadB//ulaF//puuA//caiA//lpxC//leuC//hcaB//purM//epd//tadA//glsA//purK//fadA//tyrB//puuE//bioC//trpA//talA//treC//mhpA//rffC//rutB//gapA//nanK//
NtrC-Phosphorylated_neg	murG//yiaK//
NtrC-Phosphorylated_pos	entB//aspA//ubiA//grxA//gadA//umuD//frdC//phnI//astB//entE//eno//uxuB//ilvC//zwf//umuD//lldD//glxK//nemA//fadJ//allE//speB//
OmpR-Phosphorylated_neg	tam//cueO//pheS//polB//dhaL//
OmpR-Phosphorylated_pos	umuD//gdhA//sgbH//fabG//
OxyR_neg	patD//xylB//cysK//glnA//sucB//
OxyR_pos	nagA//xapA//cdd//waaH//lacZ//phnL//rnpB//sdhB//ung//moaE//paaC//ldtB//
PaaX_neg	waaY//hcaF//allE//wrbA//paaC//lsrK//glyA//mhpB//pdeL//
PdeL_pos	ssuD//
PdhR_neg	lldD//tynA//entC//torA//pnp//idnO//pgaB//glcE//ilvC//argD//grxA//ddlB//edd//bioB//hcaE//nrdE//katG//allE//glcF//lldD//ung//codA//purH//
PdhR_pos	galK//idnO//
PepA_neg	fabB//glk//
PgrR_neg	bioC//moaE//
PhoB-Phosphorylated_neg	recF//garL//sucD//deoA//phnI//
PhoB-Phosphorylated_pos	paaI//relA//pgi//rffH//ccp//fabZ//cysK//accC//metC//cueO//xapA//citF//rutD//puuA//tehB//phnM//gcl//
PhoP-Phosphorylated_neg	galE//dgcZ//melA//
PhoP-Phosphorylated_pos	paaB//accC//glpA//ttdA//oxc//polB//glcD//bioF//frdB//dgcZ//dgcZ//ampC//astA//psd//pgaD//murE//mraY//yeaG//tadA//gadB//kbaY//deoB//entD//ppsA//folA//cysJ//puuE//edd//ulaE//hycD//glpK//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	nrfC//kbaZ//uvrA//moaD//
PspF_neg	
PspF_pos	rffH//
PurR-hypoxanthine_neg	tehB//pdeH//nrdE//entA//ddlB//pnp//pheS//fbaB//purN//nagB//nirB//leuB//paaC//hycG//glpQ//prpE//ldtD//rffH//arsC//trpA//mhpB//waaH//rutC//ychF//gutQ//glgX//
PutA_neg	wecE//rtcB//
PuuR_neg	malQ//idnD//fabA//ulaF//patD//cadA//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	sodB//nirB//fadD//tyrB//tdcE//
RcdA_neg	
RcdA_pos	tyrA//
RclR_pos	
RcnR_neg	malS//
RcsAB_neg	metK//
RcsAB_pos	recF//allC//
RcsB-BglJ_pos	xylB//phnP//
RcsB-Pasp56_neg	ulaD//
RcsB-Pasp56_pos	ruvB//dmsB//gltB//
RelB-RelE_neg	ftsI//
RelB_neg	ygeA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	hemL//glgX//metL//mltF//
Rob_neg	
Rob_pos	entF//gabD//aceA//deoA//lpxC//idnO//nagB//speB//glcD//cysK//putA//recB//metE//rfe//truB//xylB//phnM//phnO//purD//
RstA-Phosphorylated_neg	puuD//aldA//
RstA-Phosphorylated_pos	sdhC//
RtcR_pos	ccp//trpD//
RutR_neg	nirD//tnaA//torC//allC//ulaF//argF//napB//waaY//tyrB//rffM//
RutR_pos	glgX//
SdiA_neg	
SdiA_pos	
SgrR_neg	mhpD//
SgrR_pos	astD//rffM//
SlyA_neg	
SlyA_pos	rtcA//dkgA//garR//cysE//chbF//rhaD//purB//recD//eno//
SoxR_neg	
SoxR_pos	carB//ndh//tauD//mhpC//hcaE//sufS//
SoxS_neg	
SoxS_pos	paaE//uxaA//epd//nrdA//glyA//uidA//paaK//waaZ//entE//dmsA//puuB//gpmM//pfkA//asnB//fucO//tdcG//psd//lldD//ldtC//ulaG//gltB//trpE//mazG//purE//nanA//trpA//glnA//nanM//
SrlR_neg	ycjG//paaJ//entF//
StpA_neg	leuC//pfkA//phnP//
SutR_neg	hyaC//ahpF//
SutR_pos	
TdcA_pos	katE//glpQ//mhpE//pgaC//lsrF//
TdcR_pos	fabD//pncB//mpaA//hcaC//ppiA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	folE//speB//hyaB//sgbH//
TorR-TorI_neg	purC//
TorR-TorI_pos	
TreR_neg	garR//gcvT//
TrpR-tryptophan_neg	aspA//astC//appA//glnA//mngB//argH//ahpC//nrfA//citE//
TyrR-phenylalanine_neg	nanM//dkgB//
TyrR-phenylalanine_pos	rpiB//
TyrR-tyrosine_neg	ppsA//dapD//appA//udp//fdhF//nadB//
TyrR-tyrosine_pos	astA//rsmH//
TyrR_neg	yfdE//
TyrR_pos	patA//
UhpA-Phosphorylated_pos	entA//
UidR_neg	ascB//gatY//
UlaR_neg	ssuD//araA//sucC//astB//cdd//
UvrY-Phosphorylated_pos	cysD//cysE//
UxuR_neg	gcl//glpA//nrdD//wecC//nanE//
XapR-xanthosine_pos	phnJ//ybjG//
XylR-xylose_neg	
XylR-xylose_pos	pfkA//rpiB//glpK//
YdeO_neg	
YdeO_pos	entE//hycF//xapA//
YefM-YoeB_neg	sgbE//
YefM_neg	ynfF//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	mpaA//dapD//speA//nrdE//uxaB//lpd//
YjjQ_neg	asnB//luxS//
YpdB-Phosphorylated_pos	
YqhC_pos	phoA//prpB//
YqjI_neg	cysH//
ZntR-Zn2_pos	tyrB//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	edd//
