# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	glcE//amn//
FucR-L-fuculose-1-P_pos	hcaD//glpX//moaC//glpC//purL//gadB//
Fur-Fe2_neg	entD//glpB//allD//hyi//fabB//ssuE//cysE//sufS//gdhA//fadD//astD//idnK//tktB//mhpB//rutE//puuE//cyoE//astB//rtcA//polB//sbcD//malS//xylA//nrdB//leuB//astE//aroG//aroL//purL//ascB//alaS//fucO//puuC//metB//lsrK//ttdB//pgpC//srkA//aroL//allA//nrdB//murI//moeA//dgkA//ybjG//lhgO//ndh//gutQ//ssuE//mhpB//ppiA//asnA//entD//
Fur-Fe2_pos	phnP//idnO//amn//hemH//glyA//gabD//hcaE//pagP//fucU//dkgA//asnB//ampC//udp//purN//pgaD//ynfE//
GadE-RcsB_pos	nanE//aroL//tnaA//hyaB//allE//
GadE_pos	phnM//epd//ldtD//tynA//hyaC//bacA//gltD//rhaB//caiD//cysE//
GadW_neg	pgi//pgaC//hcaE//
GadW_pos	murQ//citD//deoD//ada//
GadX_neg	gltB//paaK//guaA//
GadX_pos	trpA//murE//moeA//sodB//fadJ//glpB//hyaC//entF//purM//ddlB//chbF//
GalR-beta-D-galactose_neg	dsdA//nrdF//hcp//paaG//pheS//
GalR-beta-D-galactose_pos	ycjG//tyrB//cysK//ynfE//
GalR_neg	nanE//kbaZ//nadA//dkgA//paaH//paaI//
GalR_pos	purN//rtcA//talA//gor//
GalS-beta-D-galactose_neg	hypF//kbaY//tdcB//chbF//entF//
GalS-beta-D-galactose_pos	ygeA//citF//puuB//ynfG//
GalS_neg	glcF//mhpA//rhaD//lpd//mhpA//metK//
GalS_pos	dinB//wecE//rtcA//caiB//
GatR_neg	rhaB//fau//argB//
GcvA_neg	nirB//fabZ//allB//
GcvA_pos	adiA//metC//allA//
GlcC-glycolate_neg	
GlcC-glycolate_pos	cadA//glcD//atoD//
GlpR_neg	purB//argH//glcF//ulaD//frdB//fbaA//pagP//
GlrR-Pasp56_pos	
GntR_neg	lpxD//glxR//pyrC//glgA//bioF//fau//wrbA//yedX//rhaA//
GutM_pos	fucA//fadD//relA//
HU_neg	rhaB//mazG//entC//nrdF//nrfD//moeB//gcl//
HU_pos	
HcaR-HCA_pos	glgC//alaC//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	yedX//
HigB-HigA_neg	cdd//
HipAB_neg	chbF//speB//
HipB_neg	glmU//ubiA//dgkA//
HprR-Phosphorylated_neg	aroF//astC//
HprR-Phosphorylated_pos	tpiA//paaJ//
HyfR_pos	glpA//
HypT-Met-oxidized_neg	nadA//paaZ//
HypT-Met-oxidized_pos	fadM//udp//allB//moaD//cysI//
IclR-pyruvate_neg	tam//deoD//gabT//
IdnR-5-ketogluconate_neg	phr//hycC//
IdnR-5-ketogluconate_pos	aroL//glgP//dhaK//
IlvY-2-acetolactate_pos	glmS//
IlvY_neg	
IscR-2Fe-2S_neg	ulaG//truB//
IscR_neg	pspE//sbcC//astD//eda//
IscR_pos	purD//phnL//
KdgR_neg	glgP//argE//
KdpE-Phosphorylated_pos	glgX//
LacI_neg	paaG//nfsA//dmsA//
LeuO_neg	
LeuO_pos	glpX//purF//paaB//recF//puuA//nrdE//
LexA_neg	wzb//purA//phnL//glpB//waaZ//metL//paaC//narH//argF//pgi//edd//asnB//purC//purH//purA//yqjH//glpX//betA//purH//mhpB//paaE//tynA//entB//
LldR-lactate_neg	napH//aceB//
LldR-lactate_pos	sbcC//speA//
LldR_neg	malY//mhpD//
LldR_pos	metB//wrbA//
LrhA_neg	
LrhA_pos	
LsrR_neg	srlD//phnI//rsmH//rffM//tam//
LysR_neg	
LysR_pos	paaY//
MalI_neg	leuB//recB//
MalT-maltotriose-ATP_pos	lsrF//phnM//patD//fucO//pyrD//allC//
MarA_neg	aspC//
MarA_pos	atoB//wecB//melA//astE//entA//pgi//chbG//nrfC//paaI//moaE//rutD//pdeR//entB//murC//rtcA//nirB//nadA//hycC//garL//rhaB//luxS//allA//malY//
MarR_neg	
MatA_neg	ldtB//
MatA_pos	
MazE-MazF_neg	hyaB//
MazE_neg	moaA//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	pspE//caiA//
MelR-melibiose_pos	gdhA//caiD//
MelR_neg	murG//aceF//
MelR_pos	fucO//lsrG//
MetJ-adenosylmethionine_neg	yfdE//ulaD//glnA//araD//sgbU//ccp//asnB//dgcZ//pgaD//glgX//
MetR-L-homocysteine_neg	hycE//
MetR-L-homocysteine_pos	appA//yedX//
MetR_pos	nagA//cysI//
MhpR-3HPP_pos	ldtD//rffG//glxK//mngB//hmp//purB//
Mlc_neg	alkB//dacC//sbcC//lysC//
MlrA_pos	dhaK//
MngR_neg	argD//murE//
MntR-Mn2_neg	rbsD//
MntR-Mn2_pos	cadA//
ModE-MoO42-_neg	mhpD//mraY//dkgB//amn//bioF//cysJ//metB//gatZ//
ModE-MoO42-_pos	gpmM//mhpB//hyi//glgX//citE//glgB//nrfA//glsA//argF//
MprA_neg	dsdA//ttdA//dkgA//
MqsA_neg	allE//pfkA//
MraZ_neg	rffT//entA//waaZ//ugpQ//uxuB//fucU//glmU//rffG//yfdE//idnO//
MurR_neg	tyrA//mngB//entA//
MurR_pos	
Nac_neg	idnK//patA//fadI//
Nac_pos	trpA//gudD//mtlD//napA//lacA//glgX//sdhA//tdcB//
NadR_neg	pncB//fadD//gcl//gabT//
NagC_neg	purC//poxB//moaD//gatD//purC//nanK//glk//hyaB//aroF//asnA//astE//pdeL//cysK//mdh//metH//prpB//pspE//narG//
NagC_pos	ttdA//moeA//
NanR_neg	betA//ruvB//purK//sbcC//dsdA//allD//
NanR_pos	
NarL-Phosphorylated_neg	idnO//ampC//nirD//dhaK//melA//sbcD//entH//wzb//cysJ//sdhC//appA//rffG//prpB//bacA//hyaB//ccp//umuC//wecB//mnmG//xylB//slt//sucD//ddlB//epd//nagB//metL//nadA//argI//
NarL-Phosphorylated_pos	fruK//cysH//purN//paaJ//glcF//speG//bioB//feaB//narI//dhaK//hycB//rtcB//rutC//paaK//wrbA//
NarP-Phosphorylated_neg	metH//ampC//nanM//purA//torA//
NarP-Phosphorylated_pos	paaG//glxK//metF//gudD//atoB//asnA//waaY//pdeH//slt//lhgO//gutQ//lysC//dmsA//murE//
NemR_neg	entE//leuA//
NhaR-Na_pos	paaJ//murI//frdD//pgpC//rffG//
NikR-Ni2_neg	idnK//
NimR_neg	dgcZ//
NorR_neg	
NorR_pos	ascB//
NrdR-Zn2_neg	sbcD//rutB//hyaC//nanA//
NsrR_neg	nanM//prpD//mdh//purF//pflB//recF//lyxK//dkgA//ydcS//betA//poxB//glxK//wrbA//argC//araA//sgbE//rtcB//gnd//glk//glxK//gcl//fruK//moeA//tadA//tktB//mtlD//alkB//gatD//hcp//paaF//paaF//ugpQ//fes//udp//glpD//lpxA//paaE//fucA//wzb//dkgB//
NtrC-Phosphorylated_neg	aroF//psd//
NtrC-Phosphorylated_pos	glmS//nrfD//purM//frdA//bioA//codA//gltD//rhaB//ppiA//phnN//purN//ulaG//cueO//frdC//narI//glxK//prs//pgaB//pdeR//lacZ//serA//
OmpR-Phosphorylated_neg	garL//argF//pykF//frc//gatZ//
OmpR-Phosphorylated_pos	mraY//murQ//phr//glgX//
OxyR_neg	tnaA//mnmG//ccp//mhpA//glcE//
OxyR_pos	ung//fbaA//murC//purN//gatZ//betB//sucA//hycB//dhaM//eno//puuE//fadJ//
PaaX_neg	ruvB//argE//mhpD//dkgA//pgaC//wzb//entH//hypF//phnO//
PdeL_pos	ugpQ//
PdhR_neg	gpmM//alkA//lacZ//puuD//ubiC//rffH//cysJ//glpD//citD//luxS//paaZ//moeB//glpD//cadA//ychF//malS//fabG//torC//fau//rutA//ddlB//poxB//fumC//
PdhR_pos	recB//wzb//
PepA_neg	ascB//fadD//
PgrR_neg	nrdB//frdA//
PhoB-Phosphorylated_neg	ddlB//tdcD//sgbU//hcaC//deoC//
PhoB-Phosphorylated_pos	gatD//pgaB//glgC//glgC//fabG//betB//cynT//purD//phnP//argH//dkgA//lacA//accD//citC//fadE//aceE//sbcD//
PhoP-Phosphorylated_neg	dhaM//sucB//fucA//
PhoP-Phosphorylated_pos	purH//rffT//sodA//bioD//ubiX//nfsB//uxuB//waaH//wecC//pyrC//xapA//sdhD//fes//glpK//citG//argH//trpE//araB//galM//treC//gltD//rutD//hemL//hypB//malP//fadI//slt//tdcB//fadD//nrdF//murG//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	lyxK//ydcS//hyaC//glyA//
PspF_neg	
PspF_pos	deoD//
PurR-hypoxanthine_neg	araA//sgbE//glmS//wecE//pheT//polB//paaZ//sgbH//nadA//fau//napH//sbcD//pdeL//idnK//phnI//nfsB//murE//trpD//nagB//dgcC//waaY//phnM//fadE//tdcG//ppsA//metH//
PutA_neg	glyA//sbcD//
PuuR_neg	ppc//phnH//fadJ//metK//fbaA//fau//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	mhpA//waaZ//moeA//bioF//hcaB//
RcdA_neg	
RcdA_pos	purD//
RclR_pos	
RcnR_neg	cyoE//
RcsAB_neg	phnJ//
RcsAB_pos	hcaF//gabT//
RcsB-BglJ_pos	astA//mhpB//
RcsB-Pasp56_neg	ychF//
RcsB-Pasp56_pos	frdD//allA//gltD//
RelB-RelE_neg	nrfD//
RelB_neg	codA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	rutA//trpB//paaC//lhgO//
Rob_neg	
Rob_pos	phnP//recD//sgbH//mraY//ynfE//gor//hycE//glpD//glpB//dkgB//murI//patD//alkB//argI//citE//ddlB//astE//gltD//murD//
RstA-Phosphorylated_neg	edd//tktB//
RstA-Phosphorylated_pos	sbcC//
RtcR_pos	deoD//deoC//
RutR_neg	glmS//paaZ//lyxK//kbaY//nadB//hyi//fes//leuD//citF//alaS//
RutR_pos	acnA//
SdiA_neg	
SdiA_pos	
SgrR_neg	trpA//
SgrR_pos	mltF//bioC//
SlyA_neg	
SlyA_pos	ubiC//wecC//cynS//astD//paaY//glpQ//moeB//ddlB//ogt//
SoxR_neg	
SoxR_pos	appA//phnO//glpD//hcp//waaH//gutQ//
SoxS_neg	
SoxS_pos	paaB//xylA//lldD//nrdB//pheS//eda//tehB//rnpB//wzc//phnO//leuB//lsrF//pykF//sdhD//garL//aceA//fruK//phnH//fadI//dgcC//srlD//argD//wecE//aceB//trpD//ascB//deoD//ulaF//
SrlR_neg	kbaZ//cyoE//aceB//
StpA_neg	murI//ugpQ//ada//
SutR_neg	nrdB//luxS//
SutR_pos	
TdcA_pos	entD//fruK//alkA//prpB//purB//
TdcR_pos	sdhD//citF//araB//aceF//cysC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	fadI//mtlD//argH//allC//
TorR-TorI_neg	allD//
TorR-TorI_pos	
TreR_neg	ddlB//bioF//
TrpR-tryptophan_neg	glnA//fes//napB//thrS//feaB//ldtD//ruvB//pgm//gutQ//
TyrR-phenylalanine_neg	tdcD//yeaE//
TyrR-phenylalanine_pos	fes//
TyrR-tyrosine_neg	paaA//cdd//leuB//argF//uxaB//wecE//
TyrR-tyrosine_pos	ilvC//leuD//
TyrR_neg	alkB//
TyrR_pos	fbaB//
UhpA-Phosphorylated_pos	poxB//
UidR_neg	cysE//ldtC//
UlaR_neg	chbF//pdeH//leuC//cyoE//ychF//
UvrY-Phosphorylated_pos	purA//prpE//
UxuR_neg	yiaK//frdD//hcp//paaA//feaB//
XapR-xanthosine_pos	melA//moaC//
XylR-xylose_neg	
XylR-xylose_pos	malS//gabT//idnO//
YdeO_neg	
YdeO_pos	speG//gcvH//glgA//
YefM-YoeB_neg	bioF//
YefM_neg	relA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	cdd//astA//metE//leuA//astD//acnA//
YjjQ_neg	pnp//ugpQ//
YpdB-Phosphorylated_pos	
YqhC_pos	yeaE//waaH//
YqjI_neg	cysH//
ZntR-Zn2_pos	ulaF//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	gpmA//
