# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	dapB//gutQ//
CpxR-Phosphorylated_pos	allE//lacZ//cadA//frdB//bioF//ldtB//ung//prpD//pgpC//entC//lacA//slt//wzb//rbsK//prpE//sdhA//nagA//ubiC//
Cra_neg	atoD//narG//sbcD//nagA//nrfA//fadI//metK//leuC//betB//ada//recF//ynfE//wecB//srkA//waaH//glgA//fadD//sucB//prpD//entB//truB//dsdA//sucB//uvrB//bioD//cdd//rutD//fadJ//sdhA//galK//fabD//ulaE//asnA//rutA//iscS//lpd//ycjG//fabD//ulaD//pck//wzb//fadB//feaB//entH//atoA//
Cra_pos	kbaY//gutQ//nrdB//prpD//speB//serA//accA//lyxK//narI//putA//ruvA//fabH//ruvA//chbG//nrfA//nanM//phnO//
CreB-Phosphorylated_neg	nanK//
CreB-Phosphorylated_pos	ascB//
CsgD_neg	melA//lldD//
CsgD_pos	trpA//aceF//dkgA//
CsiR_neg	fumB//puuC//dgcZ//lacZ//
CspA_pos	pyrC//
CueR-Cu_neg	fadE//mnmG//arsC//
CueR-Cu_pos	glmU//gloA//
CusR-Pasp_pos	tnaA//glcB//metC//fruK//
CynR-cyanate_pos	sdhC//alaS//torC//
CynR_neg	
CysB-O-acetyl-L-serine_neg	aceF//moaE//nemA//
CysB-O-acetyl-L-serine_pos	paaE//citG//moeB//polB//glpB//pdeR//srkA//nrfA//argH//recD//atoD//idnD//
CysB_neg	
CysB_pos	epd//dapB//
CytR_neg	ogt//hemH//sufS//fadA//paaA//dmsA//bioF//acnA//purE//fucA//
Dan-L-tartrate_pos	glgC//mltF//
DcuR-Phosphorylated_pos	cdd//ndh//tynA//paaF//
DeoR_neg	dhaK//talA//dgcC//aspC//dgkA//alaC//
DhaR_neg	
DhaR_pos	tadA//
DicA_neg	
DinJ-YafQ_neg	glpB//
DnaA-ATP_neg	lldD//ftsI//gabD//moeB//ung//
DnaA-ATP_pos	recB//gpmM//udp//
DpiA-Pasp_neg	
DpiA-Pasp_pos	phoA//nanE//ruvA//dsdA//hmp//
DsdC-D-serine_neg	
DsdC-D-serine_pos	ppsA//yqjH//
EbgR_neg	
EnvR_neg	recD//narH//
EnvY_pos	caiB//aceB//
EvgA-Phosphorylated_pos	trpC//oxc//sgbE//lysA//nagB//mhpB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	tyrB//rhaA//prpC//glpB//dhaM//moaA//
FabR_neg	sbcC//yqjH//paaY//
FadR-acyl-CoA_pos	
FadR_neg	nanA//aspC//yeaE//phnG//paaK//ruvB//entC//pgaD//metE//
FadR_pos	glmU//dapD//polB//ynfH//pyrD//rhaB//rbsK//allB//frc//wzc//
FeaR_pos	ugpQ//bioC//
FhlA-formate_pos	hcaD//tehB//caiA//fabB//eno//hcaE//fadI//hyaC//
FlhDC_neg	carA//dhaL//
FlhDC_pos	glpC//pgm//tadA//malZ//argE//idnK//garR//astA//nirD//glk//pgpC//lpd//
FliZ_neg	rbsD//mhpC//entH//glgP//yeaG//
FucR-L-fuculose-1-P_pos	paaK//araA//metC//gcvT//nagB//aroL//
Fur-Fe2_neg	pgaC//dhaK//citG//dgcC//dkgA//metL//aspC//gabT//dgcC//tdcG//speB//folE//gpmA//nrdE//puuE//deoB//tauD//trpA//purM//dkgA//gutQ//napB//torC//recF//puuC//dgcZ//accA//yfdE//recF//tehB//xylB//lacA//umuD//cyoE//ftnA//ynfE//glgA//ogt//nirD//serA//allA//gabT//patA//metK//sucB//fadD//fdhF//prs//wecC//metB//hycF//phnI//nanK//
Fur-Fe2_pos	allD//deoD//uxaB//tdcG//ahpC//purA//xapA//galE//argI//hemH//mhpE//nrdE//glgC//frdB//dgcZ//lysA//
GadE-RcsB_pos	fadB//glcD//deoC//ulaE//gdhA//
GadE_pos	sucB//paaY//alkB//ccp//gor//phnO//nadA//torA//moaE//moeB//
GadW_neg	mhpE//narG//hycD//
GadW_pos	srlD//ubiA//paaI//ynfF//
GadX_neg	ilvC//bioF//kbaY//
GadX_pos	pagP//ada//phnL//nrdB//glxK//gatY//nemA//paaF//sucC//astD//purB//
GalR-beta-D-galactose_neg	prpB//gadA//uxuA//alkB//ftnA//
GalR-beta-D-galactose_pos	glgC//mngB//alsE//leuB//
GalR_neg	hcaC//murE//rffC//gloA//rsmH//fucI//
GalR_pos	accC//mltF//atoD//rutB//
GalS-beta-D-galactose_neg	narG//kbaZ//ppc//mhpC//hypF//
GalS-beta-D-galactose_pos	rhaB//pncB//tyrB//leuC//
GalS_neg	truB//glsA//leuA//galM//allC//recB//
GalS_pos	treC//rhaA//udp//dapB//
GatR_neg	caiD//glnA//uxaA//
GcvA_neg	ribA//rutC//trpE//
GcvA_pos	adhE//moaA//ttdB//
GlcC-glycolate_neg	
GlcC-glycolate_pos	poxB//leuB//relA//
GlpR_neg	fucA//puuC//acnA//mpl//metH//dhaM//malY//
GlrR-Pasp56_pos	
GntR_neg	asnA//ulaE//purH//fabI//ung//citD//ybjG//tyrA//tnaA//
GutM_pos	hypF//argH//torA//
HU_neg	atoD//phnN//fadI//pncB//citG//moaA//phnO//
HU_pos	
HcaR-HCA_pos	purB//paaE//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	uvrB//
HigB-HigA_neg	glxK//
HipAB_neg	asnB//glmU//
HipB_neg	arsC//pgi//alaS//
HprR-Phosphorylated_neg	lhgO//hycE//
HprR-Phosphorylated_pos	accA//paaY//
HyfR_pos	ddlB//
HypT-Met-oxidized_neg	carA//srkA//
HypT-Met-oxidized_pos	moeA//trpD//ppc//accD//adiA//
IclR-pyruvate_neg	nirB//tdcG//atoB//
IdnR-5-ketogluconate_neg	wecC//fau//
IdnR-5-ketogluconate_pos	gpmM//yqhD//sodA//
IlvY-2-acetolactate_pos	paaY//
IlvY_neg	
IscR-2Fe-2S_neg	srkA//ribA//
IscR_neg	torA//leuB//entB//katG//
IscR_pos	aspC//dsdA//
KdgR_neg	rutA//icd//
KdpE-Phosphorylated_pos	rffH//
LacI_neg	garD//phnO//nagA//
LeuO_neg	
LeuO_pos	ydcS//cysI//fabG//glpQ//trpB//fucU//
LexA_neg	glcD//bioF//deoC//hcp//gatD//mhpB//yfdE//cysE//galM//mpaA//napA//codA//narI//glpB//fabD//alaC//gutQ//polA//ugpQ//hcp//nrfA//pykF//sgbH//
LldR-lactate_neg	alkB//pck//
LldR-lactate_pos	astA//napA//
LldR_neg	glk//appA//
LldR_pos	accA//glxK//
LrhA_neg	
LrhA_pos	
LsrR_neg	dapB//aceF//treC//folE//fau//
LysR_neg	
LysR_pos	umuC//
MalI_neg	glxK//aspC//
MalT-maltotriose-ATP_pos	murE//fucK//rhaA//pheS//srlD//allD//
MarA_neg	hcaD//
MarA_pos	wzb//glsA//treC//cysC//ribA//paaZ//ilvC//ahpC//ydcS//phnN//entH//putA//lysC//hcaF//ilvC//puuD//hycC//glcB//xylB//aceF//oxc//tauD//glpB//
MarR_neg	
MatA_neg	phnM//
MatA_pos	
MazE-MazF_neg	tam//
MazE_neg	uvrC//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	ynfE//entB//
MelR-melibiose_pos	mdh//caiB//
MelR_neg	cysN//tpiA//
MelR_pos	rutA//rutC//
MetJ-adenosylmethionine_neg	phnH//sbcD//fes//lpxC//phnM//melA//ybjG//treC//mhpD//sbcD//
MetR-L-homocysteine_neg	galT//
MetR-L-homocysteine_pos	paaE//bioA//
MetR_pos	argB//hcaC//
MhpR-3HPP_pos	allE//cdd//rffC//mnmG//ppsA//napG//
Mlc_neg	bacA//rtcA//mhpA//yeaG//
MlrA_pos	metC//
MngR_neg	frdC//hcaD//
MntR-Mn2_neg	glcB//
MntR-Mn2_pos	waaY//
ModE-MoO42-_neg	glnA//sbcC//xapA//cysK//glpD//phoA//dmsC//atoD//
ModE-MoO42-_pos	argA//cysJ//atoA//murG//idnO//putA//argB//carB//ogt//
MprA_neg	rhaA//alkB//glyA//
MqsA_neg	idnK//cynS//
MraZ_neg	acnA//ccp//gcvP//caiB//gdhA//paaF//waaH//galT//garL//moaE//
MurR_neg	lpxD//fucA//sbcD//
MurR_pos	
Nac_neg	lpxD//recB//cysJ//
Nac_pos	cysE//pgaD//iscS//tehB//srlD//malY//sdhA//srkA//
NadR_neg	moaC//rutE//ubiA//gdhA//
NagC_neg	astA//udp//eno//rpiB//yqhD//ftsI//nrdD//hypB//gatD//ynfG//cysI//phnG//ttdA//nirB//xapA//dgcZ//hyaA//ribA//
NagC_pos	recD//lyxK//
NanR_neg	cysD//argH//mhpB//fbaA//murQ//yiaK//
NanR_pos	
NarL-Phosphorylated_neg	alkB//ybjG//phnO//cysC//malZ//guaA//rnpB//frc//mhpF//atoA//moaA//nrdA//eda//glsA//fadE//purN//dsdA//fadE//fabI//moaA//rhaD//rffG//sgbE//fadM//tdcG//serA//ppsA//phnJ//
NarL-Phosphorylated_pos	srkA//srlD//phnM//cysK//galE//aroF//ascB//ynfF//lsrK//patA//metE//poxB//fumB//pck//lhgO//
NarP-Phosphorylated_neg	gatY//narI//rbsK//astB//nemA//
NarP-Phosphorylated_pos	gutQ//torA//yfdE//nrfC//sucB//entA//pgaD//ascB//puuA//rhaD//edd//speG//uvrA//cysH//
NemR_neg	allE//yeaE//
NhaR-Na_pos	trpB//pheT//astD//phnM//gpmM//
NikR-Ni2_neg	prpE//
NimR_neg	nrfA//
NorR_neg	
NorR_pos	astD//
NrdR-Zn2_neg	mraY//ynfF//slt//phoA//
NsrR_neg	oxc//trpE//gcvH//prpE//trpE//tadA//rfe//argI//lpxA//uxuB//pgaC//ulaE//rffT//murE//rffT//rhaA//garL//sgbU//ppsA//atoB//napB//cysI//tdcB//phnP//tam//nrdF//entC//rhaB//ampC//gdhA//purH//paaZ//lacZ//fadE//nadA//phnI//yfdE//allA//purC//allC//
NtrC-Phosphorylated_neg	gadA//moaE//
NtrC-Phosphorylated_pos	argH//fabZ//fumB//pgaB//mhpE//treC//rutE//fruK//leuB//tam//rhaB//paaY//wrbA//ndh//frc//fadA//leuC//deoD//alaC//rutE//gdhA//
OmpR-Phosphorylated_neg	pykF//waaY//fbaB//aroH//cdd//
OmpR-Phosphorylated_pos	murF//fabD//aroH//paaJ//
OxyR_neg	ndh//cysI//mhpB//ulaD//argB//
OxyR_pos	gnd//ubiA//tyrA//nrdD//lacZ//glk//ruvA//rtcB//folA//sucC//metB//lpxA//
PaaX_neg	acnA//mtlD//ogt//gudD//rnpB//purC//prpD//sodA//malP//
PdeL_pos	dhaM//
PdhR_neg	torC//rffT//chbG//leuD//cysI//bglB//sdhC//nagB//wecE//nrdD//ppc//nadB//ttdB//nadA//ruvB//frdB//allC//purB//tktB//glpC//amn//chbG//ruvB//
PdhR_pos	astD//paaF//
PepA_neg	fumC//fumC//
PgrR_neg	cynT//pgaC//
PhoB-Phosphorylated_neg	narI//fabB//entD//patD//araA//
PhoB-Phosphorylated_pos	rbsD//pnp//uxaA//hycF//rffT//phr//malQ//moaA//gatY//waaZ//codA//argF//fumC//astB//ilvC//leuD//tyrB//
PhoP-Phosphorylated_neg	fadE//fau//sdhB//
PhoP-Phosphorylated_pos	ulaG//fadB//ftsI//cysH//leuD//ttdB//srkA//tpiA//tynA//araB//fadA//trpA//xylB//rutB//rhaB//glmS//glgC//fadJ//betA//pgm//dgkA//mltF//napH//tpiA//fabZ//mngB//feaB//srkA//fdhF//bioD//trpC//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	pgk//astB//ftsI//cysG//
PspF_neg	
PspF_pos	gntK//
PurR-hypoxanthine_neg	phnJ//nemA//putA//speA//ung//pspE//ampC//umuD//umpH//hyi//aspA//kbaY//ulaG//rbsD//waaH//glyA//leuB//paaZ//trpD//nrdA//epd//mltF//ccp//phr//murF//pgaC//
PutA_neg	dgcC//leuB//
PuuR_neg	serA//pfkA//poxB//cyoE//purD//gatD//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	nanM//galE//hcaB//purL//lpd//
RcdA_neg	
RcdA_pos	deoA//
RclR_pos	
RcnR_neg	cysC//
RcsAB_neg	ogt//
RcsAB_pos	frdC//katG//
RcsB-BglJ_pos	entF//murC//
RcsB-Pasp56_neg	aroL//
RcsB-Pasp56_pos	idnK//glmS//uxaB//
RelB-RelE_neg	fabG//
RelB_neg	pgaB//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	hcaF//hemL//pdeL//ppc//
Rob_neg	
Rob_pos	glmU//carB//ahpF//atoB//torC//atoA//gloA//cysH//gloA//rutC//aldA//hyaB//bioB//slt//ribA//rutA//malY//paaY//nfsA//
RstA-Phosphorylated_neg	glmS//hyaA//
RstA-Phosphorylated_pos	rfe//
RtcR_pos	alkA//eno//
RutR_neg	rbsK//glpK//lpd//oxc//gntK//pgm//pgm//sgbU//mpl//narI//
RutR_pos	uxaB//
SdiA_neg	
SdiA_pos	
SgrR_neg	cysK//
SgrR_pos	lpxC//glgC//
SlyA_neg	
SlyA_pos	uxaB//hyi//alkA//fadA//aceE//galK//fumB//ldtC//phnL//
SoxR_neg	
SoxR_pos	rutD//deoB//rhaA//deoC//lyxK//pyrC//
SoxS_neg	
SoxS_pos	fabD//fau//uxaA//lacA//citX//pagP//hycC//cynT//speA//lysA//pfkA//uxaB//fumC//pgaC//pyrC//bglB//lsrK//malQ//cadA//pheS//rhaD//fucK//aroG//wrbA//paaK//galM//caiD//idnD//
SrlR_neg	pagP//edd//tdcD//
StpA_neg	nanK//patD//pflB//
SutR_neg	murE//fau//
SutR_pos	
TdcA_pos	sgbU//galE//glk//fucU//ttdA//
TdcR_pos	paaG//pgaD//fabZ//murG//argA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	nirB//ynfE//atoB//adiA//
TorR-TorI_neg	moeB//
TorR-TorI_pos	
TreR_neg	prs//nagB//
TrpR-tryptophan_neg	alsE//serA//aceA//udp//atoB//alaS//dkgA//rnpB//paaG//
TyrR-phenylalanine_neg	hcaB//uidA//
TyrR-phenylalanine_pos	fumC//
TyrR-tyrosine_neg	aroH//leuD//fruK//fabA//mhpB//nadA//
TyrR-tyrosine_pos	purK//rffT//
TyrR_neg	rutA//
TyrR_pos	ndh//
UhpA-Phosphorylated_pos	citE//
UidR_neg	bioF//glgP//
UlaR_neg	kbaZ//dmsA//glpK//alaC//nrdB//
UvrY-Phosphorylated_pos	prpC//dsdA//
UxuR_neg	nrdE//hcaE//hycE//gcvH//rhaA//
XapR-xanthosine_pos	fabZ//leuA//
XylR-xylose_neg	
XylR-xylose_pos	phnM//phnI//rbsD//
YdeO_neg	
YdeO_pos	treC//ahpC//argA//
YefM-YoeB_neg	murF//
YefM_neg	cysC//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	nanK//tauD//bioC//speG//deoC//pyrD//
YjjQ_neg	ynfF//recD//
YpdB-Phosphorylated_pos	
YqhC_pos	metH//ubiC//
YqjI_neg	purH//
ZntR-Zn2_pos	lhgO//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	nanK//
