# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fbaB//glcD//
CynR-cyanate_pos	speA//moaD//hycC//
CynR_neg	
CysB-O-acetyl-L-serine_neg	purM//caiD//dkgA//
CysB-O-acetyl-L-serine_pos	alkB//fadM//rutB//torA//ftnA//mhpE//glpK//fadB//paaB//garD//mdh//glyA//
CysB_neg	
CysB_pos	psd//garD//
CytR_neg	rpiB//xylB//astD//fadJ//argE//gadB//ynfH//citG//ydcS//bioD//
Dan-L-tartrate_pos	murC//pgpC//
DcuR-Phosphorylated_pos	deoC//leuB//purM//phnJ//
DeoR_neg	hyaC//poxB//rimK//fadB//ndh//glpQ//
DhaR_neg	
DhaR_pos	glmU//
DicA_neg	
DinJ-YafQ_neg	srkA//
DnaA-ATP_neg	nirD//waaH//rpiB//argG//lysC//
DnaA-ATP_pos	rutE//dmsA//glcE//
DpiA-Pasp_neg	
DpiA-Pasp_pos	glk//fucI//moaE//udp//paaB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	pncB//ribA//
EbgR_neg	
EnvR_neg	recF//cysN//
EnvY_pos	narG//nirD//
EvgA-Phosphorylated_pos	ubiX//uxaA//nrdE//glnA//pheS//serA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	pncB//cynS//mnmG//dgkA//narG//tpiA//
FabR_neg	entH//glgP//umuD//
FadR-acyl-CoA_pos	
FadR_neg	dapB//ahpF//tktB//malS//napH//cyoE//aspA//cueO//relA//
FadR_pos	poxB//hemH//yiaK//pgk//wecE//glpC//rffC//pspE//ubiC//ppc//
FeaR_pos	aroL//accC//
FhlA-formate_pos	garK//cysD//cysK//ssuD//uidA//ttdB//cysM//gudD//
FlhDC_neg	gabD//garR//
FlhDC_pos	fadE//fucU//pdeR//dmsB//ulaG//ppsA//wrbA//murC//fabZ//astA//yedX//nirD//
FliZ_neg	napB//argF//idnD//sucC//glsA//
FucR-L-fuculose-1-P_pos	waaY//alkA//lpxA//mhpE//luxS//yqjH//
Fur-Fe2_neg	ttdA//iscS//cysD//aldA//luxS//cysK//murI//aceA//allD//allD//paaK//nfsB//ldtB//sdhA//lysA//allB//fabI//uidA//paaB//ppc//tktB//nanM//glsA//purB//cysC//aceA//pyrD//tam//phnI//gor//napA//garK//cysE//katG//sdhB//gatY//tadA//astE//argC//umpH//fdhF//wecC//allB//uxuA//umuC//wzc//yedX//gatD//nrfD//rffT//ynfE//melA//glsA//
Fur-Fe2_pos	xylA//glxK//grxA//poxB//fucI//luxS//fabH//mdh//paaG//fbaA//pfkA//rhaD//glpB//yeaG//paaC//gor//
GadE-RcsB_pos	folA//gabD//astC//garR//rffG//
GadE_pos	putA//deoC//pdeR//lldD//mhpD//sucD//deoD//glmU//argI//prpC//
GadW_neg	ynfH//adiA//appA//
GadW_pos	glxK//recB//gnd//uxuA//
GadX_neg	yeaG//phnG//ynfG//
GadX_pos	argC//sdhC//mhpB//alsE//sdhD//paaB//fadE//dgcN//fabB//sdhA//phnI//
GalR-beta-D-galactose_neg	pnp//ftsI//sucD//murI//fumC//
GalR-beta-D-galactose_pos	fucO//eda//recF//gdhA//
GalR_neg	tdcB//ubiX//cysK//narH//adhE//hypB//
GalR_pos	lsrK//araB//hycC//paaJ//
GalS-beta-D-galactose_neg	hycD//allD//acnB//citF//fucI//
GalS-beta-D-galactose_pos	dapB//glsA//astA//hycG//
GalS_neg	fabD//nrfD//ada//dgcZ//nirB//lsrG//
GalS_pos	gatZ//paaI//deoA//gntK//
GatR_neg	uxuA//gudD//ulaF//
GcvA_neg	xapA//phnP//chbG//
GcvA_pos	idnD//dhaK//wecC//
GlcC-glycolate_neg	
GlcC-glycolate_pos	glcE//ynfF//trpE//
GlpR_neg	dhaL//hcp//yqjH//phnI//moaC//pgk//fabG//
GlrR-Pasp56_pos	
GntR_neg	fadA//uxuA//gutQ//leuD//sdhB//dgcC//trpD//gatZ//aceA//
GutM_pos	aspA//sucC//citF//
HU_neg	yqhD//phr//entA//nrdE//lysA//ulaE//glpC//
HU_pos	
HcaR-HCA_pos	alaC//purD//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	slt//
HigB-HigA_neg	dkgA//
HipAB_neg	speG//mazG//
HipB_neg	wecC//murE//aceE//
HprR-Phosphorylated_neg	aroL//ynfE//
HprR-Phosphorylated_pos	galE//slt//
HyfR_pos	glpK//
HypT-Met-oxidized_neg	metH//wecB//
HypT-Met-oxidized_pos	metF//phr//caiD//fadE//xapA//
IclR-pyruvate_neg	murC//entC//glpQ//
IdnR-5-ketogluconate_neg	gadA//murD//
IdnR-5-ketogluconate_pos	gabT//tauD//glgX//
IlvY-2-acetolactate_pos	rimK//
IlvY_neg	
IscR-2Fe-2S_neg	ung//galT//
IscR_neg	waaY//acnB//pdeL//narH//
IscR_pos	ruvA//hcaE//
KdgR_neg	fumC//ssuD//
KdpE-Phosphorylated_pos	umuC//
LacI_neg	alsE//aspC//rfe//
LeuO_neg	
LeuO_pos	alaS//gpmA//alkB//uxuA//pagP//pgaC//
LexA_neg	nfsA//murE//moeA//serA//nrdF//ubiC//dsdA//eda//prpB//bioB//argH//idnO//ynfF//gcl//nrfC//sbcC//moeB//nanE//glgX//accD//yfdE//malZ//ybjG//
LldR-lactate_neg	relA//dmsC//
LldR-lactate_pos	hmp//lpxD//
LldR_neg	purH//amn//
LldR_pos	galM//nanA//
LrhA_neg	
LrhA_pos	
LsrR_neg	ynfE//phnI//sgbH//uxaC//murF//
LysR_neg	
LysR_pos	paaK//
MalI_neg	dgcC//paaJ//
MalT-maltotriose-ATP_pos	alaC//argE//pagP//yeaE//nagB//rutD//
MarA_neg	tyrA//
MarA_pos	leuC//ccp//phoA//aroF//fadI//astC//pgaD//fruK//sdhD//ahpF//malP//eda//fes//fadI//cysM//dhaL//narI//idnD//araB//cadA//lsrF//wzc//wzb//
MarR_neg	
MatA_neg	sodB//
MatA_pos	
MazE-MazF_neg	lsrK//
MazE_neg	phnG//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	dgkA//cysH//
MelR-melibiose_pos	mpl//rhaD//
MelR_neg	uvrA//nanK//
MelR_pos	phnG//hcaE//
MetJ-adenosylmethionine_neg	tdcB//frdA//ycjG//glpX//tdcG//paaF//caiB//mnmG//argC//pgaC//
MetR-L-homocysteine_neg	melA//
MetR-L-homocysteine_pos	tyrB//metA//
MetR_pos	mazG//nrdE//
MhpR-3HPP_pos	bioC//zwf//hycC//idnD//ppsA//leuC//
Mlc_neg	betB//idnO//mhpF//hcaC//
MlrA_pos	garK//
MngR_neg	glgC//glmU//
MntR-Mn2_neg	eda//
MntR-Mn2_pos	xylA//
ModE-MoO42-_neg	pspE//entF//gadA//gnd//lldD//paaG//fbaB//mpl//
ModE-MoO42-_pos	rbsD//pgk//bioC//argF//murQ//srlD//frdB//ssuD//folA//
MprA_neg	fucK//citG//argI//
MqsA_neg	speG//rutB//
MraZ_neg	nanM//frdA//puuD//fucO//epd//betB//ascB//paaG//lldD//frdD//
MurR_neg	lldD//gudD//paaI//
MurR_pos	
Nac_neg	rutE//rhaD//epd//
Nac_pos	betA//gcvH//lpxA//hyaC//cdd//entC//lpd//caiC//
NadR_neg	fucO//ugpQ//prs//leuA//
NagC_neg	pck//caiD//garR//ogt//galK//mhpD//nemA//sbcD//pgaB//trpB//nemA//tdcG//fbaB//gatD//glxR//nanM//tynA//atoD//
NagC_pos	garR//cysH//
NanR_neg	ampC//sdhA//xylA//metL//ldtD//waaZ//
NanR_pos	
NarL-Phosphorylated_neg	fucO//puuA//cysI//dsdA//dsdA//katG//gcl//hypB//ribA//glgP//lysA//lsrG//chbG//gdhA//mhpB//cynS//asnB//guaA//wzb//rfe//lysA//umuC//purA//pheS//deoC//amn//caiD//ulaG//
NarL-Phosphorylated_pos	ung//metF//luxS//astE//garL//pgm//iscS//ulaF//nrfC//fadI//hcp//ftsI//nemA//leuC//nanE//
NarP-Phosphorylated_neg	bioD//ppsA//paaA//dsdA//malS//
NarP-Phosphorylated_pos	purD//allD//rpiB//aceA//atoD//idnK//idnO//glpQ//araA//hcaB//nfsA//patD//dhaM//gdhA//
NemR_neg	gadB//mhpF//
NhaR-Na_pos	fadD//rutD//moeB//mhpD//asnA//
NikR-Ni2_neg	trpE//
NimR_neg	nrdA//
NorR_neg	
NorR_pos	gatD//
NrdR-Zn2_neg	gutQ//malY//nanE//pepD//
NsrR_neg	gcvP//dmsA//thrS//hycG//rffM//entB//gabT//caiD//ssuD//fucO//rffM//metH//lysA//recF//mdh//uvrB//ygeA//lpxA//rutD//epd//dhaL//betB//galE//leuB//umpH//trpB//umpH//pgaC//phnM//accA//fucA//galT//yeaE//citE//putA//fumB//gor//rfe//sucA//ilvC//
NtrC-Phosphorylated_neg	bioF//kbaZ//
NtrC-Phosphorylated_pos	citF//leuD//cysC//dgkA//entE//sgbH//torA//rffG//glpA//waaH//astD//bioC//allC//hmp//wecC//citC//mhpA//paaK//gltB//ubiA//gltD//
OmpR-Phosphorylated_neg	glnA//fadI//srkA//hyaC//mhpD//
OmpR-Phosphorylated_pos	feaB//tyrA//murC//glpQ//
OxyR_neg	bioB//fabB//glpD//hycD//deoB//
OxyR_pos	ynfF//rpiB//entH//amn//nfsB//nemA//puuA//paaK//caiC//lysA//eno//hycB//
PaaX_neg	purB//ubiX//astC//folE//fumC//malZ//fucO//sdhC//dinB//
PdeL_pos	lysC//
PdhR_neg	fabB//paaH//hycD//gatZ//chbG//uvrA//putA//fucU//uxuB//ldtB//allB//glyA//entB//metC//sgbU//garR//napB//ydcS//rpiB//tpiA//nanK//gcvP//dapD//
PdhR_pos	malZ//uxuA//
PepA_neg	ahpF//frdC//
PgrR_neg	speG//mhpF//
PhoB-Phosphorylated_neg	bacA//ulaE//fucA//hcaE//tpiA//
PhoB-Phosphorylated_pos	gudD//citC//malS//umuD//guaB//oxc//frdA//phnL//phnO//hemH//malZ//polA//fadB//fadE//polA//glxK//argC//
PhoP-Phosphorylated_neg	leuB//rutA//paaJ//
PhoP-Phosphorylated_pos	bglB//dmsB//accA//gatY//iscS//cynT//allE//ampC//glk//rbsK//uvrB//pyrC//ttdA//ulaG//galK//paaJ//gabD//prpD//wzb//dmsB//icd//ulaG//aceA//pgaC//ulaE//gabT//nagA//pyrC//caiD//glpB//ppiA//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	purK//ahpC//ampC//glgP//
PspF_neg	
PspF_pos	purK//
PurR-hypoxanthine_neg	uvrA//umuD//glk//ftsI//fabZ//nrdE//cysE//katG//adhE//purK//ulaG//argD//tpiA//cysN//lysA//luxS//tyrB//dgcZ//nanA//gutQ//dinB//ppiA//rfe//oxc//nagB//rsmH//
PutA_neg	citX//ruvB//
PuuR_neg	phnH//tdcD//pgi//ttdA//leuA//napG//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	ribA//metK//carB//xapA//nrdA//
RcdA_neg	
RcdA_pos	purF//
RclR_pos	
RcnR_neg	fabI//
RcsAB_neg	amn//
RcsAB_pos	paaA//bioD//
RcsB-BglJ_pos	murG//gloA//
RcsB-Pasp56_neg	nrdD//
RcsB-Pasp56_pos	katE//mnmG//malZ//
RelB-RelE_neg	alaS//
RelB_neg	gabD//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	talA//argB//narH//mhpC//
Rob_neg	
Rob_pos	argE//narH//accA//psd//puuD//araA//waaZ//accD//guaA//fabZ//moeB//xylB//slt//accA//pgk//frdC//rimK//trpE//aceF//
RstA-Phosphorylated_neg	dkgA//murI//
RstA-Phosphorylated_pos	uxuA//
RtcR_pos	hycG//glsA//
RutR_neg	prpD//nrdA//moaC//entD//fabZ//sbcD//accD//nirB//rffH//glpQ//
RutR_pos	deoB//
SdiA_neg	
SdiA_pos	
SgrR_neg	sdhB//
SgrR_pos	puuC//prs//
SlyA_neg	
SlyA_pos	napB//galT//iscS//glxK//umpH//fadH//narI//glcF//tehB//
SoxR_neg	
SoxR_pos	ilvC//talA//rfe//pyrD//pncB//uxaC//
SoxS_neg	
SoxS_pos	pncB//idnK//rutD//gatZ//dhaM//murG//uxaC//astA//aceF//gltD//murD//umuC//deoD//fabZ//pgpC//moaC//glcF//dhaM//sdhD//caiB//sufS//phnM//gabT//frc//pagP//glpD//murI//tyrA//
SrlR_neg	pfkA//alkB//puuB//
StpA_neg	fucK//metF//gadA//
SutR_neg	deoB//sdhB//
SutR_pos	
TdcA_pos	glxR//purH//alaC//patD//lacA//
TdcR_pos	rhaA//fadD//araA//gcvP//aceF//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	glpC//glpC//yqhD//gltB//
TorR-TorI_neg	poxB//
TorR-TorI_pos	
TreR_neg	serA//bioB//
TrpR-tryptophan_neg	hcaF//aroF//glgP//hycG//sgbU//ppsA//garK//ftsI//tehB//
TyrR-phenylalanine_neg	tdcE//nagA//
TyrR-phenylalanine_pos	acnA//
TyrR-tyrosine_neg	ftnA//lsrF//fabI//murI//sdhA//nrdD//
TyrR-tyrosine_pos	ycjG//umuD//
TyrR_neg	waaH//
TyrR_pos	pheS//
UhpA-Phosphorylated_pos	citD//
UidR_neg	nagB//cyoE//
UlaR_neg	purC//entH//hcaB//sbcD//bioA//
UvrY-Phosphorylated_pos	garR//gpmA//
UxuR_neg	garK//hycF//rtcB//hemL//rffG//
XapR-xanthosine_pos	tam//garK//
XylR-xylose_neg	
XylR-xylose_pos	atoA//entB//rutB//
YdeO_neg	
YdeO_pos	citE//cueO//mdh//
YefM-YoeB_neg	adiA//
YefM_neg	fabD//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	garL//allD//paaY//malP//tyrA//paaJ//
YjjQ_neg	mngB//metL//
YpdB-Phosphorylated_pos	
YqhC_pos	entE//astE//
YqjI_neg	argC//
ZntR-Zn2_pos	metA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	speA//
