# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	tehB//cyoE//
NarP-Phosphorylated_neg	tyrB//gadB//ruvA//sucB//hcp//
NarP-Phosphorylated_pos	acnB//glyA//hycE//atoA//speB//citD//murG//wzb//puuA//yqjH//cueO//accA//citX//ogt//
NemR_neg	hyaA//entB//
NhaR-Na_pos	allA//rpiB//melA//garD//gdhA//
NikR-Ni2_neg	prpD//
NimR_neg	phnM//
NorR_neg	
NorR_pos	zwf//
NrdR-Zn2_neg	folE//tpiA//aldA//paaH//
NsrR_neg	hycG//acnA//metB//fbaA//caiD//moaD//trpD//dsdA//tnaA//paaZ//accA//metH//nirD//prs//lsrK//trpE//wecE//murQ//phnJ//araB//nrdD//fucU//rsmH//deoD//putA//kbaY//recF//aceF//sbcC//xapA//fadD//pgaD//ynfF//ada//purC//glxK//hycG//astA//cysH//fabB//
NtrC-Phosphorylated_neg	araD//nrdD//
NtrC-Phosphorylated_pos	asnA//argE//chbG//yqhD//srkA//sdhB//ldtD//sgbH//fabB//metA//psd//glgC//pykF//gapA//alaS//nrdD//prpE//feaB//glcB//pdeR//argF//
OmpR-Phosphorylated_neg	sgbE//ftsI//rutD//xylA//rutA//
OmpR-Phosphorylated_pos	ascB//citG//melA//ynfF//
OxyR_neg	alaS//nfsA//acnA//cyoE//ycjG//
OxyR_pos	argB//nemA//fdhF//trpD//metA//fucU//recF//lpd//glgA//fadH//katE//paaK//
PaaX_neg	alkB//sdhD//pyrD//codA//speA//glcD//srlD//astE//aceE//
PdeL_pos	polB//
PdhR_neg	puuE//rffT//folA//tdcD//ada//entC//rnpB//rbsD//ahpF//fadM//pdeL//hemL//sgbU//dgkA//tehB//glpC//ppiA//acnB//cysH//gatD//yedX//murC//fabI//
PdhR_pos	gloA//argG//
PepA_neg	murD//sdhC//
PgrR_neg	mhpF//fadH//
PhoB-Phosphorylated_neg	folE//nagA//bacA//carA//nrdA//
PhoB-Phosphorylated_pos	alkA//melA//gdhA//dapD//cysJ//ynfF//napG//citD//nadB//patA//glpQ//xylB//tehB//mpl//fadB//sdhC//uvrA//
PhoP-Phosphorylated_neg	polA//lpxD//mpaA//
PhoP-Phosphorylated_pos	purK//ppiA//rutC//entE//mhpF//hcp//mltF//kbaZ//ccp//rbsD//asnB//nemA//cueO//pgpC//speB//napG//rffT//argE//argB//paaC//paaH//paaA//lpxD//fbaB//leuB//edd//ubiA//folE//asnA//phnI//gor//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	gabT//glxR//treC//lysA//
PspF_neg	
PspF_pos	hypB//
PurR-hypoxanthine_neg	fadJ//ttdB//napA//ruvB//allA//araA//purB//bioC//ldtD//rtcB//aceF//mhpD//hycD//frdD//alkA//recB//glpC//gloA//glcE//metB//lsrK//metB//lldD//nrdA//puuC//pyrC//
PutA_neg	pflB//cynT//
PuuR_neg	malZ//rutD//fabI//argG//asnA//lsrF//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	asnA//hyaC//phoA//talA//aceB//
RcdA_neg	
RcdA_pos	carB//
RclR_pos	
RcnR_neg	lyxK//
RcsAB_neg	dacC//
RcsAB_pos	tyrB//citE//
RcsB-BglJ_pos	rffM//waaZ//
RcsB-Pasp56_neg	bioD//
RcsB-Pasp56_pos	rffC//rimK//cysD//
RelB-RelE_neg	paaY//
RelB_neg	allA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	entB//glgC//yedX//rutB//
Rob_neg	
Rob_pos	rffM//atoA//ada//ascB//rffT//ddlB//sucD//wecB//mhpB//bioF//bglB//sdhA//pykF//paaG//leuA//hcaD//rffT//caiA//ahpF//
RstA-Phosphorylated_neg	acnB//galM//
RstA-Phosphorylated_pos	entD//
RtcR_pos	ldtC//cysE//
RutR_neg	adhE//prpD//hcp//ybjG//ynfE//cysE//astB//rhaA//cysM//metE//
RutR_pos	nrfA//
SdiA_neg	
SdiA_pos	
SgrR_neg	ttdB//
SgrR_pos	lacA//hycE//
SlyA_neg	
SlyA_pos	glpA//lacA//pgaB//gltD//galT//leuD//carA//arsC//mazG//
SoxR_neg	
SoxR_pos	waaY//gcl//rutC//rhaA//glpX//dhaM//
SoxS_neg	
SoxS_pos	waaY//trpC//lyxK//ftnA//hmp//dgkA//ynfG//aceB//ruvB//feaB//fbaB//nrfC//malQ//paaZ//fadM//carA//metE//nanM//ulaE//ubiC//pncB//galK//moaA//lysC//codA//udp//ogt//aroH//
SrlR_neg	astC//nagB//ddlB//
StpA_neg	pagP//glgB//kbaY//
SutR_neg	nanK//gor//
SutR_pos	
TdcA_pos	gcl//recD//purC//phnO//pagP//
TdcR_pos	caiC//idnD//carA//mpaA//aceA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	sbcD//entB//phnI//gadA//
TorR-TorI_neg	ascB//
TorR-TorI_pos	
TreR_neg	ubiC//sucB//
TrpR-tryptophan_neg	uxaA//pdeH//bioD//sbcC//patD//malP//glcD//gdhA//galE//
TyrR-phenylalanine_neg	sodB//purD//
TyrR-phenylalanine_pos	speG//
TyrR-tyrosine_neg	ccp//citC//phr//nanM//lysC//tpiA//
TyrR-tyrosine_pos	entA//pdeH//
TyrR_neg	allC//
TyrR_pos	idnD//
UhpA-Phosphorylated_pos	paaA//
UidR_neg	metK//ahpF//
UlaR_neg	hycC//murE//ccp//rsmH//dgcN//
UvrY-Phosphorylated_pos	amn//sodA//
UxuR_neg	ulaE//caiD//glmU//pfkA//tdcE//
XapR-xanthosine_pos	ydcS//phr//
XylR-xylose_neg	
XylR-xylose_pos	pagP//gabD//frdB//
YdeO_neg	
YdeO_pos	aceF//uxaC//moeB//
YefM-YoeB_neg	puuE//
YefM_neg	nirD//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	allE//mpl//dgcC//metC//gdhA//moaD//
YjjQ_neg	accA//sgbU//
YpdB-Phosphorylated_pos	
YqhC_pos	gabT//putA//
YqjI_neg	yfdE//
ZntR-Zn2_pos	araA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	nrdE//
