#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rbsR//gntX//
ArgR-L-arginine_pos	nikE//atoA//bcsZ//rcnA//sbmA//
AtoC-phosphorylated_pos	emrK//sdhA//araG//argF//
BaeR-Phosphorylated_pos	napF//galT//iscA//aaeX//dnaA//rhaA//modC//nuoB//
BirA-bio-5'-AMP_neg	gdhA//adiC//trpC//cadB//gcvH//
CRP-cAMP_neg	nuoC//paaK//fhlA//soxR//ydeJ//nagE//argE//yrbL//rseC//hyfA//aceF//speC//pagP//hyfC//malS//phnK//serA//focB//hyaF//exbD//tdcC//degP//rimM//evgA//puuA//hyaB//mhpR//hflC//nupC//cdd//argO//ompA//evgA//cstA//nanT//fadD//caiE//amiB//ulaA//hycD//fliA//astE//lsrR//glpF//phoP//uxaB//rrsG//araA//ulaD//glpQ//ykgM//xdhB//araG//rrlA//ydhV//abgB//acrD//aaeB//marB//katE//cusB//cysD//gntX//gntT//osmY//fadD//fecD//gatD//purR//appC//yneM//hybO//marA//gntK//argF//ilvA//garP//dusB//ilvD//ydeM//casB//artJ//crr//efeU_2//hypF//nanS//hypD//fucK//mntH//ydhW//xapA//gspO//gatZ//rybB//gcd//malZ//alaU//hfq//rrfE//pck//bcsZ//hofN//lysP//rnlB//glpD//uxaB//truB//yqaE//cas1//ybiT//phnJ//chiP//upp//ssuC//oxc//yaiW//ugpB//gntK//lpxB//cysH//ycjX//phoP//hflC//rrsB//yegR//puuC//ydfH//efeU_2//tsgA//flhD//ssrS//feaB//abgA//
CRP-cAMP_pos	yaeQ//torR//gspD//cyoE//hupB//metA//agaA//rrfH//appA//lsrG//treC//bioF//rrfG//flhD//mtlR//tdcA//gntX//raiA//csiE//yojI//livK//entA//tsx//fliZ//phnO//phoP//aceB//fimD//grxC//tolC//malK//nuoM//hycH//rpsF//dppA//oppC//infC//cusC//fadI//hycC//dusB//aldA//feaB//argP//ygiA//marA//yaeQ//acrF//yhcH//sufD//ygeH//gabD//fnrS//hybE//mpl//bcsB//gatA//pgpC//ilvE//miaA//glrR//pgpC//hha//araB//lsrF//nuoB//malE//ilvE//fimF//pitB//rybB//spf//mhpR//rseC//tdcC//qseC//glnB//iraM//glgA//nirB//atoE//cyoC//xapB//yecR//ychH//ydhU//puuP//deoC//ydeJ//hybA//yegH//yfdX//nrdF//phoA//rhaD//hisP//puuE//pck//tdcE//tar//ldtC//gatA//fumB//livG//alaV//artJ//sbcD//astB//oxc//yqjH//fepB//alaS//fecD//tauC//uxaB//speC//iscS//ygiA//cvpA//appX//atoA//fixA//tnaB//rplW//hybB//fnrS//modA//hflC//alaA//tyrR//galT//ccmE//slt//metC//fecB//zntA//hypB//hyfB//ydhT//ychO//gcvP//rbsK//mutL//emrK//hyfC//gntR//yjeF//nanA//bglG//erpA//rrfG//hybG//xdhB//prpD//cirA//ulaB//ileV//hycI//glgC//moaE//betT//uxaB//dppD//rcnB//narI//creD//rbfA//ssb//rrfA//pnp//galK//xapA//ccmB//paaD//mepH//osmY//ygeH//ndh//hlyE//uxaC//yaiA//puuC//mhpF//yjiY//malQ//hdeD//alkA//hycF//phnH//tdcA//rrfA//dusB//umpH//nrdF//ssuB//lacZ//rutA//cusA//lpxD//dadA//rrfD//hofN//rutB//cysA//dkgB//evgA//preT//livJ//tdcB//paaZ//modA//citX//thrV//ygiA//atoA//rpmI//galE//entB//rrlC//oppD//entS//dps//dsdA//dps//puuA//hcr//phoE//gltV//gadB//bhsA//gltB//mscM//malZ//hofN//adhE//cirA//bioF//aspA//fis//fadD//nuoG//nuoH//artJ//gutM//miaA//dppB//tsgA//fdnH//yccA//mdh//sufS//fepC//rybA//yqjI//ydfN//astD//nuoB//nlpE//dctA//ycjX//evgS//infB//nuoL//raiA//frdB//fdnH//qseC//hycA//idnT//hyfH//casB//cysA//phoP//astC//aspA//fliA//fucI//fimD//ubiG//paaD//ygbA//sbmA//astA//tdcG//nanM//aceB//ispE//ugpQ//tyrA//fau//phnE_1//modA//cydD//astB//yaeQ//entB//bioD//lsrK//borD//hyaE//glpB//rdoA//puuP//sohB//mglC//lysP//iraD//atoD//ompC//ppiD//yfiP//phnM//caiT//ssuC//dmsD//gltT//glgS//dsdA//malF//entA//dmsB//ydeP//hybG//hyfI//oppF//dusB//paaB//glnD//ycdZ//fadD//napF//xapB//lacZ//argT//yibN//bamA//treB//bioD//betA//sdhD//ulaF//yhcH//pdeF//kbaZ//metY//ydeM//lysA//casA//ykgO//hyfD//alkA//rutE//nikA//agaW//csiE//artM//argO//ybdN//lysU//ydiU//metN//hybC//fadD//phoH//nagA//glpF//rseA//hybO//glgA//nusA//hypF//allE//phnF//yjcH//modB//sufS//grcA//araH//sdhA//metC//iscS//actP//cspE//trpD//argE//phnH//rpsC//ileU//gntR//ygiB//rbsC//cyoC//lldD//csgE//fes//cyaR//modB//fliA//uhpA//torA//yjcH//borD//ynfH//cueO//idnR//mglC//cusC//hycG//fimG//argA//betA//alaT//tsr//gatZ//carB//aspC//narI//envY//paaJ//dusB//nrfE//zwf//fecE//pgaC//narQ//appX//ansB//tktB//cyoB//
ChbR-Monoacetylchitobiose-6P_neg	rrlB//rrlH//cspD//fucO//gcvP//yfdV//
ChbR-Monoacetylchitobiose-6P_pos	znuB//ryhB//gdhA//dsdA//sucA//nuoB//
CpxR-Phosphorylated_neg	yfiP//casE//tsr//ahpF//rpoH//argB//glnK//ndh//astC//phoQ//xdhB//treC//rprA//ydfH//ppiD//efeU_2//cynS//malG//mgtL//mdtC//puuA//hofO//zraR//nirB//
CpxR-Phosphorylated_pos	puuR//acrF//ilvD//ybiT//emrK//nuoL//cyoE//hcp//cydC//rrfA//artI//hupB//abgB//srlE//gcvH//ytfE//emrK//cheB//manZ//fucO//ubiG//flhD//hycC//acs//rrfE//nrdH//gatC//purE//nfuA//narK//phnC//icd//treB//nrfC//actP//yhiD//cysD//ycjF//atoD//moaD//hupB//iraM//galM//ispE//thrS//
CreB-Phosphorylated_neg	csiE//yecR//ydhV//
CreB-Phosphorylated_pos	entC//dppC//cusS//ndh//uxaA//fimD//
CueR-Ag_neg	pstS//mepH//gyrA//frdB//thrV//
CueR-Ag_pos	ptsI//lsrD//
CueR-Cu+_neg	yeaE//yneM//rrfE//manA//malG//
CueR-Cu+_pos	agaA//lpxB//
CuerR-Au_neg	norW//gntT//phnK//pgpC//ileU//
CuerR-Au_pos	ynfG//fucI//
CusR-Pasp_pos	cysN//malZ//xylR//sodA//nagC//trxA//hyfA//gntP//idnO//grxD//pyrC//pstA//
CynR-Cyanate_neg	betT//
CynR-Cyanate_pos	mhpR//gltU//glcG//
CysB-N-acetyl-L-serine_neg	lpd//uidB//rpsQ//purN//fimI//yhfA//ndh//
CysB-N-acetyl-L-serine_pos	rseA//mgrR//yfbR//yeiP//alkB//xylA//oxc//gspI//mhpB//frdC//rhaB//entB//ccmE//rrlD//hycG//borD//cydC//mgrR//ydeP//rpsQ//glgB//tyrB//srlR//
CysB-O-acetyl-L-serine_neg	argP//torR//glnB//rybA//gapA//aldB//mgrR//
CysB-O-acetyl-L-serine_pos	dpiA//rplM//cvpA//dmsB//hycG//lysO//purD//rplV//upp//rrlH//ompX//ilvL//appY//sucD//nirC//fecA//yegZ//tauA//frdC//hycF//tdcB//asr//edd//nuoB//
DcuR-Phosphorylated_pos	baeR//cheY//torC//rbsR//gltW//nagE//ssuE//csgD//citF//
DnaA-ATP_neg	metJ//hyfI//gatZ//appC//uxuA//cysW//galM//mntH//fdnH//aroH//rpsI//
DnaA-ATP_pos	tsr//atoA//purE//ydfH//fecI//feaB//nuoF//
DpiA-Pasp_neg	cydC//
DpiA-Pasp_pos	gspM//feoA//mdtC//caiB//prpD//agaV//psiE//mtr//pdeF//narJ//
DsdC-D-serine_neg	arfB//
DsdC-D-serine_pos	moaA//rutC//
EvgA-Phosphorylated_pos	proP//glnK//citX//napD//fdhF//leuE//dsdC//ssuE//dapD//nmpC//hycF//feaB//mhpA//cheW//rutF//
FNR-[4Fe-4S]2+ reduced_neg	rbfA//aceF//uidA//nuoM//fadI//uraA//garL//hybG//nuoH//hycG//alaT//rrlH//rnpB//hypC//yhfA//ppiA//qseC//fixB//cyoB//gntK//rcnB//ssuA//csgA//phnM//gntR//hisQ//acrD//rybB//gcvH//ycjF//yebE//aspC//treR//qseB//pflB//feoB//fadA//rbsR//rcnA//glpC//baeS//idnT//srlB//nohA//feoA//rdoA//narL//mntS//nusA//hslJ//focB//glpQ//acrD//entH//dusB//gntU//nlpD//puuR//fepB//glgS//rnpB//ycjF//nuoH//ulaC//glpR//phoP//rutG//ydhT//frdA//abgB//paaK//aspA//ydeN//mdtA//galS//spy//yneM//moaB//sbcD//nikE//yfdX//iraM//fumA//amn//araB//dcuR//nmpC//glcC//sdhB//srlD//hflC//abgT//yhcH//xylH//ivbL//glpQ//hdeB//mhpR//gcvT//gadC//gpmA//fepC//rrfD//iscU//znuC//fimI//recF//uxuR//lldP//phnE_2//rutC//ykgR//csgE//carA//paaC//prfA//argB//dnaN//csgG//yaiW//
FNR-[4Fe-4S]2+ reduced_pos	bdcA//hfq//modA//cysI//aldA//garP//hybA//ompF//gcvP//ygiC//paaH//cvpA//malM//ccmF//ugpB//marB//paaE//ccmA//fecE//narJ//gabD//ppdD//puuE//cstA//hyaD//ung//cydA//sucD//bcsZ//xylB//cusS//nanC//cusB//hycI//cynR//srlE//tonB//ssb//cas1//glpB//aspA//dadX//nrfD//entH//metN//cspD//hlyE//ilvN//nadC//paaD//hcp//artI//nagE//nuoH//alaS//oppF//cadC//casA//entS//puuC//treC//csgD//rplB//glcD//hofB//mglB//rutF//glpR//gapA//metN//tadA//cvpA//lysP//fucI//aer//azuC//ydfH//edd//bamE//pgaC//dppF//bhsA//phnG//narL//preA//hypD//rutE//mtlD//hyaF//ycjX//cas2//acrD//ihfA//thrS//fadI//carA//araG//garP//phnL//rpsF//nirD//phnH//ivbL//xdhB//allD//mhpE//feoC//csiE//ybdN//rbsD//fucP//hofO//fecA//rplV//spy//glcB//rpsF//hfq//gatC//ileU//pyrC//trg//ldtC//map//cadB//nikR//carA//ptsH//cysJ//phoQ//ompC//gutM//cusA//preA//torR//ompF//dcuR//gntT//nuoF//mdh//fadE//hyfD//glcC//ydhW//rrsA//nuoK//csgB//glrR//araF//hybF//tam//ccmB//nagC//mntS//fliA//nikE//dpiB//srlD//melA//dsdA//cydC//yhhY//atoE//allE//citC//truB//dapD//paaE//ubiC//rrfA//nuoI//ispE//atoD//cynS//sbcD//rpsJ//pheS//speB//zraS//ulaA//paaC//narK//bioC//tonB//galS//tonB//grcA//envY//acrB//xylF//hlyE//uxaB//glcC//lsrK//ygiB//appB//gltA//yecR//alaS//prfA//paaH//aroA//
FhlA-Formate_pos	preT//gltV//yaeP//ydhU//araH//glgS//artQ//tcyJ//hupA//iscA//entF//safA//aldB//tdcG//borD//rutC//kbaZ//pstS//gabD//tap//rrlD//phnH//phoQ//nrdI//cas2//nlpD//dnaA//gatA//gltD//lsrD//
FucR-L-fuculose-1-phosphate_pos	pck//glpK//nuoM//iscS//tnaC//rplM//rhaD//
Fur-Fe2+_neg	motA//edd//yrbL//glcD//ygeA//gabP//malP//bglF//treB//phnE_1//hyfA//dadX//hyaD//nrfD//mglA//dapB//bglG//fepE//xylA//idnD//yecR//tar//uidB//argB//fucA//bglB//gltW//cheB//cysU//xylH//ptsG//creA//srlA//ccmB//livM//serA//xylF//melB//yebE//yggX//acrB//rpoH//rbsK//nuoN//csiE//rutE//tnaC//metA//acrD//frdA//alkA//rutF//hybO//garP//entA//yjcH//miaA//yeiW//iscA//iscR//gatD//nikR//deoD//rrlE//dppA//feoB//entD//astC//tsgA//xseA//ccmB//ynfF//livM//ychH//gntX//ykgO//pyrC//recF//sufB//nrfG//argG//dpiA//hlyE//nuoM//gltU//gltT//mgrR//ulaA//mhpD//oxyR//hybC//mgrR//creB//caiE//chbC//nohA//arfB//iclR//lysO//cyoA//rutG//tyrP//yaeP//ycjF//entA//metL//idnO//glgP//yiaJ//rutB//fimF//purM//entF//purD//fimG//stpA//yojI//dpiA//thrS//araE//paaA//glcG//artP//xylA//
Fur-Fe2+_pos	oppC//gltD//napC//nikR//hyfB//hemA//tap//hemA//fhuC//pstB//nagC//cdd//cysC//napF//alaA//gspG//modA//aroG//gntT//fhuA//rbsR//ydeO//metL//hyfC//paaH//
Fur-Mn2+_neg	rrfG//malQ//hha//hybO//fumC//ryhB//dcuA//lsrR//ydfN//entF//bacA//nikA//ssuA//yqjI//ydhW//bacA//aidB//fnrS//hycE//ugpB//spy//folA//srlR//phnM//argC//phnP//uhpA//dsdC//rrfG//fecR//gltD//ssuD//ydeN//hflK//mpl//mntH//guaB//dppA//fixX//preA//ivbL//fadH//hycD//ccmD//metF//rrsE//glcD//yoaC//ilvD//gspC//dapD//modB//tpx//entB//pncB//cytR//safA//rplS//treB//rrlE//kbl//purL//phnO//fliA//ilvB//gatC//fadL//edd//baeS//katE//rrlE//paaH//artJ//ssuD//cas2//atoA//hypB//sodB//yjeV//lsrC//rpsF//ycdZ//proP//ldtC//pstC//stpA//talA//dmsC//hypE//norR//glgA//cheY//phnP//rpsF//hyfC//zwf//metK//fimA//nupC//paaF//fadH//glpQ//sbmC//dsdX//rseA//ykgO//metQ//astD//moaA//astE//fhuD//yaeP//sohB//ompC//nfuA//rrsG//micF//hybG//adhE//rplT//mhpR//tauB//fucR//trpL//
Fur-Mn2+_pos	ilvL//rseA//yhcH//psiF//aaeR//hyaC//slyB//bcsA//rbsA//hdeD//mglB//ccmB//glgP//erpA//yaeQ//tyrR//caiD//fadL//hyaB//gspK//hybB//galE//asr//exbB//fldA//
GlcC-Acetate_neg	arfB//
GlcC-Acetate_pos	nlpD//osmY//nanE//pheT//yeiL//hpt//
GlcC-Glycolate_neg	ytfE//
GlcC-Glycolate_pos	zraR//rrfE//yojI//dapB//dppF//pyrC//
GlrR-Pasp56_pos	nagE//
IclR-pyruvate_neg	rpoE//nmpC//lsrK//ygiB//
IdnR-5-ketogluconate_neg	cheR//lldP//tdcC//
IdnR-5-ketogluconate_pos	csgE//iscA//oppB//entF//nrdH//
IdnR-Idonate_neg	ugpA//nuoI//icd//
IdnR-Idonate_pos	ilvY//gntR//puuE//treC//yfaE//
IlvY-2-acetolactate_neg	nrfC//
IlvY-2-acetolactate_pos	rplM//
IlvY-Alfa-acetohydroxybutirate_neg	deoD//
IlvY-Alfa-acetohydroxybutirate_pos	yoaC//
IscR-[2Fe-2S]1+_neg	ulaF//fucO//uhpA//ampE//csiD//tsr//abgT//bglB//evgS//sbmA//sufB//hypE//mdtC//fhuA//nrdF//gntR//ung//prpB//glgB//nrdG//murQ//gpsA//crp//miaA//rpsJ//bdcA//acnA//truB//narQ//glnD//
IscR-[2Fe-2S]1+_pos	ampE//glcA//hypE//rbsR//cysU//ulaF//aaeX//mglB//amtB//glpE//nusA//
LldR-L-lactate_neg	degP//mutL//uxuA//
LldR-L-lactate_pos	citE//fliZ//rrlA//
Lrp-Leucine_neg	cusC//frdB//sufC//caiB//dpiA//ccmB//fimE//cspE//phoP//fumB//mhpR//xseA//glcB//mltC//hpt//lsrG//fepG//osmY//aroA//ptsH//ompC//cyoB//sodA//ileU//waaH//cusS//yjcH//metC//hupB//puuP//yegZ//alaV//fhuE//nikB//rybA//gltD//purK//xylF//bdcA//glnK//nohA//iraD//mglB//citG//hofN//degP//tauB//entD//prpD//ssuD//napC//hisQ//acrD//nikB//trg//casD//fldA//lsrG//tnaB//rutF//psd//purK//rpsC//ssuB//entC//mtr//sbcD//lsrC//iscU//ccmH//cheA//hybE//betI//dpiA//trpD//
Lrp-Leucine_pos	ybdZ//oppF//araD//deoA//gapA//nrfC//ydhY//aaeX//hisJ//astA//lsrR//malE//fecA//pyrC//tyrR//dsdX//ilvE//livM//pyrC//ccmB//fliA//rprA//xapA//mscM//dppA//glnL//yciW//trpC//tomB//cdd//bcsC//fis//fes//ychO//rutE//
LsrR_neg	pitB//dsdA//hflD//lacY//grxC//ilvY//idnT//gspJ//ygiB//
MalT-ADP-Maltotriose_pos	napA//rpsF//actP//gntT//rpsI//gadC//tadA//glpF//prs//yqjI//
MalT-Maltotriose-ATP_pos	nanM//ahpF//hofC//hyfF//artJ//lldD//purR//gatC//gadB//mlc//
MelR-Melibiose_neg	yoaC//pta//katE//
MelR-Melibiose_pos	fliZ//phnF//gcvH//
MetJ-S-adenosylmethionine_neg	cysB//fadB//uraA//ilvG_2//hyfG//bioC//ubiX//norR//paaK//yfeW//nrfG//arcZ//bioA//znuA//fadJ//
MetR-L-homocysteine_neg	tam//yojI//
MetR-L-homocysteine_pos	cyoC//tolC//rplW//yfbR//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	gspF//rpmC//astD//fbaA//ompW//yjeF//
MhpR-3HPP_pos	metA//hha//gntU//lysO//purR//ompF//
MntR-Cd2+_neg	cra//rrfF//dcuS//pyrD//
MntR-Cd2+_pos	dnaE//
ModE-MoO42-_neg	glpB//efeU_2//nrfC//hisJ//chbC//uxaA//skp//uhpT//napF//alaU//glcG//ydhU//casA//paaK//cheZ//
ModE-MoO42-_pos	rseA//nikR//yfdX//phoA//fimE//gabP//katG//gatY//hofP//ilvG_2//agaW//yjeF//ugpA//gltF//trpA//uxaB//ascB//aaeB//baeR//metK//bioD//gntU//mhpD//fabZ//pdeF//cydB//sdhB//dmsC//znuB//glnB//fdhF//
NarL-Phosphorylated_neg	argC//fucO//ilvG_2//tam//gpsA//oppA//pitB//gadB//yfeW//ryhB//mhpE//aaeA//hyfB//glpQ//hypD//galM//bioC//dcuR//exbB//rutC//rrfC//murP//tyrB//betA//putP//ycdZ//idnR//paaZ//carA//agaA//bioA//dpiB//metN//nanC//focB//glgS//phnL//ssuC//yegZ//xylR//rplB//hybC//xdhC//ydbD//ynfG//phnN//tsr//rybB//citX//preA//ygiA//fadE//gcvT//agaA//frdD//rbsD//gapA//qseC//nikA//ykgM//pstS//xylA//ulaD//dppF//lsrC//fnrS//dmsD//gutQ//rseA//fadJ//ydeP//ynfH//lpd//lysO//rbfA//fhuF//manA//cynT//cynR//cyoA//ssuB//nlpD//fecI//oppC//betA//codB//
NarL-Phosphorylated_pos	araF//yoaG//artJ//nuoM//fdnG//gspM//acrD//hyfA//alaA//rimM//gapA//atoE//lldP//yhjA//nuoK//gspD//chbA//tdh//yhhY//metF//rplT//ackA//hypB//uxaA//ugpA//rplM//garP//ilvG_2//gatD//dapD//nrfG//ackA//hofN//galS//serA//lpd//mpl//entC//citD//hflD//fumB//fhlA//rutA//modB//tdcA//ileU//
NarP-Phosphorylated_neg	ftnA//dpiB//mhpB//ilvG_2//glcG//tehA//rplD//yedX//fadH//idnT//oxc//nikB//glyA//galS//prpE//pgaC//gntU//ascF//nrdF//cadC//fbaA//fucU//aroA//paaB//soxS//cysM//yiaJ//amtB//malX//actP//rrsE//deoA//trpA//
NarP-Phosphorylated_pos	tauA//yaeP//tadA//ilvN//phoB//carA//puuE//hofM//cyoC//priB//glcC//cysD//hyfD//serC//oppC//hyfG//yqjI//tnaB//nirC//fhuE//cysW//lpxD//fimC//hycI//napD//entF//purM//znuB//cydA//zntA//fucA//asr//
NhaR-Na+_pos	cheB//rybB//bioC//nrdB//fadE//
NikR-Cd2+_neg	rpmI//nrdA//rpmI//cstA//lysA//napD//
NikR-Co2+_neg	tdcF//cysD//hflK//rpsS//csgC//pyrD//
NikR-Cu2+_neg	gntK//ppiA//fbaA//rpsS//fdnI//fbaA//
NikR-Ni2+_neg	ykgM//cra//narX//frdA//gcvT//livM//
NikR-Zn2+_neg	envZ//nrfD//astC//nikR//rplM//sdhC//
NrdR-ATP_neg	glcB//sufE//entB//ysgA//srlD//ygeA//hyfC//galT//secB//
NrdR-Zn2+_neg	acrA//fnr//fbaA//rplC//rhaD//rmf//mgtL//gntP//dps//
NrdR-dATP_neg	gadB//rseB//gatA//galS//argI//fepD//pck//sufA//cpdB//
NsrR-[2Fe-2S]reduced_neg	rcnB//ynfH//ynfF//mglC//iraM//gltT//artQ//argO//tnaB//mtlA//gspO//bglF//oppC//bcsA//paaZ//cpxR//yjcH//fecD//tap//malG//crl//sufS//mdh//cspE//nrfG//aroF//hemA//gatC//frdA//oppC//grpE//cueO//phoR//cheA//hypE//glpQ//gspL//napC//hofB//fepD//cyoB//yeiW//ychO//dppD//artI//miaA//waaH//betT//folE//sdhC//araF//srlB//gntK//bcsZ//guaB//purM//rbsK//nuoN//rrfB//sufC//srlR//bioB//comR//dcuD//ileT//astB//metQ//feoB//ydhU//gltT//gntK//gapA//astE//
PhoB-Phosphorylated_neg	ndh//metN//envZ//zraP//nuoG//yfeW//phoB//ompW//sdaA//ygiC//galP//nrdE//ygeH//
PhoB-Phosphorylated_pos	aroA//prpC//infB//argE//pstS//fhuE//fbaA//murP//ppiA//cysU//hemA//malF//argR//guaA//frdD//ugpQ//prpD//fdnH//uof//rpsP//ndh//aldB//hybC//gspC//yhiD//tauB//glcG//metB//yqjA//trpB//fhlA//murQ//alaU//tauA//ygbA//sucB//pflB//yqjI//mhpD//rrlE//infB//trpB//psiF//entH//garR//phoH//lsrA//dmsD//rbsK//codA//iscU//phnL//pgpC//
PhoP-Phosphorylated_neg	trpA//cynR//fis//ppiD//waaH//nuoC//sdhB//srlD//ilvL//srlA//fabZ//
PhoP-Phosphorylated_pos	gcvH//iscA//ompA//phnK//tyrR//gabT//galM//ileU//pheS//rseA//gspG//nlpD//znuB//hyaB//fucO//hyaD//glgS//phnD//nrdG//bcsB//phnK//dgcZ//nanC//rrsE//malK//hofB//cbl//fadE//glpX//pepT//cydB//tauD//argE//carB//ydeO//cusB//edd//speB//dpiB//rybB//argP//glnK//bdcA//rrfA//dcuC//idnD//rstA//purM//nuoE//
PrpR-2-methylcitrate_neg	iscA//
PrpR-2-methylcitrate_pos	ahpF//fucK//qseB//rrsB//
PurR-Guanine_neg	gcd//gcvP//srlR//ynfH//sodB//yhjA//yeiB//ynfG//gltW//asr//folA//lrp//pgaA//moaE//ptsH//alaT//ampE//nrdE//mgtA//nlpE//hybB//narJ//cvpA//ydfH//sbmA//paaI//hyfF//paaK//fhuC//ygiA//torD//rybA//bamE//fixB//
PurR-Hypoxanthine_neg	rbsK//iscS//zraR//ybdN//malT//gspF//fixX//fumC//gltT//purR//fepD//bcsA//frdA//phoQ//napA//rpsC//prpB//hflK//cadC//uidC//pgk//nohA//nrfF//bcsA//mutL//nagE//araC//narK//mhpF//mdtD//glgS//gntP//uhpA//hisJ//
QseB-Phosphorylated_pos	paaK//csgD//rhaA//katE//
RhaR-L-rhamnose_pos	proP//ogt//
RhaS-L-rhamnose_pos	glpD//nagB//fepE//
RstA-Phosphorylated_neg	glcG//sufC//ykgO//creB//acrA//
RstA-Phosphorylated_pos	fnr//glpE//fucP//nmpC//artM//
SoxR-[2Fe-2S]3+ oxydized_neg	rmf//
SoxR-[2Fe-2S]3+ oxydized_pos	acnB//gabP//rplD//
TorR-Phosphorylated_neg	hcp//
TorR-Phosphorylated_pos	yaiA//oxyR//focA//rrfB//uidC//lysC//ubiX//astB//hslJ//
TrpR-Tryptophan_neg	infC//ycjF//dppD//puuR//osmY//serA//feaB//thrS//guaA//casA//rrfH//nrdH//
TyrR-L-tryptophan_neg	caiC//pgpC//yhjC//cysH//paaB//glcB//glcA//mdh//atoD//caiA//trg//ychH//
TyrR-L-tryptophan_pos	zraS//csgE//mdtC//
TyrR-Phenylalanine_neg	ynfK//appY//nanA//dapD//napA//uxuB//argG//yoaG//cydC//nanC//dadX//malE//
TyrR-Phenylalanine_pos	fecE//torC//mtlD//
TyrR-Tyrosine_neg	gspC//hofO//gntT//ydeA//srlB//yaeQ//fhuA//ilvI//lacY//prpR//glpC//uhpA//
TyrR-Tyrosine_pos	aroF//dcuD//gabD//
UhpA-Phosphorylated_pos	rmf//
XapR-xanthosine_pos	xdhC//gcd//
XylR-Xylose_pos	casA//glcD//tnaA//ompT//yegH//nrdF//
ZntR-Cd2+_pos	efeU_2//
ZntR-Hg_pos	tauC//
ZntR-Zn2+_pos	cspE//
ZraR-Phosphorylated_pos	livM//pta//rhaS//
Zur-Zn2+_neg	acnA//grpE//hupB//gatA//rrfH//paaE//
