#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	fixX//lsrR//
ArgR-L-arginine_pos	phnG//rrlE//lysA//qseB//narH//
AtoC-phosphorylated_pos	carA//envZ//trg//rpmI//
BaeR-Phosphorylated_pos	fucR//dsdC//gnd//hcp//glnA//ompT//fadJ//csgC//
BirA-bio-5'-AMP_neg	amtB//gltB//ilvI//rhaA//araD//
CRP-cAMP_neg	metF//evgS//nikD//ygbA//araE//galP//murQ//nrdG//fecE//hlyE//lolB//purA//ilvI//nuoH//ppdD//purK//aaeR//cysC//tpx//cysD//rhaS//yeaR//fepA//garP//glrR//paaB//serA//rbsB//aceB//dnaN//hlyE//modC//tdcG//hypD//cysA//hflK//oppC//ldtB//fixA//casB//araH//fadL//gspH//avtA//ugpB//rrlA//uxaB//emrY//aceA//carB//yrbL//fepC//moaA//tyrA//ompF//chbR//cra//rbsK//pdhR//yfaE//caiB//pyrC//hycE//ybjG//chbF//entA//micF//hyaA//fes//pta//xylH//cheY//hyfG//lldP//purL//iclR//motB//rseA//nupC//cyoE//glcC//adhE//lsrK//sufA//gatY//rstA//rprA//rplW//gntU//pncB//ybjG//argB//ybdN//csgC//uxuA//crr//hypF//entF//yccA//avtA//mipA//bamA//rhaS//rbfA//nanK//nuoK//kbaZ//dppF//fimH//fadL//fimE//ygbA//fimE//gntT//ilvM//nrdG//sufB//cheZ//ccmE//appA//folE//rnlB//pgaB//cra//thrV//fhuD//acrE//metK//rstB//zraR//purH//cysD//phnI//
CRP-cAMP_pos	speB//livM//tyrR//frdB//spf//fur//phnH//rplW//amtB//glpD//phnP//rrlC//metB//phnC//glpR//ccmG//dppD//hycG//galE//agp//fecE//motA//agaA//cynR//dcuS//zwf//ydeA//ompT//lysC//yqjH//rutE//nagA//cadB//yggX//gltF//ilvC//uhpA//ydeA//rhaS//cusR//metK//lsrF//cas2//yjeF//rrlA//tyrP//gltU//azuC//ynfK//fes//ppiD//argF//argD//cvpA//entF//ilvG_2//fepA//dmsC//rhaS//gcd//atoA//adhE//sucC//znuA//nfuA//galM//cusC//pagP//alkA//cadC//metY//yibN//araA//osmY//rbsC//hisP//phoR//phnE_1//agp//nuoL//ebgC//livG//idnD//caiA//rpsJ//treC//pgaB//gspF//nikB//ytfE//nrdG//metC//phnC//nrdE//ryhB//glcC//polA//moeA//cysB//grxC//araH//nikB//gltD//aaeX//entB//cyoB//znuB//cysB//yhcH//araJ//paaD//ccmG//paaC//pgpC//mgtA//ackA//phoA//map//fimH//pta//nuoG//araB//agaW//nrdG//argF//ascB//pta//ybdZ//fadL//sdhB//gltT//tktB//malQ//xylR//sufA//bglF//glnK//glgS//phnM//uxaA//hycD//tnaC//ydhY//fau//ldtB//proP//fimE//glcA//crr//glcF//nusA//gatY//ynfG//acrE//moaD//metF//aspA//deoB//dusB//ytfE//paaJ//appA//yhhY//psiE//prmC//citD//mdtB//lpd//murP//hemL//fldA//katE//fixX//casD//argD//dmsD//lldD//rrlD//pgpC//ydhU//gspJ//pgaD//alaU//erpA//lhgO//sroD//ilvG_2//allE//ppiD//nupC//acrB//ybdZ//xylG//araH//ndh//nanM//purA//hypF//ftnB//rutE//rpsP//fumB//metY//zraS//hycG//ppiA//metA//entA//fucO//hupA//hycA//znuA//metQ//entD//nuoK//ygbA//narG//ccmE//yegH//hflD//bioA//argB//feoC//yeaR//ompT//cydD//gpmA//ydhX//ynfF//codB//metH//fadB//ftnB//pta//nrfE//motA//znuA//casB//ydfH//allC//hemA//gltV//bamA//fecR//tnaA//aroH//hycH//bcsC//nupC//cpxR//metN//bioF//idnD//flhC//ilvG_2//gntU//acrE//ydfN//hofO//pheM//udp//dgcZ//metK//phnG//rplV//trxA//aidB//puuE//prfA//trpD//tcyJ//argC//guaB//rseA//ptsG//glgP//deoC//umpH//oppF//moeB//yibN//gntP//yhjA//cyoB//glgS//ccmD//puuB//nuoE//appX//appY//phnG//mntH//hisP//phnK//glcB//feoA//ilvD//carB//hycH//thrV//gltV//chbG//agaW//gspK//ompF//glpF//fecI//cynX//xdhB//sdaA//lsrF//chbC//nikB//cysI//astA//truB//sucB//nuoM//fur//spy//idnT//yidQ//nlpD//argA//hybG//rrfE//cynS//mgtL//rrsA//srlD//lacY//prs//moeA//csgA//nagC//rpsC//entH//yggX//cyaA//entS//ubiG//nanM//rseB//nanT//phnD//dmsC//nlpD//fumC//hybD//flhC//ynfF//alaA//purD//alaA//modC//focA//sroD//glnK//fucA//infC//bamA//yjeF//epd//rrsA//araG//cysM//kbaZ//nanM//hofP//appB//hycH//fadD//yhjA//ndh//recF//malT//pflB//adhE//yccA//pstA//idnO//eda//cysB//motB//ydhY//citD//carB//malE//alaT//rpoS//glpF//mgtA//treR//hisM//chiP//malY//argO//ppiD//pepT//napG//comR//yibN//betA//abgB//bglF//cspD//rpsC//udp//gspG//cusF//mzrA//caiF//allD//hisJ//casE//mhpE//frdB//nac//fimI//ppiD//norR//ynfK//nikE//fucI//moaA//prpE//dcuB//ygeA//sufA//
ChbR-Monoacetylchitobiose-6P_neg	hofM//acrD//allC//amiB//zinT//thrS//
ChbR-Monoacetylchitobiose-6P_pos	glnL//citG//aceA//ilvY//allE//nrdD//
CpxR-Phosphorylated_neg	pepT//livF//ompC//glnB//tdcD//hofP//murQ//araD//nuoC//nanA//ssuA//uidB//pgaA//idnD//ppiD//hcp//abgA//gspH//nuoI//fur//torC//nrdG//fimH//nuoG//
CpxR-Phosphorylated_pos	rutB//tyrP//emrK//tdcE//mscM//hyfG//ydhV//gutM//gspC//sucB//bamA//rrfA//gatC//hyaE//asr//trpB//rpoH//rnpB//aer//abgA//napD//rplW//ydeP//nikR//araJ//tdh//rpsI//cheR//bioD//udp//rimP//mdtB//qseB//ptsH//yhiD//miaA//ydfH//tdcG//chbB//lsrG//caiT//cynR//dcuA//cheR//livM//
CreB-Phosphorylated_neg	ybiT//argE//rutA//
CreB-Phosphorylated_pos	artJ//gapA//csiD//malY//ung//prpE//
CueR-Ag_neg	napA//pstB//fadI//mdtA//exuT//
CueR-Ag_pos	lacI//ulaF//
CueR-Cu+_neg	nlpE//nrdG//ompT//epd//aspA//
CueR-Cu+_pos	adhE//uhpT//
CuerR-Au_neg	nadC//ebgA//dgcZ//cynS//rrfA//
CuerR-Au_pos	ynfH//pagP//
CusR-Pasp_pos	glcE//dpiA//hdeB//casA//cyoC//hypA//pdeF//trmD//hdeB//ybdZ//narX//cheY//
CynR-Cyanate_neg	casD//
CynR-Cyanate_pos	purL//ubiX//uxaB//
CysB-N-acetyl-L-serine_neg	slt//ppiD//ygiA//yaiW//ccmC//envY//fecC//
CysB-N-acetyl-L-serine_pos	uxaA//idnD//feaB//xylG//argH//phoQ//lrp//zntA//cysU//lhgO//ydeM//proP//ybdZ//xseA//feaR//rstA//lysC//speB//atoE//ydeO//yaiW//aceK//aaeX//
CysB-O-acetyl-L-serine_neg	dctA//mhpC//betA//exuT//gspK//ulaA//ilvA//
CysB-O-acetyl-L-serine_pos	artQ//alaA//betT//rnlA//moaA//dcuA//fhuB//rbsA//fdnG//csgD//ompR//phnG//katE//treR//sdhA//ydfH//nupG//lsrC//infC//metF//alaS//fepE//purA//hycB//
DcuR-Phosphorylated_pos	flhD//alaS//gltD//aroM//rbsC//stpA//nuoN//polA//entE//
DnaA-ATP_neg	nrfG//cbl//glgS//cpdB//rplB//puuC//kbaZ//bioC//ileU//ampE//araA//
DnaA-ATP_pos	cpdB//acrF//ccmD//deoA//alkB//gltV//adhE//
DpiA-Pasp_neg	rrfA//
DpiA-Pasp_pos	yhjC//nikD//tomB//napA//cydA//idnO//yqjH//hisQ//gapA//nanK//
DsdC-D-serine_neg	gntT//
DsdC-D-serine_pos	yaiA//alaV//
EvgA-Phosphorylated_pos	dapD//gntK//sufD//nuoA//aceK//entS//fucI//tdcC//motA//gspM//gspJ//feoA//cynT//rseC//recF//
FNR-[4Fe-4S]2+ reduced_neg	nanM//nuoG//yhjA//sdaA//glpC//ybiT//lldD//purD//phoU//ftnA//treC//bdcA//ccmH//csiD//mgrR//crp//rpmC//yfaE//fimE//casB//tyrA//malE//mhpR//bioF//glyA//tauC//lsrC//hypE//gatY//rbsA//fimI//uraA//hyaE//phnG//rpsO//ssuE//ydeO//tdcC//cydB//rhaB//nuoF//lsrR//yeaR//mhpA//glcB//aidB//iclR//cadB//ilvI//zraP//melR//pgaC//cpdB//cynR//xylH//edd//tdcG//map//alkA//alaA//gcvH//lolB//arfB//feaR//ileV//puuA//fucU//cydD//cysN//metR//dcuC//cysB//yhjC//phnC//chbR//rplC//cas2//tadA//ydeP//znuC//tsgA//entD//kbl//tsaE//mlc//rplB//amn//casD//fimI//trpC//yeiB//chbF//carA//rrlA//cynX//yjeF//nikA//phnM//feaR//tyrR//argB//hyfG//dusB//gatA//micF//hofP//hybO//ompC//trmD//qseB//cydC//cheW//aceF//iraM//idnR//tdcB//cstA//appC//ugpQ//fimC//
FNR-[4Fe-4S]2+ reduced_pos	gntT//ilvA//pgk//udp//argD//ompA//livM//xylG//manY//mglA//nrfD//mdtC//dctA//rbsK//citF//ulaC//cysN//gltU//ilvD//rplW//yoaC//frdB//dctA//dadA//hypD//ilvG_1//aaeB//manZ//yegH//phnF//mgrB//tdcE//cydA//xapB//sxy//glpD//nuoA//entF//fadD//metF//nanE//uhpT//garR//malG//nanA//astE//cvpA//gdhA//guaB//ssuB//gcd//artM//glrR//pheT//zwf//nuoN//aaeA//emrK//phoU//nrdD//nagB//rutE//csiE//rrlA//chbC//araD//tfaQ//arcZ//pgpC//mntP//metA//bacA//lacA//alkA//mhpB//rstA//chbR//crr//marB//uvrA//rpmI//iscS//ampD//narJ//ssuE//folE//astD//livF//nuoL//ptsI//betI//agp//nrdG//cysD//casA//trxA//cbl//glnB//yaeQ//melR//livG//fepB//cheB//cvpA//rrfA//nlpE//treB//gltF//artM//mutL//puuP//ompA//xylA//ulaC//rrsB//fliA//nrdE//garK//fecC//phoU//yfdX//garR//gspJ//ydhX//flhC//lysC//talA//manA//fis//glcE//arcZ//xdhB//fabZ//hydN//ihfA//yrbL//melR//ugpB//ompT//yfdX//tyrP//glyA//infB//tam//ampE//ygbA//fepA//serA//lysC//hslJ//hyfH//phoH//nirC//citD//ydeN//hypC//purN//hypF//amtB//polA//marR//nagC//casC//ilvA//rrsB//gdhA//ybiT//nuoC//glcB//tdcE//nrdI//aldA//codB//cspD//hyfI//hycE//dcuC//uof//entC//ptsH//csgD//hybF//astD//moaB//yaiA//nuoL//pflB//fucP//chbA//mhpD//napC//gntK//gltW//nrfA//cysD//sdhD//pnp//cysW//ydhV//rplP//znuA//caiC//
FhlA-Formate_pos	yqjH//oppB//tpx//hyfG//alaT//tdcF//ydeP//phnI//ascB//dsdA//mutY//gspG//azuC//hyaC//gcvH//hypE//fimE//glgC//pagP//mpl//ompF//narJ//ssrS//fadJ//argC//lacY//rhaB//deoC//bioF//norR//
FucR-L-fuculose-1-phosphate_pos	yoaC//argB//galK//rrsH//ilvD//hybB//mhpR//
Fur-Fe2+_neg	yjiY//zwf//upp//prmC//astD//yojI//casE//emrK//nanC//yfbR//crl//ldtC//ada//aaeA//gspF//serA//hyfB//ydiU//hflX//phnK//phoU//flhD//sodA//rplM//torC//zwf//alaU//yidQ//hyaC//casA//hlyE//ynfE//yrbL//ung//fau//casD//malE//fepD//oxc//trpC//ydeP//uof//rpsP//glpT//ilvE//baeS//moeB//yfbR//cysD//yaiW//fepC//spf//oxc//gltA//pdhR//mgrR//motB//pagP//fadJ//rrsB//paaF//mutY//cyaA//acrB//melB//nmpC//cydB//rutC//norR//sdhD//ssuC//tyrP//garK//alaV//fadD//serA//uxaC//agaW//puuP//lsrD//baeS//nirD//csgC//cpdB//kbl//creA//mpl//hybB//lsrK//fimF//phnL//betA//rpoS//argD//phnI//phoA//pgaD//tam//entB//ilvH//yegZ//ccmE//ldtB//hycF//nanK//hpt//murP//cadC//mhpR//yneM//mzrA//fdnG//ryhB//yhjA//ydeJ//idnK//ompX//baeR//trpR//glpA//aceF//glcF//talA//edd//
Fur-Fe2+_pos	csgF//metH//uidA//metI//rbsK//fixB//gltU//rpsS//rseC//ilvD//gspO//fixC//rutE//nuoK//grxD//zntA//puuE//zinT//trg//prpR//tdcE//acnB//lpd//phoQ//fadE//
Fur-Mn2+_neg	ydiU//fadB//gpsA//gatY//ssuE//fecR//ssuE//bhsA//fucI//allE//zntA//moaE//yegH//hybB//hofN//rrlE//napG//srlD//mipA//nanK//casE//feoC//hypB//aaeR//puuA//ygiB//ileU//focA//hyfA//cheY//rutB//sdhB//uxaA//napD//csgD//pncB//cydB//yfaE//gyrA//sdaA//rbsK//rstB//narL//glpA//ileU//rpsR//dcuA//ansB//malE//hycI//mgtA//ilvC//allD//phnJ//narQ//lldP//glgS//ybdZ//gapA//pdeF//fdnI//ydfH//rimM//nikA//puuR//ubiG//nuoN//glnL//hdeD//motB//manZ//ydiU//glgB//glpT//hyfF//ssuB//fixA//mglA//xylA//cadC//gntX//araG//phnH//mepH//ynfE//hyfB//marA//nrdD//glcA//agp//ung//yqjH//cusR//tdcC//trpR//gspF//fumB//idnR//glpD//leuE//nuoL//pyrC//dkgB//fepG//cynR//ydhV//zinT//ysgA//aspA//nac//trpD//frdD//napG//narX//cysW//malE//cpxA//metK//exuT//yggX//chbR//moaB//csiE//cheY//
Fur-Mn2+_pos	yjiY//hofP//entS//araB//lysA//aceA//dcuS//fepG//cysP//fdnI//rpmI//hofC//ilvY//gltU//cheA//uvrA//argB//ydfN//rpsJ//fdhF//mhpD//lacY//lacA//fimH//fixX//
GlcC-Acetate_neg	flhC//
GlcC-Acetate_pos	gspG//cpdB//ileV//baeS//fucU//lamB//
GlcC-Glycolate_neg	ychH//
GlcC-Glycolate_pos	gspK//yaiA//rutE//lsrK//rpsS//cstA//
GlrR-Pasp56_pos	mzrA//
IclR-pyruvate_neg	fepC//hyfC//cydA//marA//
IdnR-5-ketogluconate_neg	ackA//malI//rhaA//
IdnR-5-ketogluconate_pos	glgC//ldtC//mdtA//hyaA//ackA//
IdnR-Idonate_neg	bcsZ//glpA//nanK//
IdnR-Idonate_pos	deoB//gatC//trpE//cysC//creB//
IlvY-2-acetolactate_neg	tomB//
IlvY-2-acetolactate_pos	fimI//
IlvY-Alfa-acetohydroxybutirate_neg	caiD//
IlvY-Alfa-acetohydroxybutirate_pos	rnhB//
IscR-[2Fe-2S]1+_neg	rpsC//cyaA//gltF//lolB//ccmG//cheZ//copA//ompA//rseB//ilvD//ileV//livK//mhpA//glcA//phnO//hycH//hflX//argR//epd//torR//sufD//dppF//mglC//nanK//hybO//skp//efeU_2//aspC//hisP//ydhV//
IscR-[2Fe-2S]1+_pos	paaJ//yjjZ//rrsC//yjeF//dsdA//modA//thrS//bioA//carA//motA//xylH//
LldR-L-lactate_neg	fimE//chbG//tyrP//
LldR-L-lactate_pos	pagP//rhaR//narI//
Lrp-Leucine_neg	nac//fimE//flhD//metC//malY//yeiL//alaV//glnA//mlc//lsrK//ilvH//sdhB//ilvE//kbaZ//bioF//phnP//cusS//moaD//rof//aceB//ychO//ccmE//bdcA//emrY//entC//chbC//gatC//kbl//aceA//cynS//acrD//adhE//phoU//gutQ//gntX//yegZ//rplP//lolB//pitB//cspD//alaS//nrdE//fecA//ompF//ydhX//gcvP//deoA//gntU//feaB//glgA//yeiB//napF//ybiT//hyaC//ulaE//yfdX//ssrS//rrlH//iraM//yeiL//tauD//cysW//ssb//mhpT//edd//cheR//sroD//ydhX//artM//nrdB//hypB//nrdG//garR//hypE//allC//
Lrp-Leucine_pos	rhaB//purH//speA//hupA//fecD//nusA//feoC//glcA//nikD//motA//nrfD//fucO//phoR//frdC//ung//acrF//yeaD//alaS//arfB//hyfF//nagE//cusR//ssuE//entF//dctA//tolC//patZ//livK//fucR//citC//gntX//nuoJ//dgcZ//csgE//rpmI//
LsrR_neg	csgD//ileU//mgrR//rutE//mipA//aceB//gutM//fepG//ccmH//
MalT-ADP-Maltotriose_pos	efeU_2//deoC//garR//rrlG//mgrB//acrA//ynfH//purN//acrB//yhjA//
MalT-Maltotriose-ATP_pos	chbR//bdcA//murP//casD//flhD//citX//sdhB//cyoD//glgB//hflC//
MelR-Melibiose_neg	nagE//fliZ//uxuA//
MelR-Melibiose_pos	rstA//fixC//ygiA//
MetJ-S-adenosylmethionine_neg	cysC//paaD//atoA//tcyJ//livH//cspE//nirD//cyaA//uxuB//gadC//dmsB//mhpC//yqjI//appX//mlc//
MetR-L-homocysteine_neg	nuoK//gspC//
MetR-L-homocysteine_pos	nrfE//ccmC//metN//rpsR//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	csgA//gspK//hybF//hdeA//hycG//garK//
MhpR-3HPP_pos	speB//fucP//glgS//galS//ompR//lpxD//
MntR-Cd2+_neg	flhD//ryhB//hyfC//glcC//
MntR-Cd2+_pos	betB//
ModE-MoO42-_neg	acnB//azuC//alaS//tehB//cynT//speB//sohB//xseA//gspK//efeU_2//nagC//ssb//ilvN//nagE//rplC//
ModE-MoO42-_pos	narQ//purE//iraM//glpK//ydeP//araC//pstC//hdeB//osmC//aceA//fucO//malS//yjjZ//pta//infC//pncB//evgA//fadH//prs//cas2//fur//uof//pgaD//cspD//mlc//paaG//phoQ//iscR//manY//yhfA//fimG//
NarL-Phosphorylated_neg	xylF//nagA//cynS//crl//lacY//hofB//treR//cheR//rrlG//hyfR//nfuA//glcB//cyoD//hyfG//nagA//mutL//entB//pheM//deoA//amiB//xdhB//yccA//upp//fimG//dcuR//ilvC//nuoE//rhaS//rpoE//zwf//fimE//uhpA//ileT//pncB//sucC//mhpF//gadB//ilvL//xdhA//ulaA//fis//dgcZ//fabZ//bdcA//phnK//cysU//cyoC//sbcD//rplC//galS//metK//frdD//katE//rpmC//ssuA//puuA//pgaD//cusS//nrdH//yhjA//narI//phoP//yccA//gspI//hyaD//phoR//fhuD//dmsD//glgP//napA//prpC//melA//treR//rplV//ydhW//glgB//paaZ//casB//gutM//amtB//nuoC//glgA//ycdZ//torA//deoA//hybO//
NarL-Phosphorylated_pos	csgD//appC//rnlA//fhuE//sbcD//acrF//fepG//yaeP//deoD//efeU_2//fadB//ompF//fdnH//argC//sbmC//norW//pck//pncB//bacA//gltT//rpoE//metE//casC//rrlE//psd//yqjA//rpoS//metI//ydfN//gatC//livJ//rpsQ//narJ//ascF//trpA//nuoF//hybE//narJ//metQ//rnlA//hofB//nrfF//paaF//idnD//exbB//paaK//
NarP-Phosphorylated_neg	dcuD//aroM//caiD//infB//sdaA//uhpT//qseC//rpsS//ulaA//fliZ//narK//yaeP//idnD//dsbA//bcsC//dusB//allD//crr//sbcD//fhuE//cysA//yfeW//rpsP//rseB//mcaS//nanM//nirB//glpX//tpx//nrfB//citX//nrdF//pstC//
NarP-Phosphorylated_pos	purM//glnK//gspI//csgG//micF//stpA//cheA//pstB//nuoI//nrfE//phnO//uidB//artM//mglA//yjeF//artI//rhaA//ynfG//fdhF//ulaF//gatC//rutF//deoD//napF//rrlG//bamE//ysgA//tnaA//fimD//tcyJ//rrfC//cynR//
NhaR-Na+_pos	nuoF//sdhD//aldB//rrlC//rhaA//
NikR-Cd2+_neg	fhuC//hofO//napB//rpmI//phnM//cysC//
NikR-Co2+_neg	ynfG//cynR//uhpB//fliZ//speC//glcG//
NikR-Cu2+_neg	srlD//fimA//mtr//cyaR//gntU//aspA//
NikR-Ni2+_neg	ssuE//glgP//napH//hybD//rnlB//gutM//
NikR-Zn2+_neg	fhlA//metJ//gspH//exbB//hypF//mdtC//
NrdR-ATP_neg	uidC//fixX//yfaE//yqjI//glpA//cspD//fepA//rcnA//tdcE//
NrdR-Zn2+_neg	ssb//hflC//gspH//nuoJ//ydeN//cheY//dpiB//folA//cydC//
NrdR-dATP_neg	rpmI//ilvM//lamB//uxuR//iraD//tdcB//preA//yjcH//yfaE//
NsrR-[2Fe-2S]reduced_neg	gltF//puuE//avtA//rpsR//iraD//hcp//tfaQ//ysgA//betA//ydeA//rhaB//fimD//narJ//emrY//mscM//pstC//pheM//bdcA//rutG//alaS//cirA//entC//nrdD//cas2//xylH//gltU//modB//rpmC//pdeF//aceE//metB//phoH//map//artP//gltT//nrfE//yeaD//narL//trxA//ccmE//mntP//ilvE//leuE//icd//torD//gspG//cpdB//sbmC//fhuA//agaW//metI//aaeX//fecD//mdtC//fimE//dsdX//ascF//rbsR//argA//dpiA//slyB//nuoB//idnO//cusR//araJ//carA//aroF//lacY//nrfB//glpB//rof//adhE//bioF//
PhoB-Phosphorylated_neg	cysM//fnrS//gatC//infB//tsr//malF//crl//rplW//yfeW//dkgB//yqjA//ssuC//qseC//
PhoB-Phosphorylated_pos	phnC//cheR//marB//chbC//citD//cysW//exbD//mipA//prpB//nagB//hslJ//casB//ftnB//skp//entA//fadB//hisP//sbmA//crl//cynT//metL//creD//ubiX//glcE//dapD//uidA//appY//aaeB//ileT//ybiT//malE//iscU//yfdV//fliA//hyfG//puuE//entE//phnP//purK//fadA//ulaE//fecD//rpsP//lsrB//pstB//crr//ftnB//ytfE//phnD//sbmC//rutG//hyaE//sbcC//
PhoP-Phosphorylated_neg	ssb//araE//rrfH//entA//infB//fhlA//ilvI//csgC//dadA//serA//rutE//
PhoP-Phosphorylated_pos	fes//entF//narK//cysW//nikR//ydeM//nikB//araE//alaA//appY//yidQ//cydC//ileU//srlR//phnD//betA//narK//hyfE//dppC//hupA//gyrA//frdA//gntK//deoC//rnpB//acrB//cysK//envY//trpA//artM//mhpA//glcB//gltB//treC//purR//fimI//ebgC//rplV//lsrR//nanC//rplM//sdaA//tauD//hybO//ileU//narL//idnD//ynfH//xylH//
PrpR-2-methylcitrate_neg	carA//
PrpR-2-methylcitrate_pos	yidQ//ilvH//cysW//nuoJ//
PurR-Guanine_neg	nuoL//crp//fixB//ugpB//ydhW//rseC//moaC//ygiC//pgaB//uxuA//nanA//cytR//tsaE//fepB//chbG//paaK//ybiT//chbG//livM//ydiU//lsrB//ccmG//gspK//cynT//paaE//rstA//narX//tauD//aaeA//erpA//metI//talA//argO//caiA//
PurR-Hypoxanthine_neg	cysG//ulaA//dnaN//zraS//preA//fadD//nrdE//gyrA//yebE//ydbD//citD//rrlG//tdcC//gdhA//purR//aaeR//galE//safA//purM//motA//truB//rplS//caiD//hfq//rutG//cusR//upp//argB//purH//ygeH//gatY//hupB//prpB//priB//
QseB-Phosphorylated_pos	fepG//mntP//nac//appC//
RhaR-L-rhamnose_pos	iraD//dnaA//
RhaS-L-rhamnose_pos	abgT//fhlA//hflC//
RstA-Phosphorylated_neg	rpsR//thrS//nanK//yjjZ//ygiA//
RstA-Phosphorylated_pos	trpA//dnaE//nuoL//mntH//napF//
SoxR-[2Fe-2S]3+ oxydized_neg	rrfE//
SoxR-[2Fe-2S]3+ oxydized_pos	ybiT//purK//nagE//
TorR-Phosphorylated_neg	cueO//
TorR-Phosphorylated_pos	stpA//srlD//tehB//ynfF//fecE//fadH//fecC//aceF//hypB//
TrpR-Tryptophan_neg	rplD//mdh//napH//ansB//casD//uxuB//csgE//nrfB//ugpB//preT//polA//treC//
TyrR-L-tryptophan_neg	moaC//yqjH//xylB//atoE//frc//murQ//prpR//focA//rstB//malK//rpsS//hypF//
TyrR-L-tryptophan_pos	araJ//ulaE//znuC//
TyrR-Phenylalanine_neg	puuR//psiE//fimD//malS//codA//phoH//ilvN//csgC//nrfD//yhcH//modB//phnO//
TyrR-Phenylalanine_pos	nrdI//rybA//hcp//
TyrR-Tyrosine_neg	sufA//trmD//malS//znuC//nagA//cysI//nrdF//rimM//tdcB//gutQ//cdd//treB//
TyrR-Tyrosine_pos	nanM//ilvC//murP//
UhpA-Phosphorylated_pos	fecA//
XapR-xanthosine_pos	rrfH//fecI//
XylR-Xylose_pos	dppB//dusB//idnD//aroM//dcuB//alaA//
ZntR-Cd2+_pos	malX//
ZntR-Hg_pos	epd//
ZntR-Zn2+_pos	hybA//
ZraR-Phosphorylated_pos	ugpB//uxaC//aroP//
Zur-Zn2+_neg	psiF//bacA//eda//lacZ//uidC//ydfN//
