#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	dadX//hyfI//
CRP-cAMP_neg	yhjC//napB//nrdB//chbF//hofC//hupB//nrdE//glpK//fiu//yeaD//rutE//pstS//iscR//fecC//nikC//nrdA//hyfA//rplV//mgrB//purA//lsrB//ydfH//yccA//nagA//trg//fis//frdC//nrfA//uidB//nrdH//aceK//mhpE//hypF//sucD//glnK//gltT//yidQ//xapB//allD//glnK//tam//mhpR//hofN//ogt//hybD//tdcE//tehA//mhpF//ada//caiA//nikD//csgA//manZ//mgrB//sbmC//ychO//sdhB//polA//abgB//phnM//glcE//napH//gntX//rutA//ycdZ//nanM//mipA//katE//infC//ada//fepC//emrK//ulaB//agaV//pheM//ygbA//iscU//artP//nuoA//gntP//ychH//oppC//hflC//rhaS//cysB//cytR//hycC//rnlA//mdh//hybG//iscR//frc//cysB//gatB//tauB//mtr//citG//copA//phnN//yfdX//rutC//ccmA//fimE//sdaA//trpE//gcvH//fadA//cyoD//uhpT//hycG//csiD//ugpE//rpmI//tdcB//mipA//lpxA//agp//argD//ndh//fimI//copA//puuP//fnrS//paaC//oppC//codA//tadA//udp//fixA//phnK//rbsC//bioD//argI//
CRP-cAMP_pos	nrfD//idnK//crp//phnG//caiD//phnE_1//glpA//borD//tnaB//melR//gspF//ryhB//hypA//nagA//glcA//hflC//aldB//cydB//infB//rpsF//agaW//fucA//fimF//treR//pck//caiD//ynfK//ilvM//nfuA//tfaQ//amn//ykgR//manX//dkgB//mscM//oxyR//livM//hofB//gntK//csgE//rhaR//galS//rhaT//infC//tdcD//amiB//acnB//fecC//ynfK//dsdC//zinT//sroD//tdcB//ihfA//dppF//hyfA//ptsG//feoC//priB//ycjF//sbcD//gltW//epd//entD//ychH//astE//ompT//rplI//malP//sufB//ydbD//bcsB//phnC//mhpF//uhpB//cusF//rseA//abgA//epd//fhuD//hybO//paaG//efeU_1//hyfI//carA//ptsH//moeB//glnG//hisP//yfdE//hycD//uxaA//gltV//ccmC//astC//evgS//metH//narI//fecB//prmC//gntT//sufE//atoB//nuoE//yhjC//gspF//cydA//mtlA//creA//fiu//xseA//ebgA//nrfA//hycH//guaB//tolC//iscR//infC//srlD//yjjZ//betI//rrlA//nikE//ygiB//livM//rrfF//ydfN//nuoF//fdhF//ykgO//mdtA//iscU//hyfA//hyaB//cysM//gdhA//yfeW//csgF//rrsH//puuC//caiT//citD//cheW//nanS//lpxD//tdcC//uhpC//paaZ//hha//frdA//rmf//nrfA//argD//fimC//flhD//ftnA//gntR//cvpA//cysB//sxy//gcvT//guaA//ilvA//gltF//dadX//yfiP//zraR//yhjC//aroA//sdhA//hycG//artQ//nikR//nlpE//ilvY//hyaC//rstB//lsrD//yeaE//dcuA//cysP//ebgC//cheZ//hdeD//priB//lysC//fepE//phoA//lsrC//gabT//caiB//sdhB//amn//modA//nupC//hupB//rbsC//nuoH//infC//hofM//cysD//copA//fucA//fadE//iscS//fepB//hdeA//atoE//creB//degP//sufC//alaV//nikB//yjcH//gnd//glgC//hybO//rrsB//fecA//psd//nikA//lacI//phoR//sucB//manX//putP//paaH//ptsI//ynfG//glgX//ycjX//yggX//casA//rbsR//acnB//lsrG//nuoE//tar//ebgA//hcp//cysJ//acnB//rpoH//ccmA//yibN//putP//oxyR//narX//rmf//ansB//cheR//hyfA//ydeP//glnB//gabD//lsrK//mhpA//chbC//ssuB//bcsA//ubiG//rrfA//cadA//citF//bcsA//fepA//chbG//gspJ//rrlG//ftnA//hyfB//trpD//hisM//yibN//yeiP//tsr//idnO//pnp//nirC//rnhB//mhpT//cytR//cysI//mepH//osmC//treR//talA//znuB//treC//glpB//paaG//aspA//fixA//fepA//artP//hofO//aldA//yecR//grpE//baeS//ydhT//fbaA//codB//lrp//ilvH//rybA//rplW//modA//ascF//entS//gltB//fecA//rbsD//napH//malF//rbsA//hycF//mhpF//nac//idnK//tfaQ//fucP//katE//hypD//paaC//galM//argC//srlR//yfdX//nanE//phnN//rrsE//rutA//rseA//tsaE//hypC//treC//purR//yfbR//uhpA//phnK//rhaA//fepG//mhpD//allD//folE//ogt//gatY//metB//waaH//allC//cheA//rnpB//tonB//purH//ilvY//waaH//astA//emrK//nrdD//mdh//rplI//tnaC//carB//cueO//prpR//sucD//sodB//cydA//malF//amiB//cyoA//ulaA//srlR//cra//fadD//zntA//nrdE//rplI//glpG//nrfE//ilvG_1//gspH//tam//evgA//purE//ccmE//osmC//entH//yhhY//hyaF//ompA//glrR//gatC//hyaB//napB//ndh//glpD//ispE//exbD//udp//dcuD//fimC//amn//phnN//yidQ//trpC//dusB//gdhA//osmY//spf//motB//mglA//yfdV//ygiC//ppiA//bioD//tnaA//ulaE//hycE//dnaE//appX//yfiP//pgaB//metC//ulaB//ychH//ulaF//casB//
ChbR-Monoacetylchitobiose-6P_neg	aceB//gspI//cysD//nuoM//iscS//cusR//
ChbR-Monoacetylchitobiose-6P_pos	hflK//yqjH//dppA//ascF//artP//cusA//
CpxR-Phosphorylated_neg	rpsP//fdnI//qseC//sbmA//prpR//udp//puuA//pepT//rplI//grxD//fumA//metA//torD//nupG//fixA//dnaE//caiB//kbaZ//phnG//trpC//glyA//yegR//dppB//mtlD//
CpxR-Phosphorylated_pos	livK//glpC//phnD//dcuB//psiE//sohB//iscU//dctA//ilvE//ilvE//gdhA//crr//dpiB//yaeQ//livK//ahpC//garL//ygeH//adiC//dcuC//ptsH//paaH//sucA//aroA//garK//glpG//ynfF//paaA//malI//agaV//yegR//psd//ileT//pyrC//casB//uxuA//mdtA//moaE//glnB//hflC//mtlA//fdnH//nusA//cynS//sucA//
CreB-Phosphorylated_neg	puuA//pyrC//gatZ//
CreB-Phosphorylated_pos	rseC//purN//entF//rhaB//envY//pta//
CueR-Ag_neg	fadH//nikB//znuB//ssuC//acrA//
CueR-Ag_pos	csgG//glnA//
CueR-Cu+_neg	oppD//nrdD//uhpB//lsrA//ptsI//
CueR-Cu+_pos	umpH//hybE//
CuerR-Au_neg	csgF//yhiD//rplT//bglB//ilvN//
CuerR-Au_pos	fumB//abgB//
CusR-Pasp_pos	hdeD//cdd//cysA//puuC//paaG//sbcC//argF//tolC//guaA//entE//aceF//zraR//
CynR-Cyanate_neg	yqjI//
CynR-Cyanate_pos	hflC//aaeR//dnaA//
CysB-N-acetyl-L-serine_neg	phoB//betA//rutD//moaC//nikE//idnO//glpR//
CysB-N-acetyl-L-serine_pos	caiD//paaJ//nagA//manY//artQ//xylR//ygaC//acrF//trpC//fhuD//hisJ//phnN//ansB//comR//mglC//tomB//lsrB//rpoE//yeaD//csgB//lysO//gspJ//ycjF//
CysB-O-acetyl-L-serine_neg	aaeB//zraP//ydeN//yfdV//gspG//ssrS//mhpR//
CysB-O-acetyl-L-serine_pos	lamB//araH//infB//appC//bcsB//narJ//hslJ//ulaC//fadI//metI//araE//bioB//fadB//emrY//fecE//cysM//galP//pnp//metF//ynfH//arcZ//zraP//marA//trpD//
DcuR-Phosphorylated_pos	rbsA//narL//tnaA//livG//agaA//dsdA//mdtC//fadJ//nagB//
DnaA-ATP_neg	pgaB//metH//glpT//gadB//glgP//mntS//katG//manY//pitA//serC//alkA//
DnaA-ATP_pos	gltV//gspG//nac//hemA//lpxA//rnhB//glcE//
DpiA-Pasp_neg	argO//
DpiA-Pasp_pos	tfaQ//rrfF//dcuD//osmY//metF//agp//nrfG//aroL//hisQ//moaA//
DsdC-D-serine_neg	abgB//
DsdC-D-serine_pos	mntP//metY//
EvgA-Phosphorylated_pos	lsrB//ugpA//araH//tehB//trg//ydhW//atoE//glpT//entE//cpdB//acrA//ppiD//abgA//lpxA//artM//
FNR-[4Fe-4S]2+ reduced_neg	moaA//lsrR//casD//rpsS//hdeD//nlpD//prmC//fadD//rutB//fucP//evgS//feoB//ccmD//nikR//hpt//argG//fliZ//paaH//ydeJ//argH//fecE//hofM//hyfD//dps//gabT//mutL//glgC//ygeH//paaB//bacA//malZ//cysA//ssuC//mdh//ccmD//icd//mhpF//ykgR//glcG//codA//nikA//mntP//torD//caiC//ssuB//hlyE//purK//hyfA//prfA//rpsP//bioB//tdh//evgA//rpsR//mltC//pgpC//sufB//norW//ynfK//bhsA//prpC//argC//ulaA//uidC//metC//nuoK//gapA//dpiB//uxaB//araF//glcE//hypE//phnE_1//lpxB//grpE//rmf//ydhV//rbsR//aidB//uhpB//gntR//fdnH//purL//tyrB//nanC//rpsF//tomB//ilvE//gcvT//gnd//hyfE//bioA//xapA//araF//mglB//casD//ybjG//gadB//glpX//ilvL//rbsA//betI//aspA//tfaQ//malF//ydfH//glcD//hyaF//hybG//ulaA//fdnH//envY//ompF//gspH//hofM//rof//tonB//mdtD//rbsA//phoH//
FNR-[4Fe-4S]2+ reduced_pos	lamB//moaE//puuR//ileU//patZ//tap//deoD//aaeA//nrdF//gspH//nuoL//rrlH//pyrD//nanE//chbR//nuoL//spf//appC//fixC//uxuA//bcsA//glcF//nanM//yeaR//fimD//gspH//astB//atoD//nfuA//mntH//upp//fecR//rplT//map//ygaC//proP//rutE//glpQ//lldR//cysP//astA//borD//gntT//torC//ccmG//ycjX//fecA//psd//livJ//cysN//gatY//prfA//nanK//bamE//livF//yaiW//araA//dgcZ//recF//nrdG//nagC//gatC//rdoA//argC//gntU//cspD//abgB//gntX//hupA//hofB//metL//trpR//nagA//nuoN//hflD//bioC//lpxD//cusA//araB//nrfF//puuE//nikC//trpE//caiE//emrY//ulaA//znuB//ileV//slyB//rimP//modB//phoP//xdhA//uxuA//deoB//glgX//mgtA//gntK//galS//hyaE//paaB//mzrA//uraA//cynX//yhcH//glnG//soxR//rplD//tdcC//putP//xapB//infB//bamE//phnE_2//prpR//gspO//dcuC//tolC//sufE//pyrD//ysgA//rpsJ//fumA//hofO//nuoA//nagC//sdhA//alkA//rrfE//rplM//lacZ//dusB//nuoG//araH//xdhC//rrfD//focB//ygiC//chbC//nikC//slyB//hycC//qseB//atoE//paaF//gcvH//nanM//sbmA//uidC//glyA//xdhA//citF//nanM//tsr//gltU//bcsZ//prmC//fhuC//ssuD//aceA//gatD//phoP//cyoB//rrfG//puuA//uidB//appB//gpsA//fecR//araH//rpsJ//cvpA//ssuC//tadA//uidA//srlR//tyrB//mgrB//alaS//cysU//nuoB//grpE//glpX//cysA//bioC//ompT//fdnG//cusS//glcC//uidC//fimI//fepC//safA//glcC//nrfF//rutB//moaD//aspC//mhpC//melB//yqaE//azuC//
FhlA-Formate_pos	malM//artP//cyaR//atoA//sucA//exbD//cusR//prpR//cusS//nuoF//citC//dcuA//rrlA//allD//rbsD//tdcE//ivbL//frdB//mntH//cadA//torA//cysN//gspL//tap//cynR//tfaQ//hisJ//agaA//folA//hybD//
FucR-L-fuculose-1-phosphate_pos	stpA//hycE//deoC//alaV//cdd//frdA//lrp//
Fur-Fe2+_neg	ubiG//rbsD//gatD//hydN//srlA//purA//melB//fliA//rrlB//nrdD//yccA//adiC//malZ//cysG//hisP//marR//gabP//ssuD//emrY//yaeQ//gcvH//sxy//lsrK//casD//dmsB//oppD//napD//bioA//ydeM//ilvN//fucK//modA//dcuC//hycA//nrdA//ispE//yidQ//tdh//ugpQ//fhuF//folA//cysC//torR//gabP//nrdH//hyaB//ybiT//sroD//cvpA//yecR//rbsR//xseA//ynfH//paaF//pitB//dppB//argT//yrbL//gspH//dps//moaD//rpoS//proP//nagC//fimI//hyaF//deoA//pheM//hupB//rhaB//pheM//ahpF//metQ//atoA//fdnG//araF//araE//fimA//argG//nanT//tpx//znuB//ompX//napB//gspO//pnp//ydeO//bioB//glcE//ugpB//casE//bcsC//abgT//srlE//glgX//ydbD//metF//ydeP//torA//garR//nrdI//gpmA//tar//aer//ynfG//tauC//rutC//dapB//paaF//ftnA//rimP//lacZ//acnA//puuE//garK//gltU//yaeP//iclR//efeU_2//bdcA//yjcH//umpH//rplV//yaeP//
Fur-Fe2+_pos	csgG//betT//glpD//cadC//gltU//fadJ//moaA//gltF//hycI//bcsA//glnL//hdeA//uxaA//dcuR//hypE//pnp//glcG//hyfA//acrF//rrfB//ileV//fis//rpsR//cysN//dctA//
Fur-Mn2+_neg	baeR//rpmI//rseC//ynfH//hyaF//tauC//glgX//nrdG//phnG//yjeV//prpD//aer//nrdF//ugpC//metF//nikB//fis//mipA//rbsR//idnR//creC//dmsA//fadB//dmsC//dsdX//yegZ//nanK//glpA//pitA//nrdG//nanM//chiP//srlD//ilvX//yeiW//metJ//carA//cusS//asr//mipA//yfiP//iraD//chbA//ebgC//gltV//sdhC//soxR//purB//uxaA//nikR//dmsB//rrfD//cysB//melB//rseA//nrdB//tonB//eda//priB//marB//cynR//araE//sucA//aroG//gntU//yqjA//glcG//narI//znuC//ilvL//qseC//nuoJ//pitA//pdhR//hofB//chbC//metH//malY//frdB//lsrG//ulaD//astC//dcuC//rbfA//metK//pnp//gdhA//fucR//argR//rpsJ//idnD//secB//fadH//glcD//tauD//nuoK//treR//exbB//cyaR//polA//modB//cbl//cynT//ilvH//galS//cusB//rplS//iscA//rbsA//nlpD//yjcH//nmpC//napB//ileT//xylR//cheZ//rbsD//hyaD//tdcB//lpxA//yhhY//gspO//hycH//dsdX//
Fur-Mn2+_pos	rimP//bglF//ssrS//rpsI//trpB//uidA//fes//rpsQ//xdhC//metB//prpC//phnN//frdD//hybF//nikD//grcA//chbF//soxR//yjcH//ynfH//rof//mhpT//pgaC//bioD//ykgO//
GlcC-Acetate_neg	katG//
GlcC-Acetate_pos	agaV//gltW//ryhB//dppD//codB//nusA//
GlcC-Glycolate_neg	emrK//
GlcC-Glycolate_pos	gdhA//gspM//nupG//rimM//tauC//dnaN//
GlrR-Pasp56_pos	paaI//
IclR-pyruvate_neg	hyfC//rbsK//cas1//alaV//
IdnR-5-ketogluconate_neg	hybC//manZ//glpD//
IdnR-5-ketogluconate_pos	acnA//ahpC//hupA//focA//glpG//
IdnR-Idonate_neg	glnL//abgB//argD//
IdnR-Idonate_pos	rpoS//fucA//zraS//nohA//gntK//
IlvY-2-acetolactate_neg	pflB//
IlvY-2-acetolactate_pos	argG//
IlvY-Alfa-acetohydroxybutirate_neg	fepE//
IlvY-Alfa-acetohydroxybutirate_pos	uxaC//
IscR-[2Fe-2S]1+_neg	hofO//nuoL//ptsI//asr//ugpC//ebgC//galM//glpB//ftnB//cspE//ilvG_1//phnC//osmY//fadJ//ccmG//hcp//nuoK//gcvT//cytR//yaiW//treB//cysN//bioC//cysC//nanE//sbcC//gspO//tomB//gspJ//ompR//
IscR-[2Fe-2S]1+_pos	tpx//fucU//ykgM//cydD//ilvD//ompA//ydeJ//ompA//qseC//znuA//fimC//
LldR-L-lactate_neg	bcsZ//xdhB//nrfC//
LldR-L-lactate_pos	cheW//agaW//tdcE//
Lrp-Leucine_neg	garP//gntT//fbaA//yegZ//ynfK//rpoE//ileT//gutQ//dcuA//malS//purN//sbcC//hemA//puuP//hcp//alaA//ebgA//fucI//dadX//ileV//nuoL//argT//ynfE//hypD//glpA//ilvE//malI//lhgO//zraP//phnO//ryhB//ccmG//bamE//paaH//hyfR//agaA//hydN//dppD//comR//srlD//hofO//galE//rnpB//gntX//pstA//oppB//mtlD//nrdA//fhuB//ygiC//gcvH//chbA//tonB//mpl//map//purR//pepT//glnA//hslJ//yaeQ//gpmA//pepT//nagC//phnC//fhuF//ompT//appC//bglB//fnr//alaA//rrsB//recF//ulaD//ubiG//oxc//
Lrp-Leucine_pos	entA//glnA//frc//pgk//uvrA//ogt//purA//uhpT//metF//astA//glcG//phnC//creB//ptsH//yeiP//ubiG//torR//rstB//tonB//cytR//cysB//gcvH//frdA//ybdZ//osmY//allC//rcnA//rrfF//hyfH//argA//moaD//metQ//pdeF//malT//glpF//
LsrR_neg	paaJ//fecR//tktB//betA//gspI//rplC//dmsC//metL//rpsF//
MalT-ADP-Maltotriose_pos	hycG//tdcC//cusS//fucU//srlB//rseC//casA//codB//acnB//malG//
MalT-Maltotriose-ATP_pos	mutL//nikC//rprA//gntX//ascB//fixX//avtA//casA//fdnG//glpF//
MelR-Melibiose_neg	dsdA//srlB//nanT//
MelR-Melibiose_pos	frdA//cusC//cusS//
MetJ-S-adenosylmethionine_neg	gltD//creC//speB//glnL//ykgO//icd//glcE//hha//znuA//cyoE//fhuD//erpA//dsdA//rrfF//cadB//
MetR-L-homocysteine_neg	argF//paaH//
MetR-L-homocysteine_pos	rbfA//atoE//chbF//rplP//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	betB//ahpC//glpB//nirC//ppiD//umpH//
MhpR-3HPP_pos	grxD//iraD//ahpC//chbB//speB//aroG//
MntR-Cd2+_neg	fimA//soxS//ygiC//casC//
MntR-Cd2+_pos	narI//
ModE-MoO42-_neg	paaA//znuC//oxyR//sdhB//gntT//gutM//cusA//slt//bcsA//phoA//yoaC//miaA//serA//tehB//mutL//
ModE-MoO42-_pos	hcr//phnE_2//araG//cysJ//cydC//cusS//fadA//hyfE//sbmC//yhhY//entC//fecA//xapB//fecA//aceB//ilvC//rplB//aceK//argE//adhE//hybO//hyfB//paaJ//epd//dppA//astE//pdeF//yaiA//sodA//uxaB//trmD//
NarL-Phosphorylated_neg	cysU//dmsD//psd//gpsA//caiF//aroH//oppD//csiD//nanE//tcyJ//fau//yqjH//kbl//galM//glcD//nanS//ydfN//tadA//phoQ//glrR//slt//uhpA//gspL//rhaR//rimP//ilvE//purE//thrS//adhE//betB//fhuB//modA//cstA//ihfA//grcA//yeiB//rbsD//lrp//glcG//mhpC//glpR//norV//srlE//eda//betI//hyfA//cysK//yidQ//secB//epd//alkA//mhpR//baeR//nanE//purR//cydD//fur//rrfC//ykgR//lrp//yfeW//hycH//lldP//motB//ccmA//hycE//ssuA//glpC//rrlA//sufE//hyaD//mepH//puuB//lacZ//fimF//hofM//ada//nagB//hflD//gltB//cheZ//appX//ilvL//phnN//cirA//zinT//
NarL-Phosphorylated_pos	fixA//sbmC//xylH//uof//casE//metY//prmC//pitA//gspK//idnT//rrfD//ansB//nagC//cpxR//ccmC//dapB//ldtB//gspE//cysB//fixC//gadB//tap//soxR//ppiD//allE//ynfG//rrlE//nuoI//astA//proP//metQ//waaH//nuoB//comR//uhpC//rutB//purD//uxuB//edd//phoB//hybC//xylB//tktB//rpoE//rpoS//ilvC//
NarP-Phosphorylated_neg	modC//allD//hyfA//ynfH//betB//phnC//pepT//xdhB//zwf//oppF//ompR//ybdZ//nrdE//cyaR//gadC//paaA//galS//entE//ompC//mdtC//csgF//srlA//artQ//nrdF//uhpT//agaV//ssuE//lldP//glpE//gabT//trpR//sdhD//trmD//
NarP-Phosphorylated_pos	tdcC//xylG//caiB//aaeR//glcD//rprA//purE//allE//ilvI//moaC//fecR//citF//aer//fumB//rrfG//nupC//rplV//lsrG//tdcG//phnE_2//oppF//rrfH//yfaE//hofN//yaeP//yqjA//sxy//ilvE//mcaS//cdd//feoC//lhgO//
NhaR-Na+_pos	hofN//rpoH//chiP//hyfB//frdC//
NikR-Cd2+_neg	galM//oppA//uhpC//paaD//purE//tadA//
NikR-Co2+_neg	ssb//rplV//rplB//phnF//yeiP//cadB//
NikR-Cu2+_neg	bioA//puuA//ydeN//alaA//yojI//guaA//
NikR-Ni2+_neg	napA//focB//feoB//grcA//yhhY//yjeF//
NikR-Zn2+_neg	recF//frdC//cytR//alkA//ppiD//cyoA//
NrdR-ATP_neg	cysD//rbsB//gpsA//narQ//uxuR//nanM//csgB//cyaA//mutL//
NrdR-Zn2+_neg	fucU//moaA//entB//caiF//degP//cyoC//araJ//alaU//tdh//
NrdR-dATP_neg	oxyR//metF//ptsG//marA//fadB//betA//ccmC//hyfF//zwf//
NsrR-[2Fe-2S]reduced_neg	ulaE//fdnG//prmC//cueO//nanK//tdcD//yecR//gspL//entC//purA//ogt//srlB//torD//nuoI//caiA//argI//tap//gspH//xseA//gspO//deoA//bacA//rutF//tolC//dmsB//glnB//mutL//gntT//cas2//rplT//ompC//sucA//napF//leuE//malG//rseC//tauC//purA//marA//yfbR//tdcE//allD//glpT//tyrR//hflD//fdnI//phnF//dcuA//gatY//fiu//pgaA//thrV//mdtA//metY//mutY//mlc//ppdD//ihfA//exuT//phnG//gcvT//ascF//rplP//lsrK//metA//lsrB//epd//malQ//uhpC//prs//cysN//tauB//napG//
PhoB-Phosphorylated_neg	fes//dnaE//sucD//nikA//hypC//ileT//dadA//dgcZ//yebE//mntH//citE//fadB//uxuA//
PhoB-Phosphorylated_pos	fimG//cysW//hyfB//rrfG//narL//aceK//ascB//mhpB//metC//cusC//katG//tdcB//mhpC//rnhB//rrfB//hisQ//lysO//gatY//nadC//ebgA//oppB//lldD//rseB//hemA//mzrA//rutF//putP//uidA//ygeA//fadJ//nuoK//psd//nuoN//dctA//acrD//glpF//creC//prpD//argT//hybC//cusC//xdhC//aceK//dcuD//lsrG//epd//uvrA//rpsR//nrfG//aceK//rplV//kbaZ//ynfK//
PhoP-Phosphorylated_neg	fnrS//mdtA//hypB//lysU//gltT//yeiP//malF//artP//baeR//lpxD//csgG//
PhoP-Phosphorylated_pos	hybC//trpD//fadA//livK//yiaJ//tauB//emrK//rpsJ//gspD//thrV//pstS//phnI//yjeV//xylH//mutL//malY//tdcB//gabP//prpE//sodA//rbsD//moaB//ahpF//bamE//ampD//fadE//hybG//nrfB//uxuB//ftnB//narQ//mntH//ccmA//alaS//cheZ//dusB//envY//gntK//agaV//purM//hisQ//glpX//iraD//phoQ//cas2//iraD//hemL//mglA//focA//
PrpR-2-methylcitrate_neg	zraS//
PrpR-2-methylcitrate_pos	ilvC//narQ//prpB//ryhB//
PurR-Guanine_neg	moeA//fimC//dnaN//tsr//betA//tpx//mtlA//citF//mltC//dppB//bglB//csgG//efeU_2//ugpQ//tehA//nrdA//galE//yaiW//glpT//araE//ileV//mtlR//fes//rrsA//ubiA//spy//nuoG//aceE//uhpA//alaV//gcvP//yccA//hcr//ftnA//
PurR-Hypoxanthine_neg	tar//phoU//xapA//dctA//dpiA//phnK//rpoH//dppD//nikE//putP//rrlH//ssb//tnaC//puuC//nohA//rpsP//frdC//focA//fldA//baeR//cysM//tktB//rpsQ//purA//rbsD//ykgO//nrdD//mglC//aldB//nuoC//cydD//aceA//aldA//manY//
QseB-Phosphorylated_pos	purH//fucI//melA//purF//
RhaR-L-rhamnose_pos	cadA//ompX//
RhaS-L-rhamnose_pos	dsdC//aceK//ccmB//
RstA-Phosphorylated_neg	bacA//fucK//ybdZ//mgtL//aceE//
RstA-Phosphorylated_pos	ilvA//bacA//cusF//fhuA//dctA//
SoxR-[2Fe-2S]3+ oxydized_neg	hyfA//
SoxR-[2Fe-2S]3+ oxydized_pos	appB//rpsR//marA//
TorR-Phosphorylated_neg	sroD//
TorR-Phosphorylated_pos	rrfB//cyoC//argC//astA//ygbA//rimM//amiB//xylA//ilvE//
TrpR-Tryptophan_neg	tpx//acrD//fdhF//fimH//prpB//yjeV//tyrB//raiA//malQ//phoE//grcA//modA//
TyrR-L-tryptophan_neg	sdhD//yqjA//nlpE//modB//betI//gltW//ydhY//gadC//rrsH//argO//tyrR//ytfE//
TyrR-L-tryptophan_pos	pstB//trpB//argC//
TyrR-Phenylalanine_neg	yjeF//alaT//nrfG//csgF//azuC//malK//glgX//rseC//hyfI//aaeX//ugpB//creC//
TyrR-Phenylalanine_pos	mepH//cysH//metR//
TyrR-Tyrosine_neg	dapD//ulaC//aidB//iscS//gadB//rrsD//manZ//priB//puuP//bamA//aspC//dpiA//
TyrR-Tyrosine_pos	frdD//entH//glyA//
UhpA-Phosphorylated_pos	pgpC//
XapR-xanthosine_pos	malM//ompF//
XylR-Xylose_pos	nrfB//acrB//rprA//uxaC//malG//moaE//
ZntR-Cd2+_pos	cheB//
ZntR-Hg_pos	speB//
ZntR-Zn2+_pos	skp//
ZraR-Phosphorylated_pos	alaA//aaeA//argD//
Zur-Zn2+_neg	mhpC//phoU//slt//micF//fepB//phnC//
