#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ygbA//fimI//
CRP-cAMP_pos	purA//caiC//yegR//dmsD//yqaE//trpB//lacA//lacA//mepH//citF//hypB//udp//paaZ//malS//nirC//dppF//upp//pdhR//ppdD//mipA//lsrG//ptsG//yjeV//ydeM//ascB//marR//hybO//hcp//nanK//yhjC//bcsB//araB//gltW//phoA//cysU//fhuF//baeS//xylR//tolC//oppF//xylF//glgC//nagE//ugpE//aroP//fimG//rrsC//zraR//uof//fimH//nrdF//sufA//rpsF//ubiG//rmf//mdtA//caiA//hslJ//paaD//yfeW//glgX//cstA//yeaR//mhpT//ygiB//ydhW//creB//aspA//lysP//epd//gspE//dcuD//cyoC//allE//fumC//citF//hybB//secB//cysP//dnaN//phoE//yciW//cynT//malE//rrfE//glnG//rpsR//citF//ybdZ//deoB//appX//cheW//nrdI//cadA//lysU//sucD//lysO//yqjH//glnG//rpsI//chbB//iraD//gntX//rrlE//gntU//rutB//xapB//sdhB//fhuA//oppD//hybB//frdA//fucI//yqjI//puuR//gspF//mhpR//ldtC//malF//phnI//ahpC//paaC//narX//deoA//citE//livM//emrY//cydA//pitB//gspJ//ydfH//caiD//dapB//pta//hycI//psiE//nmpC//csgE//fbaA//deoC//glcB//melB//icd//rrlB//entA//hyfI//cydC//mtlA//citC//ptsI//entC//creC//hypF//argE//hflC//ogt//ygiC//srlE//narX//manA//motB//ebgC//garP//sdhC//cytR//pgaA//creA//nrdE//yoaC//dsdX//ilvN//grxD//tdcE//qseB//alaV//csgA//sroD//rpmC//focA//ydeP//thrS//nrdE//ilvA//ubiC//cyoE//sdhB//napA//sufC//glpG//rpsR//fdnG//arcA//adhE//amiB//tauD//pstC//murP//ydeO//ulaC//melR//sucC//pgaC//ykgR//gabT//livJ//csiD//hypC//ygiB//flhD//entH//idnO//dppA//ndh//ivbL//gabT//cpxR//gntP//sucB//lldR//ilvY//yeiP//caiD//napA//yeaR//rutG//agaV//ampD//infC//gpsA//dsdA//trxA//gcvT//csiD//lpxD//abgT//fepD//polA//hycI//ydhV//yjiY//rutG//malS//mdtA//fucA//yeiP//fdnI//tyrB//lsrD//cysM//tdcD//trpR//ilvX//hslJ//cheB//mtlD//ilvY//rpmC//nagE//hyfJ//psiE//cas2//ldtC//yjeV//phoB//fimD//hycA//tyrB//modA//citF//codA//citC//ugpB//ampD//prpD//malG//tadA//cheA//malE//mglC//purE//ubiX//fumC//hemA//creC//atoB//tauD//uxuA//ccmC//codB//prpB//yfiP//sdhA//nanT//lysP//hflK//osmY//aldB//uidB//nuoL//ulaB//dsdX//ycjF//yidQ//rutC//nrfF//astA//ileV//hflK//cysB//rpoS//ilvI//napB//ptsH//narX//dcuS//caiD//hyaC//grpE//ulaB//icd//gltU//trxA//prpD//aaeR//aaeB//chbG//serA//psd//yegZ//mdtB//rplS//guaB//hupB//ycjX//nuoE//norR//nuoM//yfbR//hdeA//aldB//ompC//nirD//yhhY//cysU//yfdX//cysI//glcB//uvrA//purK//uxaC//puuE//sufC//mutL//gspH//crp//gcvH//baeR//rbsK//rutE//yccA//ung//napF//mhpR//xdhC//lhgO//yaeP//nanS//borD//malQ//gatC//phoH//ccmA//mhpB//rbsD//cysK//rdoA//rrlA//alkA//cirA//skp//atoB//entC//yebE//dppA//fdhF//envY//hmp//ansB//melR//sufB//rpsR//metF//glcD//moaD//sbcD//galM//ilvG_1//nanE//rrsC//bioC//cheB//epd//rbsC//rof//dsbA//ryhB//phnJ//rpmI//nrdD//zraS//fimC//dmsD//ubiX//malI//treC//sodB//emrY//mgtL//ybjG//zwf//cusB//caiF//dcuA//idnD//artQ//nrdG//fimA//ydiU//yjeF//
ChbR-Monoacetylchitobiose-6P_neg	narI//uxaB//torC//actP//narL//rplP//
ChbR-Monoacetylchitobiose-6P_pos	cusF//mhpB//phnD//phoQ//thrV//ompR//
CpxR-Phosphorylated_neg	ykgM//nagC//uhpT//skp//cysN//sdhD//gntU//trmD//fhlA//bcsB//cirA//oppF//tap//moeA//cyaA//entH//ompX//creC//fis//murQ//fiu//fimF//ychO//oppA//
CpxR-Phosphorylated_pos	lrp//pdeF//prfA//malT//hypE//nrfF//yfdX//phoP//dgcZ//asr//yeaR//metY//sbmA//cynS//sucB//rrlA//rrlE//yeiP//arcA//idnT//ulaB//livM//tktB//phoA//yfdE//ydhY//creC//tyrP//leuE//ilvE//pncB//mhpF//agaV//fadA//nuoA//cra//cusB//amtB//nikE//qseC//rutC//ydhU//paaZ//cydD//cheA//
CreB-Phosphorylated_neg	ackA//pitA//malY//
CreB-Phosphorylated_pos	rbsK//oppA//yhjA//nusA//gltT//norW//
CueR-Ag_neg	paaZ//guaA//lysO//aroG//frc//
CueR-Ag_pos	malS//zraP//
CueR-Cu+_neg	amn//hyaD//melR//xylG//ydeJ//
CueR-Cu+_pos	carB//oppC//
CuerR-Au_neg	livJ//citX//zwf//csgB//argI//
CuerR-Au_pos	glpX//livM//
CusR-Pasp_pos	mgrR//hflX//gltA//ybdN//rplD//narL//metF//dppF//ydfH//malM//narX//phnG//
CynR-Cyanate_neg	aldB//
CynR-Cyanate_pos	glnL//phnG//ccmD//
CysB-N-acetyl-L-serine_neg	citE//nadC//nuoL//fhuA//dcuD//uxaB//lacZ//
CysB-N-acetyl-L-serine_pos	ssuC//rseB//nanK//ydhX//tdcC//fucI//trpL//cheB//ugpC//trpA//cyaR//fimG//cynR//cusB//rpsP//frdB//spf//nlpD//cysG//soxR//hyfJ//dnaA//bioB//
CysB-O-acetyl-L-serine_neg	cspE//metR//frc//hflK//ilvY//pgaD//uhpT//
CysB-O-acetyl-L-serine_pos	cysN//cysP//oppB//artJ//fucI//gspH//bacA//asr//dcuC//phnJ//comR//ugpC//bcsA//fixX//srlR//uvrA//yecR//fbaA//ydeA//cusA//nuoG//glgB//fixC//rrlC//
DcuR-Phosphorylated_pos	ssuC//fiu//sufD//mepH//ulaC//ptsI//mzrA//napD//sufA//
DnaA-ATP_neg	dsdC//ydhV//lamB//hyfE//rnhB//trpC//fucO//agp//ugpC//fepC//argA//
DnaA-ATP_pos	ackA//gntU//rutF//dadX//ileU//citF//rseA//
DpiA-Pasp_neg	hdeA//
DpiA-Pasp_pos	pitB//ugpQ//purC//xapB//chbF//gadC//dapD//fucA//sucB//pagP//
DsdC-D-serine_neg	nirC//
DsdC-D-serine_pos	moeA//aceB//
EvgA-Phosphorylated_pos	rpmI//patZ//gntU//mepH//torR//sucA//hupB//torD//nupG//thrV//entD//appX//entE//rrlH//hyfB//
FNR-[4Fe-4S]2+ reduced_neg	tolC//astA//rhaB//treB//gabD//uidB//glnB//hyaE//lsrC//phoP//focB//rbsR//srlB//rutE//pdeF//rseA//malG//lacZ//efeU_1//aceA//casD//appX//ada//mgtA//folE//yjjZ//astC//ykgM//hypB//rpsO//hyfF//fldA//yhjC//fabZ//nrdD//argB//ccmH//ccmH//galT//hybD//rrsA//hflC//folE//phnL//tauB//purN//nuoG//aldA//entC//dapB//asr//yneM//araF//hha//casE//glgS//nuoF//norV//sucB//trmD//fucA//rhaS//grpE//alaA//trg//lldR//tar//artJ//agaV//fimH//ackA//dnaA//uxaB//fucK//pgaD//yegZ//speC//ascF//fecI//icd//ldtB//garP//argT//tonB//xseA//ssuD//glcB//argO//rybA//secB//fecA//flhD//nirD//rhaB//nikC//tolC//glcG//pta//alaT//focB//grpE//fecC//pta//evgS//rimM//hybE//tnaC//nrfA//fhuB//mtr//caiC//arcA//modA//hycC//aroP//fbaA//gapA//citE//rutB//nupG//
FNR-[4Fe-4S]2+ reduced_pos	iscU//phnK//borD//bglG//hofM//hofN//argD//dmsB//phoU//nuoC//cysU//preT//yfbR//tdcE//fhuD//chbR//hemA//garK//manX//lldP//uhpA//araB//yaiW//cyaR//hmp//nohA//rrlA//tktB//dnaA//aldA//lpd//rutG//hycB//glpB//argD//fecI//tnaB//cysB//ybiT//entH//oppD//focA//rutB//ulaB//manA//nuoF//nanK//yrbL//fucA//dsdX//map//fadI//tsgA//lysP//trpA//idnK//ahpF//hybB//sdhB//trmD//zraR//nadC//phnC//nmpC//manX//iraM//speC//fimD//nuoE//tnaC//idnT//rpsF//malP//hdeD//ytfE//nuoN//gspH//rpoS//sroD//ugpE//cysP//feaR//dsdA//phnK//nagC//gadB//lsrC//nlpE//lldD//rseA//fbaA//lsrK//sohB//priB//ugpA//torA//citE//tauD//argF//rnhB//yhfA//acs//fecD//fdnI//cynR//alaV//yaiW//tnaA//fumC//amn//priB//mcaS//xylG//fau//nrdE//fumC//grpE//dmsD//ydiU//cheB//purL//miaA//rhaB//gadB//gatC//ybiT//galM//sxy//mltC//napF//bamE//hdeB//dsdC//fumC//preA//lacY//marA//narJ//phnG//dmsB//ssrS//fadA//napD//rplB//cysW//metL//bioB//yebE//glpX//tolC//glcE//yhiD//malS//glnG//yebE//nrfD//bcsZ//fhlA//casD//gspO//thrS//cusA//rrfD//hyfD//frdC//aceF//cvpA//lhgO//trpR//prpE//aroA//yhiD//hybB//chbB//gatY//waaH//rrfF//araC//emrY//rpsC//osmY//uxuA//entD//moaE//atoA//xylR//dcuA//frdB//bhsA//micF//motA//gspC//mdtB//rrfG//hybE//avtA//pagP//livJ//hofB//lpxA//acrA//fliZ//
FhlA-Formate_pos	gabP//lacY//mgtL//trpC//glcC//nikB//dapB//phnI//ompR//hflX//pgaB//rdoA//creC//ydiU//metJ//iclR//trpB//manZ//nuoC//rrsB//hycH//yccA//uraA//flhC//yfiP//hdeA//rrlE//glmY//fimG//spf//
FucR-L-fuculose-1-phosphate_pos	pheT//purH//chbB//puuR//nikR//dmsC//hofP//
Fur-Fe2+_neg	hypB//fimF//modC//srlA//fadD//aidB//idnR//nadC//nanE//hflC//nikB//dcuD//ompC//tolC//araG//pitA//codA//rseA//gadC//lacY//pstC//hycD//moeB//sufD//gltT//oppB//ulaC//tdcF//hyaD//mgtL//yebE//chbA//arcA//yoaG//ybjG//xapB//fimC//fimD//uhpB//pgaB//uxuA//ompA//iscS//tktB//phnI//rhaR//acrE//zraP//abgB//uxuB//rpsC//dadX//ygeH//narK//pta//erpA//lamB//napD//cusA//gltU//ydeJ//iscU//pta//narI//ychH//tcyJ//ilvN//sohB//acnA//bioA//mltC//nuoB//fhlA//lsrR//ssuA//ydfN//grxD//nikD//glpQ//caiF//nanK//uxaA//psd//metA//pstS//gltV//cynT//bioD//gltV//cynR//nrfA//sdhA//napC//lpd//betA//glpD//torD//ndh//cas2//iraD//gspM//amn//galK//yhfA//astA//lldD//nrfB//galE//entE//rplT//hmp//nanM//focA//fdnH//nikB//norV//rhaT//mcaS//aroH//fumB//mdtA//argG//astB//dcuS//
Fur-Fe2+_pos	phnO//iraM//argG//malZ//rutD//tyrP//fis//cysN//aer//pepT//paaF//nanE//araD//ybdN//rrfB//rrlB//nagA//ynfH//paaG//garR//phnK//ppdD//ykgO//paaA//paaB//
Fur-Mn2+_neg	ydeO//nagA//frdD//zwf//efeU_1//nrdD//lysC//garL//zraR//livK//evgA//qseC//zntA//waaH//lsrC//kbaZ//dcuB//arcA//glcC//fucI//fepD//phnN//fliZ//mgtA//bamA//chbB//mhpB//aroH//glcE//allD//adhE//rrfB//codA//araE//glcB//nrfB//entS//ccmG//nuoB//alaV//nanM//tolC//baeS//appC//dcuD//rplC//nuoB//lolB//csgA//uvrA//gabP//norR//dsdX//cra//pck//nohA//pyrC//iscA//prpE//uxaC//acnA//hycD//grxC//ccmH//mpl//fucK//purC//eda//ccmG//fimC//rrfC//napG//gspC//tolC//yhiD//gltA//rpsS//ubiG//argT//nohA//cas1//hdeB//hycD//gadB//yqjA//gcd//tehB//tdcD//hflX//ysgA//srlE//mgtA//aroF//oppC//erpA//csgA//creC//rnlB//mcaS//aceA//rhaA//lacY//norV//udp//osmY//appY//trpD//cdd//glnK//metF//rmf//tomB//moeB//alaA//araF//uraA//trpA//fis//pdeF//ycjX//ahpC//nikB//fimF//cysD//
Fur-Mn2+_pos	ychO//purN//fadB//ccmE//miaA//kbaZ//glgC//icd//rrsC//treB//arcA//udp//hybO//xdhC//lsrG//ybdZ//ygaC//cpdB//nrdD//aroL//rrlA//hybA//trpD//phoB//feoB//
GlcC-Acetate_neg	rhaS//
GlcC-Acetate_pos	yeiP//ompA//prpD//mglB//folA//tsx//
GlcC-Glycolate_neg	ompA//
GlcC-Glycolate_pos	gspM//tfaQ//ugpB//fucO//rhaT//tsx//
GlrR-Pasp56_pos	chbF//
IclR-pyruvate_neg	astD//rseC//gdhA//srlD//
IdnR-5-ketogluconate_neg	hyfH//hupB//hyfG//
IdnR-5-ketogluconate_pos	nagE//bcsC//gltT//yecR//xylH//
IdnR-Idonate_neg	hybA//alaT//caiB//
IdnR-Idonate_pos	yfdV//creB//hypD//pgpC//sdaA//
IlvY-2-acetolactate_neg	galS//
IlvY-2-acetolactate_pos	trmD//
IlvY-Alfa-acetohydroxybutirate_neg	fecC//
IlvY-Alfa-acetohydroxybutirate_pos	sufS//
IscR-[2Fe-2S]1+_neg	caiD//ada//glrR//mhpA//nikB//ccmF//hofP//umpH//mdh//hypF//crr//ada//tyrP//fixC//glrR//nuoE//moaD//fecD//csiD//gltD//mtr//gatZ//hyfD//ykgO//pyrD//dsdA//hybE//iraM//yaiA//araD//
IscR-[2Fe-2S]1+_pos	hofN//acs//motA//feoA//pdeF//ulaC//phnN//fdhF//moaC//narL//rstA//
LldR-L-lactate_neg	artJ//artM//hslJ//
LldR-L-lactate_pos	metA//malT//trpC//
Lrp-Leucine_neg	rrfG//udp//mhpF//asr//pyrD//fimF//ascF//hycH//cysJ//lolB//fecC//malZ//hycI//metN//napG//gpmA//rutA//crr//pgaC//cbl//xylA//bioA//grpE//dsdX//srlD//aaeA//oppD//metE//nlpE//bcsC//mhpF//mdh//marR//argG//glnK//ubiG//rcnA//csiD//tdh//ascB//sucB//cheY//rrlE//fixB//hisP//nagE//moaC//trg//napH//moaC//fliA//hycG//dadX//hyfA//rplM//prpB//nrdG//sucA//fau//uvrA//rpoH//ppiA//fhuD//ldtC//prpE//fdnH//oxyR//zwf//iscR//tomB//lsrK//hflC//ynfG//lysP//rmf//
Lrp-Leucine_pos	aceA//iraM//hslJ//fecD//csgD//mcaS//mlc//ascB//ygaC//hofC//lacA//yqjA//cyoE//deoD//nuoF//fecC//iscA//emrK//purE//yrbL//murP//phnK//nirD//tfaQ//lacZ//malG//galK//ssuB//norR//galE//envY//hisP//ybiT//cysI//creD//
LsrR_neg	ompX//cytR//gadB//gspE//cheW//dmsC//rbsA//cysB//gntK//
MalT-ADP-Maltotriose_pos	purE//ccmD//cydA//rbsR//rpsR//nrdA//allE//srlE//yjcH//hflX//
MalT-Maltotriose-ATP_pos	serA//paaJ//nuoE//glpD//idnT//rrlD//purN//tadA//hfq//fes//
MelR-Melibiose_neg	dgcZ//ulaE//gltD//
MelR-Melibiose_pos	norV//edd//yegH//
MetJ-S-adenosylmethionine_neg	argC//yaiW//comR//tyrB//aceK//rbsD//atoE//nrdF//hisQ//glcC//ubiG//hupB//rpsC//cueO//uhpC//
MetR-L-homocysteine_neg	ackA//yggX//
MetR-L-homocysteine_pos	rseB//amn//nikA//dsbA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	tyrA//gspM//acrA//nanK//manX//srlE//
MhpR-3HPP_pos	fbaA//bamA//purN//rplP//argB//ssb//
MntR-Cd2+_neg	agaA//mntH//ilvG_2//mgtA//
MntR-Cd2+_pos	manZ//
ModE-MoO42-_neg	dcuS//yeiL//fepC//atoE//metK//hyfF//ubiA//nuoC//uhpA//yegH//ugpQ//uidB//rbsC//rpmC//prpR//
ModE-MoO42-_pos	cysU//iraM//ompC//preA//casD//dcuB//garP//iscU//rimP//katG//araH//truB//hofM//chbB//oxyR//flhD//nanK//ugpA//purB//paaK//glpX//hypE//cadA//tar//fldA//dppA//ahpC//caiT//rrsG//yaeP//livF//
NarL-Phosphorylated_neg	nfuA//marA//fdnI//fixC//tonB//ilvI//flhC//feoB//fixX//uxuR//fadL//rrsA//sdhC//cbl//gdhA//tnaA//gcvP//gltB//pdhR//glnD//marR//mgrB//hyfI//avtA//nrdF//znuC//rplC//tdh//mdh//qseC//hmp//treR//nanT//nuoN//ybiT//rutF//rplM//fhuD//hofN//gltF//rutA//mntS//glgB//yeiB//gabD//deoA//fhuF//hofN//cheZ//puuA//idnK//deoC//fhuE//csiE//chbA//sdhC//katE//ccmA//cydC//ulaF//hyfI//ssuA//fnrS//cheZ//dcuS//ccmH//ampD//idnR//sdhC//argO//grcA//mltC//copA//cadB//lpxB//ccmH//tnaB//paaF//yeiL//xapA//mdh//yjeV//ampE//tdcG//bhsA//sodB//
NarL-Phosphorylated_pos	fiu//prpE//paaI//lsrF//ompR//yoaC//dcuA//entS//gspF//gltT//tdcG//manZ//malK//lamB//cspE//cyaA//mdtC//rutC//fbaA//ccmB//rbsR//nuoE//fumC//malY//fecC//bglG//glcG//ydhT//fecB//cyaA//dsdA//fepA//cyoE//rof//feaR//ilvI//lhgO//rrsG//flhD//rcnA//pstC//cadC//ccmC//speB//srlR//citX//
NarP-Phosphorylated_neg	ilvA//paaG//aer//ssuB//uxaC//hyfA//iraM//astA//hyaF//rpoS//glgB//yiaJ//bioD//yaiW//gutQ//ssrS//appB//idnO//manX//gspK//rrsE//gspO//narG//nrdF//glpF//hypB//tyrP//hybD//cysC//cyoD//creD//phnE_2//nanA//
NarP-Phosphorylated_pos	waaH//ansB//yjeF//alaT//xdhA//narK//fepE//marB//fnrS//kbl//lpxB//phnD//gutM//uxaB//fecI//mhpB//phnE_1//malY//mglB//rplS//dnaN//hmp//glnA//zinT//fepG//pgaB//murQ//feoC//ydhX//napD//zwf//mzrA//
NhaR-Na+_pos	csgF//casC//tsx//rseB//gyrA//
NikR-Cd2+_neg	puuA//garP//cirA//yrbL//gspI//sufB//
NikR-Co2+_neg	bamA//bacA//grxD//guaA//fhuD//ilvX//
NikR-Cu2+_neg	cheW//dmsA//bioF//fixB//rrsH//rrlB//
NikR-Ni2+_neg	atoD//rplW//puuD//waaH//ydbD//gspE//
NikR-Zn2+_neg	rplW//fiu//proP//glnK//rpsO//tpx//
NrdR-ATP_neg	frdA//ndh//nuoL//tar//creA//sufD//fimE//fhuE//fhuF//
NrdR-Zn2+_neg	csgG//nuoE//trpL//safA//lacA//phoU//xylH//nrfF//gspD//
NrdR-dATP_neg	allD//rrfG//rstA//ssuA//sbmC//arfB//rnlB//gspD//xylG//
NsrR-[2Fe-2S]reduced_neg	rrsG//srlB//hypE//truB//glmY//ada//narJ//hycF//dcuR//araG//acrF//yggX//glcC//nrdH//zraS//cysA//phnO//aceF//efeU_1//ilvE//fnrS//frdB//yjjZ//cydB//hypA//glgP//ulaE//yoaC//tsaE//phnD//rrlB//fimF//dsbA//safA//gnd//sbmA//rrfC//tyrR//spf//gadC//torR//entD//rplD//cytR//hemL//paaG//xylF//pagP//rpsP//lsrK//yfaE//yaeP//ompR//ynfG//fes//fecC//fabZ//uidC//dpiA//aceE//hpt//bcsB//ugpE//atoB//ptsH//artJ//fadJ//hycG//pheT//ynfK//oppB//dppB//rpmC//
PhoB-Phosphorylated_neg	hflX//yhjA//xapA//artP//glnB//dcuA//rbsB//gabP//guaA//zraR//prs//soxR//idnR//
PhoB-Phosphorylated_pos	rmf//rutC//ydeM//acnA//phnP//znuC//yfdX//marB//iscS//aceE//arfB//tcyJ//prs//srlR//araA//ugpB//csgD//astE//feoB//aceE//psiE//pdhR//glgP//trpL//nanC//rpsQ//rrlC//ssuD//yeaR//metI//ompT//speB//entH//dsdA//glcE//nirD//hycG//ubiC//mepH//mutL//mglC//idnK//narH//metH//hmp//leuE//chbB//aroG//ilvL//phoU//aroG//bdcA//lpxA//
PhoP-Phosphorylated_neg	casE//ivbL//bacA//arcA//fimG//glnB//argB//argR//glgP//acrD//acrE//
PhoP-Phosphorylated_pos	gspM//prfA//araH//yaeP//caiA//hemL//ynfK//lamB//nrfF//phoP//ycjX//mtlR//garK//cysB//folA//yecR//uvrA//fixX//cyoE//alkA//rimP//rrlG//narJ//cysJ//guaB//puuP//gatC//atoD//rnhB//mglB//fabZ//cas1//qseB//alaV//zraR//tdcC//emrK//cvpA//narL//sbmC//acrD//purA//hypE//cusS//glcG//pstC//mgrB//yidQ//rmf//
PrpR-2-methylcitrate_neg	dsdA//
PrpR-2-methylcitrate_pos	cstA//narG//mglB//malE//
PurR-Guanine_neg	artM//tnaA//ydhY//entH//gutQ//ydeJ//yeiB//srlB//fadD//cpxA//ilvL//pyrD//galE//gatY//srlE//glpB//narK//uxaB//argC//hyaA//hdeA//rseC//efeU_1//phnM//ugpB//puuE//ykgM//ycdZ//yfbR//prs//argT//znuA//artM//casA//
PurR-Hypoxanthine_neg	phnO//ssb//degP//ydhU//dps//yeiP//manX//fumA//fbaA//rpmI//ndh//ascB//uxaA//glpX//paaD//nupG//pgaA//fbaA//zntA//sufD//uraA//tauC//hyfH//narH//nuoL//yegZ//focB//acrF//ygiC//rbsA//abgA//srlA//oxyR//ygiC//
QseB-Phosphorylated_pos	acrA//creB//srlE//fecA//
RhaR-L-rhamnose_pos	fdhF//bacA//
RhaS-L-rhamnose_pos	ycjF//trpR//yaeQ//
RstA-Phosphorylated_neg	lacA//ccmC//feoA//ykgO//phnJ//
RstA-Phosphorylated_pos	xylF//yeiB//purK//yiaJ//gltB//
SoxR-[2Fe-2S]3+ oxydized_neg	hmp//
SoxR-[2Fe-2S]3+ oxydized_pos	malI//acrB//fixC//
TorR-Phosphorylated_neg	cyoE//
TorR-Phosphorylated_pos	glgA//mdtD//cynT//ydeM//yfiP//gspG//phnE_1//glgX//phoR//
TrpR-Tryptophan_neg	lacA//yegR//lysO//galS//sufS//bcsA//yaiW//ycdZ//fepA//glgA//rnlA//yebE//
TyrR-L-tryptophan_neg	gcd//nrdI//araE//ompW//cydC//iscR//dusB//tauC//ydeO//metL//tauC//mglA//
TyrR-L-tryptophan_pos	metK//manX//dppF//
TyrR-Phenylalanine_neg	actP//iscR//ada//bglF//dusB//arcZ//idnD//torA//glrR//tnaB//glyA//ygeH//
TyrR-Phenylalanine_pos	narH//aroL//idnR//
TyrR-Tyrosine_neg	rpsC//ydhX//carA//phoP//ydeJ//metN//caiC//dmsD//yfdX//gatD//phnJ//feoB//
TyrR-Tyrosine_pos	serA//mtlR//ssuC//
UhpA-Phosphorylated_pos	rrlB//
XapR-xanthosine_pos	hycB//treR//
XylR-Xylose_pos	ssuE//tyrP//borD//ssuD//marR//adiC//
ZntR-Cd2+_pos	nrdD//
ZntR-Hg_pos	sdaA//
ZntR-Zn2+_pos	rseB//
ZraR-Phosphorylated_pos	fecA//cusR//gatC//
Zur-Zn2+_neg	znuB//xdhA//nusA//ackA//hybA//fumC//
