#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rnhB//lldR//
CRP-cAMP_pos	nrfD//hyfC//proP//hybO//hcr//yciW//ydfH//ampE//rutA//dcuR//napF//gutM//rutF//metE//rutA//yebE//hyfR//yojI//nuoL//uidA//ccmA//rplW//ung//sucB//ynfF//casA//yebE//crl//glpE//iscS//fecI//nac//tehA//ygiC//malZ//malE//thrV//feaR//rrlB//dnaE//baeR//phnJ//yeiW//glpK//hflX//pitB//entE//argB//feoB//erpA//lldD//hyfB//caiF//modC//caiA//casB//ppdD//phoH//glpF//cysD//fixC//fldA//yfbR//ilvX//feaB//glpR//ydeJ//malI//pck//nuoI//puuC//cysP//osmC//ssrS//frc//fixX//erpA//lhgO//ydeN//fixC//glcE//srlE//glyA//trg//trpD//cspD//nanM//cadB//edd//cusA//zwf//yjjZ//appX//yccA//hyaF//ydeP//raiA//napB//nagC//cheB//csgA//ugpQ//gabD//trpD//casC//motB//ascF//hyfD//fecD//emrY//uidB//tsr//caiE//gadB//xdhB//argT//deoC//rrlB//ada//glpQ//malT//cydC//yoaG//dcuB//ssuC//ugpQ//rrsA//pyrC//borD//nagA//cydC//glpA//cas1//dps//hyaE//fepE//aroL//cdd//nuoC//upp//metJ//mhpB//metL//rplM//caiC//purF//narJ//cysW//chbC//glnD//hypB//aldA//ogt//livM//aspC//hcr//ilvD//amiB//moaB//bamA//modA//nfuA//envZ//glgB//ykgM//ansB//xdhC//serC//alaV//hemL//ybjG//glpQ//fdnH//entD//entE//nrdI//yqjH//lhgO//paaH//nanA//fecA//yegZ//manZ//cysC//manZ//hupA//garR//bglG//frdD//dcuA//icd//casB//livF//yeiP//lacY//puuA//dpiA//ldtB//nanM//hisM//psiF//hypD//xylR//ykgM//yhfA//hemA//speA//entS//mtr//tauD//metF//nrdH//hybC//lrp//rpoH//nuoG//metF//cueO//cydB//ugpE//ebgA//frdB//cas1//acs//prs//prs//phnJ//hofM//pncB//rpsO//gspK//marR//ppiD//phnL//phoU//folA//folA//ubiC//hofO//idnK//caiE//paaC//paaG//rrlE//pck//livM//fdhF//ihfA//cyoE//hpt//tadA//appA//csgC//rpsJ//malF//glgA//fimG//pflB//sxy//upp//aroH//mhpB//ispE//ulaF//nuoN//fdnG//fecR//yeaE//lrp//thrS//ilvB//ykgR//cysJ//srlD//paaF//ompC//yggX//torC//hflX//garR//hyaF//atoB//cynS//hha//nagA//mdtB//chbG//sdhC//preT//hfq//glcA//hyfG//cynR//malF//mlc//phoE//glnL//puuB//nanC//purH//hofC//hpt//casA//glpT//glpD//dnaA//talA//frc//oppB//oppD//ybfN//cyoB//napA//hlyE//nuoK//sucD//hisP//hyfR//allC//gabT//fur//uidB//idnK//galS//oppB//rplT//argB//nuoJ//hypF//lysP//leuE//ulaA//xylR//garL//citG//fnr//efeU_2//mglC//spy//araJ//yegZ//folA//rof//sufA//creB//xylH//ppiA//fecR//rbsA//uxuA//alaU//puuB//katG//nrfE//leuE//sodA//nagB//fabZ//dsbA//fixB//putP//hyfR//ugpQ//moaC//exuT//hyfE//yhjC//glpR//treB//rpsR//metA//metJ//galT//nikB//arcA//mhpD//glpE//rrfG//betT//degP//ilvX//glcE//pgk//hyfA//gabT//lysP//focB//cysI//cheA//glpD//gatZ//araH//katE//arcA//tsgA//dadX//appB//dmsD//nikD//cspD//pitA//phnP//envY//murQ//gntX//narG//torA//oppD//fldA//ilvD//cynT//truB//narQ//fixC//entC//hpt//cysK//ndh//glgX//uxuB//uidC//hflX//gspO//fhlA//norV//lpxB//tnaA//phoE//rplC//
ChbR-Monoacetylchitobiose-6P_neg	moaB//rpsC//paaB//ybdZ//mntH//phnD//
ChbR-Monoacetylchitobiose-6P_pos	narQ//bglB//tdcG//rrlC//glcC//livK//
CpxR-Phosphorylated_neg	csgC//adiC//rplD//avtA//livH//dgcZ//cydD//fepA//pflB//nrdG//tauD//xapB//kbl//trpB//fnrS//hybF//nrdH//phnE_1//dcuA//xapA//fepG//betT//sucD//ydbD//
CpxR-Phosphorylated_pos	narH//katG//ileU//hcr//mscM//hybG//idnO//bioA//lsrD//fucU//trpC//napB//casA//codA//fepG//uxaA//ilvX//ebgC//rplP//lysP//hybG//znuC//narH//ompC//flhD//fdnI//araF//hdeB//caiB//fimH//focB//hofM//ldtC//torR//phoQ//frc//fadA//ulaB//tktB//nagE//glnB//pstS//qseB//metI//mhpA//
CreB-Phosphorylated_neg	rrsA//guaA//rstB//
CreB-Phosphorylated_pos	mntS//aceB//fepB//ykgO//hyfH//csiE//
CueR-Ag_neg	entE//puuE//modA//aceB//rbsK//
CueR-Ag_pos	fdhF//ilvM//
CueR-Cu+_neg	fau//cysD//napD//puuP//cyoB//
CueR-Cu+_pos	xylH//yrbL//
CuerR-Au_neg	focA//deoC//ycjX//rhaA//fimD//
CuerR-Au_pos	rrlC//bglG//
CusR-Pasp_pos	ascF//mgrR//hycH//rprA//yfiP//treC//entC//sufA//aaeA//malK//nagB//cysG//
CynR-Cyanate_neg	sufB//
CynR-Cyanate_pos	gntK//gspO//glgB//
CysB-N-acetyl-L-serine_neg	dsdC//fimC//cusF//dsdC//rdoA//sbcC//azuC//
CysB-N-acetyl-L-serine_pos	comR//aceE//astE//aroF//mhpA//rimM//icd//actP//gyrA//hemA//cpdB//feoB//ssuC//recF//exuT//ygiA//fis//uhpB//micF//kbaZ//ssuA//envZ//tauC//
CysB-O-acetyl-L-serine_neg	ompT//ilvH//ychO//nfuA//carA//yrbL//mhpD//
CysB-O-acetyl-L-serine_pos	caiD//hisM//cheY//hemL//glgX//fucI//nuoB//fdnG//argH//qseB//rrfH//ivbL//uxuB//micF//dpiA//cstA//phnD//folE//degP//hypD//hdeA//sbcD//livM//prpR//
DcuR-Phosphorylated_pos	rnlB//hfq//rrfH//chbC//lpxD//cdd//xseA//tauD//dnaA//
DnaA-ATP_neg	prpB//prmC//paaH//aroF//nrdB//rrlC//uxaB//nrdI//upp//purK//cydC//
DnaA-ATP_pos	uidA//feoA//ptsI//chbG//fadH//icd//dsdX//
DpiA-Pasp_neg	phoR//
DpiA-Pasp_pos	nmpC//rstA//mhpB//osmC//rimM//lpd//cusA//rrsA//araD//tomB//
DsdC-D-serine_neg	idnD//
DsdC-D-serine_pos	gltW//rrlB//
EvgA-Phosphorylated_pos	truB//yqjH//paaF//aroL//rrfC//ilvC//nrdA//gdhA//ulaF//cusC//iclR//gspC//tcyJ//mhpC//rbsA//
FNR-[4Fe-4S]2+ reduced_neg	rnhB//artP//fis//puuD//glcB//miaA//idnD//caiF//rpsO//fimE//mtr//hyfB//hflK//tnaB//pyrC//nac//purL//chbG//nanM//fadE//lsrF//ccmC//yhjC//gntX//trpD//dpiA//livG//pagP//nikR//nrdA//speA//nlpD//glnB//rpsC//lysC//lysA//hypF//fhuA//glpT//citG//ubiC//alkA//bcsZ//chbG//hcp//tyrB//purH//mhpB//argH//ssrS//spf//norW//ygeA//nanC//fadH//glpA//csiE//glgP//rplV//nagC//bioD//gntK//raiA//nrdA//citE//ycjF//tonB//glcG//araH//hycH//fecI//csgE//rplB//hybF//bamA//dgcZ//gltD//rseA//astE//yeiW//caiT//rnpB//hybE//hofN//glcG//dnaA//trpL//fadI//napA//tam//hofM//glgC//ydeO//cusA//cheB//chbF//hycG//yciW//phnN//appB//gcvT//gspF//fiu//alaT//cyoB//xdhB//hofN//argB//trpR//marB//ulaB//nuoI//livJ//argB//zraP//murP//amiB//cyoB//trpC//fepB//
FNR-[4Fe-4S]2+ reduced_pos	alkB//hdeD//narJ//cheA//ssrS//ydiU//phoH//dppB//dnaA//envY//manX//fnr//fhuF//rrlA//agp//cadA//narQ//araC//alaV//fumC//puuB//rpsC//casB//ynfH//nfuA//ybdN//tnaC//galE//thrV//ulaE//caiE//hisQ//phnC//spf//rimM//nuoN//cysM//caiT//glpD//fdnI//rrlD//skp//citE//mtlA//glrR//gltV//ugpE//acs//glcG//amtB//kbaZ//alaV//fixB//crl//cheY//pstC//hfq//adiC//bglF//ynfH//dapB//ompX//serA//paaD//feoA//abgB//fis//oppD//gabP//glcD//bcsB//nanE//pncB//cheY//cyoB//mglA//mepH//gltA//hofM//hypF//tehA//rplD//flhD//rplV//mgtL//melR//rbsB//upp//nikA//znuB//cadA//gatD//argF//bhsA//phnN//artI//glcF//safA//sdhD//modA//nadC//crp//nanC//rrlC//uxaB//gspI//ansB//frdC//alkB//nrfA//bioA//murQ//citD//cheZ//alaU//purH//rutB//pheS//nrdG//ompX//araG//dadX//uidC//rutB//rhaD//cysW//yfbR//chbG//nrdH//araF//osmC//glpD//gntR//ilvD//fepB//fes//hha//atoE//hisM//pgaB//ileU//fucA//tar//malZ//dapB//paaJ//rybB//lsrA//nagA//qseB//torR//aroM//artP//cyoA//dps//gltT//cirA//cvpA//hybC//aroL//asr//carB//codA//katE//napG//hofN//nikA//hyaD//glcG//ynfG//fecA//lsrA//rybB//exbD//rof//znuC//iclR//fau//nagE//torC//marR//psiE//rutD//modB//nuoF//phnI//hycI//yqjA//rhaS//soxR//trg//ppiA//waaH//ugpC//ydhU//hyfF//ascF//nagA//entC//gspF//phoU//sodA//
FhlA-Formate_pos	modC//yggX//aceE//fldA//nuoA//lsrK//ilvM//yaiA//prpB//fadA//rhaA//metB//gntU//livJ//osmC//fimI//norV//metY//acrD//fhuF//glcF//gltT//acrB//puuD//argC//hdeA//phnD//caiC//feaB//narX//
FucR-L-fuculose-1-phosphate_pos	ubiC//bamE//rpoS//gatY//rutF//aroH//gntX//
Fur-Fe2+_neg	fumB//skp//rbsB//narG//yfiP//rutG//torA//araJ//lysC//purM//hlyE//gutM//nuoA//fhlA//araH//pstA//garR//feoA//narG//sdhA//fadB//prfA//ydeM//hybD//mipA//csgA//gltB//rhaD//cynT//rrsC//ccmD//hypB//map//trpR//ybdZ//argP//cpxA//rrlG//tap//osmC//ompC//manX//ilvI//uxuA//alaT//cynX//citG//ssuC//cadA//trpR//ybfN//metJ//ompC//oxc//ahpC//epd//ygiC//efeU_2//frdA//yfiP//oxc//trmD//tomB//marA//emrY//exbD//oppD//gatY//nuoK//fecC//cpdB//slt//ftnA//puuE//gcvH//dmsC//lsrB//lsrD//psd//fadI//trpD//nrdE//gatY//oppD//hycG//aspC//rmf//pheS//trpR//hycA//ydeN//moaA//puuC//sbcD//yhcH//hofC//ubiA//nuoH//zwf//malE//casC//hflX//pstC//ygeH//ycjX//lysO//hypD//proP//prpD//glcF//treC//ahpF//glnA//fumC//cyoC//sdhB//trg//ycjX//ccmC//cusA//metA//evgA//hyfR//fecE//
Fur-Fe2+_pos	creA//fhuA//ynfE//fucI//xylR//garL//cyaA//yjcH//hyfD//grpE//gyrA//aroH//malT//rbsK//fadB//fadB//ihfA//pepT//prpD//ydeJ//fabZ//dadX//entE//hpt//phnN//
Fur-Mn2+_neg	raiA//hyaD//cspE//ftnB//skp//ppiA//casC//hypE//dcuD//tonB//fimA//gntU//yggX//atoA//cheY//trpD//sucA//gutM//narK//hcr//envY//gspC//allD//rutB//csiD//malK//frc//ubiG//artQ//aaeX//rof//cusS//dcuD//nrfC//oppF//phnE_2//phnK//yqjI//uraA//gatA//metN//rplD//lsrC//ycjF//nanS//fucA//yaiA//hlyE//ygaC//prpB//lysA//phnF//rpsS//mntS//paaH//betB//glnA//galE//nikE//ydeA//oppB//mscM//carB//puuA//ulaB//nupC//cynX//ppiA//evgA//artP//mglB//livH//ompA//fepD//paaC//fixB//frdD//guaA//tktB//mlc//lysP//caiB//glcE//nrdA//acrD//torD//fecB//sdhB//ilvE//fdnI//nohA//srlA//bcsA//cynX//phoA//ulaB//gcvH//fimC//thrV//pyrC//phnP//torA//astE//spf//lpxA//ppdD//glcD//garL//ppiD//tdcB//mgrB//hisQ//lysC//rrsD//agaA//paaI//yciW//glpE//serC//envY//hmp//acrB//gpsA//moaA//
Fur-Mn2+_pos	lsrA//chbG//crp//gnd//aroP//mdh//xylA//fdhF//rrfF//yeiW//gutQ//grpE//gcvT//hybB//glpK//tdh//fimI//yjeV//uhpC//ccmA//ydhU//hybD//acrF//phnO//dsdC//
GlcC-Acetate_neg	prfA//
GlcC-Acetate_pos	arfB//secB//phoH//ydeO//iraD//prpB//
GlcC-Glycolate_neg	rrlE//
GlcC-Glycolate_pos	rpmI//metF//hofM//rbsD//aroA//yaiW//
GlrR-Pasp56_pos	hdeA//
IclR-pyruvate_neg	fau//rcnA//chbC//leuE//
IdnR-5-ketogluconate_neg	xseA//eda//hflD//
IdnR-5-ketogluconate_pos	hflK//garR//dcuR//fecA//araG//
IdnR-Idonate_neg	serC//allE//moaB//
IdnR-Idonate_pos	ptsG//hycI//lacA//dsbA//nuoE//
IlvY-2-acetolactate_neg	codA//
IlvY-2-acetolactate_pos	phnN//
IlvY-Alfa-acetohydroxybutirate_neg	bglB//
IlvY-Alfa-acetohydroxybutirate_pos	csgB//
IscR-[2Fe-2S]1+_neg	nuoC//hcr//aroM//tfaQ//agaA//yoaC//hybC//secB//hycE//tnaC//fecD//purL//yecR//eda//cysI//ydeM//entS//cynR//fur//cysK//torA//dppA//pgaA//hypF//araG//hflC//yjjZ//crr//nmpC//mglA//
IscR-[2Fe-2S]1+_pos	ahpC//gspH//borD//icd//chiP//bamE//gntR//betI//alaS//gadC//azuC//
LldR-L-lactate_neg	gspM//glcA//micF//
LldR-L-lactate_pos	sdhC//rrsC//ygbA//
Lrp-Leucine_neg	tdcE//rybB//ilvN//cspE//chbG//emrK//ilvA//idnT//tsr//nikA//actP//yhiD//cdd//arcZ//rbsA//ssuC//cheB//allD//pyrD//aidB//dadA//recF//gspK//pitA//hemL//leuE//soxS//pflB//zntA//casA//rplC//tadA//hyfI//malF//gltU//aceF//livF//modC//rrsH//torA//tnaC//nrdE//ssb//dgcZ//gpmA//tsx//fimI//gabD//phnL//mutY//aidB//araJ//tktB//yoaG//fumB//malX//nrfC//hyaA//rhaT//rhaA//hyfG//glgB//nuoG//chbG//pnp//bcsC//metN//hybG//hybD//garR//glpX//lsrC//rrlD//acrB//fadH//
Lrp-Leucine_pos	sohB//amtB//glpA//idnO//fau//moaB//ahpF//fadD//puuD//idnO//prpC//exbB//cadB//rpsO//ynfH//atoA//ynfG//paaB//yqjI//napG//phnK//mtlA//ompW//gatB//fliA//atoE//narL//nuoA//acrF//arcZ//sucB//feoA//ydfH//uxuR//hycA//
LsrR_neg	glcF//argG//rutB//sbcC//ydeJ//cysB//acrD//ygbA//phnL//
MalT-ADP-Maltotriose_pos	metB//ynfK//rplI//marB//ygiA//glpX//nuoA//cyoA//rplB//yccA//
MalT-Maltotriose-ATP_pos	ynfH//gadC//araB//ilvH//tyrP//dsdA//fimE//phoH//casD//codA//
MelR-Melibiose_neg	rpoH//upp//dapD//
MelR-Melibiose_pos	purC//zraP//gntR//
MetJ-S-adenosylmethionine_neg	katG//tdcE//entA//yoaC//rhaS//fixA//glpX//hyfA//garK//hyaE//chbF//gutQ//appA//yiaJ//ilvH//
MetR-L-homocysteine_neg	casD//fixC//
MetR-L-homocysteine_pos	hupB//manA//ychO//deoC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	glpR//purE//dadX//chbR//hybE//ytfE//
MhpR-3HPP_pos	fumA//nanT//livF//fecR//gatC//yfdV//
MntR-Cd2+_neg	speC//feoB//malY//yfdE//
MntR-Cd2+_pos	fadH//
ModE-MoO42-_neg	trg//ssb//nrfA//gabP//sodB//rnlB//gatB//phoU//glcA//fumB//cusF//sdhA//efeU_2//fucO//nfuA//
ModE-MoO42-_pos	phoP//spf//hisP//rrsB//citF//motB//xdhA//casB//hybA//pta//lsrA//aaeB//yqjA//acnA//argG//fnr//fdnI//glgS//azuC//mepH//mntH//alaU//sbcD//feoC//frdD//nohA//nanK//trpL//sbcC//yaeP//araA//
NarL-Phosphorylated_neg	yhhY//ybdZ//artP//cpxA//hycG//glmY//ytfE//bamE//trpC//phnH//fumB//rutF//dcuA//dapB//xylA//murP//narG//hupA//speC//aceE//lldP//infB//metY//malI//paaE//pnp//gltU//priB//nadC//rplB//cheW//fis//hyfR//mzrA//rrlC//cynT//fis//priB//glcG//yfdE//glnG//mpl//glcG//serC//mhpD//chiP//entD//metR//hycI//sucA//speB//fiu//cytR//fumC//mgtL//murP//fepG//appC//ilvG_1//bamA//fucA//gpsA//manZ//hemL//emrY//argI//edd//napB//allE//pgaA//ynfF//astD//ytfE//bacA//glpR//artJ//ydhV//yfdX//gntX//aaeB//trpD//pgaB//cas1//csgC//hflD//rrfC//
NarL-Phosphorylated_pos	erpA//rhaS//melA//fdhF//rplW//rbsD//iscU//ptsH//pgpC//lsrC//prpR//folA//cysP//hyfB//tdcB//fhuF//comR//paaD//ilvG_2//galM//metI//ogt//cysC//icd//guaB//mdh//znuB//ychH//deoB//dppA//paaB//cspE//xdhA//malT//yojI//xdhB//preA//idnR//cysC//tdcE//nuoI//fecR//rhaB//hybG//iscS//betT//
NarP-Phosphorylated_neg	mntP//gdhA//iscR//feaR//rplI//tnaB//ompA//evgA//nrdG//glgX//hydN//ydeN//xylG//lysO//aceE//argI//chbB//csgD//mdtC//ubiA//aceF//puuB//yfiP//yhjC//mhpA//caiT//yaiA//ydhV//rseC//speA//rutC//gapA//araG//
NarP-Phosphorylated_pos	ogt//rplT//galE//gntK//rbsK//prpB//norR//rseC//pheM//nikA//adiC//raiA//nuoM//nuoN//fhuD//proP//fepA//epd//yoaG//abgA//araE//uxuB//waaH//sucD//rrfB//cdd//betA//iraD//murQ//gadC//fucP//mtr//
NhaR-Na+_pos	cadB//hfq//ycjX//napG//rrsE//
NikR-Cd2+_neg	nrdE//comR//hdeD//cusR//marB//gutQ//
NikR-Co2+_neg	araD//caiB//cheZ//mgrR//leuE//narJ//
NikR-Cu2+_neg	cysB//nlpE//rrlG//fucP//spf//ilvD//
NikR-Ni2+_neg	cysP//rmf//phnK//nuoC//cysI//cspE//
NikR-Zn2+_neg	cueO//nrdG//cysW//dppD//aldA//livJ//
NrdR-ATP_neg	lsrD//nagA//cirA//lpxA//umpH//chbB//dps//dadX//lpxB//
NrdR-Zn2+_neg	rutA//hyfJ//sdhD//rrfE//cstA//malS//gspJ//mhpB//caiB//
NrdR-dATP_neg	sucC//fucR//trg//fecA//nfuA//malE//dsdX//fnrS//phoE//
NsrR-[2Fe-2S]reduced_neg	mlc//talA//rhaB//tolC//hybD//evgS//astA//malK//fepE//narJ//aaeX//xylB//bhsA//ybdN//malM//spy//betB//sbcD//murQ//yaiA//dcuR//rrlB//hycF//mpl//chbG//paaB//raiA//gspO//glgB//arcA//gspO//eda//betI//puuE//acs//yjeF//lsrA//cas2//hemA//pgk//dmsA//katE//srlA//tauB//hdeB//ygaC//gltT//glcC//tyrR//yhfA//cheA//zinT//tadA//pgpC//galK//katE//bcsA//hdeB//yqjI//fes//speC//ilvL//tyrB//motB//treC//cysA//cra//artQ//sdhA//fnr//yqjH//gatC//fadJ//
PhoB-Phosphorylated_neg	yeaE//lsrF//metJ//glcC//narX//fucO//hyfA//paaD//narI//hyaB//tyrP//codB//ompR//
PhoB-Phosphorylated_pos	cpxA//fdnI//rplD//tktB//hofN//fumA//lpxB//motA//pheT//nrfG//hdeA//araH//uxuR//ccmF//uxaA//upp//betT//tdcC//uxuB//cdd//codA//cysM//rpsF//metA//mdtB//ycdZ//tolC//nuoK//lsrF//soxS//araH//hemL//ydbD//hybB//nrfD//gnd//cpxA//nohA//nrfC//metJ//glgB//hyfE//puuR//aspC//sdhD//motA//manY//cadC//hyaC//artP//ychO//betB//rrlH//
PhoP-Phosphorylated_neg	hypD//ileU//cstA//ompA//mhpR//amn//hflD//rpsP//murQ//metA//glnA//
PhoP-Phosphorylated_pos	argB//ilvA//cynS//hdeA//caiB//rrsH//fumB//efeU_1//uidC//ydiU//nirC//galP//rrfA//yebE//entC//manA//fecB//lsrF//rrfD//ispE//phnG//citE//iclR//nanE//chbB//dpiA//rpsJ//nrdA//gcvH//nagC//norW//trg//cynX//fadE//osmY//dppA//phnC//tehB//tsgA//ulaA//preA//cyoE//metJ//feoC//argI//rplI//rrlD//chbA//cspD//
PrpR-2-methylcitrate_neg	priB//
PrpR-2-methylcitrate_pos	tdcF//ybjG//lpxD//phnL//
PurR-Guanine_neg	manZ//rrfB//ascF//rplP//cydA//betA//gutQ//cadB//safA//tolC//araC//ccmA//rdoA//fumC//fhuA//mhpT//gspI//ugpA//tam//baeR//argG//znuA//narL//ysgA//bhsA//hdeB//malX//flhC//focB//astC//casE//fepB//cysD//casD//
PurR-Hypoxanthine_neg	chbC//fucR//narX//rrsG//artM//nikD//rutB//allC//codA//napG//ldtB//cyoE//xseA//acnB//mdh//citC//cyoB//rimP//sodA//yhfA//trpL//narX//ftnA//citX//narQ//exbD//glgX//cspD//psiE//gabD//evgA//tdcF//acrF//fis//
QseB-Phosphorylated_pos	yhhY//lsrK//ydbD//fecC//
RhaR-L-rhamnose_pos	tdcG//yeiW//
RhaS-L-rhamnose_pos	puuC//cyoB//cydA//
RstA-Phosphorylated_neg	katG//dapB//phoE//carB//puuA//
RstA-Phosphorylated_pos	rstA//mntP//lacA//sdhB//fes//
SoxR-[2Fe-2S]3+ oxydized_neg	tnaC//
SoxR-[2Fe-2S]3+ oxydized_pos	purC//alkB//iscA//
TorR-Phosphorylated_neg	rrsE//
TorR-Phosphorylated_pos	psd//prpE//srlE//nrfE//dnaA//fadI//yojI//mdtA//infB//
TrpR-Tryptophan_neg	entA//fimI//nrfA//ulaC//grxC//argG//metK//phoU//glcF//uxaB//glcA//fucO//
TyrR-L-tryptophan_neg	comR//srlR//ssb//codB//hflC//rybA//nuoH//iraM//grcA//tdh//ygiA//purB//
TyrR-L-tryptophan_pos	glpB//paaA//lysU//
TyrR-Phenylalanine_neg	araA//metC//citE//pitA//micF//hupA//qseC//xylG//cysW//motB//hcp//ychO//
TyrR-Phenylalanine_pos	paaH//gltA//serA//
TyrR-Tyrosine_neg	cysI//paaE//azuC//nirC//glnB//malQ//ilvD//pheM//cynX//ycdZ//nagA//hycG//
TyrR-Tyrosine_pos	aroM//xapB//nuoK//
UhpA-Phosphorylated_pos	rstA//
XapR-xanthosine_pos	safA//tsgA//
XylR-Xylose_pos	gspJ//pheM//paaG//azuC//yegH//cheB//
ZntR-Cd2+_pos	ydiU//
ZntR-Hg_pos	nanM//
ZntR-Zn2+_pos	astE//
ZraR-Phosphorylated_pos	yegR//hyfD//ybdN//
Zur-Zn2+_neg	mhpC//glpB//tyrB//uhpB//yojI//nuoE//
