#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ansB//feaB//
CRP-cAMP_pos	alaA//lhgO//mhpR//ndh//focA//puuR//nadC//xylH//hyaF//cysJ//atoD//ppdD//rutB//ydhX//yaiW//fecD//tam//slt//nanS//rrfE//nrdF//cspD//mscM//rutF//yebE//alaA//phoP//cynT//rplP//purH//rplV//prpE//hypF//phnL//manX//ssuD//tyrB//fecE//puuB//livG//argP//allE//tdcC//livF//hflC//ada//gntR//cheY//emrY//ynfE//fadA//nuoB//ilvH//aldA//csiE//ampD//dppF//sdaA//copA//sufE//tcyJ//rplW//ychO//hyfE//exbB//srlB//moaD//rutE//hyfH//paaI//malY//dcuC//ubiG//xylR//ilvN//ihfA//cusR//gspI//mtlR//cysC//ygiA//sdhB//gntP//frdC//gatZ//hofM//garK//sufA//hisJ//pgpC//rpsS//leuE//ydfN//crr//hyfF//paaI//rrfA//rrsC//malF//fhuC//nrdB//tyrB//hupB//udp//paaB//gadB//rplI//dgcZ//dcuD//ppiA//ubiA//fepB//mhpD//pheM//xapA//cyoA//dusB//dppA//ldtC//lhgO//lpxA//gatC//rrsB//rybA//creB//uvrA//rhaS//yciW//yjjZ//ydfH//tam//tcyJ//prpC//gntK//oppF//purM//bglB//xylR//xylA//rrfE//mgrR//nrdI//cydD//mdtC//fimC//aaeR//malE//araC//pnp//tauC//alaU//tdcG//fadJ//hycC//dmsA//uhpT//znuB//ascF//argP//nikB//hyaD//hyfI//hmp//purN//glnD//atoB//aroM//tauD//yccA//chbA//feoA//flhC//hupB//pgaC//yeiL//purH//gabP//uhpA//truB//gltW//phnO//idnT//cydD//exuT//casB//dadX//araC//puuB//talA//astB//cysD//cheB//idnT//ryhB//psiF//torD//gatD//ivbL//gspC//pstB//fumC//hyfR//caiC//gcd//nrdA//ccmD//ompF//araC//nrfF//dmsC//acs//cas2//modB//entC//idnR//narK//nikC//tnaA//ccmG//fur//uhpT//rrsA//moaC//nac//cusA//astD//caiD//napF//casE//rutE//csgE//qseB//alkB//tyrA//malX//iscS//pgaB//gyrA//uxaC//rplS//talA//fur//fau//nikE//aroH//mglA//metE//rpoS//katE//bioD//uof//dadA//mtlD//ychO//yeiB//narJ//uof//phnM//preA//gadB//bamE//ftnA//treB//paaD//bacA//arfB//cvpA//nanS//feoA//moaA//cadC//ompT//xylH//arfB//ugpE//betB//rrsA//nanS//fbaA//cusS//hisJ//moaD//rplB//efeU_1//rpsR//hypE//ugpC//ivbL//uvrA//hisJ//ygbA//oxyR//xdhC//lsrF//glcG//rpsP//grxD//atoA//entC//glpC//lacA//pgaD//prpR//zwf//trxA//gspG//pgaC//gspE//napC//hyaA//nikE//livH//malS//gspK//cydD//hyfC//mntS//nuoG//puuE//pstA//ftnA//ydhT//fimD//ubiG//glnB//yfdV//torD//glcB//gltW//asr//metL//glpB//rpoH//patZ//infB//rrfG//livJ//ydfH//nuoB//ydfH//yccA//pyrC//feoB//rhaR//nuoM//yaeP//fdnH//sxy//ygeH//caiB//gspM//mutL//sucD//ilvB//znuA//sxy//glnK//hyaA//gspI//aaeX//cirA//cpxA//nrfE//purC//araH//arcZ//hycI//hycI//artP//entS//dpiB//mdh//fimG//melA//ppiD//ssuD//qseC//gspG//uhpT//lsrF//rstA//gntT//nrfF//glgS//ugpE//cysI//alaU//recF//hofO//ilvG_2//allC//pyrC//creB//gnd//malT//pstS//fadB//lacI//ydeA//safA//ydeN//hcr//carA//mglA//csgA//acrA//kbl//cyoE//ulaB//tauD//fecD//ccmC//hcp//malK//ilvC//tsx//allE//pstC//yfdE//cheY//purH//puuE//yhhY//trxA//trxA//rrlE//psiE//arcZ//ada//
ChbR-Monoacetylchitobiose-6P_neg	astD//moaC//fimA//ftnA//rrfC//chbG//
ChbR-Monoacetylchitobiose-6P_pos	fepB//glrR//icd//hisJ//rrfH//ilvC//
CpxR-Phosphorylated_neg	fhlA//tdcB//patZ//hslJ//cvpA//degP//aroP//cysN//nikE//rplP//gabD//gltT//puuP//atoD//hyaC//gdhA//oxc//slt//agaA//hyaE//ssuC//zraR//tyrR//fadA//
CpxR-Phosphorylated_pos	glcD//fdnG//focB//phnM//rpsF//mglA//acrF//csgA//cheA//pnp//lsrK//tdh//nanS//feoB//manY//polA//secB//rpsO//yqjA//sufE//nanC//sohB//nrdI//hdeA//rrfH//xylR//glpT//rutG//yoaC//efeU_2//pitA//ubiG//malK//rrlH//bioB//astC//appC//ompT//malE//araA//agaW//ung//metL//map//livK//
CreB-Phosphorylated_neg	hupA//dcuB//nrfE//
CreB-Phosphorylated_pos	ygaC//fadH//ackA//hcr//ilvH//tdcC//
CueR-Ag_neg	preA//katG//rrlD//adiC//ugpA//
CueR-Ag_pos	phoH//actP//
CueR-Cu+_neg	fumA//uidC//lysO//serA//acrF//
CueR-Cu+_pos	rpsI//ilvE//
CuerR-Au_neg	malE//crp//ompC//tdcE//puuE//
CuerR-Au_pos	efeU_1//purA//
CusR-Pasp_pos	ilvN//xapA//galE//nikR//ada//pstS//tktB//aceK//xdhB//cas1//cheA//norR//
CynR-Cyanate_neg	mutL//
CynR-Cyanate_pos	ppiD//gnd//motB//
CysB-N-acetyl-L-serine_neg	manA//cas2//lacY//cyaA//fumC//rpsQ//ilvI//
CysB-N-acetyl-L-serine_pos	yjiY//cynT//appB//sdaA//azuC//nrfB//mtlD//argG//rseC//fucK//rutC//yegR//rplW//fepG//aroM//lldP//fucO//gpmA//ptsH//livH//xylA//rybA//dadX//
CysB-O-acetyl-L-serine_neg	ygiC//xapB//ileV//nrdG//uidB//gntX//hofO//
CysB-O-acetyl-L-serine_pos	hflK//ogt//hupA//rutE//fadJ//infB//gspC//glpR//fepB//hypA//phnM//glpR//guaB//ydeA//lacY//malQ//bcsZ//ompF//casC//ompW//glcG//phoR//pgaA//nuoM//
DcuR-Phosphorylated_pos	azuC//ygbA//yjcH//aaeB//betA//raiA//mhpD//narH//fixX//
DnaA-ATP_neg	astC//hybG//srlA//dppF//rstB//ygiB//sdhA//gatC//hyaF//phnO//araE//
DnaA-ATP_pos	ynfH//araD//oxyR//uidC//grxC//hyaB//bioD//
DpiA-Pasp_neg	gltD//
DpiA-Pasp_pos	allE//bioD//phoR//nagE//ispE//ccmC//uhpA//ycdZ//osmY//uxuR//
DsdC-D-serine_neg	tsaE//
DsdC-D-serine_pos	pck//feoC//
EvgA-Phosphorylated_pos	fau//rplI//rplM//paaH//fldA//lysO//malG//fumC//rutF//fucP//rbsD//ilvA//dsdA//xylF//cas2//
FNR-[4Fe-4S]2+ reduced_neg	truB//rrlH//treR//ubiC//envZ//ydbD//mepH//malG//map//lldD//bioF//hemA//gatB//gadC//comR//nuoA//astE//idnT//hypE//csgF//lldR//mzrA//appA//gspG//gcvT//marB//xylB//rrfD//carA//metB//motA//adhE//nuoG//fucA//purD//napG//glmY//glcG//tolC//cas1//purM//rhaS//feaB//garL//nrfG//dctA//pgaB//prpE//rplS//comR//fimA//nrdB//cspD//rof//cspD//fnrS//zwf//glrR//fucI//ygiC//secB//cadA//rpoS//lysU//putP//gatA//cysB//astA//bdcA//dmsA//cusS//appB//betT//ackA//tdcB//ccmF//hflC//yibN//yeaD//puuD//murQ//prpB//hycH//dkgB//lsrA//agp//betA//rseC//sohB//ung//aldA//casC//phoA//hisP//fepD//fucA//cynT//ychH//fadI//puuD//dapB//cusF//appB//ydeA//yegH//dppC//paaF//mhpC//yjeV//csgB//gpmA//ulaC//rpmC//yoaC//yeiB//cysB//hdeA//argG//infB//yrbL//
FNR-[4Fe-4S]2+ reduced_pos	ydiU//glnA//hisM//tdcE//deoB//tdcD//uxaA//cra//bioA//manX//flhC//malI//ssuB//fadA//lysU//cheA//lysU//ydbD//casE//malK//rrfA//pepT//hyaF//rrfB//artJ//motB//ppiA//lacZ//fumB//ilvX//alaT//xylB//tyrA//grcA//allC//appB//grxD//cysK//nrdG//metL//speC//fucO//ybfN//ispE//ebgC//csiE//glnA//gdhA//nuoI//chbB//acs//livG//nirC//cheY//ydhT//cas1//lldD//rrlH//nikC//rrsB//folA//ebgC//hpt//glpC//cynR//gnd//srlE//tyrP//ydeM//cyaR//sohB//nuoL//paaG//paaK//appA//csgG//yqaE//lacA//phnE_2//hyaF//dapB//dsdX//ilvM//dppA//narK//araD//metA//cynR//uhpB//creD//rbsK//hybG//lsrA//uxaC//idnT//nuoH//yeiB//ycjX//hmp//ygeA//livJ//entD//cusC//sufS//slt//hyfI//lysU//hflC//cysB//betB//rrlB//ynfG//caiA//nagC//phnG//oppF//tyrR//nanC//rybA//purN//nrfA//lsrB//ilvC//metL//allC//appC//hyfI//ydhV//fliZ//mcaS//crp//entF//modB//fecC//fdhF//rrfC//nuoI//chbR//betT//icd//sodB//hyfA//bcsC//hisJ//fucK//ccmH//mhpC//dnaA//hpt//rcnA//hypB//speA//gntP//speA//csgC//nagE//atoB//hemL//fucU//gltT//cynR//phoQ//fepD//gcd//rrlD//kbaZ//ssuA//acs//dcuC//mdtA//mdtB//glpQ//mtlA//nlpE//purN//gntK//hypB//rrsC//csgF//paaB//bamE//ileV//argD//paaG//aroH//astA//glnG//cysH//pepT//nohA//cspE//rplV//tam//caiB//ompC//hyaC//argR//glnA//ydeO//fhuC//oppA//ascB//
FhlA-Formate_pos	modB//trpD//pyrC//cyoA//dgcZ//prpD//rutB//metB//srlD//lolB//purN//thrS//sufD//zraP//csgG//pitA//ilvX//dps//nanE//rplT//gatD//glcC//tap//mhpT//infC//fdhF//cheY//araJ//caiB//infB//
FucR-L-fuculose-1-phosphate_pos	glyA//entD//argH//ilvH//gltD//mdtC//tauA//
Fur-Fe2+_neg	dsdC//glpB//alaA//xylF//dnaN//lrp//rrsH//fecB//gabT//acrB//hyfF//yhjA//uidA//ydeM//ndh//nuoI//iraD//fimA//bcsA//hyaE//uxuB//sdaA//tyrB//cas2//livJ//crr//metY//nrfD//adhE//aroH//rpsI//yegH//mtr//aceB//citG//gspO//manZ//cusC//paaH//tyrB//purF//fadD//hemA//pstB//sroD//uidB//zraR//metQ//ssuE//mglB//spy//mgrB//hyfH//hdeD//sdaA//ykgM//rplS//lolB//moaD//glpD//appA//fimD//rbsC//rstA//sdhD//uidA//ccmH//ppiA//ivbL//narI//crp//agaW//zwf//araH//fau//acrE//tsaE//mscM//arfB//deoC//hypB//yjjZ//prmC//rpsS//ydfN//purE//caiE//yhhY//ppdD//lysO//glcE//gntK//paaE//aceF//glcE//ulaB//ileU//moeB//fur//glpG//aer//fiu//mgrB//hofN//yjeF//casB//fldA//glnG//phnN//gspK//hyfE//glnD//osmY//glgX//phnL//ccmA//fimD//ydhU//nrfC//cynR//cstA//ssuD//purA//borD//
Fur-Fe2+_pos	yggX//lysP//hemA//hybD//glgS//narH//paaF//rrlG//hypD//cheA//murP//ccmA//fecA//hyfH//fecE//yfaE//araD//rrsA//ilvD//rrfD//ebgA//sufE//ybiT//ydeA//nirB//
Fur-Mn2+_neg	yegZ//nuoJ//ulaC//rpsO//thrS//fepG//cspE//rutD//ascB//lpd//cheZ//oxc//sufC//dppA//ccmC//hofM//rhaD//hofM//ileT//ompW//gpmA//fiu//sbcD//nikE//flhD//dusB//araE//narL//cdd//speA//ilvB//uof//dadA//rbsD//tdcG//dsdA//xylB//lsrD//araF//abgT//metL//sufE//nrdD//folA//ftnB//gcvH//dppA//glnL//fimH//gltT//nuoG//tnaA//cpdB//rrfD//ampD//phnC//manY//astE//dmsA//napG//glpQ//ebgC//gatD//glgB//ydhW//yfdV//lsrR//astD//bamA//sohB//sbcC//nanT//chbB//astC//glcE//tam//bdcA//ssuC//paaH//hyfC//purM//aroF//tyrP//rrlH//marA//fecB//aroP//secB//ompT//galS//yfdE//ebgA//tsgA//argG//gapA//fepE//prmC//nirC//feoB//gatY//argA//grcA//mipA//napC//metB//nuoI//ykgO//metK//tadA//hycB//ybiT//tdcG//pstB//atoB//agaV//aspA//ychO//ysgA//fumB//phoA//galP//fbaA//yeaD//glnB//
Fur-Mn2+_pos	ubiX//rpsF//arcZ//trxA//qseC//rrsD//livK//cyoC//gntX//trpB//mgrB//galT//baeS//ssuB//allD//nmpC//tar//prmC//tfaQ//talA//hflC//rpmI//glpK//yibN//metR//
GlcC-Acetate_neg	aceF//
GlcC-Acetate_pos	uxaB//psiE//avtA//glpD//tadA//rplP//
GlcC-Glycolate_neg	ydeP//
GlcC-Glycolate_pos	cueO//rutD//dcuC//malF//ygaC//hdeB//
GlrR-Pasp56_pos	hyfD//
IclR-pyruvate_neg	nuoG//narJ//soxR//argC//
IdnR-5-ketogluconate_neg	arfB//pdeF//cysJ//
IdnR-5-ketogluconate_pos	rrlA//upp//asr//fadB//cpxR//
IdnR-Idonate_neg	dppF//hofM//nanK//
IdnR-Idonate_pos	ygeH//acrB//argD//yfdV//hyaF//
IlvY-2-acetolactate_neg	hycG//
IlvY-2-acetolactate_pos	trpR//
IlvY-Alfa-acetohydroxybutirate_neg	hflX//
IlvY-Alfa-acetohydroxybutirate_pos	norW//
IscR-[2Fe-2S]1+_neg	rutA//hycB//ilvC//aroG//patZ//manA//hslJ//safA//ssuB//rpoE//yhhY//hcr//torD//araD//nagB//astD//gutM//motB//astE//nupG//yoaG//srlB//sdhD//lysO//phoB//ygeH//fadA//glnK//cirA//sbcC//
IscR-[2Fe-2S]1+_pos	glnG//xdhC//napH//entC//deoC//leuE//serC//bcsC//gyrA//glpQ//yojI//
LldR-L-lactate_neg	fau//rutC//sdhB//
LldR-L-lactate_pos	metC//trmD//prpC//
Lrp-Leucine_neg	malQ//dppB//sucA//fur//csgC//lsrD//trpD//osmC//priB//trg//lldD//aroF//cysB//phnE_1//hyfF//prpC//ccmH//rmf//galT//livF//grxD//glnL//creA//idnK//pdhR//tsgA//trg//paaG//sufB//yegZ//phoP//malX//entD//hupA//mdtB//dgcZ//rutB//mntS//bglF//gntX//mtlR//sroD//yqjH//hyaE//purF//gspM//ssuA//hofM//phnL//skp//acs//mutY//fhlA//cas2//allC//cusA//mdtB//ynfH//ynfF//ilvG_2//amn//rbsK//ppiA//allC//fucR//ulaC//fimF//mzrA//appC//narI//manY//fecC//rbsK//ompC//phnH//
Lrp-Leucine_pos	hyfG//glgP//purB//dnaA//speA//aroG//sucD//xdhC//yebE//hofO//dapD//xapB//caiE//chbB//nohA//tauB//fdnH//glnD//dusB//metB//priB//hdeB//prpB//ilvN//livH//melR//hofM//fepG//gspF//rrfA//fhuD//paaZ//sucD//aidB//gspC//
LsrR_neg	abgA//ugpC//tfaQ//frdA//torA//rnlB//srlB//fimC//sroD//
MalT-ADP-Maltotriose_pos	trpB//hofM//csiD//yeaR//metQ//araC//yjjZ//citX//malY//ogt//
MalT-Maltotriose-ATP_pos	malI//cpdB//folA//xylA//crr//phnH//metA//dcuR//arcA//torC//
MelR-Melibiose_neg	tyrR//rhaS//rhaT//
MelR-Melibiose_pos	srlD//rybB//fdnH//
MetJ-S-adenosylmethionine_neg	yjeF//metE//feaR//chbB//nirC//yqjI//hofM//trmD//cadB//hlyE//glrR//mutL//aldA//fucO//lolB//
MetR-L-homocysteine_neg	hypD//nrdG//
MetR-L-homocysteine_pos	malG//nanE//paaJ//glpX//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	malZ//uidA//ahpF//paaH//hycH//proP//
MhpR-3HPP_pos	malK//casA//spf//lsrR//fdnG//rpoS//
MntR-Cd2+_neg	ygiC//purE//rstA//citE//
MntR-Cd2+_pos	csgG//
ModE-MoO42-_neg	tsaE//rhaB//argO//glpA//rhaS//sroD//idnT//nrfG//tdcC//mgrR//ftnB//cusB//caiE//chiP//osmC//
ModE-MoO42-_pos	ompC//aroH//galE//trpC//manA//prpD//oppA//garL//fucO//ssuA//dusB//artM//prpD//hyfD//garL//puuA//yibN//csgA//bcsB//cusC//sohB//nrfF//amtB//codA//rrlC//garR//murP//ychH//lysA//nanK//malI//
NarL-Phosphorylated_neg	moaA//nusA//rhaT//paaC//prfA//cydC//mgrR//cheW//gspJ//rbsR//avtA//artM//fepB//fecI//norV//lsrA//sdhB//hcp//ilvG_2//fixX//iscA//cvpA//rpsI//efeU_2//hypD//pnp//uvrA//marR//lsrD//uhpA//artP//mdtB//ppdD//fiu//cydC//fau//cheB//adiC//ptsI//hyfH//glpE//agaA//mdtC//mlc//argP//lsrA//glgP//gspD//rplT//tsaE//fepG//tyrA//dcuA//sucB//leuE//rpoH//aaeB//hisP//gspI//bacA//ilvA//ybdN//sufS//bglF//ompA//hycF//agaV//tyrB//gntU//phnH//lpxD//sufC//cvpA//rutE//ascB//allE//aaeB//crl//cpdB//cheY//idnD//bioC//sucA//acrB//fadI//rrlB//
NarL-Phosphorylated_pos	mdtC//chbA//sucB//cynS//fadE//glpK//glmY//ascB//yeaE//dcuD//mgrB//phoB//ygiA//mgtA//tnaB//narJ//entH//hemA//gatA//napD//gatD//spf//hyfA//mtr//dapB//nuoG//cynR//edd//purC//mhpF//sbcD//hyfF//trpL//dppD//phoU//ccmG//nirC//ilvA//atoD//slt//hybC//yfbR//aer//ccmH//xapA//pstC//
NarP-Phosphorylated_neg	lsrF//glpK//livH//hisM//lamB//cdd//ygiC//entF//sucC//mglB//rybB//cspD//entB//sucC//ompW//metL//ogt//yoaC//stpA//mdtD//nfuA//focA//yrbL//prpE//glpE//dnaN//entF//glgB//betB//cysM//pstA//fepE//murP//
NarP-Phosphorylated_pos	rpsS//lsrG//livK//rpsS//paaE//talA//ilvG_2//cyaA//ampD//xapA//glpT//codA//ulaC//rpoS//hyaD//idnO//rimM//aer//garL//entE//appB//rpsJ//casD//caiD//tfaQ//ilvA//cysI//lpxA//fdhF//mpl//tar//hycE//
NhaR-Na+_pos	abgA//nrfE//fecD//mglB//ybdN//
NikR-Cd2+_neg	spy//pheT//nuoI//nuoI//hybO//mntH//
NikR-Co2+_neg	agaA//lsrA//melA//chbR//copA//hisP//
NikR-Cu2+_neg	oppD//glnD//prfA//dcuA//fadE//feoB//
NikR-Ni2+_neg	rrlB//ileU//baeR//uhpA//atoA//abgA//
NikR-Zn2+_neg	atoD//nrfF//yfaE//yccA//pgpC//mhpE//
NrdR-ATP_neg	puuP//nohA//cydC//tyrR//malP//entF//xylG//fepB//rutG//
NrdR-Zn2+_neg	nikR//bglG//rpsS//cadC//dpiA//gltU//livF//feoA//psiE//
NrdR-dATP_neg	soxS//metE//kbaZ//cusB//rrfG//baeS//phoP//nlpE//aldA//
NsrR-[2Fe-2S]reduced_neg	ccmF//phoA//galT//uhpT//sbmC//ilvG_1//mpl//betT//moaA//pnp//astD//nanT//melB//lldP//mntH//fimA//baeR//grxD//ampE//gntX//hybF//aceF//dcuB//pepT//priB//frdC//ilvG_1//hofB//yegR//ccmF//bioB//hha//tdcC//icd//ydhT//hypF//ilvC//cusR//aaeR//soxS//nrfG//acnA//argF//cysI//oxyR//rplS//rbsC//narI//nirB//ansB//sodA//gatZ//phoU//nikE//yaiA//trpE//aspC//phoE//rhaS//ilvM//artQ//tdh//purL//purK//safA//mipA//glnA//glpG//hupA//ydhU//nirC//metA//sucB//
PhoB-Phosphorylated_neg	cydB//hycE//hyfE//idnT//fnr//ccmF//napH//allC//ompR//malF//idnT//phoH//entF//
PhoB-Phosphorylated_pos	alaT//ydhY//kbaZ//fadA//cysU//ydeM//napB//ilvB//ychH//dps//dnaA//dcuS//gspE//bioF//mgrB//paaF//phnJ//dmsD//appB//fecB//fixA//yeiL//aspC//nmpC//rrfG//citG//yfaE//fabZ//araD//ompT//pgaD//rutA//grcA//argI//srlR//cysG//glmY//rrfA//appC//slyB//hypA//yeaD//cusB//hybF//umpH//nrdG//hofO//ykgO//glyA//tam//fadI//chbB//nuoF//
PhoP-Phosphorylated_neg	yjiY//narL//tdcD//yqjI//garR//alkB//fepB//uidA//ackA//cysI//yeiB//
PhoP-Phosphorylated_pos	uxuB//sufD//trpA//tehB//alaV//hmp//purC//fur//gatD//hybB//hflC//malY//rpsS//argD//sucC//sucB//lolB//rplT//lsrA//cydC//ampE//dpiB//sufB//fimD//garP//fis//tcyJ//betA//cadA//yibN//amn//ykgO//idnK//ygbA//rrfC//yqjI//rrlA//cysP//yqjI//pitB//fucA//betB//qseC//yeiP//lpxB//cydD//tam//cusR//grpE//
PrpR-2-methylcitrate_neg	ydhU//
PrpR-2-methylcitrate_pos	ung//gntK//srlB//gltT//
PurR-Guanine_neg	uvrA//nagB//pheT//aaeB//mlc//nrdG//guaA//hisQ//entE//trpL//dsdA//adiC//dmsB//phnI//nuoL//alaV//cheW//cdd//ydfH//uxuA//csiE//ldtC//prfA//mhpE//fliZ//hisQ//ileU//feoB//dmsC//artJ//pta//rrfH//aldA//xylG//
PurR-Hypoxanthine_neg	ilvB//pitB//astC//ldtB//phnE_1//avtA//moaD//gspI//flhD//csiE//fimD//torR//idnO//mhpR//mcaS//hupA//mgrB//ygeA//rrfH//ampD//hypF//psd//hflX//ahpF//malT//hpt//aspC//qseB//galP//yebE//mdtB//napB//cusF//aer//
QseB-Phosphorylated_pos	appY//ppiD//ptsG//csgC//
RhaR-L-rhamnose_pos	cydB//uof//
RhaS-L-rhamnose_pos	rplW//fepB//caiF//
RstA-Phosphorylated_neg	pheM//dapD//mdh//erpA//csgA//
RstA-Phosphorylated_pos	rutB//rrfB//uraA//torC//iclR//
SoxR-[2Fe-2S]3+ oxydized_neg	purL//
SoxR-[2Fe-2S]3+ oxydized_pos	citD//dnaN//bcsA//
TorR-Phosphorylated_neg	rpoH//
TorR-Phosphorylated_pos	iscU//mntP//cpxA//ogt//ompX//nrdI//folA//nohA//narG//
TrpR-Tryptophan_neg	argA//phnC//manZ//dcuS//hypC//mntH//napH//dsdC//rpsJ//rrfC//ssuB//acrA//
TyrR-L-tryptophan_neg	cheA//hybB//argE//fixC//yeiW//avtA//modC//hofP//dkgB//degP//hycH//glnK//
TyrR-L-tryptophan_pos	phoH//malG//araD//
TyrR-Phenylalanine_neg	casD//napA//nikC//rbsR//appY//citC//nrfA//creD//fumA//gltT//yqjA//allC//
TyrR-Phenylalanine_pos	sdhB//ubiX//ccmF//
TyrR-Tyrosine_neg	fecR//narI//hycE//ssrS//moaE//hslJ//katG//bcsB//leuE//oppB//fadH//paaZ//
TyrR-Tyrosine_pos	ppiA//borD//cadB//
UhpA-Phosphorylated_pos	phnE_1//
XapR-xanthosine_pos	dcuB//gatZ//
XylR-Xylose_pos	fau//aldA//rplM//ygeA//iscS//galM//
ZntR-Cd2+_pos	appY//
ZntR-Hg_pos	gspH//
ZntR-Zn2+_pos	ugpQ//
ZraR-Phosphorylated_pos	folE//tauD//moaC//
Zur-Zn2+_neg	glrR//sroD//oppB//glrR//yqjH//sdhB//
