#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rrsE//aer//
CRP-cAMP_neg	cyoC//lacZ//dnaN//focB//gspE//nuoF//ispE//iraM//rseA//nlpE//rplP//nanC//rrfA//yhcH//hycA//acs//mtlA//gspJ//csiE//narH//aspA//ssuC//rrfG//degP//fhlA//hpt//argC//ydeJ//puuP//ygiC//phnL//prpC//cbl//hypD//modB//xylR//ppiA//nagA//hyfG//ssuE//glcF//ptsI//yhfA//lldP//mgrR//yeiB//marA//serA//nrfB//evgA//ptsI//cysN//paaE//sucB//gutQ//rrsB//nikD//trxA//pgaA//fhuE//gatD//znuB//metR//ubiX//treR//yqjI//nuoC//galP//rnlA//nrdB//nlpD//feaB//fhuC//creC//nagB//norR//hofM//cysN//epd//pstA//uxaC//tktB//hyaA//gatZ//narL//aspA//ahpF//glgB//cysW//cadC//tyrB//ilvH//oppA//dpiA//gspE//yaiW//pflB//fimD//gltV//miaA//metY//hycE//chbB//deoA//tdcE//galT//creB//sbmC//aceE//grxC//nrdB//hisJ//nuoA//ccmA//talA//lacZ//nuoC//nlpD//fhuC//yhjA//moaD//argF//borD//entA//hyfH//rutF//nmpC//malY//lolB//sbmC//pck//dnaA//melB//
CRP-cAMP_pos	yojI//fimA//purN//mdtB//tnaC//dcuA//pflB//malE//aroP//cydB//rrfC//malF//araB//gltW//phnM//patZ//phnJ//fiu//kbl//moaD//uof//glgC//rrsH//argD//nikE//ynfG//rimP//dppD//phnO//lldD//xapA//agaV//yeiW//iscR//malI//lacI//rpsF//tdcB//sucA//astE//ulaA//ccmC//fliA//tsgA//uhpA//glgB//ulaD//ydeM//tsaE//chbG//betI//nrfF//fixX//glcB//dnaE//glcD//nikB//bglB//pgaA//hybE//purL//hyfF//paaC//ysgA//cyoA//dapD//mcaS//ubiA//fdnG//argE//rrlE//rplD//uraA//malT//cusA//glcA//rrsE//ydeP//argF//metK//paaF//mgrR//asr//purB//ybdZ//appC//dkgB//actP//fimC//paaK//astC//rhaD//fadD//gspJ//garL//hlyE//glnA//lacA//qseC//truB//sbmC//artI//rrlC//ccmA//gpmA//tsgA//hyaF//artM//ynfF//argP//nanT//ygbA//rpsC//lamB//tauA//dcuC//purC//argP//gutQ//znuA//yhjC//trpE//glnB//nagC//malG//casA//fecE//ydeN//psiF//sufB//rrfE//napF//ompA//gutQ//bcsB//ccmF//rnhB//cusC//ldtB//galP//rrlA//frc//astC//pgaD//rrfA//yfdE//qseB//fadE//soxR//uidC//puuC//aceK//rhaA//artJ//rbsR//uxaB//nuoM//ugpB//citC//ybiT//narX//paaD//acrB//gutQ//uraA//raiA//sdhC//rrlG//pnp//metH//hlyE//atoD//rpsR//arfB//rutG//metR//sodA//fepB//yfeW//dkgB//fabZ//xylB//aaeX//yqaE//fepA//sroD//hyfC//csgF//moaE//amn//nuoG//serC//rrfB//ugpQ//znuB//nikC//gltV//uxuR//malK//feaR//fimI//puuC//katE//glgB//phoH//ahpC//katG//infC//tsx//mhpR//hydN//cytR//cysP//rrlH//pck//chbC//ydhT//dmsD//araC//aidB//malZ//rbsR//treC//motB//atoD//aceB//infC//gatB//glnL//fecC//sdaA//citD//moaE//csiE//yjjZ//allE//malF//sodB//cynT//pheT//casC//lysC//gspD//osmY//aceB//aer//ykgO//ftnA//cpdB//crr//hycI//metR//tyrA//phnK//map//ssuE//infB//araA//artI//moaB//aroL//yjjZ//phnF//cusB//phoE//astB//glpD//glpB//mntS//cysA//fucA//rseB//gltT//ahpF//aspC//rbsR//citG//narX//glpQ//hyfJ//acrF//cadC//malK//rplD//aceF//yojI//ahpF//dcuS//moaB//yciW//acrB//tnaC//pgk//fes//yggX//uraA//asr//mdtD//bcsZ//marB//nanK//dppF//exbB//bglF//malE//nuoB//cydC//artJ//lolB//ynfF//ubiX//tonB//xapA//narJ//nuoG//melR//zraP//feaB//glnG//spf//glpT//csgC//csgE//grpE//hisQ//rmf//yggX//ptsG//ahpF//dapD//glcB//ydeJ//yneM//gadB//galP//hyfD//ftnB//gpsA//avtA//fadA//sucC//hofM//metH//glcD//cheA//rcnB//alaU//modB//deoB//rmf//fadD//motB//yeiW//fepE//yaeP//rpmC//tpx//yaiA//ilvN//aspA//paaI//ykgM//caiD//fiu//frc//dnaE//hyfR//kbaZ//yfaE//mntH//bioB//rutB//pheS//bcsZ//mhpB//cysK//glpQ//deoB//fucO//pck//argI//yfeW//tnaB//purR//paaH//fldA//rrlA//rpmC//yneM//rseA//ldtB//fimG//ihfA//artP//uxaA//tadA//cueO//xylH//metB//rpoS//hyfD//cyoD//lsrA//dsbA//rrlH//nrdA//lacA//hisQ//metF//nupC//dmsD//yciW//hfq//yibN//phnE_2//paaZ//cysB//rpmC//ykgO//cynR//prpB//betI//dnaE//mhpE//ccmG//appB//nusA//aroA//bamE//
ChbR-Monoacetylchitobiose-6P_neg	hofB//gspH//rhaT//ygiA//dcuC//acs//
ChbR-Monoacetylchitobiose-6P_pos	phnH//sdhA//glgS//tdcG//metF//feaB//
CpxR-Phosphorylated_neg	nanM//ptsI//ydhU//tdh//hycC//pheS//chiP//chiP//lsrD//ydeO//acnA//pta//rutB//efeU_2//ulaD//alaA//zraS//atoA//moaD//idnD//fecD//ycdZ//rpmC//csgC//
CpxR-Phosphorylated_pos	hybO//fecE//yfdV//polA//exbB//hyfG//yfdV//bdcA//nlpD//ybjG//ycjX//hlyE//purA//rnlA//rrlA//metF//rplI//metL//pta//preA//nuoG//rutC//ftnB//ysgA//yhjA//katE//ynfF//ycdZ//ybjG//srlE//rpsC//actP//fucK//pta//ileT//ihfA//osmC//metF//fecB//glpK//fepG//trpC//malK//gltF//gcd//
CreB-Phosphorylated_neg	entB//rhaT//lysC//
CreB-Phosphorylated_pos	pgaA//mhpA//copA//gntU//nanE//fdnI//
CueR-Ag_neg	mtlA//yrbL//trpE//guaA//yojI//
CueR-Ag_pos	metC//ydeO//
CueR-Cu+_neg	fhuE//phnL//acnA//yoaG//cysN//
CueR-Cu+_pos	psiE//treB//
CuerR-Au_neg	dnaE//ptsG//rrlD//tktB//phnK//
CuerR-Au_pos	mdtA//sufS//
CusR-Pasp_pos	cheZ//ilvY//cvpA//hybO//rplI//ugpB//napG//nrfC//gntP//hyfE//dppD//ugpE//
CynR-Cyanate_neg	dnaA//
CynR-Cyanate_pos	ftnB//araC//bcsC//
CysB-N-acetyl-L-serine_neg	fucA//folA//agaV//hyaB//moaB//aroH//xapA//
CysB-N-acetyl-L-serine_pos	ilvX//dmsB//nanK//aldA//ispE//ygiC//nuoB//rpoH//rseC//rplM//efeU_1//mglB//fhlA//fecE//gntR//rpsI//atoB//melR//cysD//mglB//moaD//mhpE//uhpC//
CysB-O-acetyl-L-serine_neg	ulaF//dppB//melA//argC//ybiT//ydhV//pyrD//
CysB-O-acetyl-L-serine_pos	exuT//moaC//rrsC//gspE//envY//puuB//srlA//fnrS//feaR//frc//fadB//thrS//entA//hyaF//hdeD//bcsZ//rrfF//lysU//lsrC//ssuE//trxA//metI//yqjH//gspL//
DcuR-Phosphorylated_pos	sdaA//tktB//hyaC//pheS//zraP//ulaE//rrfF//pepT//sdhB//
DnaA-ATP_neg	glcF//srlA//hisJ//mhpD//rnhB//napH//gspK//ugpQ//ompA//nrdI//bcsC//
DnaA-ATP_pos	hyfH//ygiB//fecR//trg//idnK//uhpB//modC//
DpiA-Pasp_neg	gltD//
DpiA-Pasp_pos	ydeN//uxaA//fhuE//aceE//pncB//dps//uof//glnD//fliA//fadD//
DsdC-D-serine_neg	fimF//
DsdC-D-serine_pos	fhuF//yaeQ//
EvgA-Phosphorylated_pos	dnaA//purL//uxuR//sucA//nuoH//rutD//trpD//glpX//nupC//tonB//cusF//bioC//bacA//aaeA//ygbA//
FNR-[4Fe-4S]2+ reduced_neg	lsrR//acnB//srlE//grxD//bcsA//cysB//rrfF//alaT//pta//cysJ//grxD//chbF//thrS//yjeF//casB//puuB//murP//preA//fumA//rplW//glpA//cynX//galK//ulaF//betB//betB//rnhB//rrfH//narH//ulaB//csgA//codA//gcvP//argH//narX//secB//rnpB//nuoA//lldR//mutY//glgP//dppA//nuoG//ahpC//guaA//emrK//gspC//dcuD//garL//tdcF//cusR//serA//abgA//cas1//lsrD//cyoA//dppC//ptsG//rbsA//phnE_1//cusB//yqjI//grpE//pnp//araE//fixB//manA//glmY//nagE//nrdF//napA//mtlA//ydhU//katE//sdhC//agaA//tyrA//hisQ//pgk//paaH//rrsB//gpsA//agaA//livG//flhC//glpD//cysP//mhpE//fhuF//napH//pflB//malQ//evgA//ilvM//paaK//astC//mgtA//preT//yhiD//dcuB//purL//znuB//yneM//csgD//bioF//argC//paaE//ung//mhpF//infC//narG//sufS//gltV//hmp//malK//amn//hfq//dsdC//fimH//pstB//
FNR-[4Fe-4S]2+ reduced_pos	malY//rbsA//paaC//srlA//metB//crl//paaJ//csgC//prpB//rbsD//bhsA//znuB//artP//glmY//pdeF//phnE_1//mgtA//cyoB//sodB//dmsC//safA//pyrC//hycC//ydiU//metJ//ulaB//mntS//ugpB//paaG//cdd//nrfE//chbA//gspM//ivbL//bamA//rutG//artM//ynfF//pgaB//cspE//paaF//cheW//rplB//citX//fecR//tauA//appY//puuE//hlyE//nikA//dps//cyoC//carB//emrY//fimE//uidB//cysK//chbC//ulaC//arcZ//puuA//rplM//spy//dppF//ychO//modB//atoE//hlyE//oxc//mutL//pstS//hyfR//yoaC//sucC//betB//ssuD//gspD//tdcC//csgG//srlB//mdtB//idnD//nikE//chbB//aidB//mscM//pgk//hypF//nuoH//frdD//csiE//metC//rbsA//dmsD//glpE//hisP//rseB//glcC//tdcD//xylB//nuoM//caiT//ebgC//tauD//uhpB//mltC//manA//fepG//nadC//malY//napG//hdeA//murP//lysO//gpsA//frdB//zraS//oppD//phnF//moaA//ssuE//tauA//citD//chbA//hcp//asr//carB//ydhU//metN//rpsO//gltF//nlpD//aaeX//rpsC//aaeA//spy//gatY//norR//hypD//znuA//acrD//phoE//paaZ//ileV//sbmA//xylG//nuoI//gdhA//dkgB//malQ//fes//fecI//mntH//hfq//gnd//feaR//ydeO//fimC//ompT//dmsA//norV//grxD//narH//ilvA//lacZ//yecR//oxyR//avtA//yeiP//yfiP//napH//rhaR//uidA//lysO//idnO//ygiA//fucI//bioD//nmpC//lldD//uxaA//livK//bdcA//gyrA//rutD//hypA//fnr//glnD//lsrR//appA//hyaB//uxaC//hyfJ//mlc//nuoK//prpD//rrsD//trpA//soxS//rbsB//fhuF//preA//
FhlA-Formate_pos	cheR//hybG//mtlD//lysC//betA//manZ//nikC//tauB//fecC//polA//evgS//dppA//rutB//rprA//ycjF//lacY//fixA//tadA//gabT//astA//emrY//torR//narL//hycE//rrfH//glpT//ydeO//pheT//cynT//glcA//
FucR-L-fuculose-1-phosphate_pos	fadA//srlE//phnK//ssuD//uxaB//torA//hofN//
Fur-Fe2+_neg	hycI//nikA//phnP//csgG//rutF//modA//ycjF//tdcF//uhpC//spy//dppC//dnaN//infB//araE//speB//cysK//bglG//baeR//galK//tsx//gltD//gspL//bamA//citE//malF//emrK//puuE//rrsC//metR//uhpA//ysgA//gabD//fau//purH//malI//rstA//prpE//nanM//codA//csgG//astA//fbaA//ycjF//csiD//pstC//sohB//yqjA//ilvE//dppD//mdtD//lsrK//galM//gltW//gltT//ompR//melR//pstB//rbfA//feoC//rrfF//cusF//znuC//emrK//rpsC//yiaJ//eda//argE//yneM//citF//ivbL//avtA//citF//gcvT//narI//hypF//pck//micF//fhuF//mdtB//fldA//uidA//glgP//caiA//mtlD//iclR//caiT//lsrB//casA//modA//phnN//hybD//torC//hycC//speC//rnhB//hypB//uidA//sohB//hdeD//bioF//nuoC//cpxR//marR//araC//cysK//fepB//tktB//hycF//argA//cspE//lysA//mglC//rpoH//sdhB//safA//fimC//fepG//gntX//livH//tadA//feoC//entF//ydeN//tdh//
Fur-Fe2+_pos	hflC//fumB//phnM//hycG//ybfN//fucU//bioB//mntP//pheS//sufE//comR//rrfH//rnpB//ynfF//glnK//purK//rpoH//dcuC//hyfG//fimG//lsrA//lolB//paaD//ssuD//cysW//
Fur-Mn2+_neg	glpB//metN//fhuA//aaeB//bcsC//nikR//rplB//purM//torC//acs//ilvD//mhpB//fdnI//bhsA//hofM//stpA//acrF//gabT//fepC//cysJ//nanK//metK//rnpB//nirD//argF//mtlR//slt//znuB//garK//zraP//rpmI//dcuS//ybdZ//nrfD//fhuB//ompX//fadA//bamA//dppF//lsrK//ydhY//mntP//mgrR//glcD//nuoK//yccA//rrfC//glcA//yaeQ//ulaD//uidA//phnD//nrfD//mglC//argI//hpt//gspE//hycE//cysU//galP//yhjC//rpmI//melB//puuA//arcZ//amn//hisJ//gspC//fecC//dadX//sdhC//fimG//nlpD//idnO//metI//paaK//metC//argB//gyrA//hycB//bamE//efeU_1//araG//hycE//cheB//dpiB//gntP//malG//gltD//phnP//uxaB//tdcE//sufD//nuoC//abgT//dapB//purL//iraD//idnK//prfA//rpsC//frdC//astA//gcvP//nfuA//fepG//focA//metH//moaC//yaiA//ldtC//ivbL//fucK//thrS//melA//frdD//rpsS//aroL//narQ//rpsP//yibN//yhcH//ycjF//hycH//
Fur-Mn2+_pos	caiT//yojI//uxuA//nuoE//nrfD//betB//rhaA//pyrD//allE//glpA//trpE//caiT//mipA//iscU//gspJ//mgrR//narQ//glcA//gutM//ynfK//casE//nmpC//citG//lysU//polA//
GlcC-Acetate_neg	recF//
GlcC-Acetate_pos	gltT//paaA//ssrS//nrdD//fldA//feoC//
GlcC-Glycolate_neg	abgA//
GlcC-Glycolate_pos	ascB//lacI//ccmB//feoA//borD//bioA//
GlrR-Pasp56_pos	mtlR//
IclR-pyruvate_neg	manX//fadL//ebgA//ilvA//
IdnR-5-ketogluconate_neg	cspD//yaiW//fucU//
IdnR-5-ketogluconate_pos	waaH//rdoA//hisP//uxuB//treC//
IdnR-Idonate_neg	ilvH//dpiB//gspG//
IdnR-Idonate_pos	rplW//hflX//pgk//mgtL//feaR//
IlvY-2-acetolactate_neg	ompT//
IlvY-2-acetolactate_pos	rrsE//
IlvY-Alfa-acetohydroxybutirate_neg	arfB//
IlvY-Alfa-acetohydroxybutirate_pos	gabP//
IscR-[2Fe-2S]1+_neg	dsdA//malZ//fdnI//secB//fhlA//nuoB//sdhB//truB//marA//livG//rpsF//acrD//alaS//ompF//rnpB//ykgM//hdeB//fis//xdhC//narL//dcuB//hypC//sodB//tfaQ//ycjF//malE//entF//yjiY//hflX//fldA//
IscR-[2Fe-2S]1+_pos	yfeW//manZ//zraR//nrfA//gpmA//ilvG_1//mglC//sxy//ssuC//hycB//ansB//
LldR-L-lactate_neg	yegH//cyoA//fepG//
LldR-L-lactate_pos	ptsI//ada//nrdG//
Lrp-Leucine_neg	murP//hycB//agaA//frdC//cusF//carB//artM//ulaB//rybA//uhpA//ascB//aceE//epd//emrY//arfB//gatC//tdcF//caiB//cpxA//dppC//sdhD//cysN//purD//metB//rdoA//aroF//uvrA//ygiB//tehA//yjeF//aroA//gspC//gyrA//ssuA//ulaB//tonB//ydeA//moaC//nirC//uhpT//araC//rnpB//pgaC//hycG//rrlH//codB//exbB//rutG//rdoA//rplD//rplV//betB//fadA//alaA//bioD//mdtA//rutF//narI//nupG//xdhB//ilvI//nikE//modA//creA//hemL//nuoH//gdhA//kbl//ydhW//ycjX//chbF//fimG//pgpC//cynR//waaH//
Lrp-Leucine_pos	dppC//dppC//mdtC//cheW//fliZ//gspO//ogt//glpT//moeA//hupB//fecD//gntR//abgA//nrdA//ubiG//argE//prpR//ileT//yjjZ//agaV//cas2//preT//rrfB//rrsG//fhuC//tnaC//allE//hslJ//mpl//tauA//sucB//udp//nmpC//trpD//hyaD//
LsrR_neg	adiC//rutC//cytR//nikB//nuoF//ftnA//gspM//alkB//dadA//
MalT-ADP-Maltotriose_pos	casB//nusA//trg//nuoF//hyfG//xdhC//hypD//dcuB//rplW//ileV//
MalT-Maltotriose-ATP_pos	gspJ//yeaD//trpE//entC//glpK//allE//rof//metI//amn//casA//
MelR-Melibiose_neg	hyaF//sbmC//hyfG//
MelR-Melibiose_pos	araB//dcuA//tnaA//
MetJ-S-adenosylmethionine_neg	paaH//acrE//rrlC//casA//caiF//argP//ackA//nirD//ccmG//hyfR//iraM//rhaT//paaB//ybjG//paaB//
MetR-L-homocysteine_neg	phnP//yoaG//
MetR-L-homocysteine_pos	caiD//cysH//galE//rimP//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	torD//prs//paaD//oppF//hypA//serA//
MhpR-3HPP_pos	malK//uhpB//cusC//nuoN//nrfA//dcuS//
MntR-Cd2+_neg	pitB//glnL//purM//glcF//
MntR-Cd2+_pos	modA//
ModE-MoO42-_neg	rrsC//rimM//iclR//borD//gpmA//rrlG//glrR//artJ//uof//fdnH//nanT//ydeJ//lpxB//nanT//fepE//
ModE-MoO42-_pos	araD//yegZ//iraM//caiF//metY//pepT//dapB//rpoH//asr//bioF//phnP//nrdB//dadA//ilvX//acrA//csgC//ndh//ccmH//aroL//nagE//fadA//phoU//osmC//iscA//cas2//fecD//gspD//yciW//prs//srlB//tolC//
NarL-Phosphorylated_neg	malG//purD//rpsS//ryhB//ascB//lolB//ryhB//fepD//tonB//purB//ilvM//dnaE//fucP//asr//rrsH//gntP//dppF//gltV//yaeP//mglA//hyfF//oppC//araF//pheM//acnB//appX//narL//pta//tfaQ//fadB//hslJ//narK//rpoH//metL//ytfE//flhC//dcuD//fhuE//yeiB//malM//sbmA//caiC//ulaA//nrfB//carB//chbB//phnO//ansB//fimH//ompR//znuA//nirB//sufS//glgC//paaD//ubiA//rrfE//fhuF//mscM//cydC//aspA//zraS//tehB//lysU//xylA//fdnG//yeiW//ydhY//caiF//hypB//zraP//yjcH//metE//baeR//zwf//hyaD//gpsA//puuP//cdd//slt//mglC//metR//galM//fadD//lldD//alaU//
NarL-Phosphorylated_pos	fimI//ilvG_2//aroP//dcuS//idnK//chbA//lhgO//rpmI//prpB//caiE//trpE//borD//ansB//araE//fhuB//napA//frdC//rplB//sufE//ssuA//gspI//malM//fadE//cynT//tdcE//spf//exbD//rrlE//bcsA//ompF//tfaQ//fadE//prmC//srlR//frdB//infB//rpmI//slyB//sbcC//modC//map//rplP//rhaT//nanA//fliA//glpF//
NarP-Phosphorylated_neg	aceK//feoC//yqjI//feaR//gntK//lacY//puuD//hupA//hofC//glnG//agaW//ompR//preA//glpT//fadJ//fepB//rpsR//phnK//ilvC//cspE//gltD//fixA//ldtC//fbaA//speA//chbF//ompC//fecB//fnrS//ydhX//gatA//phoR//cheW//
NarP-Phosphorylated_pos	ubiA//ompX//ygbA//manZ//alaS//dadX//bglF//lsrD//adhE//purC//hyaE//yegH//ptsG//hypE//puuD//ompA//glpQ//livM//amiB//hupB//metN//araB//napF//fimH//allC//ydeA//kbl//fixB//iscR//hyfB//cpxA//ampE//
NhaR-Na+_pos	uhpT//znuC//chbR//rpsQ//ackA//
NikR-Cd2+_neg	cheZ//hha//nuoC//prpB//borD//ccmC//
NikR-Co2+_neg	cheY//evgS//gltU//metA//dppB//torC//
NikR-Cu2+_neg	feoA//tdcD//mzrA//phnI//trpE//pitA//
NikR-Ni2+_neg	bcsA//ykgO//puuE//hypB//tonB//hemA//
NikR-Zn2+_neg	csgB//iscU//entA//dps//nmpC//purR//
NrdR-ATP_neg	ansB//yhfA//lpxB//hyaA//znuC//allD//katG//caiE//hyfA//
NrdR-Zn2+_neg	rprA//gspI//moaB//rplI//purN//yecR//fimF//qseB//fadD//
NrdR-dATP_neg	ubiA//glcD//codB//rcnB//umpH//lpd//cysP//baeR//cyoA//
NsrR-[2Fe-2S]reduced_neg	phnP//gspI//mhpR//hyaC//pheT//ssuA//metF//mhpT//galP//glpA//cadB//fecR//sufD//iscS//hpt//tsr//cusR//uof//glpT//purH//glpR//arcZ//spy//aroP//lpxD//gspG//mhpE//glpA//nagC//hemA//pagP//borD//tsgA//rrfG//phoE//lsrF//thrV//gspJ//nanK//yneM//fau//narL//nuoG//tehB//hofO//ssrS//trg//napB//ssuB//ubiX//araF//ftnB//ahpF//rutD//fumC//rrlE//astA//ampE//lsrD//napC//melR//yeiP//fiu//rybB//udp//gcvT//glpB//hyaF//fecD//marB//fimD//caiT//cysN//
PhoB-Phosphorylated_neg	yhhY//cas2//hycC//trg//dcuS//frdC//malY//nikD//gltW//frdA//dmsA//gltT//ompR//
PhoB-Phosphorylated_pos	agp//ugpQ//cdd//recF//abgA//dctA//srlB//trpB//yhjA//srlE//yhiD//cysH//idnK//ybdZ//fliA//gatY//ilvA//gspK//abgB//rrsB//ytfE//motB//nuoI//pgaC//garP//asr//upp//yciW//ansB//cusC//lacI//cheY//rhaR//glpA//yjeV//tauA//nuoJ//nrfG//hdeD//cheA//caiF//srlB//lsrG//fepE//oppB//tktB//argF//yhfA//tyrP//glcC//aer//hflK//ccmA//
PhoP-Phosphorylated_neg	hycH//rplB//fabZ//fadJ//hyaD//ubiC//rrsG//appC//ilvB//ppiD//hisP//
PhoP-Phosphorylated_pos	citF//rrfG//bglG//cyoA//mntS//melR//ybfN//marR//mglA//gltB//iscS//mutY//dppF//nuoL//hpt//purE//gspK//grxC//paaD//gcvP//dcuD//eda//trpR//casB//fhuE//hybB//ilvH//yegR//ahpF//zinT//malS//cynR//hycD//mgtL//gpsA//manX//skp//modC//uidA//deoB//hemL//araJ//yhjC//cynS//ebgC//glpD//casB//cra//fliA//
PrpR-2-methylcitrate_neg	murQ//
PrpR-2-methylcitrate_pos	glgS//aroF//xylF//ydeN//
PurR-Guanine_neg	fecI//moaA//rutC//chbR//yidQ//malX//bcsB//uhpC//nrfC//qseB//tyrA//rplS//dppC//mntH//pta//ybfN//fepE//fnrS//lldP//rpoS//cynX//rpoE//mdtA//rplV//gspG//yjjZ//paaB//osmC//ilvY//dctA//allC//appY//uhpA//hofP//
PurR-Hypoxanthine_neg	lysP//rutB//dcuC//uxuB//cvpA//nuoB//nuoH//aroH//hflD//mntS//ulaB//ygeA//hyfJ//acrD//malX//cydA//hofB//infC//hyfJ//csgE//dcuR//nanS//malK//prpR//lpd//yhcH//sbmA//ccmE//paaG//fhuF//ilvL//sbmA//metQ//pflB//
QseB-Phosphorylated_pos	recF//cysI//ychH//tyrA//
RhaR-L-rhamnose_pos	rrsH//mglC//
RhaS-L-rhamnose_pos	nirD//evgS//moaB//
RstA-Phosphorylated_neg	rrsE//yoaC//tomB//bcsB//nagA//
RstA-Phosphorylated_pos	hypA//ssrS//nuoI//fepE//gspJ//
SoxR-[2Fe-2S]3+ oxydized_neg	yqjA//
SoxR-[2Fe-2S]3+ oxydized_pos	phnE_2//chbC//yeiW//
TorR-Phosphorylated_neg	edd//
TorR-Phosphorylated_pos	mtr//feoC//napA//lysP//metF//casC//yegH//arfB//znuC//
TrpR-Tryptophan_neg	melA//melA//amtB//bcsC//udp//hdeA//chbB//fecE//nuoA//torD//motA//fucP//
TyrR-L-tryptophan_neg	melB//ydfH//nrfC//recF//aroG//tam//hyfR//dcuB//ebgC//hcp//ytfE//yegZ//
TyrR-L-tryptophan_pos	ydeO//cusF//tpx//
TyrR-Phenylalanine_neg	garR//yoaC//uxuR//rplV//yccA//chbG//dcuS//hofC//leuE//cas2//malQ//paaG//
TyrR-Phenylalanine_pos	murP//moaC//deoA//
TyrR-Tyrosine_neg	tam//acrD//glpB//paaG//cyoA//tyrP//folA//argF//trxA//phnC//nuoM//modC//
TyrR-Tyrosine_pos	folA//cheB//cadB//
UhpA-Phosphorylated_pos	yccA//
XapR-xanthosine_pos	trpA//ccmB//
XylR-Xylose_pos	epd//mhpC//ccmE//ysgA//betT//nrfC//
ZntR-Cd2+_pos	rseA//
ZntR-Hg_pos	dgcZ//
ZntR-Zn2+_pos	dkgB//
ZraR-Phosphorylated_pos	rpoE//tauB//torR//
Zur-Zn2+_neg	uhpB//xylG//fadJ//ugpA//lsrF//mntS//
