#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	qseB//tyrB//
FNR-[4Fe-4S]2+ reduced_neg	mgrR//yegZ//cusR//ompR//norW//glgX//rybA//prmC//malF//rrfD//cyoA//idnR//purC//glrR//cydB//ccmF//dkgB//oxyR//gltF//dapD//micF//nagA//ldtB//alaV//cysM//hslJ//phnM//aceE//ubiG//fecC//phnL//hycG//ygeA//melB//dnaN//artP//fucA//tyrR//caiA//lpxB//gntR//envY//betT//glcG//ampD//uhpB//betA//yiaJ//ulaE//hpt//crl//feoB//ydbD//gcvT//idnO//rrlH//rrsD//ascF//zraR//frdA//cyoA//tdcE//ygaC//gabD//xseA//bglB//nanE//cyoD//cyoA//fadA//phnP//betB//lysC//malP//lysA//hydN//rrfF//fhuE//cydD//rpmI//asr//yeiB//ptsI//ldtB//cynS//phnH//fhuE//tsgA//napB//ynfE//nadC//tdh//mtlR//phoH//allC//garR//bcsC//murQ//hybG//glpF//sdhD//iraD//artJ//galK//napA//caiC//mhpT//ompF//cadC//oppF//nrfG//lldP//lhgO//hcp//napD//lpxB//rhaA//tauD//bcsZ//tktB//
FNR-[4Fe-4S]2+ reduced_pos	yqjH//yrbL//idnK//lsrK//yaeP//rnhB//fixB//argP//mhpA//fes//crl//ivbL//hyfA//pheS//hdeB//rpmI//lysA//cydA//fur//rrsE//ldtC//rpoS//hofN//rrlB//gcvH//hypA//glnL//mtlA//icd//rimP//argA//argH//dkgB//yegZ//trmD//rseC//sodA//nuoH//narH//ybjG//argI//bcsB//cueO//ybdN//ihfA//idnR//entE//udp//gntT//upp//arcA//uhpT//ascB//ptsG//pgaC//rbsB//hyfG//yiaJ//yibN//oxc//manZ//gspM//lacI//nuoA//avtA//aaeB//ilvG_1//yegR//fhuD//rhaS//malI//mhpB//yedX//araJ//cyoC//ulaD//lacY//focA//appB//rplV//pflB//murQ//glgC//rutD//tdh//infB//fis//ugpA//hcr//oxc//cstA//sdhA//hycG//ydhW//rseC//pgaC//tadA//galS//qseB//frdD//melB//rpsF//yggX//napB//uvrA//uidB//gspI//casA//metF//acrF//melB//purN//entA//livF//upp//pitB//mhpD//yfeW//ccmE//pgaB//torR//adhE//trpL//gadB//rbsD//betT//melR//atoD//sxy//mhpC//hslJ//appX//ppdD//csgG//hyfF//cyaA//erpA//xdhB//ompF//ydiU//recF//xdhC//nuoK//mntP//rbsK//araD//ubiX//ftnB//dmsB//mtr//tsgA//yjeF//casB//cvpA//casE//idnD//yccA//dppA//chbG//napH//hycB//rplS//galS//metN//glgX//yeaR//fhuB//creD//glnL//araC//ilvL//mutY//degP//paaE//srlR//nupG//ssuC//psiF//hupA//metR//ysgA//yeiL//serA//purC//frdC//rpsR//gntP//hyfE//phnN//glnK//glpK//zraP//hydN//osmY//modA//fhuD//skp//allE//waaH//entE//csiD//tdcC//
FhlA-Formate_pos	codA//hybB//gatB//manZ//hyfG//metL//lysU//srlE//feaB//yhfA//metN//hybG//ilvL//ilvC//znuC//ilvY//gcvT//aer//cynS//uidC//rrfD//fecE//citE//ivbL//hpt//rcnB//rrfD//abgB//rpoH//aaeB//
FucR-L-fuculose-1-phosphate_pos	argP//tnaB//dsdA//tnaA//evgA//glcE//casE//
Fur-Fe2+_neg	astD//argH//csgD//glgX//ycdZ//purM//ilvC//aceF//cyoE//dnaE//xylB//casB//pta//fhuF//nrdI//oppB//ebgC//galE//tdcF//mtlA//alaU//amtB//nuoL//ydhT//cpxR//lamB//nrfF//lysO//phnK//phoA//lldP//fucI//glpD//cyoC//iclR//prpC//dapB//zinT//ytfE//cheZ//gltA//lpxA//lldP//metK//hycI//ubiC//fixA//gntK//betA//gltW//cadB//cdd//artQ//fimI//nac//rbsR//glcC//baeR//treC//azuC//efeU_2//ivbL//nikD//lldP//ompF//osmC//fbaA//sbmA//tnaC//fhuD//rnhB//ppiD//gcvP//fepC//phnM//flhC//ygiB//entH//gspG//nuoM//livF//aceE//hmp//rrfG//hisQ//entB//ydeJ//hyfE//rplS//caiF//ilvG_1//pheS//ulaD//alaS//dmsB//ilvB//ychO//glnA//rof//srlD//cadB//artM//lacY//livM//fimF//melR//ychO//rrlG//uof//mhpT//gltD//nrfC//priB//envZ//csiD//aroA//cusS//tauD//nohA//gspK//ascF//rpsR//rbsK//mdtD//
Fur-Fe2+_pos	rrfH//pitA//crr//focB//metK//grxC//yfiP//iscU//aaeA//dppF//nirB//lldD//cysN//sdhD//chbC//hupA//appY//nikA//astB//tdcA//yjiY//priB//ygeA//patZ//phoA//
Fur-Mn2+_neg	fhuD//gpsA//tyrB//cydD//cas2//cstA//creC//qseB//ung//rimP//mgtL//cadB//moaD//dppD//gspI//cpdB//ompC//napD//cysP//ryhB//bcsC//uidB//cpdB//yhjC//tdcD//astE//asr//xdhA//sdhC//kbaZ//hcp//fdnI//gpmA//uvrA//idnD//fdnG//glcC//acrF//sbmA//lldP//rnlB//ydeO//fixB//pheS//hypA//ilvE//nac//sdaA//phnE_1//gutM//cyoE//sxy//znuB//rimP//yoaC//ispE//torR//galT//rrfF//mscM//paaF//envY//tsx//hydN//sodA//narH//purL//tktB//nohA//astC//gltV//putP//pgaA//ssrS//fes//ygaC//pitB//putP//napF//baeR//entF//sodA//caiA//cysI//phoE//rplV//rrlG//feaR//livF//kbaZ//sodB//idnD//ansB//glpK//slt//rpsC//csgA//glgA//phoQ//nuoJ//gatY//yeiL//melB//bglF//tdcE//glpT//pdhR//rybA//uof//argT//torR//gltU//paaJ//udp//rrsG//infB//phnD//xseA//gspL//aceF//xseA//grcA//entA//ptsI//
Fur-Mn2+_pos	fimA//dctA//gspD//nupC//uidB//phnN//glcG//dcuA//ompA//araC//efeU_1//hyaB//mntH//purM//garK//hflX//moaC//gpmA//motB//ileU//pstB//trpE//fecB//ssuA//ulaA//
GlcC-Acetate_neg	ung//
GlcC-Acetate_pos	hofP//astC//azuC//crp//iscA//lpxA//
GlcC-Glycolate_neg	rrfA//
GlcC-Glycolate_pos	nirB//rrsA//argD//napH//uhpC//frdD//
GlrR-Pasp56_pos	lolB//
IclR-pyruvate_neg	trpD//pyrC//tdcA//ulaB//
IdnR-5-ketogluconate_neg	gutM//focB//prpB//
IdnR-5-ketogluconate_pos	araB//dppC//ilvB//mhpC//fimD//
IdnR-Idonate_neg	glpK//alkA//gltV//
IdnR-Idonate_pos	feoA//fucP//manY//glpF//epd//
IlvY-2-acetolactate_neg	ilvG_1//
IlvY-2-acetolactate_pos	yjeV//
IlvY-Alfa-acetohydroxybutirate_neg	fdnI//
IlvY-Alfa-acetohydroxybutirate_pos	lsrB//
IscR-[2Fe-2S]1+_neg	idnD//ppiA//hofM//fadE//glyA//nuoK//yeiB//cusA//melB//bdcA//livH//phnO//abgB//ulaC//ydeO//phnD//lsrR//ybjG//ugpQ//hybO//astC//paaB//priB//ptsG//aldB//sdaA//metN//rpsO//hydN//pstA//
IscR-[2Fe-2S]1+_pos	ccmD//grxD//fucU//gatB//yfdE//lysU//malX//ydhU//phoE//azuC//phnH//
LldR-L-lactate_neg	ynfH//hyaD//pheT//
LldR-L-lactate_pos	cpdB//glcA//mglC//
Lrp-Leucine_neg	torR//araD//chbA//appA//metL//nohA//dcuC//acrD//dcuD//dcuR//ynfE//ilvG_1//cusF//micF//gltT//rnlA//uidB//appB//umpH//rrlG//araA//nrdE//hisP//araB//creA//creC//sufS//csiE//rpsC//argT//paaJ//rplV//carA//paaF//tyrR//feoC//napC//norW//crp//mpl//artJ//rnlB//glcF//ccmF//lysC//tdcB//gatC//ssuC//prpB//nrdD//sucA//paaH//rbsC//manY//serA//preA//eda//dppB//mtlA//ssuA//ivbL//napH//nuoA//glnD//pdhR//baeR//bioA//phoE//hflX//rpsF//cvpA//serA//hyfR//rbsB//metC//
Lrp-Leucine_pos	sucC//aer//rimM//gltU//phoR//ubiX//hisP//tauD//rrlH//rbsR//secB//secB//stpA//folE//cyaR//phoH//ubiA//bcsC//focB//rmf//manA//puuR//rcnB//dppF//dadX//nrfC//yoaC//purM//rplB//tnaA//nikA//glmY//chbA//fhuE//waaH//
LsrR_neg	hisJ//xylA//malG//crl//gpmA//tam//hybE//rplW//fadI//
MalT-ADP-Maltotriose_pos	fucR//upp//ompT//cspE//fimI//uhpT//srlE//gltU//ssb//rimP//
MalT-Maltotriose-ATP_pos	puuD//yeiP//torD//aroH//ccmC//phnE_2//ydfN//hofO//caiF//argO//
MelR-Melibiose_neg	citF//fimE//csiD//
MelR-Melibiose_pos	idnK//aaeA//rhaS//
MetJ-S-adenosylmethionine_neg	glpB//livH//fepE//entE//gspE//napD//ppiD//ompF//artI//hycG//hybA//hyfA//ugpA//fau//stpA//
MetR-L-homocysteine_neg	betT//rbsR//
MetR-L-homocysteine_pos	metE//yjiY//napH//ychH//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	uhpT//idnK//ydbD//glnG//hypA//fldA//
MhpR-3HPP_pos	yiaJ//argA//fimA//csgA//yeaD//cydD//
MntR-Cd2+_neg	erpA//aroL//nfuA//manX//
MntR-Cd2+_pos	ilvH//
ModE-MoO42-_neg	glpX//psd//mhpE//ompF//creB//glcC//cynX//srlR//astD//fadB//dadA//yfeW//ldtC//rpsJ//lysU//
ModE-MoO42-_pos	ccmD//ispE//lpd//csgD//hofO//gapA//cra//polA//ydeA//garL//micF//astA//paaC//ytfE//caiF//phnG//rpsF//metF//mglC//yhiD//hflK//pstS//pyrD//livK//skp//tdcF//metR//iscR//ldtB//mhpC//ygiA//
NarL-Phosphorylated_neg	nuoF//paaB//gspC//crp//sbmA//hycI//nanC//nrfG//rof//fucU//feoA//uidA//nanA//puuD//focA//rbsK//dcuS//purC//lsrB//idnD//narH//artQ//trmD//rpmI//phnK//malQ//modC//xapB//hyfC//aaeX//trxA//rplC//prpD//garK//ycjF//psiE//yidQ//aceB//feoA//pgaA//ampD//malK//infB//fepE//argB//ygeA//lsrC//ccmF//xdhB//aroL//nagE//hydN//oxc//mdh//pgaB//aceK//rcnB//uof//uidA//hflK//acrD//moeB//narK//yidQ//fecE//mdh//amn//ftnA//ynfH//bioD//bacA//yrbL//rpsF//phnE_2//pitA//mipA//mpl//mhpE//sufB//sdhB//cyoA//malS//ansB//aldB//hycF//fliA//
NarL-Phosphorylated_pos	fimF//rpsS//purR//hyfE//malE//aaeX//manZ//hybC//nfuA//mgtA//nrdG//flhC//ada//puuP//trpA//bioA//uof//rpsQ//ycjX//hflC//ykgR//cytR//fdhF//nagA//oppB//sbcC//nikE//dsdC//tyrR//yeiW//phoH//tauA//gabP//alaS//hypE//purE//moaD//purM//sodA//gltW//guaA//lsrK//znuC//thrV//ulaB//phnG//
NarP-Phosphorylated_neg	miaA//gspH//cydD//paaC//ppiD//paaC//cheB//garK//nrdH//malS//lysU//dppF//creD//uxuR//creB//treB//mhpB//nrdB//bglG//gntP//gatD//dnaE//hofB//cysB//rrsC//galS//gabP//fucP//comR//ebgC//moaC//rrsB//trxA//
NarP-Phosphorylated_pos	citE//folE//tsaE//zwf//pgk//galP//pstS//sucD//dmsA//nuoN//feoA//nrfE//kbl//cysP//ackA//serA//preT//argF//hycD//purK//ilvD//nikR//hybF//metI//ldtC//metB//tdcD//idnO//livG//paaF//yaiA//galS//
NhaR-Na+_pos	fumC//yhjA//slyB//hyaA//mntS//
NikR-Cd2+_neg	ilvM//rybB//modA//metJ//prs//nrfB//
NikR-Co2+_neg	glpT//borD//infC//hdeA//uidA//glcE//
NikR-Cu2+_neg	cyoC//nrdH//amtB//hofC//rplC//ydbD//
NikR-Ni2+_neg	nlpD//yqaE//copA//astA//glpX//fnrS//
NikR-Zn2+_neg	sbcC//gltW//hflD//rnhB//metA//dmsA//
NrdR-ATP_neg	gntX//rrfE//cynX//rhaS//rpsQ//deoB//trpD//rpsI//spy//
NrdR-Zn2+_neg	mutY//metK//zwf//napG//nuoJ//nagE//glcG//tomB//dmsD//
NrdR-dATP_neg	hslJ//alaA//mpl//cas1//fimF//amtB//glcG//lolB//puuR//
NsrR-[2Fe-2S]reduced_neg	sodA//gpsA//hyfI//frdA//zraS//yfbR//pflB//hycG//lsrD//dcuD//glrR//mhpR//gntK//glmY//folE//prpE//pstB//sucD//emrY//purL//fixC//rpsF//mtlD//narG//mntH//cyoC//rrlA//phnE_2//yfdV//garK//narQ//glgA//yedX//deoB//ugpQ//ykgM//argP//ygiA//rrfB//baeS//osmY//amn//cdd//agaV//fur//agaV//hyfH//nuoE//talA//cpdB//hofO//gntU//ynfE//ivbL//mglA//rnpB//ssuD//cysN//ychO//fis//bcsA//aroH//tnaC//yfbR//hlyE//argO//mdtC//paaD//citG//prpB//gltB//hybD//fnr//
PhoB-Phosphorylated_neg	argC//glcG//gnd//flhD//malF//pitA//nirB//moaA//rrfH//fadL//abgA//cyaR//nagA//
PhoB-Phosphorylated_pos	slyB//glpD//phoP//gadB//chbC//glpA//glnK//malF//hofP//aroF//qseC//rrfH//thrV//rnhB//cysU//nuoH//crp//hybO//rrlC//motB//ysgA//dmsC//gntU//hyaE//hofN//rpsF//galM//slyB//phnL//astB//idnR//zntA//tonB//amiB//glcF//ubiX//putP//gltD//rpsO//narK//argI//csiE//hflK//hydN//pncB//rbsA//hmp//fimG//ssb//yeaD//ascB//ssrS//glcD//
PhoP-Phosphorylated_neg	map//glyA//cheB//trxA//aroF//glrR//aceA//rbsK//qseB//rpoE//ampE//
PhoP-Phosphorylated_pos	tdcB//yeiL//allE//ryhB//narJ//hyfF//tehA//xylB//rimP//phnP//melR//polA//xylR//cvpA//putP//nirB//cysM//pflB//ompT//cas2//narJ//sodB//yhcH//envY//ykgR//phnJ//dpiA//ysgA//cysJ//ebgC//hmp//ftnA//gntX//pgk//csgE//feaB//rpsO//abgB//mscM//oppA//sucC//aroL//zinT//gatB//rutC//evgS//ygaC//hofM//rrfG//
PrpR-2-methylcitrate_neg	narX//
PrpR-2-methylcitrate_pos	pgaC//fbaA//yfdX//ygaC//
PurR-Guanine_neg	phnJ//dpiA//nuoB//deoB//lacA//dkgB//tcyJ//rbsC//ycjF//ilvH//entS//srlA//tdcC//flhD//hcp//mgtL//fabZ//arfB//yaeP//tdcD//purL//sucC//nuoM//ygiA//ulaA//sucC//rrsH//torR//ugpE//mtlD//trpB//yhjA//narG//acrF//
PurR-Hypoxanthine_neg	fdnG//uxaB//yqjI//ydhT//ftnA//cueO//qseB//ulaE//csiE//cadC//rrsG//lacZ//glmY//yhjC//rrfA//dpiA//fhuC//osmY//paaH//nagB//bioC//gcvT//glpR//cyoD//gpsA//hypE//cusC//csgA//fecD//mgrB//araJ//adiC//yqaE//rpsQ//
QseB-Phosphorylated_pos	preA//trpB//pta//mscM//
RhaR-L-rhamnose_pos	yedX//araE//
RhaS-L-rhamnose_pos	sufS//narQ//moaD//
RstA-Phosphorylated_neg	ileV//gdhA//exuT//fucO//nrfE//
RstA-Phosphorylated_pos	cyaR//trxA//rplC//hycH//ompT//
SoxR-[2Fe-2S]3+ oxydized_neg	upp//
SoxR-[2Fe-2S]3+ oxydized_pos	exuT//hyfE//purA//
TorR-Phosphorylated_neg	rrlC//
TorR-Phosphorylated_pos	sbmA//ulaF//putP//ytfE//argP//livJ//preA//bioD//hycA//
TrpR-Tryptophan_neg	ilvN//patZ//fimI//marB//nikE//bioA//nikR//iraD//betA//yiaJ//purE//hyfC//
TyrR-L-tryptophan_neg	carA//narJ//leuE//idnR//lsrA//cpxA//mgtL//dmsB//metR//aroG//talA//glgX//
TyrR-L-tryptophan_pos	nuoL//yaiA//hemA//
TyrR-Phenylalanine_neg	fucO//prpD//mntH//ulaD//gltB//sodB//appX//casB//cysJ//zraR//rutE//dapD//
TyrR-Phenylalanine_pos	frdC//nanA//ulaA//
TyrR-Tyrosine_neg	nupC//entD//folA//ilvE//deoC//gspH//rrfH//actP//rrfD//dcuR//chbA//iscA//
TyrR-Tyrosine_pos	nlpD//tcyJ//mepH//
UhpA-Phosphorylated_pos	galK//
XapR-xanthosine_pos	rpsR//cynR//
XylR-Xylose_pos	purR//ybfN//grxD//fumC//fbaA//gadC//
ZntR-Cd2+_pos	tdcG//
ZntR-Hg_pos	zraS//
ZntR-Zn2+_pos	hycB//
ZraR-Phosphorylated_pos	ssrS//gspC//waaH//
Zur-Zn2+_neg	tehA//gltU//rrlA//fadB//nanA//fepD//
