#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	yebE//yaiA//
ArgR-L-arginine_pos	rpoH//fadD//hycB//rimM//chbF//
AtoC-phosphorylated_pos	kbl//oxyR//sucD//bcsA//
BaeR-Phosphorylated_pos	degP//araA//deoC//murQ//cyaR//aroF//ydhX//yidQ//
BirA-bio-5'-AMP_neg	fimE//ybiT//purH//fur//yedX//
CRP-cAMP_neg	yeiL//ccmA//xylA//rplC//aceB//lysO//argG//rrlE//ybiT//ydfN//rpsS//trxA//ppiD//cydC//araD//malX//fdnI//crr//entD//sucC//lysO//purM//pflB//marR//trg//amtB//uidC//fis//cheR//metQ//moaC//feoA//rrsB//nuoJ//livF//yhiD//hycF//yhjC//guaB//hybE//appX//iscS//tolC//bioC//znuB//gspJ//moaA//mlc//ccmA//csgA//paaF//csgG//efeU_1//gspF//mglC//hycD//fhuE//ugpE//pgpC//argE//codA//copA//metA//abgA//ykgR//argP//serC//bioB//hybE//rutG//xylH//yegH//tdcA//xylR//oppA//livM//glgB//rcnA//aaeA//hisM//nikD//chbG//rhaT//speB//znuB//cspD//gltA//pstS//nrfF//idnT//cpdB//fepD//ompA//infC//ugpQ//crp//oxyR//cpxR//rbsC//atoB//tyrB//ahpC//xdhA//narH//argH//glgA//aroF//lldP//glcE//narL//srlA//deoC//ygaC//rbsK//rrlH//ldtB//cpxR//cynR//ubiX//hyfH//cydC//galE//mdtB//ileU//phnO//hisQ//fepG//feaR//cyoB//hflC//infC//prs//nrdD//
CRP-cAMP_pos	prpD//tsgA//hflX//oppC//copA//glgX//mhpE//narL//caiA//yqaE//malG//yojI//manY//cpdB//ubiA//xylG//xapB//secB//sodB//uxuA//narQ//xylH//rutC//araA//dppC//purH//purF//dppD//preT//dmsD//hdeB//dsdA//ppdD//glpA//gspI//glmY//hofB//fadH//frdC//ilvI//malQ//moeA//gadB//kbaZ//yeaR//srlR//kbl//tehA//fes//pitB//hypB//yaeP//mhpT//hycC//ccmA//paaH//dsdA//glnB//infB//tauA//preT//aceF//astC//mtlA//bcsB//fixA//mdtA//hyfF//cstA//pdhR//ilvN//oppA//feoB//amn//creC//nrfA//ydhV//ccmA//ydhU//cusB//hofN//ygiC//znuB//dnaN//fnr//garP//cheR//sufB//fadL//galM//glpQ//melA//talA//galP//nanC//preT//cheR//gspK//rpsF//psd//entA//iraM//hfq//mdtA//lsrA//cusB//ydeP//cysI//iscR//degP//mhpE//pheT//zraR//malX//ybdN//modC//yfbR//ptsH//fau//narJ//glnB//puuB//dmsB//xapB//gutM//paaE//alkA//dusB//focB//xylR//gspH//metH//entD//acrD//fadJ//hfq//sufA//sufA//fepE//bioB//ogt//rrfB//paaA//deoD//folE//araB//preA//dctA//csiE//xylB//ptsG//ykgO//livG//hmp//alaV//hyfB//stpA//phoU//nuoJ//astE//spy//grxD//aroM//argO//nrdH//glnB//nfuA//hisQ//tdh//mdtC//hyfR//gcvT//phnK//mntH//fucR//rpmC//tcyJ//marR//amiB//rrsC//ptsG//pepT//ssuE//rrsG//csiE//lsrC//hyaF//rseC//cysC//nrfG//codB//rpoE//cstA//fes//ulaD//aceE//trpC//cysU//bglB//nrfF//hisJ//csgA//yaeP//hyaE//mglC//yhjA//ftnA//ompA//gspI//metI//entS//astA//fepD//degP//astD//gspG//araG//gntU//tonB//glgS//hyfA//gcvT//mtlD//hypE//mglA//araA//pstC//pgk//gntR//ompC//oppB//ansB//rplT//purD//xseA//bamE//entC//argT//hisQ//eda//tam//leuE//rrsG//rnhB//fadE//yjiY//carB//ileU//flhD//folA//glpD//treB//torR//rimM//lpxB//sodA//atoE//glmY//gltW//cusS//nuoL//fhuA//dps//yhhY//oxyR//narI//sucB//iscA//metI//fecR//nanK//mgtL//hyfD//fadL//dpiA//frdD//tdcA//galS//yaeQ//mcaS//paaD//rutG//frdC//hypB//tnaC//gcvT//hybE//gpsA//casE//tdcB//malP//hybO//ydhV//phnK//tfaQ//betI//gspF//hybF//pgaB//priB//ileU//napC//phoU//baeS//purD//pncB//glgC//treR//hlyE//sufE//ccmC//phoQ//hyaA//cysW//fucP//trpD//mcaS//nuoL//xseA//lysO//sucC//livM//tauC//cusC//feoC//azuC//tap//allC//mtr//cynX//cheW//hisJ//mzrA//gntK//ydiU//paaC//nirB//aceK//rbsK//argB//hha//gltF//fabZ//hybD//yfdV//glpK//gatZ//treR//lsrK//fadL//hycI//csiE//actP//ydhY//pgaC//moaA//rrsA//oppF//yfaE//astB//hdeB//deoA//glpB//malE//sxy//mhpF//lsrB//sodB//nrdF//lldP//ilvH//yeaE//ebgC//yrbL//ulaA//rrsE//ulaD//tdh//rbfA//malI//paaG//metY//metQ//metH//galP//envZ//astC//nikB//yeiL//nrdF//udp//bacA//alkB//ydiU//rpsR//lacI//hyfD//aroH//nrdH//prpD//emrY//tnaA//glcD//pnp//nuoB//caiF//glpF//cydD//bioA//ung//purN//rutA//aceE//dctA//hypC//cytR//ccmF//cas2//ydeA//ybdN//idnR//trmD//hofN//gntU//aroA//baeS//acnB//nrdD//ssuC//
ChbR-Monoacetylchitobiose-6P_neg	hisP//arcZ//ugpC//yjcH//dmsD//hyfD//
ChbR-Monoacetylchitobiose-6P_pos	moaB//rimM//fhuF//rybA//hflC//rrsH//
CpxR-Phosphorylated_neg	lpxD//ydhX//nanM//aceF//gpsA//mscM//rrlH//lsrR//aroA//aldB//xdhB//aspA//bglG//pstB//gadB//glpC//ydhW//rutG//ompT//ykgR//gspK//caiB//glyA//glcA//
CpxR-Phosphorylated_pos	moaD//hofP//agaV//narQ//dppA//fecE//fimC//glnL//torR//pyrC//mtlA//gspF//rhaA//rrlH//fbaA//pheS//fucI//epd//gltA//nanA//gspI//grcA//dapD//rybA//uhpC//metK//motA//creD//xylA//sufD//ilvG_2//gltA//hupA//lldD//hyfC//kbaZ//nrfE//dppC//tap//exbB//pstA//nrdA//sdhC//dsdX//rrlA//
CreB-Phosphorylated_neg	ccmA//hycE//fadD//
CreB-Phosphorylated_pos	manA//yhfA//cvpA//uhpB//gltT//baeS//
CueR-Ag_neg	rstB//nrdH//hflC//umpH//cysH//
CueR-Ag_pos	cydA//fdhF//
CueR-Cu+_neg	fdnI//hslJ//mutL//uraA//nagE//
CueR-Cu+_pos	bcsC//soxS//
CuerR-Au_neg	atoB//sucA//xdhC//ycjF//glyA//
CuerR-Au_pos	ygbA//arfB//
CusR-Pasp_pos	tauD//ssuB//bioA//dppC//caiD//fes//cpxR//feaR//priB//yiaJ//dmsB//stpA//
CynR-Cyanate_neg	gatY//
CynR-Cyanate_pos	rnhB//malX//tnaC//
CysB-N-acetyl-L-serine_neg	cirA//sbcC//safA//bacA//chbA//speB//narH//
CysB-N-acetyl-L-serine_pos	hflX//purK//ulaC//hycE//ydeO//dppA//cyoC//nirB//dmsB//tehA//allD//hycD//entE//gltT//hyfE//hydN//amtB//phnI//puuP//cirA//rnlA//torR//zraR//
CysB-O-acetyl-L-serine_neg	glnA//lsrD//nagC//prpB//mtr//paaZ//yecR//
CysB-O-acetyl-L-serine_pos	edd//acrD//ldtB//mcaS//ccmE//fdnG//argH//puuC//cysD//caiD//mdh//trmD//gspG//idnD//feaR//gcd//malI//araH//yaeQ//fabZ//dcuS//yjcH//purC//xylH//
DcuR-Phosphorylated_pos	xylR//mtr//ydeP//rutD//hyfI//mtlA//napG//rpsP//gabT//
DnaA-ATP_neg	dcuR//bamE//dpiB//araJ//rplB//cysM//carA//ygeA//ung//ptsH//nupC//
DnaA-ATP_pos	skp//gadC//bacA//rseC//ppiD//ebgC//xylR//
DpiA-Pasp_neg	glmY//
DpiA-Pasp_pos	glpT//gatD//raiA//fdhF//livM//yecR//nuoI//mlc//glpX//rdoA//
DsdC-D-serine_neg	mtlD//
DsdC-D-serine_pos	infB//fadJ//
EvgA-Phosphorylated_pos	phoB//ssuE//hybG//cyaR//sdhD//citX//rhaD//cusF//ascB//astE//ompT//ampE//cynX//tcyJ//xdhA//
FNR-[4Fe-4S]2+ reduced_neg	lsrB//caiT//ycjF//acrF//carA//miaA//glpC//dapB//csgA//abgT//trpD//entC//ldtB//nuoL//phoR//bglB//mdh//metA//tpx//dsdX//mhpR//dpiB//galT//nanE//yneM//phoA//fdnI//nrdH//hupB//allD//torC//cspE//caiC//mhpB//oppA//lsrG//yciW//yqjI//nrfE//csgA//rpsP//dusB//yfeW//tdcA//paaK//aroH//galS//fliA//pgaA//rbsB//abgA//ilvI//cheA//phoB//nagA//nrdF//lsrB//hofC//xylF//arcZ//lacA//fliZ//nanT//norR//norW//astD//ydiU//fucR//lsrD//hycF//nrfB//ptsG//ebgC//rrlG//nadC//chbA//lrp//tyrP//nanA//rrsH//hofO//hflC//pgaD//frdD//caiA//gabD//gntU//ilvX//xdhB//acrA//cadC//cydD//nuoH//napC//idnD//betA//bacA//dadA//nuoB//puuR//hybA//aceB//nuoF//caiF//hflK//livJ//znuC//cusA//adiC//ileU//yegR//dusB//prpR//chbR//mgrR//mscM//exbD//ihfA//aaeR//puuA//
FNR-[4Fe-4S]2+ reduced_pos	xylF//glnK//fadL//trpL//gspH//priB//ynfH//zntA//oppC//entD//malI//sxy//fixC//dcuC//frdD//metE//nmpC//lysA//dppC//narK//yaiA//gpmA//marR//xylF//fiu//yeiB//codA//yqjI//xdhC//ilvB//phnL//pstB//pdeF//rybB//acrF//flhC//paaK//mdtC//marB//glnL//appC//dmsB//dcuD//glcC//purN//fimE//dppB//fepC//hycA//ynfG//ileV//pgpC//ulaC//tar//mtlA//cusB//hyfG//puuP//creA//alaS//dcuB//yaiW//malY//rof//znuB//fecA//yibN//ubiC//yiaJ//cueO//hisM//cheA//cytR//glgP//gspK//cydD//map//amiB//flhD//nikB//nohA//trpC//fecD//gutQ//rplS//purL//rplW//gltU//pgk//yqaE//miaA//ilvG_1//metQ//rpsQ//nrfG//manY//acnA//hemA//fixC//rrlC//rcnB//metQ//phnH//atoB//pncB//phnD//fadJ//mgrB//phnI//cueO//hha//pgaA//ynfF//nlpE//aceF//gspD//agaV//rrfF//dsdX//glcD//epd//tyrR//xylR//phnL//serA//adiC//glpK//trpB//evgS//phnK//gatD//aaeR//adhE//metN//rpsC//fucI//tdh//cusS//livM//dmsB//agaW//gspM//gntT//rof//pstS//gatY//narJ//napA//nrfC//ccmH//yfdV//srlA//gatZ//prpR//fimD//hyfA//nusA//feoB//cytR//rpsI//kbaZ//aaeX//hemA//fimI//frc//feoC//nuoC//glgS//mpl//betB//rbsC//codB//livF//recF//cynT//napB//chbA//fhuA//cysA//feoC//fimF//yhiD//rrlD//fdhF//astD//ccmB//glpX//nagE//gcvT//rrsH//trxA//mhpD//rdoA//micF//ulaE//tktB//katG//purN//csgD//araD//pdeF//trpL//
FhlA-Formate_pos	mtr//speA//garK//nanK//pitA//psd//ynfG//acrF//csiD//glnG//moaB//modA//yoaC//malM//mntH//dpiB//rrlB//bglF//dppB//mdtC//fepE//rdoA//sdhB//mglC//narK//yqjI//betT//tadA//envY//rrfG//
FucR-L-fuculose-1-phosphate_pos	napH//evgS//gadC//grcA//tdcC//thrV//malP//
Fur-Fe2+_neg	yqaE//metE//yrbL//ompX//napH//ppdD//hypD//mhpR//nanM//zraR//uxaC//hyaB//ppiD//crr//ompF//livG//idnT//hflC//zraP//rpoS//agaA//bioA//paaK//cvpA//rpsS//yqaE//rpsC//nanM//rpsQ//iscS//rybB//carA//grcA//norW//efeU_1//rseB//dcuD//ivbL//ygiA//murQ//soxS//fecI//hofB//rpsI//cysN//moaC//thrV//rrfD//csgC//tehB//yfbR//hisM//ilvI//guaA//yggX//phnJ//astB//gntR//gabP//trg//manZ//cysN//fdnG//atoD//uxuA//ptsI//ilvE//atoB//qseC//mutL//idnR//caiT//frdB//rprA//hybF//sufD//hfq//srlD//rpsO//metH//ydeA//mdtB//asr//ccmA//gspM//arcZ//yidQ//ydiU//fepB//glpX//ilvH//moaB//fhuD//fimA//nupC//ydiU//fadD//nrfD//sxy//cysW//ydeO//phnM//uxuR//narQ//deoA//cpdB//cysG//exuT//nrfE//dgcZ//hybF//mdh//cynX//rprA//rrfB//purA//rplB//ydhX//aspA//feoA//phnK//cstA//trg//uxuR//
Fur-Fe2+_pos	ileT//tsr//rseC//ugpC//ynfF//gadC//nanE//hyfE//exuT//gspL//napH//cheY//glnL//fixA//yccA//malQ//amn//nusA//lsrC//srlB//argC//hybO//ftnB//rplB//nuoH//
Fur-Mn2+_neg	icd//ascF//emrK//lysO//mglA//sdhA//gapA//ogt//aroG//katE//lysP//betB//fecI//hycC//cynR//secB//hycH//gyrA//bcsB//cyoE//talA//nuoL//cheY//grxC//iscU//glpT//moaD//metJ//gltF//ybiT//katG//srlA//lsrR//glpT//idnK//pnp//tdcA//pgpC//gntT//cyoC//hybF//livM//focA//entE//ompC//fepE//ulaC//betB//ygaC//ychO//galK//cusC//fimI//fdnI//rrsG//yeiL//dppA//comR//fecI//ccmD//gspF//mepH//ycdZ//gatB//hemA//rstA//galS//baeR//xseA//nikB//thrS//phnP//lldD//fhuC//ulaD//talA//cysH//ppdD//micF//nanM//lacY//rhaR//agaW//dsdX//purH//sbcD//caiB//metF//srlD//prmC//uidA//tonB//psiE//adhE//slyB//ilvG_2//fliA//mipA//uxaB//cueO//napC//fixC//sdhD//rpsF//glpE//casB//folE//tdcC//nrdD//ynfH//rbfA//gspC//lrp//ssuB//purA//icd//abgB//ccmD//rcnA//rpoS//cynX//purH//bioD//yegR//
Fur-Mn2+_pos	ydbD//pstC//rhaA//cheW//cusF//motA//gnd//paaH//rutA//spf//rseB//gatB//entB//deoA//patZ//casA//raiA//dpiA//fhuA//ilvL//melB//prpC//hofN//nrfC//dsdA//
GlcC-Acetate_neg	ssuE//
GlcC-Acetate_pos	pgaD//fes//hycA//glnL//napG//glgC//
GlcC-Glycolate_neg	gltW//
GlcC-Glycolate_pos	yhhY//chbG//ilvG_1//carA//nfuA//rrsH//
GlrR-Pasp56_pos	tsgA//
IclR-pyruvate_neg	manZ//lacA//glnB//hyfD//
IdnR-5-ketogluconate_neg	rbfA//envZ//glgB//
IdnR-5-ketogluconate_pos	ilvC//phoH//deoB//ybiT//yebE//
IdnR-Idonate_neg	dnaN//gspH//acrA//
IdnR-Idonate_pos	pstA//ulaA//cusC//alkB//amiB//
IlvY-2-acetolactate_neg	uof//
IlvY-2-acetolactate_pos	casD//
IlvY-Alfa-acetohydroxybutirate_neg	rplP//
IlvY-Alfa-acetohydroxybutirate_pos	mhpD//
IscR-[2Fe-2S]1+_neg	uhpT//iscR//treB//ompX//yfdE//rstA//oxyR//upp//phoE//yfaE//rbsK//glcD//melB//phnK//oppA//mpl//yegH//dsdA//zwf//hycA//hypE//hypE//fucP//crp//cbl//livF//rrsG//sxy//puuD//katE//
IscR-[2Fe-2S]1+_pos	rbsC//mntP//nusA//rseA//tpx//mlc//guaA//ubiA//glpA//rpoE//atoA//
LldR-L-lactate_neg	cusC//lrp//malF//
LldR-L-lactate_pos	hybC//hycD//napA//
Lrp-Leucine_neg	bcsA//srlE//iscR//ydhV//nikA//ydeP//aceF//ptsH//bioB//uidA//aroM//fepD//soxS//moaD//yegR//phoE//paaD//kbl//tktB//aaeR//tauB//dmsB//lysA//epd//trg//rrsB//pitB//ndh//moaD//kbaZ//srlB//cas1//ada//fimG//puuR//pstC//livH//nikB//dcuC//ydhV//hypC//prpD//hyfA//hupA//pstS//garR//rplW//ygiC//paaB//nuoH//hybA//mglA//fis//hfq//nuoM//yeaR//yegH//ldtC//dsbA//sroD//ynfG//gatY//cbl//phnJ//rpsJ//cynX//glpC//nirC//uhpA//spy//glnA//priB//ccmB//grxD//phnF//
Lrp-Leucine_pos	rutF//tolC//dnaA//deoB//rrsA//dcuB//iscA//gltB//pstA//purC//ileT//glpG//mhpE//napG//mhpT//fecB//frc//katE//lacY//ilvD//gcvP//hyfC//nuoF//hycG//glpA//malT//ykgR//hemA//hflK//ysgA//iclR//yjeV//glpE//sufD//prs//
LsrR_neg	ygiB//tauD//prpR//metA//nrdE//hycI//fecA//sdaA//chbA//
MalT-ADP-Maltotriose_pos	sufB//gyrA//rplP//glpQ//metK//ilvA//ydhT//crr//purE//lysO//
MalT-Maltotriose-ATP_pos	lldR//infC//fadL//mdtC//nlpE//soxS//rrsC//alkA//dnaE//znuC//
MelR-Melibiose_neg	rrsE//fecR//paaJ//
MelR-Melibiose_pos	fhuC//hisQ//phnM//
MetJ-S-adenosylmethionine_neg	kbaZ//glpB//crl//stpA//yfeW//cysI//moaB//phoH//moaE//rhaT//livF//ulaC//chbG//ssb//fimI//
MetR-L-homocysteine_neg	casE//polA//
MetR-L-homocysteine_pos	dapD//metH//metF//tnaB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	paaG//dcuR//tnaB//ychH//rpmI//dsdX//
MhpR-3HPP_pos	galE//yibN//ndh//efeU_2//tauC//fepD//
MntR-Cd2+_neg	trg//frc//fadH//rpsQ//
MntR-Cd2+_pos	pheT//
ModE-MoO42-_neg	nrfF//trg//cbl//glcG//sbmC//ulaD//psd//ydeP//rrfE//hyfE//qseC//glnD//aspA//dcuR//adhE//
ModE-MoO42-_pos	yeiW//cysG//rrfA//yhfA//csgF//flhC//dkgB//rrlD//yedX//cyoB//hyfB//evgS//zinT//gltB//gspL//ispE//ubiX//casB//mdtC//dsdA//alaU//paaG//allC//phnL//moaC//rof//iraM//moaD//alaU//gspC//caiT//
NarL-Phosphorylated_neg	hyfB//gspO//sohB//ychO//ynfG//xylG//rpsS//rybB//pgaA//manA//yrbL//rrfA//frdC//cheR//dcuD//dcuS//aroF//iraM//flhC//hybF//serA//dsbA//gabD//tadA//rutG//grxD//ptsH//sufA//ssuB//glcE//uvrA//uhpB//cas1//uhpC//metN//gatY//fbaA//nikC//hypD//ycdZ//ssuB//hyfG//lsrR//fepD//ykgO//rrfA//metJ//glnG//araA//nagC//citF//hybD//rplW//dpiB//osmC//fecA//ynfE//lpxB//hyfA//araH//agaA//nrdH//argP//betA//iraD//rseB//appB//ilvB//tyrB//cyoC//aaeR//dadX//purH//rutD//malF//tsr//rplC//hofB//dctA//glnL//dcuS//hflX//grxD//ycjF//gspO//ldtB//
NarL-Phosphorylated_pos	lsrK//malT//cspD//copA//arfB//chbR//rpsF//uidB//mntS//nikB//rplD//ccmA//ydfH//hypD//spf//adhE//yeaR//puuB//codB//tyrP//mepH//tyrR//ulaB//nikB//fecB//fhuD//pepT//ulaF//pdhR//dcuD//aer//dmsB//znuB//zraS//rrlD//ldtC//artP//acnB//xapB//tdh//nfuA//fecD//glnK//fecR//ppiD//fdnI//
NarP-Phosphorylated_neg	lsrR//nohA//acrE//garR//rbsR//alaT//bcsB//hisP//hisQ//lpxD//rplS//ilvD//yfbR//phoH//fhuD//pstA//psd//mtlA//cynT//cynR//uidB//narJ//argI//fecB//galK//argE//motA//uhpT//ppdD//rybA//infB//metN//aldA//
NarP-Phosphorylated_pos	gspO//hisQ//ilvD//pck//ascB//mhpC//aaeB//norR//rrlC//narX//lsrD//nuoK//glgS//phoE//nagC//trpL//glpC//umpH//gpsA//narX//purD//alaA//mipA//gatZ//torD//abgB//mgtA//phoB//ilvB//lpxA//cysK//gutM//
NhaR-Na+_pos	hyfD//tnaA//ccmG//phnC//srlE//
NikR-Cd2+_neg	rybB//focA//hfq//pyrD//sdhA//carB//
NikR-Co2+_neg	bioC//ykgO//glgX//mtlA//nac//aldA//
NikR-Cu2+_neg	astA//rcnA//ydhY//rhaS//rrfA//pstA//
NikR-Ni2+_neg	cysM//yqaE//mntP//chbA//fucA//metC//
NikR-Zn2+_neg	rplS//murQ//acrB//sbcC//sucB//ygiC//
NrdR-ATP_neg	appB//purE//caiD//metQ//fdnH//glgB//ssuE//alaU//modA//
NrdR-Zn2+_neg	preA//rpmC//fepB//uhpC//phoE//ccmB//edd//citG//fimI//
NrdR-dATP_neg	frdD//mhpC//ompT//nrfD//araG//ulaD//cysM//entS//metE//
NsrR-[2Fe-2S]reduced_neg	qseB//rybB//mtlR//gspH//rdoA//aroM//aaeX//waaH//dpiA//gltD//glgX//atoD//fhuC//atoB//purN//fimG//nrfB//alaU//hflK//treR//phnC//ytfE//ycjF//nuoJ//tsgA//nrdF//ugpA//copA//oppA//mcaS//prpE//rbsR//trxA//ydfN//rpsS//emrK//trg//yhiD//nrfD//caiA//serC//xapB//dppA//rrfD//rrfA//glyA//citG//gltA//chiP//nanE//hflK//cysK//hybG//envY//nikR//emrY//mhpE//cpdB//ompF//cyoB//yaiW//puuA//argB//cusA//hybA//deoB//caiF//sbmC//alaT//yaiW//pstB//gabP//mgrR//
PhoB-Phosphorylated_neg	araG//psiF//fadI//phoE//lsrG//zwf//phnJ//tdcB//yfdV//narG//fadE//rutB//fliA//
PhoB-Phosphorylated_pos	oxyR//feoA//nusA//gcd//marR//ftnB//nagC//znuB//fecR//mglB//ycdZ//lsrA//entD//iraD//atoD//rpoS//bioA//phnG//gutM//glpB//ygaC//fepE//ydhV//astA//osmY//exbB//osmY//rpsF//ompX//rprA//aldB//yojI//argD//phoP//agaV//ycdZ//bioD//hydN//ilvL//ampE//creB//pstB//pheM//ubiA//dpiB//pgk//abgT//glpE//dadX//argH//gadC//lsrA//ysgA//
PhoP-Phosphorylated_neg	rpsC//cysU//rrfB//yeiB//gspD//gntR//ftnA//paaK//ompA//araB//mgtL//
PhoP-Phosphorylated_pos	cynT//phnG//yaiA//rpsJ//thrV//gltU//zntA//glrR//gutM//purA//pstC//yfaE//paaB//nuoE//allC//ygiC//argT//kbaZ//comR//alaT//pgaD//creD//caiB//caiC//grcA//cvpA//nlpE//lsrB//ykgM//livK//nagA//abgA//paaJ//puuP//nuoI//mgtA//xapB//tauC//gntR//astE//phnE_2//astC//idnR//asr//rpsI//phnH//cynX//ftnB//glmY//
PrpR-2-methylcitrate_neg	gadB//
PrpR-2-methylcitrate_pos	miaA//tyrP//torC//erpA//
PurR-Guanine_neg	speC//citX//yaiA//copA//mepH//modA//paaK//hybA//codB//argC//phnF//lsrA//hcp//norW//fecA//hycD//narQ//ynfE//abgT//nikD//fadA//aaeX//malY//acnB//glpD//ubiA//argB//cysK//nagA//glpB//cheR//gltU//hycC//pdhR//
PurR-Hypoxanthine_neg	ascB//fiu//cheB//modB//phnJ//mltC//trpL//envY//glpG//moeA//yeiP//cynX//nikB//ygbA//rhaS//puuR//micF//mtlA//pstS//malY//flhD//entS//oppA//rrfF//amtB//caiA//patZ//tyrP//rpsF//cydA//uhpC//argR//glyA//pgpC//
QseB-Phosphorylated_pos	hyfF//gspM//bcsZ//nuoJ//
RhaR-L-rhamnose_pos	hlyE//ygiA//
RhaS-L-rhamnose_pos	trxA//lpxD//rnpB//
RstA-Phosphorylated_neg	upp//frdD//cysK//ada//bacA//
RstA-Phosphorylated_pos	cvpA//aldA//ompF//qseB//fecB//
SoxR-[2Fe-2S]3+ oxydized_neg	hyfC//
SoxR-[2Fe-2S]3+ oxydized_pos	araA//ilvC//nanE//
TorR-Phosphorylated_neg	cra//
TorR-Phosphorylated_pos	gspO//rcnB//ascF//nuoM//uvrA//fhuA//grcA//fecA//mntH//
TrpR-Tryptophan_neg	emrK//yegH//entE//tfaQ//hybB//ugpA//moeA//modC//fliA//uraA//caiE//tauA//
TyrR-L-tryptophan_neg	sucA//garL//paaA//aroL//carB//rplS//lldD//dsdC//melA//astD//gspL//pgaD//
TyrR-L-tryptophan_pos	mntH//ompR//atoA//
TyrR-Phenylalanine_neg	grcA//yccA//mpl//abgB//cbl//ygbA//aldA//cyoD//carA//rplS//ilvH//rpoE//
TyrR-Phenylalanine_pos	napB//avtA//skp//
TyrR-Tyrosine_neg	artI//fixX//cirA//uxaA//xylR//yhfA//ybiT//manZ//ilvD//atoD//astE//srlE//
TyrR-Tyrosine_pos	yhfA//manY//gspF//
UhpA-Phosphorylated_pos	nagC//
XapR-xanthosine_pos	rmf//mntH//
XylR-Xylose_pos	sucC//gatC//rrfD//hofB//csgD//metC//
ZntR-Cd2+_pos	gspF//
ZntR-Hg_pos	rrfE//
ZntR-Zn2+_pos	murQ//
ZraR-Phosphorylated_pos	tdcF//acrF//fadI//
Zur-Zn2+_neg	rseB//glcA//hyfF//cpxA//umpH//nmpC//
