#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	pheM//puuR//
CRP-cAMP_pos	gntT//malT//phoB//fabZ//icd//dcuD//malM//fecI//idnD//hyfR//rcnB//mntH//csgE//nlpD//lldR//fixX//tonB//treR//torD//hisM//rbfA//znuC//cusR//phoH//rrsB//ppiA//fhlA//talA//citG//entB//raiA//marB//fumB//uxuB//uxaC//mdtB//fhuA//gatD//cysA//yeaD//dcuC//ahpF//ampD//nuoI//citC//rpsI//marA//rrfC//psiF//fhlA//mdtC//moeB//dcuD//entB//fhlA//nuoM//ydhT//phoB//glnB//rrsA//ulaD//gntP//napA//yjiY//rplM//mepH//rhaT//cpxA//narQ//fliZ//araH//artP//cysD//cyaR//metL//dsdX//fimH//sdhB//yhhY//sroD//metN//ugpB//glpQ//ebgC//lysO//ykgR//nrfE//araA//yfdX//gdhA//hdeB//zinT//ygiA//appX//fumB//ascF//xylB//mntH//metJ//cheW//micF//purH//citD//nikA//iraM//uxaC//rbsB//guaA//ccmC//trpE//cydD//ybfN//ydeO//aceE//phnJ//aidB//cbl//fecC//glcA//xdhA//dps//pdeF//rplD//ubiG//nuoF//moaA//betA//cusA//hfq//ileV//mglA//ygiA//casA//cytR//sdhA//fhuC//serA//lysU//dsdX//fecI//zntA//yoaG//aroA//phnD//chiP//betB//araC//glcE//purB//glpT//norV//bioB//tauD//degP//gltF//gltF//idnO//speA//chbF//miaA//entH//moaD//sdhA//mscM//gltD//ssrS//cheA//gadC//tcyJ//nrfB//alaS//gspC//ychH//cyaR//nagB//slt//dcuS//cynT//infC//raiA//envZ//lsrR//mgtA//spy//ispE//phnG//cheR//torR//cyoA//ssrS//dgcZ//betB//hmp//glcB//uxuB//norV//dsdC//frc//icd//ssuC//csiE//galK//envY//ydeM//yjeV//ssuC//betA//araF//araJ//fepA//evgS//fis//lolB//agp//ihfA//dnaA//glnL//ahpC//exbD//frc//mgtL//priB//bdcA//lsrB//malY//cas1//fur//pgaB//lysO//preT//glgB//tdcB//ilvX//rseA//rpsF//purR//ulaB//nuoN//rcnA//gabT//nrfA//nrdD//ompA//acrB//entB//acrF//rrfD//marR//bglB//amiB//mdtB//araD//oppF//glnA//ptsG//artP//bamE//oppF//hofM//casC//ychH//hypB//tsgA//ompR//cusR//gntT//exbD//glpT//treB//recF//mutY//mltC//hofO//sdaA//ydhT//rbsD//sucB//metK//malF//lacI//yhjC//dusB//nadC//sxy//cydB//nuoN//cysG//znuB//oppF//csiD//argP//metI//argH//cusS//melA//csgG//znuB//efeU_2//cpdB//uxuA//argD//deoA//fiu//hemL//astD//lacI//secB//nupC//glcG//hycH//gabP//serC//aceA//ompX//sufD//mntH//chbA//tktB//emrY//rbsC//narQ//marA//malT//sufS//dps//ydiU//hybC//ptsH//purC//pyrD//citD//hybG//purR//borD//acrA//ulaB//slyB//glpT//fldA//yegR//dppF//rplB//ilvD//gatC//phnO//fiu//purD//focB//sufC//nuoL//yojI//rhaS//metH//rrlA//gatY//purM//umpH//lysC//hyfI//fimA//treB//bdcA//dpiA//nrfD//phnE_1//paaE//xseA//tdh//frdB//gnd//sroD//cytR//napH//narK//hyfD//phnM//tam//rrlH//prfA//yfbR//nusA//rrfE//ccmG//ileT//actP//argD//nirC//metA//cysW//nikC//tdcA//nirD//puuE//actP//oppC//uidB//hyfF//yrbL//uhpC//argE//rpsO//torC//appY//gspF//sohB//tdcA//pdhR//nrdF//hisM//astE//rplI//cysI//paaJ//glgX//recF//ompX//spf//glpG//ssrS//gadB//oppA//mhpE//bdcA//fdnG//aidB//argC//entC//fimE//xdhB//
ChbR-Monoacetylchitobiose-6P_neg	ydhW//rplS//rrlA//malP//rstB//cysG//
ChbR-Monoacetylchitobiose-6P_pos	pepT//marB//feoB//araJ//cynS//ulaB//
CpxR-Phosphorylated_neg	ycdZ//ybiT//garP//priB//ugpA//hslJ//cusF//rpmC//fucA//hycA//rcnB//argA//ydhW//entC//rybA//ynfG//metL//nrdI//uidA//efeU_2//casC//mgrR//norV//dapD//
CpxR-Phosphorylated_pos	hybG//grcA//bcsC//tdcB//gspK//phnC//rrfH//xdhC//nrdE//tolC//entF//zraR//nrdD//yaiW//lpd//hlyE//citC//dnaE//ybfN//sbmA//gcd//sbcD//tdcA//uhpT//rseC//rplB//phnG//mhpC//cysP//cpdB//nuoC//osmY//trpE//dppC//hofP//metR//rcnB//polA//cusA//napA//rrlG//pgaC//rrfA//fepB//nirB//
CreB-Phosphorylated_neg	uxuR//bioB//idnO//
CreB-Phosphorylated_pos	cpdB//feoA//fepC//citC//ydhT//glcB//
CueR-Ag_neg	gntX//argT//ccmF//sbmA//ccmF//
CueR-Ag_pos	fimC//cynR//
CueR-Cu+_neg	nrfB//phoB//xdhB//stpA//hisM//
CueR-Cu+_pos	dcuC//hycD//
CuerR-Au_neg	mglC//skp//ubiG//mtr//paaJ//
CuerR-Au_pos	ilvY//rdoA//
CusR-Pasp_pos	hypC//gcvH//argC//csgF//folA//hypB//gadB//miaA//rbsK//trpE//ychH//lrp//
CynR-Cyanate_neg	nrdI//
CynR-Cyanate_pos	prs//fhuD//rrsB//
CysB-N-acetyl-L-serine_neg	srlB//dsdX//tam//aldA//acrD//rimP//nanE//
CysB-N-acetyl-L-serine_pos	aidB//ydiU//ygiB//hflC//ccmG//ugpB//gltA//tolC//argC//glpG//lysP//ynfE//cusS//hmp//gltT//artQ//ilvG_2//ccmD//casA//narK//tehB//nrdA//ubiC//
CysB-O-acetyl-L-serine_neg	sufC//nrdD//purF//fumC//nmpC//galK//fes//
CysB-O-acetyl-L-serine_pos	hybA//evgA//gspO//araG//rbsA//phoU//metE//fepA//lpxD//uidA//rrlD//tdcE//narJ//ychH//ansB//gyrA//ydhU//betI//chbR//rpsQ//melB//fdnI//hyaE//rbsR//
DcuR-Phosphorylated_pos	cusB//ebgA//nirC//zraR//murP//fecI//lolB//cydA//aer//
DnaA-ATP_neg	nuoE//tdcC//grpE//araD//yhhY//pagP//glpF//csgB//dnaA//rrsD//kbl//
DnaA-ATP_pos	uidA//aceA//tauC//fucK//nrfC//alaS//aroF//
DpiA-Pasp_neg	metB//
DpiA-Pasp_pos	dcuB//hemA//dmsD//marA//lldD//glgA//rbsB//rpsP//cysK//ybjG//
DsdC-D-serine_neg	betI//
DsdC-D-serine_pos	nuoF//marB//
EvgA-Phosphorylated_pos	glcG//crp//rhaB//ulaD//abgA//araG//leuE//pheS//hlyE//allE//acrE//sucB//prpE//torD//fucP//
FNR-[4Fe-4S]2+ reduced_neg	fhuD//ynfG//gntU//phnI//nirD//narI//entS//gltT//sucB//mhpC//gspI//pyrC//tsx//fadJ//napA//gltV//hyaA//artP//appA//zraS//tdcB//caiD//fecC//hyfH//artQ//idnT//priB//hflC//cheR//speC//aroP//narJ//pstS//gspH//cynR//ptsI//argA//rpsJ//ansB//ydhU//alkB//bcsA//phnJ//oxc//rpsR//phnL//lsrR//nlpE//ccmD//ivbL//lolB//ompW//sucB//cysJ//ydfH//rplM//fadE//ugpA//mcaS//tcyJ//paaK//dctA//cysJ//purR//livM//cysA//casA//lsrG//zntA//metJ//glcE//treR//ynfG//hofM//acnB//ilvC//qseC//phoR//cheW//cyoD//glcB//carA//grxD//mtlA//znuC//cysU//rrsC//glpT//ilvD//gltW//fhuB//yjjZ//ubiX//appX//agaV//yfaE//phnL//marR//lolB//ydbD//fadI//tauA//gabD//abgB//oppA//napD//talA//tdh//gcvP//frc//betA//rpsR//envZ//hyaB//yneM//frdC//yqaE//ydeP//fdhF//cynT//
FNR-[4Fe-4S]2+ reduced_pos	yjjZ//lysP//glnL//uidB//nuoI//ydeA//ycjX//ynfG//rrfB//nrfD//baeR//hofM//deoD//fhuA//cusC//nirB//rbsK//nrdH//paaD//purB//glgX//gntT//yfbR//fhlA//puuP//gadB//entB//gcvT//ppiA//pflB//dsdC//tnaC//xylF//yoaG//pepT//znuB//nrdE//appC//tsaE//treC//fdnG//flhD//yfaE//appC//dctA//hycF//yoaC//livJ//glpR//pnp//idnT//rrfF//abgT//speB//nuoI//pitA//bacA//rrsH//glrR//gyrA//rhaD//hofM//sdhA//eda//entE//sodB//arcZ//dcuC//nikD//dnaE//idnD//cyaA//rhaS//yoaC//priB//hdeA//nuoB//tyrB//caiE//deoD//ilvY//putP//trpE//frc//hyaF//hyfF//csgE//ubiX//fadJ//malM//galE//napC//nanE//envY//uidB//evgA//guaA//dmsC//fucK//purC//appC//csgC//fumA//uhpT//gltT//fdhF//tauC//asr//rpoS//qseC//tsx//speB//manX//ilvN//paaF//hupA//nrdG//mgtL//mglB//yhjA//rrfB//paaC//osmC//ykgR//livG//ynfK//gntT//uhpA//rrlB//ydiU//ugpA//araD//ileU//yeaR//cheW//yjjZ//evgS//pck//dmsB//sucB//xylB//nrdG//sufS//tolC//dppB//flhD//tsr//baeS//phoE//casE//narQ//carB//lldP//mhpT//mepH//yjcH//hyfE//deoA//glnD//ompW//chbG//gspE//glyA//entA//fliZ//hofN//paaH//dmsB//narG//phnN//yqjH//ccmC//lsrB//hybC//dcuA//mtr//lsrF//gyrA//trpR//aspC//stpA//rprA//tsx//yggX//glnK//citF//rhaS//ydeM//cysW//efeU_1//malM//hofP//aldA//fadH//glrR//rpsP//prpC//umpH//crl//mlc//mtlA//astE//
FhlA-Formate_pos	lldP//hycD//fdnH//rbsR//rpsF//arfB//katE//manY//thrS//tomB//glcD//tyrP//acrE//phoA//tsr//bcsB//fldA//feoC//amiB//nuoE//nikR//rdoA//paaA//fimD//znuA//gspI//sodA//dcuC//xapB//tnaB//
FucR-L-fuculose-1-phosphate_pos	narG//mgrR//fnrS//tdcG//ynfH//rseC//hcp//
Fur-Fe2+_neg	araE//nirD//gutQ//yaeP//aroH//ydeO//hycD//glpQ//gatB//cas2//ahpC//tsgA//ssuD//ilvG_1//yeiB//psiF//citG//ugpQ//napG//treB//yrbL//manA//prfA//galK//appA//sroD//gltB//mscM//fadE//dmsC//appY//agaV//abgA//bcsB//cusF//purL//tsaE//talA//yhjC//hslJ//rpsI//nuoF//gltD//gspH//argI//ilvB//csgC//chbG//rrlH//hybO//pgaB//oppD//malZ//nikR//trpD//truB//rrlH//yaeQ//aroM//nupG//yfaE//tyrP//pdhR//puuR//znuC//marR//oppD//ompC//nfuA//ulaD//ubiG//hypE//nrfG//ung//yeaR//rplP//ccmD//bioA//cydA//erpA//evgA//agaV//puuB//purE//aaeR//fhuA//gyrA//ssuD//uxuR//fldA//ilvI//mdtA//yciW//yggX//ydhT//ydiU//yedX//ykgO//betI//rrfH//ung//alaV//fadD//gltD//serA//livH//ulaD//ydeO//phoU//betI//yhhY//trmD//bioF//psiF//paaZ//pitA//qseC//xylG//narK//ansB//astE//rrsH//fhuA//hisM//
Fur-Fe2+_pos	cstA//ynfH//lysU//zinT//abgT//gutM//glpB//rstA//baeR//mlc//garR//dpiA//fimF//rrsG//aceB//hyfF//hyfJ//rplM//purE//ugpB//polA//aroL//exbD//murQ//acnA//
Fur-Mn2+_neg	fadI//fepD//lysC//lpxD//modC//gltD//gnd//idnT//motA//aaeB//map//nrdA//mhpD//sdhB//focA//ndh//malY//fepD//mhpC//sucB//nuoM//argR//mgtL//map//rseB//cheY//abgB//zraS//fumC//osmY//creB//safA//nanS//rplB//yegR//cysC//proP//narG//hmp//cheZ//yhfA//glcD//dmsC//kbaZ//betI//paaH//yhiD//malI//alaA//ccmD//priB//moaD//dppD//trpL//mltC//nirD//lolB//mhpC//agp//appB//hycF//nlpE//ppiA//priB//nrdB//rpsQ//alkA//galM//murP//araE//hofB//ydeN//zraS//gntR//rplB//citX//ydhV//ihfA//metA//araF//aroG//frdA//zraP//sucC//caiB//nuoB//sbcD//garR//gspI//torD//dppC//phnD//cusC//fepB//aroF//rplV//hyfH//sucB//purN//uhpT//gspH//cysJ//marR//tsaE//yiaJ//ilvN//puuC//hflK//lpxD//paaG//rutC//fepC//hslJ//rrsB//dkgB//ulaE//slt//ptsG//arfB//mtr//tauA//purA//cstA//trg//
Fur-Mn2+_pos	yjcH//ydhU//soxR//ynfF//oppA//napG//actP//uxuB//rcnA//ynfF//hycF//yqjI//hydN//sxy//gltV//rseC//sodA//hdeA//uvrA//atoA//caiA//uxaC//xdhA//ccmG//metF//
GlcC-Acetate_neg	aroP//
GlcC-Acetate_pos	lsrG//gntT//hyaC//cyoB//katG//cvpA//
GlcC-Glycolate_neg	ada//
GlcC-Glycolate_pos	tadA//tauC//ygeA//adiC//fecA//upp//
GlrR-Pasp56_pos	acrD//
IclR-pyruvate_neg	cdd//hdeA//ulaB//kbaZ//
IdnR-5-ketogluconate_neg	recF//mutY//nupC//
IdnR-5-ketogluconate_pos	rnpB//ppdD//hycH//lacY//gntT//
IdnR-Idonate_neg	rnhB//fimI//lsrR//
IdnR-Idonate_pos	gadC//nagA//malY//cheR//cdd//
IlvY-2-acetolactate_neg	qseB//
IlvY-2-acetolactate_pos	artI//
IlvY-Alfa-acetohydroxybutirate_neg	purR//
IlvY-Alfa-acetohydroxybutirate_pos	nrfD//
IscR-[2Fe-2S]1+_neg	prs//katG//glgA//dcuS//pgaD//xdhC//dcuA//caiT//tauA//glnL//chbG//yfiP//tnaA//rimM//rutF//cadA//alkA//ilvD//uhpC//nlpE//rpsR//arcA//hha//nanE//ygiC//rcnB//fumC//rutA//artP//focB//
IscR-[2Fe-2S]1+_pos	ilvG_1//nuoI//dnaA//yqaE//sodB//iscS//nuoA//slt//napH//tehB//malG//
LldR-L-lactate_neg	araJ//paaK//hofM//
LldR-L-lactate_pos	ulaE//prfA//cdd//
Lrp-Leucine_neg	nanA//fadD//amtB//yeiP//rimM//uidA//thrV//secB//cheY//serA//glnK//ycjX//glcF//metQ//idnO//yaiW//deoD//tyrB//ada//fepA//ygiB//yjeV//phnO//ftnA//lldP//srlB//trpB//dapD//yhiD//lacI//ubiA//aroF//modC//ygiB//rrlE//upp//mglC//fes//nikA//tdcG//srlR//chbC//dmsC//marR//malT//iraD//glpD//ilvG_1//rrsA//osmY//cysN//phoR//lsrB//fecB//phoE//ileU//recF//gatY//moaC//tehB//psd//yfdX//paaZ//araG//nrdD//ubiX//malE//edd//pnp//ydiU//fdnH//galM//znuA//hfq//betT//
Lrp-Leucine_pos	acnB//cysK//garL//fliA//phoB//cusF//idnK//cusF//rhaS//cvpA//prfA//cydC//mtlR//citC//oppF//erpA//ppiD//cusR//nupC//marR//citF//caiE//znuA//hofC//gyrA//trxA//dpiA//ivbL//dkgB//yqjA//garR//arcA//ynfF//lsrB//ychO//
LsrR_neg	paaK//cusR//malG//hypA//hybB//aspA//yegR//kbaZ//fadL//
MalT-ADP-Maltotriose_pos	zinT//prmC//epd//acs//mdtA//yedX//dcuA//glpA//argT//trpR//
MalT-Maltotriose-ATP_pos	hyfC//dkgB//alkA//nuoF//malX//rhaR//mutY//cueO//exuT//envZ//
MelR-Melibiose_neg	acrA//frdB//ydfH//
MelR-Melibiose_pos	gspE//hycI//fadJ//
MetJ-S-adenosylmethionine_neg	phnD//hyfF//cpdB//argC//ccmD//gspI//ssuA//metJ//hflK//phnO//pepT//nagA//rnhB//yiaJ//hybC//
MetR-L-homocysteine_neg	ydhV//psd//
MetR-L-homocysteine_pos	nohA//gspM//tdcD//tauC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	acnA//feoA//appA//mtlA//amtB//tolC//
MhpR-3HPP_pos	ilvH//ccmB//kbaZ//yeaR//tpx//xdhC//
MntR-Cd2+_neg	yhfA//rseA//entC//ompC//
MntR-Cd2+_pos	safA//
ModE-MoO42-_neg	yhhY//phnO//citX//pheS//uidB//metE//dctA//rutG//trmD//thrS//garK//galP//moaB//oxyR//yqjA//
ModE-MoO42-_pos	acnB//ydeJ//ydeJ//rutF//ydhV//mgrB//ulaC//torD//ugpQ//mntP//yfdE//upp//mltC//ykgO//fepB//tomB//nikA//rpsO//hpt//putP//cheW//dppC//sucC//livH//arcZ//raiA//dmsD//sbmC//uhpB//hyfJ//gadB//
NarL-Phosphorylated_neg	fadE//bcsB//pheM//pyrD//purN//lacA//cas1//cusA//pgaC//artP//marA//nanA//lpxA//sucA//rrfG//tauB//metQ//fhuF//cadC//slt//srlE//aroF//citF//lolB//prmC//garP//yfdX//glpE//dps//cadC//purK//nlpD//aroH//iscU//xdhB//epd//norW//hypC//pyrC//appA//pgaD//alaA//yccA//araA//gntP//ilvD//nuoA//fhuB//ygiA//serC//tdcF//srlB//adhE//nrfG//ybjG//aceA//arfB//prpD//psd//aroF//torR//ihfA//dcuD//malP//astE//ybfN//nagA//nanS//glcE//tdh//uhpB//sbcD//gspK//treR//katE//fixC//nikA//aer//fucI//glgP//rrlD//aceF//astA//fimC//ispE//dsdA//
NarL-Phosphorylated_pos	cspD//fhuA//appA//phoQ//uhpA//alaA//ryhB//yqaE//znuC//ilvX//gltU//edd//purN//cydD//casA//aceF//deoC//rrsH//hybO//hycI//ldtC//yidQ//ssrS//glnK//citX//xylB//aceF//tomB//ycjX//ydeN//manY//pnp//ubiX//serC//yecR//mpl//lysO//allC//raiA//uraA//osmC//yoaG//hha//tdcB//pdeF//dusB//
NarP-Phosphorylated_neg	hflX//glpK//hyaA//creA//yaeP//phoR//acs//cysI//malS//hofP//frc//rrsE//lhgO//paaE//rplS//atoD//rpmC//appY//dps//prpR//pncB//serC//hyfF//gspE//xdhA//cadA//caiA//ydhT//asr//bglB//rpsO//gcd//cysJ//
NarP-Phosphorylated_pos	gltT//guaA//yedX//serC//rdoA//hybE//ccmA//feaR//bioC//nrfB//mgrR//hybD//ccmF//sucC//yeiB//evgA//pitA//mhpF//nac//nlpE//alaA//lamB//cusC//pitB//cadC//feaR//phoQ//xapA//ugpB//gnd//rrsG//fecD//
NhaR-Na+_pos	lldD//malT//uxuA//cynS//fliA//
NikR-Cd2+_neg	metJ//hyfD//ivbL//hisP//rnhB//hflX//
NikR-Co2+_neg	nikE//acrB//nuoK//phnD//phoE//yegR//
NikR-Cu2+_neg	metK//yeiP//prpC//fhlA//ilvA//ydhX//
NikR-Ni2+_neg	pepT//rrsA//cysG//uhpA//ydbD//manZ//
NikR-Zn2+_neg	fimI//deoD//creA//narJ//amtB//pitA//
NrdR-ATP_neg	gspI//melR//grcA//azuC//metB//tauC//xdhB//lysO//ccmC//
NrdR-Zn2+_neg	yjeV//bioB//rstA//phnI//fecA//gadB//nrdF//dppA//rutG//
NrdR-dATP_neg	spy//livJ//ilvC//mhpA//astC//ydeP//alaS//yqaE//araF//
NsrR-[2Fe-2S]reduced_neg	agaW//cheY//entF//nrdH//ilvD//pstA//oppA//tpx//glgS//amtB//rseA//iraM//phoB//lacY//yjcH//sdhB//mhpE//cysI//thrV//dcuC//cadC//dnaN//hyfC//idnT//fadA//feoA//hycE//phnE_2//hslJ//bamE//sdhA//nupG//pitA//creC//cdd//dcuA//rutD//rnhB//upp//uof//amn//fadA//melB//hybE//nanM//glpA//hydN//ubiA//pgaB//fdnG//cysB//fucI//yaeQ//oppB//yjeF//yfiP//napB//fdnI//bioC//tpx//ynfG//hyaC//aceA//hyaB//tolC//mgrB//ssuC//argA//feaR//entH//xylR//manY//cheZ//
PhoB-Phosphorylated_neg	phnE_1//nrfC//ptsI//dusB//yjcH//bioB//rseC//edd//malI//gspC//trpR//tauC//ycjX//
PhoB-Phosphorylated_pos	allD//yeaR//puuC//dsdX//glyA//appX//cusA//phoQ//dnaN//trxA//hyfB//mgrB//hybB//sucC//hycC//nanC//hyaA//bcsA//kbl//pgk//fhuC//serC//hyaA//hcr//speA//lsrG//ssuA//ssb//napB//borD//hypC//garP//yojI//pstA//nagC//xseA//avtA//ihfA//hdeA//treC//zntA//araB//xdhA//ygeH//yciW//fecR//trxA//tdcA//rrsE//rrsC//leuE//creA//nikE//
PhoP-Phosphorylated_neg	bglG//hofP//tnaC//srlB//cas1//fhuC//pheM//guaA//deoD//aceB//idnD//
PhoP-Phosphorylated_pos	entF//qseC//araG//tehA//amiB//hcr//mdtD//malZ//nuoE//carB//fes//dnaA//rimP//nagA//idnK//cynT//purN//trpL//pncB//dpiB//aroG//rrlE//appC//manZ//hisQ//rnpB//rplS//moaD//phnO//iscA//dppA//phoA//ompT//tauD//artQ//hupA//hflK//tauD//phoU//nrdA//envY//cyoC//malI//znuC//sbcC//araB//fimE//hypC//cheA//
PrpR-2-methylcitrate_neg	nrdI//
PrpR-2-methylcitrate_pos	galT//ysgA//hmp//ppiA//
PurR-Guanine_neg	hupB//ackA//nusA//xylF//pstC//nrdI//mipA//betI//lysA//upp//gspK//putP//fimD//nanM//moaE//rnlA//galT//rseA//hyfR//cysU//uxuR//agp//acrE//nupG//ilvL//dcuB//malM//ygiC//cydC//gntK//metK//ilvE//gspM//tomB//
PurR-Hypoxanthine_neg	ygiA//hisJ//dgcZ//citG//trg//malG//dppD//yfaE//phnL//motA//dapD//manY//tsaE//ygiA//trpR//cysJ//purM//qseC//napB//pstS//phoQ//ydfN//tsaE//glpC//fimD//bamE//nrdI//exbB//ygiB//tnaC//gabT//narI//rpsP//purK//
QseB-Phosphorylated_pos	miaA//evgA//ccmB//metR//
RhaR-L-rhamnose_pos	rrlD//hyfI//
RhaS-L-rhamnose_pos	speC//casD//cirA//
RstA-Phosphorylated_neg	mhpE//fucO//nikE//proP//gnd//
RstA-Phosphorylated_pos	mtlR//puuR//znuB//malE//paaC//
SoxR-[2Fe-2S]3+ oxydized_neg	dnaA//
SoxR-[2Fe-2S]3+ oxydized_pos	paaG//entA//hydN//
TorR-Phosphorylated_neg	cysM//
TorR-Phosphorylated_pos	hyfD//acs//borD//rbsC//zraP//hyaD//hypF//alaS//nikB//
TrpR-Tryptophan_neg	ybdZ//asr//creA//manZ//torR//hcp//fhuB//rrfC//glgC//rrsA//trxA//exbD//
TyrR-L-tryptophan_neg	rbsK//rrlC//metY//csgE//lpxB//yaiA//malF//lysU//fnr//allE//atoB//frdB//
TyrR-L-tryptophan_pos	nrdE//cadB//gatY//
TyrR-Phenylalanine_neg	dnaA//rplB//xylH//ybiT//malT//hofO//cysM//fumB//phnE_2//dpiA//mgtA//norW//
TyrR-Phenylalanine_pos	tfaQ//ugpC//gapA//
TyrR-Tyrosine_neg	alkB//rhaR//torA//phnK//nuoI//marB//sufS//dcuA//fecB//nuoM//dpiA//idnR//
TyrR-Tyrosine_pos	dmsC//trpL//yjeF//
UhpA-Phosphorylated_pos	lacA//
XapR-xanthosine_pos	allD//lldP//
XylR-Xylose_pos	rbfA//pyrD//moeA//uhpC//prs//ccmE//
ZntR-Cd2+_pos	lacA//
ZntR-Hg_pos	bioC//
ZntR-Zn2+_pos	ada//
ZraR-Phosphorylated_pos	sodB//tyrB//ung//
Zur-Zn2+_neg	uxaC//glnK//cydD//ugpB//patZ//ycjX//
