#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rutE//narJ//
BaeR-Phosphorylated_pos	ychH//prpC//hlyE//tnaC//grxD//ampD//fabZ//ugpE//
BirA-bio-5'-AMP_neg	hmp//aroG//actP//napC//frdD//
CRP-cAMP_neg	cirA//aceF//pheM//aaeX//nikR//srlR//pdhR//phoQ//hemL//speC//cydA//argH//trpA//xylF//rof//ccmC//alaV//entB//ugpQ//pagP//ynfH//gntR//ilvH//napH//tdcF//gltU//ogt//fecB//treB//metQ//sufS//acrA//livF//gcvH//phnN//bglF//hisP//norV//rplD//tpx//fadL//nuoI//mdh//edd//argT//gpsA//napG//ydhX//ispE//lolB//gspO//appY//ygeA//gutM//aspC//srlE//cpxR//uxaC//phoP//yiaJ//manX//hisP//tcyJ//tdcG//cueO//ccmG//fimF//zinT//citX//glpA//betB//xdhC//psiE//purL//phnP//glpB//glnL//rpsR//nagC//ilvN//fepG//cysN//paaI//aaeB//livH//rpsF//fau//chbA//purC//prpC//nuoM//garL//amn//sbcD//dmsA//purN//yjeV//cysI//oxc//appA//yhiD//metA//sdhB//rimP//gadB//cynS//rstB//rrfH//mepH//hlyE//hemL//csgE//uxaB//glmY//sdhD//rnpB//bioA//hyaB//xdhC//polA//gntX//hslJ//cra//safA//metJ//uhpB//trpD//focB//hofO//mhpT//yqjI//gatC//livM//
CRP-cAMP_pos	srlR//fucR//citD//csgC//rhaB//mntP//uidB//hybD//lhgO//metL//ssuE//malX//flhD//glnB//yhiD//purM//tsaE//nanS//ydfH//moaA//pheM//ygiB//sufC//carB//fumC//hofN//metB//rrlH//appA//mgrR//gspK//hisP//fadL//chbA//moaE//pstA//baeR//hisM//hofN//trpR//araE//astD//appY//fhlA//gabT//nlpE//gatC//fadL//lpd//ilvL//lysP//borD//purK//bcsB//fadD//fucR//ybdZ//cusR//srlR//hyaE//ivbL//chiP//lysO//oppA//caiT//pnp//dmsB//ilvX//dppC//ampE//ynfG//hyfR//bioD//envY//frdB//rrfG//map//cynR//fau//rpsS//rrlD//yfbR//moaD//ftnB//phnG//zraR//tdcB//dgcZ//hfq//tyrB//glgB//lacI//sucB//yjeV//glpT//mtr//nusA//citG//fixC//ynfH//hisP//mgtL//rrsB//uxuB//aceK//rnpB//caiF//hyfE//puuP//cysC//napD//raiA//nanC//moaD//ansB//purE//sufC//yojI//rmf//lsrC//yrbL//uhpC//mgrR//fimA//nrfE//paaH//oxyR//malZ//malG//yeaR//gntX//rrsB//fadB//gspL//cadA//fepB//argC//manY//nlpD//pgpC//caiD//feaR//uof//glcC//focB//uof//mtlD//hybD//crr//rhaT//speB//gpmA//focB//ynfH//atoD//pgaA//glgS//dnaN//waaH//ada//chbC//dpiA//gadB//agp//yhfA//nrfF//nmpC//cusR//tktB//ndh//fepC//tauD//fumC//entD//dcuB//rrfE//caiD//hisM//gntU//mipA//paaG//rbsA//araF//nirC//envY//miaA//cynS//idnK//gntX//yciW//acrA//pheT//fucR//livJ//ychH//dppB//phnC//srlD//gpmA//adhE//dnaA//betI//yjeV//murQ//sdhB//glgP//udp//ydeA//nanS//abgB//sufD//argH//evgA//yqjH//acs//nanE//glcD//frc//focB//tauA//rutF//sufA//psiE//dsbA//fadH//acs//uvrA//dgcZ//nrfC//gspE//purN//trmD//creB//phnE_1//malF//hfq//nagB//deoD//fimC//lsrD//tehB//phnE_1//purA//gyrA//yaeP//napF//sdhC//iscA//mhpE//araG//oppD//mhpB//ygiA//znuA//chiP//glpG//ilvH//paaK//garK//bcsA//znuC//ompF//oxc//napH//yfaE//uhpT//fhuC//gspM//cysN//purF//bamE//paaJ//cra//glyA//tauB//ssb//asr//hyfG//asr//malE//caiA//hypC//ychO//phnM//nagA//cusR//hemL//pgaA//tehA//cusB//patZ//norR//ompX//yciW//metA//purL//ydeM//cysU//glcB//rutG//nrdE//phnP//ilvH//nohA//dapD//cydD//hcp//fadB//dnaA//puuD//cusB//xylH//rplS//comR//araJ//gspO//torR//nanE//evgS//cusC//idnR//hcp//gspE//rplI//creD//rimP//metE//argI//nrfE//entF//mipA//kbl//cyoA//csgF//rnlA//fhuC//cyoC//phoH//fabZ//gntP//chbC//fepC//lsrK//dcuB//moaC//bglF//phnG//hyfE//cysP//hdeB//gspE//nrdD//nuoJ//hofM//hyfF//alaV//envY//hofN//paaC//fepD//nuoL//idnK//exuT//iscU//nikC//yeaE//bamE//phnE_1//cheZ//ydeA//fumB//envY//gltD//metL//pepT//agaA//livJ//sufS//emrK//acs//evgS//mdtC//yeiP//guaB//nanE//rrlE//rrlD//argH//frdB//lsrB//nuoE//malS//galM//dcuA//ycjF//glcG//citF//sodA//csgG//tauD//hisJ//araE//glpA//argB//cspD//hycI//rrfC//yojI//cyaR//ileU//uxuR//phnG//glcG//csgE//narL//napF//phoA//nrdD//feoA//ebgA//srlA//creA//znuC//bhsA//ndh//ilvX//cra//phnC//caiF//
ChbR-Monoacetylchitobiose-6P_neg	zinT//astE//ccmC//bhsA//rseA//dppD//
ChbR-Monoacetylchitobiose-6P_pos	rrlD//yeaR//yeiW//nuoC//fimF//nuoE//
CpxR-Phosphorylated_neg	appA//cspE//mtlR//nfuA//ulaB//fixC//argD//tap//hupA//mhpR//cas2//ydhX//psiF//ubiC//torD//fimC//dusB//sohB//yibN//napD//cynX//purM//cheZ//ahpF//
CpxR-Phosphorylated_pos	phnO//ilvG_2//lsrG//ydeN//recF//hisM//lhgO//hybA//nrdD//ccmF//paaE//artP//fau//idnO//pdhR//trpB//glyA//fimI//adhE//garK//ilvE//ampE//cheW//nrfG//paaZ//narI//cysK//csgD//mdtA//hyfC//gltA//baeR//bcsC//tsx//iscU//paaH//mpl//entS//ilvL//slyB//ascB//gspL//pta//cyoA//pstB//
CreB-Phosphorylated_neg	pyrC//argD//malK//
CreB-Phosphorylated_pos	cydC//slt//pncB//phoQ//gspK//ycjF//
CueR-Ag_neg	frdD//puuB//napF//lpd//cpdB//
CueR-Ag_pos	hha//edd//
CueR-Cu+_neg	rnhB//mgtA//srlD//bioF//hycB//
CueR-Cu+_pos	nuoA//guaB//
CuerR-Au_neg	uxuB//caiE//thrS//uxuB//ydeN//
CuerR-Au_pos	speA//rof//
CusR-Pasp_pos	znuA//gspJ//fepE//argT//rrlB//ydhY//uxaA//tyrR//dgcZ//glpQ//deoA//miaA//
CynR-Cyanate_neg	pstB//
CynR-Cyanate_pos	idnO//glpB//moaD//
CysB-N-acetyl-L-serine_neg	psiF//dnaA//yggX//rprA//rrlH//tyrA//fdnI//
CysB-N-acetyl-L-serine_pos	appA//hybG//aspA//pdeF//rrfH//baeR//casA//cusF//aroG//glpC//pstS//pgaB//dsdX//phnM//ssuE//rpmI//ldtB//phoB//ascB//csgE//dadA//araE//cydA//
CysB-O-acetyl-L-serine_neg	puuA//astA//araG//paaZ//allC//rpsS//ycjF//
CysB-O-acetyl-L-serine_pos	rpoE//rrsC//gspG//cspD//fucO//deoB//dcuA//mhpC//gdhA//melR//nuoK//grxC//pheS//ilvM//rseC//argH//trpE//lpxA//purN//rrfF//fecE//paaI//ilvH//rutD//
DcuR-Phosphorylated_pos	allD//alkB//sufA//casC//yqjA//evgS//agp//fixB//chbF//
DnaA-ATP_neg	ilvH//metR//oppD//moaD//alaT//idnK//motA//lacI//hybA//bglG//rplV//
DnaA-ATP_pos	narL//nrfB//xdhC//lacI//yaeQ//marB//rplT//
DpiA-Pasp_neg	evgS//
DpiA-Pasp_pos	nrfC//rdoA//phnI//aldB//xdhA//cyoB//mntP//puuD//metF//ykgR//
DsdC-D-serine_neg	nrfF//
DsdC-D-serine_pos	leuE//uhpC//
EvgA-Phosphorylated_pos	hofO//gcvT//lacA//ptsI//argE//hybG//ndh//caiC//nagE//qseC//gcvP//hisP//yhjC//ugpA//yegH//
FNR-[4Fe-4S]2+ reduced_neg	napB//acrF//manY//secB//chbB//hyaE//ygiB//chbB//argA//rnlA//qseB//znuB//rbsD//purB//tam//ptsH//rrlD//casD//chbC//ilvI//glcA//tauA//cysJ//gntU//tyrP//artQ//rnhB//glnA//bhsA//uidB//borD//iraD//rrsH//metI//chbA//trg//rpsR//pgaB//nusA//rrlG//gcvT//aroM//xylR//paaD//mhpE//purH//aroM//uraA//trpL//grpE//alaA//iclR//prpD//rpsI//gltW//gcvP//yfbR//livJ//yeaR//argD//lsrF//thrV//uxuA//glgA//yaiW//rrfG//cysP//znuA//ahpF//uhpB//uidA//gadC//rimM//narG//rrfF//pstA//ybdN//alaT//cysK//malT//zraS//idnD//marR//ulaB//ydhY//fnrS//garL//creB//rnlB//cyoC//narQ//chbR//cbl//malS//caiA//xdhC//nohA//pnp//nirC//cysK//mntH//pck//sufS//sufS//bcsC//citF//iscA//hisJ//ilvG_1//metC//nuoE//hyaC//gntR//fixA//fimF//xdhC//artJ//tsx//mglC//yqaE//
FNR-[4Fe-4S]2+ reduced_pos	mgrB//rbsD//hycB//acrB//soxR//serC//dcuR//rrsA//nuoN//glpX//alaT//livJ//dppB//cysD//ydiU//pgpC//mdtC//ycjF//slyB//fnrS//yhjA//hyfB//ynfH//acrB//ldtB//paaA//hha//cysJ//mutL//putP//napA//astD//bcsZ//rplB//paaG//fadE//acrF//phnH//zraP//chiP//hybA//gadB//putP//tauD//csgA//pepT//glcC//ilvE//argE//agaV//adiC//hflX//evgA//phoP//appB//thrV//treC//rrfF//osmC//artP//lsrB//gltA//rbsK//ccmC//dcuC//evgA//qseC//fhuE//aroH//lsrC//putP//pgaA//yebE//metY//nirB//iscA//ccmE//acnB//puuA//chbR//napC//carB//pdhR//hpt//glpX//pstC//cadB//aer//agaA//slyB//tyrB//nmpC//ydeM//yjeF//aaeA//hslJ//tsx//dsdX//nrdA//moaD//putP//lpxB//gcvH//uxaB//nuoC//casC//pheT//mntH//ssuD//garK//phnE_1//paaF//mzrA//glpB//xapA//cynR//hyfH//rrlD//rpsS//fumA//mdtD//feaB//zraR//ileT//hypD//ybdZ//rplM//yidQ//yegZ//cydB//ssuE//aceE//ampD//paaB//ihfA//modC//tpx//arfB//frc//entS//polA//tyrR//bamE//ilvI//rnpB//pitB//rstA//phnF//gabD//puuB//mgtA//tnaA//cyoE//fimA//glcF//tnaA//katE//tyrP//fepB//pnp//epd//atoE//aroA//uhpC//fixX//nirB//phnG//rhaT//norV//chbG//uof//hybF//fabZ//alkB//mtlD//yggX//atoE//glcC//uxuR//gltV//citF//gspE//preA//appA//modA//sroD//fucU//serA//ilvD//dcuA//hypD//ompT//chbG//frc//ubiC//soxR//argD//cydC//melA//ynfG//ilvG_2//pstS//
FhlA-Formate_pos	cyoB//tdcB//srlE//yfbR//ygeA//aroA//fecI//envZ//psiE//zraS//mscM//cysD//ampE//argH//ccmG//rplW//phnF//ssuA//tomB//moaB//rrlD//pstB//cstA//dpiB//dkgB//hofC//fes//rnhB//rrfA//ccmH//
FucR-L-fuculose-1-phosphate_pos	ilvL//cas1//phoQ//speA//lysA//rpsR//hflX//
Fur-Fe2+_neg	sdhD//idnK//bacA//pheS//gltW//fau//pheS//rpsR//fecA//aspA//fdnG//gspL//cysA//artP//ycjF//garP//purH//nagA//moeB//phoH//ppiA//napF//cysB//acnB//aceB//yhfA//narI//ygiB//pyrD//rrfD//rrsE//ung//livF//moaD//yfdV//crl//phoQ//mgrR//ppdD//yegR//iclR//talA//mepH//cysP//sbcC//tdcF//xapB//mgtA//gdhA//dcuB//kbaZ//ilvH//folA//dcuR//metQ//yeaR//uhpC//treC//gatA//ychO//ccmG//ycjF//acrF//acnB//norR//phnC//rpsR//nirD//melR//ybdN//moeA//rutB//cyaA//ilvI//rhaT//dmsB//mhpA//fimF//tnaA//osmC//baeS//srlB//rbsC//ada//rrlG//araG//glcE//cyoD//marB//pgk//dnaA//casD//oxc//yhcH//livJ//sbmC//moaA//mhpE//aroF//yhfA//ydhT//dppF//hypB//nanS//oppC//allC//nikB//glpC//mglA//gadC//murQ//preA//ychO//cyoD//metA//glyA//waaH//sdhA//modC//envY//phnG//rrlH//rbfA//hycB//
Fur-Fe2+_pos	nrdB//ung//ccmA//tcyJ//gltT//glpB//moaE//pgaC//gltW//hupB//chbG//cysK//gnd//micF//fepC//yeiL//napC//fecE//bglG//cysC//ivbL//tomB//lysA//exbD//rbsC//
Fur-Mn2+_neg	pta//gntU//nagE//yedX//srlB//mtlR//ynfF//gpsA//fepE//glrR//hemL//adiC//uhpA//fadL//malZ//araC//yqjH//gntR//fucI//gabD//lsrR//rpsP//ryhB//gspI//phoE//grxD//mutY//yeiL//yneM//carB//ssuA//fliA//rrsG//comR//ccmH//betT//amn//mdtD//metI//casC//hflK//cyoE//fepA//dcuA//arfB//pflB//cysD//uhpT//sufD//iscS//gatB//ygeH//citF//tomB//codB//hybB//yrbL//ychO//evgS//dnaE//ilvE//deoC//mtlR//puuP//rhaS//bcsB//tdcB//emrY//fimG//phnL//ygiC//mltC//rhaB//cheR//torR//xylR//ulaB//dcuB//entC//envZ//gcvT//araD//rpmI//pdhR//garL//treB//purR//nuoM//nfuA//fhuA//mdtB//rrfG//rplB//ascB//araE//aldA//rimM//pitA//tam//mglC//gspC//yfeW//gatZ//iscS//nanM//dnaE//yfbR//ygiB//aceE//fimG//lsrK//phnG//livM//ygiB//gspI//yqjH//nagB//ihfA//tauB//glcD//ugpC//ulaE//rof//dsdX//
Fur-Mn2+_pos	narQ//sbmC//astD//caiC//yidQ//srlE//zraP//oppC//rutA//cysJ//guaB//pflB//casB//phnC//yqjI//pflB//aidB//hyfG//miaA//ygiA//xseA//caiE//hypA//hybO//betI//
GlcC-Acetate_neg	yebE//
GlcC-Acetate_pos	caiT//udp//deoC//rrsA//ychO//trpA//
GlcC-Glycolate_neg	sdhC//
GlcC-Glycolate_pos	cysD//glcG//argP//ybdN//chbB//gatZ//
GlrR-Pasp56_pos	cpdB//
IclR-pyruvate_neg	ansB//nuoJ//rpoE//arfB//
IdnR-5-ketogluconate_neg	prpR//idnT//fecR//
IdnR-5-ketogluconate_pos	sodB//glgC//glyA//cas1//csgE//
IdnR-Idonate_neg	dsdA//oppF//mntP//
IdnR-Idonate_pos	map//nanT//puuE//hisJ//hyaA//
IlvY-2-acetolactate_neg	moaA//
IlvY-2-acetolactate_pos	rrlE//
IlvY-Alfa-acetohydroxybutirate_neg	yjiY//
IlvY-Alfa-acetohydroxybutirate_pos	allC//
IscR-[2Fe-2S]1+_neg	psd//hofM//glrR//nrdF//norR//efeU_1//hycG//lpd//ssuB//guaA//phnE_1//ydeJ//baeR//cysU//hybB//creC//fur//hypE//csiE//yjjZ//murQ//ydbD//argB//cysD//gdhA//glnA//yiaJ//nupC//allC//ubiC//
IscR-[2Fe-2S]1+_pos	entA//artI//csgD//efeU_2//dcuR//bamE//pheM//hdeD//phnC//malE//ilvD//
LldR-L-lactate_neg	secB//manZ//ccmB//
LldR-L-lactate_pos	speA//gntR//tfaQ//
Lrp-Leucine_neg	yqjH//yidQ//glpA//cadA//yiaJ//aidB//hyfA//alaT//feoA//nrfC//alaU//dcuS//metB//chbC//aroG//glcG//glpG//citX//cheB//ulaB//yfbR//fucA//rhaD//xseA//ldtC//entH//rrfH//nrfD//pheS//cirA//yeiP//hslJ//metL//sufB//napD//hlyE//mepH//torR//ulaE//yhjC//yqaE//phnE_2//zinT//yeiB//tcyJ//ahpC//infB//glpC//garK//sufC//galE//ilvB//feoA//citX//hycC//aaeA//garP//caiE//mdh//ompX//dcuB//mhpA//idnO//napH//ydfN//bioD//phoA//metF//proP//phoQ//moaC//bglG//hha//bcsB//aroM//
Lrp-Leucine_pos	livK//oppD//rseB//fixX//ampD//citX//ydhU//bcsB//deoB//chiP//baeR//caiF//araG//yjeF//mhpE//upp//purH//dpiA//manX//argF//fepA//cheY//galP//emrY//xylF//hyaE//frdC//caiE//iscS//bcsZ//ygiB//guaA//cysA//yqjI//ilvI//
LsrR_neg	phnL//appB//tsx//caiT//ldtB//evgA//sufB//rrsG//cysG//
MalT-ADP-Maltotriose_pos	cysH//hypE//gatB//ugpB//metJ//napC//rpsP//melR//yeaE//garK//
MalT-Maltotriose-ATP_pos	ykgO//fecB//rnlA//metA//glpA//hfq//katG//ygaC//fhuF//yhhY//
MelR-Melibiose_neg	trxA//lsrR//hycG//
MelR-Melibiose_pos	gcd//yeaD//rutG//
MetJ-S-adenosylmethionine_neg	ahpF//guaB//purD//hfq//hisJ//malG//manX//rpmC//thrV//idnR//torC//phnG//hybO//rrfC//yjeF//
MetR-L-homocysteine_neg	fimF//srlE//
MetR-L-homocysteine_pos	slt//fimG//uxaA//glnB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	rrlE//sbcC//malK//recF//aroG//ybiT//
MhpR-3HPP_pos	mglC//cynS//codA//phnJ//sufE//fepG//
MntR-Cd2+_neg	miaA//rrlH//yidQ//ilvX//
MntR-Cd2+_pos	purA//
ModE-MoO42-_neg	rbsA//uxuR//cheR//csgE//napC//lldP//ygiB//yneM//fimF//hfq//stpA//lpxA//avtA//tam//phnH//
ModE-MoO42-_pos	metA//aroF//gspF//mglC//psiE//cheA//fhuD//agaW//ebgC//talA//ugpB//ampD//iscU//sufC//artI//yegR//nanC//acrD//deoB//speB//cyoA//rplD//araC//efeU_1//puuA//acrE//soxR//focA//hypF//phnG//torC//
NarL-Phosphorylated_neg	araH//fucI//rbsA//yeaE//yjcH//fumA//phnL//nlpD//fimE//moaB//hofM//cydC//phoP//lpxA//prpR//carB//dctA//ydbD//glnG//cydA//hslJ//rpmI//prpE//mepH//gspJ//ackA//ndh//phnC//kbl//aaeB//nikE//uvrA//ynfH//puuA//purH//caiB//appC//mhpR//ycdZ//recF//purH//adiC//hemL//rutB//xylH//rrfE//glnD//chbG//focA//mcaS//arfB//bioD//gadB//fldA//hyfH//metB//cysC//ahpC//cadB//lsrR//rrlE//dppD//hybC//malY//hofP//dnaE//hyfG//nikE//ygiB//cysH//feoC//csgC//nikD//glnA//yegR//alaU//ugpC//ydhW//acrB//putP//speC//feoB//tauA//serC//fis//nikB//
NarL-Phosphorylated_pos	hisQ//phoE//aspC//sucA//ilvL//hyfD//tdcF//ychO//nirB//caiT//secB//frdB//fadB//ppiD//yfeW//hyfC//entS//ilvB//fhuD//nusA//phoR//sroD//lpxB//ilvA//appA//mhpC//gatZ//nrdH//rrfB//hisQ//hyfD//hfq//atoD//cheA//comR//ubiG//fepA//lsrR//mhpE//yedX//citE//napC//fimH//rcnB//katE//deoA//
NarP-Phosphorylated_neg	rrfB//hyfA//acrA//rrfD//mdtC//rrlD//preA//gltV//ompC//ygeH//rimP//rbsD//tauC//dsdA//csgG//spf//ptsG//dpiA//rplD//citF//argI//mlc//nagC//ulaF//fecB//crl//paaF//gutQ//cysK//cynS//hypE//rplT//yeiL//
NarP-Phosphorylated_pos	fimI//nrdF//glnD//fhuC//ftnB//sdaA//phnN//slt//chbR//yoaC//deoB//lsrK//cysP//gcvT//yaeP//hisJ//oppB//alkA//citE//glpT//cusB//cadC//caiC//sufS//norW//fucP//paaI//entD//araJ//araH//tauD//rpsR//
NhaR-Na+_pos	phnD//glyA//gltA//cheW//ykgR//
NikR-Cd2+_neg	nuoA//puuC//yfaE//phoU//fhuE//narJ//
NikR-Co2+_neg	purF//znuC//folA//phnO//fecB//cysN//
NikR-Cu2+_neg	gntX//yrbL//rmf//manY//cysJ//gatZ//
NikR-Ni2+_neg	hycD//gabP//atoB//cueO//gcvT//emrY//
NikR-Zn2+_neg	hyaF//phnO//malT//rrsA//pagP//fepB//
NrdR-ATP_neg	gatA//dsbA//cas1//cusB//ilvN//phoQ//mntP//ompT//ompR//
NrdR-Zn2+_neg	tolC//ssuB//ompR//puuE//nrdA//malG//rpsC//ssrS//ccmA//
NrdR-dATP_neg	hofO//rutC//cusA//mgrR//ispE//yhjC//norW//rrfC//skp//
NsrR-[2Fe-2S]reduced_neg	ssuA//osmY//nrfC//lsrK//priB//waaH//phnO//tehB//rrfB//sucB//puuE//nrdF//tauB//dsbA//casA//deoD//malI//yhiD//uvrA//gntU//rnhB//livF//cynR//fecA//marA//paaD//lsrD//bcsC//dmsC//yfaE//yjcH//ydhW//hflD//rplW//hybO//malE//thrV//ndh//cspE//waaH//araG//chbB//treB//yoaC//glcD//napD//mgtL//rrsA//manA//glyA//ygeH//hmp//rhaB//yeaR//borD//narI//hyfE//malQ//tfaQ//feoB//tdcC//degP//ahpF//hisM//rnpB//cspE//gadC//mdh//evgA//zinT//pyrC//ychO//moaE//
PhoB-Phosphorylated_neg	bioD//dadA//cpxR//aceB//narG//rutA//metJ//nrfB//glnA//caiB//mntP//acrA//mdtC//
PhoB-Phosphorylated_pos	talA//ivbL//hmp//rseB//exuT//gntP//hyaC//hyaC//ulaC//cynT//sbmA//phnH//ihfA//idnK//ansB//yegZ//ndh//rplI//aldB//ilvY//glpA//polA//cysA//crp//lacZ//fur//aceB//rutA//gltW//iraD//narK//rrfG//aroG//metL//rseA//evgA//dppA//fimC//hycB//cadA//trpB//ompX//dsdC//ilvC//edd//metQ//spf//mipA//livM//lacZ//glgS//pta//sucB//
PhoP-Phosphorylated_neg	codA//ansB//xseA//ssuE//moaC//ilvX//ccmA//fecI//prpB//fumC//yneM//
PhoP-Phosphorylated_pos	exuT//rplS//prmC//glgB//actP//cytR//sucC//modA//araA//uhpA//uvrA//hofM//casD//ilvL//rbsR//glnL//aldB//lacZ//fumB//gadC//pgaA//murP//rhaR//rpoE//bglB//ldtC//dgcZ//spy//metJ//nuoM//tsaE//ygiC//pstS//ampE//citD//cusS//rplT//allD//rpsI//gatC//atoE//fadL//putP//dsdC//katE//spy//cysH//srlE//sohB//
PrpR-2-methylcitrate_neg	ulaD//
PrpR-2-methylcitrate_pos	preA//tauC//cstA//rpmI//
PurR-Guanine_neg	gspG//znuC//rbsC//cheA//tar//rpsI//aaeB//rpoH//ccmE//umpH//argD//sufD//fnrS//ulaD//mcaS//rpsP//ebgA//lacI//phoP//sbcC//torC//crr//tadA//xapA//aer//abgB//glcD//emrY//hybO//gspE//paaF//hofC//ycdZ//acrA//
PurR-Hypoxanthine_neg	entD//hofC//zinT//tadA//infB//bglB//aroF//adhE//lysC//hypA//hybA//rrlE//lpd//skp//trpE//metL//argB//melA//hcr//fadB//ydhV//hflK//ybiT//dppC//ydhX//norV//ychH//fimH//mzrA//garR//cysN//aceB//nupG//ydfH//
QseB-Phosphorylated_pos	aaeR//ubiX//glgB//ulaE//
RhaR-L-rhamnose_pos	narQ//dnaN//
RhaS-L-rhamnose_pos	caiC//ilvC//ygeH//
RstA-Phosphorylated_neg	ssuA//gadC//ompW//betA//rbfA//
RstA-Phosphorylated_pos	napB//csgD//cpxA//malY//moaE//
SoxR-[2Fe-2S]3+ oxydized_neg	ydhV//
SoxR-[2Fe-2S]3+ oxydized_pos	yegH//hisJ//mgrR//
TorR-Phosphorylated_neg	ompW//
TorR-Phosphorylated_pos	hycE//xdhA//hyfJ//tonB//hyaB//eda//tdcC//icd//dmsB//
TrpR-Tryptophan_neg	miaA//yaeP//tar//ccmA//rrsC//bcsZ//glgX//appB//crl//flhD//aaeA//argD//
TyrR-L-tryptophan_neg	comR//gadB//fepA//priB//tpx//rrsD//ydiU//dmsD//garR//torD//yhcH//pstC//
TyrR-L-tryptophan_pos	edd//arcZ//ycjF//
TyrR-Phenylalanine_neg	entE//ugpQ//yneM//gspJ//hyfJ//hemA//aroL//pck//gatA//paaA//nuoG//rutD//
TyrR-Phenylalanine_pos	rpsP//artP//entS//
TyrR-Tyrosine_neg	ssb//puuA//mntP//alaA//yegH//ybfN//trpL//pgaC//fliA//hofN//appA//rrsE//
TyrR-Tyrosine_pos	pgpC//gntR//acs//
UhpA-Phosphorylated_pos	proP//
XapR-xanthosine_pos	livK//phnE_2//
XylR-Xylose_pos	hofP//mutL//puuP//moeB//bioF//pta//
ZntR-Cd2+_pos	puuB//
ZntR-Hg_pos	rpsS//
ZntR-Zn2+_pos	trpA//
ZraR-Phosphorylated_pos	umpH//metH//oppC//
Zur-Zn2+_neg	upp//guaA//udp//frdD//purK//adhE//
