#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	bcsZ//bglG//
CRP-cAMP_pos	melR//hdeA//tktB//yeaD//dsdC//cynT//dsdA//trpB//caiE//hflX//sufD//exbB//hypA//norV//cpxA//purC//ugpA//xylG//nuoG//cheA//rpsF//gapA//yfdE//nuoE//garR//phoR//ulaE//yeaR//ansB//cvpA//phnI//gntX//bioF//tolC//rpsP//ccmE//ykgO//tnaB//lacA//garR//phnD//yhhY//srlD//rnlA//udp//metK//pck//dgcZ//astB//xapB//pgaB//malE//ygbA//murQ//yjcH//rcnA//metJ//torR//purF//nuoG//rpsI//pncB//erpA//trpD//araH//ulaF//cusC//motB//hemA//ccmD//narX//proP//nmpC//qseB//pstS//dpiB//mtlA//yhhY//dppB//hybG//hybD//phnL//cdd//hfq//mzrA//metN//fucP//gspK//cheB//gntX//efeU_1//ccmE//yegR//cstA//raiA//hycG//rplD//paaB//glnL//garK//torA//fldA//tktB//rplV//pyrD//ilvC//cspD//murP//ycdZ//dapD//cas1//feoA//garK//pitB//rrlC//yjcH//efeU_2//pitB//gltB//gltV//cyaR//garR//tadA//sbcC//rplB//paaD//baeS//argA//cysG//trpC//gabT//iscR//fadI//uidC//fimC//ilvA//tauA//nrfA//dadA//speC//adiC//nagC//norV//alkB//cynR//mtlA//dgcZ//entB//pnp//dcuR//infC//ydhT//cyoA//malI//rbsC//rimM//rplV//napG//cheA//cyaR//chbF//gatD//hycA//cbl//hyaF//cyoA//dcuR//yqjH//hycB//slyB//fecA//mltC//rutA//rrsC//ahpC//safA//hycB//rpsF//tdcC//argO//adiC//tar//ileV//citC//iclR//gltW//betB//dppB//psiF//paaG//rbsC//flhD//ompX//cusR//rrlH//araF//gspO//ccmE//moaD//lysC//ilvE//glnB//nanE//fepE//rcnB//aceE//feaB//uhpA//argT//casB//uxaB//yqjA//ccmC//ssb//rpsO//astD//ebgA//gatY//dps//rrfF//gntU//hyfF//appC//metA//rhaD//serC//malI//mtlD//ssuD//ychO//gspG//hybG//astB//paaG//tsgA//mltC//rpsS//folA//cusA//uraA//tdh//gltB//talA//creB//purC//pgaA//tolC//hypB//mhpC//malE//deoC//nrdI//cusF//ldtC//ilvB//rrfA//iscR//pitB//gnd//hcp//nirD//trg//puuC//oxc//cyaA//codB//guaB//serA//rplT//manY//paaA//purL//prpE//ugpC//fumB//rpoE//leuE//ydeP//marA//lolB//xapA//hfq//dppA//lsrC//glpD//rhaA//tnaA//astA//yccA//dppA//phnM//gabP//murQ//yidQ//fhlA//tehA//tdcE//ydhX//carB//cytR//argG//treC//ldtB//hyfE//caiB//malE//hycA//rplS//cydC//rpoS//mdh//ydfN//cyaR//lsrR//ydeJ//ykgM//rcnA//csgC//micF//tnaC//cysJ//copA//dcuC//recF//narG//sohB//hycH//hyfB//trpL//araJ//rnpB//rplI//mhpD//mzrA//rhaD//creD//mntH//exuT//nuoE//pgk//aceK//alaV//sufD//atoD//nlpD//rrsA//rbsD//fixC//ybiT//cadA//polA//nirC//gatC//araE//ydfH//gabD//fliA//cheW//fecI//xapB//puuE//preT//acrB//phnL//gutQ//malT//hyfA//fnr//hofB//fimC//nikA//bdcA//sufC//lpxD//lacI//ygiC//citC//exuT//pitB//rbsD//yqjH//hyaA//phnL//mltC//moaE//nikD//fepG//pflB//aroL//cysC//hybD//sdhD//soxR//grpE//crp//hyfF//adiC//glcF//cpdB//glgB//dmsA//ynfF//nuoA//mtlR//metJ//zraP//yciW//rplD//csgC//gltD//iclR//hfq//livF//aspC//rrlA//rpsS//miaA//csgG//yfdE//dppC//hflX//hflK//hyfR//ptsG//fis//gltW//speB//napH//pyrC//
ChbR-Monoacetylchitobiose-6P_neg	cynT//dctA//gatA//phnF//fixA//glcD//
ChbR-Monoacetylchitobiose-6P_pos	prs//nikC//creC//rrsC//dnaN//yaeP//
CpxR-Phosphorylated_neg	moaE//nrdI//gltA//ccmC//acrD//zraP//ftnA//citD//phnF//lysC//rmf//ccmC//ftnB//ybiT//atoE//purD//paaF//ccmH//iscR//prpR//ydeM//yfdE//alaS//uhpT//
CpxR-Phosphorylated_pos	cysU//ubiG//chbB//yidQ//rseA//rplI//mtr//pagP//pgaA//rutD//ilvN//galT//ubiA//rprA//hybE//entS//cysW//fliA//ysgA//alkB//rrlE//ydiU//torR//guaA//yfdV//artQ//nuoI//codB//caiE//nanK//yaiW//napH//ivbL//phnJ//hybF//pdhR//rhaD//gspM//fimE//yrbL//narH//xdhC//garR//gpsA//glyA//
CreB-Phosphorylated_neg	hlyE//moeA//yfdE//
CreB-Phosphorylated_pos	acrA//napH//gcvT//uhpB//agaW//puuP//
CueR-Ag_neg	citE//dppB//fimD//glcE//frdC//
CueR-Ag_pos	mhpT//rnpB//
CueR-Cu+_neg	cysD//gadC//fepE//entS//folA//
CueR-Cu+_pos	sucB//hyaF//
CuerR-Au_neg	mzrA//uhpT//dcuD//nlpE//ygiA//
CuerR-Au_pos	napC//gspL//
CusR-Pasp_pos	gadC//oppA//moaE//betI//cas2//lldR//nikD//acrB//fdnG//ispE//hybO//aspA//
CynR-Cyanate_neg	hycH//
CynR-Cyanate_pos	ydeO//gadB//hybG//
CysB-N-acetyl-L-serine_neg	araB//agaW//ascB//malS//rrsA//nrfG//moeA//
CysB-N-acetyl-L-serine_pos	fdnH//fldA//uidB//hyfA//gspF//hycE//fldA//dapD//rpsP//cpxR//dppD//eda//ilvN//ubiG//phnM//gutQ//dppC//fucK//chbB//mntS//uxaC//gyrA//rplV//
CysB-O-acetyl-L-serine_neg	nanS//phnP//ccmC//csgG//ynfG//ilvC//mscM//
CysB-O-acetyl-L-serine_pos	hisJ//psd//cynT//ilvY//pdeF//phoE//acrB//betA//cysG//yfiP//gspG//miaA//caiA//yeaE//ugpE//glpQ//hydN//aroA//nrfG//yegR//yhjA//atoE//bamA//malT//
DcuR-Phosphorylated_pos	ygiA//pflB//glnL//tap//hyfG//hyfH//grxC//hyfD//sbcD//
DnaA-ATP_neg	nrdH//rplI//galM//hypC//kbaZ//gyrA//pitB//galS//hdeD//rpsI//yjeF//
DnaA-ATP_pos	nrdG//xdhC//hypB//fecC//purE//ysgA//epd//
DpiA-Pasp_neg	dsdA//
DpiA-Pasp_pos	ydhU//cysC//livG//purH//gltB//aspC//yjeV//ryhB//soxR//efeU_2//
DsdC-D-serine_neg	phnH//
DsdC-D-serine_pos	hycA//bioC//
EvgA-Phosphorylated_pos	glgC//rplM//ssuA//cysK//udp//ascB//ydhU//yeiL//slyB//yaeQ//nuoE//rcnA//caiT//rrsD//torD//
FNR-[4Fe-4S]2+ reduced_neg	rbsR//nanA//napG//lysP//gutM//cheZ//atoB//ygiB//pdeF//metL//glcC//ampE//yhhY//nagA//frdD//copA//hyfR//slyB//cysD//glpT//sodA//sbcC//acrB//focA//frdA//tsx//rrlG//udp//codA//purC//appY//ubiA//sucD//fadH//ccmC//rrfH//cpxR//hofN//nuoC//uhpA//ycjX//gyrA//trpR//ydhU//bioB//pgk//ydeA//napF//atoA//ynfF//sdhD//phnM//nrfE//hybB//cusA//deoD//efeU_1//lldD//rrlE//waaH//alkB//glgP//yaiW//ykgO//ilvB//ygeH//purH//bacA//astA//fdhF//ilvX//fis//lpd//ilvN//ykgR//puuD//hypD//gntK//yqjH//phnK//xylF//napG//yhhY//efeU_1//chbG//dmsD//tdcA//fixC//ydhW//mlc//bioF//gpsA//agaV//livM//araJ//tdcF//ydfN//metR//dmsD//dcuR//purM//tdcA//sucA//rrsC//garP//alaS//nrfD//cueO//lysC//argI//acnB//glyA//acs//tsr//acrB//yggX//caiD//purK//ileU//uhpB//
FNR-[4Fe-4S]2+ reduced_pos	pstA//ompA//fecR//uvrA//cydD//yegH//metQ//fimF//hofB//ydfN//oppB//galK//creB//amn//yiaJ//bdcA//nuoI//nuoL//rimP//copA//crp//fecE//glnL//fixC//rpoH//ugpA//rrsE//ccmF//marR//tauA//glgX//tdcC//nanA//lacY//yjjZ//tdcB//ydeN//appA//casC//flhC//purD//gltD//pstC//aer//modC//lacZ//gltD//phnK//metE//glpT//astC//oppF//nrdF//osmY//glpF//fdhF//hofM//nuoC//efeU_2//glmY//gntT//hyfB//kbl//gcvT//ugpQ//fucI//cusC//bioD//norW//rrsG//narG//rrlE//hypC//ilvA//mtlR//phnK//astD//gspL//gpsA//gspC//galM//feoB//ompC//lsrA//mgtA//yoaC//nrdI//uhpT//hycF//hycI//pstB//ydhV//fixB//argI//malE//dctA//tdcA//hdeB//creC//phoU//cyaA//yedX//fimD//oppD//ampE//yrbL//crr//comR//idnR//sbcD//abgT//araA//xdhC//sbcD//pitA//fadB//rutD//rpoE//nirB//yeaD//lamB//fixC//gcvP//yrbL//cyoE//pepT//secB//acs//caiE//nanC//dps//ldtC//dcuB//caiD//cysM//sbcD//fhlA//puuR//casE//artI//moaC//hyfH//puuE//cydC//fucP//ygbA//zwf//entD//malT//sucB//gspI//yfeW//ascB//araH//sbmC//mdtB//hupB//serA//rrfC//fau//yecR//ybfN//dppF//rrfE//crl//pyrC//gspG//baeR//katE//tolC//mdtB//hycG//cpxA//glgA//malG//sbcC//rrlG//rrlC//tehB//rrlA//hyaF//fepA//citG//trpC//nupC//dgcZ//rrsB//patZ//ygaC//srlR//cheW//fucA//dppD//yeaR//moaB//talA//rbsC//chbC//ybdN//dcuA//ilvN//hycB//
FhlA-Formate_pos	pheT//purN//mlc//nrfF//talA//torD//rrsG//comR//tap//motB//agaV//garK//nrdI//dsdA//araC//idnD//dsdC//fepC//pdhR//gspL//hflD//sbcC//phnM//rdoA//ilvX//mepH//citE//pgpC//pgaC//speB//
FucR-L-fuculose-1-phosphate_pos	ybfN//ynfF//rplT//abgT//rseA//rrsC//yeiL//
Fur-Fe2+_neg	aceA//nrdD//ychO//chbA//flhC//yggX//rutA//dppA//glcB//ugpC//yebE//atoE//tnaA//feoA//aspA//zraP//mhpB//eda//zraS//ascF//hyaB//malG//gntT//metL//dpiA//argA//feaB//acnA//fhuD//sucA//fumA//cysB//rrsG//ssuE//ldtB//glcE//phnK//fucK//moaD//nuoL//yecR//rplD//bioB//ahpF//srlA//fhuA//caiF//rrlD//hcr//citX//ccmE//cra//tauC//fimG//nlpD//creC//metR//hfq//paaC//efeU_2//icd//fixX//fliZ//gltF//hyfC//ompC//appC//bamE//astB//appA//ccmH//lldP//osmC//nuoC//hyfD//casA//ada//dcuC//malS//hyfI//araJ//crl//gltU//casB//fimD//bhsA//srlE//rnlB//melA//exbD//rrsB//rplB//creA//zinT//dppB//sbcD//psiF//ykgR//pgk//lpxB//dapB//fimG//casC//yhiD//metH//glnD//metL//spf//rhaS//aceB//psd//ychH//dsdX//entD//dsbA//glcA//gadC//acrD//entB//rrfF//marB//fadJ//uxuB//dcuB//
Fur-Fe2+_pos	sucD//bioB//moaA//xseA//uxuA//pheS//ilvB//phoB//glnL//narK//yeaE//gltU//csgB//gcd//zraR//narI//artI//fnr//uidA//purN//aceE//phnM//hyfG//phnH//prpC//
Fur-Mn2+_neg	zntA//rpsI//adhE//yfdX//csiE//fucP//mtlD//kbl//nrdF//cysA//agp//glnA//lacY//cspE//cysC//fepD//citD//hslJ//patZ//fadJ//narK//grxC//rpsC//yjeF//bioB//yhiD//bcsA//citE//exuT//purL//rbsB//mdtC//hslJ//aceK//fimH//envZ//ompW//nuoJ//cspD//puuP//crr//acnA//casD//ychO//uvrA//ccmF//lysC//ilvH//casA//yqjH//rutF//srlR//adhE//gapA//edd//ulaB//aldA//oppD//ilvN//ssuE//ybdZ//puuP//nuoC//bcsA//pitA//gatC//galM//hdeB//ompX//serC//mdtC//narG//patZ//hmp//rplB//exbD//idnT//ytfE//cheA//hybA//ahpF//hypD//ysgA//tonB//guaB//cusC//narQ//gdhA//ompW//hisQ//gspM//paaC//zntA//caiC//rhaR//tpx//nrfD//hcp//glpA//napG//moaB//aer//sodA//hdeB//cusB//metQ//hyfI//nlpD//rpsQ//mlc//rutE//yjjZ//atoA//dcuR//paaF//gspG//gntR//phoB//garP//glrR//phoB//argT//ccmE//alaV//
Fur-Mn2+_pos	znuB//yqjA//metE//ampD//tyrB//gspO//rseA//moaD//cysW//exbD//gltV//ugpA//oppC//casB//ftnA//argC//acrB//rybB//gabT//ompF//envZ//treB//fadB//deoD//purE//
GlcC-Acetate_neg	cdd//
GlcC-Acetate_pos	fixB//ilvH//araD//aaeB//fhlA//cysB//
GlcC-Glycolate_neg	udp//
GlcC-Glycolate_pos	aspA//argP//nanT//lacY//ydeO//melA//
GlrR-Pasp56_pos	ugpQ//
IclR-pyruvate_neg	nuoG//rutB//gadB//glpB//
IdnR-5-ketogluconate_neg	phnC//gpmA//ebgA//
IdnR-5-ketogluconate_pos	fixB//entS//slt//ykgR//cpxA//
IdnR-Idonate_neg	uxuB//nrfB//gatC//
IdnR-Idonate_pos	kbaZ//ivbL//mntH//mutL//sufS//
IlvY-2-acetolactate_neg	ygeH//
IlvY-2-acetolactate_pos	acrF//
IlvY-Alfa-acetohydroxybutirate_neg	ynfF//
IlvY-Alfa-acetohydroxybutirate_pos	malZ//
IscR-[2Fe-2S]1+_neg	dnaA//garL//fdnG//gntK//yjeF//sufS//norR//acnA//yhjC//melA//ybiT//gatY//astE//araB//exuT//uhpB//ugpC//allE//xseA//phnM//ydiU//tfaQ//argA//acrA//proP//yhjA//lysO//psd//hybF//yhjC//
IscR-[2Fe-2S]1+_pos	bglF//fucU//phnM//fecC//fadA//glnG//yhcH//grxC//trpB//manX//purR//
LldR-L-lactate_neg	nlpE//patZ//rpoE//
LldR-L-lactate_pos	metK//galT//zwf//
Lrp-Leucine_neg	nagA//cynS//ccmA//leuE//narQ//agaA//ansB//appX//sucD//caiB//ubiC//entC//yhjC//paaE//yjeV//cyoE//phnG//cusF//aceF//dcuB//ykgO//lsrD//polA//rrsA//rrfC//csgF//hupB//galT//mzrA//hpt//ccmA//paaA//hypB//allE//rimP//tsr//mdtA//mtlR//cysW//deoA//znuC//nanC//uxaA//pheM//rplS//rplD//osmY//pdhR//bglG//fadI//nrfD//rpsR//cynT//astD//chbG//pdeF//napH//cadA//sufA//ilvC//phoU//aldA//rbsB//hisP//glcC//gatY//csiD//gspO//napA//ydiU//fixA//preT//prmC//puuA//nikR//
Lrp-Leucine_pos	fdnG//purM//artI//nanK//casD//cadC//uof//dmsC//hyaE//fecC//hisM//araE//acrB//srlE//hupA//rrlH//ycdZ//rimP//nmpC//dcuR//ilvC//fis//feoC//fdhF//dgcZ//metI//alaU//znuC//envY//dadX//amn//yjeV//yrbL//nfuA//rplD//
LsrR_neg	csgE//nanS//sufC//oxyR//rhaB//purA//yebE//ppiD//trpD//
MalT-ADP-Maltotriose_pos	zraP//nrdG//aroL//rrfC//ppdD//fecB//hyfD//rprA//purB//ompX//
MalT-Maltotriose-ATP_pos	amiB//hypA//araG//ybdZ//ampD//lysA//bioA//sroD//phnG//glpK//
MelR-Melibiose_neg	rof//alkA//metB//
MelR-Melibiose_pos	narX//cydB//ynfE//
MetJ-S-adenosylmethionine_neg	polA//mltC//mtr//ilvX//rplT//gadB//dmsD//hybO//dnaN//lpd//argP//paaI//ansB//ydfH//lysP//
MetR-L-homocysteine_neg	cusB//paaK//
MetR-L-homocysteine_pos	fepB//tdcB//yeaD//polA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	ileV//rrlG//aaeX//glcE//ychH//lacA//
MhpR-3HPP_pos	baeR//hyfD//oxc//sbmC//argH//rnlB//
MntR-Cd2+_neg	yfdX//fepD//cusR//tdh//
MntR-Cd2+_pos	frdC//
ModE-MoO42-_neg	hcp//dmsA//ydeA//ilvB//paaF//cheR//ampE//fadA//gcvP//cadB//nrdF//galT//rpsO//aidB//nuoB//
ModE-MoO42-_pos	gatA//fdnG//gspI//ydhU//cheZ//acnA//phnM//nrdG//phnK//nrfG//rhaA//entD//nuoB//garP//hybE//pyrC//hyaC//fliZ//soxS//norV//gcvT//rpsS//cynS//azuC//gltT//fdnH//araF//lacY//citG//yccA//ykgO//
NarL-Phosphorylated_neg	malY//argP//malY//amtB//guaA//malZ//pflB//hfq//cyaR//hyfH//yfdE//napA//flhD//grpE//cydD//rstA//idnD//preA//flhC//micF//tap//yeiP//galK//srlR//caiF//cheB//ccmH//mglA//gcvT//cheA//uidC//nuoI//dcuD//qseB//lldD//yjeF//ydfN//yfiP//hyfB//mhpE//ybdZ//lrp//alaS//katG//cspD//fucP//phnH//ilvA//hybA//speC//csgD//glgB//dsdA//glcD//glcB//lysC//nlpD//phoQ//metB//yeaR//uidA//cvpA//ompX//cra//yegZ//galP//entA//hupB//astD//csgB//ubiA//lolB//treB//yaiA//dcuR//uidA//yccA//pyrC//ulaC//cytR//creA//nuoF//casC//cyoA//ompC//fbaA//
NarL-Phosphorylated_pos	thrS//xdhB//ompR//znuB//appB//gntP//chbR//bioF//rplS//yqaE//caiD//puuD//pitA//yibN//moaC//rrfA//artI//phoB//xapB//metI//ydeO//ydeP//pheT//cheY//rplW//hycG//fhuA//allC//argH//rpoS//rplW//aroP//trpC//lldR//livK//ydeO//tam//hypD//fepB//paaD//prpC//bioF//cynX//tdh//udp//glcG//
NarP-Phosphorylated_neg	rpsF//glnB//prmC//metY//purR//garL//marR//adiC//nupC//pdhR//aldA//dmsB//gltV//ynfH//citC//cydA//ybfN//prs//arcZ//dcuA//bamA//astC//cyaA//ilvH//xapA//glgX//iscU//norW//atoE//artQ//ubiA//cyoA//rhaB//
NarP-Phosphorylated_pos	hflX//fixA//qseB//sdhB//rhaR//yoaG//paaI//betI//bcsB//cusB//puuC//nikA//cheZ//nanS//lysC//hflC//phnK//aspA//ychO//fhuB//galS//metF//treC//mhpR//ykgM//waaH//malK//spy//tdh//aer//soxR//psiF//
NhaR-Na+_pos	mtlA//psd//phoA//cueO//cynX//
NikR-Cd2+_neg	ascF//sdhD//gspK//yciW//phnC//fucK//
NikR-Co2+_neg	rmf//cusB//idnT//cyaR//dsdA//gspE//
NikR-Cu2+_neg	pyrC//gntU//cysP//sufB//uhpA//phnK//
NikR-Ni2+_neg	srlB//feoC//fecI//ogt//crr//glrR//
NikR-Zn2+_neg	nupC//galS//nanT//xylA//ivbL//araH//
NrdR-ATP_neg	bioB//rbsA//acrD//xdhA//hofN//cspE//actP//purK//fimH//
NrdR-Zn2+_neg	ynfK//entC//cyoE//codA//idnD//citC//dadX//yrbL//phoA//
NrdR-dATP_neg	ychH//metR//gutM//aroM//lpxD//pagP//nanS//purH//nmpC//
NsrR-[2Fe-2S]reduced_neg	cas1//yggX//nirC//artJ//hisP//fhuA//pdhR//araA//nikR//modA//metB//hyaD//hyaA//ilvI//prpD//nikR//tehA//kbaZ//aroP//ccmB//ascB//flhD//phoQ//csgF//flhC//chbC//argD//nuoA//tdcC//csgE//cynT//dmsA//ubiX//cdd//marR//nuoN//cpxA//ptsG//ubiA//hflK//ilvM//feoA//glcB//fbaA//pncB//malM//efeU_2//modA//hycB//comR//mepH//nrdH//tauD//narH//ulaE//qseB//aldB//cyaR//amtB//yjeF//tdcB//nagB//ulaA//pdeF//fimH//gntT//ilvL//hpt//trpC//iscA//cspE//dcuA//phoH//
PhoB-Phosphorylated_neg	rrlE//yjiY//gltT//speB//ydeP//priB//nrfG//rpsR//metC//csgA//torA//lpxA//ygaC//
PhoB-Phosphorylated_pos	tsr//hofM//glpT//fau//rrsH//rbsR//napG//yhcH//gcvH//artQ//melA//tauC//artQ//pnp//pgaD//nuoI//oxyR//srlA//argT//zinT//manZ//phnE_1//fhuB//gltF//chbC//napG//oppF//puuE//xylF//hypD//gspJ//dapB//fepG//artM//yojI//focA//moaB//lsrK//csgC//uxuA//fiu//nupC//phnO//norW//yqjA//mhpR//hlyE//envY//hemL//ccmG//hypA//lpxD//osmC//
PhoP-Phosphorylated_neg	yhfA//argT//psiF//pdhR//narX//fhuE//glpC//bglB//mepH//rplP//cra//
PhoP-Phosphorylated_pos	purK//ssuD//casD//narL//ada//ompX//fhuC//yhcH//ugpA//hyfC//arfB//argR//hflK//napB//araC//fimE//abgB//gspF//aroL//fimE//cspE//cdd//crl//frc//ychO//tsr//cheA//ydeM//nikR//umpH//tauA//appY//yeaD//rutA//torA//tehA//napC//baeS//casC//rrlH//tyrB//ompC//ybfN//acrB//exbB//galS//fimC//rhaS//ydfN//
PrpR-2-methylcitrate_neg	gltA//
PrpR-2-methylcitrate_pos	spy//serC//creD//ssuC//
PurR-Guanine_neg	dmsD//rnpB//mtlA//mglB//ykgO//truB//treB//ilvE//rpsQ//nuoM//lldD//sucC//rutB//astC//ascF//creA//feaR//astA//uidB//norV//fecD//dmsA//rpsR//ompC//purL//tar//murP//bioF//appB//gspE//agaV//aroH//focB//dcuD//
PurR-Hypoxanthine_neg	hupA//hofB//livJ//rpmC//crp//lacZ//ydfN//focB//arfB//cheZ//asr//ytfE//yeaD//dmsB//arcZ//yqaE//atoA//xdhB//bhsA//glcB//marR//safA//mgrR//zntA//purD//gltV//argT//argT//oxc//yfdV//trpA//ygiA//iscU//yhhY//
QseB-Phosphorylated_pos	yhiD//ulaE//rpsF//xylG//
RhaR-L-rhamnose_pos	ydhV//garR//
RhaS-L-rhamnose_pos	tsaE//rhaD//fecA//
RstA-Phosphorylated_neg	cheB//gspD//glpR//ubiA//tauB//
RstA-Phosphorylated_pos	fur//codA//nlpD//phnE_1//ssb//
SoxR-[2Fe-2S]3+ oxydized_neg	gatC//
SoxR-[2Fe-2S]3+ oxydized_pos	aceK//nrdG//puuC//
TorR-Phosphorylated_neg	garK//
TorR-Phosphorylated_pos	ispE//fecB//glpF//ygeA//malI//ispE//uhpA//nuoK//rseB//
TrpR-Tryptophan_neg	nikR//paaB//fur//cynR//ilvC//sxy//rnpB//aldA//hpt//fumC//ynfH//artM//
TyrR-L-tryptophan_neg	rnlB//hyaA//cysA//soxS//ygiB//aroG//ssuE//nanS//fadA//rbsC//dmsD//aceE//
TyrR-L-tryptophan_pos	trmD//chbA//prpD//
TyrR-Phenylalanine_neg	ilvG_2//frdA//fucP//ydeN//ompR//ptsI//csgE//pta//tadA//tonB//caiE//rcnB//
TyrR-Phenylalanine_pos	yeaD//cvpA//yqjH//
TyrR-Tyrosine_neg	ilvN//rhaS//infB//aldB//yeaD//frdD//yqjI//napG//ssrS//ung//glmY//rrfB//
TyrR-Tyrosine_pos	mhpF//marR//oxyR//
UhpA-Phosphorylated_pos	aceF//
XapR-xanthosine_pos	tauC//ugpB//
XylR-Xylose_pos	exbD//puuD//tdcB//ycdZ//xseA//dcuC//
ZntR-Cd2+_pos	ihfA//
ZntR-Hg_pos	atoB//
ZntR-Zn2+_pos	sufD//
ZraR-Phosphorylated_pos	trpC//yggX//hycE//
Zur-Zn2+_neg	rplD//gabP//feaR//treC//nagB//ydhY//
