#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	prfA//glpR//
CRP-cAMP_pos	yiaJ//casD//ahpC//hmp//tsr//phoP//nuoE//trpC//ydeM//epd//nrdD//trpD//yrbL//hycA//dmsA//yjeF//xylH//ilvE//chbA//moaE//fimI//hycB//cysD//hflX//nac//nuoF//cydC//ebgC//nirD//arcA//zraR//hflC//mntH//aroL//tar//lsrA//acrF//cysI//chbG//lamB//bglB//gntU//dusB//rrfA//puuE//yqjA//nuoG//aldA//ubiC//nuoF//rimM//aceF//nupC//aidB//mhpE//yegH//rbsB//lsrG//pstC//zinT//thrS//arcA//fepC//caiC//sbmC//argO//fdnI//fecB//ulaC//rdoA//fadJ//araG//hyaE//gatC//pstC//mdtA//hflX//napB//dsdC//rutA//uvrA//fhuA//carB//dkgB//feaB//speA//pstB//tsaE//caiD//gpmA//rrsG//cspE//iscR//nuoC//aroH//sohB//livJ//rpmI//baeR//caiE//nac//fnrS//yfeW//stpA//phnE_2//puuR//psiE//metJ//trpD//entS//folA//preT//dppB//pgpC//yfeW//uidC//nuoH//caiA//ydeN//hofB//rutA//grpE//gdhA//cbl//raiA//rrsG//mtlR//rrsD//dmsC//gspH//malI//metY//moaE//araG//ldtC//alaT//ccmB//hyfE//ivbL//ogt//fimD//hslJ//hyfC//tpx//entF//actP//fumC//bamE//caiB//carA//fimI//hyfE//fadE//aceK//dcuA//ycdZ//pstC//lpxB//argF//fliA//lysO//thrS//araH//agaV//glcG//alkB//casA//xylF//fadB//cpxR//lsrC//ileV//glpX//acrF//purA//exbB//motA//cstA//azuC//prfA//fepA//nrdG//puuA//ygeA//mutL//metL//nuoI//paaH//hofM//tsgA//metY//uidC//speC//gntR//grxD//hupA//pncB//glgX//csgD//torR//ydhV//metQ//dsdA//mipA//moaD//purC//tsr//emrY//zraS//sucA//cysN//phnF//yedX//dsdX//ssuA//dppB//modA//infC//phnN//motB//efeU_1//micF//norV//creC//srlA//gltD//flhD//rpsO//srlE//ptsG//rstA//polA//pstA//rhaR//glpG//hyfC//glpK//marA//livH//tyrB//glcG//hyaE//gyrA//focB//gspL//gapA//bamA//purE//lldD//yegZ//fepD//rcnA//atoB//yfiP//csgD//hflK//hisP//feoC//rutC//rbsC//dcuD//atoD//glcF//ynfH//paaK//ompF//glnD//galE//araG//bioD//narX//cysM//pck//frdA//ilvI//fadL//ygiA//nrfE//icd//fhuB//entE//uxuR//deoC//thrV//mdtA//ugpQ//osmC//cueO//yojI//narQ//mdtB//narG//hyfE//ilvA//entF//artQ//phnC//ulaD//manX//gspH//soxR//ihfA//ldtB//araD//yedX//srlD//flhD//fecE//glnK//trpD//efeU_1//chbA//emrY//puuP//betT//metH//caiB//rcnB//eda//dctA//znuC//torR//fucA//metN//ansB//ilvE//hyfE//livG//glpD//rutF//malG//lysA//acrF//gatD//napC//iscU//ilvG_1//purK//livH//nagC//tdcB//purN//carA//astB//hycC//tam//pflB//metR//ompR//malI//acnA//allE//glcA//fhuC//phnE_2//aroL//cadB//hyfA//lolB//purK//hupB//mtr//lldR//acrF//speC//rutA//gntU//csiD//phoH//nuoF//thrS//rrlG//uidA//ahpF//rutE//atoD//hdeB//glgB//gspE//ndh//marA//gspE//ydeO//norR//astE//purM//argB//bhsA//nanS//lacI//cytR//caiC//cynX//fecI//rhaD//cspD//ompA//acrA//dkgB//uvrA//csgB//cstA//cheW//hyfR//alaA//rpsS//glgX//raiA//metQ//argP//rof//hybA//fecB//ompT//rutE//sroD//phnD//gabD//narX//cysI//garR//rrsA//betB//aldA//sbmA//lysU//moeB//nanE//fecE//
ChbR-Monoacetylchitobiose-6P_neg	ulaA//chbB//fucI//yjcH//tam//nanC//
ChbR-Monoacetylchitobiose-6P_pos	nupG//allE//phnE_1//puuB//phnC//pgaB//
CpxR-Phosphorylated_neg	rutA//entD//nagA//cynS//yedX//sdhC//ygiB//nrfC//sufB//cas2//rpoH//ynfG//cdd//uhpT//crp//garP//cueO//rpoH//gntP//rrsB//ssuD//glpB//uidA//lsrC//
CpxR-Phosphorylated_pos	hcp//rseA//pgaB//acrB//focA//zraP//tdcG//hycE//phnK//lsrF//lysP//argC//pitB//hybC//rpoH//idnK//xylA//trpE//murQ//glgP//cynS//lldR//envZ//frc//acrA//evgA//tdcB//alaV//melB//hybA//ubiX//ydhW//gspI//rhaT//fucU//phnG//cusC//cheW//astB//fhuA//ppiD//fecA//paaA//phoR//ydeA//
CreB-Phosphorylated_neg	qseC//ulaB//argT//
CreB-Phosphorylated_pos	leuE//ilvE//sbmA//zraS//agp//ycdZ//
CueR-Ag_neg	galS//gadC//sbcD//citG//glcE//
CueR-Ag_pos	atoA//citF//
CueR-Cu+_neg	ybiT//hyfA//marA//norV//map//
CueR-Cu+_pos	hyaA//chbF//
CuerR-Au_neg	sufC//casB//actP//gdhA//iscU//
CuerR-Au_pos	rrsG//rrsB//
CusR-Pasp_pos	tdcF//hyaA//fabZ//zraP//narG//ompT//ilvD//nadC//glnD//narI//nuoB//rplB//
CynR-Cyanate_neg	gntU//
CynR-Cyanate_pos	fdnH//glpF//sufC//
CysB-N-acetyl-L-serine_neg	nanS//prs//fecR//purL//zntA//ccmB//acrF//
CysB-N-acetyl-L-serine_pos	yhjC//mgtL//gcvP//rstA//rrlB//dppC//rutD//araA//aaeR//astB//malP//rutA//eda//hflC//nrfA//hofN//treC//oppD//avtA//argC//hyfH//argC//cysJ//
CysB-O-acetyl-L-serine_neg	uhpT//treB//argC//ccmD//tehB//aroP//avtA//
CysB-O-acetyl-L-serine_pos	crl//argG//chbR//argO//araC//dctA//rrfB//ampD//pnp//casD//ugpQ//mdtA//udp//caiT//grxC//trpL//pnp//marB//ilvA//napC//puuP//garK//pepT//fecE//
DcuR-Phosphorylated_pos	arcA//fis//gatA//infB//mhpT//fucR//glcC//deoB//frdC//
DnaA-ATP_neg	nac//fdnG//ydfH//zraR//degP//pdeF//rpoH//aroP//fur//sufB//rcnA//
DnaA-ATP_pos	cusS//arcZ//xylF//ydhY//nikE//cyoD//gabD//
DpiA-Pasp_neg	udp//
DpiA-Pasp_pos	yjeV//ytfE//casC//qseC//mhpR//prfA//ampD//hyfI//cysH//lolB//
DsdC-D-serine_neg	casC//
DsdC-D-serine_pos	gntU//prpD//
EvgA-Phosphorylated_pos	tktB//appY//gatZ//yfbR//phnL//fimF//hisP//yqjH//lsrA//phoU//nagC//aspC//araG//astE//ychO//
FNR-[4Fe-4S]2+ reduced_neg	tcyJ//pstB//zraP//moaB//ykgO//idnO//nuoB//tauC//trpE//trmD//tdcF//yfdV//garK//ulaC//zwf//sufD//rplS//phnE_1//narX//gatZ//rrfE//hisM//trmD//cusC//ccmF//lldD//feoC//mgtA//ccmE//hycE//gltU//glpX//nikR//hypD//dppA//fepA//ydfH//argG//treR//yeiB//yhfA//uxaB//ilvY//arcA//allE//fhuF//ydbD//gabD//tadA//moaE//malZ//hdeD//hmp//avtA//zraR//rplM//glcE//fumB//fadL//cynS//cheZ//metL//pstB//fepD//nuoI//lldR//hfq//ybiT//carB//hypD//glnD//chbB//ycjF//allE//hybO//ugpB//gntT//rplC//ansB//hslJ//sodA//uhpC//tar//codA//baeS//codA//chbB//yaeP//gyrA//dmsA//ptsI//yfdX//lacI//gadC//ung//bioB//astE//csgE//bcsB//nuoI//ilvA//ssb//rrfH//pepT//fucP//phnO//kbl//dctA//fhuB//tcyJ//galS//rrlG//rpsF//entA//codB//mhpE//gadB//motB//rpsS//melA//
FNR-[4Fe-4S]2+ reduced_pos	fixX//frdB//acnA//idnK//nikB//nuoF//gcvP//safA//modA//torR//truB//aceF//alkB//ssrS//yegH//caiC//yaeP//tdh//yqjA//glpX//hflC//dmsB//lysP//exbB//nmpC//gspJ//nrdA//sroD//ydiU//hyfD//zraP//gspO//mutL//chbA//phnM//cysJ//nanT//crr//hdeA//nrfD//agp//artM//yhjA//ydeO//rcnB//artM//ugpA//rpsR//fdnG//glpX//citD//nagE//torA//tehA//uxuA//glcG//csgB//nuoG//nuoI//caiB//ydhT//rplW//araA//ptsG//gcvH//cysK//creA//hofN//fimI//prfA//gapA//caiF//ccmB//polA//hmp//aaeB//yaeP//cynX//yfbR//narQ//pgaB//sucC//glgC//trxA//ebgA//gyrA//xylR//malE//gabD//modA//gabP//tdcE//nuoF//chbC//atoD//napG//hpt//yedX//rseC//chbR//cusS//cspE//manX//ampD//hyfH//ydhW//icd//metE//xapA//puuA//galT//cirA//adiC//rrsC//lpd//fhuF//yfbR//ydhU//iscA//fhuF//purK//emrY//hyaB//rutB//ompT//dusB//yqjH//thrS//sufC//idnD//dcuB//entD//nanT//arcZ//acnB//dsdC//rimP//acrA//hycB//hisJ//degP//ilvB//yibN//glgS//bamA//nagA//fecD//xylF//fimF//ugpB//nrfA//gatD//fumC//narQ//ybfN//dmsD//argH//mhpR//uxuA//fadH//hyfF//glmY//argH//allD//ccmH//fumA//ykgM//fecC//gspJ//idnD//glgX//ynfG//aaeX//xylB//rrsA//rutC//gspG//narL//fecE//ssrS//cynS//ppdD//torC//cstA//cueO//ssuA//fhuA//ygbA//pitA//dmsC//fadL//livK//rnlB//tsaE//hybE//tyrB//dapD//fhuD//trpB//rutG//dpiA//alaA//
FhlA-Formate_pos	hybF//ssrS//nagB//napF//fis//mhpF//dnaN//map//hofB//iraM//pgaD//rpsP//rbsR//gadB//metL//talA//dadA//cheR//ygiA//hybD//rplC//tsr//argF//rrlA//ccmD//allE//uxuR//gatC//manX//agaV//
FucR-L-fuculose-1-phosphate_pos	malQ//fliA//ydeP//adiC//znuB//metQ//astE//
Fur-Fe2+_neg	tktB//dusB//garK//rseA//lsrK//glnB//napA//spy//ykgO//tfaQ//iclR//rhaS//narH//tnaA//rpsO//aaeR//aceE//lsrG//rrsA//mtlR//xseA//manX//metJ//aroF//yfaE//nmpC//yfaE//rimP//cas2//rrlA//hypF//aaeB//rplD//glrR//malP//lldP//lsrC//nirB//sbmC//mntS//glnD//tyrP//preT//degP//rpsF//lamB//zraP//rpsF//nrfC//tsr//hydN//ogt//rplT//aroA//fecB//fucO//lpxA//gspD//thrV//sroD//ubiG//torA//yibN//dcuC//entF//murQ//ilvG_1//ygeA//deoA//ssb//gltA//grxD//gcd//creC//cytR//gntT//hypD//efeU_1//citE//hydN//tdcF//melA//trxA//nrfG//miaA//rhaB//ldtC//fnrS//ileV//ulaC//asr//ssuD//araC//mutL//hybO//glpA//livJ//agaA//serA//hofP//yfeW//focA//emrY//nfuA//yedX//rutG//acrA//uidC//grcA//zinT//mhpA//argC//yeiW//rrsE//hyfI//ydeO//nrfC//hyfD//cydA//rseB//ssuE//citE//paaD//gcvT//
Fur-Fe2+_pos	alaV//adhE//mcaS//paaA//ccmF//agaV//manX//kbl//dsbA//rhaD//ispE//mdtC//ackA//speB//glnG//moeA//nusA//gspG//hypB//hypB//thrV//idnO//yojI//manA//lpxD//
Fur-Mn2+_neg	malQ//ptsI//fnr//argF//rplM//ssuD//phnE_1//udp//deoC//csgE//argC//rrfG//fecR//mgtL//fliZ//gltW//creC//fepG//serC//feoA//ugpC//hypA//edd//kbaZ//oppA//deoD//puuE//glcC//ulaF//bioF//rplS//gatZ//leuE//yegR//tyrR//glgS//katG//srlR//ilvE//nanT//bamA//dppA//xylF//gntU//recF//purC//pyrC//ygaC//katG//yeaE//rpoH//purL//paaK//arcZ//xylR//priB//rbfA//fecI//guaA//prmC//fixC//upp//glnK//hycI//rrsE//rutF//betA//cheA//cspE//modB//ilvG_1//argG//skp//ulaD//cysU//cydA//ascF//oxc//hflD//spf//citF//uhpC//ydfN//iscR//aaeB//argT//fecE//paaF//cysP//modC//phoB//nrdI//purH//prpC//ysgA//malE//mdtC//purM//iscS//gntR//ascF//acnB//cusR//yecR//dppF//ung//cpxA//chbC//phoE//malI//fadD//thrS//rrfC//metQ//argE//uhpB//yeaR//entH//codB//ryhB//rplM//rplV//hycC//tauD//
Fur-Mn2+_pos	fabZ//entB//cydB//manA//cynS//phnL//aldB//gntR//ilvG_2//gcvP//fucR//rplI//ackA//ssuC//betA//srlA//efeU_2//cadC//entD//idnK//ulaE//rpsS//caiF//mdtA//pdeF//
GlcC-Acetate_neg	gcvP//
GlcC-Acetate_pos	srlE//alaU//yeaE//sodA//cydD//csgA//
GlcC-Glycolate_neg	argA//
GlcC-Glycolate_pos	prpR//hyaB//puuP//rhaR//csgC//gcvH//
GlrR-Pasp56_pos	fadJ//
IclR-pyruvate_neg	purB//glrR//hflC//envZ//
IdnR-5-ketogluconate_neg	ychO//gntR//hyfG//
IdnR-5-ketogluconate_pos	ynfH//purE//phoH//rrsG//lhgO//
IdnR-Idonate_neg	ilvL//srlE//ssb//
IdnR-Idonate_pos	acnA//cheB//purM//rutF//casD//
IlvY-2-acetolactate_neg	sxy//
IlvY-2-acetolactate_pos	uxuA//
IlvY-Alfa-acetohydroxybutirate_neg	artM//
IlvY-Alfa-acetohydroxybutirate_pos	nanC//
IscR-[2Fe-2S]1+_neg	chbB//argG//yciW//fadA//citX//gabT//lpxA//mntP//srlE//casA//rdoA//dsdX//yqjH//safA//prfA//pheS//dgcZ//ilvA//zraR//baeR//metF//cusS//fhlA//speB//sdhB//ilvY//yeaE//metF//icd//yeaR//
IscR-[2Fe-2S]1+_pos	cueO//gutQ//marB//bdcA//rplI//glcF//prpB//gntU//trmD//glgS//glpX//
LldR-L-lactate_neg	flhC//gpsA//rplW//
LldR-L-lactate_pos	mltC//hofC//dadX//
Lrp-Leucine_neg	purR//cheA//pagP//mdtD//fbaA//astC//mtlD//hybC//ydiU//ogt//xapA//hycA//glpQ//alaS//ydeA//agaW//nadC//copA//rrlC//ygbA//dsdX//hybD//dadX//creA//lacZ//mdtA//ugpQ//cysW//glmY//ccmH//atoA//cyaR//ilvC//nuoH//mutL//cusS//nohA//hdeB//uxuB//glpQ//cyoC//entH//uhpT//galP//bglB//nlpE//sxy//cusC//melB//argI//metE//rybA//fhuA//sucB//ccmF//phnL//galM//trg//yaiA//ssuD//lysA//cueO//artQ//focB//dgcZ//aceK//ccmA//casE//betA//uxaA//arfB//torD//sodB//nrfE//betA//
Lrp-Leucine_pos	mgrB//fadA//sroD//pstA//mdtD//lacA//hypB//emrK//chbR//galT//ilvH//ldtB//frc//galK//mhpB//galK//garR//chbA//waaH//bioC//srlA//aceF//cusC//uidA//sbmA//waaH//glnB//abgB//galP//phnL//ahpC//cstA//puuA//dmsB//rrlE//
LsrR_neg	uof//cyoB//paaB//citD//rplB//ampD//yfdX//rbsR//xdhA//
MalT-ADP-Maltotriose_pos	fhuA//rpsI//deoD//astD//garL//dmsD//uof//rnlB//gspE//casC//
MalT-Maltotriose-ATP_pos	metL//hycC//prfA//glpD//gatY//yfaE//infC//grxD//ftnB//fepA//
MelR-Melibiose_neg	speA//rybB//edd//
MelR-Melibiose_pos	ynfF//ilvG_1//rplV//
MetJ-S-adenosylmethionine_neg	oxc//yidQ//recF//phnO//lacA//qseC//rhaR//lsrB//ysgA//yeaR//narJ//rimP//pepT//galM//nrfB//
MetR-L-homocysteine_neg	tar//artM//
MetR-L-homocysteine_pos	lysC//cysG//nupG//purA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	aceA//aceB//modB//nrdD//puuD//ubiC//
MhpR-3HPP_pos	ilvD//frdA//aroL//murP//paaJ//treB//
MntR-Cd2+_neg	gltF//nrdE//hofN//gdhA//
MntR-Cd2+_pos	garP//
ModE-MoO42-_neg	phnJ//gdhA//yrbL//cadC//hyaD//pyrC//gadB//gatD//nikA//tpx//tcyJ//dapB//ccmE//betB//torA//
ModE-MoO42-_pos	caiC//nuoA//fdhF//motA//mhpC//trmD//cusC//rbsK//appC//hisJ//rrsH//zraP//melB//rutD//fhuD//metN//ascF//mhpE//hycH//cysI//ynfF//yfiP//ssuC//nuoA//appX//hyfE//fiu//ccmB//sucA//creB//cyoC//
NarL-Phosphorylated_neg	livM//hyaB//melB//rimP//prpD//crp//tauD//trg//rplD//aroG//rseA//fepB//hslJ//rcnB//mhpE//argB//entS//fucA//feoB//puuE//yiaJ//glnD//rrlE//rnhB//entE//csgG//napH//rbsK//nuoB//bglB//rplV//feoB//cusC//aroM//ynfE//cysC//fepG//aspC//ansB//uxaB//sdhD//cusS//copA//mepH//cbl//slyB//talA//casE//malT//amtB//casE//hflK//chbC//nlpD//kbl//fis//yhjC//narI//hybF//dcuD//hdeA//hycH//dcuR//aroP//fur//trg//folA//gcvT//metF//araB//ytfE//aaeB//hdeB//nuoE//gpsA//aer//fdhF//argF//hyfC//grxD//glcC//aroA//fecB//emrY//erpA//arcA//
NarL-Phosphorylated_pos	ygeA//stpA//malX//nuoI//hyfB//rrlA//glpB//priB//mntH//prpE//rhaD//ychO//glpF//alaU//aceA//alaA//bglF//aceK//pck//tap//ygiB//paaG//bglG//artP//malM//ilvG_2//csgB//betI//cusS//phnI//nanE//ydeJ//arcZ//astA//ybjG//appY//mglC//yhhY//bglG//trmD//xseA//dnaN//kbaZ//argP//sdhB//entB//
NarP-Phosphorylated_neg	slyB//bioB//rbsD//pyrC//rhaB//mglA//rbsA//aceA//mpl//rutF//ccmC//tyrA//atoB//ampE//phoH//yaeQ//map//yhfA//nupG//cheR//nikB//dmsA//tsaE//ubiA//ydeO//rpsR//ydbD//fixA//murQ//yeiB//ycdZ//hycA//betB//
NarP-Phosphorylated_pos	phnK//feaB//gutM//ycjF//yqaE//hypB//glgC//acrF//entH//idnK//motB//pitB//csgB//fhuD//yjiY//nuoG//rrlH//tam//hycF//cyoB//ynfG//glgB//lysA//mhpF//argD//cheZ//ompT//nrdH//nagA//yojI//glnL//chbR//
NhaR-Na+_pos	marA//bioD//pstB//gltT//ulaC//
NikR-Cd2+_neg	uhpA//astB//cysP//lrp//rpsO//artI//
NikR-Co2+_neg	pyrD//artJ//melA//fimI//hofN//ygiB//
NikR-Cu2+_neg	fdhF//hyaA//uidC//nrfD//gadB//fepB//
NikR-Ni2+_neg	trpD//cheZ//fhuB//hcp//uidC//nupC//
NikR-Zn2+_neg	nrdI//tauC//erpA//hdeB//ileV//dcuC//
NrdR-ATP_neg	yeiP//arfB//uidB//thrS//cbl//glnA//ebgA//torC//rrfD//
NrdR-Zn2+_neg	fumC//moeA//grcA//bioA//napG//yecR//narI//tsr//idnK//
NrdR-dATP_neg	chbF//fucR//glgA//sbmC//yfeW//ykgM//emrK//pitA//xdhC//
NsrR-[2Fe-2S]reduced_neg	gspK//ompC//yhhY//purB//cynX//asr//cytR//sufA//prmC//deoB//hflK//cytR//dpiA//tadA//citF//srlD//dsdX//ytfE//ykgO//nrdB//erpA//fhuC//grpE//pgpC//dcuB//putP//cheW//yfdV//proP//rbsC//trpE//frdA//pstB//fixC//tyrA//mhpT//trpE//fumC//casC//mtlA//dnaA//sucA//paaD//caiA//phnP//pstS//ydeA//gltB//fixB//hybO//nagE//modC//tnaC//glgS//malX//fixB//psiF//zntA//aer//galE//hflC//pflB//idnT//dnaE//uvrA//purA//mgrR//chbC//qseB//rrsD//rbfA//iscA//glgP//
PhoB-Phosphorylated_neg	abgA//xylB//purM//norV//sucA//hycC//cysP//oppD//rrsB//malE//glcA//rrlA//narL//
PhoB-Phosphorylated_pos	rplB//fumC//hisQ//oxyR//putP//hha//fixB//glcB//entH//acs//ugpA//kbaZ//cpdB//csgB//nuoM//mhpB//glrR//malI//cyoC//frdA//melB//ilvC//dctA//modB//malQ//alkA//lpd//yneM//yegH//uhpT//citE//torA//hyfH//puuP//prmC//fimG//hypA//cynT//uxaA//hyfJ//ubiG//napD//cydA//ompA//ydhW//mtr//feaB//acnA//phnK//araA//gspI//rseC//tdcC//
PhoP-Phosphorylated_neg	pstC//ydeA//yeiP//osmC//mdtA//bcsC//allE//glpR//cusA//entB//metJ//
PhoP-Phosphorylated_pos	trpD//glgX//entH//cusB//ydhY//gspL//nagB//frdA//dcuR//phnK//bdcA//mzrA//cysA//baeS//ftnA//fixA//bdcA//dpiB//fhuA//ychH//narG//gatY//astE//fadH//fecR//fadD//rrsE//ynfH//metA//glgP//gatC//casC//glpB//paaB//tauB//melA//phnE_2//fecR//hofM//rcnB//metK//rutG//ansB//csgC//prpB//glpF//qseB//nlpD//xylH//
PrpR-2-methylcitrate_neg	aroF//
PrpR-2-methylcitrate_pos	tnaB//trpD//acrD//lacI//
PurR-Guanine_neg	gntX//lsrF//rcnB//hycE//malM//yegH//caiT//glgS//mhpR//deoD//dcuR//feaR//tadA//csgA//umpH//ygeA//crl//micF//hybG//grxC//oppC//cydB//atoD//malZ//fepC//exuT//cytR//ugpE//metL//csgB//map//acnA//prpB//ilvN//
PurR-Hypoxanthine_neg	csiD//metI//aldA//prpC//fliA//ilvG_2//phnL//cra//tfaQ//fepD//hupB//dnaA//cysP//murQ//nuoC//hdeD//treR//puuB//ascF//gspJ//fadE//moeA//appA//glnA//sufC//glcB//pyrD//rbsR//nrdA//fimC//moaB//mcaS//xapA//ulaF//
QseB-Phosphorylated_pos	phoB//nuoC//ogt//dnaN//
RhaR-L-rhamnose_pos	sodA//bioA//
RhaS-L-rhamnose_pos	glnL//ydiU//iraM//
RstA-Phosphorylated_neg	fecA//ycjX//deoD//ynfH//fucI//
RstA-Phosphorylated_pos	pepT//gatD//yccA//malI//dcuA//
SoxR-[2Fe-2S]3+ oxydized_neg	deoB//
SoxR-[2Fe-2S]3+ oxydized_pos	metI//fixX//pheM//
TorR-Phosphorylated_neg	xdhC//
TorR-Phosphorylated_pos	acrD//hycG//aroG//nanA//glnL//rplI//ompX//gadC//epd//
TrpR-Tryptophan_neg	csgD//glcF//osmY//paaJ//hofC//yfiP//uidC//ompW//ydhV//adiC//cpdB//gyrA//
TyrR-L-tryptophan_neg	exbD//osmY//gntU//creA//casC//nrfE//nanS//hybD//lpxA//treB//amiB//citD//
TyrR-L-tryptophan_pos	cyoD//feoB//thrV//
TyrR-Phenylalanine_neg	acs//tsr//erpA//fadH//gspK//metC//fumA//phoR//iraM//dsdC//ilvA//ygeA//
TyrR-Phenylalanine_pos	ulaB//deoA//aaeR//
TyrR-Tyrosine_neg	modA//ydiU//aroG//gadC//lsrG//mgtL//flhC//dcuA//pdeF//malT//hyaC//mntP//
TyrR-Tyrosine_pos	ugpB//manY//ulaA//
UhpA-Phosphorylated_pos	bioD//
XapR-xanthosine_pos	icd//hyfC//
XylR-Xylose_pos	glgA//rrlE//araJ//pheT//srlB//argC//
ZntR-Cd2+_pos	mhpT//
ZntR-Hg_pos	lhgO//
ZntR-Zn2+_pos	gntP//
ZraR-Phosphorylated_pos	mtlA//glpK//rpoS//
Zur-Zn2+_neg	alaA//cheW//cadC//mhpT//hdeB//phoQ//
