#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	hybF//lamB//
ArgR-L-arginine_pos	acrF//gutM//acrE//yeaD//glnK//
AtoC-phosphorylated_pos	glcB//rseA//udp//mdh//
BaeR-Phosphorylated_pos	mhpT//baeR//cyoA//nrdD//acrA//rpsS//ndh//malK//
BirA-bio-5'-AMP_neg	yegH//phnP//phnK//paaB//glpB//
CRP-cAMP_neg	agaV//codA//ynfE//lacZ//iraM//narX//ycdZ//nfuA//artQ//znuB//ugpQ//hyfR//xapA//ykgO//atoE//puuE//fumA//skp//prpR//rbsA//fucU//agp//metF//glmY//hycI//chiP//thrV//aceB//purD//modC//mutL//metF//ydeM//tam//creC//nuoB//casE//phoP//hyfB//hha//sbcC//spy//gatA//livK//yeiP//mutY//hyaA//csgD//aroP//cydA//fepC//fadA//ptsI//ahpF//bcsZ//araF//pstA//cheW//bioC//tdcB//ugpE//appX//tadA//kbaZ//ilvG_2//thrV//ydeP//slt//glcD//psiF//caiT//rutE//malZ//crl//zraR//hpt//nrfC//uidC//metK//artJ//tdh//ileV//paaE//osmY//hyfC//ugpA//phoE//yqaE//glcF//hyfF//rseA//entE//map//hofM//lacY//nlpE//hybG//casD//uhpA//rrfA//fixB//glcG//metL//casA//glpQ//alkB//purE//xdhA//yjeV//atoE//rrlB//sbmC//entE//narJ//sdhA//cysP//mepH//rbsR//glgP//ccmG//mglA//caiC//citX//nrfA//hflK//fepD//ysgA//rplP//nrdI//glgS//glcF//ompT//ydhT//
CRP-cAMP_pos	nadC//yfiP//proP//nrdH//rrlC//torC//tdh//hemL//tehA//dmsA//paaI//hycH//rbsR//hyaF//yaiA//uhpA//glnB//dpiA//fhuF//fdnH//glpK//ndh//nrdB//hyfI//nuoN//cusB//cyoE//cpdB//ssrS//moaE//nirB//livG//appB//carA//ccmA//yaiW//ssrS//bamA//soxS//pdhR//mglC//rpmI//eda//puuB//glnK//citG//melA//ileT//ompA//melR//agaV//tdcC//cydA//appA//astC//lsrF//gabP//dnaN//trpB//abgA//fumC//fecI//argC//ompF//rrfH//lpxA//ybiT//hofN//cdd//napG//cdd//galM//fliZ//tdcF//epd//purE//gltF//hisQ//rcnB//evgA//paaH//rplS//nrdA//lsrK//casA//prpE//ccmB//preA//abgT//gntK//citX//fes//gatC//fecD//cysC//pgaB//yeiB//ydhY//nuoJ//uvrA//tehB//dppA//acnA//gatC//metR//baeR//dppF//hcr//nanS//ptsI//betT//hisQ//feaB//nuoM//hydN//napF//moaE//rpmI//entS//nadC//tomB//ydeA//dppC//nuoK//trmD//cysK//dpiB//spf//fiu//gspO//flhD//bhsA//acrB//agp//rplV//gltU//glcC//argO//casB//abgA//dmsA//kbaZ//hlyE//glcB//rutG//glnG//sufE//carB//yegR//oppC//cueO//nanM//fixX//nmpC//moaD//artJ//nrfB//tnaB//paaE//cyaA//glnD//prfA//cusA//gadB//nuoA//pitB//fhuA//ascB//ssuC//fimE//glgX//ilvB//ilvD//ssrS//manY//cusF//srlR//fdhF//gcvP//yccA//safA//fdhF//cusA//ssuD//ilvL//ptsH//nrfE//argH//hyfH//treB//lsrR//manZ//paaG//ebgC//gltT//yegR//cysD//garK//glgS//phoR//alkA//ssuD//ychH//exbB//nagB//prfA//livJ//galP//rhaD//ssrS//melB//cueO//aceK//paaB//hybC//gltT//bcsZ//cysP//chbG//hypF//zntA//ulaC//fabZ//rpsF//carA//tyrA//frdC//nirD//glgS//ydeN//caiE//melA//ychH//tdcF//cyaA//citD//tsx//ilvD//glcA//fhuF//galK//adiC//fimE//lsrR//dcuD//preT//nuoK//osmC//hofP//srlA//emrK//abgB//aroP//ldtC//ccmA//ssuD//znuB//evgS//argH//ydhV//yqjA//artQ//casA//glcC//dnaA//dsdC//ynfG//ubiC//polA//ycdZ//caiD//purA//araB//pta//torC//azuC//trpC//narL//speC//glcC//napB//hyaE//katG//fecC//yhhY//aaeA//preA//mepH//manY//sdhD//aidB//dapD//araE//gltF//ssuA//citG//marR//cirA//rrlC//ytfE//nuoL//argD//nuoF//pdhR//bcsB//dps//gltD//lolB//abgB//srlE//glpK//ulaE//mltC//yhfA//ccmG//gltW//uxaC//aroG//gabD//prmC//cynX//cheA//pgaD//fixC//napC//hofO//ysgA//fadI//purB//ysgA//epd//napC//ispE//ssuC//hofC//prpC//prpD//puuR//yrbL//ssuC//aceE//araF//dmsC//soxR//metR//aroF//cusF//sroD//sbmC//exbB//hfq//glpC//hypA//dps//gspG//aldB//casB//aceE//garK//yegR//hyaA//csgB//malX//rbsR//lhgO//abgT//yqjA//dppB//casA//moaC//aroG//tauC//phoP//sucB//glpB//hcp//malT//dapB//phnH//galE//mhpE//zinT//avtA//artM//ydeJ//pflB//glnD//hycH//agaV//fadE//fecE//deoB//flhD//sodA//agp//fadA//creD//rpoH//fecR//citX//fliA//narK//lsrF//alaU//grxC//pitB//mgrB//rhaA//glpR//pck//nuoG//gnd//hslJ//manZ//argR//aceK//pck//tauA//sbmA//manX//sdaA//idnK//rrfA//citE//feoB//ptsH//nac//ybdZ//ryhB//
ChbR-Monoacetylchitobiose-6P_neg	feoB//yeiL//osmY//nuoA//sucD//gspH//
ChbR-Monoacetylchitobiose-6P_pos	gspO//oppD//ilvH//artJ//phnK//araB//
CpxR-Phosphorylated_neg	ldtC//puuA//nirB//abgT//guaA//qseC//ugpE//gntK//rhaD//lldP//malE//mtr//fucP//bacA//tdcG//narH//puuP//trpC//aer//pepT//moaC//cdd//glcE//polA//
CpxR-Phosphorylated_pos	hypB//oppA//glcD//uxaC//ulaC//dsdX//kbaZ//bcsA//srlD//hcr//ynfF//mglC//purE//purA//hflD//dnaE//tdcC//rbsR//nanM//ivbL//araE//iscU//rcnA//rplS//hmp//purR//yhfA//tdcC//tyrP//nlpD//hofN//osmY//oppF//phoE//fnr//napG//nrdB//bioF//lsrK//lrp//hflK//metL//metL//adhE//fimC//
CreB-Phosphorylated_neg	frdC//metY//zntA//
CreB-Phosphorylated_pos	ompX//glnA//torC//mglA//hha//fepD//
CueR-Ag_neg	hmp//ynfG//ulaF//ampE//fimD//
CueR-Ag_pos	miaA//nuoE//
CueR-Cu+_neg	yeiP//nupC//chbA//rplS//rpmI//
CueR-Cu+_pos	cadC//hypD//
CuerR-Au_neg	paaG//argP//grcA//fepC//hofP//
CuerR-Au_pos	sufB//srlA//
CusR-Pasp_pos	gatA//rrsB//alaV//srlB//dppB//rhaT//rbsD//moeA//carB//rrsB//garP//rpsR//
CynR-Cyanate_neg	araJ//
CynR-Cyanate_pos	fhlA//ilvN//livH//
CysB-N-acetyl-L-serine_neg	aaeX//rplP//ssuB//iraM//yecR//envZ//abgB//
CysB-N-acetyl-L-serine_pos	evgA//moeA//dsbA//mhpC//nuoH//cydB//dppA//yfdV//cysI//pheS//metQ//rbsC//puuP//metL//yeaE//cysW//gspF//sdhA//moeB//gspG//narL//fimH//hypE//
CysB-O-acetyl-L-serine_neg	metL//rnpB//yfbR//xylH//gltA//nuoB//lldD//
CysB-O-acetyl-L-serine_pos	gyrA//zraS//cadB//narK//srlR//fucK//osmY//motB//betT//glnK//mdtC//pta//mdtB//deoA//fimC//entC//aroP//yqjH//rcnA//nohA//sodA//trpB//casE//rplP//
DcuR-Phosphorylated_pos	puuR//nirC//hflD//metF//mtlA//ccmE//mhpE//degP//fdhF//
DnaA-ATP_neg	prfA//nagA//motB//trpA//dmsB//talA//ynfK//narQ//fimE//dcuB//entD//
DnaA-ATP_pos	hslJ//norR//hdeB//yoaC//nirC//pitA//manX//
DpiA-Pasp_neg	gcvH//
DpiA-Pasp_pos	aaeB//metB//yjcH//hyfB//cyaR//nikR//agp//metH//uxuR//nrdE//
DsdC-D-serine_neg	ubiX//
DsdC-D-serine_pos	fepG//moaC//
EvgA-Phosphorylated_pos	modB//mtlA//sufD//pgpC//nrfB//lsrR//narH//ychO//rnlA//phnL//gspM//manA//yhhY//proP//tsr//
FNR-[4Fe-4S]2+ reduced_neg	glpD//pgaA//gspJ//garL//ssb//phoQ//hyaA//glcE//actP//sbcC//malP//zraP//hyaC//srlB//fepE//cspE//modC//nrfD//pgpC//gcvH//waaH//uxuR//pheT//purR//metI//ppiA//napH//rrlC//lolB//rpsI//dppA//dsbA//csgD//gatY//gspD//purB//proP//hofN//asr//fecA//gltW//mhpB//rpmC//paaG//ydhU//bioD//rrlG//fecD//frdA//napG//rstB//yqaE//gapA//ung//gltU//rrlH//nuoN//argA//rrfB//ycjF//tnaB//ydbD//ilvL//fepD//mntH//hyfI//rrlH//ccmE//acs//glgB//hypC//phnC//fucA//creA//cysW//hemA//cusR//betA//ygbA//metJ//frdB//fepA//ispE//malX//rimP//tnaB//torA//gntR//yebE//lsrB//sufE//edd//frdA//mgtA//trxA//nuoG//hyfF//hybG//sroD//cysD//prmC//napD//ubiX//yeaE//znuC//paaD//acrD//rpmI//rplI//phoB//sodA//murQ//sdhB//cyoA//cspE//bioF//fhuA//galS//sufC//mipA//
FNR-[4Fe-4S]2+ reduced_pos	rrfB//fadB//nrdF//hydN//serA//glpA//sucB//srlE//patZ//ygeH//manX//serA//purB//nuoL//betA//oxyR//cusA//hofB//serC//melR//sdaA//paaJ//galT//garK//appA//cyoC//lpxD//deoD//entB//bamA//fes//lsrR//aaeA//sufA//yqjI//pheS//malK//cysP//ydfH//upp//ccmD//ileV//narG//yccA//xdhB//zntA//cysH//oppB//safA//lacI//rrlC//ilvI//iscA//entS//nuoN//citE//deoD//tyrB//yqjH//srlD//garK//lsrD//srlB//rrsA//pstC//idnD//hupB//cpxA//hyfA//tktB//rhaT//bglG//feoB//fucP//trmD//mltC//malX//treR//infC//tnaB//priB//lldD//zraR//trpL//yfeW//yhcH//rseB//sufE//citE//mtlA//cspE//speC//entD//creA//aldA//yegR//baeS//rpsJ//yneM//manZ//deoA//emrY//lldP//acrF//marA//ugpQ//gabT//mglA//gspL//purK//ybdN//idnO//frdA//iscS//tktB//gutM//ileU//csgC//ytfE//lpd//mdtC//rutB//ynfF//malP//gltT//ydeM//uidC//yggX//yfiP//galM//citD//cheR//aroL//nohA//frdB//glnL//ybfN//metB//cyoB//cstA//sbmC//nikD//malG//astD//metF//fes//prs//cynX//yoaG//gntX//metH//appB//citD//ulaB//cysB//gspI//acnA//ascB//xseA//sucB//purC//cydD//rseA//pgaC//chbA//gcvT//evgA//fimG//astB//pgpC//frdC//rrfF//hybO//hcr//glnK//nrdF//fdhF//speC//tdcF//nrfC//cysP//hfq//tadA//mscM//oxyR//phnI//cysJ//ynfK//pgaA//malE//nrfG//erpA//leuE//cyaA//fimA//metJ//feoC//alaU//iraM//priB//purD//preA//
FhlA-Formate_pos	casC//pdeF//ydfN//purE//prpE//cusR//rplM//cas1//norV//hyaB//gltT//cynT//dppF//phnE_2//ilvG_1//ychO//ycjX//aer//codB//dppF//amiB//dpiB//hyfH//cytR//dgcZ//uxaA//betA//aceE//ilvN//secB//
FucR-L-fuculose-1-phosphate_pos	malF//tomB//napD//aaeR//nikR//ilvD//purR//
Fur-Fe2+_neg	ada//ubiA//chbA//tauB//evgA//nuoE//fixA//moeA//allE//glcF//hslJ//rpoE//rbsB//hycI//emrK//putP//nrfF//preT//mhpR//manY//citX//crl//aceF//baeR//yiaJ//rhaT//citF//hycB//phnO//gltT//uxuR//rpoS//xdhA//appY//cynT//cheY//aaeR//galS//betA//hdeD//mdtA//uof//xylF//galS//cysH//psd//ubiA//ydhX//nuoC//rcnB//cysD//alaU//glpK//tauD//csgD//narK//hybG//rutA//ompF//nuoI//hycA//ndh//fhuA//malE//yegR//rutD//aroG//lsrG//yaiW//lysC//cyoB//hyfE//csgB//malQ//rrfH//osmY//yedX//bamA//araA//nrdA//purB//aidB//rhaT//cheA//tap//asr//cysI//tdcB//alkA//nuoM//pheT//lsrG//moaC//xylB//uraA//hupB//norW//lsrB//rof//iclR//sucB//glcD//rrfH//pstC//trxA//rseC//yebE//pagP//pgaA//phoU//allC//yhcH//cdd//narG//tdcD//hybF//nrfB//hyfB//cusF//modC//ychO//nuoF//aroP//gspD//
Fur-Fe2+_pos	yegH//gutQ//uxaC//prpC//waaH//hisQ//manY//hdeA//fhlA//xylH//fliA//sucB//purC//appA//argR//fabZ//fepB//artJ//ascF//lysC//entF//gltV//ansB//mntH//cra//
Fur-Mn2+_neg	copA//garP//oppF//agaW//ccmA//bcsB//moaB//ugpE//aspC//manX//phnJ//fepB//livJ//nanT//phoE//tauC//modC//rstB//amiB//prpB//fliA//ugpB//pgpC//araB//rpsR//tdcE//polA//tsr//ydeJ//norW//feoB//narL//mhpA//rrlG//dppB//pagP//ugpE//nrfB//paaC//ydfN//gspE//tpx//gspL//rpsQ//tdcE//mtlA//torD//micF//rrlC//ompA//asr//mhpF//fucI//sufS//pheT//fau//fadI//rrsA//glpR//nanC//ubiX//ugpE//nrdH//narJ//yjcH//melB//ygeA//fhuB//fbaA//rplP//sroD//paaF//mdtB//narL//nuoJ//cynR//rrlC//cra//bcsC//sodB//sdhD//garR//tehA//sufA//allC//glpB//lsrG//rpsJ//argE//metB//glpE//ycjF//puuP//mtlR//zraR//srlA//hyfA//oppC//cusA//hcr//phnM//acnA//mtlR//narH//tnaB//rrsG//aroG//livG//purB//ccmF//purC//rhaD//araB//gspH//fdnI//glnB//xylH//argD//fepC//tyrA//fumA//cydC//focB//ndh//
Fur-Mn2+_pos	ugpE//bcsC//iscU//yeaR//metK//yeaE//glpG//ssrS//hofB//tdcA//gspF//narX//hisM//fabZ//lsrA//metQ//hyfC//cydB//hybB//cyaR//yjeF//caiD//flhD//gabT//ilvE//
GlcC-Acetate_neg	glcA//
GlcC-Acetate_pos	pgaD//narI//soxR//gltB//udp//torC//
GlcC-Glycolate_neg	bacA//
GlcC-Glycolate_pos	ada//ilvG_2//gltA//metH//ompT//rseA//
GlrR-Pasp56_pos	sufC//
IclR-pyruvate_neg	ydfN//aceB//rimM//cydA//
IdnR-5-ketogluconate_neg	ulaB//uidB//yaiA//
IdnR-5-ketogluconate_pos	rutF//metQ//phnM//mpl//ccmB//
IdnR-Idonate_neg	rpoS//fixB//mhpB//
IdnR-Idonate_pos	ldtC//ogt//hofN//hflD//uxaB//
IlvY-2-acetolactate_neg	psd//
IlvY-2-acetolactate_pos	yhhY//
IlvY-Alfa-acetohydroxybutirate_neg	hycH//
IlvY-Alfa-acetohydroxybutirate_pos	argR//
IscR-[2Fe-2S]1+_neg	fimH//purE//rseC//rpsS//fhuF//hpt//tsaE//hybG//exbD//rpoH//lldR//alkA//ptsI//rimP//tnaA//fdnG//fhuF//glpC//rpsC//nuoH//phoE//nuoF//aaeX//hypB//rplM//ydhT//katE//manZ//creB//deoD//
IscR-[2Fe-2S]1+_pos	dmsC//fecC//tsx//ydhV//fhuB//araA//tcyJ//pyrD//fucK//soxR//yfdE//
LldR-L-lactate_neg	hycI//entH//hycB//
LldR-L-lactate_pos	malE//metI//astE//
Lrp-Leucine_neg	nrdB//tnaA//pyrD//dadX//araG//zinT//lamB//galP//rimP//hyaA//rrlA//pstB//paaC//cyoB//gspF//gatC//ccmG//ybdZ//ubiC//hemL//livK//cysA//marA//ydhY//glnD//gabP//cydD//dppD//sufB//hdeB//yfiP//betI//artM//nikA//tsr//paaI//nanT//cynT//fucR//patZ//rrfE//glpD//hyfC//lpxD//fdnG//tyrA//borD//pepT//hybA//aroM//lsrK//ydiU//malZ//fucO//melB//ubiC//uxaA//norW//zraR//ryhB//udp//uidC//pflB//mtr//nrfE//fixB//secB//dadA//ubiX//cstA//ycjX//nrfB//prpE//fecD//idnO//
Lrp-Leucine_pos	yeaR//amtB//ptsG//infC//fliZ//phoR//tnaA//bhsA//mhpA//nikB//lpxA//fucP//dapD//gspM//hybD//agp//flhC//rplB//argC//rbfA//fes//glnD//rseB//oxyR//araD//gntT//purN//yfbR//dapB//nuoB//tdcA//yneM//livH//rpsP//dsdA//
LsrR_neg	gltT//grxC//yecR//cadA//glpT//nrfG//moeA//aroL//yqjI//
MalT-ADP-Maltotriose_pos	znuA//ydfH//truB//norV//atoA//phoH//psd//puuA//rpsQ//talA//
MalT-Maltotriose-ATP_pos	paaD//ybfN//purR//appB//xapB//glcE//gutM//yjiY//zinT//rpsO//
MelR-Melibiose_neg	hyaB//ompT//fliZ//
MelR-Melibiose_pos	glpE//dppB//ccmA//
MetJ-S-adenosylmethionine_neg	rpsC//yfdX//napH//nlpE//yjeF//serC//purF//galS//yneM//nrfE//glnK//hisM//rrfH//hcp//ccmE//
MetR-L-homocysteine_neg	mhpB//mtlA//
MetR-L-homocysteine_pos	fau//astE//purC//fhlA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	sohB//nuoN//ycdZ//exuT//talA//hupA//
MhpR-3HPP_pos	mdh//copA//chbC//srlB//ulaE//rplB//
MntR-Cd2+_neg	gatC//efeU_1//ydfH//aroP//
MntR-Cd2+_pos	argF//
ModE-MoO42-_neg	nanK//cydA//deoA//purB//envY//alaU//cheR//rcnA//csgE//hupB//pdeF//sbcC//slt//ssb//gspG//
ModE-MoO42-_pos	priB//sucA//trpB//fecC//fadB//phnF//aceE//fixB//metH//rrfH//araG//fepD//mhpE//metH//hfq//fadD//hupA//katG//trpL//carA//rnhB//bcsC//yegZ//ubiX//nanK//cdd//dkgB//xapA//lacY//micF//phnK//
NarL-Phosphorylated_neg	argF//xylG//nrfG//paaI//atoD//cydA//allC//lhgO//ccmC//livF//ackA//lysC//livJ//nlpD//rutG//agaV//aceK//ilvC//putP//mglC//lsrC//melR//rrsE//aldB//glcD//yggX//xdhC//mdtA//fucI//agaA//glcC//bcsA//cynR//gspM//edd//yaeP//lysA//secB//cirA//map//gltA//norW//rpoH//casB//fucI//upp//lpxB//dadA//moaE//deoA//paaA//uhpT//trpE//rbfA//nuoL//narG//leuE//argI//rrfA//cydA//exuT//ileT//murQ//tdcB//artI//lacY//purL//alkB//rplP//cysK//napG//argA//ilvL//metB//glgS//csgE//allE//lpxA//rplD//nanE//avtA//gspO//lldP//araA//gspJ//hflK//
NarL-Phosphorylated_pos	dcuR//entH//dmsB//hdeD//aceA//dusB//raiA//csgF//glpR//araH//feoA//mhpB//rplS//bacA//appA//ilvM//ssuC//fadL//yegZ//casD//prpC//dppA//glcD//agaA//cusS//nrdD//cdd//malZ//casD//pitA//katE//rrlH//treR//uhpA//recF//rrlC//glgX//nupG//idnO//paaG//acs//oppC//livJ//yidQ//argR//tktB//
NarP-Phosphorylated_neg	ykgM//dcuR//rrfH//xseA//chbB//kbaZ//lsrD//creA//ydeA//mgrB//cysU//sohB//cheY//dps//efeU_2//ndh//glrR//carA//dcuB//yhcH//thrV//yjiY//mhpE//ydhV//appA//rimP//ulaD//hybD//ycjF//rrfD//nuoN//moaD//mdh//
NarP-Phosphorylated_pos	entC//rstB//ygeA//gltV//aidB//paaK//manX//lrp//trmD//manZ//metF//gspE//malE//aroF//bioB//fucA//rcnB//paaB//fadH//moaE//torA//modA//prmC//yeiP//paaJ//fadI//hdeD//tsaE//rrsH//malK//casD//srlE//
NhaR-Na+_pos	puuD//araJ//rutC//rplT//exbD//
NikR-Cd2+_neg	glcB//trpC//citG//mtlR//evgA//agaA//
NikR-Co2+_neg	map//guaB//ihfA//caiT//comR//yaiA//
NikR-Cu2+_neg	trpC//ygiC//cheW//fucA//narH//sdhC//
NikR-Ni2+_neg	guaA//cyoA//cspE//sbmA//metH//hyfC//
NikR-Zn2+_neg	yegH//gadC//comR//nanK//glcE//metA//
NrdR-ATP_neg	pheS//hycC//yecR//argO//ilvH//abgB//acs//tyrA//uof//
NrdR-Zn2+_neg	ybjG//argH//rutG//torA//csiD//hyaE//fucO//tnaB//pta//
NrdR-dATP_neg	nagA//acnA//rpsF//phoP//avtA//norR//rcnA//cbl//tnaB//
NsrR-[2Fe-2S]reduced_neg	ssuD//nrfA//borD//uidA//glpK//acrA//allC//rpsF//garP//pta//crp//deoC//cyoA//sucD//agp//recF//nmpC//cheB//nagC//spy//nlpE//bglF//gspO//yeiP//uraA//dppB//yidQ//fixA//glgB//phnE_1//gabD//gltT//xylH//mgtA//yfiP//feoC//znuC//malX//puuR//baeR//argD//dusB//dmsB//hybG//soxR//ycjX//nrdA//hyfB//aceF//malG//betT//bglF//argG//purA//ivbL//rutF//ssrS//yeaE//tam//ptsI//hypC//fimG//ilvG_1//puuD//nuoG//phnP//cas1//rplM//prfA//sdhA//glpE//aldA//hofN//
PhoB-Phosphorylated_neg	feoC//metE//ychO//phnM//pepT//mtr//ccmF//ybfN//srlR//ytfE//phnI//thrS//rimP//
PhoB-Phosphorylated_pos	casD//uxaB//folA//katE//xylH//purD//gspD//pstS//ccmC//acrE//ilvX//casE//rrsH//astC//dnaN//moaC//leuE//hofO//cynT//galS//mzrA//zraR//nlpE//rrfE//dcuC//bioD//nikC//argC//exbD//narQ//fimE//ulaF//ompX//fucI//lsrR//codB//glpQ//cydD//leuE//rbsR//napG//evgA//rrsG//sbcC//marB//tehA//gcvH//gltW//ubiG//ygeA//mutY//hdeB//crl//
PhoP-Phosphorylated_neg	ydbD//ompC//fur//moaD//spy//napB//hybG//ilvA//sucD//ampD//phnK//
PhoP-Phosphorylated_pos	gltF//tauD//purD//idnK//sodA//phoP//uhpT//alaT//guaB//yiaJ//glpE//rutB//nagE//uxuR//malQ//moaB//nagE//sroD//cusB//qseB//hflX//ubiA//ybiT//pstB//gspD//fecC//astD//paaA//napB//mtr//carB//rhaB//fimA//raiA//feaB//ydeO//glgB//phnL//ilvD//mhpC//xylH//trxA//hyfE//phnP//pitB//hyfH//ybfN//alaS//acrB//
PrpR-2-methylcitrate_neg	iscS//
PrpR-2-methylcitrate_pos	hyfE//aaeB//sdhA//dcuB//
PurR-Guanine_neg	gltW//uxaA//nuoC//manY//glnD//ilvD//ynfH//hypB//cbl//motB//pagP//katE//araJ//rnhB//yjeV//napA//creA//rnlA//fixA//modA//bioC//mhpR//fimH//paaG//ebgA//upp//ychO//ynfG//paaD//lpxD//cpxR//yrbL//tolC//glpR//
PurR-Hypoxanthine_neg	creB//glgX//ssrS//srlR//betA//gntP//psiF//bioB//ydeJ//ysgA//ydeA//malM//kbl//yeiL//arcZ//thrV//fadE//uxaA//ompX//gnd//dkgB//iscR//bdcA//rpsJ//ybjG//hofB//fhuB//rdoA//caiA//tyrB//aroG//dapD//yfdX//hybA//
QseB-Phosphorylated_pos	marB//feaR//nrfG//cpdB//
RhaR-L-rhamnose_pos	nrfD//idnK//
RhaS-L-rhamnose_pos	phoE//purK//hisP//
RstA-Phosphorylated_neg	hofM//araC//mntH//hycD//aidB//
RstA-Phosphorylated_pos	nanS//rrfG//nrdI//ydhU//paaG//
SoxR-[2Fe-2S]3+ oxydized_neg	srlR//
SoxR-[2Fe-2S]3+ oxydized_pos	trpB//gltW//fucK//
TorR-Phosphorylated_neg	mglB//
TorR-Phosphorylated_pos	efeU_1//prpC//gntR//qseB//purF//xylR//modC//yeiP//cysB//
TrpR-Tryptophan_neg	iscR//hemL//atoD//rrfA//crr//hemA//malQ//glgA//mglB//malG//sucC//manZ//
TyrR-L-tryptophan_neg	yfdX//paaG//mntP//cheR//zntA//xapB//phoA//tdcG//creC//paaH//acrB//csiE//
TyrR-L-tryptophan_pos	appY//glcE//rpsS//
TyrR-Phenylalanine_neg	nanM//znuA//yqjH//rpsC//cusF//gyrA//cyaR//tehB//rutF//yqjA//citG//ilvH//
TyrR-Phenylalanine_pos	galK//amiB//aceF//
TyrR-Tyrosine_neg	mhpE//puuD//glpF//hyaD//garR//gpsA//lysP//ynfK//rutA//gspK//hyfD//gdhA//
TyrR-Tyrosine_pos	ycjX//pepT//dcuC//
UhpA-Phosphorylated_pos	rplB//
XapR-xanthosine_pos	mdtC//hflD//
XylR-Xylose_pos	hyaB//pgaC//araH//glpA//tonB//oxc//
ZntR-Cd2+_pos	frdB//
ZntR-Hg_pos	fucI//
ZntR-Zn2+_pos	dmsD//
ZraR-Phosphorylated_pos	borD//ilvE//fimI//
Zur-Zn2+_neg	miaA//hybE//dppD//araJ//nikA//ilvI//
