#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	yfeW//ssuE//
ArgR-L-arginine_pos	entD//ilvH//hflC//yccA//gadB//
AtoC-phosphorylated_pos	gntR//ompW//xylH//fecC//
BaeR-Phosphorylated_pos	gatA//lolB//cueO//fucU//speC//gabP//dusB//znuB//
BirA-bio-5'-AMP_neg	cadA//rseC//rbfA//rpsQ//uraA//
CRP-cAMP_neg	phnE_2//znuA//hypA//yeiP//puuC//cysD//acs//micF//tdh//nupC//treR//argH//fimD//murQ//fucP//araJ//glpC//entB//mdh//hofB//pdhR//rbsK//mhpT//glpA//glpK//gntU//trpL//rrlG//ydhT//lamB//prpR//slyB//gpsA//nikE//napH//ccmB//aldA//cspE//ugpB//znuC//ilvI//fecR//ndh//rplP//torR//artP//entA//araE//gatZ//bioF//galT//phnN//copA//hmp//glyA//paaA//ampE//ihfA//glgB//fhuA//melA//hyfR//fixB//ispE//tnaB//aroM//dadA//malX//srlE//nrfB//rplD//tomB//sodB//agaA//glnG//betI//skp//cysU//glpA//torD//fldA//ilvL//nupC//norV//cydB//nirC//hycH//grcA//hyfD//bacA//ydiU//sdhC//guaA//nrfF//fecC//iclR//dmsD//rrlB//nuoL//murQ//artM//nadC//nanA//astB//argD//ydbD//hybF//purR//epd//hisP//csgG//yeiL//bglB//lsrD//ebgC//oppB//deoA//marA//aidB//mscM//rplP//adhE//rrfE//napF//cusR//ivbL//crl//mhpB//nuoG//nac//degP//yneM//deoD//
CRP-cAMP_pos	gdhA//gcd//fimC//aroL//gspM//carB//ccmA//fecE//fimF//gspD//pgaA//moeA//mhpD//mgrB//gltV//yggX//dapB//cydA//gltU//gatD//acs//yeaD//uxaA//rpsC//melB//cysD//rstA//betI//artJ//hdeD//phnN//melR//rrlE//hyaD//glyA//cyoA//sufS//phnI//aroH//murQ//nupC//nrdD//allE//recF//fdhF//qseB//araH//entS//rstB//glpK//gatA//livG//gatY//lsrF//entA//hisQ//bhsA//nikA//rhaT//lysU//pgk//sufA//norW//rpsQ//ydeA//cpxA//phnF//hofN//prfA//galT//nanE//malT//nlpD//lpxA//yqjI//sdhC//znuB//dpiA//yjcH//ychO//rbsR//purH//artQ//narH//rnhB//cirA//fabZ//napG//efeU_1//psiE//lsrG//fimI//srlD//rcnB//exuT//dnaE//ssrS//cadB//tauA//dps//appC//malT//aldB//fumC//xdhC//narH//rnlA//soxS//rutA//xylH//pta//nanS//mntS//copA//paaK//hemA//grcA//allE//napG//sdhD//ykgR//nuoA//hypF//csgB//mhpF//rplT//ybiT//tehA//comR//fes//pstB//metB//cynS//rrsA//cysN//deoB//ccmB//rpsQ//nuoM//yqjA//caiB//metH//trpR//purM//bamA//rutC//csgD//puuC//flhD//nuoB//rimP//cheZ//hycD//lsrF//motA//cstA//astD//cvpA//ackA//fnrS//dapB//cspE//znuC//fepA//rrfD//fimA//fadE//glgA//argB//yhiD//ilvB//aaeX//frdA//rrsA//gyrA//ybfN//hyfC//dppD//frdD//cyoA//qseC//yaiA//ilvE//sucC//nanA//dadA//rcnA//artQ//lysA//melB//iraD//fixA//tnaA//rcnB//yeaR//rrlC//csgA//ccmB//serC//hycC//metQ//yjeV//yfdE//fimF//dmsD//rrfC//purF//emrK//norR//fucP//hyaD//yqjH//cdd//fepC//mpl//patZ//manZ//glcG//rplC//uidA//deoB//acrE//caiC//malI//ompW//speA//garL//dpiB//soxR//dmsD//carA//mdtA//uidA//dppC//citX//nanC//ykgR//mglA//dmsA//exbB//nrfC//cytR//tar//aldB//caiA//ykgM//galE//yidQ//dsdA//ilvD//xdhB//ynfG//mtlD//sucB//rutE//nagB//dadX//rrfB//rybB//yfdX//argA//napB//lldP//bacA//hofB//gspE//mlc//caiC//kbaZ//phoE//glpD//nrfF//phoE//lsrF//cusF//pagP//glnA//nanC//purD//gspM//phnJ//rcnB//paaK//lhgO//sufD//hemA//nuoN//grpE//ftnA//nusA//hypE//gyrA//guaB//chbR//glcA//yaeQ//sdhD//rhaS//folA//tdcG//citE//cysG//gcvP//frc//glnK//pdeF//trxA//ftnB//rpsJ//phoR//dcuS//uvrA//rpsJ//ompF//alaS//tdcF//hemL//narG//allC//lldR//ydhU//allE//mdtD//ysgA//phnC//fliA//yeiL//yibN//ccmA//ilvD//cpxR//alaU//rof//lysU//ldtC//ubiC//ssuE//pdhR//lsrB//sufE//narJ//ppiA//yaeQ//sbcD//moaA//rhaT//aer//yjjZ//pstS//fadI//rplB//pgaB//dmsB//ubiG//cvpA//citE//yqjA//fecR//fis//xdhB//nohA//phoQ//melB//bglF//mhpR//phoH//pck//galM//prpB//dppD//aaeX//nagC//ada//crl//fixA//tsaE//ivbL//fadA//zraR//ynfE//adiC//cynT//fadA//argG//araC//lsrK//artJ//chbG//lpxD//phnP//yeaD//citG//fimI//phoH//hycH//aroA//glnB//nikR//spf//katE//gatD//appB//lacI//gltU//uxaC//fepG//pheS//dusB//uxaC//cpxR//phoU//yedX//ftnB//trpR//cheY//ugpQ//cvpA//citD//hyfJ//yjjZ//hslJ//gltB//cynT//folE//trxA//nuoH//ydeP//tauD//tap//
ChbR-Monoacetylchitobiose-6P_neg	sucD//araC//ybjG//rplP//exbD//tyrA//
ChbR-Monoacetylchitobiose-6P_pos	acrA//glpF//oppC//malI//hdeA//deoC//
CpxR-Phosphorylated_neg	comR//fepC//yiaJ//icd//udp//atoB//gapA//gspL//malE//nupG//focA//nirC//tauD//gpsA//nagB//cheR//fecB//rbfA//entA//entC//zntA//nrdD//xseA//rpmI//
CpxR-Phosphorylated_pos	nupG//lpxB//ydbD//mglA//nirD//rplM//lysO//napG//fdnI//yaeP//mglB//znuA//chiP//iclR//fimG//ycdZ//purM//yhiD//phnL//nikC//glpD//sbcD//ulaE//hycC//bcsC//mglA//fnrS//dadA//prfA//srlB//mdtD//tcyJ//rplV//rplD//hyaA//nuoN//argB//pheT//rrlC//xseA//ytfE//livF//nrdD//nrfA//uvrA//
CreB-Phosphorylated_neg	sroD//araG//acrA//
CreB-Phosphorylated_pos	dctA//torD//phoB//ftnB//fecR//narK//
CueR-Ag_neg	ivbL//trmD//hmp//dppB//hypF//
CueR-Ag_pos	pgaA//tauA//
CueR-Cu+_neg	hypC//caiD//dppD//uxuB//hisQ//
CueR-Cu+_pos	argH//patZ//
CuerR-Au_neg	upp//rrsG//cheR//psiF//hypA//
CuerR-Au_pos	bioB//gltF//
CusR-Pasp_pos	mpl//cusC//ulaB//rrlC//chbR//gatD//aceB//rplM//yjiY//lpxB//dmsB//casD//
CynR-Cyanate_neg	rpsI//
CynR-Cyanate_pos	paaC//paaF//glpB//
CysB-N-acetyl-L-serine_neg	cusB//entD//acrA//sufA//uhpB//tyrR//iraM//
CysB-N-acetyl-L-serine_pos	cas1//flhC//oppB//malF//dmsC//malI//appB//araJ//aceE//xylH//cheA//creA//tyrA//osmY//grxD//rrsD//uxuB//gnd//malZ//mglA//gspC//acnA//fecR//
CysB-O-acetyl-L-serine_neg	gadC//skp//gpmA//fhlA//casB//oppA//pepT//
CysB-O-acetyl-L-serine_pos	phoH//mhpR//mtlD//srlB//bhsA//glgP//lysA//rpsF//fixX//lacA//glpD//tdcF//ilvN//tdcA//nikR//hyaA//nusA//rseB//rnpB//aroM//csgE//astD//cysC//hyfR//
DcuR-Phosphorylated_pos	serA//leuE//recF//folA//truB//rrfG//ileT//dcuA//ygiC//
DnaA-ATP_neg	phoH//dppB//glmY//narQ//yjiY//yeaR//tdcB//rnlA//mcaS//xdhB//srlA//
DnaA-ATP_pos	metJ//astE//nanC//glnA//cysH//cheW//lhgO//
DpiA-Pasp_neg	evgA//
DpiA-Pasp_pos	narG//phoA//purF//focA//znuC//uhpB//hyfD//nac//idnO//mdtB//
DsdC-D-serine_neg	folE//
DsdC-D-serine_pos	ydfH//glgS//
EvgA-Phosphorylated_pos	ampE//modB//xapB//aaeX//trpA//feoA//ilvM//exbD//rimP//hcr//rrfB//yeiP//pheT//rbfA//fis//
FNR-[4Fe-4S]2+ reduced_neg	hybD//mtlD//fau//baeS//cysB//rrlD//oxc//gspH//rpsQ//metJ//chiP//aceE//sodB//lysC//safA//mgtA//manX//epd//aceB//bioC//psd//hyfB//fabZ//nrdF//acrA//spy//deoD//paaE//mhpD//yjeV//hycB//chbG//artP//ydhV//yojI//ubiG//bcsC//rrsD//hybB//pgpC//cspD//nagB//glpX//prfA//rutA//mdtB//rpsF//codB//ycdZ//hypF//ydfH//agp//ugpE//nikD//yneM//ompX//deoC//rhaA//malQ//hofB//lamB//eda//gntU//tdh//dapB//hybC//fldA//ykgO//malG//cyoE//sucA//malX//lsrG//cpdB//yidQ//dsbA//cspD//hypD//fdnG//hha//yaiA//guaB//idnK//dnaN//rpsS//ompA//lacY//phnP//ygiB//gdhA//idnO//adhE//ybfN//metC//aroM//pheM//rnpB//tfaQ//ileU//gntX//cysI//pdeF//acrF//livG//csgE//rutD//rpoS//cynS//cyoE//envZ//araA//hflD//psd//bcsC//lsrK//dcuA//fadH//rpmI//mtr//artP//
FNR-[4Fe-4S]2+ reduced_pos	fumB//prpR//pyrC//mdtA//narK//ydfH//malG//pta//nanC//dpiA//fixB//gltB//uof//aroL//nac//speC//paaF//rnlB//rrlH//nirC//ryhB//metL//pgaA//hpt//csgF//caiT//ivbL//soxS//alaS//glpG//agp//yqjH//alaA//manA//phnP//map//alkB//carB//zraR//ftnB//phoQ//uxuB//yaeP//tdcF//hycF//gatD//narQ//nrdI//yggX//miaA//map//adiC//yfbR//nuoC//narH//hyaA//gntP//fhlA//sxy//bacA//artM//ilvB//arcZ//tauC//ebgC//rdoA//ileT//truB//pitA//hha//cspD//fhuB//mhpE//tdcA//yeiL//dmsA//thrV//ptsH//yhhY//manZ//gcd//fimD//ascF//psiF//fepA//copA//ispE//fumB//ppiA//nuoN//metN//tdcF//yfbR//rstA//chbB//appY//ykgO//rrlA//yfdV//allC//tfaQ//puuC//phoA//cyaA//katG//lhgO//allC//dpiB//galS//pgaC//pstB//yfdE//torR//artP//purB//malF//ampD//pheT//citF//cynX//uxaC//ptsI//tar//bamE//sbcD//uxaC//lsrG//argH//iraM//moaC//araB//cysN//ulaB//ubiX//cytR//cynX//fhuC//rrfB//citF//fixB//puuD//yeiB//skp//glnA//ydeP//evgA//rutC//dpiB//rcnB//deoA//hcp//glgX//purN//rrlC//araE//metH//ilvC//phoR//ydeN//prfA//phoP//cydC//cspE//fadJ//ahpC//ydhT//rnpB//xapB//astC//pck//rbfA//ubiA//rpoS//purR//zwf//hycH//ada//ccmC//aer//ulaB//ynfE//araD//ilvD//cheA//nac//fldA//gntK//garR//dpiA//fes//fixA//fixB//map//gspO//nrdE//astC//tyrR//ulaB//ugpB//frdC//yfdV//hybF//
FhlA-Formate_pos	hpt//idnR//gapA//yojI//sodA//rplV//sucA//astC//metA//glpA//uidB//tap//sodA//rstB//astC//rmf//agaW//nagB//oppC//fadB//fimF//speA//glpK//hlyE//fur//phnO//fumB//ssuA//cysU//lacI//
FucR-L-fuculose-1-phosphate_pos	dgcZ//mhpR//srlA//rrsC//lrp//glgX//trpC//
Fur-Fe2+_neg	rplS//fimE//napB//fhuA//gntK//cynR//yibN//trxA//rutF//tonB//yfdV//adiC//map//leuE//hofN//moaD//oxc//exbD//sufE//cheA//metJ//hofP//ykgR//ompA//nusA//copA//argT//artI//hypF//narI//yciW//marB//yidQ//idnO//trg//speC//hflC//gspO//ssuD//ahpF//trg//glgP//dcuS//phnE_2//astB//artM//hypD//yaeQ//uxuB//dsdC//oppB//glpD//sohB//micF//ynfE//nrfA//dsdX//hycI//glnB//nrdD//entE//rutE//malF//rrlG//metN//gapA//nusA//yaeP//rrsH//hypF//gspL//rrlG//gpmA//ycdZ//glpX//rutG//hyfG//baeS//rimM//bamA//lsrB//metJ//tdh//entH//crl//ldtC//manA//iscA//tyrR//dcuD//argT//pheS//serA//puuE//sxy//dsdA//moaD//idnD//sucA//ilvM//metE//moaA//sdhC//phnM//yhcH//argR//mipA//zraR//recF//astC//ubiX//nirD//ygiB//mdtC//ynfF//puuB//sufE//purN//feaB//rseB//fbaA//glcG//hofM//entF//
Fur-Fe2+_pos	acs//qseC//fdnI//xdhA//xapB//trpA//narG//phoQ//araJ//atoA//rplC//envZ//gspE//chbG//mdtC//caiA//modC//dcuA//casC//yaeP//napF//purF//phoU//flhD//argP//
Fur-Mn2+_neg	ulaB//mltC//thrS//ynfF//aceA//alkA//fur//narJ//yhjA//fhuF//astE//serA//tauA//atoD//nrdB//paaG//hyaB//fldA//hyfI//hemA//feaB//aroM//fumA//modA//araC//dpiB//arcA//arcA//casE//gspH//alaS//fepD//evgA//purA//glpR//hdeA//mhpA//appC//acnA//ccmE//yfiP//ldtC//hycI//appC//hofC//treR//rimM//rplV//dsdX//rimP//cpxR//galT//sucD//tyrA//cadC//ytfE//argF//acnB//narG//nikB//yebE//sodB//rpsR//hyaE//cysN//ompA//caiF//nagA//mhpC//emrK//marA//ygiA//dmsD//bamE//gspK//infC//ptsG//lhgO//cyoB//bcsC//hycC//galP//fecB//argE//trpA//glgC//ssuA//hycD//murP//chbR//mipA//baeS//prs//ynfK//paaH//dmsC//hofC//frdB//skp//trpE//slyB//nrfF//lsrA//paaG//tyrA//degP//hybO//dmsB//araJ//fecR//lsrA//tauC//rhaA//abgA//mutL//fepB//glpK//fimA//ada//pstA//manY//rrfG//fis//rrfD//
Fur-Mn2+_pos	ogt//purB//hcp//yjeV//ilvM//hupA//puuP//nagE//mntH//araF//nrdH//deoA//pta//glnL//sufB//glcB//fepB//deoA//nirB//micF//gntP//deoC//pgpC//adiC//dcuS//
GlcC-Acetate_neg	sbcC//
GlcC-Acetate_pos	ispE//rstB//efeU_1//infB//pepT//abgA//
GlcC-Glycolate_neg	betT//
GlcC-Glycolate_pos	yhhY//nagB//cusC//osmC//uhpT//ssuD//
GlrR-Pasp56_pos	betA//
IclR-pyruvate_neg	yhjA//pdhR//truB//treC//
IdnR-5-ketogluconate_neg	stpA//crl//hdeD//
IdnR-5-ketogluconate_pos	feaR//yqjA//iraM//aceK//rrfA//
IdnR-Idonate_neg	envY//nmpC//glpX//
IdnR-Idonate_pos	tolC//fiu//dsdX//mcaS//rrfA//
IlvY-2-acetolactate_neg	sdhD//
IlvY-2-acetolactate_pos	phnE_1//
IlvY-Alfa-acetohydroxybutirate_neg	phoR//
IlvY-Alfa-acetohydroxybutirate_pos	lsrK//
IscR-[2Fe-2S]1+_neg	rrlC//amiB//iscR//araH//ldtC//gntT//xylA//hfq//waaH//lldD//dadA//cysH//sodA//hyfH//ybfN//purM//ilvY//lpd//betB//fumC//priB//fhuD//actP//ryhB//yhjA//prs//avtA//caiE//sucB//yeiB//
IscR-[2Fe-2S]1+_pos	garK//lysP//nuoB//sxy//rof//ydeN//rbsD//lrp//fucR//sufC//cueO//
LldR-L-lactate_neg	dps//glpE//paaD//
LldR-L-lactate_pos	mgrR//paaA//srlA//
Lrp-Leucine_neg	focB//alaA//dsdA//lsrC//cysP//hyfC//hypC//ugpA//citG//rhaA//tfaQ//aceA//fixC//paaB//idnR//caiT//argE//cydB//rstB//malE//pnp//purC//gatD//glcA//eda//yhhY//fimE//xseA//aidB//ftnB//paaI//grcA//fimC//argE//casD//sbmC//prmC//hfq//nlpE//bioD//artP//trpA//ilvL//dps//dpiB//citX//dppB//hflD//rhaD//nuoA//ygeA//mglB//hisQ//fadD//cpxR//glpX//yojI//zntA//cysN//borD//pitB//bcsA//gnd//pgaA//ychH//treR//trpR//ygiA//dppD//dctA//yeiW//srlR//ilvL//sbcC//phnE_1//
Lrp-Leucine_pos	fimF//rdoA//ycjF//hyfC//prpB//dctA//gadB//hyfE//zinT//puuE//ilvN//exbB//fadD//iraD//lysP//nagE//ynfK//fucI//cueO//caiT//yqjA//ugpE//phnN//bioB//nmpC//tolC//xdhA//sufB//yeaE//spy//hyaA//hyfC//lacZ//yneM//srlB//
LsrR_neg	narI//cydA//ihfA//cysK//rybA//gcvT//fes//ilvH//allC//
MalT-ADP-Maltotriose_pos	sbmA//moaB//sodA//tdh//yeiB//narQ//micF//uof//lsrG//yjcH//
MalT-Maltotriose-ATP_pos	pdhR//csgE//pheM//baeS//entF//nuoB//hupA//hofO//fepB//hypA//
MelR-Melibiose_neg	metF//gutQ//trmD//
MelR-Melibiose_pos	rhaB//bglB//trg//
MetJ-S-adenosylmethionine_neg	ydbD//casD//hybB//atoE//yeiW//gntU//malK//xapA//umpH//hisJ//spy//ompT//hyfH//motB//umpH//
MetR-L-homocysteine_neg	cheY//xdhB//
MetR-L-homocysteine_pos	glcD//bglB//ilvN//guaA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	qseC//frdD//mhpB//nrfA//fhuB//rplV//
MhpR-3HPP_pos	folE//metK//bcsB//tsgA//metY//ydhT//
MntR-Cd2+_neg	sufE//phnC//puuR//fixA//
MntR-Cd2+_pos	ygeA//
ModE-MoO42-_neg	hyfE//cyoD//ydfH//hybG//ccmD//uxuB//glcC//cydD//mhpR//arcZ//hofB//glnA//ubiX//mtlD//cysA//
ModE-MoO42-_pos	cusS//srlR//rstB//hemL//malK//cas2//mgrR//dnaN//gspK//metJ//tktB//entE//gatA//trpD//ccmH//hycA//nrfC//tnaC//mntH//hyaA//emrY//caiB//ilvG_2//entF//lysA//creD//purM//araF//entH//bioB//oxc//
NarL-Phosphorylated_neg	glcF//atoB//alaA//tktB//hycA//trmD//pheM//entA//yeiP//artJ//tsaE//dapD//grxD//cysU//hdeB//argD//trmD//yqjI//dmsA//adhE//kbl//araC//acrF//glcF//tdcD//sdhB//glpT//ccmD//fixC//ompR//ampD//putP//mhpE//psd//gutM//bglB//glpX//ykgR//dcuR//edd//hflK//rutC//cbl//ydhY//napF//xdhA//ynfE//ugpQ//ydeN//tnaC//dcuB//evgS//yrbL//yqaE//rseC//cyaA//cadC//hybC//lsrA//yojI//uraA//rmf//chbR//rutG//entB//sbcD//mdtB//rybB//garP//rutG//hycE//rrlA//eda//ydeA//rpsF//guaB//nagB//glpC//phnC//rbsR//nrfE//xylF//yfiP//metN//hflX//ndh//
NarL-Phosphorylated_pos	umpH//purF//stpA//rrfH//metC//dpiB//yeiB//flhD//nagA//frdB//glpX//garP//mntS//grcA//hybB//yjeF//cysJ//dnaN//fadH//argC//dnaA//rutB//upp//entH//zntA//ftnB//yeaR//casC//cusR//ydbD//rpsQ//gabT//speB//aceA//trpC//cysK//cusA//aroG//yrbL//fdnH//nlpE//glrR//ftnA//yhcH//tehA//sucC//
NarP-Phosphorylated_neg	yhfA//rseC//efeU_2//gabP//hybE//hypD//ampD//sbcC//ihfA//dgcZ//tap//malY//amtB//ileV//torD//araC//serC//dadA//spy//nrdA//lacA//cydA//rpsI//yciW//nuoA//cysK//creC//fucO//dadX//dppD//rpsJ//narQ//lysA//
NarP-Phosphorylated_pos	ulaC//rpsR//abgA//feoC//pta//garK//qseC//nrfC//hslJ//glcB//ugpQ//ynfF//amiB//ssuA//araE//sufC//dcuA//araC//infB//fhuA//gltD//rrlD//carB//ygeH//malQ//eda//uxuR//rutG//hslJ//argA//cynR//paaI//
NhaR-Na+_pos	ssrS//mhpD//mglB//ldtB//pepT//
NikR-Cd2+_neg	yibN//pncB//fadE//fepC//ilvL//fumB//
NikR-Co2+_neg	alaT//fis//nupC//nagA//glcD//purD//
NikR-Cu2+_neg	cynT//hybF//kbaZ//cusR//purH//allE//
NikR-Ni2+_neg	oppD//nrdD//stpA//glgP//cysU//iscS//
NikR-Zn2+_neg	rhaR//bacA//phoA//ccmC//ykgO//mscM//
NrdR-ATP_neg	erpA//rhaT//eda//priB//argF//yhcH//rseB//nanS//chbB//
NrdR-Zn2+_neg	hycH//glpK//psd//fhuD//efeU_1//hofN//flhC//nuoA//grpE//
NrdR-dATP_neg	comR//yaiA//murP//casD//yiaJ//phoH//ccmG//gntK//bglG//
NsrR-[2Fe-2S]reduced_neg	ilvX//phnG//sohB//ssuC//rpmC//nagB//cas1//tolC//proP//yjeF//pheS//ykgO//nrfD//tdcA//ubiX//gltB//gltA//cynR//speA//uraA//ugpE//mdtA//nrfC//chbF//ilvI//gatA//adiC//glpG//motB//dapD//rcnB//cyoB//bcsA//folA//creC//idnO//malT//phoE//lpxB//hybE//ptsH//yhiD//hycB//phnF//araG//avtA//rrsB//tdcD//znuA//ccmH//xylF//pstA//ynfH//rrlA//ivbL//sufD//nanA//frdB//ftnB//rrsB//mntP//acs//rimM//nanK//xdhC//malI//gltB//argE//agaV//uxaA//yqjI//pepT//fes//
PhoB-Phosphorylated_neg	cheR//nuoB//cysM//hcp//yeiL//acnB//deoC//sdhD//rutG//aroG//aaeB//gnd//gspG//
PhoB-Phosphorylated_pos	agaV//soxR//pheS//glpG//yebE//nrdD//dnaE//casB//stpA//dcuR//ileU//mhpE//yciW//nuoN//fhuA//secB//rseC//glnA//ptsI//rutB//gspK//purF//ygiC//phnO//purD//hypC//glpF//glmY//ptsG//artQ//murP//grxC//hyaF//lacI//artP//mzrA//glcA//eda//creD//aroP//astC//preA//pgk//hflD//bamE//cyaR//nuoJ//rof//yhjC//nuoG//tar//bioF//ulaD//
PhoP-Phosphorylated_neg	ada//trpE//purK//appA//zraP//xseA//mdtA//ompC//yhjA//nuoL//dps//
PhoP-Phosphorylated_pos	araB//gatZ//dcuD//ebgA//malE//hycC//pyrD//codB//hycA//citC//frdD//atoB//hycF//mltC//ulaE//skp//uhpA//metI//ykgR//amiB//yqjH//grxC//cynT//ybdN//uvrA//fumA//dctA//nrdF//hybE//tnaA//ssuB//cytR//yccA//marA//fixB//evgA//zraS//qseC//fadH//speB//nikE//rrlB//pyrC//paaF//rplC//nuoI//lysA//citE//mltC//
PrpR-2-methylcitrate_neg	yeiP//
PrpR-2-methylcitrate_pos	iclR//agp//baeS//rpsF//
PurR-Guanine_neg	glgB//degP//lsrR//tyrP//hupB//rrfA//metL//tnaC//glgA//gntP//dmsA//fes//rbsB//csgC//aaeX//fur//narK//alaU//aidB//hyfR//ung//evgS//norR//ssuA//thrV//ilvB//gspE//waaH//ydbD//glpA//ycdZ//ydeA//nuoH//trpD//
PurR-Hypoxanthine_neg	glcC//gpsA//hybF//glnL//ubiX//dmsC//yidQ//appX//norW//rhaA//rpsJ//fhuB//uxaC//hisJ//lysU//tehB//cysB//nanM//dppD//ydhU//ssuB//dkgB//fucI//yeaR//uraA//ygiA//glpG//deoD//yciW//nuoF//gspH//gapA//nrfD//znuB//
QseB-Phosphorylated_pos	nrdH//dcuC//bdcA//micF//
RhaR-L-rhamnose_pos	uhpB//astA//
RhaS-L-rhamnose_pos	argI//ynfF//sdhD//
RstA-Phosphorylated_neg	nirD//creA//tpx//hofO//malI//
RstA-Phosphorylated_pos	tolC//codA//putP//gspC//yoaG//
SoxR-[2Fe-2S]3+ oxydized_neg	trmD//
SoxR-[2Fe-2S]3+ oxydized_pos	dcuA//cdd//yfdV//
TorR-Phosphorylated_neg	moaB//
TorR-Phosphorylated_pos	argD//gspG//aldA//astD//nrfE//hofO//narG//rpsQ//ispE//
TrpR-Tryptophan_neg	pgk//hisP//argH//feaB//glnL//pflB//hyfR//cadB//melR//appX//gspK//aidB//
TyrR-L-tryptophan_neg	bioF//phnJ//mtlA//hemL//creD//tdcF//paaI//hybE//cynR//cysH//rhaT//amn//
TyrR-L-tryptophan_pos	cynT//glgX//melB//
TyrR-Phenylalanine_neg	ndh//dctA//raiA//evgA//cynR//hybA//xdhB//nrfE//cyoC//purN//aaeR//allC//
TyrR-Phenylalanine_pos	phnJ//hmp//phnG//
TyrR-Tyrosine_neg	yggX//nirD//hupB//nusA//hflK//rplV//fes//pck//epd//hybO//dsdX//oppF//
TyrR-Tyrosine_pos	fecC//znuB//ebgC//
UhpA-Phosphorylated_pos	gspO//
XapR-xanthosine_pos	prpB//ulaE//
XylR-Xylose_pos	rof//ilvX//cydC//cas2//pitA//sucD//
ZntR-Cd2+_pos	uof//
ZntR-Hg_pos	ccmC//
ZntR-Zn2+_pos	sufS//
ZraR-Phosphorylated_pos	ydhX//tdcE//prpC//
Zur-Zn2+_neg	gcd//thrV//tnaC//nuoK//glgS//zraS//
