#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	nuoI//yrbL//
ArgR-L-arginine_pos	cysM//yojI//mutY//fucK//nohA//
AtoC-phosphorylated_pos	ung//gspJ//ykgO//paaF//
BaeR-Phosphorylated_pos	gatA//malZ//nanC//hcr//efeU_2//qseC//rbsC//metK//
BirA-bio-5'-AMP_neg	ihfA//mtr//cusS//yhjC//fepD//
CRP-cAMP_neg	atoA//alaU//iscA//glpE//aroF//moaE//aceE//gabD//gltV//purM//yegH//puuE//trpL//pepT//ompC//garP//glpF//xylH//garL//tauA//citX//csgG//csgF//citD//galK//fepG//prpD//cysD//uhpC//prmC//emrK//metQ//ahpC//xylF//cysB//phnE_1//paaI//fimA//creB//ybdN//zinT//chbF//ahpF//trpB//nrdI//deoD//aroM//cadA//trpL//hyfF//hycA//ompX//garL//ulaB//glpB//yciW//tdcA//kbaZ//yebE//appY//sodA//malG//tehB//uxaA//galP//ydeJ//adhE//gspJ//dsdC//gadB//yidQ//cysA//xylH//fimE//ychO//yjeV//ccmC//sbcD//qseC//mgrR//nrfE//edd//pgaA//mutY//tonB//uof//ygbA//nrdI//ivbL//rprA//galP//fhuC//amn//treB//alaV//narX//ygaC//priB//fiu//malI//mcaS//dmsD//hpt//dmsA//fucI//uof//caiF//astA//allE//trxA//micF//chiP//nagB//srlE//feaB//ssuC//puuB//uhpT//hycA//bacA//ptsH//gatB//mdtD//nirC//malY//nirC//mutY//fecD//iscA//ldtB//mdtC//ompR//glmY//
CRP-cAMP_pos	hyaD//ycdZ//malM//yrbL//nusA//purB//acrD//xseA//rybB//araC//trpA//hyfB//motA//hybB//cyoC//rbsR//csiD//cysP//motA//abgT//priB//yaiW//rdoA//dcuR//waaH//rrfH//abgT//ilvL//nanK//metA//livJ//pgk//ygaC//fimI//phnP//araJ//pyrC//phnP//argH//pdhR//ytfE//livH//yaeQ//hdeD//yhjA//dps//glpG//cydA//dsbA//hlyE//gspD//tonB//uhpT//yidQ//araC//artQ//lsrC//yfeW//araJ//cvpA//degP//glpA//livH//trpC//malG//malS//rstA//xapB//ygeH//gabD//srlD//fdhF//nusA//cadB//pepT//lldP//ychO//tadA//hflC//glcE//rbsB//dcuA//nohA//ryhB//hisJ//chbB//cysM//betT//hypE//rbsD//crl//phnG//citD//nuoI//oppD//yibN//hisM//envZ//lsrF//zraS//narG//paaZ//ulaF//ydhT//hycG//rpoS//gspC//rprA//mntS//gatA//rplM//oppA//araC//hybE//glcA//evgA//nuoH//edd//trg//hcp//garP//sbmC//ackA//mutL//frc//creB//hycC//slt//fecR//ydeJ//lpxB//glcC//livK//rstB//codA//gltW//glpE//talA//mpl//dsbA//csgD//lsrG//lpxB//mglA//cusB//nuoC//nagE//srlA//hpt//cvpA//phoP//fabZ//mhpF//ileT//sohB//nohA//bioF//phnE_1//slyB//ykgR//aspA//ugpA//betI//tyrB//yqjI//fhuA//gutM//gatC//metI//mntS//csgC//napF//tehA//gcd//hycB//yhiD//ompA//gspL//yeiW//mtlD//katE//phnN//glpA//glpG//fadL//gspE//zwf//ynfG//glcG//nikE//mntS//phnL//marA//nrdG//yqjA//sdhB//skp//waaH//alaA//serC//entC//motB//ptsI//csgA//ulaD//ytfE//metF//hyaD//purD//cra//copA//idnD//fumB//ygiB//cyoC//oppC//tdcE//livK//bcsC//ydeN//hyfD//cadA//bamE//rpsJ//hybA//ytfE//rybB//aroF//nlpD//rutA//yibN//malF//soxR//hyaD//hyfA//rnlA//cyoC//rrsG//mntH//dppA//hypD//marB//ftnB//yqjH//gltA//yojI//prfA//iscS//rrsD//ebgC//pncB//betA//feaR//rbsD//fur//upp//bamE//dkgB//garP//purF//nirD//metR//ilvL//ompW//rplB//paaZ//rrsG//lacA//gltU//tam//entD//yrbL//hyaA//tyrB//araD//prpE//ivbL//metI//lsrB//hyfC//mgtA//phoA//fepE//hisQ//yrbL//safA//frdA//chbF//speC//ilvH//sufD//glgX//nfuA//nrfD//chbC//hcp//livG//codB//speA//glnB//mdtD//aroF//xylF//atoD//yrbL//bcsA//ppiD//dcuA//hyfJ//nuoG//prpC//stpA//alaU//ycjX//aidB//feoC//carB//gabT//lpxD//ydbD//creC//comR//modB//bacA//cysD//cusR//xdhC//rplP//yiaJ//fadJ//argT//glpR//nikA//znuC//hdeA//narJ//rpmI//nikC//astD//ygaC//lpxA//puuE//dsdC//yeiP//treC//ryhB//bioD//yiaJ//lamB//uraA//fadE//mgrB//codA//cysP//rimM//fixB//prpR//ycjX//ppdD//fecA//chbA//nanM//fixB//feoA//tyrB//chbB//dmsC//deoD//casC//melA//appX//grpE//ykgM//norR//yhhY//entE//artJ//arcA//nupC//ynfK//fixB//cysJ//ygaC//glnA//gspF//soxR//glpB//rbsB//nanM//lhgO//garR//gabD//ompF//iscU//nrfF//dsdX//glpX//alaS//speC//appA//ompC//yedX//ompR//rrsE//znuC//ychH//dmsB//malG//bdcA//fucO//pepT//cysG//glpD//sucA//citG//mlc//gntK//yhiD//glgS//argI//ilvM//pdhR//rseC//citF//glnB//marB//purE//thrS//acrF//
ChbR-Monoacetylchitobiose-6P_neg	pheT//pstA//fecB//znuA//leuE//gspH//
ChbR-Monoacetylchitobiose-6P_pos	fepA//ldtC//edd//gspC//znuA//trpD//
CpxR-Phosphorylated_neg	prpB//yhjC//livH//cynX//mhpR//tsgA//astE//hyaC//fepB//tdh//dkgB//fadA//entC//hyfF//yggX//nrdE//hycF//alkA//actP//bacA//tar//rbsB//lpd//abgT//
CpxR-Phosphorylated_pos	fdhF//prmC//hyfA//hcr//yccA//udp//purM//borD//glpD//chbA//ilvA//talA//nrfA//fepA//hisJ//ndh//oppC//rrsH//ytfE//fecA//ysgA//araE//chbB//ileT//rhaB//cpxA//lysC//mhpR//aaeA//hycC//fixC//cysM//phoR//hflX//aroA//fadA//xylA//tyrA//flhD//citC//alaV//fepD//putP//idnT//rseA//
CreB-Phosphorylated_neg	ilvB//nuoG//fimF//
CreB-Phosphorylated_pos	bioB//rrlG//nupG//livJ//lamB//hyaC//
CueR-Ag_neg	cysI//rhaR//priB//glcA//fbaA//
CueR-Ag_pos	fepG//glgA//
CueR-Cu+_neg	malM//soxS//torC//bhsA//ihfA//
CueR-Cu+_pos	phnP//nusA//
CuerR-Au_neg	pflB//nuoK//crl//cspE//garP//
CuerR-Au_pos	ppiD//torA//
CusR-Pasp_pos	nuoK//mdh//hypF//tdcD//arcZ//rpmC//iscR//ldtC//paaZ//rplC//hypD//cysC//
CynR-Cyanate_neg	rplW//
CynR-Cyanate_pos	bglG//bglB//malY//
CysB-N-acetyl-L-serine_neg	nrdI//araE//pyrC//argD//rof//fixB//bglF//
CysB-N-acetyl-L-serine_pos	yeiB//gcvH//fimE//chbA//gspC//ssuD//astB//livG//rhaR//gabD//lldD//rplI//fepA//uxaB//dps//metE//paaK//fimH//malZ//fimI//glcG//uhpT//acrF//
CysB-O-acetyl-L-serine_neg	appC//hofB//aidB//moeA//caiF//cysN//mntP//
CysB-O-acetyl-L-serine_pos	fadI//emrY//pdhR//acnA//ahpC//cydA//glmY//rutE//mdtC//tam//lacZ//rpsQ//xdhB//rrfF//fecB//yaeP//moeB//aceA//rplP//yneM//csgB//malT//purM//cysA//
DcuR-Phosphorylated_pos	asr//rrfH//deoA//safA//cadB//hyfD//mhpB//lsrB//ilvE//
DnaA-ATP_neg	xapB//cdd//rplS//ssuA//melR//hcr//gltB//hflC//agaA//mhpB//osmY//
DnaA-ATP_pos	fdnI//cysG//yhjA//gdhA//metA//nanS//bioA//
DpiA-Pasp_neg	caiB//
DpiA-Pasp_pos	nikR//ygeH//yfdX//glcF//moeB//yjeV//lamB//dps//skp//yqjH//
DsdC-D-serine_neg	rybB//
DsdC-D-serine_pos	metN//ygbA//
EvgA-Phosphorylated_pos	glgC//yoaC//ydeN//udp//moeA//paaA//nikR//aroG//ilvM//oppC//napB//hybD//sdhA//tdcD//rpsO//
FNR-[4Fe-4S]2+ reduced_neg	allD//hybG//manX//thrV//fumB//pgaD//cyoA//ppdD//tauC//nusA//glpC//gltT//gspI//yhhY//rnhB//malT//metQ//dcuD//ftnA//hypE//bglF//citG//nupG//ada//deoB//caiF//feoB//cyoD//malQ//tdcB//miaA//entH//garP//acnB//tyrR//araG//fdnI//ompC//gapA//rrsE//dcuD//pgaA//prs//ascB//dcuS//rpoE//phnD//phnN//prmC//puuP//sbmA//ygaC//aceA//mgrB//hmp//ygiC//gadC//aroP//yjjZ//feoA//uhpC//ccmA//paaC//pgaA//moaC//napA//fbaA//aer//dadX//ptsG//dnaN//dsdX//gabT//dapD//bacA//astB//fau//csgC//nuoK//citX//livM//tdcF//motB//argF//cheW//degP//melA//yrbL//ydhT//rplT//rrfH//xylF//pgpC//ubiX//arcZ//yhcH//nrfC//dcuS//yhjA//astD//cyoC//ybfN//hybE//priB//metL//modA//lsrB//ssb//rcnB//fecR//ccmF//acrF//dmsD//lsrC//prpR//argD//casB//aspA//mscM//malY//
FNR-[4Fe-4S]2+ reduced_pos	hfq//cvpA//ydeA//cydA//adiC//rpsC//malE//kbaZ//tktB//frdC//hofB//sufE//paaE//nikA//dadX//entC//rbsR//sohB//znuC//ccmA//rpsR//feaR//lamB//mhpA//lsrB//rcnA//uxuB//fadI//fadI//katE//creC//hpt//fepE//ftnA//fhuC//baeS//sdhB//srlD//purK//gadB//xylA//folA//nrfD//purF//rrsC//rutA//glcE//garR//ugpC//rrlC//ubiX//hypC//prpB//lsrR//atoE//alkB//thrV//trpR//argR//sodB//skp//rpsS//ebgC//fadA//cyoB//gltU//yhjC//fucI//fadB//rrfC//ydeO//alaU//ompA//flhD//tauB//ftnB//lpxD//yqjA//phnK//fadI//phoB//oxyR//sdhB//dpiA//mhpB//dmsB//araB//grxD//metB//phoA//cysM//znuC//rbsB//rrlC//cas2//mgrR//xdhB//dps//abgT//ybfN//skp//ilvX//napB//fhuA//ydeO//ygeA//fbaA//dnaN//fecC//fhuF//nikB//xdhA//casB//epd//nuoG//xylB//nanM//rplS//rutE//rrlD//rrlE//narK//lysU//trpL//acrB//srlB//argI//hflK//zraS//bioF//lldR//lsrA//stpA//uof//paaG//torC//folA//lhgO//purK//purN//ilvG_2//alaA//srlE//raiA//hypA//hlyE//napH//tdcA//rrlC//tfaQ//fabZ//mdh//narL//ygiB//yaeQ//cra//ulaC//mhpC//malS//fepG//rstB//garP//astA//mtlR//pstC//argI//rpsS//cysP//fucO//hyaC//ada//ssuD//galP//ydiU//mglA//yojI//rpsP//rpoH//ydbD//glgX//metB//gspI//mdtB//ompF//ilvB//lysA//yaeQ//creA//uxuR//yqaE//cadB//grpE//tauC//gspF//fimA//metL//hdeA//yaiA//ompW//chiP//hofM//mtr//
FhlA-Formate_pos	mutL//metC//phnC//agaW//sbmC//bioD//abgB//rbsK//guaB//artP//glpC//nuoB//hyaE//uidC//rrlE//edd//nmpC//xylB//narH//fhuC//metI//fepB//ydfN//rrlG//gspD//entS//napB//glcC//cyoC//yqjA//
FucR-L-fuculose-1-phosphate_pos	ynfF//fucO//murP//phnL//gspO//exbB//katE//
Fur-Fe2+_neg	arcZ//phnF//kbl//oppC//manX//ilvM//nagB//trpA//cspE//tpx//tsx//lacA//gapA//fucI//glpF//napF//tnaB//fepG//rpoE//narJ//nusA//yiaJ//qseB//rof//cspD//frc//cysB//srlA//rplC//puuA//dsdA//acrF//agaV//dppA//ydeN//rhaD//cyaR//rplD//tsr//trxA//garL//tehB//crr//purK//ybdN//rbsR//yidQ//ilvD//bioA//rbsD//rpsQ//pgaA//marB//yebE//gyrA//paaF//yqjI//narX//yecR//rpsF//acs//kbaZ//metN//araB//galT//hemL//rpsF//pta//nmpC//fhlA//amiB//atoE//tdcD//acs//tsx//deoD//ychH//mntH//acrA//dcuR//fdnG//ykgR//aaeA//puuC//amiB//lsrG//ssuA//gntR//frc//ahpF//alaT//rseA//ybfN//rrfC//tolC//csiE//atoA//waaH//rpsC//hyfE//iraD//dsdA//nagA//dnaE//nanS//cysG//yqjA//purD//allE//hfq//dadX//feaR//yfiP//mtlR//paaD//frc//xdhC//nuoM//torA//folA//carA//gspH//dgcZ//ccmH//
Fur-Fe2+_pos	yaeQ//gatC//aaeR//cdd//argG//ydiU//metF//malP//cysJ//tolC//frdB//cusA//trpC//atoD//uraA//melR//efeU_1//narH//alaS//srlB//yhfA//gltU//entF//trpD//metY//
Fur-Mn2+_neg	purN//rrsA//yaeQ//rpmC//purA//fecE//yjjZ//ydeP//modB//gadB//hflD//nagE//yeiP//rseA//tauB//nrdF//lldR//ung//deoB//rnlA//ybjG//allE//fnrS//purE//mhpB//metB//yeaD//idnT//puuE//yecR//araE//hyfB//garK//gutM//malS//tsaE//cyaA//lldD//bamA//bamE//xdhC//glpQ//gatD//yhcH//napH//modB//nanT//argT//edd//galK//appX//alaV//metC//yjcH//paaJ//glpK//creC//rrsC//mzrA//feoA//nupC//yaeP//nikR//betB//proP//hflC//hypA//sohB//glcC//rhaB//xylR//fadA//gspD//metH//ugpQ//hycE//tam//mgrB//rrsG//malZ//agaV//amtB//kbaZ//yedX//nanA//hybA//hyfB//hycG//glnD//dppB//tktB//pitA//creA//evgA//phoB//mgrR//srlE//oxc//nrfA//malQ//hisQ//spf//mdtA//xylA//rpmI//dctA//gspJ//oxc//gabD//ackA//yfbR//nrdG//bglG//napC//yeaR//aidB//cusB//fliZ//araG//pgaD//fimE//nupC//yegH//rstB//
Fur-Mn2+_pos	dadA//map//ydhT//yqaE//nrdD//glcG//citF//hyfD//dapB//ssuC//mgtA//deoA//phnG//tyrA//uxuR//ydiU//fabZ//iscS//dppF//flhC//modB//yhhY//glgP//fucK//cusC//
GlcC-Acetate_neg	appA//
GlcC-Acetate_pos	citF//priB//modA//hisP//phnK//ssrS//
GlcC-Glycolate_neg	dppD//
GlcC-Glycolate_pos	rutC//hha//nanM//hybA//phnP//lysO//
GlrR-Pasp56_pos	hypD//
IclR-pyruvate_neg	fhuD//aroL//yhhY//cysW//
IdnR-5-ketogluconate_neg	pgaD//fecI//hofP//
IdnR-5-ketogluconate_pos	cbl//dppA//yhjA//metK//ccmH//
IdnR-Idonate_neg	ilvG_1//hyfB//dppB//
IdnR-Idonate_pos	dcuR//caiB//nanT//creD//araD//
IlvY-2-acetolactate_neg	feoB//
IlvY-2-acetolactate_pos	serA//
IlvY-Alfa-acetohydroxybutirate_neg	aldA//
IlvY-Alfa-acetohydroxybutirate_pos	yjcH//
IscR-[2Fe-2S]1+_neg	pgaC//ssrS//gyrA//cadA//aaeA//dppF//rrlD//atoA//lsrC//metR//fepG//rrsH//ccmH//ssuB//dsdA//tcyJ//exuT//cysD//srlD//sufD//fldA//fhuE//ompF//baeS//proP//artI//frdC//nanT//appY//nrdF//
IscR-[2Fe-2S]1+_pos	citG//nrdF//mhpF//hycB//nuoM//xylG//rpsO//gltU//metR//ulaB//gspI//
LldR-L-lactate_neg	creA//cyaA//rutA//
LldR-L-lactate_pos	artI//cas2//hycC//
Lrp-Leucine_neg	cas2//slyB//malG//galK//rrsE//fdnI//cas2//amiB//paaZ//rybB//rhaB//metN//gatY//rhaS//prpE//fdhF//rutG//betA//prmC//mdtA//leuE//ptsH//acrF//hisM//napB//aroH//nuoH//mglA//bioA//napC//tdcD//appC//fecI//atoA//nrdF//rutB//uvrA//mutL//cusF//efeU_1//ahpF//gspH//nrfC//slt//fepB//nagC//rutE//yeiP//malZ//cysD//cas2//argB//purL//fdhF//hflD//gspJ//hyfR//sodB//bcsA//lsrB//oppC//qseB//metJ//ivbL//aceE//ptsH//tauD//lysO//nlpD//yeaE//iscR//csgF//cyoC//tolC//phnF//
Lrp-Leucine_pos	rrfB//metJ//glpC//arcZ//csgE//dctA//adhE//manA//cadB//udp//mzrA//nanT//srlD//yneM//spy//tktB//entB//nagE//ugpE//gapA//evgA//frdB//patZ//hyfD//ampD//rpoH//paaB//mhpA//hybD//ubiA//fimI//hflD//tdcC//ispE//hyfJ//
LsrR_neg	caiA//glnL//lysU//ompW//rbsK//rrlD//tnaB//rnlA//psiE//
MalT-ADP-Maltotriose_pos	mtlR//nanT//safA//xylF//melR//rybB//sufE//fimF//ilvH//ssb//
MalT-Maltotriose-ATP_pos	map//mgtA//tdh//gspG//tnaB//pyrD//hydN//ulaB//argD//xylG//
MelR-Melibiose_neg	motA//ompF//galS//
MelR-Melibiose_pos	yhjA//ssb//dsdX//
MetJ-S-adenosylmethionine_neg	arfB//rrsE//rstB//ileV//glrR//allC//malP//gdhA//rbsA//mepH//ilvB//ynfG//hyaB//rseA//rybB//
MetR-L-homocysteine_neg	uof//dpiA//
MetR-L-homocysteine_pos	rrsG//tdcF//aaeR//erpA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	dmsC//glpD//hofB//rutA//idnK//preA//
MhpR-3HPP_pos	araG//cysB//yhjA//tnaA//moaB//manZ//
MntR-Cd2+_neg	torR//nupC//torC//rrfF//
MntR-Cd2+_pos	pepT//
ModE-MoO42-_neg	metL//hflC//lolB//ygeA//nupG//gspL//mgrB//manX//tsgA//zraS//casD//moaE//znuB//purR//gspK//
ModE-MoO42-_pos	yeaE//cas2//ispE//xapA//frc//pepT//mhpD//nlpD//ssuD//evgS//cbl//emrY//cysG//paaD//iscS//rplD//fucA//rpsI//fepE//argC//rbsA//sbcD//betT//rhaA//proP//deoA//malT//atoA//crr//katG//gltV//
NarL-Phosphorylated_neg	aaeX//lpxD//gatZ//dsdC//cusB//sxy//araG//spy//ebgC//baeS//ompW//emrY//evgS//trmD//fliZ//prfA//metL//rnhB//lacY//modB//hyfG//crr//grcA//ulaD//araE//cydB//azuC//rpoH//fdnG//grxC//nikA//gspD//yrbL//uxuA//ybdN//mglA//hofO//dadA//ugpE//znuC//ilvY//arfB//fecI//nikR//phnH//rpsF//speA//fecR//acs//alkB//hyfD//ubiX//deoB//baeS//csgC//fimD//mntH//ryhB//ompR//astD//dmsB//epd//hyaB//tsr//yfdE//bglF//trpA//fdnG//rseB//bioD//srlD//ydeN//ascB//hyfR//citG//aldB//pnp//lysU//phnJ//rhaA//entS//ilvG_2//ilvI//manZ//ubiG//tcyJ//
NarL-Phosphorylated_pos	carA//ilvM//bcsC//ldtC//polA//yjcH//nagA//metL//dctA//qseB//cysA//cyoA//fucK//rrsC//gspG//agaA//mhpA//fhuF//prs//tnaC//malP//alkA//malI//aaeA//dppF//mhpF//cynX//sucB//paaE//cas2//alaU//paaZ//gspJ//zinT//xylF//purL//aldA//gyrA//crr//purR//fumC//rhaT//yidQ//rrlC//amtB//lldD//
NarP-Phosphorylated_neg	gspH//aceE//entH//ppiA//cydD//hmp//mdtB//rpmC//yhhY//malP//ansB//hofN//fur//tfaQ//mdtB//malF//fnr//glcF//hypF//puuE//aceA//livG//pgaD//nrdI//guaA//sdhA//phnL//hdeA//yeiW//aidB//yegZ//yhjA//ulaD//
NarP-Phosphorylated_pos	astD//rutG//glnB//nagB//puuR//ugpC//hyfR//aceK//kbaZ//purH//yegR//ada//aroM//hypE//ilvM//atoB//phnC//fiu//ygiA//csgG//phoQ//ybdN//trpE//pgaB//recF//idnO//upp//yeiP//nlpD//rutG//hyaF//cadC//
NhaR-Na+_pos	trpL//argF//atoD//fepE//ilvN//
NikR-Cd2+_neg	rcnB//glpQ//rpsQ//argR//phnN//ysgA//
NikR-Co2+_neg	ilvA//sroD//betI//bioD//argO//trg//
NikR-Cu2+_neg	casB//nadC//lysP//yedX//rpsC//torC//
NikR-Ni2+_neg	argB//hypC//fdnH//fepA//uhpC//galT//
NikR-Zn2+_neg	nuoH//yibN//cysC//caiT//caiD//csiE//
NrdR-ATP_neg	gatB//nrdH//tolC//ascF//metA//hypA//psd//thrS//fecI//
NrdR-Zn2+_neg	rcnB//modA//rrsB//lpxD//argC//rpmC//nikC//rpmC//mepH//
NrdR-dATP_neg	ackA//nanT//ilvY//mgrB//fadA//tsgA//sohB//frdA//nagE//
NsrR-[2Fe-2S]reduced_neg	cusA//hisQ//yrbL//xapB//norR//acrE//ugpE//csgA//artM//flhC//deoB//paaH//icd//hupB//gntT//metL//mutY//cpxR//pheM//malF//ydhW//yeaR//feoA//malK//adhE//phoQ//artM//pagP//chbA//lacY//hypF//pitA//metH//sufC//casB//trpA//rpmI//lsrD//dppC//ydfN//metE//mhpF//purD//aspA//spf//deoD//hyfF//puuB//ogt//torR//livG//paaA//glpD//ascF//pck//mntP//hyfA//norR//ileV//lsrD//evgS//casB//emrY//ynfK//nanC//fadD//fadH//tdh//hyfJ//ompW//fecR//moaE//treC//
PhoB-Phosphorylated_neg	iscA//phoQ//ackA//asr//grpE//malG//ldtC//ompX//chbR//gpsA//phoA//cheY//aceA//
PhoB-Phosphorylated_pos	dmsC//astD//sdhC//citG//manY//ilvM//trpC//lysO//malT//glgB//fecD//sbcC//secB//qseB//psiE//argI//ompW//metI//lysP//ppdD//rseC//tktB//yebE//zraS//rcnB//phnK//baeS//paaD//sbcD//argR//uxaA//aroP//icd//phoE//csiE//pitB//phoE//gspM//hdeB//iclR//uhpC//gcd//nagB//csiD//yjeV//hflX//codA//ebgA//bcsB//bioC//hyfR//narG//nusA//
PhoP-Phosphorylated_neg	entE//osmY//rrfG//lpd//dppA//rpsQ//rrfA//rpoS//metE//nac//modA//
PhoP-Phosphorylated_pos	ilvL//ychH//glpT//deoD//phoE//trpE//cspD//bioD//bcsB//mdtC//rrsD//lldR//ykgR//trpA//fixB//livF//nikE//mltC//csgE//rplI//araF//betI//rplT//puuA//citX//hycF//livK//torC//bioC//yhiD//rcnA//nirB//tyrP//fepE//ilvG_2//entH//csgA//casC//lpxD//fixX//fepA//gspK//nupC//citG//nanE//entD//gntK//gutQ//fixC//
PrpR-2-methylcitrate_neg	gspJ//
PrpR-2-methylcitrate_pos	fecD//ulaE//phnE_1//uhpA//
PurR-Guanine_neg	gspI//dsbA//fadA//rrsH//hycB//sbcC//hcr//hyfE//alaA//napF//xapA//galE//gabD//lsrR//tauC//hyaE//rdoA//citG//kbl//fes//torD//glmY//aaeA//glgX//lldD//uxaB//soxR//thrS//mscM//osmC//ygiA//hypA//waaH//tehB//
PurR-Hypoxanthine_neg	rutG//norW//nuoA//entC//rpsR//tadA//efeU_1//ydfN//metF//srlE//cydC//abgB//lsrR//paaI//bamA//borD//nrfC//fabZ//yaiA//ybdN//rpoE//argE//gatD//glnB//yeaR//modA//ubiG//tauA//ilvH//caiD//narK//spf//gyrA//rrsA//
QseB-Phosphorylated_pos	srlA//cysP//mzrA//gltF//
RhaR-L-rhamnose_pos	xylB//mtlD//
RhaS-L-rhamnose_pos	ygbA//aspC//sdhA//
RstA-Phosphorylated_neg	prs//glgB//dcuR//casC//puuR//
RstA-Phosphorylated_pos	paaD//xapB//ynfH//dcuS//nirB//
SoxR-[2Fe-2S]3+ oxydized_neg	puuE//
SoxR-[2Fe-2S]3+ oxydized_pos	sufC//yecR//uvrA//
TorR-Phosphorylated_neg	cpxR//
TorR-Phosphorylated_pos	cydB//pgpC//malY//ugpB//artQ//gabD//hha//cas1//rhaT//
TrpR-Tryptophan_neg	guaB//leuE//ackA//dctA//oppD//tsaE//oxyR//ycdZ//gspM//emrK//aroF//oppF//
TyrR-L-tryptophan_neg	mhpB//rplV//uxuA//nuoC//ydhY//cspD//mglB//betI//tdcC//lpxB//fepB//nuoM//
TyrR-L-tryptophan_pos	acrD//glgB//slt//
TyrR-Phenylalanine_neg	kbl//creA//fecE//umpH//ilvX//tar//trxA//gspD//fliA//zraS//lysU//fecE//
TyrR-Phenylalanine_pos	nuoM//phnG//degP//
TyrR-Tyrosine_neg	infC//chbB//yfiP//argP//hypB//entH//napG//cirA//rplT//arfB//nrfB//dmsD//
TyrR-Tyrosine_pos	gltB//fhlA//tdcD//
UhpA-Phosphorylated_pos	treB//
XapR-xanthosine_pos	phoQ//malY//
XylR-Xylose_pos	yedX//paaB//tnaB//ilvL//nuoC//bioB//
ZntR-Cd2+_pos	artM//
ZntR-Hg_pos	rrsB//
ZntR-Zn2+_pos	flhC//
ZraR-Phosphorylated_pos	sufC//treB//trpR//
Zur-Zn2+_neg	phnH//thrV//hofP//mutY//lamB//lysO//
