#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	hha//yggX//
CRP-cAMP_neg	dsbA//xapA//ydfN//acrF//modA//dnaA//frc//ydhY//alaU//preT//sucB//trpE//rpsO//dcuB//aceK//ugpQ//ssrS//gltD//rdoA//rnhB//iraD//tadA//hslJ//phnG//pstC//trg//manY//nirB//rybB//actP//guaA//lsrA//phoH//entD//pstB//dnaE//fdhF//lsrC//rnlA//rrsE//tauC//murQ//tehA//nikE//pgaC//mglC//puuP//purD//bamA//phoU//fepB//tyrR//ynfK//znuA//mglA//tcyJ//fixX//ubiG//marR//grxC//citX//galT//caiB//rplI//abgB//dcuD//rbfA//acrB//mgtL//betB//nadC//citE//glcG//fliZ//puuE//tauA//raiA//mhpE//spf//cspE//rpsP//metH//yjcH//metA//phnF//manX//prs//ilvM//nikC//ptsI//artP//ansB//gcd//aaeX//mcaS//adhE//crp//tar//rutG//mhpC//yhfA//preA//mhpR//gspG//tyrP//ygbA//tsx//aceA//ogt//sucB//idnK//yeiW//glcC//pheS//cysK//ugpE//gntU//edd//hycH//rhaB//dcuR//rrfD//mtlR//ispE//hupB//galM//xylF//lpd//hypD//livF//araC//fhuB//ompW//
CRP-cAMP_pos	entE//mzrA//chbB//cyoD//sxy//fimF//aldA//ssuB//entE//nanT//ileV//torD//cpdB//argF//rprA//glpK//emrY//aidB//hyaA//gspJ//pgk//chbA//nikD//glmY//feoB//caiF//avtA//yegH//rplB//cyoB//cyoD//rrlE//dcuA//rpoS//cyoB//ygeH//caiC//rseA//lacY//pyrD//argC//csiE//mhpB//cysW//yoaG//copA//gspI//mzrA//glgX//tap//nanT//rplC//alkA//yqjA//mepH//rutG//proP//ilvB//glpG//cynX//exbB//envZ//ychH//dsbA//lacZ//nrdI//puuB//fecC//ccmC//prpB//bamA//ygiB//yegR//purE//fecE//rhaS//agp//manY//tyrA//glcD//phoU//rybA//hcp//puuR//rrfD//glcC//trpR//comR//creD//dcuS//rnpB//deoB//galT//allE//pgaA//argC//glpF//zraP//oppB//malQ//deoC//nupG//xapB//gcvT//idnO//nuoK//alaA//nlpD//srlB//marR//fimI//rrlE//fecI//ychO//glnB//ilvL//hyfA//nikC//appC//yjjZ//fadL//znuC//fadB//pagP//hflX//dppD//ygeH//phoB//ugpQ//fiu//ydhX//mutY//ilvC//creA//preT//hyfD//nmpC//grcA//yhfA//gutM//rseB//ynfH//norR//treC//epd//nrdD//chiP//aceF//tolC//malS//ubiX//hcp//ydeO//cvpA//zraS//rrsA//phnK//osmY//znuB//chbG//rbsD//gcvT//cydB//rplW//pyrD//napC//rplB//argI//artJ//phnK//rbsR//dcuD//gabD//fadD//ulaB//cynT//putP//yhjC//rhaR//ampD//gspF//modB//xseA//bioB//ilvG_2//rbsC//atoD//trg//dnaN//tdcE//marB//yjjZ//puuC//iraD//grcA//phnJ//xylG//rpoH//ileT//ybdZ//dnaN//tam//cysJ//rutC//efeU_2//rplI//uidC//deoD//ykgO//efeU_2//ilvG_1//paaC//hyfC//purN//dkgB//nuoA//fimH//yneM//srlR//hflX//nikB//csgE//skp//araB//bioD//nupG//preT//malT//rpoS//emrY//nuoI//nuoN//cusS//lysP//astB//aceK//soxS//ycjX//ccmF//glpA//ycjF//infC//deoD//arcA//nagC//phnL//astB//tyrA//mglC//lysP//ydhW//hlyE//tdcC//cysC//nagE//xapA//gltT//metQ//zraS//hflX//nrfC//pheT//agaV//fhuE//phnE_2//narQ//gspF//hofN//gatA//uxuR//katG//uxuB//idnR//tfaQ//ilvH//moaC//ulaB//argO//artM//phnO//hyfH//sodA//acrA//deoA//glmY//cusA//argD//betB//rcnB//icd//trpL//rybA//ychH//metE//ldtB//malI//agp//gltF//dctA//phnD//sdhD//hemA//ilvN//feaR//nrfB//aroP//uxaA//hyfF//ilvG_2//hycH//treR//guaB//tdcA//fimF//dppD//fucR//sucB//sbmC//tcyJ//mipA//psiF//rpmC//pitB//tsaE//acrD//ompC//yqjH//hupB//degP//nuoC//trpD//nrdB//yccA//yibN//aceK//puuE//atoB//dsdA//dapB//tnaC//slyB//hflC//phnH//fixC//osmY//dcuA//asr//aaeB//atoB//tar//ydeA//serA//cydC//fimF//rbsC//cysU//nfuA//narL//glpF//hybA//mdtB//xylF//trpB//rybB//nuoL//hyfG//ascF//hpt//nikD//ackA//oppA//rutC//cheW//hyfJ//uof//ilvE//purF//yhjA//edd//fnr//purR//glcF//pheT//rstA//casD//nrfE//ugpE//nuoG//manY//yhfA//phnK//creA//gspI//fhuF//gspG//creA//ydfH//dadX//modA//exuT//livH//stpA//rplI//iscA//nanE//rrlD//nuoC//paaF//uhpT//tar//frdB//nrfA//alaV//hfq//hydN//glpB//fecE//csgF//glcE//borD//nuoL//citF//dadX//fadB//phnL//mdtC//ptsG//pepT//ubiA//
ChbR-Monoacetylchitobiose-6P_neg	agp//zraS//abgB//moeB//manA//ompF//
ChbR-Monoacetylchitobiose-6P_pos	trpE//hyfJ//narI//hyaF//rrlE//katG//
CpxR-Phosphorylated_neg	alkA//ytfE//rrfB//phnK//artJ//arcZ//araD//pgaD//entD//azuC//creC//tomB//acnB//trpR//ydhT//xylH//appA//rof//rplC//ychH//rrfE//purH//nanT//srlD//
CpxR-Phosphorylated_pos	rprA//pgaC//oppD//ydhU//hemA//frc//gltV//fiu//psd//fadH//nuoJ//zinT//raiA//argC//glcD//gpsA//ssuC//purF//glcE//citD//ydhT//gltV//yecR//ilvN//dmsB//ada//norR//cysA//hupB//ahpC//araG//puuD//miaA//fadL//rrlG//feaR//puuD//hyfD//caiB//rrfC//ssuC//agaW//bglF//acrF//hflD//
CreB-Phosphorylated_neg	uidC//qseB//chbC//
CreB-Phosphorylated_pos	acrD//hyfF//norW//flhD//yqjA//slt//
CueR-Ag_neg	cyoC//hdeA//garP//ung//degP//
CueR-Ag_pos	ycdZ//hdeB//
CueR-Cu+_neg	glnA//bcsA//argF//ubiA//creD//
CueR-Cu+_pos	casD//rplI//
CuerR-Au_neg	eda//creD//ydhV//hflC//preA//
CuerR-Au_pos	fepE//ryhB//
CusR-Pasp_pos	phnE_2//frdC//aroA//rpsF//speA//glpC//asr//nrfG//cysA//galE//fnr//puuB//
CynR-Cyanate_neg	purK//
CynR-Cyanate_pos	ykgR//purK//fhuE//
CysB-N-acetyl-L-serine_neg	caiC//dpiA//rpsP//lsrK//cirA//arfB//psiF//
CysB-N-acetyl-L-serine_pos	dusB//efeU_1//yeiB//rdoA//hyaF//yhcH//malS//nanM//dapD//torD//hflX//aroM//yqaE//argC//acrE//glpK//uidB//rrfB//rrsC//gatA//gntP//metL//yaiW//
CysB-O-acetyl-L-serine_neg	paaZ//bioA//astD//rplC//creB//kbl//entH//
CysB-O-acetyl-L-serine_pos	mutL//metF//zraS//nuoE//amiB//puuA//rseA//glcD//caiC//actP//lldP//glnK//miaA//hybG//ftnB//ubiA//ptsH//lldP//prpB//tadA//rplC//gltW//norR//yhhY//
DcuR-Phosphorylated_pos	gutQ//casD//ftnA//dmsC//rbsA//dps//dsdX//rrfB//sdhD//
DnaA-ATP_neg	pnp//dnaN//fbaA//torC//galM//ivbL//entA//ahpC//yoaG//creB//yeiW//
DnaA-ATP_pos	ascF//nrdE//caiT//chbC//gabD//moeB//dcuR//
DpiA-Pasp_neg	xseA//
DpiA-Pasp_pos	rrfC//phoB//hofC//aceF//napD//pncB//hypF//mdh//phnN//narQ//
DsdC-D-serine_neg	dppB//
DsdC-D-serine_pos	speB//yeaE//
EvgA-Phosphorylated_pos	mgtL//mdtA//cpxR//araE//caiT//dmsC//mdtD//znuA//idnT//hybB//purA//paaD//lysO//spy//mtr//
FNR-[4Fe-4S]2+ reduced_neg	lacY//trpB//ilvY//dcuC//rplC//sufE//ilvD//gltW//tfaQ//ompT//ompC//glgA//torR//hyaA//mhpD//nohA//gspL//mtr//ydeN//nrfD//ilvD//soxR//cyaR//fucA//prpC//dppB//ahpC//hycF//spy//chbG//sroD//rnlB//rutC//casA//pyrC//dppF//rbsB//mhpE//hlyE//csgF//cynS//ilvA//yeaD//mtlR//sbmC//lhgO//trxA//murP//rpsR//cheZ//yeaD//gspC//purC//tehB//uhpC//nupG//nusA//pck//rutG//bioB//oxyR//skp//napB//rpmI//cyoC//rybA//ccmF//manA//ycjF//napD//pgaA//cdd//mltC//hycA//alaV//uof//rplI//araJ//hdeB//lysO//nac//oppF//mglB//hycF//chbC//fecE//fliA//csgC//hisP//hycB//lacZ//cadB//chiP//avtA//cynR//fliA//puuB//rbsB//fumC//rcnA//zwf//bcsC//hha//xdhB//hycA//mntS//mhpA//glpC//safA//galK//yojI//dadX//mhpD//trpL//cadA//nrfE//mdtB//glrR//tdcA//malF//
FNR-[4Fe-4S]2+ reduced_pos	caiF//galT//nagA//ptsI//astB//metI//purE//araE//cusB//ygiB//uidA//cheR//psd//nrfA//slyB//hupB//fepE//yqjI//artP//dusB//fecR//znuB//frdC//amiB//livM//gspF//purD//ysgA//astE//tauB//creA//rutE//ssuA//uhpA//entE//oppB//bacA//ascB//livJ//bacA//dpiA//rpsI//nuoB//cysN//dsbA//yidQ//rstA//purL//ppiD//cusF//narX//araD//cadA//nrdD//leuE//paaG//ygiC//acrB//nfuA//tap//cusF//evgA//tdh//cysU//glgC//glpQ//cadB//ybfN//ulaA//lysC//evgS//mdtC//fhuB//ygiB//tonB//chbF//malY//gatY//rplD//rplD//asr//rstB//marA//rnhB//uxaB//ilvA//rplW//pdhR//rrfD//nuoL//arfB//iraD//mglB//gltB//mhpE//tar//rplI//hyfA//fecI//cpdB//ybiT//treB//zraS//ada//nusA//iraM//cusB//moaE//gspI//fimI//phoA//fucU//comR//rybA//ilvG_2//ascF//bamA//nadC//nagA//cysW//hisJ//cysI//sufA//narQ//betT//mscM//napG//tsr//rnhB//gyrA//dpiA//casE//narK//metA//soxR//galP//phnO//creC//astD//argD//tyrR//creB//dpiA//malT//cysJ//prfA//mutY//pstS//glmY//stpA//hyaF//fucU//fecI//fecB//hybE//grxD//entE//tyrR//moeB//recF//lysA//tar//ompA//rpsQ//gltU//cysP//ilvH//nupC//ahpC//xylB//hofP//rrsD//paaZ//glyA//ompW//hyfF//yecR//ybjG//exuT//mpl//marR//csgC//pepT//cydD//phnM//phoH//yojI//abgA//yqaE//rstB//hybE//nanA//xylH//lysP//fhuE//tdcD//hisP//mipA//ssb//hofC//grcA//yhfA//
FhlA-Formate_pos	feoB//argP//mntS//sbmA//pgaB//lysA//uxuR//yciW//sbcD//fecD//entB//malI//fhlA//betI//ybiT//dadX//ebgA//frdA//ugpC//cheZ//rrfH//gadB//lsrG//bcsB//rutD//napG//prpR//betB//mhpF//aidB//
FucR-L-fuculose-1-phosphate_pos	gyrA//rpoH//mepH//fixC//manX//csgB//cheY//
Fur-Fe2+_neg	gltU//fnrS//rhaD//dps//ebgA//mglB//ulaB//allE//argI//comR//metQ//folE//ybiT//glnG//deoB//glpB//glyA//alkA//phnE_2//ulaF//hyfC//hfq//livG//astA//dgcZ//artJ//ubiA//mntS//ompX//phnJ//lpxD//glgP//cyoA//ompX//sodA//narH//malE//citG//pncB//yjeV//bcsC//erpA//uidC//betA//purA//nanT//cysP//lsrF//rplS//trpA//yhjC//adhE//raiA//uidA//garK//deoB//moaC//glnL//csiD//metB//mglA//rpsJ//abgB//hycG//spy//tpx//uidC//cstA//puuD//rbsB//zntA//ssrS//csgD//tsaE//pstA//betT//sodB//grxC//dnaE//guaB//sohB//efeU_1//grxD//ulaD//argP//preA//yibN//xylR//rbfA//melA//uhpA//ydhW//malS//hyfD//phnN//acnA//xdhA//hyfC//oxyR//gutM//pagP//pta//cysB//manA//phoU//envY//trpL//hofO//uxaA//gcvP//cheR//livK//adiC//malK//astE//fepC//sbcD//rplD//motA//galM//cysJ//yeaR//gatD//sucD//
Fur-Fe2+_pos	hycA//aceE//ompC//aroH//azuC//ubiC//nuoG//yqjI//prmC//gspG//zraR//glcG//metI//fadB//secB//nupC//gspD//aroL//nrdF//rrfE//trpB//rstB//malY//metQ//rrfE//
Fur-Mn2+_neg	rpoE//udp//ilvM//ulaD//puuA//dsdX//phnN//nagA//aaeA//csgB//tnaA//rrsG//casE//lsrB//hyfR//avtA//hlyE//hslJ//manX//qseC//dgcZ//rplM//gcvT//glnB//fnrS//folA//speA//hcr//ybdN//fur//cyoD//yjeF//yqjA//argO//metK//patZ//trpA//purK//idnR//uxaB//nirC//ompX//acrB//gyrA//xdhA//hha//astC//mglA//grcA//rutF//gntR//ulaB//aspC//tolC//fimG//exuT//rrlH//rrlB//appX//fecA//ogt//nuoE//motB//cheW//ychO//zraR//tsr//tktB//ulaA//ydhV//ackA//exuT//glnA//rrfA//mglA//trg//argH//appY//ulaB//zraR//metN//cra//prs//frdB//melA//yeiB//flhC//treC//gspJ//yggX//nikE//artQ//glgA//iscU//cydA//sbmA//ssuE//cysI//mltC//srlR//glnL//speC//ynfF//metK//tauA//artP//ygaC//nanM//betT//secB//aroM//malS//ahpF//nanK//uvrA//ydhU//sohB//araE//grxC//yeiW//puuD//hflX//cynR//phoP//
Fur-Mn2+_pos	cytR//hyaC//iraM//nrfC//modA//oxc//dppC//norW//glnA//gspI//ccmH//cirA//ykgR//phnH//sdhC//slt//oxyR//nac//fepC//chbB//nuoB//dppD//aroG//fucI//artP//
GlcC-Acetate_neg	norV//
GlcC-Acetate_pos	fadH//ulaB//yaiW//leuE//grxC//mtlA//
GlcC-Glycolate_neg	exbD//
GlcC-Glycolate_pos	ygiC//fepE//ssuC//malE//rimM//araE//
GlrR-Pasp56_pos	treC//
IclR-pyruvate_neg	adiC//hisP//hcr//hyfG//
IdnR-5-ketogluconate_neg	borD//yebE//prpB//
IdnR-5-ketogluconate_pos	fhuB//galS//rpmC//hupB//phnE_1//
IdnR-Idonate_neg	aroL//gabT//fimG//
IdnR-Idonate_pos	cusF//sohB//lrp//rrsA//araG//
IlvY-2-acetolactate_neg	argA//
IlvY-2-acetolactate_pos	dadA//
IlvY-Alfa-acetohydroxybutirate_neg	garP//
IlvY-Alfa-acetohydroxybutirate_pos	tadA//
IscR-[2Fe-2S]1+_neg	cynS//tauA//crp//narJ//aaeB//uraA//hisM//nikD//ilvC//dgcZ//purF//ydeM//nuoF//rplB//rrfH//paaE//zwf//soxS//metE//xdhB//lsrG//glnL//csiD//pstS//nikR//gdhA//hyaD//yfdX//yiaJ//hflX//
IscR-[2Fe-2S]1+_pos	mhpB//alaU//nanE//rplC//udp//nikE//arfB//ndh//tnaB//uhpT//zraR//
LldR-L-lactate_neg	rplS//ychO//sohB//
LldR-L-lactate_pos	nagA//creC//yeiL//
Lrp-Leucine_neg	fdnI//spf//tpx//nanS//rbfA//hyaD//nfuA//pgaC//hybO//rpmI//yoaG//phnL//ygbA//prpR//hycD//ybfN//carB//puuR//cstA//gltB//rpsC//nikB//csgD//ccmD//phnI//glpQ//yojI//fhuF//purB//mhpB//bioA//yqjH//ccmA//aldB//rpsF//nrdF//cysI//araA//ulaA//ygeH//nrdF//rhaR//glgX//fimE//nanT//fau//nuoK//rplT//glgC//melB//upp//pstA//feoC//uraA//aidB//malK//moaE//oxyR//hisM//cstA//ydhX//yfeW//astB//lamB//hypE//narL//glpB//mlc//aceF//yfbR//eda//ryhB//epd//feaR//sufB//
Lrp-Leucine_pos	aldA//bacA//rhaA//phoP//moeB//ssuE//hybF//baeS//sbcD//cysK//acnB//ilvH//nagE//mgrB//cysP//fdhF//metF//gatA//cydA//gatD//tnaA//gltW//hycC//ada//glpE//amiB//gatA//ydbD//hyaC//uxuA//lsrA//metE//srlB//rrfC//hupB//
LsrR_neg	yegR//bioF//cyoA//ynfH//hyaF//melR//casE//fdnH//grxD//
MalT-ADP-Maltotriose_pos	yfeW//gltD//yeiB//trpL//bamE//ilvY//dpiA//cadA//deoB//alaS//
MalT-Maltotriose-ATP_pos	gspG//infB//argT//cytR//murQ//lamB//tyrP//aaeA//glnG//treC//
MelR-Melibiose_neg	tpx//kbl//sucA//
MelR-Melibiose_pos	fdnI//prpD//ccmE//
MetJ-S-adenosylmethionine_neg	malZ//hypF//livJ//lacI//rpsR//gltV//xylG//treR//rseB//torD//lsrR//rrlD//gatB//rbsB//fadE//
MetR-L-homocysteine_neg	phnK//yegR//
MetR-L-homocysteine_pos	hcp//manX//nikB//citE//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	fabZ//sdhC//ilvD//fiu//mhpE//torR//
MhpR-3HPP_pos	ydhY//fucO//entH//phnF//hycI//oppF//
MntR-Cd2+_neg	ydiU//ydhT//icd//cysG//
MntR-Cd2+_pos	galP//
ModE-MoO42-_neg	idnD//chbF//mgrB//gltF//preA//pitA//fucR//miaA//phnE_2//ygiC//dsbA//ugpB//nuoN//hybD//fumC//
ModE-MoO42-_pos	rrsA//rhaT//mdtD//gntP//nadC//alaS//tadA//tar//rpoS//bioF//fimI//carB//tdh//phnE_2//gatD//nfuA//cadA//phnJ//creB//rutC//aroH//ubiG//iscA//argE//citX//astA//alkA//cysJ//dcuA//phnG//tsx//
NarL-Phosphorylated_neg	sufE//agaV//feoC//astD//ahpC//iclR//iscS//hdeD//nikB//glyA//argO//srlA//entD//cspE//katG//mhpA//iscU//ilvI//gatZ//xdhB//ilvG_1//ugpB//ilvM//argA//grxC//rrsD//narH//atoE//rrlB//hfq//astD//ilvL//cheY//malK//ydfN//trpD//cusS//rnlB//ansB//dsdX//aidB//fbaA//hflD//hlyE//iraM//sdaA//argB//aspA//hfq//pyrC//yoaC//ryhB//umpH//zwf//tam//epd//bioB//rcnA//betA//znuA//glnL//fepE//prmC//ilvE//ynfF//pheT//sufS//ychH//fimG//degP//rcnB//cynT//rplI//tyrB//bglF//fes//gspO//ihfA//pheS//trxA//degP//glpG//thrV//ycjF//ydhU//artQ//
NarL-Phosphorylated_pos	abgB//mutL//argB//tsgA//rrsC//lpd//hypA//argD//tehA//prfA//focA//trpD//csgE//ydhY//dpiA//malS//ssb//astE//mpl//ccmG//creB//trpR//moaD//nlpD//mdh//rutB//dcuC//lysU//ccmA//glmY//glnG//livJ//carB//grpE//mdtA//yneM//acrD//tolC//rrlE//fnrS//araD//icd//caiE//mntH//pdeF//entA//
NarP-Phosphorylated_neg	crr//zraS//crl//dgcZ//yneM//nupC//murP//feoC//ykgM//hybC//tyrA//nfuA//yqjA//metA//tauB//appB//rbsR//tdh//dppD//soxR//hyfG//casC//livF//mtr//gatZ//recF//fhlA//purC//narI//ygbA//mtlA//citX//ydhU//
NarP-Phosphorylated_pos	rimP//tyrP//cas2//phnC//cheW//moaE//cdd//mutL//tsx//ryhB//oxyR//nikE//cysP//cydB//puuP//preT//paaD//acrA//dsdC//dctA//dnaN//nrdE//amtB//degP//rplW//cysB//rrlH//deoC//hyfE//caiB//sdhC//lsrC//
NhaR-Na+_pos	ysgA//cbl//ompA//nuoH//uxuB//
NikR-Cd2+_neg	tehB//ynfH//ygiC//metY//xylR//ftnB//
NikR-Co2+_neg	gntK//livK//narX//narG//cysC//cra//
NikR-Cu2+_neg	agaA//micF//putP//gspO//pheT//gltT//
NikR-Ni2+_neg	fecB//hypD//purB//infC//ebgC//csgG//
NikR-Zn2+_neg	ansB//frdD//grpE//xseA//iscA//hupA//
NrdR-ATP_neg	fadL//rrfA//raiA//sdhA//grcA//gdhA//gutQ//rrlC//mutY//
NrdR-Zn2+_neg	cpdB//sucC//bioB//narQ//rrsC//acrF//caiB//argC//slyB//
NrdR-dATP_neg	aldB//tonB//cyoD//znuA//napD//nikC//fimE//malK//galT//
NsrR-[2Fe-2S]reduced_neg	deoB//uof//hlyE//soxR//gntU//hyaB//cheY//iraM//hybB//yeiB//rybA//caiD//gatY//malG//glcE//rrlC//tyrA//edd//ybjG//aceA//oppC//pyrD//patZ//rbsC//ssuA//ispE//ilvI//rnlB//allE//narI//hycB//nuoA//tyrB//gspL//ogt//ptsI//yojI//rcnA//argF//yqjA//mhpE//garL//mdh//napA//cysM//narJ//entH//nagE//secB//safA//yhiD//purA//appA//yoaC//ptsI//malX//nadC//dcuA//ilvE//ygeA//nuoB//gspM//miaA//mdtD//phnH//ilvL//ppiD//atoD//cas2//ahpF//sbmC//gcvH//grpE//
PhoB-Phosphorylated_neg	puuA//gltW//galP//infC//ompF//hisQ//purK//hofM//dgcZ//deoB//csgC//glmY//ileV//
PhoB-Phosphorylated_pos	yegZ//aroL//alkA//ptsH//cpxR//garL//ahpC//zwf//glcC//prpB//ompC//ompW//rrfE//narL//arfB//ptsI//aroL//nirC//argD//ptsG//betI//nikR//gcd//entB//napD//aroH//ppiA//oppF//yeiP//psiF//galS//hfq//yjeV//araG//idnT//ydfN//atoB//gspI//ykgM//hyfF//ompW//metJ//tdcE//stpA//ybiT//casB//phnN//lysA//hflK//zinT//rpoH//fixA//rutG//
PhoP-Phosphorylated_neg	ydeN//sufC//lsrB//cydB//ydhX//zwf//hslJ//feaB//sbcC//dnaA//glnA//
PhoP-Phosphorylated_pos	melR//nuoL//argT//tar//yggX//galE//uxaB//uxuB//garR//tktB//sucB//gltD//glgC//gatD//psd//dkgB//envY//araF//lolB//yegH//stpA//hofM//nanT//pyrD//znuC//rplI//fepA//yeiW//dpiB//entA//yqjH//purN//bioD//phnJ//ydfN//emrY//mhpA//uidB//hybA//malI//rrsA//paaK//treR//hpt//ldtB//motB//ycjX//napC//rrlD//
PrpR-2-methylcitrate_neg	glcG//
PrpR-2-methylcitrate_pos	dusB//glpE//arfB//iscU//
PurR-Guanine_neg	ilvD//hyaA//glcE//ptsI//moaD//ompT//pheM//sbmC//amiB//aroM//gntT//lolB//glcE//hycG//fhuF//gspL//hyaA//cadA//ychO//fhlA//rdoA//ydeP//guaA//nikC//ssuB//pepT//fnrS//gltU//gspI//nikR//csgB//fhuA//dcuA//ahpF//
PurR-Hypoxanthine_neg	fadE//pepT//rutB//sucB//cydA//argA//malY//mhpA//ilvM//lpd//cheA//tauB//qseC//caiD//glpC//nanE//glgA//cbl//yfbR//uxuA//argF//ileT//hofN//gntK//map//icd//yfdX//ompX//mgrR//purE//fimH//ydiU//fnr//nrdI//
QseB-Phosphorylated_pos	casE//glpT//phoH//metE//
RhaR-L-rhamnose_pos	prpD//mgrB//
RhaS-L-rhamnose_pos	secB//fdhF//fau//
RstA-Phosphorylated_neg	fucR//glnA//narQ//aceA//frc//
RstA-Phosphorylated_pos	srlA//yeiP//mzrA//rrfE//rpsJ//
SoxR-[2Fe-2S]3+ oxydized_neg	aroG//
SoxR-[2Fe-2S]3+ oxydized_pos	lpd//hybF//fur//
TorR-Phosphorylated_neg	ilvX//
TorR-Phosphorylated_pos	ompX//raiA//rutD//atoA//cyaR//appX//phoQ//prpE//cueO//
TrpR-Tryptophan_neg	paaG//rplM//purN//cusS//glnK//serC//garK//oxc//umpH//fadE//artQ//astC//
TyrR-L-tryptophan_neg	gpsA//rpsF//rbsB//tdcC//artP//gpsA//aldB//fhuE//astC//glpT//ilvY//nfuA//
TyrR-L-tryptophan_pos	mdtB//ampE//srlB//
TyrR-Phenylalanine_neg	yfaE//rutA//galS//lsrR//ccmB//fixX//mdtA//ispE//garL//puuR//trpE//ndh//
TyrR-Phenylalanine_pos	hypA//uidC//deoC//
TyrR-Tyrosine_neg	pgaA//fur//paaB//fiu//ndh//gyrA//hyfB//ybiT//rpmI//yeiW//pdhR//aroL//
TyrR-Tyrosine_pos	dnaA//metQ//cyoB//
UhpA-Phosphorylated_pos	purD//
XapR-xanthosine_pos	serA//nuoJ//
XylR-Xylose_pos	yojI//fhlA//nagC//rcnA//aroF//livF//
ZntR-Cd2+_pos	rutA//
ZntR-Hg_pos	cusC//
ZntR-Zn2+_pos	dusB//
ZraR-Phosphorylated_pos	lacA//gltF//csiE//
Zur-Zn2+_neg	yrbL//ynfF//aspA//acnA//pta//aceF//
