#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	chbG//rbfA//
CRP-cAMP_neg	pheS//fes//pgk//narL//rbsA//rpsO//malI//pitB//mntH//manZ//moaC//alaA//ykgM//ampE//entH//paaK//entC//pstA//mdh//citD//fucO//preT//crl//cadB//purN//ybjG//trg//gspC//citE//dnaA//hisP//xdhB//phnE_1//mhpB//arcZ//csgG//srlD//oppD//galM//glnL//torC//hycC//xapA//mutY//nanE//glcA//modB//gltW//fdnG//betB//pta//srlB//ulaA//yjiY//oppD//mgrB//cysI//sucA//leuE//rpoH//glyA//znuA//cpdB//fhuC//lacI//aspC//dmsA//exbB//galM//pncB//fnr//alaV//lacA//codB//hybB//tadA//lldD//lldD//leuE//hyfD//nanK//aidB//phnG//mhpC//dcuS//xylG//xseA//hupB//pheT//araH//pagP//psd//rpoH//fixX//malM//rpsQ//hisP//malG//ilvA//acs//hycB//uxaC//hyaA//ulaF//aldB//hypA//avtA//fhuB//pitB//talA//hyaB//rybA//tauC//cusB//ahpF//tehA//iclR//lsrR//rrlH//uxuR//fucR//mpl//appY//livF//uhpA//gltW//agaW//glcF//sucA//xdhC//mzrA//phnG//lacZ//
CRP-cAMP_pos	phnL//gadC//leuE//sufC//betI//yciW//cusC//cueO//azuC//cra//rrlE//nac//thrS//hisP//atoD//miaA//dppA//malE//cusR//fadA//rseA//pstB//nrdB//astE//fhuE//rplS//nuoN//napF//slyB//rrlD//ycjX//rplS//prpE//yibN//proP//nuoF//nanT//citC//uxuR//yciW//cusA//lacA//yfeW//paaZ//ulaE//dpiA//metL//nrfA//paaZ//glnB//astE//nirD//purR//patZ//acrF//rrfD//rpmI//oppF//uhpB//fadB//hybC//astB//phnJ//nagC//pheM//sufC//cydD//lysU//rrsC//purK//mglC//lpd//ftnA//srlR//fimF//acs//flhC//ccmA//astC//purC//rof//chbG//araD//dsdA//soxR//abgT//nikB//nirD//nuoI//gntU//agaV//tnaB//bglG//srlR//ompC//slt//nrfG//prpC//yhcH//fecC//cdd//dppD//rutB//crr//rpsF//cusA//evgA//rpsQ//entC//ompW//glmY//dcuB//arcA//yaeP//garR//tsaE//dnaE//tyrB//hpt//hycE//ugpB//lysO//yqjA//rplP//yfaE//yaiW//hyfR//fldA//ccmA//rutD//trpE//artM//emrK//paaB//nanE//ydeN//crp//sdhA//talA//nuoJ//pdeF//cusS//prfA//ulaB//xdhB//metQ//sucD//moaE//allD//ryhB//cynS//pitA//infB//gntT//rstB//nanM//ydhT//aldB//yaeP//paaG//rrsA//ppiD//folE//feoB//sufC//asr//entE//caiT//iscR//cydD//nmpC//yrbL//xylB//nuoB//nrfE//gadC//codB//bamA//malF//sufD//codB//hmp//phoP//ubiA//citC//bioB//acrF//cadC//speA//glgP//atoE//ynfK//rbsD//tdcC//argE//phnP//nrfF//putP//nuoE//bglG//cspD//acrD//dgcZ//ydeN//feoC//hyaC//caiC//folE//pheM//glnA//yoaC//xseA//nlpE//yhjC//dadA//icd//alaA//narX//araH//grpE//mntH//fadD//rnlB//dapD//micF//cusC//galE//cyoE//csgD//bglF//trmD//astD//hyfJ//rbsD//tyrP//narX//dcuC//ygiC//malG//caiT//oxc//tar//ilvN//rrfD//nuoJ//purN//yeaR//ydhT//putP//motB//gdhA//aspA//fliZ//rutE//ftnB//aroA//phnE_2//pgaA//cysC//xylG//ydhT//gcvH//yaiW//folE//ilvL//betI//astE//phnP//napC//mntP//puuE//yaiW//tomB//malY//fecD//ccmE//entC//nagE//creD//rrsG//yidQ//fecC//araC//acs//qseB//gatZ//dpiB//caiF//murP//rutF//nlpD//puuA//ugpA//torA//purD//mhpB//nanK//dsbA//efeU_1//ygaC//cysU//yojI//phnN//phnL//tonB//fadI//rrfG//oppA//prpC//torA//ybdZ//nrfF//argG//malE//pnp//yoaC//nanA//yqjA//betT//bamA//dapB//rutB//puuR//sufA//fecC//infC//fnrS//feoA//lsrF//lamB//tdcF//lpxA//glnK//ydfN//cysK//map//gyrA//caiA//ykgO//ryhB//ebgC//hfq//ybjG//entC//glcC//motB//trpR//gatA//gntU//tdh//tauC//recF//moeB//dcuA//cheA//ccmD//mdtD//rybB//tauD//gdhA//nikB//agaW//ldtB//appX//fhuB//rrsH//tdcG//nrdG//uraA//livK//trpD//ptsI//hdeB//ccmA//glpR//copA//avtA//caiD//yidQ//dnaA//hyaD//rplP//rplI//nuoN//thrS//yegZ//nrdD//hycG//nmpC//srlE//rof//hycA//glpT//hyfC//melB//pyrD//nanC//nuoI//bcsZ//yjiY//moaD//xylG//gspL//pdhR//hofN//tdcB//paaD//ynfH//rrlH//prpC//yeiP//yjjZ//phoQ//ilvL//aroH//tdcG//map//agaA//yibN//mdh//nanA//ygaC//hflC//nikB//gntR//tnaC//malS//fnrS//araB//
ChbR-Monoacetylchitobiose-6P_neg	yhjC//hyfR//trpC//phnD//cvpA//mtlD//
ChbR-Monoacetylchitobiose-6P_pos	allE//ydeM//katG//lsrB//cysB//kbaZ//
CpxR-Phosphorylated_neg	frc//grcA//gntK//feoC//yhjA//cstA//fecA//rpsS//mtlD//rpsI//pitB//lysA//pdeF//gspC//gspD//fimF//tdcF//atoE//dusB//ydiU//gadB//betB//gatC//purL//
CpxR-Phosphorylated_pos	livF//lldD//rpsI//yfiP//marA//cspD//psiF//hycC//glpK//dppD//mntP//creC//hisQ//hybG//rrsG//rbsA//nrdB//yhcH//purD//ilvD//malQ//tsgA//glcG//bioC//tdcD//hflX//lysU//artM//garL//yjeV//malI//appB//cspE//frdD//alkB//purB//ilvB//ycjF//aroF//ispE//argC//yojI//ompC//ascB//cydD//
CreB-Phosphorylated_neg	aaeX//lsrF//bioD//
CreB-Phosphorylated_pos	citX//nlpE//phnE_1//yqjI//fixB//hpt//
CueR-Ag_neg	purH//yhjC//hdeD//csgE//gspL//
CueR-Ag_pos	arcZ//mhpF//
CueR-Cu+_neg	xseA//nrdB//pflB//betA//entE//
CueR-Cu+_pos	rmf//fepB//
CuerR-Au_neg	dadA//bglG//araJ//hha//tauA//
CuerR-Au_pos	ykgO//nrdH//
CusR-Pasp_pos	cysB//trxA//lacA//fucP//rhaD//norV//yeaD//allD//glnD//dadA//emrY//fucO//
CynR-Cyanate_neg	nagC//
CynR-Cyanate_pos	gspH//ydeJ//gspG//
CysB-N-acetyl-L-serine_neg	ptsG//nagB//qseC//alkB//uhpA//fhuE//rbsD//
CysB-N-acetyl-L-serine_pos	ompR//rplM//iscU//nlpD//lldD//melA//fdnH//rutG//yecR//rhaA//cysM//ulaC//ulaF//metK//znuA//nrdI//ydeP//nupG//csgD//mglC//mltC//metK//cadB//
CysB-O-acetyl-L-serine_neg	malX//fimA//hyaA//fadD//argH//mepH//gatB//
CysB-O-acetyl-L-serine_pos	chiP//ygbA//hisQ//ubiX//ydeA//leuE//ykgM//rseA//hfq//pdeF//creB//caiA//hisJ//ssuA//aroH//fdnI//ccmG//gatA//fumC//ppiA//yfeW//sdhD//ftnA//casD//
DcuR-Phosphorylated_pos	frdC//bcsZ//fnr//cheB//cynT//tnaB//tdcC//trmD//feoA//
DnaA-ATP_neg	flhC//cysP//metB//paaH//ilvE//ydeN//agaW//nrfF//appY//hyfA//ydeP//
DnaA-ATP_pos	yeiL//bglF//ygiA//fumB//phnK//hyfH//fixB//
DpiA-Pasp_neg	nikR//
DpiA-Pasp_pos	yecR//malY//iraD//fdnI//fimA//fimA//aldA//nuoI//hfq//ileU//
DsdC-D-serine_neg	infB//
DsdC-D-serine_pos	puuE//ccmC//
EvgA-Phosphorylated_pos	folE//appA//dgcZ//rpsP//idnO//dnaE//gpsA//phnE_1//nrdB//phnI//fimI//lsrK//yhjA//csgG//nikR//
FNR-[4Fe-4S]2+ reduced_neg	ugpC//pheT//bglG//adiC//aaeR//ubiG//tonB//cyaR//infC//creC//ynfE//chbF//phoE//gspK//sdaA//cdd//uof//gspD//degP//hypF//yneM//sucD//fis//phoE//efeU_1//fabZ//fadJ//phnG//tdcE//iscR//hemA//cpxR//fucR//rutE//emrY//raiA//dapB//phnE_1//phnP//fixA//fimE//srlB//phnG//rpsC//gpmA//uxuA//treB//malZ//napB//manX//paaZ//glpK//cysU//hypB//tyrR//focB//hha//tauD//ilvN//spy//mglC//safA//glnD//spy//entE//idnK//fucI//paaC//hisM//evgS//waaH//sdhD//yedX//appC//hycH//phoU//cyaA//infC//rimP//arcZ//tdcA//ssuB//nanT//ubiX//csiE//narQ//bamE//pgpC//cusA//cdd//ccmG//hycA//sufS//lpd//iscU//galP//ompC//rbsR//ptsI//csgA//fadE//guaA//lysC//gspM//idnO//xylR//bcsA//hyfI//hyaE//znuB//chbF//mhpA//glcC//purF//gspG//xylF//nrfG//hdeA//rhaA//entC//
FNR-[4Fe-4S]2+ reduced_pos	nrdF//purC//srlD//malZ//lysO//ompF//ulaA//lysO//serA//hflK//tomB//pgaD//idnR//malT//yccA//rpoS//exuT//nohA//purR//glpX//gcvH//paaC//rbsB//nlpE//metB//melR//gltF//mipA//lacI//araA//dcuA//sbmC//glgX//rimM//nlpE//yfdV//fixB//hycB//sufB//alaS//srlE//agaV//actP//hisJ//fimE//malK//rpoS//nfuA//chbR//yfdX//moaB//allC//phoQ//cysB//livH//rseC//caiA//frc//ptsH//mdh//gatC//rutE//mipA//astA//yegH//glcA//prpR//dppB//rpoS//hha//safA//argG//yoaG//aidB//ygaC//dcuB//tyrA//rbsK//fhuE//paaG//hupA//fes//lpd//uhpA//alaU//ilvM//nagA//phoQ//metQ//nrdE//yjiY//yoaG//putP//dcuC//tehA//ssb//araF//phnE_2//idnR//metK//crl//sodA//gspG//rrfB//rrlE//nuoG//purD//rplS//ccmF//ygiC//caiF//yecR//mglC//gabP//sbmC//araG//trpE//ppiD//pyrD//pyrD//rrlD//hyaE//envZ//bacA//argT//phnL//paaE//frdC//entE//cysG//ung//lsrC//cspE//tehB//yaiW//mntH//sdhB//tauD//gadC//marR//lpxA//trpD//narK//xdhC//ung//rnpB//ldtB//rrfG//baeR//cadA//metB//ivbL//paaI//micF//cheA//lysU//ilvI//amn//yhjA//fucO//dppF//tsgA//mipA//chbR//purA//hmp//yjeV//bcsA//oppB//ynfF//atoD//mhpD//gatB//ilvI//dppB//cysU//tyrR//lamB//fimA//prfA//hyaF//katG//sufS//hyaE//melB//purH//paaC//fhuC//bcsB//cusR//phoP//rmf//mtlR//lrp//ldtB//metF//tauC//ykgM//raiA//tnaA//bcsB//hypB//
FhlA-Formate_pos	gdhA//glgB//nrfF//fepG//sodB//galE//sucD//fucP//napA//nadC//phoQ//melB//ubiX//gspE//yfbR//csgF//tauB//ompT//rybA//rbsC//trpL//atoB//yoaG//argR//mhpR//prfA//arfB//ynfG//chbR//artP//
FucR-L-fuculose-1-phosphate_pos	purR//focA//lolB//nfuA//hybA//aroM//focB//
Fur-Fe2+_neg	nagA//cysI//fimI//umpH//metY//yeaR//sdaA//mlc//aceK//abgA//atoE//hisM//rnpB//sucC//skp//rplB//ybiT//phnG//hflD//rhaR//yjcH//caiF//lpxA//qseB//gltA//ssuE//glgA//oppD//glnG//lpxD//ptsI//gatD//nuoE//aldB//fixC//nanK//dusB//nikB//cusR//gntP//astA//glpE//betA//ilvG_1//purB//acnA//hyfB//galS//oxc//mgtL//cheR//fixC//fhuF//aceA//fur//hflK//skp//zraR//cadC//csgA//patZ//ssuE//prpD//hcr//galS//yeaR//dsdX//ansB//yhfA//dppC//sodA//araF//thrV//lysA//zinT//trpB//gcvP//ispE//icd//tolC//rutB//cysI//lpxA//yoaG//hyfG//hybG//ssuE//atoE//cydC//dadA//glpB//pflB//casC//lysU//glcG//citE//mdtC//fucK//hisP//fur//eda//fadH//glpB//map//mgrB//copA//glnB//araF//phoR//lldR//cusR//miaA//livJ//hupA//bcsC//appY//phoB//grxC//psiF//cynR//mdtD//glgB//ilvA//glnL//
Fur-Fe2+_pos	leuE//rpsS//caiF//ompF//paaE//nagA//nuoJ//garK//abgB//aroA//mtr//tcyJ//tdcG//rrfB//yfdX//hofC//mglB//cydD//mhpR//rpsJ//hycF//fimG//cynT//secB//hypB//
Fur-Mn2+_neg	cstA//cysD//nrdB//rmf//ssuD//narH//glmY//dsdC//glpE//safA//iscS//gatZ//bamA//hyaB//ydhU//phoP//rrlG//arfB//modA//moaC//amtB//gpmA//glpB//bcsB//yfaE//gltT//glcB//citG//pstS//bglG//csgC//mtr//ccmG//ihfA//ugpA//rrsH//chbF//glyA//gcd//fimC//cpxA//csiD//rutG//gntK//mlc//nrdA//gatB//rrlA//nuoG//entC//argD//aroL//phnL//bglG//rstA//pflB//rplI//astC//fepB//thrS//ugpE//rbsA//pheS//ptsI//malG//ygaC//napA//yhjC//ydhV//lrp//rpsS//ydeN//mutY//narJ//puuD//hypC//mglA//prpD//treB//nusA//flhC//prpE//znuC//iscS//yneM//miaA//gdhA//yjcH//yaeQ//fhuC//narG//crl//feoA//araB//cysM//guaB//mdtB//dsdA//citG//ilvH//mhpA//araF//phnJ//hflD//azuC//melR//soxR//yhfA//malI//murP//rrsG//hyfF//casD//xdhA//ascB//mglA//fis//fecE//nanS//ompC//ivbL//fepB//uraA//yqjH//
Fur-Mn2+_pos	aaeR//rcnA//marB//mcaS//ydhW//nanK//dusB//casB//melB//rpsF//glcB//dps//caiB//cysP//trpC//csgF//xseA//hyfR//gatD//cusF//argI//pyrC//marB//mcaS//yeiW//
GlcC-Acetate_neg	tauB//
GlcC-Acetate_pos	ccmG//chbC//glcF//ulaC//rcnB//ybfN//
GlcC-Glycolate_neg	hycD//
GlcC-Glycolate_pos	tyrR//rrlG//ccmE//copA//argA//trg//
GlrR-Pasp56_pos	cysB//
IclR-pyruvate_neg	rpsS//cpxR//rseA//soxR//
IdnR-5-ketogluconate_neg	rbfA//cysJ//talA//
IdnR-5-ketogluconate_pos	argT//sufC//ydeA//soxS//rrlH//
IdnR-Idonate_neg	prmC//ccmH//fnrS//
IdnR-Idonate_pos	citF//talA//dmsB//idnD//lldP//
IlvY-2-acetolactate_neg	casB//
IlvY-2-acetolactate_pos	nrdG//
IlvY-Alfa-acetohydroxybutirate_neg	dgcZ//
IlvY-Alfa-acetohydroxybutirate_pos	uhpA//
IscR-[2Fe-2S]1+_neg	purC//phnI//pta//treC//xdhA//iscU//arfB//argI//yjeF//mutY//appY//ftnA//fhuC//malZ//alaT//bioA//gnd//rrsA//envZ//nikR//aldA//ydeJ//nagE//rpoE//tyrP//lrp//tsr//srlD//chbA//nrfE//
IscR-[2Fe-2S]1+_pos	metF//hyaA//arcZ//hisP//csgB//gntR//glcC//hyaC//sdhB//rimP//metL//
LldR-L-lactate_neg	yfiP//dnaE//deoC//
LldR-L-lactate_pos	mdh//argD//tam//
Lrp-Leucine_neg	glyA//ydhW//dppF//tonB//efeU_2//lpxB//uvrA//fhuC//yidQ//caiC//phnM//crr//nrdA//oppA//malF//iraD//cysP//yeiL//grxD//ybdN//hyfH//napA//trpC//iscU//katG//micF//sufC//dpiB//hyfI//chbC//rybA//tsaE//bcsA//rrlH//ydeM//hyfI//entF//glgP//galE//marB//uxuR//hycH//nmpC//fimC//modC//feoA//puuR//ada//nuoN//pdhR//rstA//ssuD//glgP//ivbL//yhiD//upp//ilvA//mgrR//glpG//phoQ//ilvL//yfiP//pgk//alkB//hflD//rpmC//yedX//rnlB//zntA//torC//ulaD//hydN//tolC//glgS//dsbA//
Lrp-Leucine_pos	paaC//fepD//nuoM//agaA//gcvP//polA//cynS//abgB//bglG//arfB//prpR//dppC//xylB//nuoL//fumA//dusB//ydhT//aroF//hslJ//rutC//glpG//osmY//ydeA//ccmE//pheS//astD//cyaR//zraS//tehB//ugpQ//fadA//hflX//crp//ydbD//speC//
LsrR_neg	pdeF//aceB//ycjX//nirB//rrfG//metN//citX//sdhC//narI//
MalT-ADP-Maltotriose_pos	qseC//betB//pyrC//ydiU//hycF//nuoI//ispE//rhaT//acrF//cyaA//
MalT-Maltotriose-ATP_pos	erpA//zraS//rpoE//abgT//prpC//citX//alkB//gspF//feaR//rof//
MelR-Melibiose_neg	casC//fhuD//tnaA//
MelR-Melibiose_pos	fecR//rplT//hmp//
MetJ-S-adenosylmethionine_neg	tolC//yedX//ileU//frdD//hycH//agaV//crp//paaH//rpsS//ydhT//cas2//ccmE//yqaE//gntR//narG//
MetR-L-homocysteine_neg	cheW//sucB//
MetR-L-homocysteine_pos	lacI//ybjG//rimM//sucC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	livJ//melR//ubiX//dpiA//nrdH//serA//
MhpR-3HPP_pos	entA//nusA//fucR//hofP//appX//rutG//
MntR-Cd2+_neg	hypA//uhpC//glyA//alaV//
MntR-Cd2+_pos	ydeP//
ModE-MoO42-_neg	cvpA//alaS//dnaE//soxS//sbcC//casA//rrlB//cysI//csgE//gltD//lolB//malT//uxaC//uidB//gltW//
ModE-MoO42-_pos	ispE//aroA//nuoG//glpQ//nuoA//spy//osmY//bioF//mntP//tyrA//trg//cvpA//glpE//napB//xylF//hypD//hyfR//ybdZ//dcuB//rplI//kbaZ//tehA//agp//gatB//dpiB//ryhB//glpT//melR//hycD//entS//gltU//
NarL-Phosphorylated_neg	torD//ybfN//focA//ydeA//gabP//tauC//nuoG//narI//nuoC//speA//cheY//narG//nrfF//argA//cstA//betT//ybfN//ybiT//chbG//atoB//betT//gatB//creB//nohA//caiB//dps//ssb//rrfF//citD//tehB//rbsK//chbG//acrE//xapA//ndh//nrdA//puuA//rplS//fucU//hypB//ydhU//citD//prpB//fecI//hybC//fadH//glcF//fis//lsrB//tehB//grxD//gntK//idnR//phnP//uraA//cysC//cysC//dppD//fixC//argG//paaE//tnaC//modC//hyfE//yjjZ//purE//hdeB//puuE//lldR//trpL//tdcG//ogt//ssb//edd//malT//entS//lsrF//ybdZ//chbF//nanS//prs//dpiB//infC//idnR//fecI//pgaC//
NarL-Phosphorylated_pos	yeiB//argA//lolB//livM//rrfE//cysH//dcuD//fhuD//frc//paaZ//modB//glpQ//fliZ//thrS//fbaA//norW//sbcC//cynS//rrlB//csgG//phnP//yeiB//nrdI//mgtA//citE//mhpF//nuoA//feaB//ydeO//tap//lldR//iscU//mlc//mglC//cynS//rseC//ppiD//artM//nikC//hyfH//garP//pepT//idnT//prpC//creD//nirB//
NarP-Phosphorylated_neg	argO//fis//malI//nfuA//cadB//dcuS//hupA//fadB//argF//fecR//gcvH//garK//appC//gcvT//narX//fepA//uraA//paaB//pheS//mipA//tsx//kbaZ//ahpC//glgS//hyfF//uxuB//cusA//hdeD//feoA//bglB//hdeD//dmsB//ynfF//
NarP-Phosphorylated_pos	garK//gpmA//artJ//iscS//tdcD//erpA//cysI//rrlA//citX//narG//gspH//psd//rbsA//mscM//cysD//ompR//aroA//gatC//trpE//pgk//yojI//treB//proP//garK//aroL//nac//appA//yebE//ccmF//argR//carA//ryhB//
NhaR-Na+_pos	trpC//iraD//entS//nupC//fadA//
NikR-Cd2+_neg	cusS//rpsI//lsrA//feoC//malI//dsbA//
NikR-Co2+_neg	icd//malG//rpsP//napA//gyrA//yegH//
NikR-Cu2+_neg	ynfH//ompX//mdtA//paaE//citC//ulaB//
NikR-Ni2+_neg	serA//mgrB//ydeM//pstC//yeaR//fumC//
NikR-Zn2+_neg	yeiW//narQ//metA//bdcA//mgtL//dmsA//
NrdR-ATP_neg	srlD//evgS//hycE//ulaB//rrlE//alaS//nuoM//treB//metN//
NrdR-Zn2+_neg	cysM//tktB//sbmA//treB//fixB//sucB//znuA//kbl//hyfC//
NrdR-dATP_neg	yaeQ//lysP//hyaA//csgC//cusR//astA//puuC//atoD//hycE//
NsrR-[2Fe-2S]reduced_neg	rrsA//dppD//nuoA//lldP//nanK//cvpA//hyfG//trpB//gutM//rrlC//hybF//lacA//malM//rrfA//ftnA//bamA//yegH//metY//marA//lsrA//rrsD//oppC//hycC//hycE//rrfE//ssuD//alaT//pdhR//gnd//aaeB//narH//rof//metK//atoB//yhjA//caiC//citX//purE//moeB//hypE//gatA//rpsC//ydhU//narQ//speA//nikE//ubiX//crp//nrdD//astC//allC//sdhA//rrlE//aidB//cpdB//allC//nrfC//pgpC//cheW//acs//nrdE//prpC//tdcE//rplC//rbsB//modA//motB//dapB//flhC//nupC//waaH//miaA//ssrS//
PhoB-Phosphorylated_neg	allD//rrlB//rpoH//ilvA//ompX//rrsH//trpB//sufE//prpB//iraM//lsrB//cstA//hslJ//
PhoB-Phosphorylated_pos	ubiA//gntX//ydfN//astB//mhpF//dcuD//appX//ydbD//malT//purL//hybA//lrp//guaA//pta//ndh//ygbA//atoB//entB//adhE//nuoL//baeS//rhaD//prpD//aceK//ldtC//uxuA//skp//tyrR//ssuA//lysP//uxaB//ahpF//baeR//nuoE//phoQ//narX//paaI//hybC//infC//bioD//uvrA//mgtA//rseA//cydB//yqjI//sdhA//yaiW//hflC//acnA//spf//pstB//tnaB//atoA//
PhoP-Phosphorylated_neg	araA//rrsG//arcZ//uidA//pheS//aceB//yqaE//tdh//galE//ssuE//yqaE//
PhoP-Phosphorylated_pos	pck//fixA//gatY//fucP//focA//ndh//araH//rnpB//sufC//malM//ydhU//thrS//yeiW//paaA//fhlA//galT//trpE//gntX//purK//preA//gpmA//purR//rhaS//sdaA//ilvC//tehA//uhpC//gatB//azuC//ydhT//gyrA//prpC//dmsB//fnr//hyaC//hyfC//tyrB//nanM//gnd//fliA//gspH//xylB//cpxA//lpd//hybD//uvrA//uxuB//lldR//znuB//
PrpR-2-methylcitrate_neg	phnF//
PrpR-2-methylcitrate_pos	arfB//appY//hybO//fadI//
PurR-Guanine_neg	treB//lysU//galP//rbsC//ydiU//ydfN//ileV//napA//nanC//fnrS//ydhW//ilvX//araF//ynfG//cyaA//nrfA//chbA//aroF//ybjG//araJ//tdcA//rimP//cusB//nuoE//fhuE//dmsB//acrF//phnF//sbcC//rpoH//dusB//fixX//yqjI//waaH//
PurR-Hypoxanthine_neg	sucC//fucI//tonB//sbmC//bcsB//fhlA//arcA//eda//trpE//phnC//ybjG//leuE//dsdX//bcsZ//livF//pheT//emrK//fadI//fimA//aroM//glcE//fecE//grxD//yidQ//rrsG//glgA//ulaD//edd//cysU//pck//sxy//fur//mgrB//lsrC//
QseB-Phosphorylated_pos	lysU//manA//fiu//ubiC//
RhaR-L-rhamnose_pos	sohB//prmC//
RhaS-L-rhamnose_pos	trxA//iclR//bcsC//
RstA-Phosphorylated_neg	baeR//paaA//pgaC//yfbR//rhaA//
RstA-Phosphorylated_pos	yrbL//ung//lldP//cusA//glpX//
SoxR-[2Fe-2S]3+ oxydized_neg	acnA//
SoxR-[2Fe-2S]3+ oxydized_pos	uidB//cspE//gadC//
TorR-Phosphorylated_neg	prpC//
TorR-Phosphorylated_pos	gnd//exbB//malQ//fhuB//yhjC//paaB//yeiP//phnJ//mhpE//
TrpR-Tryptophan_neg	hupA//acrD//rcnB//torC//abgT//dsdA//gspD//hcr//agaV//aceE//bamA//uxuA//
TyrR-L-tryptophan_neg	aroA//glcA//hyaD//lysU//mepH//ascF//fdnI//tsaE//ompA//ompT//casD//sodA//
TyrR-L-tryptophan_pos	melR//ygeA//cheZ//
TyrR-Phenylalanine_neg	purR//glnD//cheZ//cheR//tdcD//srlA//bioB//lysC//cheZ//xapA//tyrA//yfiP//
TyrR-Phenylalanine_pos	lacA//citF//dpiA//
TyrR-Tyrosine_neg	rnlB//rrlA//moaC//hyfA//argG//ccmD//amtB//feoB//ilvG_1//cysH//nanA//entF//
TyrR-Tyrosine_pos	moeB//modA//acnB//
UhpA-Phosphorylated_pos	glpC//
XapR-xanthosine_pos	dpiB//efeU_2//
XylR-Xylose_pos	yebE//yeaE//tam//ryhB//nanT//rplI//
ZntR-Cd2+_pos	malZ//
ZntR-Hg_pos	ygiA//
ZntR-Zn2+_pos	nrfA//
ZraR-Phosphorylated_pos	galP//entF//tyrB//
Zur-Zn2+_neg	mdtA//prpE//glpA//betB//grxC//srlD//
