#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	yfdE//lacI//
ArgR-L-arginine_pos	glpD//glpC//gadC//araJ//livH//
AtoC-phosphorylated_pos	fhuC//napC//betA//nuoA//
BaeR-Phosphorylated_pos	hupA//rbsK//ykgO//hdeA//napA//malY//cysU//ugpC//
BirA-bio-5'-AMP_neg	fes//casB//cysN//acrE//yneM//
CRP-cAMP_neg	xdhB//fimE//acrE//caiT//ynfE//patZ//pncB//lpxA//mhpB//ydhU//ada//rplV//glcB//prpB//ileV//cpxA//mepH//fhuC//tsaE//rutD//cydC//cusF//fadA//rrfA//ilvX//cpxR//fucK//aer//narI//argD//caiA//ycjF//hyaC//rpsP//srlD//cusA//hybO//glnA//alaV//dcuR//lsrD//ivbL//argD//glcA//chiP//fixC//astB//puuB//fecD//narI//iraD//gspH//hyfC//betB//sohB//gltV//entC//astE//sroD//fadL//lolB//hycC//ugpA//pgk//hyfE//ompC//phnF//yfbR//folA//rutA//ompF//phoA//cynT//rseB//nrfD//phnP//talA//gatB//hybO//rpsI//fucI//idnT//araE//ydeM//nuoL//bdcA//hyfB//norW//ydhX//yeiL//nanA//chbF//rhaA//evgS//yegH//allC//crl//aaeX//rdoA//rstA//rpmI//mgtA//feoB//cheZ//tnaC//eda//mgrR//grpE//mhpE//ilvX//yfdE//fdnI//yiaJ//pheM//gatA//nuoJ//torC//tadA//astD//torC//tonB//ycdZ//glpC//hyaB//puuD//lysA//truB//lldP//dusB//ychH//mhpA//aer//hybB//
CRP-cAMP_pos	puuE//nac//upp//hofP//narX//araB//yedX//napH//dmsA//dcuC//metQ//ulaC//lysU//metH//hdeA//lsrG//fepG//xdhB//citG//hlyE//gcvH//nrdA//mhpD//rbsA//fucP//uhpC//metY//cusC//aroH//mltC//fbaA//glpX//pgaA//hyaF//tyrP//tyrB//citF//pstS//fes//rrsD//rpmI//ydeA//dusB//hypA//aer//tyrB//trpA//pstS//acrE//gabT//kbl//ogt//ogt//paaB//rrsD//glpQ//fes//fepB//fdnG//slyB//fucI//rseA//exbB//ampE//alaV//rpsQ//srlA//tsaE//ubiC//melR//modB//secB//hdeB//manX//cra//entD//xylH//gltD//prpE//hyfI//phnF//tam//fdhF//nuoI//rplC//hyaF//caiA//rutC//glpX//sufS//napA//hyfI//trpA//ileT//napD//fucP//gatB//hydN//yeiB//folA//fepD//bamA//narI//gabD//cheA//iclR//rrfC//pyrC//glcA//gdhA//tsr//grxD//rdoA//iraD//rdoA//hycI//alaT//metB//safA//livF//phnL//nupC//spy//melA//phoE//ogt//nikR//nirC//gntP//ccmF//uhpB//uidA//yfdE//dgcZ//moaC//hybB//sdhC//ysgA//bcsB//rrlG//rplS//soxR//rybA//pepT//tam//prmC//oxyR//upp//yaiA//alkB//allE//rseC//dsdC//ybdZ//nuoL//ilvG_1//entC//gntR//gspG//pgaC//metA//citX//cydD//yccA//garL//napH//narL//cyoB//prpR//rplC//pgaD//phnE_1//metR//betA//fimA//nrfB//rrsC//glcF//metN//ptsH//pck//ygeA//nrdB//ygiB//ftnA//manY//dapD//mntH//fadA//aaeA//zntA//yneM//malG//gcvT//marB//cysK//gyrA//qseC//ptsH//pitA//psiF//copA//garP//artI//hofC//trxA//uhpB//rbsK//infB//arcZ//rhaS//cynR//aroG//cheZ//polA//araE//garL//ompW//astD//ftnB//nusA//citE//atoA//ygaC//chiP//ydfN//rmf//sodA//chbF//glnL//deoA//lamB//fimC//entS//nrdA//lpd//bioD//purL//putP//cydC//ydeP//creD//hofO//cysJ//cyaR//astD//mhpT//uhpA//glpA//ispE//yfdX//yneM//azuC//uxuB//nuoB//metK//malP//hcr//gltW//appA//dadX//lpxD//fepG//fecE//dapB//arcZ//zraP//pstB//modC//glcD//hofN//glnK//bcsB//paaB//fnr//mglC//trpA//cusR//entE//rrfC//hflX//hisJ//phnP//map//gutQ//arcA//nikD//rrlD//caiD//araF//sbmC//yhcH//ubiX//hycF//trpR//entE//ybdN//astD//rpmI//nac//cpdB//cas2//hyaC//ydeA//rrfG//fadA//aldA//cheY//astA//murP//glpQ//qseB//ascB//sucB//oppF//metE//ybjG//moeB//hyfD//ugpQ//nmpC//cysW//sucC//trpC//torC//fepA//slt//fucU//gspL//gltB//hmp//csgG//yhjC//nuoM//xapA//grpE//yojI//phnL//malS//fbaA//rbsK//idnR//prmC//ompT//prpE//casC//paaH//pgaD//exuT//rprA//citE//gspH//yqjA//nuoH//fbaA//gatB//micF//glnB//mutY//rrlC//aroG//malE//casC//ppdD//glcA//fecC//chbF//gspL//cysW//ykgM//alaU//lpxD//cheB//trpE//asr//entS//casC//ydeJ//frdB//artP//lldR//rrfG//allE//frdB//phoH//rutC//hha//sufS//acnB//sbmA//tdh//tauD//metR//serC//glpG//dcuR//cydC//mglA//ubiG//dcuD//yecR//ccmF//hdeB//waaH//rmf//codB//livK//umpH//phnE_2//rplP//nadC//nagA//zraP//tauD//gltV//gpmA//allC//tam//bcsB//rplV//aaeX//fur//yibN//rrsA//astD//torC//cyaA//entF//focB//
ChbR-Monoacetylchitobiose-6P_neg	sodA//hyaE//fdnI//ulaB//guaB//entC//
ChbR-Monoacetylchitobiose-6P_pos	ulaC//lacZ//glpG//miaA//rplB//crr//
CpxR-Phosphorylated_neg	ubiG//csgC//casC//livK//cspE//iclR//raiA//nanA//galE//rseA//glpG//glrR//paaC//cdd//phnK//livJ//fimF//ampE//betI//gspC//acrD//dsbA//prpB//nmpC//
CpxR-Phosphorylated_pos	malK//nuoM//yhiD//pgaC//yhhY//prmC//pgaA//glcF//lsrR//lldR//gspK//phoA//pgk//xylB//lsrR//xseA//carB//pdhR//uxaA//argB//mutL//cyaA//alaA//uxuB//folE//yidQ//amiB//yaiA//envZ//ihfA//glgA//nrdF//ydeP//sbmC//glnG//tam//dusB//yqjI//folE//eda//tdh//napF//sucC//argG//ygiB//
CreB-Phosphorylated_neg	nanT//creC//glpQ//
CreB-Phosphorylated_pos	sodB//pdhR//nrdH//melB//dpiA//nlpE//
CueR-Ag_neg	creA//dpiA//narX//rplP//rbsR//
CueR-Ag_pos	idnK//gspM//
CueR-Cu+_neg	ilvB//prfA//araB//hmp//alaV//
CueR-Cu+_pos	pyrD//manA//
CuerR-Au_neg	fimF//yfiP//tehA//rrsA//hyfA//
CuerR-Au_pos	lldR//dsdA//
CusR-Pasp_pos	exbD//dgcZ//dcuA//mhpT//rrlA//prs//argO//cvpA//manZ//murQ//uhpT//betI//
CynR-Cyanate_neg	mcaS//
CynR-Cyanate_pos	srlR//yggX//pheM//
CysB-N-acetyl-L-serine_neg	ydeM//marA//sufC//hisM//srlA//glpD//aaeX//
CysB-N-acetyl-L-serine_pos	gspE//ybdN//rpmC//malX//cueO//nuoA//malG//dppF//ebgA//pepT//srlB//ybfN//yjeF//cpxA//ispE//feoC//argF//modA//sufA//napF//rrfG//aldB//focA//
CysB-O-acetyl-L-serine_neg	pstB//creA//infC//fadB//entA//glnG//sucA//
CysB-O-acetyl-L-serine_pos	napD//yeiW//phoE//nadC//aroF//hypB//ilvA//rplT//hmp//pck//metQ//hfq//bcsC//rcnB//artM//livG//cheY//fadL//glcC//ykgM//idnD//ilvI//fnrS//map//
DcuR-Phosphorylated_pos	fimG//aroA//nrdG//gspK//bamA//lysA//glmY//gadB//argD//
DnaA-ATP_neg	hypC//manY//glpD//pitB//hybD//fecI//nmpC//idnR//caiF//cysJ//araE//
DnaA-ATP_pos	yeiW//hcr//crr//yfdV//rybB//gltV//glrR//
DpiA-Pasp_neg	ackA//
DpiA-Pasp_pos	cysD//grcA//lrp//alaT//dsdA//ccmB//cysD//srlB//hyfB//osmC//
DsdC-D-serine_neg	rimP//
DsdC-D-serine_pos	fecR//ykgR//
EvgA-Phosphorylated_pos	hyfE//exbB//serC//talA//hflC//deoA//betA//baeR//rpoS//ydeP//creC//gcvT//malK//ykgM//uxaB//
FNR-[4Fe-4S]2+ reduced_neg	tyrA//folE//trg//rybA//gatB//gltT//cyoB//gspC//chbC//nikE//yfdX//aceE//oxc//idnR//nupC//fimE//fhlA//mdtD//mzrA//ygaC//csgD//yoaC//dcuS//rrsE//astB//yiaJ//betT//yhiD//pepT//prmC//agaA//lysO//yfiP//oxyR//fhuE//glcD//bioA//agaV//xdhC//dkgB//moeB//ftnB//sufB//phnM//rbsC//ebgA//araE//nuoG//hofP//degP//tnaB//phoB//ahpC//purE//chbG//eda//ydeN//ansB//tdcE//acs//phnE_1//fecE//ldtB//narJ//dmsC//deoC//aldA//treR//csgE//sufA//dsdX//fecA//appC//ugpQ//appX//phoE//garL//gltV//ybiT//amtB//ybiT//astE//manA//gadB//yhfA//ydfN//mgtA//pyrC//tap//fbaA//ccmH//nrfA//sufA//leuE//ebgA//amiB//nikA//malZ//ynfH//sdhB//ybdN//yhcH//slt//napB//ilvN//lldR//qseC//rrlA//metY//livF//torC//feoC//astB//hyfB//hofM//sufD//fepA//nupG//tnaA//glcE//
FNR-[4Fe-4S]2+ reduced_pos	amtB//pdeF//rbsD//gntR//focA//fepC//yeaE//torD//caiB//yedX//rrsD//rpsC//feoB//ilvE//ydhT//mntS//soxS//pagP//atoD//rrlH//fecC//ccmE//mhpB//ilvH//sucD//creC//fecC//purR//tsx//gspE//emrK//galS//fucU//copA//dcuR//cysG//yjiY//dnaA//ybjG//preA//fnr//nrfD//uhpC//ydhY//lpd//ompF//deoC//rbsA//lldD//motA//yfeW//aidB//agaW//pyrC//rrfF//hdeA//mutL//aroP//torC//nirB//evgA//pta//glpK//ada//pgaA//mdtC//mepH//ynfG//fepA//mutY//nrfD//gltW//ykgM//deoD//hlyE//oppD//fiu//rbsR//nrfB//aer//bcsB//fadE//ilvX//eda//nrdH//ftnB//creC//hyfE//dsbA//glgX//paaF//serC//gntR//nuoM//bcsB//rrfC//alaA//cusC//gltU//yoaG//rrfA//pnp//fimC//ybfN//phnE_2//caiF//metH//hupA//dppC//rpoE//fixC//ydbD//aaeR//gltW//znuB//hypD//cbl//nrdH//cyoD//nrfD//fhuC//ompX//malF//rhaD//fimF//pgaD//iscA//csgG//ompW//yedX//hypD//nrfE//ygeA//tsgA//metR//bdcA//gatZ//epd//mntS//rrlH//araH//ydhW//prs//osmC//uhpB//aroL//mhpD//rnlA//rnhB//yaeP//cas2//fimH//iraD//dmsD//ynfK//puuA//fecB//aroM//rbsK//hisQ//dsdA//aldA//nrfE//fucO//spy//ulaB//paaG//xylA//hha//hybE//alaT//nusA//gspI//degP//malP//manZ//ybjG//hyaB//pheT//fis//mtr//moeB//cysC//entH//tdcF//exuT//nrdD//fadD//ilvD//uxaA//rbsA//gltF//ygeA//priB//prmC//cas1//umpH//pagP//yhjA//galM//gabP//purH//
FhlA-Formate_pos	yjjZ//rrfC//bioF//xylR//speB//deoC//tyrB//rbsK//pstA//rpmC//glgC//nuoA//gspC//rybA//yoaG//manA//ycdZ//rrfD//rseA//gspE//sucA//yrbL//glpD//metN//rutB//fliZ//ompT//gltA//yeaE//hpt//
FucR-L-fuculose-1-phosphate_pos	moeB//dcuB//tnaA//xylB//yciW//hyfJ//nohA//
Fur-Fe2+_neg	cadC//nikR//dkgB//agp//cyaA//hyfF//yfdV//rplB//uidB//ykgR//sucD//folE//hofC//yoaG//lacY//nikD//cytR//ogt//rrfF//mhpR//bglG//yeaD//creA//tauB//fliA//dpiB//ppiD//malK//lysC//yggX//ychO//phnP//umpH//aldB//ygiA//cydC//phnG//exbD//marB//astE//tdcB//gabT//yhjA//entB//glcF//ugpE//sucC//bamE//tauD//mepH//livJ//cpxR//fiu//garK//hyfR//lhgO//ssuE//dps//hcp//mtlA//uidB//metI//nikD//aroA//betT//fes//fhlA//bioF//tsgA//aspC//lacA//argA//tfaQ//fes//yjcH//creA//rutB//metY//rpsP//hycE//focB//rutE//ydhY//uvrA//chbC//lysC//srlD//hisQ//tauB//aspC//tdcF//uraA//casE//paaA//fecB//bacA//csgA//narL//paaG//rhaR//ryhB//yfdX//csiD//nagC//hofP//ycdZ//tdcB//glpF//gntU//pitA//citE//sbcC//yqaE//norW//ileT//uidC//sdhD//mhpF//cyoE//cheA//yqjI//astA//gutQ//ygiA//
Fur-Fe2+_pos	mgrR//rrfH//metI//zntA//hycI//cyoB//cysI//gltB//fucK//speB//ilvY//ompW//rpmI//glyA//sucA//glyA//fliZ//ydhY//cydA//xylA//rpsP//fldA//narH//araD//acs//
Fur-Mn2+_neg	tauB//lysC//rstB//nuoE//uidA//ybdZ//rplP//rrlH//rplM//chbR//gcvT//tdcG//ykgM//ascF//rrfH//lsrB//ygeH//astC//rrlC//purR//cspD//fis//paaI//hycB//casB//zraP//ulaA//malQ//hyaE//ccmF//hmp//fadI//pyrC//fadJ//yebE//rbsR//alaU//mhpF//ilvN//ygaC//yeaE//phnG//nagC//glgB//znuB//araC//rrsE//rplM//cpxR//rplD//adiC//narJ//nikB//speB//yojI//hyaA//cbl//rbfA//hflC//dppB//rpsQ//mutL//ulaA//yjjZ//rplB//hslJ//paaA//lacY//talA//avtA//yneM//ssb//lysC//hdeB//mhpC//aceB//entD//ydfH//aroF//pepT//bdcA//yebE//fixX//hybB//mntS//ilvX//tam//napH//fimI//bioF//rrlE//rutG//secB//yegR//yneM//rutG//upp//bamA//frdC//nrfE//ydhY//agaA//uhpB//prpR//ygeA//gltT//ansB//chbR//glgC//ychO//frdA//moaE//glgC//glpC//ydfN//codA//cusS//gltT//paaK//manZ//ssuC//alaS//dcuR//tnaA//
Fur-Mn2+_pos	gltT//lysO//ulaB//cydD//rpsC//galE//ynfF//aaeR//alkB//soxR//cirA//grpE//bdcA//cueO//pheS//ascB//agp//yneM//melB//acrB//rseB//cirA//acnB//rrlA//ygiC//
GlcC-Acetate_neg	hisP//
GlcC-Acetate_pos	glpC//ydeM//ackA//atoD//atoD//yjcH//
GlcC-Glycolate_neg	mdtD//
GlcC-Glycolate_pos	nanS//fucO//ugpE//lsrR//chbC//glyA//
GlrR-Pasp56_pos	fliZ//
IclR-pyruvate_neg	paaI//gltF//caiD//malG//
IdnR-5-ketogluconate_neg	metJ//gcd//bglG//
IdnR-5-ketogluconate_pos	frdA//thrV//mtlA//psiE//glcC//
IdnR-Idonate_neg	citG//frdA//exbD//
IdnR-Idonate_pos	cusF//thrV//rprA//rbsC//hflX//
IlvY-2-acetolactate_neg	dmsD//
IlvY-2-acetolactate_pos	abgB//
IlvY-Alfa-acetohydroxybutirate_neg	torA//
IlvY-Alfa-acetohydroxybutirate_pos	dsdA//
IscR-[2Fe-2S]1+_neg	thrV//atoD//cspD//icd//ebgC//ilvG_2//aroF//xylA//cysB//preA//hemL//yccA//ndh//malY//upp//rutF//nuoL//gntX//creB//hyaF//lsrB//rpsO//sufC//rcnB//fucI//fimH//yegR//glpX//rplC//rybB//
IscR-[2Fe-2S]1+_pos	rrlG//phoE//codA//purK//ycdZ//rpmI//srlB//uxuB//modB//ompW//galK//
LldR-L-lactate_neg	rplI//ydhX//fabZ//
LldR-L-lactate_pos	glpG//nanA//hypB//
Lrp-Leucine_neg	metR//yjjZ//nagC//rhaA//srlB//ydhY//glpG//yeiP//amn//hdeA//livH//nuoL//lsrF//acrF//exbB//uxuB//phnH//caiE//agp//paaD//hdeD//bglF//ychO//ascF//puuB//ssuC//araA//argT//ssuC//glcF//argR//gspL//ulaA//srlE//yhjC//argO//yeaR//argB//hslJ//creD//rhaB//ompX//creC//nanK//gltU//psiE//malP//trpB//iclR//tdcB//cyoB//hybD//phoA//pnp//ygbA//livM//cpxR//glgA//hyaD//creA//phnH//marA//nuoL//dgcZ//livK//spy//appX//yaeQ//rplM//melB//deoD//ydhU//gatA//casE//ileT//
Lrp-Leucine_pos	mhpD//acrF//metB//exuT//rplS//uidB//yaiW//gltB//garL//araD//ugpB//cynS//phoA//borD//agaV//gspI//ampE//hycE//phnN//ogt//rrlC//yeiB//nuoF//entF//xseA//paaJ//betA//rpmI//metY//erpA//yedX//yeaE//lolB//gltB//hyaE//
LsrR_neg	yfeW//fhuF//ilvG_2//frdB//fhuA//glgA//yoaG//aroM//hcp//
MalT-ADP-Maltotriose_pos	caiD//moaE//nrfD//yhfA//mhpR//yidQ//lysC//hycI//puuC//glcF//
MalT-Maltotriose-ATP_pos	ubiC//sdhD//araH//narQ//carB//tnaB//ycdZ//metA//araE//ptsG//
MelR-Melibiose_neg	ivbL//sbcD//idnD//
MelR-Melibiose_pos	gspL//yggX//cyoB//
MetJ-S-adenosylmethionine_neg	fixC//ynfF//glcB//ugpE//pgk//arcA//hlyE//nadC//azuC//manZ//rutG//rhaA//paaE//hydN//phnP//
MetR-L-homocysteine_neg	metJ//fliA//
MetR-L-homocysteine_pos	hmp//glcD//talA//mhpT//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	leuE//yebE//nuoK//nikB//fixB//dmsD//
MhpR-3HPP_pos	rrlB//lysU//agp//cueO//hyaF//oxyR//
MntR-Cd2+_neg	chbB//trpE//hflX//cysM//
MntR-Cd2+_pos	yegR//
ModE-MoO42-_neg	fur//rpoE//ccmG//casD//trpB//rbfA//hofO//rrfH//exuT//rrfC//bacA//rutF//nlpE//preA//alaU//
ModE-MoO42-_pos	cydD//hybE//hycB//pgaD//cadC//ydfH//hflK//cheY//uidA//trg//appX//lsrR//araG//hdeD//tonB//fumC//gcd//azuC//yedX//lsrR//tehB//yeaE//rbsD//glcG//ynfH//metH//gadB//citG//phoR//glcG//carA//
NarL-Phosphorylated_neg	hycC//nuoM//aaeB//nrfB//aceB//napD//glcF//yfeW//glgA//hybF//allC//xapB//lldP//osmC//ppiA//ansB//astC//phnD//hyfH//fimI//fimH//glyA//acrE//argO//rbsA//cydC//cyoD//pstA//puuP//sufB//caiA//bioA//nac//nagB//cytR//ampD//dsdC//asr//aroA//sohB//gatY//tnaA//xylA//dps//citF//yeaR//gltB//trpL//cpxR//yfdX//efeU_2//mipA//hslJ//sucC//aaeX//yaiW//fadB//nuoJ//nrdD//cheA//exbB//infB//fdnH//betT//tnaB//nrdI//torC//torC//speB//dctA//psiE//hofM//atoA//cheZ//cydA//tdcE//sroD//acrD//speC//eda//cheY//alaV//phnL//yqjH//astE//glpA//
NarL-Phosphorylated_pos	rcnA//napD//uxaC//nanA//malQ//hemA//hybO//cynR//nfuA//psd//fadJ//puuR//miaA//lolB//mutY//araC//iraM//envZ//betA//glnB//ompR//ybiT//yaeP//paaJ//araB//rnhB//galM//prpD//ybiT//ompW//cirA//nuoE//rstA//hycH//chbA//sodB//mdtC//gltW//xylB//oppB//tonB//treB//livH//gspJ//xseA//ndh//
NarP-Phosphorylated_neg	malK//cysP//argA//spy//frdD//dcuS//araH//manX//treC//bglB//sufD//nanM//thrV//malS//rpsQ//hyfB//deoD//bglB//ydhT//argO//agaV//galT//gatA//puuE//ilvI//frc//ynfG//rrlD//yaiA//entD//rrsA//tolC//narK//
NarP-Phosphorylated_pos	nikB//murQ//yqjI//rpoH//rrsE//glpB//metF//metC//zntA//cysH//glpT//lsrD//nanE//livM//copA//prpC//pitB//hpt//mdtD//nagE//cynS//yjeV//mhpB//cydB//araH//puuB//rbsD//rrsB//ahpC//adiC//atoE//ybiT//
NhaR-Na+_pos	ykgO//gntX//ulaA//hdeD//citX//
NikR-Cd2+_neg	fixA//carB//pgaC//livK//mhpF//adhE//
NikR-Co2+_neg	cusA//sufE//atoA//nanE//ilvD//phnP//
NikR-Cu2+_neg	ynfK//nupG//katG//narQ//hflX//sucA//
NikR-Ni2+_neg	gcvT//gltW//aroM//amtB//ccmA//amtB//
NikR-Zn2+_neg	pstS//gntR//dcuD//fixC//ugpB//fur//
NrdR-ATP_neg	nuoJ//fdnI//appB//mhpT//lpxA//micF//paaJ//fucA//ung//
NrdR-Zn2+_neg	dadX//csgF//ynfG//fadE//glnB//aer//csgE//astD//rutF//
NrdR-dATP_neg	cheZ//tyrP//speA//garL//artP//norR//cysI//crp//rrfB//
NsrR-[2Fe-2S]reduced_neg	aceA//phoB//cyaA//manZ//hmp//rrfE//nuoC//uraA//napC//mglA//hyfH//yfaE//spy//adiC//hybB//metK//xdhC//paaZ//gntP//mhpR//bcsB//hyfI//cas2//cyaA//phoB//rof//pheM//gltU//bcsA//sdhC//cynT//bioA//rrfE//metK//lrp//uidB//mutY//lacY//argG//atoD//narI//ulaA//feoC//ppdD//nirB//purC//ackA//gcvT//hofM//yeaE//hycG//tnaB//dapD//appC//lacY//yeiB//amiB//pagP//fimE//gspO//yojI//aroG//yegZ//tktB//qseC//malE//nrdI//glcC//entC//nikE//argO//erpA//hypA//
PhoB-Phosphorylated_neg	ppdD//ssuA//csgG//lpxD//oppB//paaF//pyrC//safA//dmsB//lacA//araD//ebgA//yfdX//
PhoB-Phosphorylated_pos	cheR//hlyE//sohB//malZ//yiaJ//ftnB//proP//araE//guaA//rutE//tyrP//gatB//dsdC//phoH//spf//mhpC//bglG//glpG//ygiC//fimA//safA//ydeA//hybF//glpD//fadB//ilvE//ilvA//mdh//pyrD//nagC//glgC//fepA//fucR//ftnB//malQ//fnrS//ydeP//ackA//gspJ//xylH//metL//ileV//narI//hycC//malP//prpB//evgS//cas2//creB//ydeJ//malP//mdtA//purN//
PhoP-Phosphorylated_neg	talA//aaeR//rpoH//alaS//mhpE//tdcD//chbR//araH//appB//hha//sucC//
PhoP-Phosphorylated_pos	cyoB//lamB//cysB//argD//phnH//purK//sroD//rprA//zwf//psiE//citC//znuA//ydeO//appB//leuE//cynT//uidA//tar//hisP//tauC//moaD//ydhX//citG//mtlR//yhcH//zraS//rrfB//napC//glnG//cusF//tdcG//araD//napD//pnp//yhjC//serA//purF//rbsD//puuB//phnC//psiE//treC//phnF//rutB//glgB//fixA//cyaR//caiA//caiT//
PrpR-2-methylcitrate_neg	ampE//
PrpR-2-methylcitrate_pos	ompW//hyfB//sufS//glpR//
PurR-Guanine_neg	sufA//nadC//speC//ulaA//metI//rpsQ//mgtL//purH//glnB//azuC//betA//yeaR//frdA//norW//yqjI//betT//purA//marA//hcr//ompA//uxuR//cysD//lysC//pheM//rrlC//acnB//ccmA//bioF//ubiA//nrdD//entH//srlD//ydeJ//pstS//
PurR-Hypoxanthine_neg	pyrD//nuoF//puuD//mntH//nrdF//rybB//cyoC//argE//pstA//gdhA//lsrK//rutE//nikA//srlE//malS//sbmC//acrE//pitB//gntX//citC//cusA//fadL//oxyR//preT//treB//sohB//gltF//mgtA//cysG//sufD//yqjI//alaS//artP//allE//
QseB-Phosphorylated_pos	mglC//ugpB//ulaC//sdhD//
RhaR-L-rhamnose_pos	rprA//ubiX//
RhaS-L-rhamnose_pos	cyoC//fumA//rrlB//
RstA-Phosphorylated_neg	casB//aroL//ilvY//nagE//hdeB//
RstA-Phosphorylated_pos	dnaE//cra//ivbL//fepA//glnA//
SoxR-[2Fe-2S]3+ oxydized_neg	glpG//
SoxR-[2Fe-2S]3+ oxydized_pos	ompF//stpA//malX//
TorR-Phosphorylated_neg	puuP//
TorR-Phosphorylated_pos	trpL//nanS//amn//fhuB//rbsA//malM//argE//hisP//gspF//
TrpR-Tryptophan_neg	metC//ulaA//aldA//dppC//fucK//dapD//fimH//cueO//trpC//idnK//lysO//nrdH//
TyrR-L-tryptophan_neg	hisP//fiu//prpB//araD//yhhY//slyB//mutY//fimA//ydhY//nanT//cydB//rbsR//
TyrR-L-tryptophan_pos	puuE//pdeF//rutB//
TyrR-Phenylalanine_neg	acrA//amtB//epd//csgC//bcsC//pstA//acrA//phoU//polA//moaD//cyoB//znuC//
TyrR-Phenylalanine_pos	mtlD//rpsF//pheS//
TyrR-Tyrosine_neg	psd//tdcG//cueO//trpC//manX//oppB//mutY//nikD//rplI//uxaA//rrlG//puuR//
TyrR-Tyrosine_pos	rrfC//gabP//ybjG//
UhpA-Phosphorylated_pos	rseA//
XapR-xanthosine_pos	fecC//rrsE//
XylR-Xylose_pos	exbD//uxuB//alaU//tsaE//gcvH//psd//
ZntR-Cd2+_pos	ybjG//
ZntR-Hg_pos	gltB//
ZntR-Zn2+_pos	yfbR//
ZraR-Phosphorylated_pos	narG//cysC//ubiA//
Zur-Zn2+_neg	purN//cydA//deoC//rrlE//sbmA//cyoD//
