#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	sufD//yoaG//
CRP-cAMP_pos	cydC//aspC//phoE//mdtD//ilvL//uxaA//hybB//lrp//tnaA//entD//metN//nrdG//hdeA//ebgC//ccmH//ccmC//idnT//fepB//garP//grxD//mgrR//ycdZ//ispE//nagE//argF//entA//garP//fimA//carB//glgX//malZ//glgX//cyoD//gspD//rrlC//ycjX//casA//lysA//idnK//emrY//acrA//fnrS//manZ//dmsB//exuT//yqaE//hha//nupG//nuoC//artP//yaiW//nikD//malP//rbsA//puuD//ydhY//cheB//cadA//gspM//hybA//yeiW//yhjA//fis//lacZ//tauB//rpsO//fepD//livJ//fucR//hypA//ugpE//glpT//mhpB//hisM//atoA//argO//cpxR//ugpE//glyA//hemA//nrdE//fepC//ccmG//hemL//arfB//gntR//efeU_2//tauC//yoaG//moaD//fhuB//preA//gabT//galP//napD//fimH//cysM//cydC//glcE//tolC//dmsA//gpmA//galT//garL//ppiD//allE//araA//fucI//alaV//ygbA//nikR//trpA//malI//nac//yecR//cydB//narL//gapA//cysH//paaG//phnD//fucO//murQ//hha//yaeQ//cpxR//ygeA//nikC//fixX//lacZ//mdh//ygeH//ispE//entE//ydeJ//uxuR//hycE//phnP//cpdB//yccA//ydhY//dsdA//sdhD//citF//ulaF//ychH//cheZ//hha//glpB//cyaA//livK//glpB//fecC//metE//argH//murP//ccmB//cusB//dcuC//carB//ansB//dmsB//hisJ//aaeB//metE//amiB//rplP//hpt//manX//cysG//gspL//argO//phoP//entS//ileT//phoQ//purH//nfuA//cheB//rrlG//caiT//paaI//ogt//uof//puuP//ychH//nupC//nupG//prs//cysP//rutC//galT//chbF//ilvI//gspF//fecC//tdcC//dnaN//argG//hyaE//hflD//atoE//fepC//tsaE//pepT//yidQ//bcsB//xdhA//amtB//uxuA//galE//cysM//ygiC//fabZ//nrfC//xylF//fepA//murP//rutF//gadB//ompF//rrsD//glnL//hypE//gspJ//fecC//ygiA//dcuC//aceA//mhpT//narX//chbA//nuoF//ssb//yoaC//rpsC//rseB//rrfD//tauB//tyrP//ilvI//acrB//psd//uvrA//ilvI//ydhW//gspF//psiF//appC//nuoC//cyoC//melB//tdcF//yojI//paaZ//caiC//aceF//rcnB//speC//napA//pepT//ptsH//bhsA//uidB//yaiW//ydhY//rutE//gspO//miaA//phoQ//baeS//exbB//slt//dgcZ//nagB//gcvT//trpB//carA//purD//nrfF//bamE//phnE_2//raiA//rrlE//ahpF//nagE//nuoI//rpsO//rseC//aaeR//yjeV//rrlH//betT//gltB//rybA//ptsI//hyaA//xseA//trpE//mntP//nrdE//cydB//sufB//rbsB//serA//hycF//ahpC//malX//mepH//caiT//ompF//purL//sufD//cusB//ptsG//cysJ//mzrA//araD//ykgM//citX//crl//feoB//phoE//cyoE//mhpR//rplB//aidB//trpE//rnhB//cysC//phnL//aceK//nikR//xdhC//araE//nikA//torA//ppiD//creD//mgtA//rpsI//dpiB//narQ//mtr//tauB//argI//lysC//hybB//rutF//lacI//bamE//fes//galK//nrfD//mscM//zraS//dcuA//yrbL//ybdN//rplC//ydeP//yfeW//gabP//nlpE//rrfF//trpD//malQ//malG//purB//tktB//prs//rbfA//tolC//nrfB//livH//paaG//argH//oppF//nrfB//argF//hflD//argE//galK//hypD//yoaC//srlE//chbB//dcuS//nanA//bglG//malM//glgB//fhuE//nikD//xylG//tdcF//yjjZ//rseA//fucU//fimD//nanK//pck//araH//pitA//prpC//feoB//fucP//putP//hofB//metB//yqaE//ompX//purE//purR//ccmB//tnaC//dcuB//gatC//pepT//cyoD//nirC//sufD//yegH//entH//ydhY//gcd//znuC//xapB//fepD//
ChbR-Monoacetylchitobiose-6P_neg	hyfR//sufA//atoA//chbB//metJ//mgrR//
ChbR-Monoacetylchitobiose-6P_pos	gltV//astE//uidB//znuA//lsrF//glnL//
CpxR-Phosphorylated_neg	nrfD//norV//gltU//bamA//rrfB//cspE//mhpD//ndh//yaeQ//mutY//citE//torA//ccmF//fepC//speB//nrdD//argH//trpL//modC//aroF//ydbD//tdcB//cstA//uxaB//
CpxR-Phosphorylated_pos	paaB//ung//preT//ebgC//rrfF//treC//yccA//nirD//fimC//tauB//gltW//garP//argF//katG//ccmA//oppC//rutA//trpA//folA//paaK//hofN//tyrP//yfiP//sodA//purF//cysW//fadB//deoA//baeS//norW//modA//rrsB//phnE_2//fbaA//lldR//bcsZ//paaK//deoD//aceE//rpsC//ygaC//puuC//entC//nuoF//mglC//
CreB-Phosphorylated_neg	cysW//araC//bamE//
CreB-Phosphorylated_pos	yhhY//gspK//ppiA//srlB//csgG//astA//
CueR-Ag_neg	argO//acs//ccmA//sohB//cysG//
CueR-Ag_pos	aaeA//glgP//
CueR-Cu+_neg	codB//hyaC//aspA//torR//yqjA//
CueR-Cu+_pos	puuE//narI//
CuerR-Au_neg	fecC//serA//ydeA//araH//degP//
CuerR-Au_pos	argI//prpC//
CusR-Pasp_pos	aceA//dusB//rrlH//tnaC//lacI//artJ//talA//ugpE//gltD//lsrC//alaT//napB//
CynR-Cyanate_neg	umpH//
CynR-Cyanate_pos	spf//phoA//spf//
CysB-N-acetyl-L-serine_neg	ugpB//ydhU//xdhC//xdhC//glnD//ydhU//glrR//
CysB-N-acetyl-L-serine_pos	nanC//zwf//treB//codA//nuoC//ssrS//ilvM//safA//rof//bioF//trpB//glpR//rutE//gltB//psiE//psiF//phnL//grxD//gutM//lacY//garL//hyaB//trpE//
CysB-O-acetyl-L-serine_neg	zntA//fdnH//galT//entE//ppiD//prfA//gdhA//
CysB-O-acetyl-L-serine_pos	nirD//metN//amiB//motA//narI//tnaB//infB//gcvH//lsrF//rplB//tyrA//malS//rutA//motB//nrdE//pitA//psiF//epd//fucA//rrsA//ubiC//mdtD//glyA//rrlC//
DcuR-Phosphorylated_pos	nupG//mdh//sufD//cysM//csgD//osmY//glpD//caiB//gcvT//
DnaA-ATP_neg	tnaB//malY//ompX//hisJ//trpE//cspD//nlpE//marB//cpxR//xylG//rpoS//
DnaA-ATP_pos	stpA//rrsH//tyrR//nagC//tyrB//hemL//ilvG_1//
DpiA-Pasp_neg	aldB//
DpiA-Pasp_pos	sbcD//hypF//uhpT//aroH//ygiB//fdnH//mcaS//gcd//alaU//grcA//
DsdC-D-serine_neg	phoQ//
DsdC-D-serine_pos	yedX//rbsA//
EvgA-Phosphorylated_pos	hybC//cyaR//gspC//astE//slyB//tnaA//cadA//ompR//fau//citG//arfB//galE//folE//glgX//hemL//
FNR-[4Fe-4S]2+ reduced_neg	hybG//hflC//ryhB//sufA//alaT//fepA//nanA//glnL//mtlD//phnL//fimC//dcuA//sufC//rplI//ilvA//agaW//nanK//prs//glpA//yaiA//aroG//hyaC//deoD//arcA//csgG//nirC//fepG//guaB//livK//mdtD//fbaA//rpsS//efeU_1//aspA//gltT//bioA//priB//bglG//yggX//rutC//chbG//nrfB//yoaG//tyrA//rybB//idnT//fhlA//lrp//stpA//hyaD//rbsD//nikE//ydiU//prs//rbsB//hdeA//napG//dsbA//nuoM//pitB//yqjA//exbB//cusB//mscM//sodA//yfeW//agaA//ydfH//creB//sucD//amtB//trpR//ysgA//cusS//degP//cysW//puuR//fdhF//exbD//allD//mglA//mdtA//ilvG_1//rnlB//rrlD//ykgR//aroM//carB//treC//envZ//cpxA//creB//ydhT//fadE//dpiA//citC//fhuA//focA//cysI//garR//tsgA//hyfI//grcA//phnK//fucA//glnL//yhfA//rrsE//nuoC//deoB//hyfF//hcp//rnlA//ryhB//napD//stpA//phnL//nmpC//hybF//frdD//
FNR-[4Fe-4S]2+ reduced_pos	nrdH//xdhB//ompR//ompT//idnT//cstA//metB//ilvA//gntU//lolB//serA//guaA//fumA//pdeF//uxaA//gltA//feoA//rbsB//ykgO//folA//patZ//galM//ynfK//rstA//lldR//hypE//fucA//yhhY//azuC//rstB//creC//hofB//fixX//ydeJ//hyaB//ompT//dmsA//fecC//feaR//betT//idnR//cysU//ileU//phnC//bioF//livM//ydhW//lhgO//glpK//glgA//amn//glcD//nuoF//gspK//pgk//dsdC//aspA//nikB//fimF//cusB//dsdX//rpmI//gatD//xapB//sdhD//fimF//map//ftnA//appY//tdcC//skp//rrlD//modB//fepE//lysC//serA//frdD//hyaD//malY//mzrA//dnaN//hyfR//norV//metQ//malT//hyfJ//evgS//ydeN//mepH//phnK//ubiG//pgaC//nanC//gntT//treB//hyfR//tdcE//idnR//rplM//dmsA//glcF//casD//nrdH//yeaR//rcnB//rbsC//cytR//dsdA//csgE//carA//sxy//tolC//yedX//ilvL//nuoG//paaF//phoQ//rseC//hlyE//rpsP//aceK//acnA//avtA//ilvN//zntA//mscM//glpA//purL//rnlB//rrsC//nrdH//fldA//yfeW//uraA//katG//alkB//metA//hisJ//appX//glgX//glyA//lacI//rdoA//argH//focB//hofB//ytfE//putP//dadA//mdtA//nikB//acs//mepH//mhpE//dsdA//glcF//phnE_1//ydhW//fucP//appB//yciW//lacA//uidC//rpsS//nuoI//micF//galT//xylH//pitB//secB//ivbL//appB//dnaE//infB//csgE//ybjG//ygeA//bglG//nanC//ilvI//rseA//pgpC//purE//creA//yedX//fes//mdtD//rbsB//focB//rimP//lsrG//yegR//thrS//oxc//yfiP//hdeD//hyfF//purK//dps//nuoC//prpR//rybB//
FhlA-Formate_pos	alaS//narI//rrfE//bcsA//aldB//argG//ahpC//entA//ptsG//oppC//paaJ//yeaE//phnE_2//artI//dppD//rpmI//speB//upp//ydfH//yeiP//aceE//fepC//fixA//trpE//glnG//murQ//hcp//idnD//pstB//ilvM//
FucR-L-fuculose-1-phosphate_pos	phoP//rrfF//ydhW//marR//umpH//ygaC//napF//
Fur-Fe2+_neg	aceB//phoH//yhfA//codA//fadL//tonB//ygeH//argE//rplT//yaiW//yneM//phoB//rutG//nrfF//xylB//sucC//gatY//hyfE//tyrP//fecR//aroM//rhaR//prpE//caiT//xylG//ccmA//tyrP//caiE//metJ//rhaB//lolB//cyoE//yqjI//patZ//udp//ung//lsrB//glcD//ulaB//mutL//chbG//aldB//lsrK//ryhB//hdeD//ccmH//rrlG//hyaC//rrsE//tdh//uidB//mglB//ydhX//ccmF//ulaD//metL//rrsB//ilvG_2//astC//phnE_2//sufD//lpd//marA//speB//treC//sdhD//trg//rplC//mlc//hycI//mpl//ydeM//yeaR//dmsD//dppD//chbF//emrK//malZ//csgC//sufE//cas1//paaZ//codA//gntR//cvpA//hypA//ilvD//torA//ackA//narI//hofN//bglF//sdaA//ssuC//mntS//mhpC//ptsH//pck//mutY//sucA//metY//bacA//rplI//dcuC//glcC//prpB//allC//tam//pgaB//uidC//rpsQ//aceA//hemL//emrK//mtlD//creD//fadA//citC//appX//deoA//recF//nuoL//fadH//nupC//
Fur-Fe2+_pos	hupB//iscR//bcsA//gatY//prpD//cirA//idnK//fepG//nlpD//appX//dppC//ychO//hypD//dsdC//ascB//napH//nmpC//abgT//sucB//slt//mntH//cusC//nikB//rbfA//rplW//
Fur-Mn2+_neg	ugpQ//cheZ//appB//frc//dcuD//folE//phnJ//csgA//rrsC//ygaC//ilvI//gabP//nuoC//csgE//casC//serA//comR//fadA//betB//mhpR//gutQ//yfdX//iraM//yeaR//carA//rpsC//csiE//rutC//gatB//dmsD//hflK//nuoM//ompX//avtA//garP//livG//manZ//pnp//phnK//ompF//phoB//argC//fadD//cheA//bglG//gcvP//manA//rof//betT//ykgR//phoP//dusB//uidA//dapB//recF//yeiP//mscM//gltT//glnK//ubiA//pstS//leuE//chbG//ubiA//hofM//mltC//phnI//dppA//ilvG_2//metR//dmsC//bioF//fepA//chbB//nrdH//ompW//bcsC//hisQ//rpsS//sdhA//artP//pdeF//purB//ssrS//cydC//fumC//gnd//putP//rpsI//motA//hflK//prpD//fliA//malE//tomB//pta//fdnI//lsrF//fecE//araE//fucR//ldtB//casB//rutE//glnD//ftnB//ilvE//ulaD//rhaA//yfdE//tauA//osmC//csiD//rrfB//fimI//cusB//ryhB//hofB//cysU//envY//acrF//ycjF//ptsG//fimG//
Fur-Mn2+_pos	mutL//moaD//hyfH//yeiB//mzrA//yqjA//mglB//narL//rrlD//hdeA//argD//paaJ//fucI//pheS//cpdB//nanS//yciW//ilvN//hyfJ//galT//cydB//ftnB//ldtC//cysC//hyaC//
GlcC-Acetate_neg	ompW//
GlcC-Acetate_pos	rpsC//xapA//pck//yebE//dpiB//fucK//
GlcC-Glycolate_neg	cynT//
GlcC-Glycolate_pos	qseC//arcA//araE//rimM//ppiD//phnN//
GlrR-Pasp56_pos	chbF//
IclR-pyruvate_neg	dgcZ//hcp//sbcC//narQ//
IdnR-5-ketogluconate_neg	rbsR//stpA//narJ//
IdnR-5-ketogluconate_pos	citC//talA//dnaN//ryhB//spf//
IdnR-Idonate_neg	hyfB//manX//srlE//
IdnR-Idonate_pos	fldA//hyfD//pstB//pgaA//codA//
IlvY-2-acetolactate_neg	ygiA//
IlvY-2-acetolactate_pos	dgcZ//
IlvY-Alfa-acetohydroxybutirate_neg	lsrA//
IlvY-Alfa-acetohydroxybutirate_pos	prpR//
IscR-[2Fe-2S]1+_neg	abgA//dppC//argR//hybF//mtr//edd//hflD//pdhR//fecI//cspE//crl//yqjI//argG//infC//uraA//citX//ampD//tauC//paaG//uxuA//mlc//mglC//yhhY//malS//araF//yjeV//copA//glpE//hflC//rpmC//
IscR-[2Fe-2S]1+_pos	iscA//spy//oxyR//yrbL//fimD//dnaA//nadC//dcuD//ydhX//baeS//soxS//
LldR-L-lactate_neg	hybF//moaC//iraM//
LldR-L-lactate_pos	dmsB//astA//purR//
Lrp-Leucine_neg	tam//mhpE//glcD//cyoC//nrfB//xylG//argO//appC//paaC//livH//cusF//ilvL//secB//glpF//glcF//rutA//malX//sdhB//yrbL//caiC//creA//nuoJ//aaeB//motA//idnR//fimE//pgaD//phnL//yoaG//malF//moeA//yrbL//mdtA//metF//hycI//metR//lrp//dsdA//yoaG//nac//puuE//appY//pitB//gatB//glpG//hflX//ydfN//gatB//mgrR//prfA//mcaS//ycdZ//entS//csiE//codB//udp//dsdX//dpiB//rbsC//nanK//phnE_2//hyfG//livF//fepB//bamA//malI//ompR//ygiC//rrlC//nrfB//argP//yaeP//deoD//gntR//guaB//
Lrp-Leucine_pos	aroF//mgrB//nuoC//gltT//fdnI//rseB//ppiA//hofC//rhaS//caiD//tfaQ//fimD//hha//glpA//ebgA//artQ//fimD//ykgR//ileT//uidB//hycI//pyrD//prs//lysP//nrdE//yiaJ//leuE//livM//miaA//pgk//ilvC//agaA//argC//ascB//alaV//
LsrR_neg	ynfG//aroM//yrbL//mltC//mscM//pdhR//grxD//torA//modC//
MalT-ADP-Maltotriose_pos	rpmI//srlA//mntS//nanT//fhuF//xapB//csgA//nanS//cysP//dcuB//
MalT-Maltotriose-ATP_pos	purA//yggX//modC//dppF//glnK//mdh//uraA//entE//yeiL//sucC//
MelR-Melibiose_neg	ybdN//sdhB//znuB//
MelR-Melibiose_pos	cirA//malM//malZ//
MetJ-S-adenosylmethionine_neg	hisJ//alkA//glnG//qseC//pgpC//dppD//fucP//ebgC//nrdG//nikD//erpA//cydB//rrlD//phnO//lysP//
MetR-L-homocysteine_neg	fhuF//ahpC//
MetR-L-homocysteine_pos	malX//hycH//caiF//tyrA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	phoB//hyfR//torD//atoB//deoC//udp//
MhpR-3HPP_pos	lsrR//frc//rrlG//psiE//crl//tauC//
MntR-Cd2+_neg	miaA//uidA//atoD//nanT//
MntR-Cd2+_pos	rhaR//
ModE-MoO42-_neg	oxyR//hdeA//nfuA//cyoD//sufA//mutY//alkA//yhfA//entS//yegH//gutM//paaK//fur//glpC//yegH//
ModE-MoO42-_pos	hpt//fecD//fimA//glpG//cas2//codA//sufC//nfuA//ydeP//fepB//nupC//astB//purD//acnA//iscR//nikA//nrdG//csgA//araB//fldA//tauD//gabP//katG//hycC//ygiA//uidB//narQ//dmsC//feoB//aaeR//tauD//
NarL-Phosphorylated_neg	dadX//fucP//secB//ccmD//caiC//glpG//nikE//entA//nlpE//paaH//hyfJ//napG//lsrD//kbaZ//priB//ybdN//gabT//lacA//hisM//ydhW//yeiW//phnE_2//chbG//chbB//aroH//ppdD//hycG//gatD//prpR//yqaE//fnr//lsrG//metK//ugpQ//gltW//yhcH//treB//yoaG//norR//preT//nrdE//cpdB//patZ//mhpA//gltW//ulaC//yfdE//tehB//melB//fhuE//patZ//csiE//ampE//focB//bdcA//rrfD//mntH//proP//hflK//rpsS//gapA//fucK//ileT//rrsB//hypE//xylA//ulaB//cydD//argA//dgcZ//puuB//cyoC//mgrB//casD//argA//cspE//aroP//amn//metJ//paaH//uhpT//katE//chbF//dcuR//purM//priB//
NarL-Phosphorylated_pos	fiu//lysP//rrfB//argH//glpB//araF//tomB//ompX//cysJ//appC//fimC//entA//fumA//dppF//hybD//focB//yaiW//gabP//aer//fes//betT//ccmE//rpoE//acrA//uxuR//agaV//hofO//yfdE//ykgR//ydeN//arfB//argI//gcvT//ygiB//cynX//alaA//sdaA//hofP//pitA//kbl//oppD//mhpC//casC//ndh//pstA//frdD//
NarP-Phosphorylated_neg	frdB//lysA//agaW//pstC//rpsS//micF//dcuC//bioB//hybB//yfdX//yoaG//uvrA//fldA//cra//lacZ//rseB//ilvD//fdnG//paaB//hofO//sroD//argO//creB//moaA//dcuD//infC//napF//gltD//epd//hdeB//gntP//uxaA//yaiA//
NarP-Phosphorylated_pos	nrfB//oppC//hybB//narG//gntR//uof//dppB//argF//nikE//nanS//dcuC//acrA//uxaC//lacA//nlpD//zinT//hisJ//sbmC//araF//fucO//ackA//galE//fliA//ychO//fldA//yeiB//sufC//frdA//emrY//hofC//aer//infC//
NhaR-Na+_pos	gspK//dpiB//rplD//yjeV//mhpE//
NikR-Cd2+_neg	nanA//gabT//cusA//fucO//glyA//ryhB//
NikR-Co2+_neg	argB//cysJ//gntK//yjiY//evgA//polA//
NikR-Cu2+_neg	alaV//malI//deoD//cysG//ryhB//lysU//
NikR-Ni2+_neg	ydeP//treC//gcd//lacY//gspH//metF//
NikR-Zn2+_neg	glcB//zntA//upp//phnF//astB//putP//
NrdR-ATP_neg	fadI//modB//yedX//hybB//codA//cysP//yiaJ//raiA//phoU//
NrdR-Zn2+_neg	rrsB//manZ//acnB//sufA//glgC//zraS//phoR//rplB//bhsA//
NrdR-dATP_neg	hydN//fucU//cysI//uraA//cstA//yegH//narH//nanS//rrlD//
NsrR-[2Fe-2S]reduced_neg	malK//ygeH//cysW//hpt//flhC//ogt//atoA//ygiA//trxA//yidQ//rrlA//proP//asr//gpsA//dsbA//znuC//dcuD//purD//caiB//paaZ//cyaA//aaeR//yeaD//cdd//purC//ubiX//cysI//aroG//fhuD//rseC//csgF//pgk//efeU_2//yjeV//tauA//tap//tdh//dkgB//nagC//ascB//rpsI//sufD//hycG//rpsR//hyfH//ilvD//mntP//chbB//gatC//lsrD//argO//ascF//yhfA//hflD//leuE//rutB//comR//tehA//citG//nac//allE//bcsB//purK//sdhB//sucB//fucR//rrlH//fis//gadB//ydhV//fis//aaeR//nuoG//
PhoB-Phosphorylated_neg	slt//paaH//fepA//ebgA//citD//cysD//uhpA//fepC//rpsQ//feoB//phnK//zntA//hypE//
PhoB-Phosphorylated_pos	adiC//moaD//putP//nlpD//ccmG//cdd//rrsB//hybE//aspA//ydfH//acrB//xylB//cysI//ilvL//rplP//moeB//dusB//cusF//trmD//ynfK//gutM//rmf//ilvH//tnaC//ybdN//dppC//gadC//ndh//lldP//phnE_1//artJ//oppD//erpA//rseA//uidB//hisJ//yggX//ldtB//yecR//tpx//rhaS//entH//uidA//uhpT//rybB//nagC//upp//fes//metB//efeU_1//appX//udp//gspE//
PhoP-Phosphorylated_neg	ykgM//aceB//feoC//gspD//garK//moaB//phoU//galS//xseA//entD//rrlG//
PhoP-Phosphorylated_pos	araB//rybA//torA//rseA//mlc//xylR//ubiG//feaB//nrdH//phnH//lpd//lacY//caiD//melA//malT//gapA//fabZ//rcnA//metJ//aroP//cyaR//lsrK//frc//uidA//galE//fucU//narH//aceE//hybG//yrbL//glpF//sdhD//nuoB//cyaA//phnD//gcd//rpmI//pnp//pitA//sohB//allD//soxS//gspJ//livM//hycG//cyaR//idnD//ulaC//arcZ//
PrpR-2-methylcitrate_neg	znuB//
PrpR-2-methylcitrate_pos	spf//tam//rpmC//rplP//
PurR-Guanine_neg	ppdD//mepH//phnK//rpsI//rutC//cysU//leuE//ampE//rrfC//uhpC//rrsH//tpx//rrfC//citG//cysW//yfeW//hycA//preT//tyrB//osmC//nanA//modC//hcr//purD//pgaC//cydA//ykgM//hycF//lacZ//hyfR//hfq//nuoN//gatY//ygbA//
PurR-Hypoxanthine_neg	ccmA//frc//rpsF//ccmD//mpl//hyfD//ilvB//hydN//fimH//abgB//gapA//flhC//mhpF//yjcH//focB//acrF//pheM//mgtL//cysJ//rrlD//csgA//rof//fdnH//rrfG//ysgA//ada//acrD//yhfA//udp//citE//chbR//rutB//purD//idnD//
QseB-Phosphorylated_pos	mglA//ssuC//soxS//fabZ//
RhaR-L-rhamnose_pos	modA//rbsD//
RhaS-L-rhamnose_pos	rutG//aspA//yeiL//
RstA-Phosphorylated_neg	cysH//fixB//gatA//ccmH//hybF//
RstA-Phosphorylated_pos	ytfE//carB//cytR//ychH//znuC//
SoxR-[2Fe-2S]3+ oxydized_neg	ogt//
SoxR-[2Fe-2S]3+ oxydized_pos	lpxD//dnaE//tdcD//
TorR-Phosphorylated_neg	pyrC//
TorR-Phosphorylated_pos	oppB//evgA//tar//yeaE//hyfR//treC//sbmA//envY//caiE//
TrpR-Tryptophan_neg	araA//gspC//agaA//miaA//glpD//moaD//yedX//caiT//livJ//trg//cyoD//hyfJ//
TyrR-L-tryptophan_neg	eda//zwf//nuoJ//treC//fecC//glnG//adiC//fimC//edd//rplT//fdnI//aroA//
TyrR-L-tryptophan_pos	glgA//glpG//hpt//
TyrR-Phenylalanine_neg	sbmC//hyaA//rbsD//phoR//fepB//nuoI//slyB//caiB//modA//betB//speB//phnK//
TyrR-Phenylalanine_pos	uhpT//astB//carA//
TyrR-Tyrosine_neg	ilvX//gspE//xapA//ilvE//ulaB//fabZ//malM//astE//phnE_1//zinT//rnlB//fur//
TyrR-Tyrosine_pos	cysD//amtB//rplI//
UhpA-Phosphorylated_pos	aroG//
XapR-xanthosine_pos	argO//crl//
XylR-Xylose_pos	mhpF//yneM//nrdB//entH//fecI//aaeR//
ZntR-Cd2+_pos	rrsB//
ZntR-Hg_pos	mglC//
ZntR-Zn2+_pos	dusB//
ZraR-Phosphorylated_pos	fes//hybE//artQ//
Zur-Zn2+_neg	ydhV//hypC//sbmC//efeU_1//ilvX//tdcB//
