#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ydhX//acnB//
CRP-cAMP_neg	dcuD//focA//yeiP//rpsP//moaE//alaV//uidB//galP//purH//glpE//sbmC//tauB//cysG//glgX//narI//nuoA//idnT//nanE//pflB//cyoB//ccmE//purD//fiu//fepA//hpt//oxc//yedX//dps//araJ//lrp//melR//argR//ynfF//livK//leuE//xylA//nuoA//gnd//nagE//gutM//hyfB//nrfD//fucI//frc//hofN//tyrB//hemL//citE//lsrG//hybF//frdD//acrA//fimF//ydhY//hofM//fnrS//gspE//mglA//ompW//ycjX//mzrA//ssrS//spf//grxC//fumA//iscU//iraD//pyrD//glpR//nrfD//cra//ubiX//ndh//oppB//tauC//cysB//creD//moeA//amn//hycG//ybjG//argI//phoB//cysI//phnH//hyfH//gatC//tsaE//cynT//fecI//lsrD//fldA//argD//yfdX//mdtB//phnJ//sroD//casA//fnr//aroP//rstB//lacI//galK//fixA//fimF//proP//mhpD//cirA//ygeH//prfA//pflB//amn//tehA//hemL//cusR//baeR//ilvC//ynfE//nupC//ilvA//dcuR//glcC//prpR//rnlA//ccmH//rrsE//hyfJ//cysD//deoC//gltV//yiaJ//abgB//gpsA//
CRP-cAMP_pos	pepT//paaF//glpF//narI//aer//fixB//moaD//mntP//upp//fixA//katG//mntS//ldtB//trg//mntP//atoE//gntT//mlc//ybfN//fepC//dmsA//purA//mhpA//lsrC//malE//exbD//amn//gltD//acrD//hybA//cyaR//fucU//rplB//mtlD//xylR//ydeN//ampE//napG//gspC//fucA//ydeO//cysH//cvpA//ihfA//pstS//pheM//lsrB//ybjG//trpL//yeiB//aroM//dsdC//allC//rpoE//nuoJ//fucO//ynfG//rcnB//rplS//gyrA//phnI//ulaB//acrF//srlR//sufC//lolB//aspA//glgC//acrD//skp//yciW//psd//malT//envZ//citE//yhhY//cynR//cynS//fnrS//qseC//ppdD//ugpQ//hypD//sucD//yeiB//fixB//cueO//rrsG//ubiA//glcD//rhaB//modC//lrp//mntH//chbB//borD//ptsG//hpt//nmpC//ubiG//cusA//puuE//amtB//cysB//mtr//nagE//cadB//gspM//yaeQ//csgD//ydhW//uhpC//cspD//rrsE//murQ//tap//malE//hybD//grpE//alaA//ilvG_1//dppA//aceA//cvpA//ynfK//patZ//aceA//metA//dppD//rrsB//waaH//fdnH//fucK//bioA//creB//mtlD//pdeF//cynX//ugpB//lolB//hyfR//hybD//fecR//fecB//paaI//mdh//hyfB//dusB//murQ//hisM//hflX//cusC//qseB//ilvA//gcvH//cysU//grcA//dapD//iscA//rrlE//atoD//xdhC//fdnG//ftnA//norR//mdtB//putP//betI//uxuA//ssuC//yjjZ//mntP//mdh//argE//hycA//frc//fadJ//sbcC//degP//rrfG//yeiP//fecD//dkgB//bamA//ynfG//rpsQ//dpiA//ilvA//sbmC//nirC//nrfA//frdA//cytR//idnK//hflX//rutD//frdB//moaB//rpsC//tcyJ//cysG//ompR//prpC//narJ//ilvX//gltT//argI//gspH//trpC//cas2//phnJ//lsrG//bioB//thrV//nirB//mntP//nrdF//mltC//yfbR//kbaZ//glnG//galS//idnT//lsrR//frdB//evgS//uidC//malX//rrlB//gatC//ivbL//lpxA//narG//paaB//dppC//dmsC//mlc//lldP//mhpF//hyaD//metR//cyaR//nrdI//mgrR//nagB//metB//rcnA//psd//gabP//infC//cas1//entB//murP//ilvC//tsx//nuoJ//rcnB//phnE_1//cydC//nikA//puuP//pdhR//arfB//torA//rcnA//bhsA//pitB//ssb//araE//puuD//ycjX//xylF//slyB//ssuB//purR//caiF//hyfF//nagE//atoA//ilvB//nusA//modC//nagC//lolB//paaI//gntT//rrfB//rrfH//feaB//nac//treC//lsrA//nrdG//ydfH//nikR//yccA//lldR//ydfN//ydhT//ugpE//hybO//yjeF//puuR//rcnA//ptsI//fimE//entS//rbsD//hyaA//phnP//yegZ//sufC//glcC//raiA//creA//torD//paaE//dcuC//cdd//fnrS//purR//gutM//nrfF//dcuR//betT//trpA//cyoE//agaV//focA//yjeV//lacZ//umpH//treB//nrdG//gspI//nagC//fau//focB//fhuD//glpE//hcr//ilvA//hycF//crl//dapB//nuoM//puuD//ccmD//ilvB//cheW//dcuB//hupB//caiC//nac//ygeH//mdtD//flhD//yeiP//cpxA//hflC//tnaB//nuoE//gutM//cusF//cysP//rpsS//lpxA//gabP//cyoD//pstS//artP//tauD//galM//galP//kbaZ//nuoI//abgA//ygiC//aer//soxR//tnaA//arcZ//cbl//yojI//glnD//glnK//argF//ydfH//yqaE//tauB//yfdE//xapB//gspL//nikD//sroD//ilvL//artQ//nikA//cusC//ulaF//cysH//psiE//fadJ//zraS//rutG//argA//metJ//iraM//fadE//csgC//pstA//modA//fdhF//ydhY//cyoE//dsdA//ftnB//sdhC//deoB//hemL//entE//atoA//yhhY//idnD//rstB//hypC//pgaC//ihfA//argP//
ChbR-Monoacetylchitobiose-6P_neg	nrdB//lhgO//zwf//gnd//soxS//tehA//
ChbR-Monoacetylchitobiose-6P_pos	glpX//ilvE//gspL//paaF//yaeQ//uhpA//
CpxR-Phosphorylated_neg	rhaS//ilvB//malF//cynX//bcsA//truB//manZ//idnT//cysK//aaeB//nuoF//srlD//mdtB//bcsZ//nikB//malG//fecR//rimP//rplB//ebgC//yojI//argO//puuP//fnr//
CpxR-Phosphorylated_pos	ccmF//phoH//cysD//infC//argT//fimC//rrsA//oppF//proP//infB//dcuR//fixC//ugpB//araC//rbfA//hdeB//tsaE//napG//sbmC//gltV//fimC//bcsB//nrdD//uxuR//argA//gltA//ubiG//yegR//csgB//spf//frdC//mgrB//fixC//dsbA//ompX//nuoL//ulaD//cysU//sdhD//feaB//pdhR//rbsC//nrdI//purK//purE//
CreB-Phosphorylated_neg	entF//nikR//atoB//
CreB-Phosphorylated_pos	uidC//iscU//sroD//gpsA//yggX//ynfH//
CueR-Ag_neg	mdh//yeiW//pdeF//prs//alaT//
CueR-Ag_pos	ydhV//gntR//
CueR-Cu+_neg	cysU//pstC//cspD//entA//purB//
CueR-Cu+_pos	cheR//fepB//
CuerR-Au_neg	ilvI//pgpC//sufB//trg//fecE//
CuerR-Au_pos	rutE//allD//
CusR-Pasp_pos	mepH//mhpB//phoR//nrdI//bcsB//rplD//pagP//nadC//xapB//hemA//csiD//borD//
CynR-Cyanate_neg	rpoE//
CynR-Cyanate_pos	mlc//alaA//agaA//
CysB-N-acetyl-L-serine_neg	focB//napB//cadC//ftnB//glnD//glpE//mcaS//
CysB-N-acetyl-L-serine_pos	glcF//tyrR//oppB//oppC//chbR//araG//hslJ//nirB//purL//sbmA//artM//ynfG//bioF//caiB//xdhB//cytR//pck//gpsA//alaT//yaeP//hofN//yaiA//borD//
CysB-O-acetyl-L-serine_neg	ppdD//ygiA//trg//malM//cyoD//rutB//priB//
CysB-O-acetyl-L-serine_pos	fnrS//sdhC//hycI//mepH//ileU//uhpA//aaeB//hdeD//yjeF//rpmI//lsrG//hflK//bioF//cysN//hyfI//fecA//ileT//yaeQ//phnF//ilvA//dapB//livM//purM//phoH//
DcuR-Phosphorylated_pos	sufA//aroF//rpmC//rrfD//uxaA//tyrA//dppC//qseB//ugpQ//
DnaA-ATP_neg	hybG//sbcC//yhhY//gspM//dmsA//gcd//ybfN//nuoA//nuoB//hyfH//focA//
DnaA-ATP_pos	prpE//hslJ//zraP//grpE//yneM//tnaB//gspL//
DpiA-Pasp_neg	raiA//
DpiA-Pasp_pos	cyaR//torD//sbcC//mutL//rrlE//idnT//fepG//yfiP//phnF//rstB//
DsdC-D-serine_neg	garP//
DsdC-D-serine_pos	ascB//gdhA//
EvgA-Phosphorylated_pos	envZ//evgS//norV//malX//citC//mhpB//rof//hypB//pgaD//ung//pck//ahpC//ydiU//zwf//ykgO//
FNR-[4Fe-4S]2+ reduced_neg	paaJ//garL//gdhA//lrp//dmsB//rmf//metB//hflX//dpiA//ccmF//tsr//astD//gatY//gspE//cbl//tnaB//frdB//trg//iscU//manA//cra//bglB//baeR//prpD//argT//manY//glpE//ndh//sbmC//motB//fdnH//tsx//argF//zntA//pgaB//tauC//hflC//uhpT//manA//fimC//gutM//alkA//nusA//gspD//ccmB//narH//csgA//aidB//rhaB//alaS//aceK//rpsR//pck//alaS//aspC//deoB//zraS//dsdX//pheT//aceE//glpR//araC//glmY//nrfD//malM//eda//ompX//gntR//ydhW//chbC//malF//carA//nanK//phoP//gspF//fimI//tsr//carA//moaA//cysB//tonB//nrdB//dapB//ycjF//glpR//sbcD//fimC//efeU_2//malQ//malK//atoE//feoC//trpC//murQ//napD//rcnB//copA//exbD//alaA//sodA//garL//proP//idnK//phoB//asr//iscA//paaK//gdhA//rhaB//grxD//metQ//uidB//gabT//hofB//dadX//cyoB//argG//ivbL//malZ//ompW//
FNR-[4Fe-4S]2+ reduced_pos	dpiB//efeU_1//yidQ//bcsZ//bioF//rrfD//dsdA//pnp//lacY//actP//astB//ssuC//hycG//ilvN//alkA//aaeB//pnp//torR//ccmA//ilvD//trg//rpoE//rybA//ulaA//caiD//tauC//bcsB//nirD//dnaA//rpsQ//nuoK//znuB//phoP//sdhC//yrbL//nuoA//agaA//malZ//fucO//arcA//rpsJ//glpC//uidA//araD//norV//cysN//truB//nagE//ychH//napC//mhpT//glnA//dpiA//nuoG//rseB//codA//ompT//hypA//fdnH//carA//livK//metN//ilvL//paaZ//dppB//trpR//mglC//nanC//ykgM//xdhC//nagE//speC//evgS//gspM//aroP//upp//cusA//epd//rybA//ynfK//ydeO//gpmA//fimI//csgE//evgS//pstC//nanS//livJ//pheM//glcA//cynR//nuoH//cheZ//rrfG//chbB//pta//cynX//ygiB//yeaE//glcD//ybdZ//mdtD//creD//rrlG//mhpF//moaD//phnN//dmsD//yecR//feaB//napD//aceA//motA//patZ//argD//napA//aroA//yfbR//tfaQ//nrdI//glpC//ilvY//cydD//fis//tpx//grxC//hydN//rnpB//acrD//ybfN//phoH//cydC//nac//aaeR//fucU//ydiU//evgA//metI//fadE//astC//fucR//ubiG//evgA//nrdF//gltU//pepT//rrlB//ptsI//ydeN//yecR//ompT//cbl//xylA//fepG//ssuC//nrfA//casD//umpH//artM//ygiC//uxuR//cheZ//paaB//hpt//marR//dnaN//ulaE//ilvE//gabP//rrfA//yegH//hybF//hyfF//rbsB//fecE//rseA//gspJ//glpK//ygiA//hybO//atoA//talA//gspI//paaE//lacA//fadL//hybO//baeR//tnaB//polA//yaiA//cydC//alaU//glnA//glcG//tfaQ//rhaA//ygbA//aidB//mgtA//dmsC//aroH//
FhlA-Formate_pos	pstB//pta//araE//metQ//yneM//ilvA//gatD//mipA//fepG//hemA//glgC//ompT//garP//fadH//nrdF//fimA//cusC//nupG//ccmC//fliA//cas2//allD//mutY//ugpQ//glnK//ychH//mntH//dmsC//hypE//rstB//
FucR-L-fuculose-1-phosphate_pos	paaJ//acnA//mtlR//rplD//metY//cheB//kbaZ//
Fur-Fe2+_neg	cysP//rhaD//sufC//fepG//ynfH//talA//adhE//cysA//uxuA//glpQ//rrsG//alaS//lldR//fadH//lsrR//yggX//hyfC//lysU//hyaB//abgT//nrfE//idnD//moaE//cspD//glcB//rutC//yqjA//tdcE//envY//rbsD//rpsC//creA//fes//gltA//hyaF//baeS//hybD//leuE//pgaA//hycI//ygbA//yegH//mutL//fepB//mdtB//phnO//csgB//malX//yccA//ynfH//trpA//cynR//ygeA//phnJ//malM//hybB//araA//aaeR//prpC//nupC//grpE//hycC//metR//znuA//mlc//gspJ//ynfH//xapB//folA//marA//bioA//betI//cra//citD//argI//ccmF//dadX//rhaT//dcuA//nanT//safA//phnO//ptsH//alaU//gatY//iclR//nikE//caiD//srlE//manY//znuB//xylR//napB//ulaC//tauD//ansB//slt//cheZ//cas1//chbB//mtlR//bhsA//sufC//feaR//tfaQ//ugpC//puuE//livM//appA//serA//tomB//tam//rutF//ugpE//fimD//cynT//cydB//argE//narG//rbsK//rutE//csgF//fadL//lsrG//
Fur-Fe2+_pos	lsrC//ryhB//ybdN//dpiA//norV//citC//gspE//nirC//soxS//rhaA//ugpQ//ubiX//nuoB//lsrF//gatY//galK//glnG//purN//sroD//araJ//zinT//pstB//gntK//betA//trpL//
Fur-Mn2+_neg	feoA//malX//chbA//puuD//nanT//lpd//paaB//sdhB//lacI//bglF//entA//ilvE//yggX//tauC//metN//sbcC//dgcZ//cysK//ycjF//acrB//nrdH//yiaJ//metR//phoQ//actP//ilvN//sbmA//gatD//betI//rrfH//nfuA//cusB//puuD//edd//ygiC//rseA//artM//metI//ftnB//epd//kbl//feoA//argA//gatA//hflX//mpl//marA//rpmC//rbsB//nanK//idnD//citG//xylG//ssuA//caiD//rbsA//ascF//yiaJ//rbsB//grxC//yoaC//rplD//hflD//yeiB//chbA//dnaA//glcB//glpB//yegZ//dkgB//cysB//puuE//phnJ//phoH//gspE//sufA//nikR//xylF//cusC//ulaA//glpG//cirA//aroG//paaH//mutY//cspE//pgpC//uhpB//dppD//phnC//fecB//chbA//aldA//casA//purN//gntX//fimG//sroD//preT//chbR//bcsA//gspE//cyoC//mgtL//fldA//motA//pgaD//atoE//argE//lpxA//fadI//ydhU//mntS//ampD//ygiB//rhaB//marR//ilvI//iraD//rutE//chiP//rplP//cydA//truB//
Fur-Mn2+_pos	sufC//pyrC//mscM//caiC//tyrB//manX//xdhA//fadE//csgG//cysU//aidB//mhpD//nuoA//ychH//guaA//allE//motB//phoU//hpt//pgaD//phnD//murQ//fnrS//lsrF//citE//
GlcC-Acetate_neg	rrfF//
GlcC-Acetate_pos	purD//ykgR//ilvN//nagB//ompR//fecB//
GlcC-Glycolate_neg	uxaC//
GlcC-Glycolate_pos	rbsC//dcuB//uof//ydfN//acnA//gutM//
GlrR-Pasp56_pos	fimH//
IclR-pyruvate_neg	metR//yjcH//argF//ahpC//
IdnR-5-ketogluconate_neg	uraA//nupG//rplM//
IdnR-5-ketogluconate_pos	sufE//hofP//hypE//adiC//garL//
IdnR-Idonate_neg	betT//cusF//grxD//
IdnR-Idonate_pos	yfaE//dgcZ//pheS//hycA//hflC//
IlvY-2-acetolactate_neg	dppD//
IlvY-2-acetolactate_pos	napC//
IlvY-Alfa-acetohydroxybutirate_neg	alaA//
IlvY-Alfa-acetohydroxybutirate_pos	tyrP//
IscR-[2Fe-2S]1+_neg	pgaC//yneM//mcaS//rof//mdtB//csgD//cas1//mltC//ccmH//nrfD//tehB//fimF//xylF//csiD//yjeV//pheS//mhpE//nrdI//aroG//lpxB//caiF//efeU_2//ydhW//rimP//argE//dmsC//malZ//iscS//cysM//ilvH//
IscR-[2Fe-2S]1+_pos	nuoJ//mdh//ychH//gcvT//galM//baeS//hofC//livK//frdA//guaB//xylH//
LldR-L-lactate_neg	bioF//ydhV//ynfE//
LldR-L-lactate_pos	hflC//yeiB//ssrS//
Lrp-Leucine_neg	yqjA//ynfF//xapA//hycG//guaA//trpC//lsrD//rrsH//sbcD//mltC//alaV//cynX//nrdG//ilvX//ygiB//citG//cheZ//upp//hyaC//phnE_2//hydN//ydeJ//xdhC//nrfA//gspG//mhpA//hyfH//rplT//ansB//mutL//prpC//degP//cstA//dsbA//lldP//deoD//citD//creA//metY//ftnA//dppF//mutY//ydhU//hypC//focA//gadC//hyfR//folE//cheR//acnB//iscU//ulaB//purA//chbR//tauC//hypE//carB//dpiB//oppB//epd//rrlA//ssuB//rplP//cysD//glcC//casC//psiE//fepD//nanE//leuE//oppF//rutB//nagB//adiC//exuT//
Lrp-Leucine_pos	acrE//oppF//ndh//xdhB//glyA//stpA//citX//alaU//hlyE//dmsC//malX//mepH//chiP//glcG//rof//ubiA//garL//nrdG//manX//chbF//bioC//prpR//yoaG//yegR//ychH//nuoM//dadA//ydfN//fadB//nirB//yhjC//bglF//nuoN//deoA//ulaF//
LsrR_neg	glpR//paaJ//treB//hisP//aaeA//gspE//asr//phoH//hycD//
MalT-ADP-Maltotriose_pos	narG//osmY//focA//uof//fadJ//ilvX//purD//truB//uhpB//dadA//
MalT-Maltotriose-ATP_pos	creC//fimD//pgpC//pagP//rpsQ//nirC//metL//tehA//napC//focB//
MelR-Melibiose_neg	srlD//sroD//ubiA//
MelR-Melibiose_pos	xseA//cysG//speB//
MetJ-S-adenosylmethionine_neg	fur//map//ydbD//aspA//phoU//nikC//ampD//yfeW//rpmC//avtA//livM//cysK//mtlR//hyfH//sroD//
MetR-L-homocysteine_neg	fepB//glcG//
MetR-L-homocysteine_pos	pgk//cspD//fixX//allE//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	rof//nanT//nrdH//nanE//nagA//hflD//
MhpR-3HPP_pos	hlyE//oxyR//frdB//ileU//yegH//amtB//
MntR-Cd2+_neg	rrsH//baeR//fecR//abgT//
MntR-Cd2+_pos	purF//
ModE-MoO42-_neg	nuoA//cspE//azuC//aroA//purN//rrfF//ccmE//deoB//yjeV//cysH//codA//phnF//mlc//gntP//fecE//
ModE-MoO42-_pos	garP//fepA//hemL//nfuA//rhaD//arcA//cadA//nuoJ//lsrG//phnK//sucC//hyfF//trpD//creD//araD//rrlD//ahpC//mltC//hydN//argH//hyfR//hyaD//livF//glgA//fdnG//nrfG//hyaB//manZ//norV//rimP//uhpT//
NarL-Phosphorylated_neg	artJ//cydA//livJ//sodB//yegR//aspA//fixX//flhD//rpoS//nuoB//nikR//map//aspC//garK//csgA//acrF//dapB//psiE//fepD//dusB//hybE//rutC//yoaC//lldD//rrfE//phnH//fumA//rrsC//chbG//ccmC//epd//yaeP//nuoG//ubiC//uvrA//hyaC//yneM//fimF//tdcC//hybD//nuoE//priB//tar//hyfA//uxaB//nanS//purD//narL//hpt//ybiT//nikD//nikB//mcaS//dapB//phoR//nrfB//ydeP//sdaA//artI//frdA//ftnA//prfA//ynfE//flhC//rpmC//hdeA//adhE//idnD//fldA//fhuF//dpiB//rpmI//ilvX//narH//caiC//hisP//glpB//dmsA//nuoF//paaB//acrD//glpA//fbaA//soxR//adhE//tap//
NarL-Phosphorylated_pos	hypD//tehB//nanC//glpQ//purE//paaZ//glpB//manZ//pgpC//cyoC//aceE//feaR//slt//znuB//casE//uidB//rpsI//pagP//glpC//trpL//yhhY//yhiD//rutC//dnaE//dpiB//nrfE//fnr//rrsD//gspO//hypB//hofO//yfdV//mntP//degP//dadX//atoD//argR//motA//fhuF//ybiT//nrfA//recF//rutB//ampE//udp//gcd//
NarP-Phosphorylated_neg	nikE//fixC//appC//glnK//yeiB//yoaC//yfaE//mltC//cusA//aldA//tauB//puuB//glgP//fdnI//citG//ybdZ//pgpC//glcG//torA//dcuB//gabT//mhpC//aspA//betT//aceF//emrY//caiA//mscM//lldP//fdnG//bamA//tsx//modB//
NarP-Phosphorylated_pos	astC//prpD//nikE//dppD//dsbA//hyfR//livH//gapA//rnlA//gabT//dcuA//hyfG//artM//argA//nikC//rrsA//rybA//uidB//sufE//acrB//lpxB//artM//glpT//entF//cusS//cynT//cydD//tdcC//micF//ugpC//napA//fadA//
NhaR-Na+_pos	rpsC//ssuD//umpH//fucU//ampE//
NikR-Cd2+_neg	artP//comR//aroF//phnJ//carA//rutG//
NikR-Co2+_neg	spf//moaD//exbD//nrfE//fliZ//ydbD//
NikR-Cu2+_neg	mtlD//ybiT//hypB//ulaF//mntH//nrdB//
NikR-Ni2+_neg	sufC//pck//mglC//bglG//glcG//deoB//
NikR-Zn2+_neg	ydeJ//ccmA//abgB//galM//rstB//phoH//
NrdR-ATP_neg	fecB//pgpC//yfdV//ygiA//narK//ygaC//lysU//yqjH//nrfF//
NrdR-Zn2+_neg	galK//metC//rrfF//mglA//cusR//phoQ//hyaF//metI//hdeD//
NrdR-dATP_neg	trpA//livH//rstA//fadI//edd//dmsB//rplI//cydC//glpF//
NsrR-[2Fe-2S]reduced_neg	hyfA//dmsC//recF//iclR//srlA//cysB//ulaA//sufC//hisQ//entD//treC//kbl//cysD//cheZ//micF//sdhC//lhgO//araH//rnlA//aroM//ascB//ptsI//gspI//hemA//iscR//ogt//yiaJ//hypF//glpQ//glnA//katG//argG//grxD//galE//nikA//hofM//gatB//puuP//yjiY//phoP//norW//evgS//prpC//rmf//gltA//glpC//cysN//prpR//mgrR//fimH//envZ//dcuS//rplC//purE//purB//nagA//yhjA//lpxD//fiu//glcB//phnG//rpoE//nrdB//abgB//ompA//ilvL//mutY//csgE//tdcB//feoC//tpx//cpxR//fucU//
PhoB-Phosphorylated_neg	mipA//lacA//gspE//caiC//hybD//ulaF//hypD//yhfA//nuoM//deoA//mscM//gutM//fimC//
PhoB-Phosphorylated_pos	qseB//pstA//bcsC//tehA//iscS//evgA//murP//uidA//napG//gnd//rpsQ//hybA//pstB//ybdN//rpsP//ompF//hdeD//ihfA//fdhF//rpoH//gltA//uhpT//mzrA//pgpC//appX//grpE//hupB//csgF//baeS//emrK//hybO//pstS//cyoE//nikD//narX//fur//yciW//cyoC//citC//fhlA//xylB//yegH//gnd//malX//artJ//tsgA//yhfA//argD//lrp//nuoF//mgrR//trpB//rplS//
PhoP-Phosphorylated_neg	livG//idnK//nagB//fhlA//phoU//ptsH//cheA//galM//dnaA//ydiU//moeA//
PhoP-Phosphorylated_pos	aroM//casD//argE//speB//ileU//mhpR//pck//lldD//nrfG//nagB//rseC//glpQ//gutM//hypA//fhuC//hycH//ompT//fimG//allC//dusB//ychH//pdhR//lysU//caiE//hyfH//moeA//araF//bcsZ//mhpD//abgA//gltV//nuoF//hflK//glrR//fadD//gpmA//aspC//rrsB//hemL//araC//fdnH//caiC//phoB//hflD//nagA//uxuA//trpC//mgrR//appX//
PrpR-2-methylcitrate_neg	purF//
PrpR-2-methylcitrate_pos	rimM//hyfR//pncB//fumA//
PurR-Guanine_neg	dcuR//ilvC//metF//cvpA//xdhB//zraR//phoH//hofC//yegZ//moeB//dnaE//ynfE//csgF//paaI//lpd//mglC//csgB//ccmA//cpxR//glpQ//skp//nrdE//speB//katE//ilvI//ynfG//artJ//tam//priB//rpsS//ydeO//osmC//prmC//malF//
PurR-Hypoxanthine_neg	tsx//entH//folE//argC//gnd//arfB//ilvN//pgaD//degP//tdcC//ssb//gspH//metC//rrfH//astC//ssrS//cspE//pepT//astC//glpT//hybE//gntP//rrfB//hybO//ygiC//gabT//eda//cydC//hyfJ//preA//fumC//rbfA//nohA//uidC//
QseB-Phosphorylated_pos	modC//aroP//narJ//rseB//
RhaR-L-rhamnose_pos	yfeW//citE//
RhaS-L-rhamnose_pos	trpD//fecI//psiE//
RstA-Phosphorylated_neg	sdhB//bioC//gyrA//rpsR//yjiY//
RstA-Phosphorylated_pos	nfuA//paaG//gspO//phnP//focA//
SoxR-[2Fe-2S]3+ oxydized_neg	aroM//
SoxR-[2Fe-2S]3+ oxydized_pos	galS//puuB//ygbA//
TorR-Phosphorylated_neg	murQ//
TorR-Phosphorylated_pos	iscA//yegZ//paaB//fepG//metH//sxy//hflD//fucP//dmsB//
TrpR-Tryptophan_neg	gntX//fucU//deoD//gntR//mglC//fhuA//ygiB//ccmE//priB//feaB//caiA//acrD//
TyrR-L-tryptophan_neg	ampD//sucA//napA//mutL//metE//fecC//carB//cyaR//chbG//katE//narG//ansB//
TyrR-L-tryptophan_pos	tehA//araB//trpB//
TyrR-Phenylalanine_neg	gnd//aroA//iscU//rplS//yegZ//fadD//treC//uhpT//phnM//cysC//betA//hdeA//
TyrR-Phenylalanine_pos	mtlA//ilvG_1//gcvH//
TyrR-Tyrosine_neg	priB//mutL//manZ//narK//mipA//cyaR//uhpB//creB//ydhW//fhuE//hcp//appB//
TyrR-Tyrosine_pos	ssuB//galS//hlyE//
UhpA-Phosphorylated_pos	ilvY//
XapR-xanthosine_pos	rbfA//yhiD//
XylR-Xylose_pos	acnB//fepC//tnaC//cheZ//ahpF//cheY//
ZntR-Cd2+_pos	fhuE//
ZntR-Hg_pos	ilvH//
ZntR-Zn2+_pos	azuC//
ZraR-Phosphorylated_pos	ahpF//tsgA//uidC//
Zur-Zn2+_neg	bcsA//xylF//citE//trpB//amtB//metC//
